"";"AC";"ID";"Description";"Gene";"Go.Cc";"GSC.det";"GSC.aqu";"GSC.det.norm";"GSC.aqu.norm";"ratio";"sqrt.ratio"
"116";"P23284";"PPIB_HUMAN";"Peptidyl-prolyl cis-trans isomerase B";"PPIB";"macromolecular complex, extracellular vesicular exosome, melanosome, endoplasmic reticulum, endoplasmic reticulum lumen";34;57;0,507462686567164;0,850746268656716;0,596491228070175;0,772328445721233
"117";"P23526";"SAHH_HUMAN";"Adenosylhomocysteinase";"AHCY";"melanosome, extracellular vesicular exosome, cytosol, cytoplasm";4;88;0,0597014925373134;1,3134328358209;0,0454545454545455;0,21320071635561
"118";"P24534";"EF1B_HUMAN";"Elongation factor 1-beta";"EEF1B2";"eukaryotic translation elongation factor 1 complex, cytosol";2;21;0,0298507462686567;0,313432835820896;0,0952380952380952;0,308606699924184
"119";"P25398";"RS12_HUMAN";"40S ribosomal protein S12";"RPS12";"cytosolic small ribosomal subunit, cytosol";2;34;0,0298507462686567;0,507462686567164;0,0588235294117647;0,242535625036333
"120";"P26368";"U2AF2_HUMAN";"Splicing factor U2AF 65 kDa subunit";"U2AF2";"spliceosomal complex, nucleus, nucleoplasm, nuclear speck";8;39;0,119402985074627;0,582089552238806;0,205128205128205;0,452910813657838
"121";"P26373";"RL13_HUMAN";"60S ribosomal protein L13";"RPL13";"cytosol, nucleolus, cytosolic large ribosomal subunit, cytoplasm, cytosolic ribosome";34;44;0,507462686567164;0,656716417910448;0,772727272727273;0,879049072991533
"122";"P26447";"S10A4_HUMAN";"Protein S100-A4";"S100A4";"perinuclear region of cytoplasm, neuron projection, extracellular vesicular exosome, nucleus, extracellular space";4;13;0,0597014925373134;0,194029850746269;0,307692307692308;0,554700196225229
"123";"P26583";"HMGB2_HUMAN";"High mobility group protein B2";"HMGB2";"extracellular space, cytoplasm, nucleoplasm, protein complex, condensed chromosome, perinuclear region of cytoplasm, nucleus";20;52;0,298507462686567;0,776119402985075;0,384615384615385;0,620173672946042
"124";"P26599";"PTBP1_HUMAN";"Polypyrimidine tract-binding protein 1";"PTBP1";"extracellular vesicular exosome, nucleolus, nucleoplasm";17;73;0,253731343283582;1,08955223880597;0,232876712328767;0,482573012433111
"125";"P26639";"SYTC_HUMAN";"Threonine--tRNA ligase, cytoplasmic";"TARS";"extracellular vesicular exosome, actin cytoskeleton, cytoplasm, cytosol";1;97;0,0149253731343284;1,44776119402985;0,0103092783505155;0,101534616513362
"126";"P26640";"SYVC_HUMAN";"Valine--tRNA ligase";"VARS";"cytosol, mitochondrion";10;41;0,149253731343284;0,611940298507463;0,24390243902439;0,493864798324795
"127";"P26641";"EF1G_HUMAN";"Elongation factor 1-gamma";"EEF1G";"cytosol, eukaryotic translation elongation factor 1 complex";56;104;0,835820895522388;1,55223880597015;0,538461538461538;0,733799385705343
"128";"P27635";"RL10_HUMAN";"60S ribosomal protein L10";"RPL10";"cytosol, endoplasmic reticulum, cytosolic large ribosomal subunit";33;38;0,492537313432836;0,567164179104478;0,868421052631579;0,931891116296093
"129";"P27694";"RFA1_HUMAN";"Replication protein A 70 kDa DNA-binding subunit";"RPA1";"nucleoplasm, lateral element, nucleus, cytoplasm, DNA replication factor A complex, male germ cell nucleus, actin cytoskeleton, PML body";2;14;0,0298507462686567;0,208955223880597;0,142857142857143;0,377964473009227
"130";"P27708";"PYR1_HUMAN";"CAD protein";"CAD";"terminal bouton, nuclear matrix, nucleus, protein complex, extracellular vesicular exosome, cytosol, cell projection, neuronal cell body";7;54;0,104477611940299;0,805970149253731;0,12962962962963;0,360041149911548
"131";"P28066";"PSA5_HUMAN";"Proteasome subunit alpha type-5";"PSMA5";"proteasome core complex, cytosol, proteasome core complex, alpha-subunit complex, extracellular vesicular exosome, nucleus, cytoplasm, nucleoplasm, proteasome complex";1;38;0,0149253731343284;0,567164179104478;0,0263157894736842;0,162221421130763
"132";"P28340";"DPOD1_HUMAN";"DNA polymerase delta catalytic subunit";"POLD1";"nucleotide-excision repair complex, nucleoplasm, cytoplasm, nucleus, aggresome, delta DNA polymerase complex";4;3;0,0597014925373134;0,0447761194029851;1,33333333333333;1,15470053837925
"133";"P28838";"AMPL_HUMAN";"Cytosol aminopeptidase";"LAP3";"mitochondrion, extracellular vesicular exosome, cytoplasm, trans-Golgi network, nucleus";6;51;0,0895522388059701;0,761194029850746;0,117647058823529;0,342997170285018
"134";"P29692";"EF1D_HUMAN";"Elongation factor 1-delta";"EEF1D";"cytosol, nucleolus, nucleus, eukaryotic translation elongation factor 1 complex, cytoplasm";1;7;0,0149253731343284;0,104477611940299;0,142857142857143;0,377964473009227
"135";"P29692";"EF1D_HUMAN";"Elongation factor 1-delta";"EEF1D";"cytosol, nucleolus, nucleus, eukaryotic translation elongation factor 1 complex, cytoplasm";1;4;0,0149253731343284;0,0597014925373134;0,25;0,5
"136";"P30050";"RL12_HUMAN";"60S ribosomal protein L12";"RPL12";"cytosolic large ribosomal subunit, extracellular vesicular exosome, cytosol";26;41;0,388059701492537;0,611940298507463;0,634146341463415;0,796333059381195
"137";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";"melanosome, cell surface, endoplasmic reticulum lumen, extracellular vesicular exosome, endoplasmic reticulum";22;101;0,328358208955224;1,50746268656716;0,217821782178218;0,466713811857136
"138";"P30876";"RPB2_HUMAN";"DNA-directed RNA polymerase II subunit RPB2";"POLR2B";"nucleoplasm, DNA-directed RNA polymerase II, core complex, nucleus";5;2;0,0746268656716418;0,0298507462686567;2,5;1,58113883008419
"139";"P31942";"HNRH3_HUMAN";"Heterogeneous nuclear ribonucleoprotein H3";"HNRNPH3";"nucleus, spliceosomal complex";11;29;0,164179104477612;0,432835820895522;0,379310344827586;0,61588176205144
"140";"P31943";"HNRH1_HUMAN";"Heterogeneous nuclear ribonucleoprotein H";"HNRNPH1";"nucleus, nucleoplasm, catalytic step 2 spliceosome";1;18;0,0149253731343284;0,26865671641791;0,0555555555555556;0,235702260395516
"141";"P31948";"STIP1_HUMAN";"Stress-induced-phosphoprotein 1";"STIP1";"nucleus, Golgi apparatus";3;116;0,0447761194029851;1,73134328358209;0,0258620689655172;0,160816880225669
"142";"P31949";"S10AB_HUMAN";"Protein S100-A11";"S100A11";"extracellular vesicular exosome, cytoplasm, extracellular space, ruffle, nucleus";4;11;0,0597014925373134;0,164179104477612;0,363636363636364;0,603022689155527
"143";"P32322";"P5CR1_HUMAN";"Pyrroline-5-carboxylate reductase 1, mitochondrial";"PYCR1";"mitochondrion, mitochondrial matrix";12;5;0,17910447761194;0,0746268656716418;2,4;1,54919333848297
"144";"P32969";"RL9_HUMAN";"60S ribosomal protein L9";"RPL9,RPL9P8,RPL9P7,RPL9P9";"cytosol, cytosolic large ribosomal subunit, cytoplasm, nucleolus, ribosome";16;23;0,238805970149254;0,343283582089552;0,695652173913043;0,834057656228299
"145";"P33991";"MCM4_HUMAN";"DNA replication licensing factor MCM4";"MCM4";"MCM complex, nucleoplasm, nucleus";1;104;0,0149253731343284;1,55223880597015;0,00961538461538461;0,098058067569092
"146";"P33992";"MCM5_HUMAN";"DNA replication licensing factor MCM5";"MCM5";"MCM complex, nucleoplasm, nucleus";9;99;0,134328358208955;1,47761194029851;0,0909090909090909;0,301511344577764
"147";"P33993";"MCM7_HUMAN";"DNA replication licensing factor MCM7";"MCM7";"chromatin, nucleus, cytosol, nucleoplasm, MCM complex, cytoplasm";50;107;0,746268656716418;1,59701492537313;0,467289719626168;0,683585927024663
"148";"P34931";"HS71L_HUMAN";"Heat shock 70 kDa protein 1-like";"HSPA1L";"mitochondrial matrix, zona pellucida receptor complex, blood microparticle, cell body";0;0;0;0;NA;NA
"149";"P35237";"SPB6_HUMAN";"Serpin B6";"SERPINB6";"extracellular vesicular exosome, cytosol, extracellular space, cytoplasm, protein complex";2;6;0,0298507462686567;0,0895522388059701;0,333333333333333;0,577350269189626
"150";"P35249";"RFC4_HUMAN";"Replication factor C subunit 4";"RFC4";"DNA replication factor C complex, nucleoplasm";5;14;0,0746268656716418;0,208955223880597;0,357142857142857;0,597614304667197
"151";"P35268";"RL22_HUMAN";"60S ribosomal protein L22";"RPL22";"cytoplasm, extracellular vesicular exosome, ribonucleoprotein complex, cytosolic large ribosomal subunit, cytosol";9;8;0,134328358208955;0,119402985074627;1,125;1,06066017177982
"152";"P35606";"COPB2_HUMAN";"Coatomer subunit beta'";"COPB2";"COPI vesicle coat, cytosol";12;43;0,17910447761194;0,641791044776119;0,27906976744186;0,528270543795374
"153";"P35637";"FUS_HUMAN";"RNA-binding protein FUS";"FUS";"nucleoplasm, cytoplasm, nucleus";10;29;0,149253731343284;0,432835820895522;0,344827586206897;0,587220219514703
"154";"P35659";"DEK_HUMAN";"Protein DEK";"DEK";"nucleus";2;8;0,0298507462686567;0,119402985074627;0,25;0,5
"155";"P35998";"PRS7_HUMAN";"26S protease regulatory subunit 7";"PSMC2";"cytoplasmic mRNA processing body, nucleoplasm, proteasome accessory complex, proteasome complex, cytosol, cytoplasm";1;45;0,0149253731343284;0,671641791044776;0,0222222222222222;0,149071198499986
"156";"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";"extracellular vesicular exosome, cytosol, nucleus, ribonucleoprotein complex, nucleolus, cytoplasm, cytosolic large ribosomal subunit";50;77;0,746268656716418;1,14925373134328;0,649350649350649;0,80582296402538
"157";"P37108";"SRP14_HUMAN";"Signal recognition particle 14 kDa protein";"SRP14";"cytosol, signal recognition particle, endoplasmic reticulum targeting, cytoplasm, intercellular bridge, nucleolus";2;8;0,0298507462686567;0,119402985074627;0,25;0,5
"158";"P37235";"HPCA_HUMAN, HPCL1_HUMAN, NCALD_HUMAN";"Hippocalcin-like protein 1, Neurocalcin-delta, Neuron-specific calcium-binding protein hippocalcin";"HPCA, HPCAL1, NCALD";NA;6;1;0,0895522388059701;0,0149253731343284;6;2,44948974278318
"159";"P37802";"TAGL2_HUMAN";"Transgelin-2";"TAGLN2";"extracellular vesicular exosome";6;82;0,0895522388059701;1,22388059701493;0,0731707317073171;0,27050089040023
"160";"P38159";"RBMX_HUMAN";"RNA-binding motif protein, X chromosome";"RBMX";"extracellular vesicular exosome, nuclear euchromatin, extracellular space, ribonucleoprotein complex, supraspliceosomal complex, nucleoplasm, catalytic step 2 spliceosome, nucleus";4;47;0,0597014925373134;0,701492537313433;0,0851063829787234;0,291729982995789
"161";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";"mitochondrial nucleoid, extracellular vesicular exosome, mitochondrion, cytoplasm, nucleolus";47;129;0,701492537313433;1,92537313432836;0,364341085271318;0,603606730637853
"162";"P39019";"RS19_HUMAN";"40S ribosomal protein S19";"RPS19";"cytosol, cytoplasm, extracellular vesicular exosome, ribosome, nucleolus, cytosolic small ribosomal subunit";21;36;0,313432835820896;0,537313432835821;0,583333333333333;0,763762615825973
"163";"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";"cytosolic large ribosomal subunit, cytosol, nucleolus, cytoplasm, extracellular vesicular exosome, nucleus";38;84;0,567164179104478;1,25373134328358;0,452380952380952;0,672592709134549
"164";"P39748";"FEN1_HUMAN";"Flap endonuclease 1";"FEN1";"nucleolus, nucleus, nucleoplasm, mitochondrion";9;44;0,134328358208955;0,656716417910448;0,204545454545455;0,452267016866645
"165";"P40227";"TCPZ_HUMAN";"T-complex protein 1 subunit zeta";"CCT6A";"extracellular vesicular exosome, cytoplasm, acrosomal vesicle, cell body, microtubule, chaperonin-containing T-complex, cytosol, zona pellucida receptor complex";25;106;0,373134328358209;1,58208955223881;0,235849056603774;0,485642931178632
"166";"P40429";"RL13A_HUMAN";"60S ribosomal protein L13a";"RPL13A";"cytosolic large ribosomal subunit, GAIT complex, cytosol, large ribosomal subunit, ribonucleoprotein complex";22;35;0,328358208955224;0,522388059701492;0,628571428571429;0,792824967172092
"167";"P40937";"RFC5_HUMAN";"Replication factor C subunit 5";"RFC5";"DNA replication factor C complex, nucleoplasm";1;2;0,0149253731343284;0,0298507462686567;0,5;0,707106781186548
"168";"P40938";"RFC3_HUMAN";"Replication factor C subunit 3";"RFC3";"nucleoplasm, DNA replication factor C complex";22;4;0,328358208955224;0,0597014925373134;5,5;2,34520787991171
"169";"P41227";"NAA10_HUMAN";"N-alpha-acetyltransferase 10";"NAA10";"cytoplasm, nucleus, nucleolus, intracellular, NatA complex";1;14;0,0149253731343284;0,208955223880597;0,0714285714285714;0,267261241912424
"170";"P41250";"SYG_HUMAN";"Glycine--tRNA ligase";"GARS";"cytosol, secretory granule, mitochondrial matrix, nucleus, cytoplasm";1;106;0,0149253731343284;1,58208955223881;0,00943396226415094;0,0971285862357264
"171";"P41252";"SYIC_HUMAN";"Isoleucine--tRNA ligase, cytoplasmic";"IARS";"cytosol, cytoplasm, extracellular vesicular exosome";37;80;0,552238805970149;1,19402985074627;0,4625;0,680073525436772
"172";"P42224";"STAT1_HUMAN";"Signal transducer and activator of transcription 1-alpha/beta";"STAT1";"nucleolus, cytosol, dendrite, cytoplasm, axon, nucleus, nuclear chromatin, nucleoplasm";34;2;0,507462686567164;0,0298507462686567;17;4,12310562561766
"173";"P42677";"RS27_HUMAN";"40S ribosomal protein S27";"RPS27";"cytosolic small ribosomal subunit, cytosol, nucleus, ribosome";18;10;0,26865671641791;0,149253731343284;1,8;1,34164078649987
"174";"P42766";"RL35_HUMAN";"60S ribosomal protein L35";"RPL35";"cytosolic large ribosomal subunit, nucleolus, cytosol, cytoplasm";9;24;0,134328358208955;0,358208955223881;0,375;0,612372435695794
"175";"P43487";"RANG_HUMAN";"Ran-specific GTPase-activating protein";"RANBP1";"nucleus, centrosome, nuclear envelope, cytoplasm";4;27;0,0597014925373134;0,402985074626866;0,148148148148148;0,384900179459751
"176";"P43490";"NAMPT_HUMAN";"Nicotinamide phosphoribosyltransferase";"NAMPT";"cytosol, extracellular vesicular exosome, extracellular space, nucleus";10;19;0,149253731343284;0,283582089552239;0,526315789473684;0,725476250110012
"177";"P43897";"EFTS_HUMAN";"Elongation factor Ts, mitochondrial";"TSFM";"nucleus, mitochondrion";1;2;0,0149253731343284;0,0298507462686567;0,5;0,707106781186548
"178";"P45954";"ACDSB_HUMAN";"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial";"ACADSB";"mitochondrial matrix, mitochondrion";12;1;0,17910447761194;0,0149253731343284;12;3,46410161513775
"179";"P46776";"RL27A_HUMAN";"60S ribosomal protein L27a";"RPL27A";"cytosol, cytosolic large ribosomal subunit";18;27;0,26865671641791;0,402985074626866;0,666666666666667;0,816496580927726
"180";"P46777";"RL5_HUMAN";"60S ribosomal protein L5";"RPL5";"nucleolus, ribonucleoprotein complex, cytoplasm, extracellular vesicular exosome, cytosolic large ribosomal subunit, cytosol, nucleus";16;66;0,238805970149254;0,985074626865672;0,242424242424242;0,492365963917331
"181";"P46778";"RL21_HUMAN";"60S ribosomal protein L21";"RPL21";"cytosolic large ribosomal subunit, nucleolus, cytosol, cytoplasm";19;22;0,283582089552239;0,328358208955224;0,863636363636364;0,929320377284585
"182";"P46779";"RL28_HUMAN";"60S ribosomal protein L28";"RPL28";"cytosolic large ribosomal subunit, extracellular vesicular exosome, cytosol, cytoplasm";21;36;0,313432835820896;0,537313432835821;0,583333333333333;0,763762615825973
"183";"P46781";"RS9_HUMAN";"40S ribosomal protein S9";"RPS9";"cytoplasm, cytosolic small ribosomal subunit, extracellular vesicular exosome, cytosol, nucleolus, ribosome, ribonucleoprotein complex";28;43;0,417910447761194;0,641791044776119;0,651162790697674;0,806946584785929
"184";"P46782";"RS5_HUMAN";"40S ribosomal protein S5";"RPS5";"ribonucleoprotein complex, cytosolic small ribosomal subunit, cytosol, extracellular vesicular exosome";26;50;0,388059701492537;0,746268656716418;0,52;0,721110255092798
"185";"P46783";"RS10_HUMAN";"40S ribosomal protein S10";"RPS10";"cytosol, ribosome, cytoplasm, nucleolus, cytosolic small ribosomal subunit";27;60;0,402985074626866;0,895522388059702;0,45;0,670820393249937
"186";"P47897";"SYQ_HUMAN";"Glutamine--tRNA ligase";"QARS";"mitochondrial matrix, cytosol, cytoplasm";1;37;0,0149253731343284;0,552238805970149;0,027027027027027;0,164398987305357
"187";"P47914";"RL29_HUMAN";"60S ribosomal protein L29";"RPL29";"cytosol, cytosolic large ribosomal subunit";8;8;0,119402985074627;0,119402985074627;1;1
"188";"P48556";"PSMD8_HUMAN";"26S proteasome non-ATPase regulatory subunit 8";"PSMD8";"nucleoplasm, proteasome regulatory particle, cytosol, proteasome accessory complex, proteasome complex";4;4;0,0597014925373134;0,0597014925373134;1;1
"189";"P48643";"TCPE_HUMAN";"T-complex protein 1 subunit epsilon";"CCT5";"centrosome, microtubule, cell body, chaperonin-containing T-complex, extracellular vesicular exosome, cytoplasm, cytosol, nucleolus, zona pellucida receptor complex";7;112;0,104477611940299;1,67164179104478;0,0625;0,25
"190";"P49207";"RL34_HUMAN";"60S ribosomal protein L34";"RPL34";"cytoplasm, cytosol, extracellular vesicular exosome, nucleolus, cytosolic large ribosomal subunit";11;17;0,164179104477612;0,253731343283582;0,647058823529412;0,804399666539844
"191";"P49321";"NASP_HUMAN";"Nuclear autoantigenic sperm protein";"NASP";"nucleus, cytoplasm";2;91;0,0298507462686567;1,35820895522388;0,021978021978022;0,14824986333222
"192";"P49411";"EFTU_HUMAN";"Elongation factor Tu, mitochondrial";"TUFM";"mitochondrion, extracellular vesicular exosome, mitochondrial nucleoid";65;109;0,970149253731343;1,62686567164179;0,596330275229358;0,772224238954824
"193";"P49721";"PSB2_HUMAN";"Proteasome subunit beta type-2";"PSMB2";"proteasome complex, cytosol, proteasome core complex, extracellular vesicular exosome, nucleus, nucleoplasm";2;27;0,0298507462686567;0,402985074626866;0,0740740740740741;0,272165526975909
"194";"P49736";"MCM2_HUMAN";"DNA replication licensing factor MCM2";"MCM2";"nucleus, nuclear origin of replication recognition complex, nucleoplasm, microtubule cytoskeleton, MCM complex, chromatin, cytoplasm";1;95;0,0149253731343284;1,41791044776119;0,0105263157894737;0,102597835208515
"195";"P49770";"EI2BB_HUMAN";"Translation initiation factor eIF-2B subunit beta";"EIF2B2";"eukaryotic translation initiation factor 2B complex, cytoplasm, cytosol";10;4;0,149253731343284;0,0597014925373134;2,5;1,58113883008419
"196";"P50213";"IDH3A_HUMAN";"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial";"IDH3A";"mitochondrion, mitochondrial matrix";20;50;0,298507462686567;0,746268656716418;0,4;0,632455532033676
"197";"P50454";"SERPH_HUMAN";"Serpin H1";"SERPINH1";"endoplasmic reticulum lumen, extracellular space, endoplasmic reticulum, endoplasmic reticulum-Golgi intermediate compartment";17;38;0,253731343283582;0,567164179104478;0,447368421052632;0,668856054059939
"198";"P50502";"F10A1_HUMAN, F10A5_HUMAN, ST134_HUMAN";"Hsc70-interacting protein, Putative protein FAM10A4, Putative protein FAM10A5";"ST13, ST13P4, ST13P5";"cytoplasm, extracellular vesicular exosome, protein complex, cytosol";9;52;0,134328358208955;0,776119402985075;0,173076923076923;0,416025147168922
"199";"P50914";"RL14_HUMAN";"60S ribosomal protein L14";"RPL14";"cytosol, extracellular vesicular exosome, cytoplasm, cytosolic large ribosomal subunit";29;39;0,432835820895522;0,582089552238806;0,743589743589744;0,862316498502576
"200";"P50990";"TCPQ_HUMAN";"T-complex protein 1 subunit theta";"CCT8";"cell body, cytosol, centrosome, zona pellucida receptor complex, cytoplasm, aggresome, microtubule, extracellular vesicular exosome, intermediate filament cytoskeleton, chaperonin-containing T-complex";24;132;0,358208955223881;1,97014925373134;0,181818181818182;0,426401432711221
"201";"P50991";"TCPD_HUMAN";"T-complex protein 1 subunit delta";"CCT4";"extracellular vesicular exosome, centrosome, microtubule, cytoplasm, cell body, zona pellucida receptor complex, nucleus, chaperonin-containing T-complex, cytosol, melanosome";26;99;0,388059701492537;1,47761194029851;0,262626262626263;0,512470743190538
"202";"P51553";"IDH3G_HUMAN";"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial";"IDH3G";"nucleus, nucleolus, mitochondrion, mitochondrial matrix";13;5;0,194029850746269;0,0746268656716418;2,6;1,61245154965971
"203";"P51570";"GALK1_HUMAN";"Galactokinase";"GALK1";"cytosol, cytoplasm, extracellular vesicular exosome";1;22;0,0149253731343284;0,328358208955224;0,0454545454545455;0,21320071635561
"204";"P51812";"KS6A3_HUMAN";"Ribosomal protein S6 kinase alpha-3";"RPS6KA3";"cytosol, nucleoplasm";2;11;0,0298507462686567;0,164179104477612;0,181818181818182;0,426401432711221
"205";"P51817";"PRKX_HUMAN";"cAMP-dependent protein kinase catalytic subunit PRKX";"PRKX";"nucleus, cytoplasm";5;2;0,0746268656716418;0,0298507462686567;2,5;1,58113883008419
"206";"P51991";"ROA3_HUMAN";"Heterogeneous nuclear ribonucleoprotein A3";"HNRNPA3";"ribonucleoprotein complex, catalytic step 2 spliceosome, nucleoplasm";15;42;0,223880597014925;0,626865671641791;0,357142857142857;0,597614304667197
"207";"P52292";"IMA2_HUMAN";"Importin subunit alpha-2";"KPNA2";"cytosol, cytoplasm, nucleoplasm, nucleus";90;12;1,34328358208955;0,17910447761194;7,5;2,73861278752583
"208";"P52597";"HNRPF_HUMAN";"Heterogeneous nuclear ribonucleoprotein F";"HNRNPF";"nucleus, nucleoplasm, catalytic step 2 spliceosome";12;29;0,17910447761194;0,432835820895522;0,413793103448276;0,643267520902677
"209";"P52815";"RM12_HUMAN";"39S ribosomal protein L12, mitochondrial";"MRPL12";"mitochondrial large ribosomal subunit, mitochondrion";3;12;0,0447761194029851;0,17910447761194;0,25;0,5
"210";"P53621";"COPA_HUMAN";"Coatomer subunit alpha";"COPA";"extracellular vesicular exosome, COPI vesicle coat, extracellular space, cytoplasm, cytosol";36;55;0,537313432835821;0,82089552238806;0,654545454545455;0,80903983495589
"211";"P53999";"TCP4_HUMAN";"Activated RNA polymerase II transcriptional coactivator p15";"SUB1";"nucleolus, nucleus, transcription factor complex, extracellular vesicular exosome";22;41;0,328358208955224;0,611940298507463;0,536585365853659;0,73251987403323
"212";"P54136";"SYRC_HUMAN";"Arginine--tRNA ligase, cytoplasmic";"RARS";"aminoacyl-tRNA synthetase multienzyme complex, nucleus, cytoplasm, cytosol, mitochondrion, extracellular vesicular exosome";25;24;0,373134328358209;0,358208955223881;1,04166666666667;1,02062072615966
"213";"P54577";"SYYC_HUMAN";"Tyrosine--tRNA ligase, cytoplasmic";"YARS";"nucleus, cytosol, cytoplasm, extracellular space";60;108;0,895522388059702;1,61194029850746;0,555555555555556;0,74535599249993
"214";"P54920";"SNAA_HUMAN";"Alpha-soluble NSF attachment protein";"NAPA";"cytosol, extracellular vesicular exosome, synaptobrevin 2-SNAP-25-syntaxin-1a complex";14;3;0,208955223880597;0,0447761194029851;4,66666666666667;2,16024689946929
"215";"P55060";"XPO2_HUMAN";"Exportin-2";"CSE1L";"cytoplasm, nucleus, extracellular vesicular exosome";257;12;3,83582089552239;0,17910447761194;21,4166666666667;4,62781445897161
"216";"P55209";"NP1L1_HUMAN";"Nucleosome assembly protein 1-like 1";"NAP1L1";"nucleus, melanosome";20;27;0,298507462686567;0,402985074626866;0,740740740740741;0,86066296582387
"217";"P55265";"DSRAD_HUMAN";"Double-stranded RNA-specific adenosine deaminase";"ADAR";"nucleoplasm, supraspliceosomal complex, nucleolus, cytoplasm, nucleus";5;21;0,0746268656716418;0,313432835820896;0,238095238095238;0,487950036474267
"218";"P55795";"HNRH2_HUMAN";"Heterogeneous nuclear ribonucleoprotein H2";"HNRNPH2";"nucleus, ribonucleoprotein complex, nucleoplasm";2;9;0,0298507462686567;0,134328358208955;0,222222222222222;0,471404520791032
"219";"P56192";"SYMC_HUMAN";"Methionine--tRNA ligase, cytoplasmic";"MARS";"cytoplasm, cytosol, extracellular vesicular exosome, mitochondrion";50;62;0,746268656716418;0,925373134328358;0,806451612903226;0,898026510133875
"220";"P57678";"GEMI4_HUMAN";"Gem-associated protein 4";"GEMIN4";"small nuclear ribonucleoprotein complex, Gemini of coiled bodies, nucleolus, extracellular vesicular exosome, SMN-Sm protein complex, nucleoplasm, cytosol, SMN complex, cytoplasm";35;4;0,522388059701492;0,0597014925373134;8,75;2,95803989154981
"221";"P57764";"GSDMD_HUMAN";"Gasdermin-D";"GSDMD";NA;17;12;0,253731343283582;0,17910447761194;1,41666666666667;1,19023807142381
"222";"P60174";"TPIS_HUMAN";"Triosephosphate isomerase";"TPI1";"extracellular vesicular exosome, cytosol, extracellular space";11;117;0,164179104477612;1,74626865671642;0,094017094017094;0,306622070335933
"223";"P60228";"EIF3E_HUMAN";"Eukaryotic translation initiation factor 3 subunit E";"EIF3E";"nucleus, cytoplasm, eukaryotic 48S preinitiation complex, cytosol, eukaryotic 43S preinitiation complex, nucleoplasm, extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex, PML body";32;42;0,477611940298507;0,626865671641791;0,761904761904762;0,872871560943969
"224";"P60660";"MYL6_HUMAN";"Myosin light polypeptide 6";"MYL6";"extracellular vesicular exosome, cytosol, myosin complex, unconventional myosin complex";4;33;0,0597014925373134;0,492537313432836;0,121212121212121;0,348155311911396
"225";"P60709";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";"extracellular vesicular exosome, nucleoplasm, cortical cytoskeleton, cytoplasm, MLL5-L complex, axon, cytosol, ribonucleoprotein complex, extracellular space, NuA4 histone acetyltransferase complex, cytoskeleton, blood microparticle, postsynaptic density";105;382;1,56716417910448;5,70149253731343;0,274869109947644;0,52427961046339
"226";"P60842";"IF4A1_HUMAN";"Eukaryotic initiation factor 4A-I";"EIF4A1";"extracellular vesicular exosome, eukaryotic translation initiation factor 4F complex, cytosol";49;58;0,73134328358209;0,865671641791045;0,844827586206897;0,919145030018058
"227";"P60866";"RS20_HUMAN";"40S ribosomal protein S20";"RPS20";"extracellular vesicular exosome, cytosol, cytoplasm, cytosolic small ribosomal subunit";5;21;0,0746268656716418;0,313432835820896;0,238095238095238;0,487950036474267
"228";"P61160";"ARP2_HUMAN";"Actin-related protein 2";"ACTR2";"actin cap, cytosol, actin cytoskeleton, cell projection, extracellular vesicular exosome, Arp2/3 protein complex";7;41;0,104477611940299;0,611940298507463;0,170731707317073;0,413196935270669
"229";"P61163";"ACTZ_HUMAN";"Alpha-centractin";"ACTR1A";"extracellular vesicular exosome, dynactin complex, cytosol, cytoplasm, microtubule associated complex, centrosome";8;7;0,119402985074627;0,104477611940299;1,14285714285714;1,0690449676497
"230";"P61221";"ABCE1_HUMAN";"ATP-binding cassette sub-family E member 1";"ABCE1";"cytoplasm, mitochondrion";5;49;0,0746268656716418;0,73134328358209;0,102040816326531;0,31943828249997
"231";"P61247";"RS3A_HUMAN";"40S ribosomal protein S3a";"RPS3A";"ribonucleoprotein complex, nucleolus, nucleus, extracellular vesicular exosome, cytoplasm, cytosolic small ribosomal subunit, cytosol";42;80;0,626865671641791;1,19402985074627;0,525;0,724568837309472
"232";"P61254";"RL26_HUMAN";"60S ribosomal protein L26";"RPL26";"cytosolic large ribosomal subunit, cytosol, extracellular vesicular exosome";21;36;0,313432835820896;0,537313432835821;0,583333333333333;0,763762615825973
"233";"P61289";"PSME3_HUMAN";"Proteasome activator complex subunit 3";"PSME3";"cytosol, proteasome activator complex, nucleus, proteasome complex, cytoplasm, nucleoplasm";9;30;0,134328358208955;0,447761194029851;0,3;0,547722557505166
"234";"P61313";"RL15_HUMAN";"60S ribosomal protein L15";"RPL15";"cytosolic large ribosomal subunit, cytosol, ribosome";29;34;0,432835820895522;0,507462686567164;0,852941176470588;0,923548145182799
