"";"AC";"db2goCC";"Florian.GoCC"
"161";"P60709";"ribonucleoprotein complex, MLL5-L complex, cortical cytoskeleton, cytosol, blood microparticle, NuA4 histone acetyltransferase complex, cytoskeleton, extracellular vesicular exosome, postsynaptic density, axon";"MLL5-L complex;extracellular vesicular exosome;ribonucleoprotein complex;cytosol;NuA4 histone acetyltransferase complex;postsynaptic density;cytoskeleton;axon;cortical cytoskeleton;filamentous actin;myofibril"
"162";"P60842";"cytosol, eukaryotic translation initiation factor 4F complex, extracellular vesicular exosome";"cytosol;eukaryotic translation initiation factor 4F complex"
"163";"P60866";"extracellular vesicular exosome, cytosolic small ribosomal subunit";"cytosolic small ribosomal subunit"
"164";"P61604";"extracellular vesicular exosome, mitochondrion, mitochondrial matrix";"mitochondrial matrix;mitochondrion"
"165";"P61978";"extracellular vesicular exosome, podosome, nucleoplasm, nuclear chromatin, cytoplasm, cell projection, cell junction, catalytic step 2 spliceosome";"cell projection;cell junction;podosome;catalytic step 2 spliceosome;cytoplasm;nuclear chromatin;nucleoplasm"
"166";"P61981";"extracellular vesicular exosome, cytosol, cytoplasmic vesicle membrane";"extracellular vesicular exosome;cytoplasmic vesicle membrane;cytosol"
"167";"P62195";"cytoplasmic vesicle, nucleoplasm, proteasome accessory complex, cytosolic proteasome complex, inclusion body, blood microparticle, extracellular vesicular exosome, nuclear proteasome complex, cytosol";"proteasome accessory complex;nuclear proteasome complex;cytoplasmic vesicle;nucleoplasm;cytosol"
"168";"P62249";"extracellular vesicular exosome, cytosolic small ribosomal subunit";"cytosolic small ribosomal subunit"
"169";"P62258";"mitochondrion, cytosol, extracellular vesicular exosome, kinesin complex, cytoplasmic vesicle membrane, melanosome";"kinesin complex;mitochondrion;cytosol;cytoplasmic vesicle membrane;extracellular vesicular exosome;melanosome"
"170";"P62263";"extracellular vesicular exosome, nucleolus, mitochondrion, cytosolic small ribosomal subunit";"cytosolic small ribosomal subunit;nucleolus;mitochondrion"
"171";"P62269";"cytosolic small ribosomal subunit, extracellular vesicular exosome";"cytosolic small ribosomal subunit"
"172";"P62273";"cytosolic small ribosomal subunit, extracellular vesicular exosome";"cytosolic small ribosomal subunit"
"173";"P62306";"U7 snRNP, cytosol, nucleoplasm, U1 snRNP, pICln-Sm protein complex, U12-type spliceosomal complex, methylosome, catalytic step 2 spliceosome, SMN-Sm protein complex, U4 snRNP";"U12-type spliceosomal complex;catalytic step 2 spliceosome;cytosol;nucleoplasm;U7 snRNP"
"174";"P62701";"cytosolic small ribosomal subunit, extracellular vesicular exosome, polysome";"cytosolic small ribosomal subunit;polysome"
"175";"P62805";"nucleosome, nucleolus, extracellular vesicular exosome, actin cytoskeleton, nucleoplasm";"nucleolus;nucleosome;nucleoplasm;actin cytoskeleton;extracellular region"
"176";"P62826";"melanosome, nucleoplasm, nuclear pore, extracellular vesicular exosome, cytosol";"cytosol;nucleoplasm;melanosome;nuclear pore"
"177";"P62857";"extracellular vesicular exosome, cytosolic small ribosomal subunit";"cytosolic small ribosomal subunit"
"178";"P62873";"heterotrimeric G-protein complex, photoreceptor inner segment, lysosomal membrane, extracellular vesicular exosome, dendrite, cell body, photoreceptor outer segment membrane, photoreceptor disc membrane";"cell body;photoreceptor disc membrane;heterotrimeric G-protein complex;dendrite;photoreceptor outer segment membrane;photoreceptor inner segment;protein complex;plasma membrane;perinuclear region of cytoplasm"
"179";"P62913";"extracellular vesicular exosome, cytosolic large ribosomal subunit, nucleolus";"cytosolic large ribosomal subunit;nucleolus"
"180";"P62937";"cytosol, nucleus, extracellular vesicular exosome";"extracellular region;cytosol;nucleus"
"181";"P63104";"cytosol, blood microparticle, protein complex, mast cell granule, perinuclear region of cytoplasm, postsynaptic density, melanosome, nucleoplasm, mitochondrion, cell leading edge, extracellular vesicular exosome, cytoplasmic vesicle membrane";"mitochondrion;cell leading edge;nucleoplasm;melanosome;perinuclear region of cytoplasm;protein complex;cytosol;extracellular vesicular exosome;cytoplasmic vesicle membrane;postsynaptic density"
"182";"P63173";"cytosolic large ribosomal subunit, eukaryotic 80S initiation complex";"cytosolic large ribosomal subunit;eukaryotic 80S initiation complex"
"183";"P63244";"neuronal cell body, mitochondrion, cytoskeleton, phagocytic cup, cytosol, nucleus, perinuclear region of cytoplasm, dendrite, perikaryon, midbody, small ribosomal subunit, extracellular vesicular exosome";"perinuclear region of cytoplasm;perikaryon;dendrite;cytoskeleton;neuronal cell body;nucleus;midbody;phagocytic cup;small ribosomal subunit"
"184";"P67809";"CRD-mediated mRNA stability complex, cytoplasmic stress granule, U12-type spliceosomal complex, nucleoplasm, histone pre-mRNA 3'end processing complex, extracellular vesicular exosome";"nucleoplasm;cytoplasmic stress granule;CRD-mediated mRNA stability complex;extracellular vesicular exosome;histone pre-mRNA 3'end processing complex;U12-type spliceosomal complex"
"185";"P67936";"filamentous actin, cytosol, podosome, extracellular vesicular exosome, muscle thin filament tropomyosin, stress fiber, cortical cytoskeleton";"filamentous actin;cytosol;podosome;muscle thin filament tropomyosin;cortical cytoskeleton;stress fiber"
"186";"P68032";"I band, cytosol, extracellular vesicular exosome, actomyosin, actin portion, blood microparticle";"I band;actomyosin;extracellular vesicular exosome;cytosol;stress fiber;actin filament;striated muscle thin filament"
"187";"P68104";"extracellular space, eukaryotic translation elongation factor 1 complex, nucleus, cytosol, plasma membrane, extracellular vesicular exosome";"eukaryotic translation elongation factor 1 complex;plasma membrane;cytosol;nucleus;cytoplasm"
"188";"P68363";"microtubule, cytoplasmic microtubule";"microtubule;cytoplasmic microtubule;cytosol"
"189";"P68371";"cytosol, extracellular vesicular exosome, nucleus, microtubule, plasma membrane";"microtubule;cytosol;nucleus;plasma membrane"
"190";"P68431";"nucleosome, nucleoplasm, extracellular vesicular exosome";"nucleoplasm;nucleosome;extracellular region"
"191";"P78371";"zona pellucida receptor complex, cell body, chaperonin-containing T-complex, nucleus, extracellular vesicular exosome, microtubule, cytosol";"nucleus;zona pellucida receptor complex;cytosol;microtubule;chaperonin-containing T-complex"
"193";"P82979";"nuclear speck, transcription export complex";"nucleus"
"194";"P84101";"nucleus, cytosol";"nucleus;cytosol"
"196";"Q00839";"cell surface, catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm";"catalytic step 2 spliceosome;nucleoplasm;CRD-mediated mRNA stability complex;cell surface"
"197";"Q01518";"cortical actin cytoskeleton, plasma membrane, extracellular vesicular exosome";"plasma membrane;cortical actin cytoskeleton"
"198";"Q01844";"plasma membrane, nucleus, cytoplasm";"nucleus;cytoplasm;plasma membrane"
"199";"Q02790";"perinuclear region of cytoplasm, microtubule, axonal growth cone, extracellular vesicular exosome, neuronal cell body, cytosol, mitochondrion, nucleus, membrane";"membrane;microtubule;cytosol;mitochondrion;nucleus;neuronal cell body;axonal growth cone;perinuclear region of cytoplasm"
"200";"Q03252";"nuclear inner membrane, intermediate filament";"intermediate filament;nuclear lamina;nuclear inner membrane"
"201";"Q04837";"mitochondrial nucleoid, extracellular vesicular exosome";"mitochondrial nucleoid"
"202";"Q06830";"extracellular space, nuclear euchromatin, melanosome, mitochondrial matrix, mitochondrion, nucleus, cytosol, extracellular vesicular exosome, peroxisomal matrix, nucleolus";"cytosol;peroxisomal matrix;mitochondrial matrix;mitochondrion;nuclear euchromatin;melanosome;nucleolus;nucleus"
"203";"Q07666";"cytoplasm, Grb2-Sos complex, membrane, nucleus";"nucleus;membrane;cytoplasm;Grb2-Sos complex"
"204";"Q07955";"catalytic step 2 spliceosome, cytoplasm, nuclear speck";"cytoplasm;catalytic step 2 spliceosome;nuclear speck"
"205";"Q12931";"mitochondrial inner membrane, mitochondrial matrix";"mitochondrial matrix;mitochondrial inner membrane"
"206";"Q13162";"mitochondrion, extracellular space, extracellular vesicular exosome";"mitochondrion;extracellular space"
"207";"Q13185";"nuclear inner membrane, spindle, nuclear euchromatin, nuclear centromeric heterochromatin, condensed chromosome, centromeric region";"condensed chromosome;nuclear centromeric heterochromatin;nuclear inner membrane;spindle;nuclear euchromatin"
"208";"Q13200";"extracellular vesicular exosome, cytosol, nucleoplasm, proteasome regulatory particle";"cytosol;proteasome regulatory particle;nucleoplasm"
"209";"Q13263";"nuclear euchromatin, nuclear heterochromatin, nucleoplasm";"nucleoplasm;nuclear heterochromatin;nuclear euchromatin"
"210";"Q13283";"cytoplasm, plasma membrane, cytosol, cytoplasmic stress granule, nucleus";"cytosol;nucleus;plasma membrane;cytoplasm;cytoplasmic stress granule"
"211";"Q13347";"eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, extracellular vesicular exosome, cytosol, eukaryotic translation initiation factor 3 complex";"eukaryotic translation initiation factor 3 complex;eukaryotic 43S preinitiation complex;cytosol;eukaryotic 48S preinitiation complex"
"212";"Q13573";"nuclear matrix, nucleoplasm, catalytic step 2 spliceosome, chromatin";"nuclear matrix;chromatin;catalytic step 2 spliceosome;nucleoplasm"
"213";"Q13765";"nucleus, nascent polypeptide-associated complex, extracellular vesicular exosome";"nascent polypeptide-associated complex;nucleus"
"214";"Q13885";"microtubule, extracellular vesicular exosome, cytoplasm, plasma membrane";"cytoplasm;microtubule;plasma membrane"
"215";"Q14103";"nucleoplasm, ribonucleoprotein complex, cytosol";"nucleoplasm;cytosol;ribonucleoprotein complex"
"216";"Q14141";"cleavage furrow, condensed chromosome kinetochore, cytoplasm, axon terminus, septin complex, midbody, spindle, synaptic vesicle";"spindle;cleavage furrow;condensed chromosome kinetochore;axon terminus;cytoplasm;synaptic vesicle;septin complex;midbody"
"217";"Q14151";"nucleus, cytoplasm";"nucleus;cytoplasm"
"218";"Q14444";"cytosol, cytoplasmic mRNA processing body, dendrite, cytoplasmic stress granule, integral component of plasma membrane";"cytosol;integral to plasma membrane;dendrite;cytoplasmic stress granule;cytoplasmic mRNA processing body"
"219";"Q14566";"nucleoplasm, MCM complex";"MCM complex;nucleoplasm"
"220";"Q15004";"nucleus, perinuclear region of cytoplasm";"perinuclear region of cytoplasm;nucleus"
"221";"Q15056";"perinuclear region of cytoplasm, eukaryotic translation initiation factor 4F complex, cytosol";"perinuclear region of cytoplasm;eukaryotic translation initiation factor 4F complex;cytosol"
"222";"Q15233";"paraspeckles, nuclear speck, nuclear matrix, nucleolus";"paraspeckles;nuclear speck;nuclear matrix;nucleolus"
"223";"Q15365";"nucleoplasm, cytoplasm, extracellular vesicular exosome, ribonucleoprotein complex";"nucleoplasm;ribonucleoprotein complex;cytoplasm"
"224";"Q15366";"ribonucleoprotein complex, nucleoplasm, cytosol";"nucleoplasm;cytosol;ribonucleoprotein complex"
"226";"Q15428";"catalytic step 2 spliceosome, small nuclear ribonucleoprotein complex, nucleoplasm";"catalytic step 2 spliceosome;nucleoplasm;small nuclear ribonucleoprotein complex"
"227";"Q15459";"catalytic step 2 spliceosome, nucleoplasm, U2-type spliceosomal complex";"nucleoplasm;catalytic step 2 spliceosome;U2-type spliceosomal complex"
"228";"Q16555";"membrane, cytosol, dendrite, extracellular vesicular exosome, growth cone, mitochondrion, axon, protein complex, neuronal cell body, cytoskeleton";"axon;protein complex;mitochondrion;cytosol;neuronal cell body;growth cone;dendrite"
"229";"Q16576";"NuRD complex, ESC/E(Z) complex";"NuRD complex;ESC/E(Z) complex"
"230";"Q16891";"integral component of membrane, mitochondrial inner membrane";"mitochondrial inner membrane;integral to membrane"
"231";"Q562R1";"cytoplasm, extracellular space, cytoskeleton, extracellular vesicular exosome";"cytoplasm;cytoskeleton"
"233";"Q7Z2W4";"nucleus, plasma membrane, Golgi apparatus, cytoplasm";"nucleus;cytoplasm;plasma membrane;Golgi apparatus"
"234";"Q86YP4";"NuRD complex, nuclear speck";"NuRD complex;nuclear speck"
"235";"Q8IUE6";"extracellular vesicular exosome, nucleosome, nucleus";"nucleus;nucleosome"
"236";"Q8N163";"nuclear chromatin, mitochondrial matrix, DBIRD complex";"DBIRD complex;nuclear chromatin;mitochondrial matrix"
"237";"Q8N183";"mitochondrion";"membrane;mitochondrion"
"238";"Q8NC51";"nucleus, extracellular vesicular exosome, cytoplasm, perinuclear region of cytoplasm, plasma membrane";"cytoplasm;perinuclear region of cytoplasm;nucleus;plasma membrane"
"240";"Q8WXI9";"nuclear speck, nucleus";"nucleus;nuclear speck"
"241";"Q92499";"cytoplasmic stress granule, cleavage body, tRNA-splicing ligase complex";"cleavage body;cytoplasmic stress granule;tRNA-splicing ligase complex"
"242";"Q92598";"endocytic vesicle lumen, extracellular vesicular exosome, nucleus, microtubule";"microtubule;extracellular region;endocytic vesicle lumen;nucleus"
"243";"Q92841";"nucleus, nucleolus";"nucleus;nucleolus"
"244";"Q95604";"MHC class I protein complex, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, cell surface";"MHC class I protein complex;ER to Golgi transport vesicle membrane;phagocytic vesicle membrane;plasma membrane;Golgi membrane;integral to lumenal side of endoplasmic reticulum membrane;early endosome membrane"
"245";"Q96CT7";"cytoplasm, microtubule organizing center, midbody";"microtubule organizing center;midbody;cytoplasm"
"246";"Q96HS1";"integral component of membrane, mitochondrial outer membrane";"integral to membrane;mitochondrial outer membrane"
"247";"Q96PK6";"mediator complex, ribonucleoprotein complex, transcription factor complex";"transcription factor complex;ribonucleoprotein complex;mediator complex"
"248";"Q96T88";"nuclear chromatin, nuclear matrix, replication fork, heterochromatin, euchromatin";"nuclear matrix;heterochromatin;replication fork;euchromatin;nuclear chromatin"
"249";"Q99623";"protein complex, mitochondrial inner membrane, nuclear matrix";"mitochondrial inner membrane;nucleus"
"250";"Q99653";"endoplasmic reticulum-Golgi intermediate compartment, transport vesicle, plasma membrane, endoplasmic reticulum, cytosol, microtubule cytoskeleton, Golgi membrane, nucleus, extracellular vesicular exosome";"endoplasmic reticulum;Golgi membrane;nucleus;microtubule cytoskeleton;endoplasmic reticulum-Golgi intermediate compartment;transport vesicle;plasma membrane;cytosol"
"251";"Q99729";"nucleus, cytoplasm, ribonucleoprotein complex";"nucleus;ribonucleoprotein complex;cytoplasm"
"252";"Q99832";"extracellular vesicular exosome, mitochondrion, chaperonin-containing T-complex, zona pellucida receptor complex, cell body, cytosol, microtubule";"microtubule;cytosol;mitochondrion;chaperonin-containing T-complex;zona pellucida receptor complex"
"253";"Q9BU61";"nucleus, mitochondrial inner membrane";"mitochondrial inner membrane;nucleus"
"254";"Q9BUF5";"plasma membrane, extracellular vesicular exosome, cytoplasm, microtubule";"cytoplasm;plasma membrane;microtubule"
"255";"Q9BY77";"cytoplasm, nuclear speck";"cytoplasm;nuclear speck"
"256";"Q9GZT3";"mitochondrion, ribonucleoprotein complex, nucleus";"mitochondrion;ribonucleoprotein complex;nucleus"
"257";"Q9H4G4";"Golgi membrane, extracellular vesicular exosome";"extracellular region;Golgi membrane"
"258";"Q9H9B4";"mitochondrial inner membrane, integral component of membrane, mitochondrion";"integral to membrane;mitochondrion;mitochondrial inner membrane"
"259";"Q9HB71";"nuclear envelope lumen, cell body, neuron projection, extracellular vesicular exosome, beta-catenin destruction complex";"neuron projection;beta-catenin destruction complex;nuclear envelope lumen;cell body"
"260";"Q9NSI8";"nucleus, cytoplasm, ruffle";"nucleus;ruffle;cytoplasm"
"261";"Q9NVI7";"mitochondrial nucleoid, integral component of membrane, mitochondrion, mitochondrial inner membrane";"integral to membrane;mitochondrion;mitochondrial nucleoid;mitochondrial inner membrane"
"262";"Q9NX63";"mitochondrial inner membrane, extracellular vesicular exosome, nucleus";"mitochondrial inner membrane;nucleus"
"263";"Q9P0J0";"nucleoplasm, integral component of membrane, mitochondrial respiratory chain complex I";"nucleoplasm;mitochondrial respiratory chain complex I;integral to membrane"
"264";"Q9UHX1";"nucleus, ribonucleoprotein complex";"nucleus;ribonucleoprotein complex"
"265";"Q9UI08";"cytosol, focal adhesion, lamellipodium, cytoskeleton";"cytoskeleton;cytosol;lamellipodium;focal adhesion"
"266";"Q9UJZ1";"mitochondrial intermembrane space, cytoskeleton, extrinsic component of plasma membrane, mitochondrial inner membrane, membrane raft";"mitochondrial intermembrane space;cytoskeleton;membrane raft;extrinsic to plasma membrane;mitochondrial inner membrane"
"268";"Q9Y230";"NuA4 histone acetyltransferase complex, extracellular vesicular exosome, membrane, nuclear matrix, MLL1 complex, Ino80 complex, cytoplasm, ribonucleoprotein complex";"membrane;cytoplasm;ribonucleoprotein complex;Ino80 complex;MLL1 complex;NuA4 histone acetyltransferase complex;nuclear matrix"
"269";"Q9Y237";"preribosome, mitochondrial matrix, cytoplasm, spindle, nucleolus";"cytoplasm;nucleolus;spindle;mitochondrial matrix;preribosome"
"270";"Q9Y266";"microtubule, nucleoplasm, cytosol";"microtubule;nucleoplasm;cytosol"
"271";"Q9Y3I0";"cytoplasm, tRNA-splicing ligase complex";"cytoplasm;tRNA-splicing ligase complex"
"272";"Q9Y490";"cytosol, actin cytoskeleton, ruffle, intracellular membrane-bounded organelle, centrosome, focal adhesion, cell-cell junction, extracellular vesicular exosome, plasma membrane, cell surface, ruffle membrane";"cell surface;cell-cell junction;ruffle membrane;focal adhesion;plasma membrane;actin cytoskeleton;cytosol;ruffle;extracellular vesicular exosome;intracellular membrane-bounded organelle;centrosome"
