"";"Protein.Acs";"X.1";"X";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5572";"Spectra.Count.P5572";"DNSAF.P5572";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc";"Go.Mf"
"67";"P14868";116;116;"P14868";"SYDC_HUMAN";"Aspartate--tRNA ligase, cytoplasmic";"DARS";4;4;"6.21629591683054E-4";4;4;"7.87120042427922E-4";0;"extracellular vesicular exosome, cytosol";0,000899887514060742;"protein binding, aminoacylase activity, aspartate-tRNA ligase activity, ATP binding, poly(A) RNA binding"
"68";"P15311";118;118;"P15311";"EZRI_HUMAN";"Ezrin";"EZR";6;8;"0.00133570849048645";6;8;"0.00169130127936233";29;"cortical cytoskeleton, astrocyte projection, Schwann cell microvillus, nucleolus, cytosol, actin filament, uropod, microvillus, T-tubule, cell body, microspike, extracellular vesicular exosome, extrinsic component of membrane, ruffle membrane, ruffle, filopodium, microvillus membrane, apical plasma membrane, membrane raft, basolateral plasma membrane, cell tip, apical part of cell";0,00179977502812148;"poly(A) RNA binding, cell adhesion molecule binding, actin filament binding, protein binding"
"69";"P15880";119;119;"P15880";"RS2_HUMAN";"40S ribosomal protein S2";"RPS2";3;3;"7.97192215272721E-4";3;3;"0.00100942101004195";0;"cytosolic small ribosomal subunit, extracellular vesicular exosome, nucleoplasm";0,000674915635545557;"protein binding, mRNA binding, structural constituent of ribosome, enzyme binding, fibroblast growth factor binding, poly(A) RNA binding"
"70";"P16152";120;120;"P16152";"CBR1_HUMAN";"Carbonyl reductase [NADPH] 1";"CBR1";5;6;"0.00168647883808597";5;6;"0.00213545383351835";0;"extracellular vesicular exosome, cytosol";0,00134983127109111;"carbonyl reductase (NADPH) activity, 15-hydroxyprostaglandin dehydrogenase (NADP+) activity, oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor, prostaglandin-E2 9-reductase activity"
"71";"P16949";122;122;"P16949-1,P16949-2";"STMN1_HUMAN";"Stathmin";"STMN1";7;15;"0.00391908253481388";7;15;"0";0;"membrane, microtubule, intracellular, cytosol, extracellular vesicular exosome";0,00337457817772778;"tubulin binding, signal transducer activity"
"72";"P17066";123;123;"P17066";"HSP76_HUMAN";"Heat shock 70 kDa protein 6";"HSPA6";0;0;"0";0;0;"0";24;"blood microparticle, extracellular vesicular exosome";0;"heat shock protein binding, enzyme binding, ATPase activity, coupled, ATP binding, unfolded protein binding"
"73";"P17844";124;124;"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";15;24;"0.00405648096693686";15;24;"0.0051363987711051";14;"catalytic step 2 spliceosome, extracellular vesicular exosome, nucleolus";0,00539932508436445;"pre-mRNA binding, androgen receptor binding, ATP-dependent RNA helicase activity, poly(A) RNA binding, ATP binding, transcription coactivator activity, RNA helicase activity, estrogen receptor binding, protein binding"
"74";"P17987";126;126;"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";8;11;"0.0015403780034916";8;11;"0.00195045798283286";0;"cell body, plasma membrane, Golgi apparatus, chaperonin-containing T-complex, extracellular vesicular exosome, nuclear heterochromatin, nucleus, microtubule, zona pellucida receptor complex, cytosol, cell junction, centrosome, acrosomal vesicle, pericentriolar material";0,00247469066366704;"ATP binding, poly(A) RNA binding, unfolded protein binding"
"75";"P18077";127;127;"P18077";"RL35A_HUMAN";"60S ribosomal protein L35a";"RPL35A";3;4;"0.002831240231211";3;4;"0.00358497401142172";0;"cytosolic large ribosomal subunit, extracellular vesicular exosome";0,000899887514060742;"tRNA binding, poly(A) RNA binding, structural constituent of ribosome"
"76";"P18669";128;128;"P18669";"PGAM1_HUMAN";"Phosphoglycerate mutase 1";"PGAM1";8;16;"0.00490451063674346";8;16;"0.00621019120088802";0;"cytosol, extracellular vesicular exosome";0,00359955005624297;"bisphosphoglycerate mutase activity, phosphoglycerate mutase activity, bisphosphoglycerate 2-phosphatase activity, protein binding, protein kinase binding"
"77";"P19338";131;131;"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";12;19;"0.00208355355043345";12;19;"0.00263823791685612";0;"ribonucleoprotein complex, nucleoplasm, extracellular vesicular exosome, nucleolus, cell cortex";0,00427446569178853;"nucleotide binding, protein C-terminus binding, poly(A) RNA binding, RNA binding, telomeric DNA binding, identical protein binding, protein binding"
"78";"P20231";132;132;"P20231,Q15661-1,Q15661-2";"TRYB1_HUMAN, TRYB2_HUMAN";"Tryptase alpha/beta-1, Tryptase beta-2";"TPSAB1, TPSB2";4;5;"4.718733718685E-4";4;5;"0.00179248700571086";0;"extracellular region";0,00112485939257593;"serine-type endopeptidase activity, serine-type peptidase activity"
"79";"P21281";135;135;"P21281";"VATB2_HUMAN";"V-type proton ATPase subunit B, brain isoform";"ATP6V1B2";1;1;"1.52366157256952E-4";1;1;"1.92929129773185E-4";0;"integral component of membrane, microvillus, cytosol, lysosomal membrane, melanosome, extracellular vesicular exosome, plasma membrane, proton-transporting V-type ATPase, V1 domain, Golgi apparatus";0,000224971878515186;"proton-transporting ATPase activity, rotational mechanism, hydrogen ion transmembrane transporter activity, ATP binding"
"80";"P21333";136;136;"P21333-1,P21333-2";"FLNA_HUMAN";"Filamin-A";"FLNA";11;15;"2.20605703697495E-4";11;15;"0";0;"cytosol, plasma membrane, dendritic shaft, nucleus, cortical cytoskeleton, actin filament, perinuclear region of cytoplasm, apical dendrite, extracellular vesicular exosome, trans-Golgi network, Myb complex, actin cytoskeleton, neuronal cell body";0,00337457817772778;"actin filament binding, transcription factor binding, poly(A) RNA binding, Rho GTPase binding, small GTPase binding, protein binding, glycoprotein binding, Ral GTPase binding, protein homodimerization activity, Rac GTPase binding, signal transducer activity, Fc-gamma receptor I complex binding"
"81";"P21796";137;137;"P21796";"VDAC1_HUMAN";"Voltage-dependent anion-selective channel protein 1";"VDAC1";11;17;"0.00545655692381507";11;17;"0.0069092034466299";3;"mitochondrial outer membrane, mitochondrial inner membrane, pore complex, extracellular vesicular exosome, mitochondrial nucleoid, plasma membrane";0,00382452193475816;"voltage-gated anion channel activity, protein binding, porin activity"
"82";"P22087";138;138;"P22087";"FBRL_HUMAN";"rRNA 2'-O-methyltransferase fibrillarin";"FBL";5;6;"0.00145531039922061";5;6;"0.00184274365073079";0;"box C/D snoRNP complex, extracellular vesicular exosome, granular component, Cajal body";0,00134983127109111;"poly(A) RNA binding, protein binding, RNA binding, histone-glutamine methyltransferase activity"
"83";"P22102";139;139;"P22102-1,P22102-2";"PUR2_HUMAN";"Trifunctional purine biosynthetic protein adenosine-3";"GART";2;2;"7.70882241171312E-5";2;2;"0";0;"cytosol, extracellular vesicular exosome";0,000449943757030371;"methyltransferase activity, phosphoribosylglycinamide formyltransferase activity, phosphoribosylamine-glycine ligase activity, ATP binding, phosphoribosylformylglycinamidine cyclo-ligase activity, metal ion binding"
"84";"P22234";140;140;"P22234-1,P22234-2";"PUR6_HUMAN";"Multifunctional protein ADE2";"PAICS";3;3;"2.74796845970479E-4";3;3;"0";0;"extracellular vesicular exosome, cytosol";0,000674915635545557;"ATP binding, protein binding, phosphoribosylaminoimidazolesuccinocarboxamide synthase activity, identical protein binding, phosphoribosylaminoimidazole carboxylase activity"
"85";"P22314";142;142;"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";9;16;"0.00117745340428435";9;16;"0.00149091546788805";0;"extracellular vesicular exosome";0,00359955005624297;"ubiquitin activating enzyme activity, ATP binding, poly(A) RNA binding, protein binding, ubiquitin-protein transferase activity"
"86";"P22392";143;143;"P22392-1,P22392-2";"NDKB_HUMAN";"Nucleoside diphosphate kinase B";"NME2";7;12;"0.00307338577730141";7;12;"0";0;"ruffle, extracellular vesicular exosome, cytosol, nucleus, lamellipodium, cell periphery";0,00269966254218223;"protein histidine kinase activity, DNA binding, nucleoside diphosphate kinase activity, metal ion binding, ATP binding, sequence-specific DNA binding transcription factor activity, protein binding"
"87";"P23284";149;149;"P23284";"PPIB_HUMAN";"Peptidyl-prolyl cis-trans isomerase B";"PPIB";11;18;"0.00648825886319187";11;18;"0.00821556544284144";0;"endoplasmic reticulum lumen, extracellular vesicular exosome, melanosome, macromolecular complex";0,00404949381327334;"peptide binding, poly(A) RNA binding, protein complex binding, peptidyl-prolyl cis-trans isomerase activity, unfolded protein binding, protein binding"
"88";"P23396";150;150;"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";6;7;"0.00224285491567126";6;7;"0.00283994854814272";0;"ruffle membrane, nucleus, extracellular vesicular exosome, cytosolic small ribosomal subunit";0,0015748031496063;"structural constituent of ribosome, NF-kappaB binding, protein kinase A binding, endonuclease activity, iron-sulfur cluster binding, damaged DNA binding, poly(A) RNA binding, protein kinase binding, enzyme binding, mRNA binding, DNA-(apurinic or apyrimidinic site) lyase activity, protein binding"
"89";"P23528";152;152;"P23528";"COF1_HUMAN";"Cofilin-1";"CFL1";5;7;"0.00328321532836215";5;7;"0.00415727407951013";0;"ruffle membrane, extracellular space, cytoplasm, extracellular vesicular exosome, nucleus, cortical actin cytoskeleton, lamellipodium membrane, nuclear matrix";0,0015748031496063;"protein binding"
"90";"P24752";155;155;"P24752";"THIL_HUMAN";"Acetyl-CoA acetyltransferase, mitochondrial";"ACAT1";7;10;"0.00182339827537008";7;10;"0.00230882401203975";0;"mitochondrial matrix, mitochondrial inner membrane, extracellular vesicular exosome";0,00224971878515186;"acetyl-CoA C-acetyltransferase activity, metal ion binding, coenzyme binding"
"91";"P25705";158;158;"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";33;78;"0.0109819354357099";33;78;"0.0139055501889685";0;"mitochondrial matrix, plasma membrane, mitochondrial proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, catalytic core F(1), extracellular vesicular exosome";0,0175478065241845;"poly(A) RNA binding, protein binding, ATP binding, proton-transporting ATPase activity, rotational mechanism, MHC class I protein binding, transmembrane transporter activity, proton-transporting ATP synthase activity, rotational mechanism"
"92";"P25787";159;159;"P25787";"PSA2_HUMAN";"Proteasome subunit alpha type-2";"PSMA2";2;2;"6.65462447506859E-4";2;2;"8.42622096701686E-4";0;"nucleoplasm, cytoplasmic mRNA processing body, proteasome core complex, alpha-subunit complex, proteasome core complex, extracellular vesicular exosome, cytosol";0,000449943757030371;"threonine-type endopeptidase activity, protein binding"
"93";"P25789";160;160;"P25789-1";"PSA4_HUMAN";"Proteasome subunit alpha type-4";"PSMA4";3;3;"8.94932256991982E-4";3;3;"0";0;"nucleoplasm, cytosol, proteasome core complex, extracellular vesicular exosome, cytoplasmic mRNA processing body, proteasome core complex, alpha-subunit complex";0,000674915635545557;"protein binding, threonine-type endopeptidase activity"
"94";"P26038";161;161;"P26038";"MOES_HUMAN";"Moesin";"MSN";38;105;"0.0178046237910813";38;105;"0.0225445770622106";29;"apical plasma membrane, apical part of cell, basolateral plasma membrane, filopodium, microvillus membrane, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleolus, uropod, extrinsic component of membrane, plasma membrane, microvillus, blood microparticle";0,0236220472440945;"protein kinase binding, protein binding, double-stranded RNA binding, structural constituent of cytoskeleton, receptor binding, cell adhesion molecule binding"
"95";"P27348";164;164;"P27348";"1433T_HUMAN";"14-3-3 protein theta";"YWHAQ";2;3;"0.00134664474772778";2;3;"0.00170514899089178";6;"cytosol, protein complex, extracellular vesicular exosome, cytoplasmic vesicle membrane";0,000674915635545557;"protein N-terminus binding, protein binding"
"96";"P27797";165;165;"P27797";"CALR_HUMAN";"Calreticulin";"CALR";4;4;"7.46849941086834E-4";4;4;"9.45676597737144E-4";0;"endocytic vesicle lumen, acrosomal vesicle, nucleus, cytosol, extracellular space, endoplasmic reticulum lumen, perinuclear region of cytoplasm, Golgi apparatus, external side of plasma membrane, sarcoplasmic reticulum lumen, proteinaceous extracellular matrix, polysome, MHC class I peptide loading complex, extracellular vesicular exosome, cell surface, integral component of lumenal side of endoplasmic reticulum membrane";0,000899887514060742;"protein binding involved in protein folding, integrin binding, DNA binding, unfolded protein binding, chaperone binding, calcium ion binding, zinc ion binding, carbohydrate binding, iron ion binding, androgen receptor binding, protein binding, peptide binding, ubiquitin protein ligase binding, mRNA binding, poly(A) RNA binding, glycoprotein binding, hormone binding, complement component C1q binding"
"97";"P27816";166;166;"P27816-1,P27816-6";"MAP4_HUMAN";"Microtubule-associated protein 4";"MAP4";11;15;"5.06895223686865E-4";11;15;"0";0;"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane";0,00337457817772778;"poly(A) RNA binding, protein binding, structural molecule activity"
"98";"P28066";167;167;"P28066";"PSA5_HUMAN";"Proteasome subunit alpha type-5";"PSMA5";2;2;"6.46133662724502E-4";2;2;"8.18147595967612E-4";0;"extracellular vesicular exosome, nucleoplasm, proteasome core complex, cytosol, proteasome core complex, alpha-subunit complex";0,000449943757030371;"threonine-type endopeptidase activity, protein binding"
"99";"P28070";168;168;"P28070";"PSB4_HUMAN";"Proteasome subunit beta type-4";"PSMB4";2;2;"5.89841714835625E-4";2;2;"7.46869585712858E-4";0;"proteasome core complex, cytosol, extracellular vesicular exosome, nucleoplasm";0,000449943757030371;"threonine-type endopeptidase activity, lipopolysaccharide binding"
"100";"P28072";169;169;"P28072";"PSB6_HUMAN";"Proteasome subunit beta type-6";"PSMB6";2;2;"6.51540638981611E-4";2;2;"8.24994019364831E-4";0;"nucleoplasm, extracellular vesicular exosome, proteasome core complex, cytosol";0,000449943757030371;"threonine-type endopeptidase activity, endopeptidase activity"
"101";"P29401";171;171;"P29401";"TKT_HUMAN";"Transketolase";"TKT";16;24;"0.00299938772487843";16;24;"0.00379788579059123";0;"extracellular vesicular exosome, cytosol, nucleus, peroxisome";0,00539932508436445;"metal ion binding, cofactor binding, transketolase activity, protein homodimerization activity"
"102";"P30040";174;174;"P30040";"ERP29_HUMAN";"Endoplasmic reticulum resident protein 29";"ERP29";4;7;"0.00208817526631463";4;7;"0.00264409002758115";0;"melanosome, cell surface, endoplasmic reticulum lumen, endoplasmic reticulum";0,0015748031496063;"protein disulfide isomerase activity, protein binding"
"103";"P30041";175;175;"P30041";"PRDX6_HUMAN";"Peroxiredoxin-6";"PRDX6";3;6;"0.00208551177745453";3;6;"0.00264071746377046";0;"extracellular space, cytosol, extracellular vesicular exosome, cytoplasmic membrane-bounded vesicle, lysosome";0,00134983127109111;"peroxiredoxin activity, phospholipase A2 activity, protein binding, glutathione peroxidase activity, antioxidant activity"
"104";"P30050";178;178;"P30050-1";"RL12_HUMAN";"60S ribosomal protein L12";"RPL12";7;14;"0.006606227206159";7;14;"0";0;"extracellular vesicular exosome, cytosolic large ribosomal subunit";0,0031496062992126;"structural constituent of ribosome, poly(A) RNA binding, protein binding"
"105";"P30101";179;179;"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";17;24;"0.0037002347576223";17;24;"0.00468531256938284";0;"endoplasmic reticulum lumen, cell surface, melanosome, extracellular vesicular exosome";0,00539932508436445;"poly(A) RNA binding, protein binding, protein disulfide isomerase activity, phospholipase C activity, cysteine-type endopeptidase activity"
"106";"P30613";181;181;"P30613-1,P30613-2";"KPYR_HUMAN";"Pyruvate kinase isozymes R/L";"PKLR";1;1;"7.51934256982545E-5";1;1;"0";5;"extracellular vesicular exosome, cytosol";0,000224971878515186;"ATP binding, magnesium ion binding, pyruvate kinase activity, potassium ion binding"
"107";"P31146";183;183;"P31146";"COR1A_HUMAN";"Coronin-1A";"CORO1A";7;9;"0.00152002593758074";7;9;"0.00192468778270472";0;"phagocytic cup, immunological synapse, phagocytic vesicle, extracellular vesicular exosome, phagocytic vesicle membrane, cortical actin cytoskeleton, lamellipodium, actin filament";0,00202474690663667;"cytoskeletal protein binding, protein binding, poly(A) RNA binding, protein C-terminus binding, protein homodimerization activity, actin filament binding, phosphatidylinositol 3-kinase binding"
"108";"P31689";185;185;"P31689";"DNJA1_HUMAN";"DnaJ homolog subfamily A member 1";"DNAJA1";3;5;"9.8059327907182E-4";3;5;"0.00124164717020274";0;"extracellular vesicular exosome, membrane";0,00112485939257593;"protein binding, ATP binding, metal ion binding, low-density lipoprotein particle receptor binding, chaperone binding"
"109";"P31939";187;187;"P31939";"PUR9_HUMAN";"Bifunctional purine biosynthesis protein PURH";"ATIC";4;7;"9.20631325182631E-4";4;7;"0.00116572212364642";0;"cytosol, extracellular vesicular exosome, mitochondrion";0,0015748031496063;"phosphoribosylaminoimidazolecarboxamide formyltransferase activity, IMP cyclohydrolase activity, protein homodimerization activity"
"110";"P31946";190;190;"P31946-1,P31946-2";"1433B_HUMAN";"14-3-3 protein beta/alpha";"YWHAB";1;2;"5.26181968783243E-4";1;2;"0";7;"melanosome, perinuclear region of cytoplasm, extracellular vesicular exosome, cytosol, cytoplasmic vesicle membrane, transcriptional repressor complex";0,000449943757030371;"transcription corepressor activity, protein binding, histone deacetylase binding, protein domain specific binding, phosphoprotein binding, enzyme binding, phosphoserine binding"
"111";"P32119";192;192;"P32119-1";"PRDX2_HUMAN";"Peroxiredoxin-2";"PRDX2";3;5;"0.00215339038749514";3;5;"0";2;"cytosol, cytoplasm, extracellular vesicular exosome";0,00112485939257593;"antioxidant activity, thioredoxin peroxidase activity"
"112";"P33316";194;194;"P33316-2,P33316-3";"DUT_HUMAN";"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial";"DUT";5;11;"0.00169930589274073";5;11;"0";0;"nucleoplasm, extracellular vesicular exosome, mitochondrion";0,00247469066366704;"protein binding, poly(A) RNA binding, dUTP diphosphatase activity"
"113";"P34897";197;197;"P34897-1,P34897-3";"GLYM_HUMAN";"Serine hydroxymethyltransferase, mitochondrial";"SHMT2";9;12;"9.26894123313125E-4";9;12;"0";0;"extracellular vesicular exosome, microtubule cytoskeleton, mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial nucleoid";0,00269966254218223;"chromatin binding, glycine hydroxymethyltransferase activity, L-allo-threonine aldolase activity, amino acid binding, pyridoxal phosphate binding"
"114";"P35232";199;199;"P35232";"PHB_HUMAN";"Prohibitin";"PHB";14;30;"0.00858740143657748";14;30;"0.0108735424978784";0;"mitochondrial inner membrane, extracellular vesicular exosome, integral component of plasma membrane, nucleoplasm";0,00674915635545557;"histone deacetylase binding, protein binding, sequence-specific DNA binding RNA polymerase II transcription factor activity, transcription regulatory region DNA binding, enzyme binding"
"115";"P35527";201;201;"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";7;10;"0.00124974488536601";7;10;"0.00158245241274634";0;"intermediate filament, extracellular vesicular exosome, extracellular space";0,00224971878515186;"structural constituent of cytoskeleton"
"116";"P35908";203;203;"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";2;2;"4.06150789558177E-4";2;2;"5.14276397047978E-4";3;"keratin filament, intermediate filament, extracellular vesicular exosome, extracellular space, Golgi apparatus";0,000449943757030371;"structural constituent of cytoskeleton"
"117";"P36507";204;204;"P36507";"MP2K2_HUMAN";"Dual specificity mitogen-activated protein kinase kinase 2";"MAP2K2";1;1;"3.89295531791512E-4";1;1;"4.92933926570487E-4";2;"endoplasmic reticulum, early endosome, cytosol, late endosome, focal adhesion, Golgi apparatus, cell cortex, microtubule, extracellular region, mitochondrion, nucleus, cytoplasmic side of plasma membrane, perinuclear region of cytoplasm, cell-cell junction, peroxisomal membrane";0,000224971878515186;"protein serine/threonine kinase activator activity, MAP kinase kinase activity, protein serine/threonine/tyrosine kinase activity, scaffold protein binding, PDZ domain binding, protein tyrosine kinase activity, ATP binding, protein binding, protein serine/threonine kinase activity"
"118";"P36543";206;206;"P36543-1,P36543-2";"VATE1_HUMAN";"V-type proton ATPase subunit E 1";"ATP6V1E1";2;2;"3.4450932016948E-4";2;2;"0";0;"proton-transporting two-sector ATPase complex, proton-transporting two-sector ATPase complex, catalytic domain, extracellular vesicular exosome, microvillus, mitochondrion, apical plasma membrane, endosome, lysosomal membrane, cytosol";0,000449943757030371;"proton-transporting ATPase activity, rotational mechanism, protein binding, ATPase binding, hydrogen-exporting ATPase activity, phosphorylative mechanism"
"119";"P36578";207;207;"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";3;3;"5.47019482611024E-4";3;3;"6.92647203611925E-4";0;"cytosolic large ribosomal subunit, extracellular vesicular exosome, nucleolus";0,000674915635545557;"structural constituent of ribosome, RNA binding, poly(A) RNA binding, protein binding"
"120";"P37802";209;209;"P37802";"TAGL2_HUMAN";"Transgelin-2";"TAGLN2";5;9;"0.00352126611670715";5;9;"0.00445869883330088";0;"extracellular vesicular exosome";0,00202474690663667;"protein binding"
"121";"P38159";211;211;"P38159-1";"RBMX_HUMAN";"RNA-binding motif protein, X chromosome";"RBMX";10;14;"0.00278779408955559";10;14;"0";0;"nucleoplasm, extracellular vesicular exosome, extracellular space, catalytic step 2 spliceosome, supraspliceosomal complex, nuclear euchromatin";0,0031496062992126;"nucleotide binding, protein binding, RNA binding, core promoter binding, mRNA binding, poly(A) RNA binding, single-stranded RNA binding, chromatin binding"
"122";"P38606";212;212;"P38606";"VATA_HUMAN";"V-type proton ATPase catalytic subunit A";"ATP6V1A";1;2;"2.5237959921654E-4";1;2;"3.19568185783135E-4";0;"proton-transporting two-sector ATPase complex, proton-transporting V-type ATPase, V1 domain, microvillus, mitochondrion, lysosomal membrane, cytosol, apical plasma membrane, integral component of plasma membrane, extracellular vesicular exosome";0,000449943757030371;"ATP binding, proton-transporting ATPase activity, rotational mechanism"
"123";"P38646";213;213;"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";17;29;"0.00332535211250482";17;29;"0.00421062853329723";0;"nucleolus, extracellular vesicular exosome, mitochondrial nucleoid";0,00652418447694038;"ATP binding, poly(A) RNA binding, protein binding, unfolded protein binding"
"124";"P39019";215;215;"P39019";"RS19_HUMAN";"40S ribosomal protein S19";"RPS19";15;34;"0.0182566180426364";15;34;"0.0231169013839952";0;"nucleolus, extracellular vesicular exosome, cytosolic small ribosomal subunit";0,00764904386951631;"structural constituent of ribosome, fibroblast growth factor binding, protein homodimerization activity, protein binding, protein kinase binding, poly(A) RNA binding"
"125";"P39023";216;216;"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";1;1;"1.93198775082636E-4";1;1;"2.4463222162307E-4";0;"nucleolus, extracellular vesicular exosome, cytosolic large ribosomal subunit";0,000224971878515186;"RNA binding, poly(A) RNA binding, structural constituent of ribosome"
"126";"P40227";218;218;"P40227";"TCPZ_HUMAN";"T-complex protein 1 subunit zeta";"CCT6A";9;13;"0.00190615514624846";9;13;"0.00241361244648449";0;"cytosol, chaperonin-containing T-complex, zona pellucida receptor complex, acrosomal vesicle, extracellular vesicular exosome, cell body, microtubule";0,00292463442069741;"unfolded protein binding, poly(A) RNA binding, ATP binding"
"127";"P40926";219;219;"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";11;19;"0.00437669532783357";11;19;"0.00554186071292263";0;"plasma membrane, mitochondrial matrix, nucleus, mitochondrial inner membrane, extracellular vesicular exosome";0,00427446569178853;"malate dehydrogenase (NADP+) activity, poly(A) RNA binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor, L-malate dehydrogenase activity"
"128";"P41091";221;221;"P41091";"IF2G_HUMAN";"Eukaryotic translation initiation factor 2 subunit 3";"EIF2S3";3;4;"6.59822935239851E-4";3;4;"8.35481231475401E-4";0;"cytosol, extracellular vesicular exosome";0,000899887514060742;"protein binding, GTPase activity, translation initiation factor activity, GTP binding, translation factor activity, nucleic acid binding"
"129";"P42768";228;228;"P42768";"WASP_HUMAN";"Wiskott-Aldrich syndrome protein";"WAS";4;5;"7.75489107154407E-4";4;5;"9.81940092769893E-4";0;"actin cytoskeleton, extracellular vesicular exosome, vesicle membrane, cytosol";0,00112485939257593;"small GTPase regulator activity, identical protein binding, protein binding"
"130";"P43034";229;229;"P43034-1";"LIS1_HUMAN";"Platelet-activating factor acetylhydrolase IB subunit alpha";"PAFAH1B1";1;1;"1.89900259410494E-4";1;1;"0";0;"cytosol, growth cone, kinetochore, kinesin complex, motile primary cilium, nuclear membrane, astral microtubule, cell leading edge, neuronal cell body, centrosome, extracellular vesicular exosome, nuclear envelope, microtubule associated complex, perinuclear region of cytoplasm, cell cortex";0,000224971878515186;"heparin binding, protein binding, dynein binding, phospholipase binding, microtubule binding, dynactin binding, protein homodimerization activity, phosphoprotein binding"
"131";"P47756";237;237;"P47756-1,P47756-2";"CAPZB_HUMAN";"F-actin-capping protein subunit beta";"CAPZB";3;4;"5.62159612695325E-4";3;4;"0";0;"F-actin capping protein complex, Z disc, extracellular vesicular exosome, cortical cytoskeleton, cytosol, lamellipodium, intercalated disc, acrosomal vesicle, WASH complex, membrane";0,000899887514060742;"actin binding"
"132";"P48047";239;239;"P48047";"ATPO_HUMAN";"ATP synthase subunit O, mitochondrial";"ATP5O";9;19;"0.00694517850144482";9;19;"0.00879412638952042";0;"plasma membrane, mitochondrial proton-transporting ATP synthase complex";0,00427446569178853;"proton-transporting ATP synthase activity, rotational mechanism, drug binding, transmembrane transporter activity, transporter activity"
"133";"P48059";240;240;"P48059-1,P48059-2,P48059-3,P48059-4,P48059-5";"LIMS1_HUMAN";"LIM and senescent cell antigen-like-containing domain protein 1";"LIMS1";1;1;"4.79132962204938E-5";1;1;"0";0;"perinuclear region of cytoplasm, protein complex, focal adhesion, plasma membrane, cytosol";0,000224971878515186;"protein binding, zinc ion binding"
"134";"P48643";242;242;"P48643";"TCPE_HUMAN";"T-complex protein 1 subunit epsilon";"CCT5";5;6;"8.63502103788937E-4";5;6;"0.00109338394063694";0;"zona pellucida receptor complex, centrosome, extracellular vesicular exosome, cytosol, chaperonin-containing T-complex, nucleolus, cell body, microtubule";0,00134983127109111;"ATP binding, G-protein beta-subunit binding"
"135";"P49327";246;246;"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";23;34;"0.00105424516773488";23;34;"0.00133490669083206";0;"mitochondrion, plasma membrane, Golgi apparatus, glycogen granule, cytosol, extracellular vesicular exosome, melanosome";0,00764904386951631;"protein binding, drug binding, palmitoyl-[acyl-carrier-protein] hydrolase activity, enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity, 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity, NADPH binding, 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity, [acyl-carrier-protein] S-acetyltransferase activity, poly(A) RNA binding, fatty acid synthase activity, 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity, [acyl-carrier-protein] S-malonyltransferase activity, zinc ion binding, myristoyl-[acyl-carrier-protein] hydrolase activity, 3-oxoacyl-[acyl-carrier-protein] synthase activity, oleoyl-[acyl-carrier-protein] hydrolase activity, enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity"
"136";"P49368";247;247;"P49368-1";"TCPG_HUMAN";"T-complex protein 1 subunit gamma";"CCT3";8;13;"0.00185718969295033";8;13;"0";0;"cytosol, chaperonin-containing T-complex, cell body, microtubule, plasma membrane, extracellular vesicular exosome, zona pellucida receptor complex";0,00292463442069741;"protein binding, poly(A) RNA binding, ATP binding, unfolded protein binding"
"137";"P49411";248;248;"P49411";"EFTU_HUMAN";"Elongation factor Tu, mitochondrial";"TUFM";13;22;"0.00378960252186428";13;22;"0.00479847185157111";0;"mitochondrial nucleoid, extracellular vesicular exosome";0,00494938132733408;"poly(A) RNA binding, translation elongation factor activity, GTP binding, GTPase activity"
