"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5772";"peptide.count.P5774";"spectra.count.P5772";"spectra.count.P5774";"dNSAF.P5772";"dNSAF.P5774";"Go.Cc"
"84";"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";1;2;3,48782498138577e-05;NA;1;NA;2;NA;NA;"integral component of membrane, apical plasma membrane, cytoplasm, nucleus, melanosome, cell junction, plasma membrane, extracellular vesicular exosome"
"85";"P08238";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";12;33;0,0033306624365346;8;12;13;20;0,00340208303907007;0,00450716147059839;"brush border membrane, inclusion body, cytosol, basolateral plasma membrane, apical plasma membrane, extracellular vesicular exosome, cell surface, mitochondrion, cytoplasm, melanosome"
"86";"P08559";"P08559-1,P08559-2,P08559-3,P08559-4";"P08559-1,P08559-2,P08559-3,P08559-4";"ODPA_HUMAN";"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial";"PDHA1";2;6;0,000169025364482541;2;2;3;3;NA;NA;"mitochondrion, pyruvate dehydrogenase complex, mitochondrial matrix"
"87";"P08708";"P08708,P0CW22";"P08708,P0CW22";"RS17_HUMAN, RS17L_HUMAN";"40S ribosomal protein S17, 40S ribosomal protein S17-like";"RPS17, RPS17L";8;13;0,00211594715537404;3;7;5;8;0,00197245895518457;0,00303956012415071;"ribosome, cytosolic small ribosomal subunit, cytosol"
"88";"P08727";"P08727";"P08727";"K1C19_HUMAN";"Keratin, type I cytoskeletal 19";"KRT19";0;0;NA;0;0;0;0;NA;0;"Z disc, sarcolemma, intermediate filament, cell periphery, costamere, extracellular vesicular exosome, dystrophin-associated glycoprotein complex"
"89";"P08729";"P08729";"P08729";"K2C7_HUMAN";"Keratin, type II cytoskeletal 7";"KRT7";2;10;0,00105420052421819;2;2;4;6;0,00102153775255427;0,00147795775626265;"keratin filament, intermediate filament, cytoplasm"
"90";"P08779";"P08779";"P08779";"K1C16_HUMAN";"Keratin, type I cytoskeletal 16";"KRT16";13;34;0,00496257453882827;13;5;25;9;0,00831304094096674;0,00364867002977446;"intermediate filament, extracellular vesicular exosome"
"91";"P08865";"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";2;4;0,000595886030718112;NA;2;NA;4;NA;0,0013909851415605;"plasma membrane, cytoplasm, nucleus, 90S preribosome, cytosol, cytosolic small ribosomal subunit, extracellular vesicular exosome"
"92";"P09211";"P09211";"P09211";"GSTP1_HUMAN";"Glutathione S-transferase P";"GSTP1";4;10;0,00209269498883146;4;3;6;4;0,00304322238799905;0,00195400293695403;"extracellular space, TRAF2-GSTP1 complex, mitochondrion, cytoplasm, nucleus, intracellular, cytosol, extracellular vesicular exosome, plasma membrane"
"93";"P09382";"P09382";"P09382";"LEG1_HUMAN";"Galectin-1";"LGALS1";2;2;0,000651060663192011;NA;2;NA;2;NA;0,00151978006207536;"extracellular space, proteinaceous extracellular matrix, cell surface, nucleus, cytoplasm, intracellular"
"94";"P09429";"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";7;38;0,00789059567881879;7;6;21;17;0,0106925623826401;0,00811138428479755;"nucleoplasm, condensed chromosome, cell surface, nucleus, extracellular region, extracellular space"
"95";"P09496";"P09496-2";"P09496-2";"CLCA_HUMAN";"Clathrin light chain A";"CLTA";1;1;0,000177204011151051;NA;1;NA;1;NA;NA;"clathrin complex, clathrin-coated endocytic vesicle membrane, cytoplasmic membrane-bounded vesicle, trans-Golgi network membrane, plasma membrane, clathrin coat of trans-Golgi network vesicle, clathrin coat, cytosol, intracellular membrane-bounded organelle, clathrin coat of coated pit"
"96";"P09651";"P09651-1,P09651-2,P09651-3";"P09651-1,P09651-2,P09651-3";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";8;27;0,00110846764422147;7;7;15;12;NA;NA;"spliceosomal complex, extracellular vesicular exosome, intermediate filament cytoskeleton, cytoplasm, ribonucleoprotein complex, nucleus, nucleoplasm, catalytic step 2 spliceosome"
"97";"P09874";"P09874";"P09874";"PARP1_HUMAN";"Poly [ADP-ribose] polymerase 1";"PARP1";4;4;0,000173359348187222;4;NA;4;NA;0,000420168771518606;NA;"transcription factor complex, nucleus, nucleolus, nuclear envelope, nucleoplasm"
"98";"P09972";"P09972";"P09972";"ALDOC_HUMAN";"Fructose-bisphosphate aldolase C";"ALDOC";2;9;0,00131030167004323;1;2;2;7;0,000694966651105552;0,00241118952156187;"axon, mitochondrion, cytosol, cytoskeleton, extracellular vesicular exosome"
"99";"P10412";"P10412";"P10412";"H14_HUMAN";"Histone H1.4";"HIST1H1E";1;1;0,000923079159457166;0;1;0;1;0;0,00199080778679392;"nucleus, nucleosome"
"100";"P10599";"P10599";"P10599";"THIO_HUMAN";"Thioredoxin";"TXN";4;10;0,00418538997766293;3;4;4;6;0,0040576298506654;0,00586200881086209;"mitochondrion, extracellular vesicular exosome, cytoplasm, nucleus, nucleoplasm, cytosol"
"101";"P10768";"P10768";"P10768";"ESTD_HUMAN";"S-formylglutathione hydrolase";"ESD";5;10;0,00155838988530003;5;2;8;2;0,00302163925049551;0,000727554285036075;"extracellular vesicular exosome, nucleus, cytoplasmic membrane-bounded vesicle, plasma membrane, cytoplasm, Golgi apparatus"
"102";"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";30;86;0,00659582399621226;20;27;38;48;0,0070636750018128;0,00859352076985019;"mitochondrion, coated pit, secretory granule, mitochondrial matrix, extracellular space, protein complex, mitochondrial inner membrane, plasma membrane, extracellular vesicular exosome, early endosome, cytoplasm, cell surface, coated vesicle, cytosol, lipopolysaccharide receptor complex"
"103";"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";14;32;0,00237679549361901;5;13;8;24;0,00148628099864672;0,00408164628715193;"endoplasmic reticulum chaperone complex, endoplasmic reticulum, cell surface, nucleus, midbody, melanosome, integral component of endoplasmic reticulum membrane, extracellular vesicular exosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, endoplasmic reticulum membrane"
"104";"P11142";"P11142-1";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";13;42;0,00398416992602938;13;12;19;23;NA;NA;"extracellular vesicular exosome, intracellular, plasma membrane, ribonucleoprotein complex, nucleolus, blood microparticle, Prp19 complex, cytosol, melanosome, spliceosomal complex, clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleus"
"105";"P11498";"P11498";"P11498";"PYC_HUMAN";"Pyruvate carboxylase, mitochondrial";"PC";41;107;0,00399175351435;39;27;64;43;0,00578677262234115;0,00374461938045308;"mitochondrial matrix, mitochondrial inner membrane, mitochondrion, cytosol"
"106";"P11532";"P11532-1,P11532-2,P11532-3,P11532-4";"P11532-1,P11532-2,P11532-3,P11532-4";"DMD_HUMAN";"Dystrophin";"DMD";1;1;4,47217721493834e-06;NA;1;NA;1;NA;NA;"sarcolemma, cytosol, cytoskeleton, filopodium, cell junction, membrane raft, nucleus, postsynaptic membrane, cell surface, dystrophin-associated glycoprotein complex, protein complex, costamere, plasma membrane, syntrophin complex"
"107";"P11586";"P11586";"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";6;16;0,000752027290104141;5;5;8;8;0,000911339324748378;0,000877733939594324;"extracellular vesicular exosome, mitochondrion, cytosol"
"108";"P11940";"P11940-1,P11940-2";"P11940-1,P11940-2";"PABP1_HUMAN";"Polyadenylate-binding protein 1";"PABPC1";10;21;0,000725533404146758;5;10;7;14;NA;NA;"ribonucleoprotein complex, cytoplasmic stress granule, catalytic step 2 spliceosome, cytosol, cytoplasm, nucleus"
"109";"P12004";"P12004";"P12004";"PCNA_HUMAN";"Proliferating cell nuclear antigen";"PCNA";4;11;0,00185215533494279;2;4;3;8;0,00122428486873525;0,00314437254222488;"cytoplasm, extracellular vesicular exosome, nuclear replication fork, PCNA complex, nucleoplasm, nucleus, PCNA-p21 complex, DNA replication factor C complex"
"110";"P12035";"P12035";"P12035";"K2C3_HUMAN";"Keratin, type II cytoskeletal 3";"KRT3";0;0;0;0;0;0;0;0;0;"keratin filament, intermediate filament"
"111";"P12268";"P12268";"P12268";"IMDH2_HUMAN";"Inosine-5'-monophosphate dehydrogenase 2";"IMPDH2";2;2;0,00017099842321191;NA;2;NA;2;NA;0,00039916402408594;"cytoplasm, nucleus, peroxisomal membrane, cytosol, extracellular vesicular exosome"
"112";"P12814";"P12814-1,P12814-2,P12814-3";"P12814-1,P12814-2,P12814-3";"ACTN1_HUMAN";"Alpha-actinin-1";"ACTN1";3;3;4,92674829209201e-05;NA;3;NA;3;NA;NA;"dendritic spine, extracellular region, pseudopodium, fascia adherens, cytosol, Z disc, focal adhesion, ruffle, cytoskeleton, cell projection, platelet alpha granule lumen, cytoplasm, nucleus, extracellular vesicular exosome, plasma membrane"
"113";"P12956";"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";7;14;0,00101026654633243;6;4;8;6;0,001399182707126;0,00101069117428657;"membrane, nonhomologous end joining complex, nucleus, nucleoplasm, nucleolus, nuclear telomere cap complex, Ku70:Ku80 complex, cytosol, transcription factor complex"
"114";"P13073";"P13073";"P13073";"COX41_HUMAN";"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial";"COX4I1";2;4;0,00104015608912333;2;2;2;2;0,00126050631455582;0,00121402549337381;"nucleus, mitochondrion, mitochondrial inner membrane"
"115";"P13164";"P13164,Q01628,Q01629";"P13164,Q01628,Q01629";"IFM1_HUMAN, IFM2_HUMAN, IFM3_HUMAN";"Interferon-induced transmembrane protein 1, Interferon-induced transmembrane protein 2, Interferon-induced transmembrane protein 3";"IFITM1, IFITM2, IFITM3";1;1;0,000112683576321694;1;NA;1;NA;0,000273109701487094;NA;"integral component of membrane, plasma membrane"
"116";"P13489";"P13489";"P13489";"RINI_HUMAN";"Ribonuclease inhibitor";"RNH1";2;2;0,000190657677941261;NA;2;NA;2;NA;0,000445054898872393;"extracellular vesicular exosome, angiogenin-PRI complex, cytoplasm"
"117";"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";26;70;0,00358538651932663;21;19;38;32;0,00471734938932253;0,00382601973669321;"polysome, cytosol, extracellular vesicular exosome, ribonucleoprotein complex"
"118";"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";30;200;0,0181911314459901;30;27;112;88;0,02487774118689;0,0184374268843767;"extracellular vesicular exosome, cytoplasm, extracellular space, intermediate filament, keratin filament"
"119";"P13646";"P13646-1,P13646-3";"P13646-1,P13646-3";"K1C13_HUMAN";"Keratin, type I cytoskeletal 13";"KRT13";0;0;NA;0;0;0;0;NA;NA;"intermediate filament cytoskeleton, keratin filament, extracellular vesicular exosome"
"120";"P13647";"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";14;44;0,0060246277666361;13;11;24;20;0,00839517872957735;0,0059014367153421;"plasma membrane, cytosol, extracellular vesicular exosome, intermediate filament, cytoplasm, mitochondrion, keratin filament"
"121";"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";20;47;0,00329424235083996;12;17;20;27;0,00339753695629878;0,00441754252493196;"cytosol, extracellular space, ruffle, actin filament, actin filament bundle, actin cytoskeleton, ruffle membrane, plasma membrane, extracellular vesicular exosome, phagocytic cup, focal adhesion, filopodium, cytoplasm"
"122";"P13804";"P13804-1";"P13804-1";"ETFA_HUMAN";"Electron transfer flavoprotein subunit alpha, mitochondrial";"ETFA";2;2;0,000263943512104869;NA;2;NA;2;NA;NA;"mitochondrion, mitochondrial matrix"
"123";"P14174";"P14174";"P14174";"MIF_HUMAN";"Macrophage migration inhibitory factor";"MIF";1;1;0,000382144302308354;NA;1;NA;1;NA;0,000892044819044231;"extracellular space, cell surface, extracellular region, extracellular vesicular exosome, cytoplasm"
"124";"P14317";"P14317";"P14317";"HCLS1_HUMAN";"Hematopoietic lineage cell-specific protein";"HCLS1";2;3;0,000271275276330005;NA;2;NA;3;NA;0,000633241692531399;"transcription factor complex, nucleus, membrane, cytoplasm, mitochondrion"
"125";"P14550";"P14550";"P14550";"AK1A1_HUMAN";"Alcohol dehydrogenase [NADP(+)]";"AKR1A1";2;2;0,000270440583172066;2;NA;2;NA;0,000655463283569026;NA;"apical plasma membrane, cytosol, extracellular vesicular exosome, extracellular space"
"126";"P14618";"P14618-1";"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";29;96;0,00794514707624149;26;20;56;40;NA;NA;"cilium, cytosol, mitochondrion, plasma membrane, extracellular vesicular exosome, nucleus, cytoplasm"
"127";"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";14;26;0,00159175035602783;7;11;11;15;0,00164146413051319;0,00213528963533893;"extracellular vesicular exosome, melanosome, midbody, cytosol, endoplasmic reticulum, endoplasmic reticulum lumen, perinuclear region of cytoplasm, plasma membrane, endoplasmic reticulum membrane, endocytic vesicle lumen, extracellular region"
"128";"P14868";"P14868";"P14868";"SYDC_HUMAN";"Aspartate--tRNA ligase, cytoplasmic";"DARS";3;3;0,000263153262068627;2;1;2;1;0,000425200732854158;0,00020476078680656;"cytoplasm, extracellular vesicular exosome, cytosol"
"129";"P14923";"P14923";"P14923";"PLAK_HUMAN";"Junction plakoglobin";"JUP";2;2;0,000117977435611975;NA;2;NA;2;NA;0,000275396387087481;"intermediate filament, basolateral plasma membrane, nucleus, cell-cell junction, cytoplasm, fascia adherens, cytoplasmic side of plasma membrane, cell-cell adherens junction, extracellular vesicular exosome, actin cytoskeleton, catenin complex, Z disc, zonula adherens, intercalated disc, cytosol, apicolateral plasma membrane, plasma membrane, cytoskeleton, gamma-catenin-TCF7L2 complex, desmosome, protein-DNA complex, lateral plasma membrane"
"130";"P15153";"P15153,P60763,P63000-1,P63000-2";"P15153,P60763,P63000-1,P63000-2";"RAC1_HUMAN, RAC2_HUMAN, RAC3_HUMAN";"Ras-related C3 botulinum toxin substrate 1, Ras-related C3 botulinum toxin substrate 2, Ras-related C3 botulinum toxin substrate 3";"RAC1, RAC2, RAC3";2;3;0,000171666385802581;NA;2;NA;3;NA;0,000801446517110052;"plasma membrane, extracellular vesicular exosome, nuclear envelope, cytosol"
"131";"P15311";"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";2;3;0,000294207972307495;1;1;1;2;0,000235617963929897;0,000461269180225212;"Schwann cell microvillus, nucleolus, plasma membrane, actin filament, filopodium, cell tip, uropod, microspike, apical plasma membrane, microvillus membrane, extrinsic component of membrane, ruffle, apical part of cell, basolateral plasma membrane, microvillus, cell body, actin cytoskeleton, cytosol, cortical cytoskeleton, membrane raft, ruffle membrane, T-tubule, extracellular vesicular exosome, astrocyte projection"
"132";"P15531";"P15531-1,P15531-2";"P15531-1,P15531-2";"NDKA_HUMAN";"Nucleoside diphosphate kinase A";"NME1";1;4;0,00198255314731402;1;1;2;2;NA;NA;"cytoplasm, nucleus, ruffle membrane, mitochondrion, perinuclear region of cytoplasm, centrosome, cytosol"
"133";"P15880";"P15880";"P15880";"RS2_HUMAN";"40S ribosomal protein S2";"RPS2";10;31;0,00464963971921257;9;9;15;16;0,00545287287952048;0,00560191968273511;"extracellular vesicular exosome, cytosol, nucleoplasm, cytosolic small ribosomal subunit"
"134";"P15924";"P15924-1,P15924-2";"P15924-1,P15924-2";"DESP_HUMAN";"Desmoplakin";"DSP";7;13;9,94959477448606e-05;7;2;11;2;NA;NA;"cornified envelope, fascia adherens, extracellular vesicular exosome, intercalated disc, intermediate filament, plasma membrane, mitochondrion, basolateral plasma membrane, desmosome"
"135";"P16150";"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";1;1;0,000109866486913652;NA;1;NA;1;NA;0,000256462885475217;"extracellular vesicular exosome, plasma membrane, uropod, basement membrane, integral component of plasma membrane, external side of plasma membrane, extracellular space, cell surface"
"136";"P16152";"O75828,P16152";"O75828,P16152";"CBR1_HUMAN, CBR3_HUMAN";"Carbonyl reductase [NADPH] 1, Carbonyl reductase [NADPH] 3";"CBR1, CBR3";1;3;0,00023797794999347;1;1;1;2;0,000192261342202106;0,000370343516931721;"extracellular vesicular exosome, cytosol"
"137";"P16402";"P16402";"P16402";"H13_HUMAN";"Histone H1.3";"HIST1H1D";1;2;0,00182945100381104;1;1;1;1;0,00289174978045158;0,00197279142673244;"nuclear chromatin, nucleosome"
"138";"P16403";"P16403";"P16403";"H12_HUMAN";"Histone H1.2";"HIST1H1C";2;2;0,00189816277860206;0;2;0;2;0;0,00409377375875933;"nucleus, nucleosome"
"139";"P16949";"P16949-1";"P16949-1";"STMN1_HUMAN";"Stathmin";"STMN1";9;19;0,00560392819156882;3;8;6;13;NA;NA;"extracellular vesicular exosome, microtubule, membrane, intracellular, cytosol"
"140";"P17066";"P17066";"P17066";"HSP76_HUMAN";"Heat shock 70 kDa protein 6";"HSPA6";1;1;0,000170966898567046;1;0;1;0;0,000326279793237091;0;"extracellular vesicular exosome, blood microparticle"
"141";"P17844";"P17844";"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";6;11;0,00131219474055393;5;3;8;3;0,00196603400744781;0,00108599918930873;"catalytic step 2 spliceosome, nucleus, ribonucleoprotein complex, nucleolus, extracellular vesicular exosome"
"142";"P17858";"P17858-1";"P17858-1";"K6PL_HUMAN";"6-phosphofructokinase, liver type";"PFKL";1;1;6,88621855299242e-05;0;1;0;1;NA;NA;"cytosol, extracellular vesicular exosome, 6-phosphofructokinase complex"
"143";"P17987";"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";9;21;0,00165985339941488;6;8;8;13;0,00153255803712182;0,00239857374904879;"extracellular vesicular exosome, microtubule, pericentriolar material, acrosomal vesicle, nuclear heterochromatin, chaperonin-containing T-complex, centrosome, zona pellucida receptor complex, cell body, Golgi apparatus, cytosol"
"144";"P18077";"P18077";"P18077";"RL35A_HUMAN";"60S ribosomal protein L35a";"RPL35A";4;9;0,00359563048081042;3;3;3;6;0,00290489409763546;0,00559555386491382;"cytosol, extracellular vesicular exosome, cytosolic large ribosomal subunit"
"145";"P18124";"P18124";"P18124";"RL7_HUMAN";"60S ribosomal protein L7";"RPL7";8;23;0,00407569225647418;8;6;14;9;0,00601281842790135;0,00372284833754347;"cytosolic large ribosomal subunit, ribonucleoprotein complex, cytosol"
"146";"P18621";"P18621";"P18621";"RL17_HUMAN";"60S ribosomal protein L17";"RPL17";3;11;0,00262724207836994;3;3;6;5;0,003473242942825;0,00278764005951322;"cytosolic large ribosomal subunit, cytosol"
"147";"P18669";"P18669";"P18669";"PGAM1_HUMAN";"Phosphoglycerate mutase 1";"PGAM1";11;25;0,00432545224069495;6;10;11;14;0,00461275834401431;0,00565429983724887;"cytoplasm, cytosol, extracellular vesicular exosome"
"148";"P18859";"P18859";"P18859";"ATP5J_HUMAN";"ATP synthase-coupling factor 6, mitochondrial";"ATP5J";1;2;0,000813825828990014;1;1;1;1;0,000986229477592284;0,000949862538797098;"mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, coupling factor F(o), mitochondrion, mitochondrial proton-transporting ATP synthase complex"
"149";"P19012";"P19012";"P19012";"K1C15_HUMAN";"Keratin, type I cytoskeletal 15";"KRT15";0;0;NA;0;0;0;0;NA;0;"intermediate filament, extracellular vesicular exosome"
"150";"P19013";"P19013";"P19013";"K2C4_HUMAN";"Keratin, type II cytoskeletal 4";"KRT4";0;0;0;0;0;0;0;0;0;"intermediate filament, keratin filament"
"151";"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";27;83;0,00513741882469471;23;26;37;46;0,00555066618656165;0,00664636210245632;"nucleolus, extracellular vesicular exosome, nucleus, nucleoplasm, ribonucleoprotein complex, cell cortex"
"152";"P19623";"P19623";"P19623";"SPEE_HUMAN";"Spermidine synthase";"SRM";2;5;0,000727592628567231;NA;2;NA;5;NA;0,00169842970513388;"cytosol"
"153";"P20042";"P20042";"P20042";"IF2B_HUMAN";"Eukaryotic translation initiation factor 2 subunit 2";"EIF2S2";2;2;0,000263943512104869;NA;2;NA;2;NA;0,000616127052192712;"cytosol, eukaryotic translation initiation factor 2 complex"
"154";"P20231";"P20231,Q15661-1,Q15661-2";"P20231,Q15661-1,Q15661-2";"TRYB1_HUMAN, TRYB2_HUMAN";"Tryptase alpha/beta-1, Tryptase beta-2";"TPSAB1, TPSB2";3;9;0,00047941739744139;3;3;3;6;0,00116195763905418;0,00223822154596553;"extracellular region"
"155";"P20618";"P20618";"P20618";"PSB1_HUMAN";"Proteasome subunit beta type-1";"PSMB1";2;4;0,000729404062497274;1;2;1;3;0,000441961757593223;0,00127699362062348;"proteasome core complex, cytosol, proteasome complex, nucleoplasm, extracellular vesicular exosome"
"156";"P20700";"P20700";"P20700";"LMNB1_HUMAN";"Lamin-B1";"LMNB1";6;14;0,00104991864627381;4;5;6;8;0,0010905745759041;0,00140047992068378;"lamin filament, nuclear inner membrane, nuclear envelope, nuclear membrane, nucleoplasm"
"157";"P20930";"P20930";"P20930";"FILA_HUMAN";"Filaggrin";"FLG";2;6;6,49297140095455e-05;2;2;2;4;5,24564312139703e-05;0,000101044229687354;"intermediate filament, cytoplasmic membrane-bounded vesicle"
"158";"P21281";"P21281";"P21281";"VATB2_HUMAN";"V-type proton ATPase subunit B, brain isoform";"ATP6V1B2";2;3;0,000258003491773742;2;NA;3;NA;0,000625319668766928;NA;"melanosome, extracellular vesicular exosome, plasma membrane, proton-transporting V-type ATPase, V1 domain, intracellular membrane-bounded organelle, microvillus, integral component of membrane, lysosomal membrane, endomembrane system, cytosol"
"159";"P21291";"P21291";"P21291";"CSRP1_HUMAN";"Cysteine and glycine-rich protein 1";"CSRP1";4;11;0,00250472819906771;3;4;5;6;0,00275939853834111;0,00318917577793015;"nucleus, extracellular vesicular exosome"
"160";"P21333";"P21333-1,P21333-2";"P21333-1,P21333-2";"FLNA_HUMAN";"Filamin-A";"FLNA";7;14;0,000116216910977796;7;3;9;5;NA;NA;"cytosol, neuronal cell body, cytoplasm, cortical cytoskeleton, extracellular region, dendritic shaft, apical dendrite, nucleus, actin filament, trans-Golgi network, extracellular vesicular exosome, perinuclear region of cytoplasm, actin cytoskeleton, Myb complex, plasma membrane"
"161";"P21796";"P21796";"P21796";"VDAC1_HUMAN";"Voltage-dependent anion-selective channel protein 1";"VDAC1";3;9;0,00237591130710795;3;2;6;3;0,00376370259999882;0,00190308148232493;"extracellular vesicular exosome, membrane, plasma membrane, mitochondrial inner membrane, mitochondrial nucleoid, pore complex, mitochondrion, mitochondrial outer membrane"
"162";"P22234";"P22234-1,P22234-2";"P22234-1,P22234-2";"PUR6_HUMAN";"Multifunctional protein ADE2";"PAICS";5;5;0,000258509380973298;2;3;2;3;NA;NA;"cytosol, extracellular vesicular exosome"
"163";"P22314";"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";21;51;0,00211840863236153;16;15;25;26;0,00251684271219203;0,0025209962277337;"extracellular vesicular exosome"
"164";"P22392";"P22392-1,P22392-2";"P22392-1,P22392-2";"NDKB_HUMAN";"Nucleoside diphosphate kinase B";"NME2";1;3;0,00148691486048551;1;1;1;2;NA;NA;"lamellipodium, extracellular vesicular exosome, cell periphery, nucleus, cytosol, ruffle, cytoplasm"
"165";"P22626";"P22626-1,P22626-2";"P22626-1,P22626-2";"ROA2_HUMAN";"Heterogeneous nuclear ribonucleoproteins A2/B1";"HNRNPA2B1";7;20;0,00129792245404591;4;7;7;13;NA;NA;"spliceosomal complex, cytoplasm, catalytic step 2 spliceosome, ribonucleoprotein complex, nucleoplasm"
"166";"P22695";"P22695";"P22695";"QCR2_HUMAN";"Cytochrome b-c1 complex subunit 2, mitochondrial";"UQCRC2";5;6;0,000582074102853785;NA;5;NA;6;NA;0,00135874376410711;"mitochondrial inner membrane, mitochondrial respiratory chain complex III, mitochondrion"
"167";"P23193";"P23193-1,P23193-2";"P23193-1,P23193-2";"TCEA1_HUMAN";"Transcription elongation factor A protein 1";"TCEA1";4;10;0,000730009879824929;3;4;3;7;NA;NA;"nucleolus, nucleoplasm, nucleus"
"168";"P23246";"P23246-1";"P23246-1";"SFPQ_HUMAN";"Splicing factor, proline- and glutamine-rich";"SFPQ";7;15;0,000932388856410058;4;6;7;8;NA;NA;"cytoplasm, nucleus, nucleoplasm, paraspeckles, nuclear matrix"
"169";"P23284";"P23284";"P23284";"PPIB_HUMAN";"Peptidyl-prolyl cis-trans isomerase B";"PPIB";6;15;0,00305184685871255;3;6;6;9;0,00295868843277685;0,00427438142458694;"macromolecular complex, extracellular vesicular exosome, melanosome, endoplasmic reticulum, endoplasmic reticulum lumen"
"170";"P23396";"P23396";"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";8;22;0,00397870405284007;8;5;14;8;0,00613653897168532;0,00337728902683413;"cytoplasm, nucleus, cytosol, extracellular vesicular exosome, ruffle membrane, cytosolic small ribosomal subunit, ribonucleoprotein complex"
"171";"P23526";"P23526";"P23526";"SAHH_HUMAN";"Adenosylhomocysteinase";"AHCY";3;6;0,00061036937174251;NA;3;NA;6;NA;0,00142479380819565;"melanosome, extracellular vesicular exosome, cytosol, cytoplasm"
"172";"P23528";"P23528";"P23528";"COF1_HUMAN";"Cofilin-1";"CFL1";11;39;0,0103248023846564;8;11;17;22;0,0109079356678279;0,0135956228444693;"cortical actin cytoskeleton, cytoplasm, lamellipodium membrane, extracellular vesicular exosome, nucleus, nuclear matrix, extracellular space, ruffle membrane"
"173";"P23588";"P23588";"P23588";"IF4B_HUMAN";"Eukaryotic translation initiation factor 4B";"EIF4B";5;8;0,000575405496110779;NA;5;NA;8;NA;0,00134317714160506;"eukaryotic translation initiation factor 4F complex, cytosol"
"174";"P24666";"P24666-1";"P24666-1";"PPAC_HUMAN";"Low molecular weight phosphotyrosine protein phosphatase";"ACP1";2;2;0,000556286009689376;NA;2;NA;2;NA;NA;"cytoplasm, cytoplasmic side of plasma membrane, extracellular vesicular exosome"
"175";"P24752";"P24752";"P24752";"THIL_HUMAN";"Acetyl-CoA acetyltransferase, mitochondrial";"ACAT1";6;10;0,00102919425680236;3;5;5;5;0,00124722229016354;0,00120123131370125;"mitochondrion, mitochondrial inner membrane, extracellular vesicular exosome, mitochondrial matrix"
"176";"P25205";"P25205";"P25205";"MCM3_HUMAN";"DNA replication licensing factor MCM3";"MCM3";2;5;0,000271946749786267;2;2;3;2;0,000395468255866213;0,000253923648985363;"perinuclear region of cytoplasm, centrosome, nucleoplasm, nucleus, MCM complex, alpha DNA polymerase:primase complex, intracellular membrane-bounded organelle"
"177";"P25398";"P25398";"P25398";"RS12_HUMAN";"40S ribosomal protein S12";"RPS12";2;4;0,00133171499289275;NA;2;NA;4;NA;0,00310864103606323;"cytosolic small ribosomal subunit, cytosol"
"178";"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";17;46;0,00365559377795876;13;15;23;23;0,0044300072736695;0,0042666519825895;"mitochondrial matrix, mitochondrial proton-transporting ATP synthase complex, extracellular vesicular exosome, plasma membrane, mitochondrial inner membrane, proton-transporting ATP synthase complex, catalytic core F(1), mitochondrion"
