"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5772";"peptide.count.P5774";"spectra.count.P5772";"spectra.count.P5774";"dNSAF.P5772";"dNSAF.P5774";"Go.Cc";"norm.sc"
"126";126;"P14618";"P14618-1";"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";29;96;0,00794514707624149;26;20;56;40;NA;NA;"cilium, cytosol, mitochondrion, plasma membrane, extracellular vesicular exosome, nucleus, cytoplasm";0,0117820324005891
"127";127;"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";14;26;0,00159175035602783;7;11;11;15;0,00164146413051319;0,00213528963533893;"extracellular vesicular exosome, melanosome, midbody, cytosol, endoplasmic reticulum, endoplasmic reticulum lumen, perinuclear region of cytoplasm, plasma membrane, endoplasmic reticulum membrane, endocytic vesicle lumen, extracellular region";0,00319096710849288
"128";128;"P14868";"P14868";"P14868";"SYDC_HUMAN";"Aspartate--tRNA ligase, cytoplasmic";"DARS";3;3;0,000263153262068627;2;1;2;1;0,000425200732854158;0,00020476078680656;"cytoplasm, extracellular vesicular exosome, cytosol";0,000368188512518409
"129";129;"P14923";"P14923";"P14923";"PLAK_HUMAN";"Junction plakoglobin";"JUP";2;2;0,000117977435611975;NA;2;NA;2;NA;0,000275396387087481;"intermediate filament, basolateral plasma membrane, nucleus, cell-cell junction, cytoplasm, fascia adherens, cytoplasmic side of plasma membrane, cell-cell adherens junction, extracellular vesicular exosome, actin cytoskeleton, catenin complex, Z disc, zonula adherens, intercalated disc, cytosol, apicolateral plasma membrane, plasma membrane, cytoskeleton, gamma-catenin-TCF7L2 complex, desmosome, protein-DNA complex, lateral plasma membrane";0,000245459008345606
"130";130;"P15153";"P15153,P60763,P63000-1,P63000-2";"P15153,P60763,P63000-1,P63000-2";"RAC1_HUMAN, RAC2_HUMAN, RAC3_HUMAN";"Ras-related C3 botulinum toxin substrate 1, Ras-related C3 botulinum toxin substrate 2, Ras-related C3 botulinum toxin substrate 3";"RAC1, RAC2, RAC3";2;3;0,000171666385802581;NA;2;NA;3;NA;0,000801446517110052;"plasma membrane, extracellular vesicular exosome, nuclear envelope, cytosol";0,000368188512518409
"131";131;"P15311";"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";2;3;0,000294207972307495;1;1;1;2;0,000235617963929897;0,000461269180225212;"Schwann cell microvillus, nucleolus, plasma membrane, actin filament, filopodium, cell tip, uropod, microspike, apical plasma membrane, microvillus membrane, extrinsic component of membrane, ruffle, apical part of cell, basolateral plasma membrane, microvillus, cell body, actin cytoskeleton, cytosol, cortical cytoskeleton, membrane raft, ruffle membrane, T-tubule, extracellular vesicular exosome, astrocyte projection";0,000368188512518409
"133";133;"P15880";"P15880";"P15880";"RS2_HUMAN";"40S ribosomal protein S2";"RPS2";10;31;0,00464963971921257;9;9;15;16;0,00545287287952048;0,00560191968273511;"extracellular vesicular exosome, cytosol, nucleoplasm, cytosolic small ribosomal subunit";0,0038046146293569
"134";134;"P15924";"P15924-1,P15924-2";"P15924-1,P15924-2";"DESP_HUMAN";"Desmoplakin";"DSP";7;13;9,94959477448606e-05;7;2;11;2;NA;NA;"cornified envelope, fascia adherens, extracellular vesicular exosome, intercalated disc, intermediate filament, plasma membrane, mitochondrion, basolateral plasma membrane, desmosome";0,00159548355424644
"135";135;"P16150";"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";1;1;0,000109866486913652;NA;1;NA;1;NA;0,000256462885475217;"extracellular vesicular exosome, plasma membrane, uropod, basement membrane, integral component of plasma membrane, external side of plasma membrane, extracellular space, cell surface";0,000122729504172803
"136";136;"P16152";"O75828,P16152";"O75828,P16152";"CBR1_HUMAN, CBR3_HUMAN";"Carbonyl reductase [NADPH] 1, Carbonyl reductase [NADPH] 3";"CBR1, CBR3";1;3;0,00023797794999347;1;1;1;2;0,000192261342202106;0,000370343516931721;"extracellular vesicular exosome, cytosol";0,000368188512518409
"139";139;"P16949";"P16949-1";"P16949-1";"STMN1_HUMAN";"Stathmin";"STMN1";9;19;0,00560392819156882;3;8;6;13;NA;NA;"extracellular vesicular exosome, microtubule, membrane, intracellular, cytosol";0,00233186057928326
"140";140;"P17066";"P17066";"P17066";"HSP76_HUMAN";"Heat shock 70 kDa protein 6";"HSPA6";1;1;0,000170966898567046;1;0;1;0;0,000326279793237091;0;"extracellular vesicular exosome, blood microparticle";0,000122729504172803
"141";141;"P17844";"P17844";"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";6;11;0,00131219474055393;5;3;8;3;0,00196603400744781;0,00108599918930873;"catalytic step 2 spliceosome, nucleus, ribonucleoprotein complex, nucleolus, extracellular vesicular exosome";0,00135002454590083
"142";142;"P17858";"P17858-1";"P17858-1";"K6PL_HUMAN";"6-phosphofructokinase, liver type";"PFKL";1;1;6,88621855299242e-05;0;1;0;1;NA;NA;"cytosol, extracellular vesicular exosome, 6-phosphofructokinase complex";0,000122729504172803
"143";143;"P17987";"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";9;21;0,00165985339941488;6;8;8;13;0,00153255803712182;0,00239857374904879;"extracellular vesicular exosome, microtubule, pericentriolar material, acrosomal vesicle, nuclear heterochromatin, chaperonin-containing T-complex, centrosome, zona pellucida receptor complex, cell body, Golgi apparatus, cytosol";0,00257731958762887
"144";144;"P18077";"P18077";"P18077";"RL35A_HUMAN";"60S ribosomal protein L35a";"RPL35A";4;9;0,00359563048081042;3;3;3;6;0,00290489409763546;0,00559555386491382;"cytosol, extracellular vesicular exosome, cytosolic large ribosomal subunit";0,00110456553755523
"147";147;"P18669";"P18669";"P18669";"PGAM1_HUMAN";"Phosphoglycerate mutase 1";"PGAM1";11;25;0,00432545224069495;6;10;11;14;0,00461275834401431;0,00565429983724887;"cytoplasm, cytosol, extracellular vesicular exosome";0,00306823760432008
"149";149;"P19012";"P19012";"P19012";"K1C15_HUMAN";"Keratin, type I cytoskeletal 15";"KRT15";0;0;NA;0;0;0;0;NA;0;"intermediate filament, extracellular vesicular exosome";0
"151";151;"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";27;83;0,00513741882469471;23;26;37;46;0,00555066618656165;0,00664636210245632;"nucleolus, extracellular vesicular exosome, nucleus, nucleoplasm, ribonucleoprotein complex, cell cortex";0,0101865488463427
"154";154;"P20231";"P20231,Q15661-1,Q15661-2";"P20231,Q15661-1,Q15661-2";"TRYB1_HUMAN, TRYB2_HUMAN";"Tryptase alpha/beta-1, Tryptase beta-2";"TPSAB1, TPSB2";3;9;0,00047941739744139;3;3;3;6;0,00116195763905418;0,00223822154596553;"extracellular region";0,00110456553755523
"155";155;"P20618";"P20618";"P20618";"PSB1_HUMAN";"Proteasome subunit beta type-1";"PSMB1";2;4;0,000729404062497274;1;2;1;3;0,000441961757593223;0,00127699362062348;"proteasome core complex, cytosol, proteasome complex, nucleoplasm, extracellular vesicular exosome";0,000490918016691213
"158";158;"P21281";"P21281";"P21281";"VATB2_HUMAN";"V-type proton ATPase subunit B, brain isoform";"ATP6V1B2";2;3;0,000258003491773742;2;NA;3;NA;0,000625319668766928;NA;"melanosome, extracellular vesicular exosome, plasma membrane, proton-transporting V-type ATPase, V1 domain, intracellular membrane-bounded organelle, microvillus, integral component of membrane, lysosomal membrane, endomembrane system, cytosol";0,000368188512518409
"159";159;"P21291";"P21291";"P21291";"CSRP1_HUMAN";"Cysteine and glycine-rich protein 1";"CSRP1";4;11;0,00250472819906771;3;4;5;6;0,00275939853834111;0,00318917577793015;"nucleus, extracellular vesicular exosome";0,00135002454590083
"160";160;"P21333";"P21333-1,P21333-2";"P21333-1,P21333-2";"FLNA_HUMAN";"Filamin-A";"FLNA";7;14;0,000116216910977796;7;3;9;5;NA;NA;"cytosol, neuronal cell body, cytoplasm, cortical cytoskeleton, extracellular region, dendritic shaft, apical dendrite, nucleus, actin filament, trans-Golgi network, extracellular vesicular exosome, perinuclear region of cytoplasm, actin cytoskeleton, Myb complex, plasma membrane";0,00171821305841924
"161";161;"P21796";"P21796";"P21796";"VDAC1_HUMAN";"Voltage-dependent anion-selective channel protein 1";"VDAC1";3;9;0,00237591130710795;3;2;6;3;0,00376370259999882;0,00190308148232493;"extracellular vesicular exosome, membrane, plasma membrane, mitochondrial inner membrane, mitochondrial nucleoid, pore complex, mitochondrion, mitochondrial outer membrane";0,00110456553755523
"162";162;"P22234";"P22234-1,P22234-2";"P22234-1,P22234-2";"PUR6_HUMAN";"Multifunctional protein ADE2";"PAICS";5;5;0,000258509380973298;2;3;2;3;NA;NA;"cytosol, extracellular vesicular exosome";0,000613647520864016
"163";163;"P22314";"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";21;51;0,00211840863236153;16;15;25;26;0,00251684271219203;0,0025209962277337;"extracellular vesicular exosome";0,00625920471281296
"164";164;"P22392";"P22392-1,P22392-2";"P22392-1,P22392-2";"NDKB_HUMAN";"Nucleoside diphosphate kinase B";"NME2";1;3;0,00148691486048551;1;1;1;2;NA;NA;"lamellipodium, extracellular vesicular exosome, cell periphery, nucleus, cytosol, ruffle, cytoplasm";0,000368188512518409
"169";169;"P23284";"P23284";"P23284";"PPIB_HUMAN";"Peptidyl-prolyl cis-trans isomerase B";"PPIB";6;15;0,00305184685871255;3;6;6;9;0,00295868843277685;0,00427438142458694;"macromolecular complex, extracellular vesicular exosome, melanosome, endoplasmic reticulum, endoplasmic reticulum lumen";0,00184094256259205
"170";170;"P23396";"P23396";"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";8;22;0,00397870405284007;8;5;14;8;0,00613653897168532;0,00337728902683413;"cytoplasm, nucleus, cytosol, extracellular vesicular exosome, ruffle membrane, cytosolic small ribosomal subunit, ribonucleoprotein complex";0,00270004909180167
"171";171;"P23526";"P23526";"P23526";"SAHH_HUMAN";"Adenosylhomocysteinase";"AHCY";3;6;0,00061036937174251;NA;3;NA;6;NA;0,00142479380819565;"melanosome, extracellular vesicular exosome, cytosol, cytoplasm";0,000736377025036819
"172";172;"P23528";"P23528";"P23528";"COF1_HUMAN";"Cofilin-1";"CFL1";11;39;0,0103248023846564;8;11;17;22;0,0109079356678279;0,0135956228444693;"cortical actin cytoskeleton, cytoplasm, lamellipodium membrane, extracellular vesicular exosome, nucleus, nuclear matrix, extracellular space, ruffle membrane";0,00478645066273932
"174";174;"P24666";"P24666-1";"P24666-1";"PPAC_HUMAN";"Low molecular weight phosphotyrosine protein phosphatase";"ACP1";2;2;0,000556286009689376;NA;2;NA;2;NA;NA;"cytoplasm, cytoplasmic side of plasma membrane, extracellular vesicular exosome";0,000245459008345606
"175";175;"P24752";"P24752";"P24752";"THIL_HUMAN";"Acetyl-CoA acetyltransferase, mitochondrial";"ACAT1";6;10;0,00102919425680236;3;5;5;5;0,00124722229016354;0,00120123131370125;"mitochondrion, mitochondrial inner membrane, extracellular vesicular exosome, mitochondrial matrix";0,00122729504172803
"178";178;"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";17;46;0,00365559377795876;13;15;23;23;0,0044300072736695;0,0042666519825895;"mitochondrial matrix, mitochondrial proton-transporting ATP synthase complex, extracellular vesicular exosome, plasma membrane, mitochondrial inner membrane, proton-transporting ATP synthase complex, catalytic core F(1), mitochondrion";0,00564555719194894
"179";179;"P25786";"P25786-1,P25786-2";"P25786-1,P25786-2";"PSA1_HUMAN";"Proteasome subunit alpha type-1";"PSMA1";6;14;0,00116968122949896;3;6;5;9;NA;NA;"polysome, extracellular vesicular exosome, proteasome core complex, alpha-subunit complex, cytosol, nucleoplasm, proteasome complex, proteasome core complex, centrosome, nucleus";0,00171821305841924
"180";180;"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";35;114;0,0113542861825707;25;31;53;61;0,0126825350498003;0,0142881526138045;"microvillus, blood microparticle, plasma membrane, basolateral plasma membrane, extracellular vesicular exosome, apical part of cell, cytoskeleton, filopodium, uropod, apical plasma membrane, microvillus membrane, cytoplasm, extrinsic component of membrane";0,0139911634756996
"182";182;"P26583";"P26583";"P26583";"HMGB2_HUMAN";"High mobility group protein B2";"HMGB2";9;25;0,00534021049781554;8;8;15;10;0,00785680421144093;0,00490838058325773;"extracellular space, cytoplasm, nucleoplasm, protein complex, condensed chromosome, perinuclear region of cytoplasm, nucleus";0,00306823760432008
"183";183;"P26599";"P26599-1,P26599-2,P26599-3";"P26599-1,P26599-2,P26599-3";"PTBP1_HUMAN";"Polypyrimidine tract-binding protein 1";"PTBP1";2;2;5,51746324738992e-05;NA;2;NA;2;NA;NA;"extracellular vesicular exosome, nucleolus, nucleoplasm";0,000245459008345606
"184";184;"P26639";"P26639";"P26639";"SYTC_HUMAN";"Threonine--tRNA ligase, cytoplasmic";"TARS";2;2;0,000121567343749546;NA;2;NA;2;NA;0,000283776360138552;"extracellular vesicular exosome, actin cytoskeleton, cytoplasm, cytosol";0,000245459008345606
"186";186;"P27348";"P27348";"P27348";"1433T_HUMAN";"14-3-3 protein theta";"YWHAQ";6;17;0,00384555720160105;5;5;8;9;0,00436159863738772;0,00476602431620692;"extracellular vesicular exosome, cytosol, cytoplasmic vesicle membrane, cytoplasm";0,00208640157093765
"189";189;"P27797";"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";9;22;0,00231852538330968;6;8;7;15;0,00178798437664213;0,00369011346007506;"external side of plasma membrane, MHC class I peptide loading complex, cytoplasm, extracellular space, cell surface, Golgi apparatus, extracellular vesicular exosome, intracellular, integral component of lumenal side of endoplasmic reticulum membrane, polysome, sarcoplasmic reticulum lumen, endoplasmic reticulum lumen, extracellular region, endoplasmic reticulum, proteinaceous extracellular matrix, perinuclear region of cytoplasm, nucleus, cytosol, endocytic vesicle lumen, acrosomal vesicle";0,00270004909180167
"191";191;"P28062";"P28062-1,P28062-2";"P28062-1,P28062-2";"PSB8_HUMAN";"Proteasome subunit beta type-8";"PSMB8";3;3;0,000238840188942721;3;NA;3;NA;NA;NA;"nucleoplasm, spermatoproteasome complex, proteasome core complex, cytosol, proteasome complex, extracellular vesicular exosome";0,000368188512518409
"192";192;"P28072";"P28072";"P28072";"PSB6_HUMAN";"Proteasome subunit beta type-6";"PSMB6";1;2;0,000367753931091722;1;1;1;1;0,000445660182342957;0,0004292265865694;"nucleoplasm, extracellular vesicular exosome, proteasome core complex, cytosol";0,000245459008345606
"193";193;"P28074";"P28074-1,P28074-2";"P28074-1,P28074-2";"PSB5_HUMAN";"Proteasome subunit beta type-5";"PSMB5";2;2;0,000167097318499851;2;NA;2;NA;NA;NA;"nucleoplasm, nucleus, proteasome complex, proteasome core complex, cytosol, extracellular vesicular exosome";0,000245459008345606
"194";194;"P29401";"P29401";"P29401";"TKT_HUMAN";"Transketolase";"TKT";16;36;0,00253945009880672;11;14;16;20;0,00273548079820139;0,00329326337688882;"extracellular vesicular exosome, nucleus, peroxisome, cytosol";0,00441826215022091
"196";196;"P29966";"P29966";"P29966";"MARCS_HUMAN";"Myristoylated alanine-rich C-kinase substrate";"MARCKS";4;5;0,000661846306708746;2;3;2;3;0,000641643274578113;0,00092697428485018;"germinal vesicle, extracellular vesicular exosome, plasma membrane, centrosome, actin cytoskeleton, cell cortex";0,000613647520864016
"197";197;"P30040";"P30040";"P30040";"ERP29_HUMAN";"Endoplasmic reticulum resident protein 29";"ERP29";3;4;0,000673511030888287;2;2;2;2;0,000816189912490166;0,000786093135556219;"endoplasmic reticulum, melanosome, endoplasmic reticulum lumen, cell surface";0,000490918016691213
"198";198;"P30041";"P30041";"P30041";"PRDX6_HUMAN";"Peroxiredoxin-6";"PRDX6";7;16;0,0031390424832472;7;3;11;5;0,00523053847937336;0,002289847191743;"cytosol, extracellular vesicular exosome, cytoplasmic membrane-bounded vesicle, cytoplasm, lysosome, extracellular space";0,00196367206676485
"201";201;"P30050";"P30050-1";"P30050-1";"RL12_HUMAN";"60S ribosomal protein L12";"RPL12";4;7;0,00186440099004985;4;NA;7;NA;NA;NA;"cytosolic large ribosomal subunit, extracellular vesicular exosome, cytosol";0,000859106529209622
"202";202;"P30086";"P30086";"P30086";"PEBP1_HUMAN";"Phosphatidylethanolamine-binding protein 1";"PEBP1";4;17;0,00399514497867825;4;4;8;9;0,00455669662374189;0,00493725341021807;"extracellular vesicular exosome, cytoplasm";0,00208640157093765
"203";203;"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";14;34;0,00295878063767458;8;13;15;19;0,0031637460469297;0,00385963946457752;"melanosome, cell surface, endoplasmic reticulum lumen, extracellular vesicular exosome, endoplasmic reticulum";0,00417280314187531
"205";205;"P31146";"P31146";"P31146";"COR1A_HUMAN";"Coronin-1A";"CORO1A";10;28;0,00266920749117766;9;7;18;10;0,00415885055192929;0,00222527449436197;"cytoplasm, extracellular vesicular exosome, immunological synapse, lamellipodium, phagocytic vesicle, actin filament, phagocytic vesicle membrane, protein complex, plasma membrane, phagocytic cup, cortical actin cytoskeleton";0,00343642611683849
"208";208;"P31939";"P31939";"P31939";"PUR9_HUMAN";"Bifunctional purine biosynthesis protein PURH";"ATIC";2;3;0,000222702338338484;NA;2;NA;3;NA;0,000519857200287601;"mitochondrion, extracellular vesicular exosome, cytosol";0,000368188512518409
"210";210;"P31946";"P31946-1,P31946-2";"P31946-1,P31946-2";"1433B_HUMAN";"14-3-3 protein beta/alpha";"YWHAB";5;16;0,00180231757894262;5;5;7;9;NA;NA;"cytoplasmic vesicle membrane, cytoplasm, cytosol, perinuclear region of cytoplasm, transcriptional repressor complex, extracellular vesicular exosome, melanosome";0,00196367206676485
"212";212;"P32119";"P32119-1";"P32119-1";"PRDX2_HUMAN";"Peroxiredoxin-2";"PRDX2";5;13;0,00312092391191532;5;3;7;6;NA;NA;"cytoplasm, extracellular vesicular exosome, cytosol";0,00159548355424644
"214";214;"P33316";"P33316-2,P33316-3";"P33316-2,P33316-3";"DUT_HUMAN";"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial";"DUT";1;1;8,71956245346443e-05;NA;1;NA;1;NA;NA;"extracellular vesicular exosome, mitochondrion, nucleoplasm, nucleus";0,000122729504172803
"219";219;"P34932";"P34932";"P34932";"HSP74_HUMAN";"Heat shock 70 kDa protein 4";"HSPA4";4;5;0,000287745560964326;3;2;3;2;0,000380402798499881;0,000279143276707719;"mitochondrion, extracellular vesicular exosome";0,000613647520864016
"220";220;"P35232";"P35232";"P35232";"PHB_HUMAN";"Prohibitin";"PHB";3;6;0,000969410178649869;3;3;3;3;0,00117477334830846;0,00113145390650831;"mitochondrion, integral component of plasma membrane, nucleoplasm, extracellular vesicular exosome, nucleus, cytoplasm, mitochondrial inner membrane";0,000736377025036819
"221";221;"P35527";"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";26;160;0,0113904674170747;25;23;86;74;0,0149320530146956;0,0121850744944886;"intermediate filament, extracellular vesicular exosome, extracellular space";0,0196367206676485
"222";222;"P35579";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";52;120;0,00295310616890851;47;28;74;46;NA;NA;"spindle, cleavage furrow, immunological synapse, cell-cell adherens junction, cell leading edge, nucleus, uropod, stress fiber, ruffle, actin cytoskeleton, myosin II filament, extracellular vesicular exosome, myosin II complex, plasma membrane, actomyosin contractile ring, cytosol, cortical cytoskeleton, actomyosin, neuromuscular junction, cytoplasm, protein complex";0,0147275405007364
"224";224;"P35754";"P35754";"P35754";"GLRX1_HUMAN";"Glutaredoxin-1";"GLRX";1;1;0,00041459051665529;1;NA;1;NA;0,00100483758094308;NA;"nucleus, cytosol, extracellular vesicular exosome, mitochondrion";0,000122729504172803
"225";225;"P35908";"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";29;154;0,0135876431038602;29;24;85;69;0,0180282388306584;0,0143631415042192;"intermediate filament cytoskeleton, cytoplasm, extracellular space, intermediate filament, extracellular vesicular exosome, Golgi apparatus, keratin filament";0,0189003436426117
"227";227;"P36578";"P36578";"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";10;35;0,00360217989880826;7;10;15;20;0,00374166687049063;0,00480492525480499;"extracellular vesicular exosome, cytosol, nucleus, ribonucleoprotein complex, nucleolus, cytoplasm, cytosolic large ribosomal subunit";0,00429553264604811
"230";230;"P37802";"P37802";"P37802";"TAGL2_HUMAN";"Transgelin-2";"TAGLN2";11;25;0,00552092899063577;7;8;13;12;0,00695812154039984;0,00618603944864844;"extracellular vesicular exosome";0,00306823760432008
"231";231;"P37837";"P37837";"P37837";"TALDO_HUMAN";"Transaldolase";"TALDO1";2;2;0,000260810651427067;NA;2;NA;2;NA;0,00060881397145452;"intracellular membrane-bounded organelle, cytosol, extracellular vesicular exosome, cytoplasm";0,000245459008345606
"233";233;"P38606";"P38606";"P38606";"VATA_HUMAN";"V-type proton ATPase catalytic subunit A";"ATP6V1A";1;1;7,12262475939396e-05;NA;1;NA;1;NA;0,000166264431426396;"plasma membrane, extracellular vesicular exosome, proton-transporting V-type ATPase, V1 domain, lysosomal membrane, proton-transporting two-sector ATPase complex, microvillus, cytosol, apical plasma membrane, mitochondrion, integral component of plasma membrane";0,000122729504172803
"234";234;"P38646";"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";15;33;0,00213584333911665;10;13;15;18;0,00235300700103019;0,00271948862359582;"mitochondrial nucleoid, extracellular vesicular exosome, mitochondrion, cytoplasm, nucleolus";0,0040500736377025
"236";236;"P39019";"P39019";"P39019";"RS19_HUMAN";"40S ribosomal protein S19";"RPS19";5;9;0,00272771967509756;2;4;4;5;0,0029382836849646;0,00353741911000299;"cytosol, cytoplasm, extracellular vesicular exosome, ribosome, nucleolus, cytosolic small ribosomal subunit";0,00110456553755523
"237";237;"P39023";"P39023";"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";15;42;0,00458004213436564;12;12;20;22;0,00528599422233085;0,0056001821145953;"cytosolic large ribosomal subunit, cytosol, nucleolus, cytoplasm, extracellular vesicular exosome, nucleus";0,00515463917525773
"240";240;"P40227";"P40227";"P40227";"TCPZ_HUMAN";"T-complex protein 1 subunit zeta";"CCT6A";6;9;0,00074485753839764;3;5;3;6;0,000601767138869868;0,00115915428463375;"extracellular vesicular exosome, cytoplasm, acrosomal vesicle, cell body, microtubule, chaperonin-containing T-complex, cytosol, zona pellucida receptor complex";0,00110456553755523
"242";242;"P40925";"P40925-1";"P40925-1";"MDHC_HUMAN";"Malate dehydrogenase, cytoplasmic";"MDH1";6;10;0,00131576631034314;1;6;1;9;NA;NA;"extracellular space, cytosol, extracellular vesicular exosome, mitochondrion, cytoplasm, centrosome";0,00122729504172803
"243";243;"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";12;33;0,00429064386763374;9;12;14;19;0,00441177210094537;0,00576662109352558;"mitochondrial inner membrane, mitochondrion, mitochondrial matrix, nucleus, extracellular vesicular exosome, plasma membrane";0,0040500736377025
"245";245;"P41091";"P41091";"P41091";"IF2G_HUMAN";"Eukaryotic translation initiation factor 2 subunit 3";"EIF2S3";4;5;0,000465535961498525;3;2;3;2;0,000676988031228602;0,000434682856737655;"cytosol, extracellular vesicular exosome";0,000613647520864016
"247";247;"P41252";"P41252";"P41252";"SYIC_HUMAN";"Isoleucine--tRNA ligase, cytoplasmic";"IARS";6;11;0,000383052727749658;6;2;9;2;0,000759599882899921;0,000162575521695858;"cytosol, cytoplasm, extracellular vesicular exosome";0,00135002454590083
"256";256;"P46777";"P46777";"P46777";"RL5_HUMAN";"60S ribosomal protein L5";"RPL5";9;22;0,00325530331596005;6;8;9;13;0,00322766010848384;0,00449025927431356;"nucleolus, ribonucleoprotein complex, cytoplasm, extracellular vesicular exosome, cytosolic large ribosomal subunit, cytosol, nucleus";0,00270004909180167
"258";258;"P46779";"P46779-1";"P46779-1";"RL28_HUMAN";"60S ribosomal protein L28";"RPL28";8;22;0,00705711740759224;6;7;10;12;NA;NA;"cytosolic large ribosomal subunit, extracellular vesicular exosome, cytosol, cytoplasm";0,00270004909180167
"259";259;"P46781";"P46781";"P46781";"RS9_HUMAN";"40S ribosomal protein S9";"RPS9";8;20;0,00453057677994441;8;5;14;6;0,00768648953669863;0,00317273672752845;"cytoplasm, cytosolic small ribosomal subunit, extracellular vesicular exosome, cytosol, nucleolus, ribosome, ribonucleoprotein complex";0,00245459008345606
"260";260;"P46782";"P46782";"P46782";"RS5_HUMAN";"40S ribosomal protein S5";"RPS5";7;16;0,00344679174631065;2;7;5;11;0,00261060744068546;0,0055315524318184;"ribonucleoprotein complex, cytosolic small ribosomal subunit, cytosol, extracellular vesicular exosome";0,00196367206676485
"262";262;"P46940";"P46940";"P46940";"IQGA1_HUMAN";"Ras GTPase-activating-like protein IQGAP1";"IQGAP1";5;5;0,000132608916009236;5;NA;5;NA;0,000321402485153792;NA;"microtubule, extrinsic component of cytoplasmic side of plasma membrane, plasma membrane, cell junction, midbody, slit diaphragm, extracellular vesicular exosome, nucleus, neuron projection, ribonucleoprotein complex, actin filament, cytoplasm, cell leading edge, lateral plasma membrane";0,000613647520864016
"263";263;"P47756";"P47756-2";"P47756-2";"CAPZB_HUMAN";"F-actin-capping protein subunit beta";"CAPZB";2;2;0,000317303933324626;2;NA;2;NA;NA;NA;"actin cytoskeleton, F-actin capping protein complex, membrane, cytoskeleton, WASH complex, intercalated disc, extracellular vesicular exosome, Z disc, cortical cytoskeleton, lamellipodium, acrosomal vesicle, cytosol";0,000245459008345606
"266";266;"P48047";"P48047";"P48047";"ATPO_HUMAN";"ATP synthase subunit O, mitochondrial";"ATP5O";4;12;0,00247586449382877;3;4;5;7;0,00250030008403678;0,00337134309544886;"mitochondrial inner membrane, mitochondrial proton-transporting ATP synthase complex, plasma membrane, mitochondrion";0,00147275405007364
"267";267;"P48643";"P48643";"P48643";"TCPE_HUMAN";"T-complex protein 1 subunit epsilon";"CCT5";6;12;0,000974785835832771;4;6;4;8;0,000787525202069994;0,00151697085678501;"centrosome, microtubule, cell body, chaperonin-containing T-complex, extracellular vesicular exosome, cytoplasm, cytosol, nucleolus, zona pellucida receptor complex";0,00147275405007364
"269";269;"P49006";"P49006";"P49006";"MRP_HUMAN";"MARCKS-related protein";"MARCKSL1";2;4;0,000901468610573554;2;2;2;2;0,00109243880594838;0,00105215542759063;"cytoplasm, extracellular vesicular exosome, plasma membrane";0,000490918016691213
"270";270;"P49207";"P49207";"P49207";"RL34_HUMAN";"60S ribosomal protein L34";"RPL34";3;7;0,0026292834475062;2;3;4;3;0,00364146268649459;0,00263038856897658;"cytoplasm, cytosol, extracellular vesicular exosome, nucleolus, cytosolic large ribosomal subunit";0,000859106529209622
"272";272;"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";18;42;0,000735068490700657;13;13;22;20;0,000933206387399151;0,000817086054879224;"cytoplasm, plasma membrane, extracellular vesicular exosome, melanosome, glycogen granule, cytosol, mitochondrion, Golgi apparatus";0,00515463917525773
"273";273;"P49368";"P49368-1";"P49368-1";"TCPG_HUMAN";"T-complex protein 1 subunit gamma";"CCT3";6;16;0,00129017525916949;5;5;8;8;NA;NA;"cytoplasm, cell body, cytoskeleton, plasma membrane, extracellular vesicular exosome, chaperonin-containing T-complex, microtubule, cytosol, zona pellucida receptor complex";0,00196367206676485
