"";"protein.acs";"X.2";"X";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5745.3.id.csv";"peptide.count.P5745.4.id.csv";"spectra.count.P5745.3.id.csv";"spectra.count.P5745.4.id.csv";"dNSAF.P5745.3.id.csv";"dNSAF.P5745.4.id.csv";"Go.Cc";"norm.sc";"Go.Mf"
"61";"P26583";92;92;"P26583";"P26583";"HMGB2_HUMAN";"High mobility group protein B2";"HMGB2";3;4;0,00473489061315185;3;1;3;1;0,00708122321606398;0,00292207840656847;"extracellular space, nucleoplasm, condensed chromosome, perinuclear region of cytoplasm, protein complex";0,00249687890137328;"damaged DNA binding, protein binding, DNA binding, bending, single-stranded DNA binding, sequence-specific DNA binding transcription factor activity, RAGE receptor binding, chemoattractant activity, poly(A) RNA binding, transcription regulatory region DNA binding, DNA binding, double-stranded DNA binding"
"62";"P27348";93;93;"P27348";"P27348";"1433T_HUMAN";"14-3-3 protein theta";"YWHAQ";1;2;0,00183093409727003;1;1;1;1;0,00205552173910746;0,00189920897795238;"cytosol, protein complex, extracellular vesicular exosome, cytoplasmic vesicle membrane";0,00124843945068664;"protein N-terminus binding, protein binding"
"63";"P27797";95;95;"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";5;6;0,0027968945322806;2;4;2;4;0,00207030966528809;0,00390544771845123;"endocytic vesicle lumen, acrosomal vesicle, nucleus, cytosol, extracellular space, endoplasmic reticulum lumen, perinuclear region of cytoplasm, Golgi apparatus, external side of plasma membrane, sarcoplasmic reticulum lumen, proteinaceous extracellular matrix, polysome, MHC class I peptide loading complex, extracellular vesicular exosome, cell surface, integral component of lumenal side of endoplasmic reticulum membrane";0,00374531835205993;"protein binding involved in protein folding, integrin binding, DNA binding, unfolded protein binding, chaperone binding, calcium ion binding, zinc ion binding, carbohydrate binding, iron ion binding, androgen receptor binding, protein binding, peptide binding, ubiquitin protein ligase binding, mRNA binding, poly(A) RNA binding, glycoprotein binding, hormone binding, complement component C1q binding"
"64";"P29401";97;97;"P29401";"P29401";"TKT_HUMAN";"Transketolase";"TKT";2;2;0,000624026227908513;2;NA;2;NA;0,00138574499265671;NA;"extracellular vesicular exosome, cytosol, nucleus, peroxisome";0,00124843945068664;"metal ion binding, cofactor binding, transketolase activity, protein homodimerization activity"
"65";"P30101";100;100;"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";3;3;0,00115475744550595;3;NA;3;NA;0,00256431424878752;NA;"endoplasmic reticulum lumen, cell surface, melanosome, extracellular vesicular exosome";0,00187265917602996;"poly(A) RNA binding, protein binding, protein disulfide isomerase activity, phospholipase C activity, cysteine-type endopeptidase activity"
"66";"P31146";101;101;"P31146";"P31146";"COR1A_HUMAN";"Coronin-1A";"CORO1A";2;2;0,000843315271121483;2;NA;2;NA;0,00187270961046667;NA;"phagocytic cup, immunological synapse, phagocytic vesicle, extracellular vesicular exosome, phagocytic vesicle membrane, cortical actin cytoskeleton, lamellipodium, actin filament";0,00124843945068664;"cytoskeletal protein binding, protein binding, poly(A) RNA binding, protein C-terminus binding, protein homodimerization activity, actin filament binding, phosphatidylinositol 3-kinase binding"
"67";"P31946";104;104;"P31946-1,P31946-2";"P31946-1,P31946-2";"1433B_HUMAN";"14-3-3 protein beta/alpha";"YWHAB";1;2;0,000911745637868208;1;1;1;1;NA;NA;"melanosome, perinuclear region of cytoplasm, extracellular vesicular exosome, cytosol, cytoplasmic vesicle membrane, transcriptional repressor complex";0,00124843945068664;"transcription corepressor activity, protein binding, histone deacetylase binding, protein domain specific binding, phosphoprotein binding, enzyme binding, phosphoserine binding"
"68";"P35527";106;106;"P35527";"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";34;106;0,0334492240573234;30;29;49;57;0,0344771205731141;0,0375265674083049;"intermediate filament, extracellular vesicular exosome, extracellular space";0,066167290886392;"structural constituent of cytoskeleton"
"69";"P35579";107;107;"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";11;13;0,00128928276016098;8;5;8;5;NA;NA;"uropod, nucleus, ruffle, plasma membrane, cleavage furrow, protein complex, actomyosin contractile ring, myosin II complex, spindle, stress fiber, cortical cytoskeleton, cytosol, cell-cell adherens junction, immunological synapse, extracellular vesicular exosome, neuromuscular junction";0,00811485642946317;"ATP binding, motor activity, ADP binding, protein binding, protein homodimerization activity, microfilament motor activity, actin filament binding, poly(A) RNA binding, actin-dependent ATPase activity, actin binding, ATPase activity, protein anchor"
"70";"P35908";108;108;"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";31;113;0,04523060455283;29;26;59;54;0,0520426075003381;0,0456238776909314;"keratin filament, intermediate filament, extracellular vesicular exosome, extracellular space, Golgi apparatus";0,0705368289637953;"structural constituent of cytoskeleton"
"71";"P36578";109;109;"P36578";"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";2;2;0,000910464496456683;2;NA;2;NA;0,00202182466141717;NA;"cytosolic large ribosomal subunit, extracellular vesicular exosome, nucleolus";0,00124843945068664;"structural constituent of ribosome, RNA binding, poly(A) RNA binding, protein binding"
"72";"P38159";110;110;"P38159-1,P38159-2";"P38159-1,P38159-2";"RBMX_HUMAN";"RNA-binding motif protein, X chromosome";"RBMX";3;3;0,000745719322225711;3;NA;3;NA;NA;NA;"nucleoplasm, extracellular vesicular exosome, extracellular space, catalytic step 2 spliceosome, supraspliceosomal complex, nuclear euchromatin";0,00187265917602996;"nucleotide binding, protein binding, RNA binding, core promoter binding, mRNA binding, poly(A) RNA binding, single-stranded RNA binding, chromatin binding"
"73";"P38646";111;111;"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";10;12;0,00343536088353759;7;5;7;5;0,00445009861043883;0,00299810695617482;"nucleolus, extracellular vesicular exosome, mitochondrial nucleoid";0,00749063670411985;"ATP binding, poly(A) RNA binding, protein binding, unfolded protein binding"
"74";"P39019";112;112;"P39019";"P39019";"RS19_HUMAN";"40S ribosomal protein S19";"RPS19";7;14;0,0187681267579933;5;7;6;8;0,0178617751122441;0,0224630579116436;"nucleolus, extracellular vesicular exosome, cytosolic small ribosomal subunit";0,00873907615480649;"structural constituent of ribosome, fibroblast growth factor binding, protein homodimerization activity, protein binding, protein kinase binding, poly(A) RNA binding"
"75";"P49327";119;119;"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";3;5;0,000387065252874357;2;3;2;3;0,000343814866756325;0,000486431212244373;"mitochondrion, plasma membrane, Golgi apparatus, glycogen granule, cytosol, extracellular vesicular exosome, melanosome";0,0031210986267166;"protein binding, drug binding, palmitoyl-[acyl-carrier-protein] hydrolase activity, enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity, 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity, NADPH binding, 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity, [acyl-carrier-protein] S-acetyltransferase activity, poly(A) RNA binding, fatty acid synthase activity, 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity, [acyl-carrier-protein] S-malonyltransferase activity, zinc ion binding, myristoyl-[acyl-carrier-protein] hydrolase activity, 3-oxoacyl-[acyl-carrier-protein] synthase activity, oleoyl-[acyl-carrier-protein] hydrolase activity, enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity"
"76";"P49368";120;120;"P49368-1";"P49368-1";"TCPG_HUMAN";"T-complex protein 1 subunit gamma";"CCT3";4;4;0,00142667280729176;NA;4;NA;4;NA;NA;"cytosol, chaperonin-containing T-complex, cell body, microtubule, plasma membrane, extracellular vesicular exosome, zona pellucida receptor complex";0,00249687890137328;"protein binding, poly(A) RNA binding, ATP binding, unfolded protein binding"
"77";"P49411";121;121;"P49411";"P49411";"EFTU_HUMAN";"Elongation factor Tu, mitochondrial";"TUFM";3;3;0,00129016042031085;3;NA;3;NA;0,0028649971142427;NA;"mitochondrial nucleoid, extracellular vesicular exosome";0,00187265917602996;"poly(A) RNA binding, translation elongation factor activity, GTP binding, GTPase activity"
"78";"P50502";123;123;"P50502,Q8IZP2";"P50502,Q8IZP2";"F10A1_HUMAN, ST134_HUMAN";"Hsc70-interacting protein, Putative protein FAM10A4";"ST13, ST13P4";2;4;0,00127674331687029;2;2;2;2;0,00141760119938446;0,00133708678045498;"protein complex, cytosol, cytoplasm, extracellular vesicular exosome";0,00249687890137328;"protein binding, bridging, dATP binding, protein binding"
"79";"P50914";124;124;"P50914";"P50914";"RL14_HUMAN";"60S ribosomal protein L14";"RPL14";1;1;0,000904112418574427;NA;1;NA;1;NA;0,00189368802162112;"cytosolic large ribosomal subunit, extracellular vesicular exosome";0,000624219725343321;"protein binding, structural constituent of ribosome, RNA binding, poly(A) RNA binding"
"80";"P52272";127;127;"P52272-1,P52272-2";"P52272-1,P52272-2";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";9;14;0,00186395779445824;6;8;6;8;NA;NA;"catalytic step 2 spliceosome, nuclear matrix, integral component of plasma membrane, paraspeckles";0,00873907615480649;"protein domain specific binding, RNA binding, poly(A) RNA binding, nucleotide binding, protein binding"
"81";"P53999";128;128;"P53999";"P53999";"TCP4_HUMAN";"Activated RNA polymerase II transcriptional coactivator p15";"SUB1";2;2;0,00306116803139373;2;NA;2;NA;0,00679778842854436;NA;"nucleolus, extracellular vesicular exosome, transcription factor complex";0,00124843945068664;"protein binding, single-stranded DNA binding, poly(A) RNA binding, transcription coactivator activity"
"82";"P58876";130;130;"P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F";"HIST1H2BD, HIST1H2BF,HIST1H2BE,HIST1H2BC,HIST1H2BG,HIST1H2BI, HIST1H2BH, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";1;2;0,00359970685173152;1;1;1;1;0,00399684782604228;0,00753968378978779;"nucleus, extracellular vesicular exosome, nucleosome";0,00124843945068664;"DNA binding"
"83";"P60842";131;131;"P60842,Q14240-1,Q14240-2";"P60842,Q14240-1,Q14240-2";"IF4A1_HUMAN, IF4A2_HUMAN";"Eukaryotic initiation factor 4A-I, Eukaryotic initiation factor 4A-II";"EIF4A1, EIF4A2";3;4;0,000637325147519678;3;NA;4;NA;0,00425280359815336;NA;"cytosol, eukaryotic translation initiation factor 4F complex, extracellular vesicular exosome";0,00249687890137328;"poly(A) RNA binding, RNA cap binding, ATP binding, protein binding, translation factor activity, nucleic acid binding, helicase activity, mRNA binding, ATP-dependent helicase activity, translation initiation factor activity, double-stranded RNA binding"
"84";"P61626";133;133;"P61626";"P61626";"LYSC_HUMAN";"Lysozyme C";"LYZ";2;2;0,0026268131080203;NA;2;NA;2;NA;0,00550193141416947;"extracellular space, extracellular vesicular exosome";0,00124843945068664;"identical protein binding, lysozyme activity"
"85";"P61978";134;134;"P61978-1,P61978-2,P61978-3";"P61978-1,P61978-2,P61978-3";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";5;8;0,00111956325410224;4;4;4;4;NA;NA;"extracellular vesicular exosome, podosome, nucleoplasm, nuclear chromatin, cytoplasm, cell projection, cell junction, catalytic step 2 spliceosome";0,00499375780274657;"single-stranded DNA binding, RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription, RNA binding, protein binding, RNA polymerase II core promoter proximal region sequence-specific DNA binding, poly(A) RNA binding"
"86";"P61981";135;135;"P61981";"P61981";"1433G_HUMAN";"14-3-3 protein gamma";"YWHAG";1;1;0,000908054359982102;0;1;0;1;NA;0,00188383076760458;"extracellular vesicular exosome, cytosol, cytoplasmic vesicle membrane";0,000624219725343321;"poly(A) RNA binding, insulin-like growth factor receptor binding, protein kinase C inhibitor activity, protein binding, protein kinase C binding"
"87";"P62241";136;136;"P62241";"P62241";"RS8_HUMAN";"40S ribosomal protein S8";"RPS8";5;8;0,00747631423051931;3;5;3;5;0,00622585911364279;0,00978708953482068;"extracellular vesicular exosome, cytosolic small ribosomal subunit";0,00499375780274657;"structural constituent of ribosome, poly(A) RNA binding"
"88";"P62258";137;137;"P62258-1";"P62258-1";"1433E_HUMAN";"14-3-3 protein epsilon";"YWHAE";2;3;0,00263869914018328;2;1;2;1;NA;NA;"mitochondrion, cytosol, extracellular vesicular exosome, kinesin complex, cytoplasmic vesicle membrane, melanosome";0,00187265917602996;"ion channel binding, enzyme binding, poly(A) RNA binding, phosphoserine binding, MHC class II protein complex binding, potassium channel regulator activity, protein heterodimerization activity, phosphoprotein binding, histone deacetylase binding, protein binding"
"89";"P62263";138;138;"P62263";"P62263";"RS14_HUMAN";"40S ribosomal protein S14";"RPS14";3;5;0,00643656192031463;3;2;3;2;0,0085760178519053;0,00539262151852371;"extracellular vesicular exosome, nucleolus, mitochondrion, cytosolic small ribosomal subunit";0,0031210986267166;"poly(A) RNA binding, RNA binding, mRNA 5'-UTR binding, structural constituent of ribosome, translation regulator activity"
"90";"P62269";140;140;"P62269";"P62269";"RS18_HUMAN";"40S ribosomal protein S18";"RPS18";2;2;0,00255768644728292;NA;2;NA;2;NA;0,00535714374537553;"cytosolic small ribosomal subunit, extracellular vesicular exosome";0,00124843945068664;"rRNA binding, poly(A) RNA binding, structural constituent of ribosome, protein binding"
"91";"P62750";141;141;"P62750";"P62750";"RL23A_HUMAN";"60S ribosomal protein L23a";"RPL23A";4;7;0,00872236660227252;4;3;4;3;0,0110681939798094;0,00782967162785655;"extracellular vesicular exosome, nucleus, TORC2 complex, cytosolic large ribosomal subunit";0,00436953807740325;"poly(A) RNA binding, structural constituent of ribosome, protein binding, nucleotide binding, rRNA binding"
"92";"P62805";143;143;"P62805";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F";10;36;0,067940098250156;9;9;17;19;0,0712447826078993;0,0751040346439055;"nucleosome, nucleolus, extracellular vesicular exosome, actin cytoskeleton, nucleoplasm";0,0224719101123595;"histone demethylase activity (H4-K20 specific), protein binding, poly(A) RNA binding, DNA binding"
"93";"P62826";144;144;"P62826";"P62826";"RAN_HUMAN";"GTP-binding nuclear protein Ran";"RAN";2;2;0,00179985342586576;NA;2;NA;2;NA;0,00376984189489389;"melanosome, nucleoplasm, nuclear pore, extracellular vesicular exosome, cytosol";0,00124843945068664;"poly(A) RNA binding, GTPase activity, protein binding, GTP binding, chromatin binding, transcription coactivator activity, androgen receptor binding"
"94";"P62854";145;145;"P62854";"P62854";"RS26_HUMAN";"40S ribosomal protein S26";"RPS26";3;6;0,0101417827822697;3;3;3;3;0,011260684309893;0,0106211197734402;"extracellular vesicular exosome, cytosolic small ribosomal subunit";0,00374531835205993;"structural constituent of ribosome, protein binding, poly(A) RNA binding, mRNA binding"
"95";"P62857";146;146;"P62857";"P62857";"RS28_HUMAN";"40S ribosomal protein S28";"RPS28";1;1;0,0028171618839638;1;NA;1;NA;0,00625593572771836;NA;"extracellular vesicular exosome, cytosolic small ribosomal subunit";0,000624219725343321;"structural constituent of ribosome, poly(A) RNA binding"
"96";"P62888";147;147;"P62888";"P62888";"RL30_HUMAN";"60S ribosomal protein L30";"RPL30";1;1;0,00169029713037828;1;NA;1;NA;0,00375356143663101;NA;"extracellular vesicular exosome, cytosolic large ribosomal subunit";0,000624219725343321;"protein binding, RNA binding, structural constituent of ribosome, poly(A) RNA binding"
"97";"P62913";148;148;"P62913-1,P62913-2";"P62913-1,P62913-2";"RL11_HUMAN";"60S ribosomal protein L11";"RPL11";2;3;0,00163806884825985;1;2;1;2;NA;NA;"extracellular vesicular exosome, cytosolic large ribosomal subunit, nucleolus";0,00187265917602996;"protein binding, structural constituent of ribosome, rRNA binding, poly(A) RNA binding, RNA binding"
"98";"P62937";150;150;"P62937";"P62937";"PPIA_HUMAN";"Peptidyl-prolyl cis-trans isomerase A";"PPIA";7;12;0,014137030544982;6;6;6;6;0,0156967114622751;0,0148051972599469;"cytosol, nucleus, extracellular vesicular exosome";0,00749063670411985;"poly(A) RNA binding, peptide binding, protein binding, unfolded protein binding, virion binding, peptidyl-prolyl cis-trans isomerase activity"
"99";"P62987";151;151;"P62987";"P62987";"RL40_HUMAN";"Ubiquitin-60S ribosomal protein L40";"UBA52";5;11;0,0167048896088166;4;5;4;7;0,0134893614128927;0,0222656286917171;"ribosome, plasma membrane, lysosomal membrane, cytosol, nucleoplasm, endocytic vesicle membrane, endosome membrane, cytosolic large ribosomal subunit";0,00686641697877653;"structural constituent of ribosome, protein binding"
"100";"P63104";152;152;"P63104";"P63104";"1433Z_HUMAN";"14-3-3 protein zeta/delta";"YWHAZ";3;5;0,00457733524317508;2;3;2;3;0,00411104347821492;0,00569762693385713;"cytosol, blood microparticle, protein complex, mast cell granule, perinuclear region of cytoplasm, postsynaptic density, melanosome, nucleoplasm, mitochondrion, cell leading edge, extracellular vesicular exosome, cytoplasmic vesicle membrane";0,0031210986267166;"poly(A) RNA binding, protein kinase binding, transcription factor binding, protein binding, identical protein binding"
"101";"P63261";154;154;"P60709,P63261";"P60709,P63261";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";5;10;0,00810419516589625;5;4;6;4;0,00955817608684969;0,007780953671061;"myofibril, cytoskeleton, cytosol, extracellular vesicular exosome, blood microparticle, filamentous actin";0,00624219725343321;"structural constituent of cytoskeleton, identical protein binding, ATP binding, protein binding"
"102";"P67809";155;155;"P67809";"P67809";"YBOX1_HUMAN";"Nuclease-sensitive element-binding protein 1";"YBX1";1;2;0,00119990228391051;1;1;1;1;0,00133228260868076;0,00125661396496463;"CRD-mediated mRNA stability complex, cytoplasmic stress granule, U12-type spliceosomal complex, nucleoplasm, histone pre-mRNA 3'end processing complex, extracellular vesicular exosome";0,00124843945068664;"double-stranded DNA binding, DNA binding, single-stranded DNA binding, poly(A) RNA binding, protein binding, sequence-specific DNA binding transcription factor activity, RNA binding"
"103";"P68104";156;156;"P68104,Q5VTE0";"P68104,Q5VTE0";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";11;22;0,00462819452365481;11;7;13;9;0,00607313241099931;0,00396567783748578;"extracellular space, eukaryotic translation elongation factor 1 complex, nucleus, cytosol, plasma membrane, extracellular vesicular exosome";0,0137328339575531;"protein kinase binding, protein binding, poly(A) RNA binding, GTP binding, GTPase activity, translation elongation factor activity"
"104";"P68133";157;157;"P68032,P68133";"P68032,P68133";"ACTC_HUMAN, ACTS_HUMAN";"Actin, alpha cardiac muscle 1, Actin, alpha skeletal muscle";"ACTA1, ACTC1";1;3;0,00227774029607333;1;1;1;2;0,00150279357915516;0,00359984902430186;"blood microparticle, extracellular vesicular exosome, cytosol, striated muscle thin filament, stress fiber, actin filament";0,00187265917602996;"ADP binding, myosin binding, ATP binding, protein binding, structural constituent of cytoskeleton"
"105";"P68371";159;159;"P68371";"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";2;3;0,00720750293234333;2;1;2;1;0,009700214948597;0,00548956752335111;"cytosol, extracellular vesicular exosome, nucleus, microtubule, plasma membrane";0,00187265917602996;"structural constituent of cytoskeleton, unfolded protein binding, GTP binding, MHC class I protein binding, double-stranded RNA binding, GTPase activity"
"106";"P81605";161;161;"P81605-1";"P81605-1";"DCD_HUMAN";"Dermcidin";"DCD";5;7;0,0123699017268592;3;3;3;4;NA;NA;"extracellular vesicular exosome";0,00436953807740325;"peptidase activity, poly(A) RNA binding"
"107";"Q00610";164;164;"Q00610-1,Q00610-2";"Q00610-1,Q00610-2";"CLH1_HUMAN";"Clathrin heavy chain 1";"CLTC";1;1;5,80251253711946e-05;1;NA;1;NA;NA;NA;"cytosol, clathrin complex, spindle, mitochondrion, melanosome, trans-Golgi network membrane, extracellular vesicular exosome, clathrin coat of coated pit, clathrin coat of trans-Golgi network vesicle, clathrin-coated endocytic vesicle membrane";0,000624219725343321;"double-stranded RNA binding, structural molecule activity, protein binding, clathrin light chain binding, protein kinase binding, poly(A) RNA binding"
"108";"Q00839";165;165;"Q00839-1,Q00839-2";"Q00839-1,Q00839-2";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";6;10;0,0011780858787485;5;5;5;5;NA;NA;"cell surface, catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm";0,00624219725343321;"RNA binding, ATP binding, DNA binding, poly(A) RNA binding, protein binding"
"109";"Q01650";168;168;"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";2;2;0,000766801459540442;NA;2;NA;2;NA;0,00160608648776545;"plasma membrane, extracellular vesicular exosome, integral component of membrane, cytosol, apical plasma membrane";0,00124843945068664;"amino acid transmembrane transporter activity, peptide antigen binding, neutral amino acid transmembrane transporter activity, L-amino acid transmembrane transporter activity"
"110";"Q02413";169;169;"Q02413";"Q02413";"DSG1_HUMAN";"Desmoglein-1";"DSG1";8;18;0,00333547670150909;7;6;9;9;0,00370346624109924;0,00349312328106469;"apical plasma membrane, cytoplasmic side of plasma membrane, cytosol, integral component of membrane, desmosome, lateral plasma membrane";0,0112359550561798;"toxic substance binding, calcium ion binding, gamma-catenin binding"
"111";"Q04837";170;170;"Q04837";"Q04837";"SSBP_HUMAN";"Single-stranded DNA-binding protein, mitochondrial";"SSBP1";1;2;0,0026268131080203;1;1;1;1;0,00291661868386869;0,00275096570708473;"mitochondrial nucleoid, extracellular vesicular exosome";0,00124843945068664;"single-stranded DNA binding, chromatin binding, protein binding, poly(A) RNA binding"
"112";"Q06830";171;171;"Q06830";"Q06830";"PRDX1_HUMAN";"Peroxiredoxin-1";"PRDX1";4;7;0,00683763412037444;3;4;3;4;0,00650743063134522;0,00818377737987016;"extracellular space, nuclear euchromatin, melanosome, mitochondrial matrix, mitochondrion, nucleus, cytosol, extracellular vesicular exosome, peroxisomal matrix, nucleolus";0,00436953807740325;"protein binding, thioredoxin peroxidase activity, poly(A) RNA binding, peroxidase activity, heme binding"
"113";"Q08554";175;175;"Q08554-1,Q08554-2";"Q08554-1,Q08554-2";"DSC1_HUMAN";"Desmocollin-1";"DSC1";4;8;0,000869727829948554;4;4;4;4;NA;NA;"integral component of membrane, membrane, gap junction, plasma membrane, desmosome";0,00499375780274657;"calcium ion binding"
"114";"Q13765";176;176;"Q13765";"Q13765";"NACA_HUMAN";"Nascent polypeptide-associated complex subunit alpha";"NACA";1;1;0,000904112418574427;NA;1;NA;1;NA;0,00189368802162112;"nucleus, nascent polypeptide-associated complex, extracellular vesicular exosome";0,000624219725343321;"TBP-class protein binding, protein binding, transcription coactivator activity, DNA binding"
"115";"Q13835";177;177;"Q13835-1,Q13835-2";"Q13835-1,Q13835-2";"PKP1_HUMAN";"Plakophilin-1";"PKP1";3;3;0,00039032965862149;3;NA;3;NA;NA;NA;"plasma membrane, nucleus, desmosome, intermediate filament";0,00187265917602996;"lamin binding, protein binding, intermediate filament binding, signal transducer activity, structural constituent of epidermis"
"116";"Q13867";178;178;"Q13867";"Q13867";"BLMH_HUMAN";"Bleomycin hydrolase";"BLMH";2;4;0,0017088718241187;2;2;2;2;0,00189740468225304;0,00178963922922435;"nucleus, cytosol, extracellular vesicular exosome";0,00249687890137328;"aminopeptidase activity, carboxypeptidase activity, cysteine-type peptidase activity, cysteine-type endopeptidase activity, protein binding"
"117";"Q5XKE5";184;184;"Q5XKE5";"Q5XKE5";"K2C79_HUMAN";"Keratin, type II cytoskeletal 79";"KRT79";0;0;0;0;0;0;0;0;0;"extracellular vesicular exosome, keratin filament";0;"enzyme binding, structural molecule activity"
"118";"Q71DI3";186;186;"P68431,Q16695,Q71DI3";"P68431,Q16695,Q71DI3";"H31_HUMAN, H31T_HUMAN, H32_HUMAN";"Histone H3.1, Histone H3.1t, Histone H3.2";"HIST1H3C,HIST1H3G,HIST1H3I,HIST1H3F,HIST1H3H,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3B,HIST1H3A, HIST2H3A,HIST2H3C,HIST2H3D, HIST3H3";5;14;0,00667004504879664;5;5;6;8;0,00634793478253774;0,00798319460095177;"nucleosome, extracellular vesicular exosome, nucleoplasm";0,00873907615480649;"protein binding, DNA binding"
"119";"Q86UE4";189;189;"Q86UE4";"Q86UE4";"LYRIC_HUMAN";"Protein LYRIC";"MTDH";1;1;0,000333993419232821;1;NA;1;NA;0,000741683101739805;NA;"nucleolus, intercellular canaliculus, tight junction, perinuclear region of cytoplasm, endoplasmic reticulum membrane, integral component of membrane, apical plasma membrane, nuclear body, nuclear membrane";0,000624219725343321;"protein binding, poly(A) RNA binding, double-stranded RNA binding, NF-kappaB binding, transcription coactivator activity, RNA polymerase II transcription factor binding"
"120";"Q86Y46";190;190;"Q86Y46-1";"Q86Y46-1";"K2C73_HUMAN";"Keratin, type II cytoskeletal 73";"KRT73";0;0;NA;0;0;0;0;NA;NA;"extracellular vesicular exosome, keratin filament";0;"structural molecule activity"
"121";"Q86YZ3";191;191;"Q86YZ3";"Q86YZ3";"HORN_HUMAN";"Hornerin";"HRNR";18;30;0,00204614915782634;16;11;17;13;0,00257481144161882;0,00185714316506352;"cornified envelope, extracellular vesicular exosome";0,0187265917602996;"calcium ion binding"
"122";"Q8N1N4";192;192;"Q8N1N4-1";"Q8N1N4-1";"K2C78_HUMAN";"Keratin, type II cytoskeletal 78";"KRT78";7;11;0,00460472817655718;7;4;7;4;NA;NA;"keratin filament, extracellular vesicular exosome, extracellular space";0,00686641697877653;"structural molecule activity"
"123";"Q8NC51";193;193;"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";5;7;0,000833755631099579;3;4;3;4;NA;NA;"nucleus, extracellular vesicular exosome, cytoplasm, perinuclear region of cytoplasm, plasma membrane";0,00436953807740325;"poly(A) RNA binding, mRNA 3'-UTR binding, protein binding"
"124";"Q95604";197;197;"Q95604";"Q95604";"1C17_HUMAN";"HLA class I histocompatibility antigen, Cw-17 alpha chain";"HLA-C";1;2;0,00278686982069537;1;1;1;1;0,00348112552590779;0,0027361755688746;"MHC class I protein complex, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, cell surface";0,00124843945068664;"peptide antigen binding"
"125";"Q9BV40";201;201;"Q9BV40";"Q9BV40";"VAMP8_HUMAN";"Vesicle-associated membrane protein 8";"VAMP8";2;2;0,00388768339987004;NA;2;NA;2;NA;0,00814285849297081;"recycling endosome, early endosome, extracellular vesicular exosome, secretory granule membrane, plasma membrane, late endosome membrane, lysosomal membrane, mitochondrion, SNARE complex, integral component of membrane";0,00124843945068664;"SNARE binding, SNAP receptor activity"
