"";"X.1";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5832.1.id.csv";"peptide.count.P5832.2.id.csv";"spectra.count.P5832.1.id.csv";"spectra.count.P5832.2.id.csv";"dNSAF.P5832.1.id.csv";"dNSAF.P5832.2.id.csv";"Go.Cc";"norm.sc"
"214";214;"P15151";"P15151-1,P15151-2,P15151-3,P15151-4";"P15151-1,P15151-2,P15151-3,P15151-4";"PVR_HUMAN";"Poliovirus receptor";"PVR";1;1;3,18601618789046e-05;1;NA;1;NA;NA;NA;"cell surface, integral component of membrane, plasma membrane, extracellular space, cytoplasm";0,000152021891152326
"215";215;"P15153";"P15153,P63000-1,P63000-2";"P15153,P63000-1,P63000-2";"RAC1_HUMAN, RAC2_HUMAN";"Ras-related C3 botulinum toxin substrate 1, Ras-related C3 botulinum toxin substrate 2";"RAC1, RAC2";2;4;0,000369046875097311;2;2;2;2;0,00130317721435657;0,00142751364331742;"extracellular vesicular exosome, plasma membrane, cytosol, nuclear envelope";0,000608087564609304
"216";216;"P15311";"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";1;1;0,00011626575219658;0;1;0;1;0;0,000283092340977623;"actin cytoskeleton, microspike, Schwann cell microvillus, cortical cytoskeleton, ruffle membrane, cytosol, filopodium, apical plasma membrane, plasma membrane, astrocyte projection, ruffle, T-tubule, nucleolus, uropod, actin filament, apical part of cell, extracellular vesicular exosome, microvillus membrane, basolateral plasma membrane, membrane raft, cell tip, cell body, extrinsic component of membrane, microvillus";0,000152021891152326
"217";217;"P15529";"P15529-16,P15529-2,P15529-3,P15529-4,P15529-5,P15529-6,P15529-7";"P15529-16,P15529-2,P15529-3,P15529-4,P15529-5,P15529-6,P15529-7";"MCP_HUMAN";"Membrane cofactor protein";"CD46";2;4;7,74675656180945e-05;2;2;2;2;NA;NA;"inner acrosomal membrane, plasma membrane, Golgi apparatus, extracellular vesicular exosome, cell surface, basolateral plasma membrane, integral component of plasma membrane";0,000608087564609304
"221";221;"P16070";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"CD44_HUMAN";"CD44 antigen";"CD44";7;14;6,68462264327206e-05;6;5;7;7;NA;NA;"extracellular vesicular exosome, plasma membrane, integral component of plasma membrane, cytoplasm, Golgi apparatus, external side of plasma membrane, cell surface, basolateral plasma membrane";0,00212830647613256
"223";223;"P16150";"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";4;9;0,00119571187531529;3;4;4;5;0,00125105012578231;0,0017130163719809;"external side of plasma membrane, extracellular vesicular exosome, extracellular space, plasma membrane, cell surface, integral component of plasma membrane, basement membrane, uropod";0,00136819702037093
"224";224;"P16188";"P16188";"P16188";"1A30_HUMAN";"HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;NA;"Golgi membrane, plasma membrane, MHC class I protein complex, early endosome membrane, extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane";0
"225";225;"P16190";"P16190";"P16190";"1A33_HUMAN";"HLA class I histocompatibility antigen, A-33 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;NA;"integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex, Golgi membrane, plasma membrane, early endosome membrane, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane";0
"226";226;"P16284";"P16284-1,P16284-2,P16284-3,P16284-6";"P16284-1,P16284-2,P16284-3,P16284-6";"PECA1_HUMAN";"Platelet endothelial cell adhesion molecule";"PECAM1";6;11;0,00019802515249124;4;6;4;7;NA;NA;"integral component of membrane, plasma membrane, cell junction, extracellular vesicular exosome, extracellular space, platelet alpha granule membrane";0,00167224080267559
"229";229;"P16615";"P16615-1,P16615-4";"P16615-1,P16615-4";"AT2A2_HUMAN";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2";"ATP2A2";3;3;7,65010796746826e-05;3;NA;3;NA;NA;NA;"sarcoplasmic reticulum, sarcoplasmic reticulum membrane, endoplasmic reticulum membrane, membrane, integral component of plasma membrane, intracellular membrane-bounded organelle, platelet dense tubular network membrane";0,000456065673456978
"233";233;"P17301";"P17301";"P17301";"ITA2_HUMAN";"Integrin alpha-2";"ITGA2";4;5;0,000224990474233755;2;3;2;3;0,000211862849412754;0,000348115096761572;"cell surface, basal part of cell, cell outer membrane, plasma membrane, nucleus, external side of plasma membrane, perinuclear region of cytoplasm, integrin complex, focal adhesion, axon terminus";0,00076010945576163
"234";234;"P17813";"P17813-1,P17813-2";"P17813-1,P17813-2";"EGLN_HUMAN";"Endoglin";"ENG";8;17;0,000686494491062476;8;4;9;8;NA;NA;"endothelial microparticle, external side of plasma membrane, cell surface, cytoplasm, transforming growth factor beta receptor homodimeric complex, extracellular space, nucleus";0,00258437214958954
"240";240;"P18463";"P18463";"P18463";"1B37_HUMAN";"HLA class I histocompatibility antigen, B-37 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"ER to Golgi transport vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex, Golgi membrane, phagocytic vesicle membrane, cell surface, plasma membrane, early endosome membrane";0
"241";241;"P18465";"P18465";"P18465";"1B57_HUMAN";"HLA class I histocompatibility antigen, B-57 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"ER to Golgi transport vesicle membrane, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class I protein complex, Golgi membrane, plasma membrane, phagocytic vesicle membrane, cell surface";0
"248";248;"P20039";"P20039";"P20039";"2B1B_HUMAN";"HLA class II histocompatibility antigen, DRB1-11 beta chain";"HLA-DRB1";1;1;0,00229752490662086;1;0;1;0;0,00282191757695258;NA;"lysosomal membrane, clathrin-coated endocytic vesicle membrane, endocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane, transport vesicle membrane, ER to Golgi transport vesicle membrane, trans-Golgi network membrane, Golgi membrane, integral component of plasma membrane, late endosome membrane, MHC class II protein complex";0,000152021891152326
"251";251;"P20645";"P20645";"P20645";"MPRD_HUMAN";"Cation-dependent mannose-6-phosphate receptor";"M6PR";3;5;0,000959255415415394;1;3;2;3;0,00090328528937351;0,00148420191074157;"lysosomal membrane, integral component of plasma membrane, late endosome, endosome";0,00076010945576163
"253";253;"P20701";"P20701-1,P20701-2";"P20701-1,P20701-2";"ITAL_HUMAN";"Integrin alpha-L";"ITGAL";21;37;0,000840291346375417;17;17;19;18;NA;NA;"integrin complex, extracellular vesicular exosome, immunological synapse, plasma membrane, external side of plasma membrane";0,00562480997263606
"254";254;"P21281";"P21281";"P21281";"VATB2_HUMAN";"V-type proton ATPase subunit B, brain isoform";"ATP6V1B2";1;1;0,000103997553843469;1;NA;1;NA;0,000244823899370315;NA;"plasma membrane, endomembrane system, microvillus, extracellular vesicular exosome, melanosome, lysosomal membrane, intracellular membrane-bounded organelle, proton-transporting V-type ATPase, V1 domain, integral component of membrane, cytosol";0,000152021891152326
"255";255;"P21333";"P21333-1,P21333-2";"P21333-1,P21333-2";"FLNA_HUMAN";"Filamin-A";"FLNA";5;6;6,02297884556247e-05;3;3;3;3;NA;NA;"cortical cytoskeleton, nucleus, neuronal cell body, plasma membrane, perinuclear region of cytoplasm, dendritic shaft, extracellular vesicular exosome, actin filament, trans-Golgi network, cytosol, cytoplasm, extracellular region, apical dendrite, Myb complex, actin cytoskeleton";0,000912131346913956
"269";269;"P23634";"P23634-1,P23634-2,P23634-3,P23634-4,P23634-5,P23634-6,P23634-7,P23634-8";"P23634-1,P23634-2,P23634-3,P23634-4,P23634-5,P23634-6,P23634-7,P23634-8";"AT2B4_HUMAN";"Plasma membrane calcium-transporting ATPase 4";"ATP2B4";2;2;1,07056305427101e-05;2;NA;2;NA;NA;NA;"protein complex, plasma membrane, integral component of plasma membrane";0,000304043782304652
"276";276;"P25445";"P25445-1,P25445-6";"P25445-1,P25445-6";"TNR6_HUMAN";"Tumor necrosis factor receptor superfamily member 6";"FAS";1;4;0,00031727014933739;1;1;2;2;NA;NA;"cytosol, cell surface, nucleus, CD95 death-inducing signaling complex, extracellular vesicular exosome, plasma membrane, cytoplasm, death-inducing signaling complex, external side of plasma membrane, membrane raft, integral component of membrane";0,000608087564609304
"277";277;"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";26;54;0,0051893462943159;22;23;26;28;0,00588197165828935;0,00693880049409985;"mitochondrion, mitochondrial proton-transporting ATP synthase complex, mitochondrial matrix, mitochondrial inner membrane, extracellular vesicular exosome, plasma membrane, proton-transporting ATP synthase complex, catalytic core F(1)";0,0082091821222256
"282";282;"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";21;38;0,00448701173295225;15;16;20;18;0,00585413403745622;0,0051751438693795;"blood microparticle, microvillus membrane, extrinsic component of membrane, cytoskeleton, filopodium, uropod, extracellular vesicular exosome, apical part of cell, cytoplasm, plasma membrane, microvillus, basolateral plasma membrane, apical plasma membrane";0,00577683186378839
"290";290;"P27105";"P27105-1";"P27105-1";"STOM_HUMAN";"Erythrocyte band 7 integral membrane protein";"STOM";4;9;0,0016607109379379;3;4;4;5;NA;NA;"extracellular vesicular exosome, blood microparticle, melanosome, integral component of plasma membrane, cytoskeleton, cytoplasm, membrane raft";0,00136819702037093
"296";296;"P27797";"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";10;20;0,00254881295031237;9;8;11;9;0,00330013222628427;0,00295772610989508;"cytosol, extracellular space, intracellular, endocytic vesicle lumen, polysome, extracellular vesicular exosome, Golgi apparatus, MHC class I peptide loading complex, endoplasmic reticulum, sarcoplasmic reticulum lumen, integral component of lumenal side of endoplasmic reticulum membrane, cytoplasm, external side of plasma membrane, acrosomal vesicle, nucleus, extracellular region, endoplasmic reticulum lumen, proteinaceous extracellular matrix, perinuclear region of cytoplasm, cell surface";0,00304043782304652
"297";297;"P27816";"P27816-1,P27816-4,P27816-5,P27816-6";"P27816-1,P27816-4,P27816-5,P27816-6";"MAP4_HUMAN";"Microtubule-associated protein 4";"MAP4";4;6;6,91962890807459e-05;2;4;2;4;NA;NA;"microtubule cytoskeleton, microtubule associated complex, plasma membrane, cytoplasm, mitotic spindle, microtubule";0,000912131346913956
"303";303;"P28906";"P28906-1,P28906-2";"P28906-1,P28906-2";"CD34_HUMAN";"Hematopoietic progenitor cell antigen CD34";"CD34";2;2;0,000138033116919514;NA;2;NA;2;NA;NA;"lysosome, external side of plasma membrane, basal plasma membrane, glomerular endothelium fenestra, cytoplasm, intercellular bridge, integral component of plasma membrane, perinuclear region of cytoplasm, plasma membrane, apical plasma membrane";0,000304043782304652
"311";311;"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";8;10;0,0010523316834458;6;4;6;4;0,00148639618904829;0,00108547572085918;"melanosome, cell surface, endoplasmic reticulum lumen, endoplasmic reticulum, extracellular vesicular exosome";0,00152021891152326
"313";313;"P30447";"P30447";"P30447";"1A23_HUMAN";"HLA class I histocompatibility antigen, A-23 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;NA;"Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, early endosome membrane, plasma membrane, phagocytic vesicle membrane";0
"314";314;"P30453";"P30453";"P30453";"1A34_HUMAN";"HLA class I histocompatibility antigen, A-34 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;NA;"early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane, phagocytic vesicle membrane, MHC class I protein complex, Golgi membrane, ER to Golgi transport vesicle membrane";0
"315";315;"P30459";"P30459";"P30459";"1A74_HUMAN";"HLA class I histocompatibility antigen, A-74 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;NA;"Golgi membrane, phagocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, plasma membrane, MHC class I protein complex, early endosome membrane";0
"316";316;"P30460";"P30460,P30480";"P30460,P30480";"1B08_HUMAN, 1B42_HUMAN";"HLA class I histocompatibility antigen, B-42 alpha chain, HLA class I histocompatibility antigen, B-8 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"plasma membrane, MHC class I protein complex, phagocytic vesicle membrane, integral component of plasma membrane, cell surface, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane, early endosome membrane, ER to Golgi transport vesicle membrane";0
"317";317;"P30464";"P30464";"P30464";"1B15_HUMAN";"HLA class I histocompatibility antigen, B-15 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"phagocytic vesicle membrane, Golgi membrane, ER to Golgi transport vesicle membrane, cell surface, MHC class I protein complex, early endosome membrane, plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane";0
"318";318;"P30466";"P30466";"P30466";"1B18_HUMAN";"HLA class I histocompatibility antigen, B-18 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"MHC class I protein complex, phagocytic vesicle membrane, cell surface, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane";0
"319";319;"P30475";"P30475,Q29836,Q95365";"P30475,Q29836,Q95365";"1B38_HUMAN, 1B39_HUMAN, 1B67_HUMAN";"HLA class I histocompatibility antigen, B-38 alpha chain, HLA class I histocompatibility antigen, B-39 alpha chain, HLA class I histocompatibility antigen, B-67 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"MHC class I protein complex, early endosome membrane, phagocytic vesicle membrane, plasma membrane, Golgi membrane, extracellular vesicular exosome, ER to Golgi transport vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, integral component of plasma membrane, cell surface";0
"320";320;"P30479";"P30479";"P30479";"1B41_HUMAN";"HLA class I histocompatibility antigen, B-41 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"plasma membrane, Golgi membrane, MHC class I protein complex, cell surface, phagocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, early endosome membrane, ER to Golgi transport vesicle membrane";0
"321";321;"P30481";"P30481";"P30481";"1B44_HUMAN";"HLA class I histocompatibility antigen, B-44 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane, phagocytic vesicle membrane, cell surface, ER to Golgi transport vesicle membrane, Golgi membrane, MHC class I protein complex, early endosome membrane";0
"322";322;"P30486";"P30486";"P30486";"1B48_HUMAN";"HLA class I histocompatibility antigen, B-48 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"cell surface, integral component of membrane, MHC class I protein complex";0
"323";323;"P30490";"P30490";"P30490";"1B52_HUMAN";"HLA class I histocompatibility antigen, B-52 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"Golgi membrane, ER to Golgi transport vesicle membrane, early endosome membrane, cell surface, MHC class I protein complex, phagocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane";0
"324";324;"P30491";"P30491,P30685";"P30491,P30685";"1B35_HUMAN, 1B53_HUMAN";"HLA class I histocompatibility antigen, B-35 alpha chain, HLA class I histocompatibility antigen, B-53 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"cell surface, plasma membrane, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane, early endosome membrane, MHC class I protein complex";0
"325";325;"P30499";"P30499";"P30499";"1C01_HUMAN";"HLA class I histocompatibility antigen, Cw-1 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"MHC class I protein complex, integral component of plasma membrane, cell surface, phagocytic vesicle membrane, Golgi membrane, ER to Golgi transport vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, early endosome membrane, plasma membrane";0
"326";326;"P30501";"P30501";"P30501";"1C02_HUMAN";"HLA class I histocompatibility antigen, Cw-2 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"phagocytic vesicle membrane, Golgi membrane, ER to Golgi transport vesicle membrane, early endosome membrane, cell surface, integral component of lumenal side of endoplasmic reticulum membrane, integral component of plasma membrane, plasma membrane, MHC class I protein complex";0
"327";327;"P30508";"P30508";"P30508";"1C12_HUMAN";"HLA class I histocompatibility antigen, Cw-12 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"MHC class I protein complex, Golgi membrane, integral component of plasma membrane, cell surface, early endosome membrane, plasma membrane, phagocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane";0
"329";329;"P31146";"P31146";"P31146";"COR1A_HUMAN";"Coronin-1A";"CORO1A";3;3;0,000345831344993576;NA;3;NA;3;NA;0,000891808957213484;"extracellular vesicular exosome, immunological synapse, actin filament, phagocytic cup, phagocytic vesicle, protein complex, cortical actin cytoskeleton, lamellipodium, cytoplasm, plasma membrane, phagocytic vesicle membrane";0,000456065673456978
"337";337;"P32942";"P32942";"P32942";"ICAM3_HUMAN";"Intercellular adhesion molecule 3";"ICAM3";6;8;0,000777224863093424;5;3;5;3;0,00114355587365842;0,000751597676920322;"integral component of plasma membrane, plasma membrane, extracellular vesicular exosome";0,00121617512921861
"340";340;"P33527";"P33527-1,P33527-2,P33527-4,P33527-6,P33527-9";"P33527-1,P33527-2,P33527-4,P33527-6,P33527-9";"MRP1_HUMAN";"Multidrug resistance-associated protein 1";"ABCC1";2;2;1,38844546084945e-05;2;NA;2;NA;NA;NA;"membrane, extracellular vesicular exosome, plasma membrane, integral component of plasma membrane";0,000304043782304652
"344";344;"P35232";"P35232";"P35232";"PHB_HUMAN";"Prohibitin";"PHB";3;7;0,00136764430183121;3;3;4;3;0,00183977959673869;0,0015114850341008;"mitochondrion, mitochondrial inner membrane, nucleus, extracellular vesicular exosome, cytoplasm, nucleoplasm, integral component of plasma membrane";0,00106415323806628
"348";348;"P35579";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";27;43;0,00132133844422597;22;21;22;21;NA;NA;"uropod, cell leading edge, myosin II complex, actomyosin, actin cytoskeleton, myosin II filament, actomyosin contractile ring, extracellular vesicular exosome, cytoplasm, cell-cell adherens junction, protein complex, plasma membrane, cortical cytoskeleton, nucleus, spindle, cytosol, ruffle, stress fiber, immunological synapse, cleavage furrow, neuromuscular junction";0,00653694131955002
"349";349;"P35613";"P35613-1,P35613-2";"P35613-1,P35613-2";"BASI_HUMAN";"Basigin";"BSG";7;19;0,00131131461073538;7;6;10;9;NA;NA;"acrosomal membrane, integral component of plasma membrane, Golgi membrane, plasma membrane, sarcolemma, melanosome, mitochondrion, extracellular vesicular exosome, membrane raft";0,00288841593189419
"356";356;"P36543";"P36543-1,P36543-2";"P36543-1,P36543-2";"VATE1_HUMAN";"V-type proton ATPase subunit E 1";"ATP6V1E1";1;2;0,000235144911566429;1;1;1;1;NA;NA;"cytosol, extracellular vesicular exosome, microvillus, lysosomal membrane, proton-transporting two-sector ATPase complex, catalytic domain, proton-transporting two-sector ATPase complex, mitochondrion, apical plasma membrane, endosome";0,000304043782304652
"363";363;"P38606";"P38606";"P38606";"VATA_HUMAN";"V-type proton ATPase catalytic subunit A";"ATP6V1A";1;1;8,61308752253044e-05;NA;1;NA;1;NA;0,000222109091991041;"plasma membrane, cytosol, apical plasma membrane, microvillus, proton-transporting V-type ATPase, V1 domain, mitochondrion, proton-transporting two-sector ATPase complex, extracellular vesicular exosome, integral component of plasma membrane, lysosomal membrane";0,000152021891152326
"372";372;"P40763";"P40763-1,P40763-2";"P40763-1,P40763-2";"STAT3_HUMAN";"Signal transducer and activator of transcription 3";"STAT3";1;1;3,45082792298785e-05;1;NA;1;NA;NA;NA;"nucleoplasm, cytoplasm, plasma membrane, cytosol, nucleus";0,000152021891152326
"373";373;"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";19;44;0,00691799112608451;19;17;22;22;0,00814292981278427;0,0089198485641609;"nucleus, mitochondrion, mitochondrial inner membrane, mitochondrial matrix, plasma membrane, extracellular vesicular exosome";0,00668896321070234
"378";378;"P42081";"P42081-1,P42081-3,P42081-4";"P42081-1,P42081-3,P42081-4";"CD86_HUMAN";"T-lymphocyte activation antigen CD86";"CD86";5;7;0,000376898936269595;4;3;4;3;NA;NA;"external side of plasma membrane, extracellular vesicular exosome, integral component of membrane, plasma membrane, intracellular membrane-bounded organelle";0,00106415323806628
"385";385;"P43007";"P43007-1,P43007-2";"P43007-1,P43007-2";"SATT_HUMAN";"Neutral amino acid transporter A";"SLC1A4";2;3;0,000149838580866578;2;1;2;1;NA;NA;"integral component of membrane, plasma membrane, microtubule organizing center, integral component of plasma membrane, melanosome, dendrite, centrosome, intermediate filament, neuronal cell body, extracellular vesicular exosome";0,000456065673456978
"386";386;"P43121";"P43121-1";"P43121-1";"MUC18_HUMAN";"Cell surface glycoprotein MUC18";"MCAM";10;14;0,00115170046469997;9;5;9;5;NA;NA;"integral component of membrane, external side of plasma membrane, plasma membrane";0,00212830647613256
"399";399;"P46940";"P46940";"P46940";"IQGA1_HUMAN";"Ras GTPase-activating-like protein IQGAP1";"IQGAP1";2;3;9,62149970078688e-05;1;2;1;2;7,55009128414189e-05;0,000165408943582948;"nucleus, cell leading edge, plasma membrane, cytoplasm, neuron projection, microtubule, lateral plasma membrane, extracellular vesicular exosome, extrinsic component of cytoplasmic side of plasma membrane, slit diaphragm, midbody, ribonucleoprotein complex, cell junction, actin filament";0,000456065673456978
"402";402;"P48047";"P48047";"P48047";"ATPO_HUMAN";"ATP synthase subunit O, mitochondrial";"ATP5O";8;13;0,00324345422620736;8;5;8;5;0,00469877981514483;0,00321693215395474;"mitochondrial proton-transporting ATP synthase complex, mitochondrion, plasma membrane, mitochondrial inner membrane";0,00197628458498024
"408";408;"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";27;40;0,00084655914000817;20;18;21;19;0,00104627848034363;0,00103695136814455;"cytoplasm, extracellular vesicular exosome, Golgi apparatus, mitochondrion, plasma membrane, melanosome, cytosol, glycogen granule";0,00608087564609304
"409";409;"P49368";"P49368-1";"P49368-1";"TCPG_HUMAN";"T-complex protein 1 subunit gamma";"CCT3";14;23;0,0022427215602244;13;9;13;10;NA;NA;"cytoskeleton, cytosol, cytoplasm, plasma membrane, chaperonin-containing T-complex, cell body, extracellular vesicular exosome, microtubule, zona pellucida receptor complex";0,0034965034965035
"414";414;"P49755";"P49755";"P49755";"TMEDA_HUMAN";"Transmembrane emp24 domain-containing protein 10";"TMED10";2;4;0,000970643835872381;2;1;2;2;0,0011425115303948;0,00125151881057965;"endoplasmic reticulum, endoplasmic reticulum membrane, gamma-secretase complex, endoplasmic reticulum-Golgi intermediate compartment, trans-Golgi network transport vesicle, secretory granule membrane, Golgi apparatus, cis-Golgi network, transport vesicle membrane, zymogen granule membrane, melanosome, plasma membrane, integral component of membrane, Golgi membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, COPI-coated vesicle";0,000608087564609304
"418";418;"P50895";"P50895";"P50895";"BCAM_HUMAN";"Basal cell adhesion molecule";"BCAM";9;17;0,00143857762776786;9;5;12;5;0,00239054164162225;0,00109109323056108;"plasma membrane, external side of plasma membrane, integral component of plasma membrane, extracellular vesicular exosome";0,00258437214958954
"423";423;"P51572";"P51572-1,P51572-2";"P51572-1,P51572-2";"BAP31_HUMAN";"B-cell receptor-associated protein 31";"BCAP31";5;8;0,000864109756325412;4;4;4;4;NA;NA;"integral component of lumenal side of endoplasmic reticulum membrane, cytosol, integral component of plasma membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, Golgi membrane, lipid particle, endoplasmic reticulum membrane, endoplasmic reticulum";0,00121617512921861
"426";426;"P51809";"P51809-1,P51809-2";"P51809-1,P51809-2";"VAMP7_HUMAN";"Vesicle-associated membrane protein 7";"VAMP7";1;1;0,000120778977304575;NA;1;NA;1;NA;NA;"phagocytic vesicle membrane, apical part of cell, lysosomal membrane, endoplasmic reticulum membrane, intracellular membrane-bounded organelle, synapse, late endosome membrane, perinuclear region of cytoplasm, Golgi apparatus, transport vesicle membrane, plasma membrane, phagocytic vesicle, neuron projection, extracellular vesicular exosome, SNARE complex, integral component of membrane, cell junction, cytoplasm";0,000152021891152326
"429";429;"P52272";"P52272-1,P52272-2";"P52272-1,P52272-2";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";11;19;0,000691583733059071;10;8;10;9;NA;NA;"paraspeckles, nuclear matrix, integral component of plasma membrane, spliceosomal complex, catalytic step 2 spliceosome, nucleus, nucleoplasm";0,00288841593189419
"436";436;"P53396";"P53396-1,P53396-2";"P53396-1,P53396-2";"ACLY_HUMAN";"ATP-citrate synthase";"ACLY";15;20;0,000482677111843895;7;13;7;13;NA;NA;"mitochondrion, citrate lyase complex, cytoplasm, extracellular vesicular exosome, cytosol, plasma membrane, nucleus";0,00304043782304652
"437";437;"P53985";"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";5;8;0,000850284000224206;4;3;5;3;0,00125105012578231;0,000822247858550833;"mitochondrion, integral component of plasma membrane, integral component of membrane, centrosome, membrane, extracellular vesicular exosome, plasma membrane";0,00121617512921861
"440";440;"P54709";"P54709";"P54709";"AT1B3_HUMAN";"Sodium/potassium-transporting ATPase subunit beta-3";"ATP1B3";3;6;0,00114285483901103;3;2;4;2;0,00179362025201765;0,00098237498034747;"melanosome, plasma membrane, caveola, extracellular vesicular exosome, sodium:potassium-exchanging ATPase complex";0,000912131346913956
"455";455;"P60033";"P60033";"P60033";"CD81_HUMAN";"CD81 antigen";"CD81";1;1;0,000225181144127173;NA;1;NA;1;NA;0,000580683515925729;"plasma membrane, integral component of plasma membrane, immunological synapse, extracellular vesicular exosome";0,000152021891152326
"466";466;"P60953";"P60953-2";"P60953-2";"CDC42_HUMAN";"Cell division control protein 42 homolog";"CDC42";2;3;0,000834702879801249;2;1;2;1;NA;NA;"cytosol, Golgi membrane, apical part of cell, neuronal cell body, plasma membrane, midbody, membrane, filopodium, spindle midzone, secretory granule, neuron projection, cytoplasm, extracellular vesicular exosome, microtubule organizing center, mitotic spindle";0,000456065673456978
"469";469;"P61106";"P61106";"P61106";"RAB14_HUMAN";"Ras-related protein Rab-14";"RAB14";4;6;0,00148305348876315;3;3;3;3;0,0017456513383009;0,00191220432221124;"lysosomal membrane, nuclear outer membrane-endoplasmic reticulum membrane network, lysosome, plasma membrane, trans-Golgi network transport vesicle, phagocytic vesicle, perinuclear region of cytoplasm, phagocytic vesicle membrane, Golgi stack, cytosol, cytoplasmic vesicle membrane, Golgi membrane, recycling endosome, late endosome, rough endoplasmic reticulum, extracellular vesicular exosome, intracellular membrane-bounded organelle, early endosome membrane, early endosome, intracellular";0,000912131346913956
"473";473;"P61224";"P61224,P62834";"P61224,P62834";"RAP1A_HUMAN, RAP1B_HUMAN";"Ras-related protein Rap-1A, Ras-related protein Rap-1b";"RAP1A, RAP1B";4;6;0,000866457880663253;3;3;3;3;0,00101987781993123;0,00111718459042233;"cytosol, cell-cell junction, extracellular vesicular exosome, lipid particle, plasma membrane, intracellular, membrane";0,000912131346913956
