"";"Protein.Acs";"X.1";"X";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc";"norm.sc";"Go.Mf"
"128";"P05026";293;293;"P05026-2";"AT1B1_HUMAN";"Sodium/potassium-transporting ATPase subunit beta-1";"ATP1B1";4;4;"2.42349638991943E-4";4;0;4;0;"0";"0";0;"apical plasma membrane, caveola, sodium:potassium-exchanging ATPase complex, extracellular vesicular exosome, basolateral plasma membrane";0,000197530864197531;"protein binding, sodium:potassium-exchanging ATPase activity, MHC class II protein complex binding"
"129";"P05067";294;294;"P05067-1,P05067-7,P05067-8,P05067-9";"A4_HUMAN";"Amyloid beta A4 protein";"APP";1;1;"5.96038479014276E-6";1;0;1;0;"0";"0";0;"apical part of cell, extracellular vesicular exosome, perinuclear region of cytoplasm, spindle midzone, synapse, platelet alpha granule lumen, receptor complex, axon, integral component of plasma membrane, neuromuscular junction, dendritic shaft, ciliary rootlet, dendritic spine, coated pit, Golgi apparatus, cell surface, cytosol";4,93827160493827e-05;"peptidase activator activity, enzyme binding, identical protein binding, receptor binding, protein binding, transition metal ion binding, acetylcholine receptor binding, serine-type endopeptidase inhibitor activity, PTB domain binding, DNA binding, heparin binding"
"130";"P05107";295;295;"P05107";"ITB2_HUMAN";"Integrin beta-2";"ITGB2";27;79;"0.00188593085453516";27;0;79;0;"0.00379095439608261";"0";0;"extracellular vesicular exosome, integrin complex";0,00390123456790123;"metal ion binding, protein binding, glycoprotein binding, receptor activity, protein kinase binding"
"131";"P05141";297;297;"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";4;18;"0.00221774317292292";4;3;11;7;"0.00246483885534988";"0.0046390252587415";28;"MMXD complex, mitochondrial nucleoid, integral component of plasma membrane, mitochondrial inner membrane";0,000888888888888889;"protein binding, poly(A) RNA binding, adenine transmembrane transporter activity"
"132";"P05198";300;300;"P05198";"IF2A_HUMAN";"Eukaryotic translation initiation factor 2 subunit 1";"EIF2S1";10;22;"0.00128214499485738";7;7;10;12;"0.00117148640971972";"0.00292577677694173";0;"polysome, cytoplasmic stress granule, eukaryotic translation initiation factor 2 complex, extracellular vesicular exosome, nucleus, cytosol";0,00108641975308642;"poly(A) RNA binding, protein binding, translation initiation factor activity, ribosome binding"
"133";"P05362";302;302;"P05362";"ICAM1_HUMAN";"Intercellular adhesion molecule 1";"ICAM1";6;14;"4.83104872464203E-4";6;0;14;0;"9.71100576478191E-4";"0";0;"extracellular vesicular exosome, external side of plasma membrane, immunological synapse, integral component of plasma membrane, extracellular space";0,000691358024691358;"transmembrane signaling receptor activity, receptor activity, protein binding, integrin binding, virus receptor activity"
"134";"P05387";304;304;"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";7;36;"0.00625767841758849";5;6;18;18;"0.00635353107601905";"0.012982816428464";4;"extracellular vesicular exosome, cytosolic large ribosomal subunit";0,00177777777777778;"RNA binding, structural constituent of ribosome"
"135";"P05388";305;305;"P05388";"RLA0_HUMAN";"60S acidic ribosomal protein P0";"RPLP0";9;47;"0.00272184637924627";9;7;26;21;"0.003026647853503";"0.00508780583056508";0;"extracellular vesicular exosome, nucleus, cytosolic large ribosomal subunit";0,00232098765432099;"RNA binding, protein binding, poly(A) RNA binding, structural constituent of ribosome"
"136";"P05546";307;307;"P05546";"HEP2_HUMAN";"Heparin cofactor 2";"SERPIND1";2;2;"7.35790988121832E-5";2;0;2;0;"1.4790309381231E-4";"0";0;"extracellular space, extracellular region";9,87654320987654e-05;"serine-type endopeptidase inhibitor activity, endopeptidase inhibitor activity, heparin binding"
"137";"P05556";310;310;"P05556-2";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";2;2;"2.92790831796487E-4";2;0;2;0;"0";"0";59;"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface";9,87654320987654e-05;"metal ion binding, protein heterodimerization activity, peptide binding, cell adhesion molecule binding, virus receptor activity, actin binding, protein binding"
"138";"P05556";308;308;"P05556-4";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";1;1;"1.46395415898243E-4";1;0;1;0;"0";"0";59;"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface";4,93827160493827e-05;"metal ion binding, protein heterodimerization activity, peptide binding, cell adhesion molecule binding, virus receptor activity, actin binding, protein binding"
"139";"P05556";309;309;"P05556-1";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";2;8;"0.00117116332718595";2;0;8;0;"0";"0";59;"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface";0,000395061728395062;"metal ion binding, protein heterodimerization activity, peptide binding, cell adhesion molecule binding, virus receptor activity, actin binding, protein binding"
"140";"P05787";311;311;"P05787";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";2;2;"8.42710094606982E-5";1;1;1;1;"8.68480155647897E-5";"1.75899704078474E-4";18;"intermediate filament, nucleoplasm, keratin filament, Z disc, cytoplasm, nuclear matrix, sarcolemma, extracellular vesicular exosome, costamere, dystrophin-associated glycoprotein complex";9,87654320987654e-05;"structural molecule activity, scaffold protein binding, protein binding"
"141";"P06213";313;313;"P06213-2";"INSR_HUMAN";"Insulin receptor";"INSR";2;2;"6.64181807295214E-5";2;0;2;0;"0";"0";9;"insulin receptor complex, endosome membrane, extracellular vesicular exosome, caveola";9,87654320987654e-05;"GTP binding, insulin-like growth factor II binding, PTB domain binding, insulin receptor substrate binding, insulin-like growth factor receptor binding, protein binding, insulin binding, insulin-activated receptor activity, receptor signaling protein tyrosine kinase activity, protein tyrosine kinase activity, SH2 domain binding, phosphatidylinositol 3-kinase binding, ATP binding, insulin-like growth factor I binding"
"142";"P06213";314;314;"P06213-1";"INSR_HUMAN";"Insulin receptor";"INSR";3;4;"1.32836361459043E-4";1;2;2;2;"0";"0";9;"insulin receptor complex, endosome membrane, extracellular vesicular exosome, caveola";0,000197530864197531;"GTP binding, insulin-like growth factor II binding, PTB domain binding, insulin receptor substrate binding, insulin-like growth factor receptor binding, protein binding, insulin binding, insulin-activated receptor activity, receptor signaling protein tyrosine kinase activity, protein tyrosine kinase activity, SH2 domain binding, phosphatidylinositol 3-kinase binding, ATP binding, insulin-like growth factor I binding"
"143";"P06241";315;315;"P06241-1,P06241-2,P06241-3,P07947";"FYN_HUMAN, YES_HUMAN";"Tyrosine-protein kinase Fyn, Tyrosine-protein kinase Yes";"FYN, YES1";1;1;"9.20456080126782E-6";1;0;1;0;"7.33958888741527E-5";"0";2;"endosome, plasma membrane, mitochondrion, nucleus, cytosol, postsynaptic density";4,93827160493827e-05;"metal ion binding, glycoprotein binding, protein binding, protein tyrosine kinase activity, ephrin receptor binding, ATP binding, growth factor receptor binding, non-membrane spanning protein tyrosine kinase activity"
"144";"P06493";317;317;"P06493-1";"CDK1_HUMAN";"Cyclin-dependent kinase 1";"CDK1";2;3;"2.00268928948797E-4";2;0;3;0;"0";"0";2;"midbody, cytosol, extracellular vesicular exosome, nucleoplasm, mitochondrion, microtubule organizing center, spindle microtubule";0,000148148148148148;"protein serine/threonine kinase activity, histone kinase activity, protein binding, ATP binding, RNA polymerase II carboxy-terminal domain kinase activity, protein kinase activity, cyclin-dependent protein serine/threonine kinase activity"
"145";"P06576";318;318;"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";21;125;"0.00433789819320409";21;11;86;39;"0.00599916197340402";"0.00566212471719111";0;"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane";0,00617283950617284;"proton-transporting ATP synthase activity, rotational mechanism, transmembrane transporter activity, ATP binding, transporter activity, proton-transporting ATPase activity, rotational mechanism, MHC class I protein binding, protein binding"
"146";"P06730";319;319;"P06730-2";"IF4E_HUMAN";"Eukaryotic translation initiation factor 4E";"EIF4E";1;2;"4.65294554585338E-4";1;0;2;0;"0";"0";7;"chromatoid body, eukaryotic translation initiation factor 4F complex, cytoplasmic mRNA processing body, cytosol, RISC complex, mRNA cap binding complex, cytoplasmic stress granule, extracellular vesicular exosome";9,87654320987654e-05;"RNA cap binding, protein binding, translation initiation factor activity, poly(A) RNA binding"
"147";"P06730";320;320;"P06730-3";"IF4E_HUMAN";"Eukaryotic translation initiation factor 4E";"EIF4E";2;2;"4.65294554585338E-4";0;2;0;2;"0";"0";7;"chromatoid body, eukaryotic translation initiation factor 4F complex, cytoplasmic mRNA processing body, cytosol, RISC complex, mRNA cap binding complex, cytoplasmic stress granule, extracellular vesicular exosome";9,87654320987654e-05;"RNA cap binding, protein binding, translation initiation factor activity, poly(A) RNA binding"
"148";"P06733";321;321;"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";11;28;"0.0011843861389445";11;4;20;8;"0";"0";0;"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space";0,00138271604938272;"transcription corepressor activity, sequence-specific DNA binding transcription factor activity, phosphopyruvate hydratase activity, magnesium ion binding, DNA binding, protein binding, poly(A) RNA binding"
"149";"P07093";326;326;"P07093-3";"GDN_HUMAN";"Glia-derived nexin";"SERPINE2";1;1;"5.63757221356887E-5";1;0;1;0;"0";"0";2;"extracellular space, cytosol, platelet alpha granule, extrinsic component of external side of plasma membrane, neuromuscular junction, extracellular matrix";4,93827160493827e-05;"serine-type endopeptidase inhibitor activity, glycosaminoglycan binding, protein binding, heparin binding, receptor binding"
"150";"P07195";327;327;"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";6;17;"0.00113585052931959";6;3;13;4;"0.00174287678313368";"0.00112417570770715";6;"extracellular vesicular exosome, cytosol, mitochondrion";0,000839506172839506;"NAD binding, L-lactate dehydrogenase activity"
"151";"P07237";331;331;"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";9;24;"8.67306385211325E-4";9;4;18;6;"0.00130754487069111";"9.07105988914021E-4";0;"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome";0,00118518518518519;"procollagen-proline 4-dioxygenase activity, protein disulfide isomerase activity, protein binding, poly(A) RNA binding"
"152";"P07437";332;332;"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";4;76;"0.0130723150971562";4;2;65;11;"0.0190168369946637";"0.0139313590540879";284;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen";0,00375308641975309;"structural molecule activity, protein binding, GTP binding, MHC class I protein binding, structural constituent of cytoskeleton, GTPase activity"
"153";"P07737";333;333;"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";5;9;"0.00118015618844827";5;0;9;0;"0.00237225997968244";"0";0;"synapse, extracellular vesicular exosome, cytoplasm, blood microparticle, neuron projection, cytoskeleton, nucleus";0,000444444444444444;"protein binding, actin binding, proline-rich region binding, adenyl-nucleotide exchange factor activity, phosphatidylinositol-4,5-bisphosphate binding, poly(A) RNA binding"
"154";"P07900";336;336;"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";12;35;"8.02855282478809E-4";11;7;22;13;"0";"0";60;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane";0,0017283950617284;"MHC class II protein complex binding, nitric-oxide synthase regulator activity, protein homodimerization activity, TPR domain binding, ATP binding, ATPase activity, identical protein binding, poly(A) RNA binding, protein binding, nucleotide binding"
"155";"P07910";337;337;"P07910-2";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";9;49;"0.00517383215571859";9;3;39;10;"0";"0";38;"catalytic step 2 spliceosome, nucleoplasm, extracellular vesicular exosome";0,00241975308641975;"identical protein binding, mRNA 3'-UTR binding, RNA binding, poly(U) RNA binding, nucleotide binding, RNA polymerase II distal enhancer sequence-specific DNA binding, nucleosomal DNA binding, poly(A) RNA binding, protein binding, RNA polymerase II core promoter proximal region sequence-specific DNA binding"
"156";"P07948";338;338;"P07948-1";"LYN_HUMAN";"Tyrosine-protein kinase Lyn";"LYN";7;12;"5.63978486210374E-4";7;0;12;0;"0";"0";5;"mitochondrial intermembrane space, Golgi apparatus, perinuclear region of cytoplasm, mast cell granule, nucleus, cytosol, plasma membrane, mitochondrial crista, postsynaptic density, membrane raft, alpha2-beta1 integrin complex";0,000592592592592593;"ion channel binding, enzyme binding, glycosphingolipid binding, protein binding, receptor signaling protein tyrosine kinase activity, ATP binding, protein tyrosine kinase activity, non-membrane spanning protein tyrosine kinase activity"
"157";"P07954";339;339;"P07954-1,P07954-2";"FUMH_HUMAN";"Fumarate hydratase, mitochondrial";"FH";5;10;"1.79980246604311E-4";5;0;10;0;"0";"0";0;"tricarboxylic acid cycle enzyme complex, extracellular vesicular exosome, mitochondrial matrix";0,000493827160493827;"fumarate hydratase activity"
"158";"P08107";340;340;"P08107-1";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";3;11;"7.9414516338752E-4";3;1;8;3;"0";"0";29;"blood microparticle, mitochondrion, ribonucleoprotein complex, perinuclear region of cytoplasm, endoplasmic reticulum, extracellular vesicular exosome, aggresome, cytosol, nuclear speck";0,00054320987654321;"ATPase activity, coupled, enzyme binding, protein binding, poly(A) RNA binding, ATPase activity, virus receptor activity, heat shock protein binding, protein N-terminus binding, ubiquitin protein ligase binding, unfolded protein binding, ATP binding, double-stranded RNA binding, protein binding involved in protein folding"
"159";"P08183";341;341;"P08183";"MDR1_HUMAN";"Multidrug resistance protein 1";"ABCB1";3;3;"6.45397915557646E-5";0;3;0;3;"0";"2.70005767012689E-4";2;"cell surface, integral component of membrane, apical plasma membrane, extracellular vesicular exosome, intercellular canaliculus, Golgi membrane";0,000148148148148148;"protein binding, transporter activity, ATP binding, ATPase activity, coupled to transmembrane movement of substances, xenobiotic-transporting ATPase activity"
"160";"P08195";342;342;"P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";24;96;"0.002797407261507";23;6;84;12;"0";"0";0;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane";0,00474074074074074;"poly(A) RNA binding, double-stranded RNA binding, calcium:sodium antiporter activity, catalytic activity, neutral amino acid transmembrane transporter activity, protein binding, cation binding"
"161";"P08238";343;343;"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";12;44;"0.00224122222673646";11;7;24;20;"0.00235085103274525";"0.00456492740331636";75;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body";0,00217283950617284;"TPR domain binding, GTP binding, poly(A) RNA binding, dATP binding, CTP binding, MHC class II protein complex binding, ATP binding, nitric-oxide synthase regulator activity, UTP binding, double-stranded RNA binding, protein binding"
"162";"P08575";348;348;"P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";48;242;"0.00340692669262332";47;6;232;10;"0";"0";0;"integral component of plasma membrane, membrane raft, extracellular vesicular exosome, focal adhesion, external side of plasma membrane";0,0119506172839506;"protein kinase binding, protein binding, transmembrane receptor protein tyrosine phosphatase activity, protein tyrosine phosphatase activity"
"163";"P08631";352;352;"P08631-1";"HCK_HUMAN";"Tyrosine-protein kinase HCK";"HCK";1;1;"4.57473043313865E-5";1;0;1;0;"0";"0";5;"Golgi apparatus, cell projection, cytosol, lysosome, focal adhesion, extrinsic component of cytoplasmic side of plasma membrane, caveola, nucleus, cytoskeleton, transport vesicle";4,93827160493827e-05;"non-membrane spanning protein tyrosine kinase activity, ATP binding, protein binding, protein tyrosine kinase activity"
"164";"P08648";353;353;"P08648";"ITA5_HUMAN";"Integrin alpha-5";"ITGA5";13;33;"5.77515262221268E-4";13;0;33;0;"0.00116087714290148";"0";0;"synapse, alphav-beta3 integrin-vitronectin complex, ruffle, cytoplasm, external side of plasma membrane, integrin complex";0,00162962962962963;"metal ion binding, platelet-derived growth factor receptor binding, protein binding, vascular endothelial growth factor receptor 2 binding"
"165";"P08670";355;355;"P08670";"VIME_HUMAN";"Vimentin";"VIM";14;34;"0.00198802708117441";11;7;19;15;"0.0022055562293206";"0.0037423558013841";20;"cell projection, peroxisome, cytosol, extracellular vesicular exosome, intermediate filament, cell leading edge";0,00167901234567901;"protein C-terminus binding, protein binding, structural constituent of cytoskeleton, double-stranded RNA binding, scaffold protein binding, identical protein binding, glycoprotein binding, structural constituent of eye lens"
"166";"P08727";357;357;"P08727";"K1C19_HUMAN";"Keratin, type I cytoskeletal 19";"KRT19";1;1;"6.5858322040852E-5";1;0;1;0;"1.1563290197694E-4";"0";30;"extracellular vesicular exosome, sarcolemma, Z disc, dystrophin-associated glycoprotein complex, costamere, intermediate filament, cell periphery";4,93827160493827e-05;"structural constituent of muscle, structural constituent of cytoskeleton, protein binding"
"167";"P08779";359;359;"P08779";"K1C16_HUMAN";"Keratin, type I cytoskeletal 16";"KRT16";10;46;"0.00311959181121791";4;10;7;39;"0.00107970476638977";"0.0106536525850301";66;"intermediate filament, extracellular vesicular exosome";0,0022716049382716;"protein binding, structural constituent of cytoskeleton"
"168";"P08865";360;360;"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";7;47;"0.00292483153295277";7;7;24;23;"0.00300218212118003";"0.00598792450535109";0;"cytosolic small ribosomal subunit, 90S preribosome, nucleus, plasma membrane, extracellular vesicular exosome";0,00232098765432099;"poly(A) RNA binding, ribosome binding, structural constituent of ribosome, protein binding, laminin receptor activity"
"169";"P08962";361;361;"P08962";"CD63_HUMAN";"CD63 antigen";"CD63";2;2;"1.54268782803695E-4";2;0;2;0;"3.10099343749338E-4";"0";0;"platelet dense granule membrane, endosome membrane, lysosomal membrane, late endosome membrane, integral component of plasma membrane, cell surface, extracellular vesicular exosome";9,87654320987654e-05;"protein binding"
"170";"P08F94";363;363;"P08F94-1";"PKHD1_HUMAN";"Fibrocystin";"PKHD1";1;1;"6.75919924655365E-6";0;1;0;1;"0";"0";1;"integral component of membrane, centrosome, perinuclear region of cytoplasm, apical plasma membrane, extracellular vesicular exosome, mitotic spindle, anchored component of external side of plasma membrane, ciliary basal body, primary cilium";4,93827160493827e-05;"protein binding, receptor activity"
"171";"P08F94";362;362;"P08F94-2";"PKHD1_HUMAN";"Fibrocystin";"PKHD1";1;1;"6.75919924655365E-6";0;1;0;1;"0";"0";1;"integral component of membrane, centrosome, perinuclear region of cytoplasm, apical plasma membrane, extracellular vesicular exosome, mitotic spindle, anchored component of external side of plasma membrane, ciliary basal body, primary cilium";4,93827160493827e-05;"protein binding, receptor activity"
"172";"P09327";366;366;"P09327";"VILI_HUMAN";"Villin-1";"VIL1";2;2;"4.4396578364304E-5";0;2;0;2;"0";"1.85735526952166E-4";0;"cytoplasm, actin filament bundle, filopodium tip, lamellipodium, microvillus, extracellular vesicular exosome, ruffle";9,87654320987654e-05;"protein binding, calcium ion binding, cysteine-type endopeptidase inhibitor activity involved in apoptotic process, protein homodimerization activity, identical protein binding, actin filament binding, lysophosphatidic acid binding, phosphatidylinositol-4,5-bisphosphate binding"
"173";"P09382";367;367;"P09382";"LEG1_HUMAN";"Galectin-1";"LGALS1";7;24;"0.0032636418050915";7;3;16;8;"0.00437354926295363";"0.00455120831968714";0;"nucleus, proteinaceous extracellular matrix, cell surface, cytoplasm, extracellular space";0,00118518518518519;"lactose binding, galactoside binding, protein binding, signal transducer activity, poly(A) RNA binding"
"174";"P09429";368;368;"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";7;16;"0.00136617563934063";7;0;16;0;"0.00274618209534298";"0";0;"nucleoplasm, condensed chromosome, cell surface, extracellular space";0,000790123456790123;"single-stranded DNA binding, repressing transcription factor binding, double-stranded DNA binding, chemoattractant activity, protein binding, poly(A) RNA binding, RAGE receptor binding, DNA binding, bending, transcription factor binding, sequence-specific DNA binding transcription factor activity, damaged DNA binding, cytokine activity"
"175";"P09496";371;371;"P09496-2";"CLCA_HUMAN";"Clathrin light chain A";"CLTA";2;5;"3.70120668420155E-4";0;2;0;5;"0";"0";0;"clathrin coat of coated pit, cytosol, clathrin coat of trans-Golgi network vesicle, clathrin complex, clathrin-coated endocytic vesicle membrane, plasma membrane, trans-Golgi network membrane";0,000246913580246914;"structural molecule activity, protein binding, peptide binding, clathrin heavy chain binding"
"176";"P09651";373;373;"P09651-1,P09651-2,P09651-3";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";9;48;"8.12312795535075E-4";8;4;35;13;"0";"0";4;"extracellular vesicular exosome, intermediate filament cytoskeleton, nucleolus, catalytic step 2 spliceosome, cytoplasm, nucleoplasm";0,00237037037037037;"single-stranded RNA binding, single-stranded DNA binding, protein binding, poly(A) RNA binding, nucleotide binding, RNA binding"
"177";"P09972";376;376;"P09972";"ALDOC_HUMAN";"Fructose-bisphosphate aldolase C";"ALDOC";4;26;"0.00145642684833946";4;2;19;7;"0.00216696825067146";"0.00155900765758514";29;"mitochondrion, cytoskeleton, axon, extracellular vesicular exosome, cytosol";0,00128395061728395;"cytoskeletal protein binding, protein binding, fructose-bisphosphate aldolase activity"
"178";"P0CG48";380;380;"P0CG48";"UBC_HUMAN";"Polyubiquitin-C";"UBC";1;1;"1.02733250251512E-4";1;0;1;0;"1.34678182139311E-4";"0";17;"endocytic vesicle membrane, plasma membrane, cytosol, nucleoplasm, endosome membrane";4,93827160493827e-05;"poly(A) RNA binding, protein binding, protease binding"
"179";"P10316";381;381;"P10316";"1A69_HUMAN";"HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";1;1;"0.00261026555492215";1;0;1;0;"0.00527647399370622";"0";141;"plasma membrane, early endosome membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, Golgi membrane, extracellular vesicular exosome, ER to Golgi transport vesicle membrane";4,93827160493827e-05;"peptide antigen binding, beta-2-microglobulin binding, poly(A) RNA binding"
"180";"P10319";382;382;"P10319";"1B58_HUMAN";"HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";74;"phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, cell surface";0;"peptide antigen binding"
"181";"P10321";383;383;"P10321";"1C07_HUMAN";"HLA class I histocompatibility antigen, Cw-7 alpha chain";"HLA-C";0;0;"0";0;0;0;0;"0";"0";40;"integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, extracellular vesicular exosome, cell surface, MHC class I protein complex, Golgi membrane, ER to Golgi transport vesicle membrane, early endosome membrane";0;"receptor binding, peptide antigen binding"
"182";"P10586";386;386;"P10586-1,P10586-2";"PTPRF_HUMAN";"Receptor-type tyrosine-protein phosphatase F";"PTPRF";13;23;"1.1070625551487E-4";13;0;23;0;"0";"0";0;"extracellular vesicular exosome, integral component of plasma membrane";0,0011358024691358;"heparin binding, protein tyrosine phosphatase activity, transmembrane receptor protein tyrosine phosphatase activity"
"183";"P10599";387;387;"P10599";"THIO_HUMAN";"Thioredoxin";"TXN";1;4;"6.99351815376751E-4";1;1;2;2;"7.02891845831833E-4";"0.00146288838847087";0;"extracellular vesicular exosome, mitochondrion, nucleoplasm, cytosol";0,000197530864197531;"protein disulfide oxidoreductase activity, poly(A) RNA binding, protein binding, peptide disulfide oxidoreductase activity"
"184";"P10809";389;389;"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";26;119;"0.00381256585215205";25;8;100;19;"0.00644010853510842";"0.00254665125218096";0;"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol";0,00587654320987654;"double-stranded RNA binding, DNA replication origin binding, protein binding, ATPase activity, lipopolysaccharide binding, poly(A) RNA binding, ATP binding, chaperone binding, p53 binding, single-stranded DNA binding, unfolded protein binding"
"185";"P11021";391;391;"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";22;65;"0.00207930092895402";20;8;49;16;"0.00308451096368068";"0.00224801656026486";12;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus";0,00320987654320988;"calcium ion binding, ATPase activity, chaperone binding, glycoprotein binding, ATP binding, ribosome binding, enzyme binding, misfolded protein binding, protein domain specific binding, unfolded protein binding, ubiquitin protein ligase binding, protein binding"
"186";"P11142";393;393;"P11142-2";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";1;1;"2.22587201735628E-4";0;1;0;1;"0";"0";97;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle";4,93827160493827e-05;"heat shock protein binding, MHC class II protein complex binding, enzyme binding, ATP binding, unfolded protein binding, ATPase activity, coupled, protein binding, ATPase activity, poly(A) RNA binding"
"187";"P11142";392;392;"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";4;11;"0.00249108611960346";3;3;6;5;"0";"0";100;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle";0,00054320987654321;"heat shock protein binding, MHC class II protein complex binding, enzyme binding, ATP binding, unfolded protein binding, ATPase activity, coupled, protein binding, ATPase activity, poly(A) RNA binding"
"188";"P11233";395;395;"P11233";"RALA_HUMAN";"Ras-related protein Ral-A";"RALA";4;7;"6.23815029492611E-4";4;0;7;0;"0.00125394540457863";"0";0;"cytoplasmic vesicle membrane, extracellular vesicular exosome, midbody, cell surface, plasma membrane, cleavage furrow";0,000345679012345679;"protein binding, GTP binding, GTPase activity, Edg-2 lysophosphatidic acid receptor binding"
