"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5134"	"peptide.count.P5135"	"peptide.count.P5136"	"peptide.count.P5137"	"spectra.count.P5134"	"spectra.count.P5135"	"spectra.count.P5136"	"spectra.count.P5137"	"dNSAF.P5134"	"dNSAF.P5135"	"dNSAF.P5136"	"dNSAF.P5137"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"P62917"	"P62917"	"RL8_HUMAN"	"60S ribosomal protein L8"	"RPL8"	6	19	0.00152081332402738	6	0	3	0	13	0	6	0	0.00209052090680438	0	0.00197652700769464	0	0	"translational termination;translational elongation;nuclear-transcribed mRNA catabolic process;translational initiation;SRP-dependent cotranslational protein targeting to membrane;viral transcription"	"cytosolic large ribosomal subunit"	"RNA binding;rRNA binding;structural constituent of ribosome"
"Q00325-1,Q00325-2"	"Q00325-[1,2]"	"MPCP_HUMAN"	"Phosphate carrier protein, mitochondrial"	"SLC25A3"	6	19	0.000539846718611928	6	0	4	0	13	0	6	0	0	0	0	0	0	"generation of precursor metabolites and energy"	"integral to plasma membrane;mitochondrial inner membrane"	"symporter activity;phosphate ion carrier activity"
"Q02543"	"Q02543"	"RL18A_HUMAN"	"60S ribosomal protein L18a"	"RPL18A"	6	15	0.00175321033616194	6	0	2	0	11	0	4	0	0.00258299938965733	0	0.00192411909461183	0	0	"translational initiation;viral transcription;translational elongation;translational termination;SRP-dependent cotranslational protein targeting to membrane;nuclear-transcribed mRNA catabolic process"	"cytosolic large ribosomal subunit"	"structural constituent of ribosome;RNA binding"
"Q13011"	"Q13011"	"ECH1_HUMAN"	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	"ECH1"	6	11	0.000689881140408439	6	0	0	0	11	0	0	0	0.00138599967249906	0	0	0	0	"fatty acid beta-oxidation"	"peroxisome;mitochondrion"	"isomerase activity"
"Q13148-1,Q13148-2"	"Q13148-[1,2]"	"TADBP_HUMAN"	"TAR DNA-binding protein 43"	"TARDBP"	6	10	0.000248442044415863	6	0	0	0	10	0	0	0	0	0	0	0	0	"RNA splicing;transcription from RNA polymerase II promoter;cell death;3'-UTR-mediated mRNA stabilization;negative regulation by host of viral transcription;mRNA processing"	"nucleus"	"sequence-specific DNA binding transcription factor activity;nucleotide binding;double-stranded DNA binding;mRNA 3'-UTR binding"
"Q13283"	"Q13283"	"G3BP1_HUMAN"	"Ras GTPase-activating protein-binding protein 1"	"G3BP1"	6	16	0.000706300473051792	3	0	6	0	6	0	10	0	0.000532120045937991	0	0.0018167648103631	0	0	"nucleic acid phosphodiester bond hydrolysis;negative regulation of canonical Wnt receptor signaling pathway;Ras protein signal transduction;transport"	"nucleus;cytoplasm;cytosol;cytoplasmic stress granule;plasma membrane"	"ATP-dependent DNA helicase activity;ATP-dependent RNA helicase activity;DNA binding;ATP binding;mRNA binding;endonuclease activity"
"Q15029-1,Q15029-2"	"Q15029-[1,2]"	"U5S1_HUMAN"	"116 kDa U5 small nuclear ribonucleoprotein component"	"EFTUD2"	6	14	0.000154070873766637	5	0	3	0	8	0	6	0	0	0	0	0	5	"mRNA splicing"	"nuclear speck;catalytic step 2 spliceosome;cytoplasm;Cajal body"	"GTP binding;GTPase activity"
"Q15043-1,Q15043-2,Q15043-3"	"Q15043-[1-3]"	"S39AE_HUMAN"	"Zinc transporter ZIP14"	"SLC39A14"	6	14	0.000195117898297336	6	0	0	0	14	0	0	0	0	0	0	0	0	"zinc ion transmembrane import;cellular zinc ion homeostasis"	"integral to plasma membrane;Golgi apparatus;lamellipodium;endoplasmic reticulum"	"zinc ion transmembrane transporter activity;ferrous iron transmembrane transporter activity"
"Q15084-1,Q15084-2"	"Q15084-[1,2]"	"PDIA6_HUMAN"	"Protein disulfide-isomerase A6"	"PDIA6"	6	17	0.000397394342863373	5	0	4	0	9	0	8	0	0	0	0	0	0	"glycerol ether metabolic process;activation of signaling protein activity involved in unfolded protein response;cell redox homeostasis"	"plasma membrane;endoplasmic reticulum-Golgi intermediate compartment;melanosome;endoplasmic reticulum membrane;endoplasmic reticulum lumen"	"electron carrier activity;protein disulfide oxidoreductase activity;protein disulfide isomerase activity"
"Q15393-1"	"Q15393-1"	"SF3B3_HUMAN"	"Splicing factor 3B subunit 3"	"SF3B3"	14	30	0.000507091239382912	12	0	7	0	21	0	9	0	0	0	0	0	0	"protein complex assembly;mRNA splicing"	"nucleoplasm;catalytic step 2 spliceosome;U12-type spliceosomal complex;small nuclear ribonucleoprotein complex"	"nucleic acid binding"
"Q15637-1,Q15637-2,Q15637-3,Q15637-4,Q15637-5,Q15637-6"	"Q15637-[1-6]"	"SF01_HUMAN"	"Splicing factor 1"	"SF1"	6	19	0.000101942885830734	6	0	3	0	13	0	6	0	0	0	0	0	0	"mRNA 3'-splice site recognition;transcription;regulation of transcription;cell cycle process;regulation of steroid biosynthetic process;male sex determination;Leydig cell differentiation"	"spliceosomal complex;ribosome"	"zinc ion binding;transcription corepressor activity;RNA binding"
"Q16698"	"Q16698"	"DECR_HUMAN"	"2,4-dienoyl-CoA reductase, mitochondrial"	"DECR1"	6	11	0.000675465713593934	6	0	3	0	8	0	3	0	0.000986937080227279	0	0.000758160359667945	0	0	"fatty acid beta-oxidation;protein homotetramerization"	"mitochondrial matrix;nucleus"	"2;NADPH binding;oxidoreductase activity"
"Q16851-1,Q16851-2"	"Q16851-[1,2]"	"UGPA_HUMAN"	"UTP--glucose-1-phosphate uridylyltransferase"	"UGP2"	6	7	0.000141729339511254	6	0	0	0	7	0	0	0	0	0	0	0	0	"glucose metabolic process;UDP-glucuronate biosynthetic process;glycogen biosynthetic process;phosphorylation;xenobiotic metabolic process;UDP-glucose metabolic process"	"cytosol"	"UTP:glucose-1-phosphate uridylyltransferase activity;metal ion binding"
"Q7Z3B1"	"Q7Z3B1"	"NEGR1_HUMAN"	"Neuronal growth regulator 1"	"NEGR1"	6	12	0.000697322077207914	6	0	0	0	12	0	0	0	0.00140094882150906	0	0	0	0	"cell adhesion"	"anchored to membrane;plasma membrane"	""
"Q8IX12-1,Q8IX12-2"	"Q8IX12-[1,2]"	"CCAR1_HUMAN"	"Cell division cycle and apoptosis regulator protein 1"	"CCAR1"	6	10	8.94391359897107e-05	6	0	2	0	7	0	3	0	0	0	0	0	0	"regulation of transcription;apoptotic process;mRNA splicing;cell cycle;transcription"	"perinuclear region of cytoplasm;nucleoplasm"	"ligand-dependent nuclear receptor transcription coactivator activity;nucleic acid binding"
"Q92688-1,Q92688-2"	"Q92688-[1,2]"	"AN32B_HUMAN"	"Acidic leucine-rich nuclear phosphoprotein 32 family member B"	"ANP32B"	6	21	0.0012908098411264	6	0	3	0	15	0	6	0	0	0	0	0	19	""	"nucleus;cytoplasm"	""
"Q96AG4"	"Q96AG4"	"LRC59_HUMAN"	"Leucine-rich repeat-containing protein 59"	"LRRC59"	6	14	0.000938091263475141	6	0	3	0	11	0	3	0	0.00148080746768629	0	0.000827308535794012	0	0	""	"endoplasmic reticulum membrane;mitochondrial nucleoid;nuclear envelope;endoplasmic reticulum;integral to membrane"	""
"Q96PK6-1"	"Q96PK6-1"	"RBM14_HUMAN"	"RNA-binding protein 14"	"RBM14"	6	8	0.000245991046668262	6	0	0	0	8	0	0	0	0	0	0	0	0	"response to hormone stimulus;DNA recombination;glucocorticoid receptor signaling pathway;DNA replication;DNA repair;histone deacetylation;intracellular estrogen receptor signaling pathway;positive regulation of transcription from RNA polymerase II promoter"	"transcription factor complex;ribonucleoprotein complex;mediator complex"	"ligand-dependent nuclear receptor transcription coactivator activity;RNA binding;protein binding;RNA polymerase II transcription cofactor activity;nucleotide binding"
"Q9BR76"	"Q9BR76"	"COR1B_HUMAN"	"Coronin-1B"	"CORO1B"	6	10	0.00042067487275324	2	0	5	0	3	0	7	0	0.000253545952359002	0	0.00121191959333424	0	0	"actin cytoskeleton organization"	"cytoplasm;actin cytoskeleton"	"actin filament binding"
"Q9BSJ8-1,Q9BSJ8-2"	"Q9BSJ8-[1,2]"	"ESYT1_HUMAN"	"Extended synaptotagmin-1"	"ESYT1"	6	9	8.38491899903537e-05	4	0	4	0	5	0	4	0	0	0	0	0	0	""	"integral to membrane"	""
"Q9H9B4"	"Q9H9B4"	"SFXN1_HUMAN"	"Sideroflexin-1"	"SFXN1"	6	11	0.000702736068490584	6	0	2	0	9	0	2	0	0.00115513016183434	0	0.000525846212192053	0	0	"iron ion homeostasis;iron ion transport;erythrocyte differentiation"	"mitochondrion;integral to membrane;mitochondrial inner membrane"	"cation transmembrane transporter activity"
"Q9NVP1"	"Q9NVP1"	"DDX18_HUMAN"	"ATP-dependent RNA helicase DDX18"	"DDX18"	6	8	0.00024562389585234	6	0	0	0	8	0	0	0	0.00049346854011364	0	0	0	0	""	"nucleolus"	"ATP-dependent RNA helicase activity;ATP binding;RNA binding"
"Q9NX58"	"Q9NX58"	"LYAR_HUMAN"	"Cell growth-regulating nucleolar protein"	"LYAR"	6	11	0.000597047530485404	6	0	0	0	11	0	0	0	0.00119949312026304	0	0	0	0	""	"nucleolus"	"metal ion binding"
"Q9UKM9-1,Q9UKM9-2"	"Q9UKM9-[1,2]"	"RALY_HUMAN"	"RNA-binding protein Raly"	"RALY"	6	11	0.000403352966228107	6	0	0	0	11	0	0	0	0	0	0	0	1	"mRNA splicing"	"catalytic step 2 spliceosome"	"RNA binding;nucleotide binding"
"Q9UL46"	"Q9UL46"	"PSME2_HUMAN"	"Proteasome activator complex subunit 2"	"PSME2"	6	16	0.00137713816084575	4	0	5	0	7	0	9	0	0.00121044322862603	0	0.0031880801734991	0	0	"negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;small molecule metabolic process;G1/S transition of mitotic cell cycle;mitotic anaphase;viral reproduction;S phase of mitotic cell cycle;protein polyubiquitination;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;DNA damage response;gene expression;antigen processing and presentation of exogenous peptide antigen via MHC class I;apoptotic process;M phase of mitotic cell cycle;regulation of apoptotic process;regulation of cellular amino acid metabolic process;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;mRNA metabolic process"	"proteasome activator complex;cytosol;nucleoplasm;proteasome complex"	""
"Q9Y5M8"	"Q9Y5M8"	"SRPRB_HUMAN"	"Signal recognition particle receptor subunit beta"	"SRPRB"	6	13	0.00098680079929607	6	0	2	0	11	0	2	0	0.00167751989881805	0	0.000624806200464358	0	0	"small GTPase mediated signal transduction;activation of signaling protein activity involved in unfolded protein response;translation;SRP-dependent cotranslational protein targeting to membrane"	"endoplasmic reticulum membrane;cytoplasmic microtubule;integral to membrane"	"GTP binding"
"O00560-1,O00560-2,O00560-3"	"O00560-[1-3]"	"SDCB1_HUMAN"	"Syntenin-1"	"SDCBP"	5	8	0.000184080548345713	5	0	0	0	8	0	0	0	0	0	0	0	0	"synaptic transmission;axon guidance;intracellular signal transduction;positive regulation of phosphorylation;positive regulation of JNK cascade;protein targeting to membrane;substrate-dependent cell migration;Ras protein signal transduction;actin cytoskeleton organization"	"extracellular vesicular exosome;cytosol;endoplasmic reticulum membrane;nucleus;focal adhesion;interleukin-5 receptor complex;cytoskeleton;adherens junction;melanosome"	"interleukin-5 receptor binding;cytoskeletal adaptor activity;syndecan binding"
"O14979-1,O14979-2,O14979-3"	"O14979-[1-3]"	"HNRDL_HUMAN"	"Heterogeneous nuclear ribonucleoprotein D-like"	"HNRPDL"	5	16	0.000328600360324196	5	0	2	0	12	0	4	0	0	0	0	0	15	"regulation of transcription;transcription;regulation of gene expression;RNA processing"	"nucleus;spliceosomal complex;cytoplasm"	"double-stranded DNA binding;poly(A) RNA binding;DNA binding;RNA binding;nucleotide binding;poly(G) RNA binding;single-stranded DNA binding"
"O15371"	"O15371"	"EIF3D_HUMAN"	"Eukaryotic translation initiation factor 3 subunit D"	"EIF3D"	5	15	0.000563074852489967	5	0	3	0	10	0	5	0	0.000754160405739367	0	0.000772456570829567	0	0	"translational initiation;formation of translation initiation complex"	"eukaryotic translation initiation factor 3 complex;cytosol"	"translation initiation factor activity"
"O43684-1,O43684-2"	"O43684-[1,2]"	"BUB3_HUMAN"	"Mitotic checkpoint protein BUB3"	"BUB3"	5	9	0.000282224102894361	5	0	0	0	9	0	0	0	0	0	0	0	0	"M phase of mitotic cell cycle;mitotic sister chromatid segregation;attachment of spindle microtubules to kinetochore;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;cell division;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;mitotic prometaphase;meiosis;mitotic spindle assembly checkpoint;regulation of chromosome segregation;mitotic anaphase"	"nucleus;kinetochore;condensed chromosome kinetochore;cytosol"	""
"O43719"	"O43719"	"HTSF1_HUMAN"	"HIV Tat-specific factor 1"	"HTATSF1"	5	8	0.00021797087446499	2	0	3	0	2	0	6	0	0.000109478119826536	0	0.000672804557586123	0	0	"regulation of DNA-dependent transcription;viral genome replication;transcription;regulation of transcription from RNA polymerase II promoter"	"nucleus"	"RNA binding;nucleotide binding"
"O60610-1,O60610-2,O60610-3"	"O60610-[1-3]"	"DIAP1_HUMAN"	"Protein diaphanous homolog 1"	"DIAPH1"	5	7	3.7735065236749e-05	5	0	0	0	7	0	0	0	0	0	0	0	0	"regulation of microtubule-based process;neuron projection development;protein localization to microtubule;regulation of cell shape;regulation of release of sequestered calcium ion into cytosol;cellular response to histamine;cytoskeleton organization;actin filament polymerization;sensory perception of sound"	"mitotic spindle;cytoplasm;neuron projection;ruffle membrane"	"receptor binding"
"O75144-1,O75144-2"	"O75144-[1,2]"	"ICOSL_HUMAN"	"ICOS ligand"	"ICOSLG"	5	9	0.000306521542216392	5	0	0	0	9	0	0	0	0	0	0	0	0	"positive regulation of activated T cell proliferation;defense response;T cell costimulation;B cell activation;T cell activation;positive regulation of interleukin-4 biosynthetic process;signal transduction;hyperosmotic response"	"integral to plasma membrane;plasma membrane;external side of plasma membrane;integral to membrane"	"receptor binding"
"O75367-1,O75367-2,O75367-3"	"O75367-[1-3]"	"H2AY_HUMAN"	"Core histone macro-H2A.1"	"H2AFY"	5	10	0.000184327968437576	5	0	0	0	10	0	0	0	0	0	0	0	0	"nucleosome assembly;dosage compensation;chromatin modification"	"condensed chromosome;nucleosome;Barr body"	"DNA binding;chromatin binding"
"O94776"	"O94776"	"MTA2_HUMAN"	"Metastasis-associated protein MTA2"	"MTA2"	5	7	0.00021556438464586	5	0	0	0	7	0	0	0	0.000433077741978475	0	0	0	0	"DNA methylation;positive regulation of transcription from RNA polymerase II promoter;negative regulation of transcription from RNA polymerase II promoter;chromatin assembly or disassembly"	"NuRD complex;transcription factor complex"	"chromatin binding;sequence-specific DNA binding transcription factor activity;histone deacetylase activity;transcription factor binding transcription factor activity;transcription regulatory region DNA binding;zinc ion binding;sequence-specific DNA binding"
"P02533"	"P02533"	"K1C14_HUMAN"	"Keratin, type I cytoskeletal 14"	"KRT14"	5	36	0.00394367328827174	4	3	5	4	8	7	12	9	0.00168361730167051	0.0248546672969147	0.00519557152249027	0.034334576024788	155	"response to ionizing radiation;intermediate filament bundle assembly;hemidesmosome assembly;epidermis development;response to zinc ion;epithelial cell differentiation"	"cell periphery;cytosol;nucleus;keratin filament"	"structural constituent of cytoskeleton"
"P05141"	"P05141"	"ADT2_HUMAN"	"ADP/ATP translocase 2"	"SLC25A5"	5	19	0.00336447219612301	5	0	3	0	13	0	6	0	0.00424211506552487	0	0.00539786430568956	0	36	"small molecule metabolic process;positive regulation of cell proliferation;viral reproduction;virus-host interaction;energy reserve metabolic process;regulation of insulin secretion;negative regulation of mitochondrial outer membrane permeabilization;chromosome segregation"	"integral to plasma membrane;MMXD complex;mitochondrial inner membrane;mitochondrial nucleoid"	"adenine transmembrane transporter activity"
"P06733-1"	"P06733-1"	"ENOA_HUMAN"	"Alpha-enolase"	"ENO1"	10	27	0.00135974792431362	7	0	8	0	12	0	15	0	0	0	0	0	2	"negative regulation of transcription from RNA polymerase II promoter;negative regulation of cell growth;gluconeogenesis;small molecule metabolic process;transcription;response to virus;glycolysis"	"extracellular vesicular exosome;nucleus;phosphopyruvate hydratase complex;plasma membrane;cytosol;M band"	"magnesium ion binding;DNA binding;phosphopyruvate hydratase activity;sequence-specific DNA binding transcription factor activity;transcription corepressor activity"
"P07195"	"P07195"	"LDHB_HUMAN"	"L-lactate dehydrogenase B chain"	"LDHB"	5	13	0.000897718346447259	4	0	4	0	7	0	6	0	0.000968056129128356	0	0.00171096817694525	0	4	"glycolysis;cellular carbohydrate metabolic process;pyruvate metabolic process;NAD metabolic process;lactate metabolic process"	"cytosol;mitochondrion"	"L-lactate dehydrogenase activity;NAD binding"
"P07737"	"P07737"	"PROF1_HUMAN"	"Profilin-1"	"PFN1"	5	10	0.00146935723411667	5	0	0	0	10	0	0	0	0.00295199930246552	0	0	0	0	"platelet degranulation;actin cytoskeleton organization;positive regulation of stress fiber assembly;positive regulation of viral transcription;positive regulation of transcription from RNA polymerase II promoter;positive regulation of DNA metabolic process;neural tube closure;cell death;cellular response to growth factor stimulus;platelet activation"	"neuron projection;cytoskeleton;nucleus;synapse;cytoplasm"	"phosphatidylinositol-4"
"P07948-1,P07948-2"	"P07948-[1,2]"	"LYN_HUMAN"	"Tyrosine-protein kinase Lyn"	"LYN"	7	10	0.000227673842265474	7	0	0	0	10	0	0	0	0	0	0	0	2	"positive regulation of Fc receptor mediated stimulatory signaling pathway;response to axon injury;response to DNA damage stimulus;response to amino acid stimulus;negative regulation of ERK1 and ERK2 cascade;negative regulation of immune response;response to insulin stimulus;regulation of cytokine production;negative regulation of myeloid leukocyte differentiation;leukocyte migration;regulation of B cell receptor signaling pathway;regulation of erythrocyte differentiation;platelet activation;B cell homeostasis;positive regulation of oligodendrocyte progenitor proliferation;regulation of inflammatory response;negative regulation of B cell proliferation;positive regulation of tyrosine phosphorylation of STAT protein;regulation of mast cell degranulation;response to sterol depletion;cellular response to heat;positive regulation of glial cell proliferation;B cell receptor signaling pathway;regulation of monocyte chemotaxis;positive regulation of phosphatidylinositol 3-kinase activity;protein autophosphorylation;positive regulation of mast cell proliferation;cellular response to extracellular stimulus;negative regulation of toll-like receptor 4 signaling pathway;response to organic cyclic compound;positive regulation of stress-activated protein kinase signaling cascade;lipopolysaccharide-mediated signaling pathway;histamine secretion by mast cell;dendritic cell differentiation;peptidyl-tyrosine phosphorylation;response to toxic substance;positive regulation of dendritic cell apoptotic process;regulation of platelet aggregation;regulation of cytokine secretion;erythrocyte differentiation;regulation of cell adhesion mediated by integrin;JAK-STAT cascade involved in growth hormone signaling pathway;oligodendrocyte development;negative regulation of toll-like receptor 2 signaling pathway;regulation of B cell apoptotic process;virus-host interaction;regulation of release of sequestered calcium ion into cytosol;neuron projection development;positive regulation of neuron projection development;negative regulation of MAP kinase activity;Fc-gamma receptor signaling pathway involved in phagocytosis;platelet degranulation;innate immune response;cellular response to retinoic acid;response to carbohydrate stimulus;tolerance induction to self antigen;T cell costimulation;positive regulation of cellular component movement;cytokine secretion;Fc receptor mediated inhibitory signaling pathway;negative regulation of mast cell proliferation;positive regulation of cell migration"	"alpha2-beta1 integrin complex;cytosol;Golgi apparatus;membrane raft;plasma membrane;postsynaptic density;perinuclear region of cytoplasm;nucleus;mitochondrial crista;mitochondrial intermembrane space"	"receptor signaling protein tyrosine kinase activity;ATP binding;glycosphingolipid binding;non-membrane spanning protein tyrosine kinase activity"
"P09012"	"P09012"	"SNRPA_HUMAN"	"U1 small nuclear ribonucleoprotein A"	"SNRPA"	5	9	0.0008206516467141	5	0	1	0	7	0	2	0	0.00121239429765992	0	0.000840608058355239	0	4	"mRNA splicing"	"spliceosomal complex;nucleoplasm"	"nucleotide binding;RNA binding;snRNA binding"
"P11388-1,P11388-2,P11388-3,P11388-4"	"P11388-[1-4]"	"TOP2A_HUMAN"	"DNA topoisomerase 2-alpha"	"TOP2A"	9	13	4.36680301452049e-05	9	0	0	0	13	0	0	0	0	0	0	0	0	"phosphatidylinositol-mediated signaling;DNA-dependent DNA replication;positive regulation of apoptotic process;DNA repair;DNA topological change;positive regulation of transcription from RNA polymerase II promoter;sister chromatid segregation;mitotic cell cycle;apoptotic chromosome condensation;embryonic cleavage;positive regulation of retroviral genome replication;resolution of meiotic recombination intermediates;mitotic recombination;DNA ligation"	"cytoplasm;DNA topoisomerase complex (ATP-hydrolyzing);synaptonemal complex;nucleolus;nucleoplasm"	"chromatin binding;ATP binding;magnesium ion binding;DNA binding;ubiquitin binding;drug binding;DNA topoisomerase type II (ATP-hydrolyzing) activity"
"P14678-1,P14678-2,P14678-3,P63162"	"P14678-[1-3], P63162"	"RSMB_HUMAN, RSMN_HUMAN"	"Small nuclear ribonucleoprotein-associated protein N, Small nuclear ribonucleoprotein-associated proteins B and B'"	"SNRPB, SNRPN"	5	16	0.000342850021293891	5	0	3	0	9	0	7	0	0.0015497996337944	0	0.00246928617141852	0	0	"histone mRNA metabolic process;mRNA 3'-end processing;spliceosomal snRNP assembly;termination of RNA polymerase II transcription;ncRNA metabolic process;response to hormone stimulus;RNA splicing"	"cytosol;U12-type spliceosomal complex;catalytic step 2 spliceosome;U7 snRNP;histone pre-mRNA 3'end processing complex;nucleoplasm;U2 snRNP;U1 snRNP;small nuclear ribonucleoprotein complex;spliceosomal complex"	"histone pre-mRNA DCP binding;RNA binding"
"P15927-1,P15927-2,P15927-3"	"P15927-[1-3]"	"RFA2_HUMAN"	"Replication protein A 32 kDa subunit"	"RPA2"	5	10	0.000253962978736215	5	0	0	0	10	0	0	0	0	0	0	0	0	"G1/S transition of mitotic cell cycle;nucleotide-excision repair;transcription-coupled nucleotide-excision repair;nucleotide-excision repair;telomere maintenance via semi-conservative replication;telomere maintenance via recombination;cell cycle checkpoint;S phase of mitotic cell cycle;DNA recombinase assembly;DNA strand elongation involved in DNA replication;regulation of double-strand break repair via homologous recombination"	"PML body;DNA replication factor A complex;nucleoplasm"	"single-stranded DNA binding"
"P16152"	"P16152"	"CBR1_HUMAN"	"Carbonyl reductase [NADPH] 1"	"CBR1"	6	10	0.000742635425185323	0	0	6	0	0	0	10	0	0	0	0.00305636246075525	0	0	"cyclooxygenase pathway;vitamin K metabolic process;drug metabolic process"	"cytosol"	"oxidoreductase activity;carbonyl reductase (NADPH) activity;prostaglandin-E2 9-reductase activity;15-hydroxyprostaglandin dehydrogenase (NADP+) activity"
"P24534"	"P24534"	"EF1B_HUMAN"	"Elongation factor 1-beta"	"EEF1B2"	5	18	0.00176049499306258	5	0	3	0	10	0	8	0	0.00193347322734584	0	0.0032610255470162	0	3	""	"eukaryotic translation elongation factor 1 complex;cytosol"	"translation elongation factor activity"
"P27105-1"	"P27105-1"	"STOM_HUMAN"	"Erythrocyte band 7 integral membrane protein"	"STOM"	8	16	0.00114283340431297	8	0	0	0	16	0	0	0	0	0	0	0	0	"protein homooligomerization"	"melanosome;membrane raft;cytoplasm;integral to plasma membrane;cytoskeleton;extracellular vesicular exosome"	""
"P33176"	"P33176"	"KINH_HUMAN"	"Kinesin-1 heavy chain"	"KIF5B"	5	9	0.000192252348389098	3	0	3	0	5	0	4	0	0.000214579388548896	0	0.000351656241590532	0	0	"positive regulation of potassium ion transport;stress granule disassembly;positive regulation of establishment of protein localization to plasma membrane;cytoplasm organization;vesicle transport along microtubule;cellular protein metabolic process;regulation of membrane potential"	"kinesin complex;microtubule;ciliary rootlet;vesicle;neuron projection;perinuclear region of cytoplasm"	"microtubule motor activity;microtubule binding;ATP binding"
"P35268"	"P35268"	"RL22_HUMAN"	"60S ribosomal protein L22"	"RPL22"	5	11	0.00176782042229662	4	0	2	0	7	0	4	0	0.00226012446595017	0	0.00264566375509127	0	0	"translational elongation;translational termination;viral transcription;translational initiation;alpha-beta T cell differentiation;SRP-dependent cotranslational protein targeting to membrane;nuclear-transcribed mRNA catabolic process"	"cytosolic large ribosomal subunit"	"heparin binding;structural constituent of ribosome;RNA binding"
"P35637-1,P35637-2"	"P35637-[1,2]"	"FUS_HUMAN"	"RNA-binding protein FUS"	"FUS"	5	18	0.000486061138281942	5	0	3	0	12	0	6	0	0	0	0	0	8	"mRNA splicing;cell death"	"nucleoplasm;cytoplasm"	"DNA binding;zinc ion binding;nucleotide binding;RNA binding"
"P36957"	"P36957"	"ODO2_HUMAN"	"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial"	"DLST"	5	16	0.000726569581549967	4	0	5	0	7	0	9	0	0.000638622365654793	0	0.00168201139396531	0	0	"L-lysine catabolic process to acetyl-CoA via saccharopine;cellular nitrogen compound metabolic process;tricarboxylic acid cycle;lysine catabolic process"	"oxoglutarate dehydrogenase complex;nucleus;mitochondrial matrix"	"dihydrolipoyllysine-residue succinyltransferase activity"
"P42167-1"	"P42167-1"	"LAP2B_HUMAN"	"Lamina-associated polypeptide 2, isoforms beta/gamma"	"TMPO"	5	9	0.000917539153903254	5	0	0	0	9	0	0	0	0	0	0	0	15	""	"nuclear envelope;nuclear inner membrane;integral to membrane"	"lamin binding;DNA binding"
"P43121-1"	"P43121-1"	"MUC18_HUMAN"	"Cell surface glycoprotein MUC18"	"MCAM"	14	25	0.000796091380713369	14	0	0	0	25	0	0	0	0	0	0	0	0	"vascular wound healing;glomerular filtration;cell adhesion"	"integral to membrane;external side of plasma membrane"	""
"P46778"	"P46778"	"RL21_HUMAN"	"60S ribosomal protein L21"	"RPL21"	5	10	0.00128568757985209	5	0	0	0	10	0	0	0	0.00258299938965733	0	0	0	0	"viral transcription;SRP-dependent cotranslational protein targeting to membrane;translational initiation;translational termination;nuclear-transcribed mRNA catabolic process;translational elongation"	"cytosolic large ribosomal subunit"	"structural constituent of ribosome;RNA binding"
"P48047"	"P48047"	"ATPO_HUMAN"	"ATP synthase subunit O, mitochondrial"	"ATP5O"	5	20	0.00193154941574023	5	0	4	0	12	0	8	0	0.00232833747800098	0	0.00317976488874819	0	0	"mitochondrial ATP synthesis coupled proton transport;ATP catabolic process;respiratory electron transport chain"	"mitochondrial proton-transporting ATP synthase complex;plasma membrane;mitochondrial proton-transporting ATP synthase complex"	"transmembrane transporter activity;drug binding;proton-transporting ATP synthase activity;steroid binding"
"P48735"	"P48735"	"IDHP_HUMAN"	"Isocitrate dehydrogenase [NADP], mitochondrial"	"IDH2"	5	9	0.000409599582961728	3	0	3	0	4	0	5	0	0.000365734426854136	0	0.000936518143395139	0	0	"2-oxoglutarate metabolic process;tricarboxylic acid cycle;glyoxylate cycle;isocitrate metabolic process;carbohydrate metabolic process"	"mitochondrial inner membrane;mitochondrial matrix"	"NAD binding;magnesium ion binding;isocitrate dehydrogenase (NADP+) activity"
"P49257"	"P49257"	"LMAN1_HUMAN"	"Protein ERGIC-53"	"LMAN1"	5	10	0.000403352966228107	5	0	3	0	6	0	4	0	0.000486211649817851	0	0.000664009726768004	0	0	"ER to Golgi vesicle-mediated transport;protein transport;positive regulation of organelle organization;protein N-linked glycosylation via asparagine;protein folding;Golgi organization;post-translational protein modification;blood coagulation"	"endoplasmic reticulum membrane;ER to Golgi transport vesicle membrane;sarcomere;endoplasmic reticulum-Golgi intermediate compartment membrane;endoplasmic reticulum-Golgi intermediate compartment;integral to membrane;Golgi membrane"	"unfolded protein binding;mannose binding;metal ion binding"
"P52597"	"P52597"	"HNRPF_HUMAN"	"Heterogeneous nuclear ribonucleoprotein F"	"HNRNPF"	5	12	0.000809700793933713	5	0	1	0	10	0	2	0	0.00130014427109927	0	0.000680009961147956	0	7	"mRNA splicing;regulation of RNA splicing"	"catalytic step 2 spliceosome;nucleoplasm;cytoplasm"	"nucleotide binding;single-stranded RNA binding"
