"";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc"
"300";"P05198";"P05198";"IF2A_HUMAN";"Eukaryotic translation initiation factor 2 subunit 1";"EIF2S1";"10";"22";"0.00128214499485738";"7";"7";"10";"12";"0.00117148640971972";"0.00292577677694173";"0";"polysome, cytoplasmic stress granule, eukaryotic translation initiation factor 2 complex, extracellular vesicular exosome, nucleus, cytosol"
"301";"P05204";"P05204";"HMGN2_HUMAN";"Non-histone chromosomal protein HMG-17";"HMGN2";"3";"6";"0.00122386567690931";"3";"0";"6";"0";"0.00246012146041142";"0";"0";"cytoplasm, nucleus, chromatin"
"302";"P05362";"P05362";"ICAM1_HUMAN";"Intercellular adhesion molecule 1";"ICAM1";"6";"14";"4.83104872464203E-4";"6";"0";"14";"0";"9.71100576478191E-4";"0";"0";"extracellular vesicular exosome, external side of plasma membrane, immunological synapse, integral component of plasma membrane, extracellular space"
"303";"P05386";"P05386";"RLA1_HUMAN";"60S acidic ribosomal protein P1";"RPLP1";"2";"9";"0.00157814258338306";"1";"1";"2";"7";"7.12140422750673E-4";"0.00509316141564988";"4";"cytosolic large ribosomal subunit"
"304";"P05387";"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";"7";"36";"0.00625767841758849";"5";"6";"18";"18";"0.00635353107601905";"0.012982816428464";"4";"extracellular vesicular exosome, cytosolic large ribosomal subunit"
"305";"P05388";"P05388";"RLA0_HUMAN";"60S acidic ribosomal protein P0";"RPLP0";"9";"47";"0.00272184637924627";"9";"7";"26";"21";"0.003026647853503";"0.00508780583056508";"0";"extracellular vesicular exosome, nucleus, cytosolic large ribosomal subunit"
"306";"P05455";"P05455";"LA_HUMAN";"Lupus La protein";"SSB";"4";"14";"6.29930863115088E-4";"3";"3";"6";"8";"5.42673851561342E-4";"0.00150591451754354";"0";"ribonucleoprotein complex, nucleus"
"307";"P05546";"P05546";"HEP2_HUMAN";"Heparin cofactor 2";"SERPIND1";"2";"2";"7.35790988121832E-5";"2";"0";"2";"0";"1.4790309381231E-4";"0";"0";"extracellular space, extracellular region"
"308";"P05556";"P05556-4";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";"1";"1";"1.46395415898243E-4";"1";"0";"1";"0";"0";"0";"59";"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface"
"309";"P05556";"P05556-1";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";"2";"8";"0.00117116332718595";"2";"0";"8";"0";"0";"0";"59";"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface"
"310";"P05556";"P05556-2";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";"2";"2";"2.92790831796487E-4";"2";"0";"2";"0";"0";"0";"59";"cytoplasm, recycling endosome, basement membrane, filopodium, alpha7-beta1 integrin complex, myelin sheath abaxonal region, focal adhesion, extracellular vesicular exosome, alpha3-beta1 integrin complex, hemidesmosome, alpha8-beta1 integrin complex, cleavage furrow, alpha9-beta1 integrin complex, external side of plasma membrane, melanosome, acrosomal vesicle, lamellipodium, intercalated disc, ruffle, sarcolemma, neuromuscular junction, membrane raft, cell surface"
"311";"P05787";"P05787";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";"2";"2";"8.42710094606982E-5";"1";"1";"1";"1";"8.68480155647897E-5";"1.75899704078474E-4";"18";"intermediate filament, nucleoplasm, keratin filament, Z disc, cytoplasm, nuclear matrix, sarcolemma, extracellular vesicular exosome, costamere, dystrophin-associated glycoprotein complex"
"312";"P05997";"P05997";"CO5A2_HUMAN";"Collagen alpha-2(V) chain";"COL5A2";"2";"2";"2.44936426332751E-5";"0";"2";"0";"2";"0";"1.02470500860201E-4";"0";"endoplasmic reticulum lumen, collagen type V"
"313";"P06213";"P06213-2";"INSR_HUMAN";"Insulin receptor";"INSR";"2";"2";"6.64181807295214E-5";"2";"0";"2";"0";"0";"0";"9";"insulin receptor complex, endosome membrane, extracellular vesicular exosome, caveola"
"314";"P06213";"P06213-1";"INSR_HUMAN";"Insulin receptor";"INSR";"3";"4";"1.32836361459043E-4";"1";"2";"2";"2";"0";"0";"9";"insulin receptor complex, endosome membrane, extracellular vesicular exosome, caveola"
"315";"P06241";"P06241-1,P06241-2,P06241-3,P07947";"FYN_HUMAN, YES_HUMAN";"Tyrosine-protein kinase Fyn, Tyrosine-protein kinase Yes";"FYN, YES1";"1";"1";"9.20456080126782E-6";"1";"0";"1";"0";"7.33958888741527E-5";"0";"2";"endosome, plasma membrane, mitochondrion, nucleus, cytosol, postsynaptic density"
"316";"P06454";"P06454-1,P06454-2";"PTMA_HUMAN";"Prothymosin alpha";"PTMA";"3";"11";"9.09629895000166E-4";"2";"3";"4";"7";"0";"0";"0";"cytoplasm, nucleus"
"317";"P06493";"P06493-1";"CDK1_HUMAN";"Cyclin-dependent kinase 1";"CDK1";"2";"3";"2.00268928948797E-4";"2";"0";"3";"0";"0";"0";"2";"midbody, cytosol, extracellular vesicular exosome, nucleoplasm, mitochondrion, microtubule organizing center, spindle microtubule"
"318";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";"21";"125";"0.00433789819320409";"21";"11";"86";"39";"0.00599916197340402";"0.00566212471719111";"0";"mitochondrial nucleoid, cell surface, mitochondrial proton-transporting ATP synthase, catalytic core, extracellular vesicular exosome, plasma membrane"
"319";"P06730";"P06730-2";"IF4E_HUMAN";"Eukaryotic translation initiation factor 4E";"EIF4E";"1";"2";"4.65294554585338E-4";"1";"0";"2";"0";"0";"0";"7";"chromatoid body, eukaryotic translation initiation factor 4F complex, cytoplasmic mRNA processing body, cytosol, RISC complex, mRNA cap binding complex, cytoplasmic stress granule, extracellular vesicular exosome"
"320";"P06730";"P06730-3";"IF4E_HUMAN";"Eukaryotic translation initiation factor 4E";"EIF4E";"2";"2";"4.65294554585338E-4";"0";"2";"0";"2";"0";"0";"7";"chromatoid body, eukaryotic translation initiation factor 4F complex, cytoplasmic mRNA processing body, cytosol, RISC complex, mRNA cap binding complex, cytoplasmic stress granule, extracellular vesicular exosome"
"321";"P06733";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";"11";"28";"0.0011843861389445";"11";"4";"20";"8";"0";"0";"0";"M band, cytosol, phosphopyruvate hydratase complex, plasma membrane, nucleus, extracellular vesicular exosome, extracellular space"
"322";"P06748";"P06748-1";"NPM_HUMAN";"Nucleophosmin";"NPM1";"10";"44";"0.00274745356040866";"8";"5";"32";"12";"0";"0";"0";"spindle pole centrosome, ribonucleoprotein complex, cytosol, nucleolus, nucleoplasm"
"323";"P06753";"P06753-2,P06753-3";"TPM3_HUMAN";"Tropomyosin alpha-3 chain";"TPM3";"2";"11";"6.65148325856073E-4";"2";"2";"5";"6";"0";"0";"12";"cytosol, stress fiber, extracellular vesicular exosome, muscle thin filament tropomyosin"
"324";"P06753";"P06753-1";"TPM3_HUMAN";"Tropomyosin alpha-3 chain";"TPM3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"cytosol, stress fiber, extracellular vesicular exosome, muscle thin filament tropomyosin"
"325";"P06899";"P06899";"H2B1J_HUMAN";"Histone H2B type 1-J";"HIST1H2BJ";"1";"1";"0.00108326415389267";"1";"0";"1";"0";"0.00217749500011777";"0";"74";"nucleus, nucleosome"
"326";"P07093";"P07093-3";"GDN_HUMAN";"Glia-derived nexin";"SERPINE2";"1";"1";"5.63757221356887E-5";"1";"0";"1";"0";"0";"0";"2";"extracellular space, cytosol, platelet alpha granule, extrinsic component of external side of plasma membrane, neuromuscular junction, extracellular matrix"
"327";"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";"6";"17";"0.00113585052931959";"6";"3";"13";"4";"0.00174287678313368";"0.00112417570770715";"6";"extracellular vesicular exosome, cytosol, mitochondrion"
"328";"P07196";"P07196";"NFL_HUMAN";"Neurofilament light polypeptide";"NEFL";"1";"1";"3.71068289050796E-5";"1";"0";"1";"0";"7.38686482227785E-5";"0";"4";"neurofilament, cytosol"
"329";"P07197";"P07197";"NFM_HUMAN";"Neurofilament medium polypeptide";"NEFM";"1";"2";"4.39934674573324E-5";"0";"1";"0";"2";"0";"1.86321301297235E-4";"4";"cytoplasm, neuromuscular junction, neurofilament"
"330";"P07205";"P07205";"PGK2_HUMAN";"Phosphoglycerate kinase 2";"PGK2";"2";"2";"1.13569018084589E-4";"2";"0";"2";"0";"2.18409681163114E-4";"0";"20";"cytoplasm"
"331";"P07237";"P07237";"PDIA1_HUMAN";"Protein disulfide-isomerase";"P4HB";"9";"24";"8.67306385211325E-4";"9";"4";"18";"6";"0.00130754487069111";"9.07105988914021E-4";"0";"procollagen-proline 4-dioxygenase complex, plasma membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, extracellular vesicular exosome"
"332";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";"4";"76";"0.0130723150971562";"4";"2";"65";"11";"0.0190168369946637";"0.0139313590540879";"284";"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen"
"333";"P07737";"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";"5";"9";"0.00118015618844827";"5";"0";"9";"0";"0.00237225997968244";"0";"0";"synapse, extracellular vesicular exosome, cytoplasm, blood microparticle, neuron projection, cytoskeleton, nucleus"
"334";"P07814";"P07814";"SYEP_HUMAN";"Bifunctional glutamate/proline--tRNA ligase";"EPRS";"30";"92";"0.00112830329360727";"21";"22";"44";"48";"0.00107386254224308";"0.00248691026040047";"1";"GAIT complex, ribonucleoprotein complex, cytosol"
"335";"P07864";"P07864";"LDHC_HUMAN";"L-lactate dehydrogenase C chain";"LDHC";"1";"1";"6.51692674343923E-5";"1";"0";"1";"0";"1.28700076400724E-4";"0";"5";"motile cilium, cytoplasm"
"336";"P07900";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";"12";"35";"8.02855282478809E-4";"11";"7";"22";"13";"0";"0";"60";"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane"
"337";"P07910";"P07910-2";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";"9";"49";"0.00517383215571859";"9";"3";"39";"10";"0";"0";"38";"catalytic step 2 spliceosome, nucleoplasm, extracellular vesicular exosome"
"338";"P07948";"P07948-1";"LYN_HUMAN";"Tyrosine-protein kinase Lyn";"LYN";"7";"12";"5.63978486210374E-4";"7";"0";"12";"0";"0";"0";"5";"mitochondrial intermembrane space, Golgi apparatus, perinuclear region of cytoplasm, mast cell granule, nucleus, cytosol, plasma membrane, mitochondrial crista, postsynaptic density, membrane raft, alpha2-beta1 integrin complex"
"339";"P07954";"P07954-1,P07954-2";"FUMH_HUMAN";"Fumarate hydratase, mitochondrial";"FH";"5";"10";"1.79980246604311E-4";"5";"0";"10";"0";"0";"0";"0";"tricarboxylic acid cycle enzyme complex, extracellular vesicular exosome, mitochondrial matrix"
"340";"P08107";"P08107-1";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";"3";"11";"7.9414516338752E-4";"3";"1";"8";"3";"0";"0";"29";"blood microparticle, mitochondrion, ribonucleoprotein complex, perinuclear region of cytoplasm, endoplasmic reticulum, extracellular vesicular exosome, aggresome, cytosol, nuclear speck"
"341";"P08183";"P08183";"MDR1_HUMAN";"Multidrug resistance protein 1";"ABCB1";"3";"3";"6.45397915557646E-5";"0";"3";"0";"3";"0";"2.70005767012689E-4";"2";"cell surface, integral component of membrane, apical plasma membrane, extracellular vesicular exosome, intercellular canaliculus, Golgi membrane"
"342";"P08195";"P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";"24";"96";"0.002797407261507";"23";"6";"84";"12";"0";"0";"0";"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane"
"343";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";"12";"44";"0.00224122222673646";"11";"7";"24";"20";"0.00235085103274525";"0.00456492740331636";"75";"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body"
"344";"P08319";"P08319-1";"ADH4_HUMAN";"Alcohol dehydrogenase 4";"ADH4";"1";"1";"4.83104872464203E-5";"1";"0";"1";"0";"0";"0";"0";"microtubule cytoskeleton, cytosol"
"345";"P08559";"P08559-1,P08559-2,P08559-3,P08559-4";"ODPA_HUMAN";"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial";"PDHA1";"6";"25";"2.94198480026277E-4";"4";"5";"11";"14";"0";"0";"0";"pyruvate dehydrogenase complex, mitochondrial matrix"
"346";"P08572";"P08572";"CO4A2_HUMAN";"Collagen alpha-2(IV) chain";"COL4A2";"3";"3";"3.21693665075462E-5";"0";"3";"0";"3";"0";"1.34582313775795E-4";"0";"collagen type IV, endoplasmic reticulum lumen"
"347";"P08574";"P08574";"CY1_HUMAN";"Cytochrome c1, heme protein, mitochondrial";"CYC1";"4";"6";"3.38916648990272E-4";"4";"0";"6";"0";"6.81264404421623E-4";"0";"0";"integral component of membrane, cell junction, mitochondrial inner membrane, respiratory chain"
"348";"P08575";"P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";"48";"242";"0.00340692669262332";"47";"6";"232";"10";"0";"0";"0";"integral component of plasma membrane, membrane raft, extracellular vesicular exosome, focal adhesion, external side of plasma membrane"
"349";"P08579";"P08579";"RU2B_HUMAN";"U2 small nuclear ribonucleoprotein B''";"SNRPB2";"2";"4";"4.2678392835812E-4";"2";"1";"3";"1";"5.9042915049874E-4";"5.68901039960892E-4";"4";"nucleoplasm, catalytic step 2 spliceosome, U2 snRNP"
"350";"P08590";"P08590";"MYL3_HUMAN";"Myosin light chain 3";"MYL3";"1";"1";"1.19819017319793E-4";"1";"0";"1";"0";"2.36550140424175E-4";"0";"3";"cytosol, I band, A band, muscle myosin complex"
"351";"P08621";"P08621-2";"RU17_HUMAN";"U1 small nuclear ribonucleoprotein 70 kDa";"SNRNP70";"7";"10";"4.20091193447133E-4";"7";"0";"10";"0";"0";"0";"0";"U1 snRNP, spliceosomal complex, nucleoplasm, nuclear speck"
"352";"P08631";"P08631-1";"HCK_HUMAN";"Tyrosine-protein kinase HCK";"HCK";"1";"1";"4.57473043313865E-5";"1";"0";"1";"0";"0";"0";"5";"Golgi apparatus, cell projection, cytosol, lysosome, focal adhesion, extrinsic component of cytoplasmic side of plasma membrane, caveola, nucleus, cytoskeleton, transport vesicle"
"353";"P08648";"P08648";"ITA5_HUMAN";"Integrin alpha-5";"ITGA5";"13";"33";"5.77515262221268E-4";"13";"0";"33";"0";"0.00116087714290148";"0";"0";"synapse, alphav-beta3 integrin-vitronectin complex, ruffle, cytoplasm, external side of plasma membrane, integrin complex"
"354";"P08651";"P08651-2";"NFIC_HUMAN";"Nuclear factor 1 C-type";"NFIC";"2";"2";"7.22755321009437E-5";"2";"0";"2";"0";"0";"0";"0";"nucleus"
"355";"P08670";"P08670";"VIME_HUMAN";"Vimentin";"VIM";"14";"34";"0.00198802708117441";"11";"7";"19";"15";"0.0022055562293206";"0.0037423558013841";"20";"cell projection, peroxisome, cytosol, extracellular vesicular exosome, intermediate filament, cell leading edge"
"356";"P08708";"P08708,P0CW22";"RS17_HUMAN, RS17L_HUMAN";"40S ribosomal protein S17, 40S ribosomal protein S17-like";"RPS17, RPS17L";"6";"27";"0.00183579851536397";"6";"3";"20";"7";"0.00273346828934602";"0.00199115363986312";"0";"cytosolic small ribosomal subunit"
"357";"P08727";"P08727";"K1C19_HUMAN";"Keratin, type I cytoskeletal 19";"KRT19";"1";"1";"6.5858322040852E-5";"1";"0";"1";"0";"1.1563290197694E-4";"0";"30";"extracellular vesicular exosome, sarcolemma, Z disc, dystrophin-associated glycoprotein complex, costamere, intermediate filament, cell periphery"
"358";"P08729";"P08729";"K2C7_HUMAN";"Keratin, type II cytoskeletal 7";"KRT7";"2";"2";"8.39620775722633E-5";"2";"0";"2";"0";"1.71153114169979E-4";"0";"8";"nucleus, Golgi apparatus, intermediate filament, keratin filament"
"359";"P08779";"P08779";"K1C16_HUMAN";"Keratin, type I cytoskeletal 16";"KRT16";"10";"46";"0.00311959181121791";"4";"10";"7";"39";"0.00107970476638977";"0.0106536525850301";"66";"intermediate filament, extracellular vesicular exosome"
"360";"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";"7";"47";"0.00292483153295277";"7";"7";"24";"23";"0.00300218212118003";"0.00598792450535109";"0";"cytosolic small ribosomal subunit, 90S preribosome, nucleus, plasma membrane, extracellular vesicular exosome"
"361";"P08962";"P08962";"CD63_HUMAN";"CD63 antigen";"CD63";"2";"2";"1.54268782803695E-4";"2";"0";"2";"0";"3.10099343749338E-4";"0";"0";"platelet dense granule membrane, endosome membrane, lysosomal membrane, late endosome membrane, integral component of plasma membrane, cell surface, extracellular vesicular exosome"
"362";"P08F94";"P08F94-2";"PKHD1_HUMAN";"Fibrocystin";"PKHD1";"1";"1";"6.75919924655365E-6";"0";"1";"0";"1";"0";"0";"1";"integral component of membrane, centrosome, perinuclear region of cytoplasm, apical plasma membrane, extracellular vesicular exosome, mitotic spindle, anchored component of external side of plasma membrane, ciliary basal body, primary cilium"
"363";"P08F94";"P08F94-1";"PKHD1_HUMAN";"Fibrocystin";"PKHD1";"1";"1";"6.75919924655365E-6";"0";"1";"0";"1";"0";"0";"1";"integral component of membrane, centrosome, perinuclear region of cytoplasm, apical plasma membrane, extracellular vesicular exosome, mitotic spindle, anchored component of external side of plasma membrane, ciliary basal body, primary cilium"
"364";"P09012";"P09012";"SNRPA_HUMAN";"U1 small nuclear ribonucleoprotein A";"SNRPA";"3";"9";"7.66167956493965E-4";"3";"1";"7";"2";"0.00109920320571574";"9.07820808448232E-4";"4";"nucleoplasm, U1 snRNP, spliceosomal complex"
"365";"P09234";"P09234";"RU1C_HUMAN";"U1 small nuclear ribonucleoprotein C";"SNRPC";"2";"5";"5.77295130617601E-4";"2";"1";"2";"3";"4.64173860454984E-4";"0.00144908755461737";"0";"commitment complex, U1 snRNP, U2-type prespliceosome, Cajal body"
"366";"P09327";"P09327";"VILI_HUMAN";"Villin-1";"VIL1";"2";"2";"4.4396578364304E-5";"0";"2";"0";"2";"0";"1.85735526952166E-4";"0";"cytoplasm, actin filament bundle, filopodium tip, lamellipodium, microvillus, extracellular vesicular exosome, ruffle"
"367";"P09382";"P09382";"LEG1_HUMAN";"Galectin-1";"LGALS1";"7";"24";"0.0032636418050915";"7";"3";"16";"8";"0.00437354926295363";"0.00455120831968714";"0";"nucleus, proteinaceous extracellular matrix, cell surface, cytoplasm, extracellular space"
"368";"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";"7";"16";"0.00136617563934063";"7";"0";"16";"0";"0.00274618209534298";"0";"0";"nucleoplasm, condensed chromosome, cell surface, extracellular space"
"369";"P09471";"P09471-2";"GNAO_HUMAN";"Guanine nucleotide-binding protein G(o) subunit alpha";"GNAO1";"1";"1";"6.55990584465372E-5";"1";"0";"1";"0";"0";"0";"4";"heterotrimeric G-protein complex, neuron projection"
"370";"P09493";"P09493-1";"TPM1_HUMAN";"Tropomyosin alpha-1 chain";"TPM1";"2";"3";"3.8942003659144E-4";"2";"0";"3";"0";"0";"0";"9";"filamentous actin, muscle thin filament tropomyosin, ruffle membrane, cytosol, bleb, stress fiber"
"371";"P09496";"P09496-2";"CLCA_HUMAN";"Clathrin light chain A";"CLTA";"2";"5";"3.70120668420155E-4";"0";"2";"0";"5";"0";"0";"0";"clathrin coat of coated pit, cytosol, clathrin coat of trans-Golgi network vesicle, clathrin complex, clathrin-coated endocytic vesicle membrane, plasma membrane, trans-Golgi network membrane"
"372";"P09622";"P09622";"DLDH_HUMAN";"Dihydrolipoyl dehydrogenase, mitochondrial";"DLD";"8";"25";"9.01669211868355E-4";"8";"2";"20";"5";"0.0014499733558417";"7.54436546117097E-4";"0";"nucleus, acrosomal matrix, mitochondrial matrix, cilium"
"373";"P09651";"P09651-1,P09651-2,P09651-3";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";"9";"48";"8.12312795535075E-4";"8";"4";"35";"13";"0";"0";"4";"extracellular vesicular exosome, intermediate filament cytoskeleton, nucleolus, catalytic step 2 spliceosome, cytoplasm, nucleoplasm"
"374";"P09661";"P09661";"RU2A_HUMAN";"U2 small nuclear ribonucleoprotein A'";"SNRPA1";"3";"8";"5.75936789133795E-4";"2";"2";"3";"5";"4.34139081249073E-4";"0.00150591451754354";"0";"catalytic step 2 spliceosome, U2 snRNP, nucleoplasm"
"375";"P09874";"P09874";"PARP1_HUMAN";"Poly [ADP-ribose] polymerase 1";"PARP1";"20";"37";"6.69867308367524E-4";"20";"0";"37";"0";"0.00134651618395299";"0";"0";"nuclear envelope, transcription factor complex, nucleoplasm, nucleolus"
"376";"P09972";"P09972";"ALDOC_HUMAN";"Fructose-bisphosphate aldolase C";"ALDOC";"4";"26";"0.00145642684833946";"4";"2";"19";"7";"0.00216696825067146";"0.00155900765758514";"29";"mitochondrion, cytoskeleton, axon, extracellular vesicular exosome, cytosol"
"377";"P0C0S5";"P0C0S5,Q71UI9-1";"H2AV_HUMAN, H2AZ_HUMAN";"Histone H2A.V, Histone H2A.Z";"H2AFV, H2AFZ";"1";"2";"5.3862838384811E-4";"1";"0";"2";"0";"0.00249169668004839";"0";"25";"nucleosome, nucleus"
"378";"P0C7U0";"P0C7U0";"ELFN1_HUMAN";"Protein ELFN1";"ELFN1";"2";"2";"4.55533130363268E-5";"0";"2";"0";"2";"0";"1.90574790061341E-4";"0";"integral component of membrane, excitatory synapse, dendrite"
"379";"P0CG38";"P0CG38";"POTEI_HUMAN";"POTE ankyrin domain family member I";"POTEI";"3";"3";"6.38205446903515E-5";"2";"1";"2";"1";"8.6737671091748E-5";"8.69928293390267E-5";"12";"extracellular space"
"380";"P0CG48";"P0CG48";"UBC_HUMAN";"Polyubiquitin-C";"UBC";"1";"1";"1.02733250251512E-4";"1";"0";"1";"0";"1.34678182139311E-4";"0";"17";"endocytic vesicle membrane, plasma membrane, cytosol, nucleoplasm, endosome membrane"
"381";"P10316";"P10316";"1A69_HUMAN";"HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";"1";"1";"0.00261026555492215";"1";"0";"1";"0";"0.00527647399370622";"0";"141";"plasma membrane, early endosome membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, Golgi membrane, extracellular vesicular exosome, ER to Golgi transport vesicle membrane"
"382";"P10319";"P10319";"1B58_HUMAN";"HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";"0";"0";"0";"0";"0";"0";"0";"0";"0";"74";"phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, cell surface"
"383";"P10321";"P10321";"1C07_HUMAN";"HLA class I histocompatibility antigen, Cw-7 alpha chain";"HLA-C";"0";"0";"0";"0";"0";"0";"0";"0";"0";"40";"integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, extracellular vesicular exosome, cell surface, MHC class I protein complex, Golgi membrane, ER to Golgi transport vesicle membrane, early endosome membrane"
"384";"P10412";"P10412";"H14_HUMAN";"Histone H1.4";"HIST1H1E";"1";"1";"3.18540381661328E-4";"0";"1";"0";"1";"0";"0.00157811589852165";"14";"nucleosome, nucleus"
"385";"P10515";"P10515";"ODP2_HUMAN";"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial";"DLAT";"2";"3";"8.51220331698905E-5";"0";"2";"0";"3";"0";"3.56112706621579E-4";"0";"mitochondrial pyruvate dehydrogenase complex"
"386";"P10586";"P10586-1,P10586-2";"PTPRF_HUMAN";"Receptor-type tyrosine-protein phosphatase F";"PTPRF";"13";"23";"1.1070625551487E-4";"13";"0";"23";"0";"0";"0";"0";"extracellular vesicular exosome, integral component of plasma membrane"
"387";"P10599";"P10599";"THIO_HUMAN";"Thioredoxin";"TXN";"1";"4";"6.99351815376751E-4";"1";"1";"2";"2";"7.02891845831833E-4";"0.00146288838847087";"0";"extracellular vesicular exosome, mitochondrion, nucleoplasm, cytosol"
"388";"P10620";"P10620";"MGST1_HUMAN";"Microsomal glutathione S-transferase 1";"MGST1";"2";"2";"2.368772277889E-4";"2";"0";"2";"0";"4.7615254072479E-4";"0";"0";"mitochondrial outer membrane, integral component of membrane, nucleus, apical part of cell, mitochondrial inner membrane, mitochondrion, peroxisomal membrane, endoplasmic reticulum membrane"
"389";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";"26";"119";"0.00381256585215205";"25";"8";"100";"19";"0.00644010853510842";"0.00254665125218096";"0";"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol"
"390";"P10826";"P10826-2";"RARB_HUMAN";"Retinoic acid receptor beta";"RARB";"2";"3";"1.21041660353668E-4";"2";"0";"3";"0";"0";"0";"0";"cytoplasm, nucleoplasm"
"391";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";"22";"65";"0.00207930092895402";"20";"8";"49";"16";"0.00308451096368068";"0.00224801656026486";"12";"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus"
"392";"P11142";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";"4";"11";"0.00249108611960346";"3";"3";"6";"5";"0";"0";"100";"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle"
"393";"P11142";"P11142-2";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";"1";"1";"2.22587201735628E-4";"0";"1";"0";"1";"0";"0";"97";"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle"
