"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5134"	"peptide.count.P5135"	"peptide.count.P5136"	"peptide.count.P5137"	"spectra.count.P5134"	"spectra.count.P5135"	"spectra.count.P5136"	"spectra.count.P5137"	"dNSAF.P5134"	"dNSAF.P5135"	"dNSAF.P5136"	"dNSAF.P5137"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"O00571-1,O00571-2,O15523"	"O00571-[1,2], O15523"	"DDX3X_HUMAN, DDX3Y_HUMAN, O15523"	"ATP-dependent RNA helicase DDX3X, ATP-dependent RNA helicase DDX3Y, ATP-dependent RNA helicase DDX3Y [Homo sapiens] "	"DDX3X, DDX3Y"	13	35	0.000384046435658654	13	0	6	0	25	0	10	0	0.00160273694344584	0	0.00141251374285723	0	4	"positive regulation of cell growth;positive regulation of translational initiation;negative regulation of intrinsic apoptotic signaling pathway;positive regulation of apoptotic process;cellular response to arsenic-containing substance;transcription;intrinsic apoptotic signaling pathway;negative regulation of translation;cellular response to osmotic stress;negative regulation of apoptotic process;positive regulation of interferon-beta production;positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of transcription from RNA polymerase II promoter;intracellular protein kinase cascade;stress granule assembly;negative regulation of cell growth;positive regulation of chemokine (C-C motif) ligand 5 production;mature ribosome assembly;innate immune response;negative regulation of protein complex assembly;positive regulation of G1/S transition of mitotic cell cycle;extrinsic apoptotic signaling pathway via death domain receptors;negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;modulation by virus of host morphology or physiology;RNA secondary structure unwinding;chromosome segregation;response to virus"	"cytoplasmic stress granule;nuclear speck;nucleus;mitochondrial outer membrane;cytoplasm"	"ATP binding;DNA binding;transcription factor binding;eukaryotic initiation factor 4E binding;ATP-dependent DNA helicase activity;poly(A) RNA binding;mRNA 5'-UTR binding;ATP-dependent RNA helicase activity;RNA stem-loop binding;ribosomal small subunit binding;RNA binding;ATP-dependent helicase activity"
"O15144"	"O15144"	"ARPC2_HUMAN"	"Actin-related protein 2/3 complex subunit 2"	"ARPC2"	11	32	0.0022328150281224	9	0	8	0	19	0	13	0	0.0026009592232814	0	0.00381535656542882	0	0	"positive regulation of actin filament polymerization;positive regulation of substrate adhesion-dependent cell spreading;innate immune response;cellular component movement;Fc-gamma receptor signaling pathway involved in phagocytosis"	"Golgi apparatus;Arp2/3 protein complex;cell projection;focal adhesion;cell leading edge;plasma membrane;cytosol;endosome"	"structural constituent of cytoskeleton"
"P00505"	"P00505"	"AATM_HUMAN"	"Aspartate aminotransferase, mitochondrial"	"GOT2"	11	19	0.000924930643916982	11	0	0	0	19	0	0	0	0.00181462271391725	0	0	0	0	"cellular nitrogen compound metabolic process;2-oxoglutarate metabolic process;gluconeogenesis;cellular amino acid biosynthetic process;aspartate biosynthetic process;fatty acid transport;glutamate catabolic process to 2-oxoglutarate;oxaloacetate metabolic process;4-hydroxyproline catabolic process;glutamate catabolic process to aspartate;glutamate metabolic process;aspartate catabolic process;response to ethanol"	"plasma membrane;mitochondrial inner membrane;mitochondrial matrix"	"pyridoxal phosphate binding;L-phenylalanine:2-oxoglutarate aminotransferase activity;L-aspartate:2-oxoglutarate aminotransferase activity;kynurenine-oxoglutarate transaminase activity"
"P04040"	"P04040"	"CATA_HUMAN"	"Catalase"	"CAT"	11	22	0.000873848386243349	11	0	2	0	19	0	3	0	0.00148062194873704	0	0.000501214553917083	0	0	"response to vitamin E;response to hyperoxia;triglyceride metabolic process;positive regulation of phosphatidylinositol 3-kinase cascade;aerobic respiration;hydrogen peroxide catabolic process;negative regulation of NF-kappaB transcription factor activity;purine nucleotide catabolic process;hemoglobin metabolic process;UV protection;cellular response to growth factor stimulus;response to hypoxia;positive regulation of NF-kappaB transcription factor activity;purine nucleobase metabolic process;protein homotetramerization;positive regulation of cell division;menopause;negative regulation of apoptotic process;cholesterol metabolic process"	"Golgi apparatus;plasma membrane;peroxisomal membrane;cytosol;mitochondrial intermembrane space;lysosome;endoplasmic reticulum;peroxisomal matrix"	"NADP binding;metal ion binding;protein homodimerization activity;catalase activity;heme binding;aminoacylase activity"
"P04844-1,P04844-2"	"P04844-[1,2]"	"RPN2_HUMAN"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2"	"RPN2"	11	21	0.00034832445218827	11	0	2	0	17	0	4	0	0	0	0	0	0	"response to drug;translation;aging;SRP-dependent cotranslational protein targeting to membrane;protein N-linked glycosylation via asparagine;post-translational protein modification"	"integral to membrane;nucleus;oligosaccharyltransferase complex;autophagic vacuole membrane;rough endoplasmic reticulum"	"ribosome binding;dolichyl-diphosphooligosaccharide-protein glycotransferase activity"
"P08238"	"P08238"	"HS90B_HUMAN"	"Heat shock protein HSP 90-beta"	"HSP90AB1"	16	57	0.00263610728610326	15	0	10	0	37	0	20	0	0.00312431926996393	0	0.0043249043045882	0	62	"nucleotide-binding domain;positive regulation of cell size;placenta development;negative regulation of neuron apoptotic process;cellular response to organic cyclic compound;protein folding;innate immune response;regulation of type I interferon-mediated signaling pathway;positive regulation of nitric oxide biosynthetic process;positive regulation of protein serine/threonine kinase activity;negative regulation of proteasomal ubiquitin-dependent protein catabolic process;positive regulation of protein binding;positive regulation of protein import into nucleus;axon guidance;response to salt stress;response to unfolded protein;regulation of interferon-gamma-mediated signaling pathway;Fc-gamma receptor signaling pathway involved in phagocytosis;cellular response to interleukin-4"	"mitochondrion;melanosome;cytosol;apical plasma membrane;brush border membrane;basolateral plasma membrane;cell surface;inclusion body"	"TPR domain binding;ATP binding;dATP binding;GTP binding;CTP binding;nitric-oxide synthase regulator activity;UTP binding"
"P08648"	"P08648"	"ITA5_HUMAN"	"Integrin alpha-5"	"ITGA5"	11	22	0.000439006767922064	11	0	0	0	22	0	0	0	0.000861287987238835	0	0	0	0	"angiogenesis;modulation by virus of host morphology or physiology;memory;cell-substrate junction assembly;cell-cell adhesion mediated by integrin;cell adhesion;negative regulation of anoikis;wound healing;axon guidance;extracellular matrix organization;heterophilic cell-cell adhesion;blood coagulation;positive regulation of vascular endothelial growth factor receptor signaling pathway;leukocyte cell-cell adhesion;positive regulation of peptidyl-tyrosine phosphorylation;leukocyte migration;integrin-mediated signaling pathway"	"alphav-beta3 integrin-vitronectin complex;ruffle;integrin complex;synapse;external side of plasma membrane"	"metal ion binding;platelet-derived growth factor receptor binding;vascular endothelial growth factor receptor 2 binding"
"P14314-1,P14314-2"	"P14314-[1,2]"	"GLU2B_HUMAN"	"Glucosidase 2 subunit beta"	"PRKCSH"	11	31	0.000614499874572038	10	0	6	0	20	0	11	0	0	0	0	0	0	"innate immune response;negative regulation of neuron projection development;N-glycan processing;post-translational protein modification;protein folding;protein N-linked glycosylation via asparagine;in utero embryonic development;renal system development;nitrogen compound metabolic process;protein heterooligomerization;intracellular protein kinase cascade;liver development"	"endoplasmic reticulum lumen"	"calcium ion binding;RNA binding"
"P18124"	"P18124"	"RL7_HUMAN"	"60S ribosomal protein L7"	"RPL7"	11	32	0.00270098592111581	8	0	9	1	15	0	16	1	0.00248393813768385	0	0.00568043161106028	0.00285671523369955	0	"translational elongation;SRP-dependent cotranslational protein targeting to membrane;ribosomal large subunit biogenesis;viral transcription;rRNA processing;nuclear-transcribed mRNA catabolic process;translational termination;translational initiation"	"cytosolic large ribosomal subunit"	"mRNA binding;structural constituent of ribosome;DNA binding"
"P25788-1,P25788-2"	"P25788-[1,2]"	"PSA3_HUMAN"	"Proteasome subunit alpha type-3"	"PSMA3"	11	31	0.00127237621087857	10	0	8	0	16	0	15	0	0	0	0	0	0	"small molecule metabolic process;protein polyubiquitination;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;DNA damage response;negative regulation of apoptotic process;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;G1/S transition of mitotic cell cycle;apoptotic process;viral process;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;modulation by virus of host morphology or physiology;antigen processing and presentation of exogenous peptide antigen via MHC class I;mRNA metabolic process;regulation of cellular amino acid metabolic process;gene expression"	"proteasome core complex;nucleoplasm;proteasome core complex;cytosol"	"threonine-type endopeptidase activity"
"P27708"	"P27708"	"PYR1_HUMAN"	"CAD protein"	"CAD"	11	24	0.000225790283742715	6	0	8	0	12	0	12	0	0.000221489135513023	0	0.000474858552654927	0	0	"response to caffeine;organ regeneration;response to cortisol stimulus;glutamine metabolic process;carbamoyl phosphate biosynthetic process;response to amine stimulus;cellular response to drug;'de novo' pyrimidine nucleobase biosynthetic process;protein autophosphorylation;lactation;response to testosterone stimulus;embryo development;peptidyl-threonine phosphorylation;cellular response to epidermal growth factor stimulus;female pregnancy;UTP biosynthetic process;'de novo' UMP biosynthetic process;pyrimidine nucleoside biosynthetic process;drug metabolic process;glutamine catabolic process"	"cytosol;neuronal cell body;protein complex;nuclear matrix;terminal bouton"	"aspartate binding;carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity;aspartate carbamoyltransferase activity;dihydroorotase activity;identical protein binding;metal ion binding;ATP binding;protein kinase activity"
"P27797"	"P27797"	"CALR_HUMAN"	"Calreticulin"	"CALR"	11	29	0.0014557472080834	10	0	5	0	20	0	9	0	0.00196967756401469	0	0.00190028827276477	0	0	"positive regulation of phagocytosis;negative regulation of transcription from RNA polymerase II promoter;cellular senescence;response to testosterone stimulus;positive regulation of gene expression;protein N-linked glycosylation via asparagine;protein export from nucleus;antigen processing and presentation of exogenous peptide antigen via MHC class I;protein maturation by protein folding;cellular response to lithium ion;regulation of apoptotic process;protein localization to nucleus;response to drug;negative regulation of intracellular steroid hormone receptor signaling pathway;cardiac muscle cell differentiation;positive regulation of dendritic cell chemotaxis;cell cycle arrest;activation of signaling protein activity involved in unfolded protein response;sequestering of calcium ion;protein stabilization;glucocorticoid receptor signaling pathway;peptide antigen assembly with MHC class I protein complex;negative regulation of neuron differentiation;positive regulation of cell proliferation;spermatogenesis;negative regulation of retinoic acid receptor signaling pathway;negative regulation of translation;positive regulation of substrate adhesion-dependent cell spreading;response to estradiol stimulus;cortical actin cytoskeleton organization;positive regulation of cell cycle;positive regulation of DNA replication;regulation of meiosis;post-translational protein modification"	"endocytic vesicle lumen;nucleus;external side of plasma membrane;proteinaceous extracellular matrix;polysome;perinuclear region of cytoplasm;extracellular space;sarcoplasmic reticulum lumen;cytosol;integral to lumenal side of endoplasmic reticulum membrane;endoplasmic reticulum lumen;acrosomal vesicle;cell surface;MHC class I peptide loading complex;Golgi apparatus"	"hormone binding;DNA binding;unfolded protein binding;peptide binding;iron ion binding;androgen receptor binding;zinc ion binding;calcium ion binding;chaperone binding;complement component C1q binding;mRNA binding;protein binding involved in protein folding;carbohydrate binding"
"P51572-1,P51572-2"	"P51572-[1,2]"	"BAP31_HUMAN"	"B-cell receptor-associated protein 31"	"BCAP31"	11	39	0.00165929470458791	11	0	9	0	23	0	16	0	0	0	0	0	0	"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;calcium-mediated signaling using intracellular calcium source;spermatogenesis;elevation of cytosolic calcium ion concentration;antigen processing and presentation of peptide antigen via MHC class I;cellular component disassembly involved in execution phase of apoptosis;elevation of mitochondrial calcium ion concentration;immune response;positive regulation of intrinsic apoptotic signaling pathway;vesicle-mediated transport;intracellular protein transport;reduction of endoplasmic reticulum calcium ion concentration"	"Golgi membrane;integral to plasma membrane;cytosol;integral to lumenal side of endoplasmic reticulum membrane;lipid particle;endoplasmic reticulum-Golgi intermediate compartment membrane"	"receptor binding"
"P61221"	"P61221"	"ABCE1_HUMAN"	"ATP-binding cassette sub-family E member 1"	"ABCE1"	11	27	0.000943541409004144	11	0	4	0	20	0	7	0	0.00137121125908869	0	0.00102892626010023	0	0	"response to virus;ATP catabolic process;modulation by virus of host morphology or physiology;RNA catabolic process"	"mitochondrion"	"ribonuclease inhibitor activity;ATP binding;iron-sulfur cluster binding;ATPase activity;electron carrier activity"
"P62269"	"P62269"	"RS18_HUMAN"	"40S ribosomal protein S18"	"RPS18"	11	34	0.00468230125140799	10	0	7	0	19	0	15	0	0.00513347215121329	0	0.00868881808928628	0	0	"translational elongation;ribosome biogenesis;nuclear-transcribed mRNA catabolic process;translational termination;SRP-dependent cotranslational protein targeting to membrane;viral transcription;translational initiation"	"cytosolic small ribosomal subunit"	"rRNA binding;structural constituent of ribosome"
"P62280"	"P62280"	"RS11_HUMAN"	"40S ribosomal protein S11"	"RPS11"	11	30	0.00397455206746471	11	0	5	0	22	0	8	0	0.00571829809249075	0	0.00445806025171819	0	0	"nuclear-transcribed mRNA catabolic process;translational elongation;SRP-dependent cotranslational protein targeting to membrane;viral transcription;translational termination;translational initiation"	"cytosolic small ribosomal subunit"	"rRNA binding;structural constituent of ribosome"
"P98172"	"P98172"	"EFNB1_HUMAN"	"Ephrin-B1"	"EFNB1"	11	19	0.00114948028001243	11	0	0	0	19	0	0	0	0.00225516695660237	0	0	0	0	"neural crest cell migration;embryonic pattern specification;axon guidance;positive regulation of T cell proliferation;cell-cell signaling;cell adhesion"	"synapse;cytoplasm;membrane raft;integral to plasma membrane;nucleus"	"ephrin receptor binding"
"Q01813"	"Q01813"	"K6PP_HUMAN"	"6-phosphofructokinase type C"	"PFKP"	11	19	0.000602414170982282	8	0	5	0	12	0	7	0	0.000776491585897808	0	0.000890948648520466	0	6	"fructose 6-phosphate metabolic process;small molecule metabolic process;glycolysis"	"6-phosphofructokinase complex"	"metal ion binding;6-phosphofructokinase activity;ATP binding"
"Q06830"	"Q06830"	"PRDX1_HUMAN"	"Peroxiredoxin-1"	"PRDX1"	11	66	0.00779654530749804	11	0	9	0	37	0	29	0	0.00879461348222257	0	0.0139149165809126	0	10	"hydrogen peroxide catabolic process;regulation of NF-kappaB import into nucleus;cell proliferation;removal of superoxide radicals;natural killer cell mediated cytotoxicity;skeletal system development;regulation of stress-activated MAPK cascade;erythrocyte homeostasis"	"cytosol;peroxisomal matrix;mitochondrial matrix;mitochondrion;nuclear euchromatin;melanosome;nucleolus;nucleus"	"thioredoxin peroxidase activity;heme binding"
"Q15758-1"	"Q15758-1"	"AAAT_HUMAN"	"Neutral amino acid transporter B(0)"	"SLC1A5"	11	23	0.00088992743149518	11	0	1	0	22	0	1	0	0	0	0	0	0	"response to virus"	"integral to plasma membrane;Golgi apparatus;melanosome"	"sodium:dicarboxylate symporter activity;virus receptor activity;receptor activity;L-glutamine transmembrane transporter activity"
"Q9UNM6-1,Q9UNM6-2"	"Q9UNM6-[1,2]"	"PSD13_HUMAN"	"26S proteasome non-ATPase regulatory subunit 13"	"PSMD13"	11	17	0.00047321129668485	7	0	5	0	9	0	8	0	0	0	0	0	0	"positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;gene expression;DNA damage response;mRNA metabolic process;meiosis I;small molecule metabolic process;regulation of cellular amino acid metabolic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;negative regulation of apoptotic process;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;protein polyubiquitination;G1/S transition of mitotic cell cycle;viral process;apoptotic process"	"cytosol;proteasome regulatory particle;nucleoplasm"	""
"Q9UQ35-1"	"Q9UQ35-1"	"SRRM2_HUMAN"	"Serine/arginine repetitive matrix protein 2"	"SRRM2"	11	19	0.000144520413112028	5	0	8	0	7	0	12	0	0	0	0	0	0	"mRNA splicing"	"Cajal body;nuclear speck;catalytic step 2 spliceosome"	"RNA binding;C2H2 zinc finger domain binding"
"Q9Y3I0"	"Q9Y3I0"	"RTCB_HUMAN"	"tRNA-splicing ligase RtcB homolog"	"C22orf28"	11	31	0.0012849739951447	11	0	6	0	20	0	11	0	0.00162644662216659	0	0.00191784869244708	0	0	"in utero embryonic development;tRNA splicing;placenta development;cell-matrix adhesion;substrate adhesion-dependent cell spreading"	"cytoplasm;tRNA-splicing ligase complex"	"ATP binding;metal ion binding;RNA ligase (ATP) activity"
"O43242"	"O43242"	"PSMD3_HUMAN"	"26S proteasome non-ATPase regulatory subunit 3"	"PSMD3"	10	22	0.000862393444850646	6	0	8	0	9	0	13	0	0.000692153548478196	0	0.00214345874462293	0	0	"gene expression;DNA damage response;regulation of cellular amino acid metabolic process;viral process;protein polyubiquitination;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;mRNA metabolic process;regulation of protein catabolic process;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;apoptotic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;small molecule metabolic process;G1/S transition of mitotic cell cycle;negative regulation of apoptotic process"	"nucleoplasm;proteasome accessory complex;cytosol"	"enzyme regulator activity"
"O60488-1,O60488-2"	"O60488-[1,2]"	"ACSL4_HUMAN"	"Long-chain-fatty-acid--CoA ligase 4"	"ACSL4"	10	19	0.000343256769462862	9	0	3	0	14	0	5	0	0	0	0	0	5	"embryonic process involved in female pregnancy;dendritic spine development;triglyceride biosynthetic process;long-chain fatty-acyl-CoA biosynthetic process;response to nutrient;fatty acid transport;lipid biosynthetic process;response to interleukin-15;negative regulation of prostaglandin secretion;positive regulation of cell growth"	"mitochondrial outer membrane;lipid particle;integral to membrane;peroxisomal membrane;neuronal cell body;endoplasmic reticulum membrane"	"long-chain fatty acid-CoA ligase activity;arachidonate-CoA ligase activity;very long-chain fatty acid-CoA ligase activity;ATP binding"
"P05198"	"P05198"	"IF2A_HUMAN"	"Eukaryotic translation initiation factor 2 subunit 1"	"EIF2S1"	10	23	0.00152841504901236	7	0	9	0	11	0	12	0	0.00143411285494212	0	0.0033541596179594	0	0	"protein autophosphorylation;activation of signaling protein activity involved in unfolded protein response;regulation of translational initiation in response to stress"	"cytosol;eukaryotic translation initiation factor 2 complex;nucleus;cytoplasmic stress granule;polysome"	"translation initiation factor activity;ribosome binding"
"P07900-1,P07900-2"	"P07900-[1,2]"	"HS90A_HUMAN"	"Heat shock protein HSP 90-alpha"	"HSP90AA1"	13	44	0.000977943808220912	12	0	11	0	23	0	21	0	0	0	0	0	56	"positive regulation of cardiac muscle contraction;response to unfolded protein;G2/M transition of mitotic cell cycle;chaperone-mediated protein complex assembly;neuron migration;positive regulation of lamellipodium assembly;skeletal muscle contraction;response to salt stress;positive regulation of protein import into nucleus;protein refolding;axon guidance;innate immune response;regulation of nitric-oxide synthase activity;Fc-gamma receptor signaling pathway involved in phagocytosis;protein import into mitochondrial outer membrane;cardiac muscle cell apoptotic process;response to heat;positive regulation of nitric oxide biosynthetic process;response to estrogen stimulus;positive regulation of cell size;nitric oxide metabolic process"	"apical plasma membrane;melanosome;extracellular region;brush border membrane;endocytic vesicle lumen;plasma membrane;basolateral plasma membrane;cell surface;neuron projection;protein complex;neuronal cell body;perinuclear region of cytoplasm;extracellular matrix;cytosol"	"TPR domain binding;GTP binding;ATPase activity;CTP binding;ATP binding;dATP binding;UTP binding;nitric-oxide synthase regulator activity;protein homodimerization activity;mRNA binding"
"P07954-1,P07954-2"	"P07954-[1,2]"	"FUMH_HUMAN"	"Fumarate hydratase, mitochondrial"	"FH"	10	15	0.000307832954244816	10	0	0	0	15	0	0	0	0	0	0	0	0	"tricarboxylic acid cycle;homeostasis of number of cells within a tissue;fumarate metabolic process"	"tricarboxylic acid cycle enzyme complex;mitochondrial matrix"	"fumarate hydratase activity"
"P08779"	"P08779"	"K1C16_HUMAN"	"Keratin, type I cytoskeletal 16"	"KRT16"	10	52	0.00466968924639447	4	4	10	4	8	9	26	9	0.00133429608343363	0.0269001975579508	0.00877814736466452	0.0327740904739405	129	"cell proliferation;intermediate filament cytoskeleton organization;cytoskeleton organization;epidermis development"	"intermediate filament"	"structural constituent of cytoskeleton"
"P12270"	"P12270"	"TPR_HUMAN"	"Nucleoprotein TPR"	"TPR"	10	15	0.000132877534206395	4	0	8	0	5	0	10	0	8.68975395888834e-05	0	0.000372605543679367	0	0	"MAPK import into nucleus;glucose transport;positive regulation of protein export from nucleus;RNA import into nucleus;mRNA export from nucleus in response to heat stress;cellular response to interferon-alpha;negative regulation of RNA export from nucleus;regulation of spindle assembly involved in mitosis;negative regulation of translational initiation;positive regulation of heterochromatin assembly;cell division;mitotic nuclear envelope disassembly;small molecule metabolic process;negative regulation of transcription from RNA polymerase II promoter;carbohydrate metabolic process;nuclear pore organization;regulation of mitotic sister chromatid separation;mitotic spindle assembly checkpoint;mitosis;cytokine-mediated signaling pathway;seryl-tRNA aminoacylation;positive regulation of protein import into nucleus;positive regulation of mitotic cell cycle spindle assembly checkpoint;viral process;response to epidermal growth factor stimulus;transmembrane transport;regulation of glucose transport"	"nuclear membrane;cytoplasmic dynein complex;nucleoplasm;nuclear periphery;nuclear pore nuclear basket;kinetochore;extrinsic to membrane;nuclear inclusion body;mitotic spindle"	"heat shock protein binding;chromatin binding;mitogen-activated protein kinase binding;dynein complex binding;tubulin binding;mRNA binding;serine-tRNA ligase activity;nucleocytoplasmic transporter activity;protein homodimerization activity;ATP binding"
"P14923"	"P14923"	"PLAK_HUMAN"	"Junction plakoglobin"	"JUP"	10	22	0.000618145100067443	10	0	2	0	19	0	3	0	0.00104736613018043	0	0.000354550429415172	0	0	"nervous system development;negative regulation of Wnt receptor signaling pathway involved in heart development;endothelial cell-cell adhesion;detection of mechanical stimulus;adherens junction organization;cellular response to indole-3-methanol;oocyte development;positive regulation of sequence-specific DNA binding transcription factor activity;protein heterooligomerization;atrioventricular valve morphogenesis;positive regulation of protein import into nucleus;positive regulation of canonical Wnt receptor signaling pathway;negative regulation of heart induction by canonical Wnt receptor signaling pathway;bundle of His cell to Purkinje myocyte communication;morphogenesis of embryonic epithelium;ectoderm development;desmosome assembly;cell morphogenesis;cytoskeletal anchoring at plasma membrane;regulation of heart rate by cardiac conduction;regulation of ventricular cardiac muscle cell action potential;cell migration;regulation of cell proliferation;gastrulation;skin development"	"apicolateral plasma membrane;zonula adherens;basolateral plasma membrane;internal side of plasma membrane;catenin complex;actin cytoskeleton;desmosome;protein-DNA complex;fascia adherens;intermediate filament;Z disc;cytosol;lateral plasma membrane;gamma-catenin-TCF7L2 complex"	"transcription coactivator activity;structural constituent of cell wall;protein homodimerization activity;protein kinase binding"
"P15880"	"P15880"	"RS2_HUMAN"	"40S ribosomal protein S2"	"RPS2"	10	36	0.00257192857334918	9	0	8	0	20	0	16	0	0.00280326124298336	0	0.00480801037386672	0	0	"translational initiation;translational elongation;translational termination;viral transcription;SRP-dependent cotranslational protein targeting to membrane;nuclear-transcribed mRNA catabolic process"	"nucleoplasm;cytosolic small ribosomal subunit"	"RNA binding;structural constituent of ribosome"
"P25786-1,P25786-2"	"P25786-[1,2]"	"PSA1_HUMAN"	"Proteasome subunit alpha type-1"	"PSMA1"	10	29	0.0011540809615414	9	0	7	0	17	0	12	0	0	0	0	0	0	"G1/S transition of mitotic cell cycle;viral process;protein polyubiquitination;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;negative regulation of apoptotic process;apoptotic process;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;negative regulation of inflammatory response to antigenic stimulus;DNA damage response;regulation of cellular amino acid metabolic process;mRNA metabolic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;small molecule metabolic process;gene expression"	"centrosome;proteasome core complex;proteasome core complex;nucleoplasm;cytosol;polysome"	"threonine-type endopeptidase activity;lipopolysaccharide binding;RNA binding"
"P33992"	"P33992"	"MCM5_HUMAN"	"DNA replication licensing factor MCM5"	"MCM5"	10	20	0.000570371686339169	9	0	4	0	16	0	4	0	0.000895210402391418	0	0.00047981847395877	0	0	"G1/S transition of mitotic cell cycle;DNA duplex unwinding;DNA replication initiation;DNA strand elongation involved in DNA replication"	"MCM complex;nucleoplasm"	"DNA binding;ATP binding;DNA helicase activity"
"P35998"	"P35998"	"PRS7_HUMAN"	"26S protease regulatory subunit 7"	"PSMC2"	10	22	0.00106355219295669	6	0	7	0	11	0	11	0	0.00104329226167845	0	0.00223675193922812	0	0	"mRNA metabolic process;modulation by virus of host morphology or physiology;gene expression;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;negative regulation of apoptotic process;regulation of cellular amino acid metabolic process;G1/S transition of mitotic cell cycle;DNA damage response;protein polyubiquitination;viral process;apoptotic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process"	"cytoplasmic mRNA processing body;cytosol;nucleoplasm;mitochondrion;proteasome accessory complex"	"ATP binding;ATPase activity"
"P36578"	"P36578"	"RL4_HUMAN"	"60S ribosomal protein L4"	"RPL4"	10	24	0.00117654187664529	9	0	6	0	15	0	9	0	0.00144266196287024	0	0.00185578503452672	0	0	"nuclear-transcribed mRNA catabolic process;SRP-dependent cotranslational protein targeting to membrane;translational elongation;translational initiation;viral transcription;translational termination"	"nucleolus;cytosolic large ribosomal subunit"	"RNA binding;structural constituent of ribosome"
"P40939"	"P40939"	"ECHA_HUMAN"	"Trifunctional enzyme subunit alpha, mitochondrial"	"HADHA"	10	24	0.000658431692434521	9	0	4	0	16	0	8	0	0.00086118536743814	0	0.000923163197603505	0	0	"response to insulin stimulus;response to drug;cardiolipin acyl-chain remodeling;fatty acid beta-oxidation;glycerophospholipid biosynthetic process"	"mitochondrial nucleoid;mitochondrial inner membrane;mitochondrial fatty acid beta-oxidation multienzyme complex;nucleolus"	"long-chain-3-hydroxyacyl-CoA dehydrogenase activity;fatty-acyl-CoA binding;acetyl-CoA C-acetyltransferase activity;3-hydroxyacyl-CoA dehydrogenase activity;enoyl-CoA hydratase activity;NAD binding;long-chain-enoyl-CoA hydratase activity"
"P46777"	"P46777"	"RL5_HUMAN"	"60S ribosomal protein L5"	"RPL5"	10	32	0.00225536871527515	9	0	5	0	22	0	10	0	0.00304205757108935	0	0.00296453501587321	0	0	"rRNA processing;viral transcription;translational elongation;ribosomal large subunit biogenesis;translational termination;nuclear-transcribed mRNA catabolic process;SRP-dependent cotranslational protein targeting to membrane;translational initiation"	"nucleus;nucleolus;cytosolic large ribosomal subunit"	"5S rRNA binding;structural constituent of ribosome;RNA binding"
"P60228"	"P60228"	"EIF3E_HUMAN"	"Eukaryotic translation initiation factor 3 subunit E"	"EIF3E"	10	24	0.00112895141871357	8	0	7	0	13	0	11	0	0.00119973281736221	0	0.00217643503300175	0	0	"formation of translation preinitiation complex;negative regulation of translational initiation;nuclear-transcribed mRNA catabolic process"	"cytosol;eukaryotic 48S preinitiation complex;PML body;eukaryotic 43S preinitiation complex;eukaryotic translation initiation factor 3 complex;nucleoplasm"	"translation initiation factor activity"
"P62701"	"P62701"	"RS4X_HUMAN"	"40S ribosomal protein S4, X isoform"	"RPS4X"	18	63	0.00501428279842126	16	0	13	0	41	0	22	0	0.00640220100987817	0	0.00736512235502492	0	0	"viral transcription;multicellular organismal development;translational initiation;translational termination;translational elongation;SRP-dependent cotranslational protein targeting to membrane;positive regulation of translation;nuclear-transcribed mRNA catabolic process;positive regulation of cell proliferation"	"cytosolic small ribosomal subunit;polysome"	"structural constituent of ribosome;rRNA binding"
