"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5134";"Peptide.Count.P5136";"Spectra.Count.P5134";"Spectra.Count.P5136";"DNSAF.P5134";"DNSAF.P5136";"Unspecific.Spectra.Count";"Go.Cc"
"332";332;"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";4;76;"0.0130723150971562";4;2;65;11;"0.0190168369946637";"0.0139313590540879";284;"extracellular vesicular exosome, cytosol, cell body, plasma membrane, microtubule, nuclear envelope lumen"
"336";336;"P07900";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";12;35;"8.02855282478809E-4";11;7;22;13;"0";"0";60;"extracellular vesicular exosome, mitochondrion, apical plasma membrane, basolateral plasma membrane, neuron projection, cell surface, extracellular matrix, perinuclear region of cytoplasm, neuronal cell body, brush border membrane, cytosol, protein complex, endocytic vesicle lumen, melanosome, plasma membrane"
"338";338;"P07948";"P07948-1";"LYN_HUMAN";"Tyrosine-protein kinase Lyn";"LYN";7;12;"5.63978486210374E-4";7;0;12;0;"0";"0";5;"mitochondrial intermembrane space, Golgi apparatus, perinuclear region of cytoplasm, mast cell granule, nucleus, cytosol, plasma membrane, mitochondrial crista, postsynaptic density, membrane raft, alpha2-beta1 integrin complex"
"341";341;"P08183";"P08183";"MDR1_HUMAN";"Multidrug resistance protein 1";"ABCB1";3;3;"6.45397915557646E-5";0;3;0;3;"0";"2.70005767012689E-4";2;"cell surface, integral component of membrane, apical plasma membrane, extracellular vesicular exosome, intercellular canaliculus, Golgi membrane"
"342";342;"P08195";"P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";24;96;"0.002797407261507";23;6;84;12;"0";"0";0;"apical plasma membrane, melanosome, extracellular vesicular exosome, integral component of membrane, plasma membrane"
"343";343;"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";12;44;"0.00224122222673646";11;7;24;20;"0.00235085103274525";"0.00456492740331636";75;"basolateral plasma membrane, extracellular vesicular exosome, brush border membrane, apical plasma membrane, mitochondrion, melanosome, cell surface, cytosol, inclusion body"
"348";348;"P08575";"P08575-2";"PTPRC_HUMAN";"Receptor-type tyrosine-protein phosphatase C";"PTPRC";48;242;"0.00340692669262332";47;6;232;10;"0";"0";0;"integral component of plasma membrane, membrane raft, extracellular vesicular exosome, focal adhesion, external side of plasma membrane"
"352";352;"P08631";"P08631-1";"HCK_HUMAN";"Tyrosine-protein kinase HCK";"HCK";1;1;"4.57473043313865E-5";1;0;1;0;"0";"0";5;"Golgi apparatus, cell projection, cytosol, lysosome, focal adhesion, extrinsic component of cytoplasmic side of plasma membrane, caveola, nucleus, cytoskeleton, transport vesicle"
"353";353;"P08648";"P08648";"ITA5_HUMAN";"Integrin alpha-5";"ITGA5";13;33;"5.77515262221268E-4";13;0;33;0;"0.00116087714290148";"0";0;"synapse, alphav-beta3 integrin-vitronectin complex, ruffle, cytoplasm, external side of plasma membrane, integrin complex"
"360";360;"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";7;47;"0.00292483153295277";7;7;24;23;"0.00300218212118003";"0.00598792450535109";0;"cytosolic small ribosomal subunit, 90S preribosome, nucleus, plasma membrane, extracellular vesicular exosome"
"361";361;"P08962";"P08962";"CD63_HUMAN";"CD63 antigen";"CD63";2;2;"1.54268782803695E-4";2;0;2;0;"3.10099343749338E-4";"0";0;"platelet dense granule membrane, endosome membrane, lysosomal membrane, late endosome membrane, integral component of plasma membrane, cell surface, extracellular vesicular exosome"
"362";362;"P08F94";"P08F94-2";"PKHD1_HUMAN";"Fibrocystin";"PKHD1";1;1;"6.75919924655365E-6";0;1;0;1;"0";"0";1;"integral component of membrane, centrosome, perinuclear region of cytoplasm, apical plasma membrane, extracellular vesicular exosome, mitotic spindle, anchored component of external side of plasma membrane, ciliary basal body, primary cilium"
"363";363;"P08F94";"P08F94-1";"PKHD1_HUMAN";"Fibrocystin";"PKHD1";1;1;"6.75919924655365E-6";0;1;0;1;"0";"0";1;"integral component of membrane, centrosome, perinuclear region of cytoplasm, apical plasma membrane, extracellular vesicular exosome, mitotic spindle, anchored component of external side of plasma membrane, ciliary basal body, primary cilium"
"367";367;"P09382";"P09382";"LEG1_HUMAN";"Galectin-1";"LGALS1";7;24;"0.0032636418050915";7;3;16;8;"0.00437354926295363";"0.00455120831968714";0;"nucleus, proteinaceous extracellular matrix, cell surface, cytoplasm, extracellular space"
"368";368;"P09429";"P09429";"HMGB1_HUMAN";"High mobility group protein B1";"HMGB1";7;16;"0.00136617563934063";7;0;16;0;"0.00274618209534298";"0";0;"nucleoplasm, condensed chromosome, cell surface, extracellular space"
"371";371;"P09496";"P09496-2";"CLCA_HUMAN";"Clathrin light chain A";"CLTA";2;5;"3.70120668420155E-4";0;2;0;5;"0";"0";0;"clathrin coat of coated pit, cytosol, clathrin coat of trans-Golgi network vesicle, clathrin complex, clathrin-coated endocytic vesicle membrane, plasma membrane, trans-Golgi network membrane"
"380";380;"P0CG48";"P0CG48";"UBC_HUMAN";"Polyubiquitin-C";"UBC";1;1;"1.02733250251512E-4";1;0;1;0;"1.34678182139311E-4";"0";17;"endocytic vesicle membrane, plasma membrane, cytosol, nucleoplasm, endosome membrane"
"381";381;"P10316";"P10316";"1A69_HUMAN";"HLA class I histocompatibility antigen, A-69 alpha chain";"HLA-A";1;1;"0.00261026555492215";1;0;1;0;"0.00527647399370622";"0";141;"plasma membrane, early endosome membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, Golgi membrane, extracellular vesicular exosome, ER to Golgi transport vesicle membrane"
"382";382;"P10319";"P10319";"1B58_HUMAN";"HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";74;"phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, cell surface"
"383";383;"P10321";"P10321";"1C07_HUMAN";"HLA class I histocompatibility antigen, Cw-7 alpha chain";"HLA-C";0;0;"0";0;0;0;0;"0";"0";40;"integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, extracellular vesicular exosome, cell surface, MHC class I protein complex, Golgi membrane, ER to Golgi transport vesicle membrane, early endosome membrane"
"386";386;"P10586";"P10586-1,P10586-2";"PTPRF_HUMAN";"Receptor-type tyrosine-protein phosphatase F";"PTPRF";13;23;"1.1070625551487E-4";13;0;23;0;"0";"0";0;"extracellular vesicular exosome, integral component of plasma membrane"
"389";389;"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";26;119;"0.00381256585215205";25;8;100;19;"0.00644010853510842";"0.00254665125218096";0;"coated vesicle, mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, cell surface, early endosome, plasma membrane, secretory granule, lipopolysaccharide receptor complex, coated pit, extracellular space, cytosol"
"391";391;"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";22;65;"0.00207930092895402";20;8;49;16;"0.00308451096368068";"0.00224801656026486";12;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus"
"392";392;"P11142";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";4;11;"0.00249108611960346";3;3;6;5;"0";"0";100;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle"
"393";393;"P11142";"P11142-2";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";1;1;"2.22587201735628E-4";0;1;0;1;"0";"0";97;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle"
"395";395;"P11233";"P11233";"RALA_HUMAN";"Ras-related protein Ral-A";"RALA";4;7;"6.23815029492611E-4";4;0;7;0;"0.00125394540457863";"0";0;"cytoplasmic vesicle membrane, extracellular vesicular exosome, midbody, cell surface, plasma membrane, cleavage furrow"
"396";396;"P11279";"P11279";"LAMP1_HUMAN";"Lysosome-associated membrane glycoprotein 1";"LAMP1";2;2;"8.80478904251305E-5";2;0;2;0;"1.76987155425282E-4";"0";0;"lysosome, multivesicular body, endosome membrane, melanosome, extracellular vesicular exosome, cytolytic granule, late endosome, external side of plasma membrane, dendrite, sarcolemma, alveolar lamellar body, integral component of plasma membrane, neuronal cell body, lysosomal membrane"
"397";397;"P11362";"P11362-5";"FGFR1_HUMAN";"Fibroblast growth factor receptor 1";"FGFR1";1;1;"2.41199804938332E-5";1;0;1;0;"0";"0";2;"cytosol, cytoplasmic membrane-bounded vesicle, receptor complex, nucleus, extracellular region, integral component of plasma membrane"
"400";400;"P11532";"P11532-2";"DMD_HUMAN";"Dystrophin";"DMD";1;1;"7.47272122943272E-6";0;1;0;1;"0";"0";2;"costamere, cell surface, syntrophin complex, Z disc, cytosol, postsynaptic membrane, nucleus, filopodium, cell-substrate junction, dystrophin-associated glycoprotein complex, cytoskeleton, sarcolemma, neuron projection terminus, membrane raft"
"401";401;"P11532";"P11532-6";"DMD_HUMAN";"Dystrophin";"DMD";1;1;"7.47272122943272E-6";0;1;0;1;"0";"0";2;"costamere, cell surface, syntrophin complex, Z disc, cytosol, postsynaptic membrane, nucleus, filopodium, cell-substrate junction, dystrophin-associated glycoprotein complex, cytoskeleton, sarcolemma, neuron projection terminus, membrane raft"
"402";402;"P11532";"P11532-4";"DMD_HUMAN";"Dystrophin";"DMD";1;1;"7.47272122943272E-6";0;1;0;1;"0";"0";2;"costamere, cell surface, syntrophin complex, Z disc, cytosol, postsynaptic membrane, nucleus, filopodium, cell-substrate junction, dystrophin-associated glycoprotein complex, cytoskeleton, sarcolemma, neuron projection terminus, membrane raft"
"403";403;"P11532";"P11532-3";"DMD_HUMAN";"Dystrophin";"DMD";1;1;"7.47272122943272E-6";0;1;0;1;"0";"0";2;"costamere, cell surface, syntrophin complex, Z disc, cytosol, postsynaptic membrane, nucleus, filopodium, cell-substrate junction, dystrophin-associated glycoprotein complex, cytoskeleton, sarcolemma, neuron projection terminus, membrane raft"
"405";405;"P11717";"P11717";"MPRI_HUMAN";"Cation-independent mannose-6-phosphate receptor";"IGF2R";2;2;"1.47394501434281E-5";2;0;2;0;"2.96281187524458E-5";"0";0;"nuclear envelope lumen, extracellular vesicular exosome, endosome, late endosome, lysosomal membrane, clathrin coat, integral component of plasma membrane, extracellular space, trans-Golgi network transport vesicle, perinuclear region of cytoplasm, cell surface, endocytic vesicle"
"414";414;"P12814";"P12814-3";"ACTN1_HUMAN";"Alpha-actinin-1";"ACTN1";2;2;"6.50522851880362E-5";1;1;1;1;"0";"0";7;"fascia adherens, ruffle, pseudopodium, Z disc, plasma membrane, extracellular vesicular exosome, focal adhesion, cytosol, nucleus, cytoskeleton, platelet alpha granule lumen, dendritic spine"
"415";415;"P12830";"P12830";"CADH1_HUMAN";"Cadherin-1";"CDH1";3;3;"6.24421263729242E-5";0;3;0;3;"0";"2.61230069369797E-4";0;"lateral loop, trans-Golgi network, axon terminus, integral component of membrane, apical part of cell, apical junction complex, cytoplasmic side of plasma membrane, basolateral plasma membrane, node of Ranvier, focal adhesion, actin cytoskeleton, Golgi apparatus, cell-cell adherens junction, cell surface, perinuclear region of cytoplasm, Schmidt-Lanterman incisure, aggresome, lateral plasma membrane, endosome, catenin complex"
"419";419;"P13164";"P13164,Q01628,Q01629";"IFM1_HUMAN, IFM2_HUMAN, IFM3_HUMAN";"Interferon-induced transmembrane protein 1, Interferon-induced transmembrane protein 2, Interferon-induced transmembrane protein 3";"IFITM1, IFITM2, IFITM3";2;12;"5.64861081650453E-4";2;1;8;4;"7.56960449357359E-4";"7.87709132253543E-4";0;"plasma membrane, integral component of membrane"
"420";420;"P13591";"P13591-4";"NCAM1_HUMAN";"Neural cell adhesion molecule 1";"NCAM1";1;1;"5.34906327320504E-5";0;1;0;1;"0";"0";3;"anchored component of membrane, extracellular region, external side of plasma membrane, Golgi membrane, integral component of membrane"
"421";421;"P13598";"P13598";"ICAM2_HUMAN";"Intercellular adhesion molecule 2";"ICAM2";2;4;"2.67025238598396E-4";2;0;4;0;"5.36753773180673E-4";"0";0;"uropod, integral component of plasma membrane"
"424";424;"P13612";"P13612";"ITA4_HUMAN";"Integrin alpha-4";"ITGA4";23;58;"0.00103174722762704";23;0;58;0;"0.00207393960325381";"0";0;"extracellular vesicular exosome, integrin complex, plasma membrane, external side of plasma membrane, cell surface"
"428";428;"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";14;44;"0.0017892999299902";11;10;20;24;"0.00156737320652719";"0.00420955246484559";37;"keratin filament, cytosol, plasma membrane, extracellular vesicular exosome, mitochondrion"
"435";435;"P13987";"P13987";"CD59_HUMAN";"CD59 glycoprotein";"CD59";3;6;"8.60530554076862E-4";3;0;6;0;"0.00172977290185178";"0";0;"anchored component of external side of plasma membrane, sarcolemma, extracellular vesicular exosome, compact myelin, extracellular space"
"438";438;"P14174";"P14174";"MIF_HUMAN";"Macrophage migration inhibitory factor";"MIF";1;1;"1.59634653509911E-4";0;1;0;1;"0";"6.67840351258439E-4";0;"cytoplasm, cell surface, extracellular vesicular exosome, extracellular space"
"439";439;"P14209";"P14209-1";"CD99_HUMAN";"CD99 antigen";"CD99";2;10;"9.92323521818363E-4";2;0;10;0;"0";"0";0;"integral component of plasma membrane, cytoplasm"
"441";441;"P14317";"P14317";"HCLS1_HUMAN";"Hematopoietic lineage cell-specific protein";"HCLS1";2;2;"7.55472640067478E-5";0;2;0;2;"0";"3.16056133311607E-4";0;"plasma membrane, transcription factor complex, mitochondrion, cytoplasm, nucleus"
"443";443;"P14618";"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";29;267;"0.00974558277662397";29;22;164;103;"0";"0";15;"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium"
"444";444;"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";30;83;"0.00201705438901887";27;13;55;28;"0.00259150994832657";"0.00301276671535952";8;"cytosol, melanosome, midbody, extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endocytic vesicle lumen, endoplasmic reticulum lumen, plasma membrane"
"448";448;"P14923";"P14923";"PLAK_HUMAN";"Junction plakoglobin";"JUP";9;20;"4.92831816205093E-4";9;2;18;2;"8.9158764337058E-4";"2.06178900388511E-4";0;"cytosol, gamma-catenin-TCF7L2 complex, cytoplasmic side of plasma membrane, intermediate filament, fascia adherens, apicolateral plasma membrane, actin cytoskeleton, lateral plasma membrane, extracellular vesicular exosome, zonula adherens, desmosome, protein-DNA complex, catenin complex, basolateral plasma membrane, Z disc"
"449";449;"P15144";"P15144";"AMPN_HUMAN";"Aminopeptidase N";"ANPEP";4;8;"1.51875782036316E-4";4;0;8;0;"3.0528911608001E-4";"0";0;"external side of plasma membrane, cytosol, endoplasmic reticulum-Golgi intermediate compartment, extracellular vesicular exosome, integral component of plasma membrane, lysosomal membrane"
"450";450;"P15151";"P15151-1,P15151-2,P15151-3";"PVR_HUMAN";"Poliovirus receptor";"PVR";3;5;"7.33732420209421E-5";3;0;5;0;"0";"0";0;"plasma membrane, extracellular space, cell surface, cytoplasm, nucleus, integral component of membrane, cell junction"
"451";451;"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";7;9;"3.2920252897207E-4";7;0;9;0;"6.69353101246163E-4";"0";30;"cortical cytoskeleton, astrocyte projection, Schwann cell microvillus, nucleolus, cytosol, actin filament, uropod, microvillus, T-tubule, cell body, microspike, extracellular vesicular exosome, extrinsic component of membrane, ruffle membrane, ruffle, filopodium, microvillus membrane, apical plasma membrane, membrane raft, basolateral plasma membrane, cell tip, apical part of cell"
"452";452;"P15313";"P15313";"VATB1_HUMAN";"V-type proton ATPase subunit B, kidney isoform";"ATP6V1B1";1;1;"5.36783191626892E-5";1;0;1;0;"1.07900064053132E-4";"0";1;"vacuolar proton-transporting V-type ATPase complex, proton-transporting V-type ATPase, V1 domain, basolateral plasma membrane, cytosol, lateral plasma membrane, extracellular vesicular exosome, apical plasma membrane, microvillus, endomembrane system"
"454";454;"P15813";"P15813";"CD1D_HUMAN";"Antigen-presenting glycoprotein CD1d";"CD1D";2;2;"1.09599911365013E-4";0;2;0;2;"0";"4.58517256087883E-4";0;"lysosomal membrane, endosome membrane, cytoplasm, integral component of plasma membrane, cell surface"
"456";456;"P15924";"P15924-1";"DESP_HUMAN";"Desmoplakin";"DSP";3;3;"1.91828476004595E-5";0;3;0;3;"0";"0";0;"desmosome, plasma membrane, fascia adherens, extracellular vesicular exosome, mitochondrion, cornified envelope, intercalated disc, intermediate filament, basolateral plasma membrane"
"458";458;"P16070";"P16070-1";"CD44_HUMAN";"CD44 antigen";"CD44";2;2;"3.28383463909752E-4";1;1;1;1;"0";"0";62;"extracellular vesicular exosome, integral component of plasma membrane, basolateral plasma membrane, external side of plasma membrane, cell surface"
"459";459;"P16070";"P16070-6";"CD44_HUMAN";"CD44 antigen";"CD44";1;1;"1.64191731954876E-4";1;0;1;0;"0";"0";62;"extracellular vesicular exosome, integral component of plasma membrane, basolateral plasma membrane, external side of plasma membrane, cell surface"
"460";460;"P16070";"P16070-8";"CD44_HUMAN";"CD44 antigen";"CD44";1;2;"3.28383463909752E-4";1;1;1;1;"0";"0";62;"extracellular vesicular exosome, integral component of plasma membrane, basolateral plasma membrane, external side of plasma membrane, cell surface"
"461";461;"P16070";"P16070-3";"CD44_HUMAN";"CD44 antigen";"CD44";1;3;"4.92575195864628E-4";1;1;1;2;"0";"0";62;"extracellular vesicular exosome, integral component of plasma membrane, basolateral plasma membrane, external side of plasma membrane, cell surface"
"462";462;"P16070";"P16070-14";"CD44_HUMAN";"CD44 antigen";"CD44";2;2;"3.28383463909752E-4";2;0;2;0;"0";"0";62;"extracellular vesicular exosome, integral component of plasma membrane, basolateral plasma membrane, external side of plasma membrane, cell surface"
"463";463;"P16070";"P16070-4";"CD44_HUMAN";"CD44 antigen";"CD44";1;1;"1.64191731954876E-4";1;0;1;0;"0";"0";62;"extracellular vesicular exosome, integral component of plasma membrane, basolateral plasma membrane, external side of plasma membrane, cell surface"
"465";465;"P16144";"P16144-3";"ITB4_HUMAN";"Integrin beta-4";"ITGB4";2;2;"2.0151465591262E-5";2;0;2;0;"0";"0";0;"integrin complex, hemidesmosome, cell leading edge, basement membrane, cell surface, extracellular vesicular exosome, basal plasma membrane"
"466";466;"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";8;28;"0.00132937133871184";8;1;27;1;"0.00249087297866656";"2.88006151480202E-4";1;"integral component of plasma membrane, uropod, cell surface, basement membrane, extracellular space, external side of plasma membrane, extracellular vesicular exosome"
"468";468;"P16157";"P16157-8";"ANK1_HUMAN";"Ankyrin-1";"ANK1";1;1;"1.28095988910963E-5";1;0;1;0;"0";"0";2;"cortical cytoskeleton, spectrin-associated cytoskeleton, postsynaptic membrane, sarcoplasmic reticulum, cytosol, basolateral plasma membrane, axolemma, sarcolemma, nucleus, M band, Z disc"
"469";469;"P16157";"P16157-1";"ANK1_HUMAN";"Ankyrin-1";"ANK1";1;1;"1.21996179915203E-5";1;0;1;0;"0";"0";1;"cortical cytoskeleton, spectrin-associated cytoskeleton, postsynaptic membrane, sarcoplasmic reticulum, cytosol, basolateral plasma membrane, axolemma, sarcolemma, nucleus, M band, Z disc"
"470";470;"P16157";"P16157-13";"ANK1_HUMAN";"Ankyrin-1";"ANK1";1;1;"1.21996179915203E-5";1;0;1;0;"0";"0";1;"cortical cytoskeleton, spectrin-associated cytoskeleton, postsynaptic membrane, sarcoplasmic reticulum, cytosol, basolateral plasma membrane, axolemma, sarcolemma, nucleus, M band, Z disc"
"471";471;"P16157";"P16157-10";"ANK1_HUMAN";"Ankyrin-1";"ANK1";1;1;"1.21996179915203E-5";1;0;1;0;"0";"0";1;"cortical cytoskeleton, spectrin-associated cytoskeleton, postsynaptic membrane, sarcoplasmic reticulum, cytosol, basolateral plasma membrane, axolemma, sarcolemma, nucleus, M band, Z disc"
"472";472;"P16188";"P16188";"1A30_HUMAN";"HLA class I histocompatibility antigen, A-30 alpha chain";"HLA-A";0;0;"0";0;0;0;0;"0";"0";79;"extracellular vesicular exosome, integral component of lumenal side of endoplasmic reticulum membrane, phagocytic vesicle membrane, early endosome membrane, Golgi membrane, integral component of plasma membrane, ER to Golgi transport vesicle membrane, MHC class I protein complex"
"473";473;"P16190";"P16190";"1A33_HUMAN";"HLA class I histocompatibility antigen, A-33 alpha chain";"HLA-A";0;0;"0";0;0;0;0;"0";"0";93;"Golgi membrane, plasma membrane, phagocytic vesicle membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, early endosome membrane"
"474";474;"P16234";"P16234-3";"PGFRA_HUMAN";"Platelet-derived growth factor receptor alpha";"PDGFRA";2;2;"3.37153079038379E-5";2;0;2;0;"0";"0";0;"integral component of plasma membrane, cytoplasm, nucleus, external side of plasma membrane"
"475";475;"P16284";"P16284-2";"PECA1_HUMAN";"Platelet endothelial cell adhesion molecule";"PECAM1";1;1;"1.24376593181841E-4";1;0;1;0;"0";"0";12;"cell junction, extracellular space, extracellular vesicular exosome, integral component of membrane, plasma membrane, platelet alpha granule membrane"
"476";476;"P16284";"P16284-1";"PECA1_HUMAN";"Platelet endothelial cell adhesion molecule";"PECAM1";1;1;"1.24376593181841E-4";1;0;1;0;"0";"0";12;"cell junction, extracellular space, extracellular vesicular exosome, integral component of membrane, plasma membrane, platelet alpha granule membrane"
"477";477;"P16284";"P16284-3";"PECA1_HUMAN";"Platelet endothelial cell adhesion molecule";"PECAM1";1;1;"1.24376593181841E-4";1;0;1;0;"0";"0";12;"cell junction, extracellular space, extracellular vesicular exosome, integral component of membrane, plasma membrane, platelet alpha granule membrane"
"480";480;"P16615";"P16615-4";"AT2A2_HUMAN";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2";"ATP2A2";1;1;"8.33710252555958E-5";0;1;0;1;"0";"0";17;"platelet dense tubular network membrane, integral component of plasma membrane, sarcoplasmic reticulum membrane"
"481";481;"P16615";"P16615-1";"AT2A2_HUMAN";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2";"ATP2A2";1;1;"8.33710252555958E-5";1;0;1;0;"0";"0";17;"platelet dense tubular network membrane, integral component of plasma membrane, sarcoplasmic reticulum membrane"
"482";482;"P16885";"P16885";"PLCG2_HUMAN";"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2";"PLCG2";1;1;"2.90244824563474E-5";1;0;1;0;"5.83428014326818E-5";"0";2;"plasma membrane, cytosol, extracellular vesicular exosome"
"486";486;"P17081";"P17081";"RHOQ_HUMAN";"Rho-related GTP-binding protein RhoQ";"RHOQ";2;2;"1.79102294181851E-4";2;0;2;0;"3.60017774694354E-4";"0";0;"plasma membrane, cytosol, membrane raft, actin filament"
"487";487;"P17301";"P17301";"ITA2_HUMAN";"Integrin alpha-2";"ITGA2";6;11;"1.70988854098253E-4";6;0;11;0;"3.43708756111671E-4";"0";0;"integrin complex, external side of plasma membrane, perinuclear region of cytoplasm, basal part of cell, axon terminus, cell surface, cell outer membrane, focal adhesion, nucleus"
"488";488;"P17342";"P17342-1,P17342-2";"ANPRC_HUMAN";"Atrial natriuretic peptide receptor 3";"NPR3";7;12;"2.03600574716891E-4";7;0;12;0;"0";"0";0;"integral component of plasma membrane"
"490";490;"P17693";"P17693";"HLAG_HUMAN";"HLA class I histocompatibility antigen, alpha chain G";"HLA-G";1;8;"6.00088499097471E-4";1;0;8;0;"0.00124050374643848";"0";7;"Golgi membrane, early endosome membrane, plasma membrane, phagocytic vesicle membrane, MHC class I protein complex, ER to Golgi transport vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane"
"491";491;"P17813";"P17813-1,P17813-2";"EGLN_HUMAN";"Endoglin";"ENG";12;31;"4.32444939029507E-4";12;0;31;0;"0";"0";0;"endothelial microparticle, extracellular space, external side of plasma membrane, transforming growth factor beta receptor homodimeric complex, cytoplasm, nucleus, cell surface"
"495";495;"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";22;72;"0.00237729304147852";20;15;44;28;"0.00292028806451715";"0.00386770850908664";0;"cell body, plasma membrane, Golgi apparatus, chaperonin-containing T-complex, extracellular vesicular exosome, nuclear heterochromatin, nucleus, microtubule, zona pellucida receptor complex, cytosol, cell junction, centrosome, acrosomal vesicle, pericentriolar material"
"498";498;"P18464";"P18464,P30490,P30498";"1B51_HUMAN, 1B52_HUMAN, 1B78_HUMAN";"HLA class I histocompatibility antigen, B-51 alpha chain, HLA class I histocompatibility antigen, B-52 alpha chain, HLA class I histocompatibility antigen, B-78 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";72;"cell surface, Golgi membrane, ER to Golgi transport vesicle membrane, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, early endosome membrane, phagocytic vesicle membrane"
"499";499;"P18465";"P18465";"1B57_HUMAN";"HLA class I histocompatibility antigen, B-57 alpha chain";"HLA-B";0;0;"0";0;0;0;0;"0";"0";79;"ER to Golgi transport vesicle membrane, phagocytic vesicle membrane, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane, cell surface, MHC class I protein complex"
"511";511;"P19021";"P19021-5";"AMD_HUMAN";"Peptidyl-glycine alpha-amidating monooxygenase";"PAM";2;2;"3.77348101821988E-5";2;0;2;0;"0";"0";0;"plasma membrane, neuron projection, extracellular vesicular exosome, perinuclear region of cytoplasm, secretory granule membrane, integral component of membrane, cell surface, extracellular space, perikaryon, trans-Golgi network"
"513";513;"P19174";"P19174-2";"PLCG1_HUMAN";"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1";"PLCG1";1;1;"2.84619924862631E-5";1;0;1;0;"0";"0";2;"plasma membrane, cytosol, lamellipodium, COP9 signalosome, ruffle"
"517";517;"P19526";"P19526";"FUT1_HUMAN";"Galactoside 2-alpha-L-fucosyltransferase 1";"FUT1";2;3;"1.50887549207998E-4";0;2;0;3;"0";"6.31246359408661E-4";0;"Golgi apparatus, Golgi cisterna membrane, integral component of plasma membrane"
"518";518;"P19634";"P19634-1";"SL9A1_HUMAN";"Sodium/hydrogen exchanger 1";"SLC9A1";2;3;"6.75754054735204E-5";2;0;3;0;"0";"0";0;"mitochondrion, extracellular vesicular exosome, plasma membrane, endoplasmic reticulum membrane, endoplasmic reticulum, integral component of membrane, membrane raft, basolateral plasma membrane"
"519";519;"P20020";"P20020-3";"AT2B1_HUMAN";"Plasma membrane calcium-transporting ATPase 1";"ATP2B1";2;2;"5.20911049349275E-5";2;0;2;0;"0";"0";11;"extracellular vesicular exosome, integral component of plasma membrane"
"520";520;"P20020";"P20020-5";"AT2B1_HUMAN";"Plasma membrane calcium-transporting ATPase 1";"ATP2B1";2;2;"5.20911049349275E-5";2;0;2;0;"0";"0";11;"extracellular vesicular exosome, integral component of plasma membrane"
