"protein.g"	"protein.acs"	"ID"	"Description"	"Gene"	"global.peptide.count"	"global.spectra.count"	"global.dNSAF"	"peptide.count.P5134"	"peptide.count.P5136"	"spectra.count.P5134"	"spectra.count.P5136"	"dNSAF.P5134"	"dNSAF.P5136"	"unspecific.spectra.count"	"go.bp"	"go.cc"	"go.f"
"Q9Y4A5-1"	"Q9Y4A5-1"	"TRRAP_HUMAN"	"Transformation/transcription domain-associated protein"	"TRRAP"	6	6	2.85431228094942e-05	0	6	0	6	0	0	0	"mitotic cell cycle checkpoint;histone deubiquitination;histone H4 acetylation;regulation of transcription;transcription;histone H2A acetylation"	"PCAF complex;transcription factor TFTC complex;STAGA complex;NuA4 histone acetyltransferase complex"	"transcription cofactor activity;phosphotransferase activity;transcription coactivator activity"
"O00567"	"O00567"	"NOP56_HUMAN"	"Nucleolar protein 56"	"NOP56"	5	7	0.00021633989238296	5	0	7	0	0.00043486995512323	0	0	"cell death;rRNA processing"	"cytoplasm;pre-snoRNP complex;box C/D snoRNP complex"	"snoRNA binding"
"O14979-1,O14979-2,O14979-3"	"O14979-[1-3]"	"HNRDL_HUMAN"	"Heterogeneous nuclear ribonucleoprotein D-like"	"HNRPDL"	5	23	0.000380109225218413	5	3	18	5	0	0	7	"regulation of transcription;transcription;regulation of gene expression;RNA processing"	"nucleus;spliceosomal complex;cytoplasm"	"double-stranded DNA binding;poly(A) RNA binding;DNA binding;RNA binding;nucleotide binding;poly(G) RNA binding;single-stranded DNA binding"
"O15394"	"O15394"	"NCAM2_HUMAN"	"Neural cell adhesion molecule 2"	"NCAM2"	5	6	0.000131598459882722	5	0	6	0	0.00026452918929155	0	0	"neuron cell-cell adhesion"	"plasma membrane;integral to membrane;axon"	""
"O43143"	"O43143"	"DHX15_HUMAN"	"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15"	"DHX15"	5	10	0.00023091805224704	4	3	7	3	0.000324921702318489	0.000289817510923473	0	"RNA splicing;mRNA processing"	"nucleolus;U12-type spliceosomal complex"	"nucleic acid binding;RNA helicase activity;ATP-dependent helicase activity;ATP binding"
"O60264"	"O60264"	"SMCA5_HUMAN"	"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5"	"SMARCA5"	5	7	0.000158800061690229	5	2	5	2	0.000241159720156775	0.000146010723183879	3	"regulation of transcription from RNA polymerase II promoter;double-strand break repair;nucleosome positioning;CENP-A containing nucleosome assembly at centromere;chromatin silencing at rDNA;embryo development;DNA-dependent transcription"	"condensed chromosome;RSF complex;chromatin silencing complex;nucleoplasm;NURF complex;nucleolus"	"helicase activity;ATPase activity;DNA binding;nucleosome binding;ATP binding"
"O75369-7"	"O75369-7"	"FLNB_HUMAN"	"Filamin-B"	"FLNB"	5	6	0.000141309834943961	3	2	4	2	0	0	26	"actin cytoskeleton organization;cytoskeletal anchoring at plasma membrane;skeletal muscle tissue development;cell differentiation;cytokine-mediated signaling pathway"	"stress fiber;Z disc;cell cortex;integral to membrane;cytosol;actin cytoskeleton;plasma membrane;focal adhesion"	"actin binding"
"O75691"	"O75691"	"UTP20_HUMAN"	"Small subunit processome component 20 homolog"	"UTP20"	5	7	5.12690588771107e-05	4	2	5	2	7.57154591560323e-05	5.51537812529411e-05	1	"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA;endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA;endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA;negative regulation of cell proliferation"	"nucleolus;90S preribosome;small-subunit processome;preribosome;nucleoplasm;cytoplasm"	""
"O94776"	"O94776"	"MTA2_HUMAN"	"Metastasis-associated protein MTA2"	"MTA2"	5	7	0.000192374095921374	5	0	7	0	0.000386695738537723	0	0	"DNA methylation;positive regulation of transcription from RNA polymerase II promoter;negative regulation of transcription from RNA polymerase II promoter;chromatin assembly or disassembly"	"NuRD complex;transcription factor complex"	"chromatin binding;sequence-specific DNA binding transcription factor activity;histone deacetylase activity;transcription factor binding transcription factor activity;transcription regulatory region DNA binding;zinc ion binding;sequence-specific DNA binding"
"P02533"	"P02533"	"K1C14_HUMAN"	"Keratin, type I cytoskeletal 14"	"KRT14"	5	25	0.00209268668104926	3	4	7	18	0.00130090138949076	0.00614785299458941	80	"response to ionizing radiation;intermediate filament bundle assembly;hemidesmosome assembly;epidermis development;response to zinc ion;epithelial cell differentiation"	"cell periphery;cytosol;nucleus;keratin filament"	"structural constituent of cytoskeleton"
"P04114"	"P04114"	"APOB_HUMAN"	"Apolipoprotein B-100"	"APOB"	5	5	2.01161353864121e-05	0	5	0	5	0	8.41569585740965e-05	0	"cholesterol metabolic process;lipoprotein catabolic process;receptor-mediated endocytosis;response to lipopolysaccharide;lipoprotein metabolic process;post-embryonic development;nervous system development;low-density lipoprotein particle remodeling;regulation of cholesterol biosynthetic process;phototransduction;in utero embryonic development;cholesterol efflux;cellular response to tumor necrosis factor;positive regulation of macrophage derived foam cell differentiation;blood coagulation;response to virus;sperm motility;cholesterol homeostasis;lipoprotein transport;triglyceride catabolic process;lipoprotein biosynthetic process;cellular response to prostaglandin stimulus;triglyceride mobilization;response to carbohydrate stimulus;low-density lipoprotein particle clearance;very-low-density lipoprotein particle assembly;retinoid metabolic process;artery morphogenesis;leukocyte migration;response to selenium ion;positive regulation of cholesterol storage;spermatogenesis;fertilization"	"chylomicron remnant;early endosome;mature chylomicron;very-low-density lipoprotein particle;endosome membrane;endoplasmic reticulum membrane;plasma membrane;cytosol;endosome lumen;vesicle lumen;intermediate-density lipoprotein particle;endoplasmic reticulum lumen;low-density lipoprotein particle;clathrin-coated endocytic vesicle membrane"	"heparin binding;low-density lipoprotein particle receptor binding;phospholipid binding;cholesterol transporter activity"
"P05165-1,P05165-2,P05165-3"	"P05165-[1-3]"	"PCCA_HUMAN"	"Propionyl-CoA carboxylase alpha chain, mitochondrial"	"PCCA"	5	14	0.000117679392010511	1	5	2	12	0	0	0	"fatty acid beta-oxidation;short-chain fatty acid catabolic process"	"mitochondrial matrix"	"ATP binding;propionyl-CoA carboxylase activity;biotin binding;metal ion binding;biotin carboxylase activity"
"P06733-1"	"P06733-1"	"ENOA_HUMAN"	"Alpha-enolase"	"ENO1"	11	28	0.0011843861389445	11	4	20	8	0	0	0	"negative regulation of transcription from RNA polymerase II promoter;negative regulation of cell growth;gluconeogenesis;small molecule metabolic process;transcription;response to virus;glycolysis"	"extracellular vesicular exosome;nucleus;phosphopyruvate hydratase complex;plasma membrane;cytosol;M band"	"magnesium ion binding;DNA binding;phosphopyruvate hydratase activity;sequence-specific DNA binding transcription factor activity;transcription corepressor activity"
"P07737"	"P07737"	"PROF1_HUMAN"	"Profilin-1"	"PFN1"	5	9	0.00118015618844827	5	0	9	0	0.00237225997968244	0	0	"platelet degranulation;actin cytoskeleton organization;positive regulation of stress fiber assembly;positive regulation of viral transcription;positive regulation of transcription from RNA polymerase II promoter;positive regulation of DNA metabolic process;neural tube closure;cell death;cellular response to growth factor stimulus;platelet activation"	"neuron projection;cytoskeleton;nucleus;synapse;cytoplasm"	"phosphatidylinositol-4"
"P07954-1,P07954-2"	"P07954-[1,2]"	"FUMH_HUMAN"	"Fumarate hydratase, mitochondrial"	"FH"	5	10	0.000179980246604311	5	0	10	0	0	0	0	"fumarate metabolic process;homeostasis of number of cells within a tissue;tricarboxylic acid cycle"	"tricarboxylic acid cycle enzyme complex;mitochondrial matrix"	"fumarate hydratase activity"
"P08559-1,P08559-2,P08559-3,P08559-4"	"P08559-[1-4]"	"ODPA_HUMAN"	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	"PDHA1"	6	25	0.000294198480026277	4	5	11	14	0	0	0	"regulation of acetyl-CoA biosynthetic process from pyruvate;acetyl-CoA biosynthetic process from pyruvate;tricarboxylic acid cycle;glycolysis"	"mitochondrial matrix;pyruvate dehydrogenase complex"	"pyruvate dehydrogenase activity;pyruvate dehydrogenase (acetyl-transferring) activity"
"P14866-1"	"P14866-1"	"HNRPL_HUMAN"	"Heterogeneous nuclear ribonucleoprotein L"	"HNRNPL"	17	45	0.00140256253296059	17	3	41	4	0	0	0	"mRNA splicing"	"ribonucleoprotein complex;nucleoplasm;cytoplasm"	"RNA binding;transcription regulatory region DNA binding;nucleotide binding"
"P18077"	"P18077"	"RL35A_HUMAN"	"60S ribosomal protein L35a"	"RPL35A"	5	15	0.00250336161185996	4	4	8	7	0.00268376886590336	0.00488737711602766	0	"ribosomal large subunit biogenesis;viral transcription;translational elongation;translational termination;rRNA processing;translational initiation;nuclear-transcribed mRNA catabolic process;SRP-dependent cotranslational protein targeting to membrane"	"cytosolic large ribosomal subunit"	"structural constituent of ribosome;tRNA binding"
"P20618"	"P20618"	"PSB1_HUMAN"	"Proteasome subunit beta type-1"	"PSMB1"	5	16	0.00121878739609226	2	5	5	11	0.000765597964858324	0.00350546906365944	0	"regulation of cellular amino acid metabolic process;mitotic anaphase;virus-host interaction;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;gene expression;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;viral reproduction;M phase of mitotic cell cycle;G1/S transition of mitotic cell cycle;antigen processing and presentation of exogenous peptide antigen via MHC class I;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;regulation of apoptotic process;protein polyubiquitination;DNA damage response;S phase of mitotic cell cycle;small molecule metabolic process;apoptotic process;mRNA metabolic process"	"cytosol;proteasome core complex;nucleoplasm"	"threonine-type endopeptidase activity"
"P22087"	"P22087"	"FBRL_HUMAN"	"rRNA 2'-O-methyltransferase fibrillarin"	"FBL"	5	8	0.000457519879218435	5	0	8	0	0.000919671573985576	0	0	"snoRNA metabolic process;rRNA processing;tRNA processing"	"Cajal body;granular component;box C/D snoRNP complex"	"methyltransferase activity;RNA binding"
"P22695"	"P22695"	"QCR2_HUMAN"	"Cytochrome b-c1 complex subunit 2, mitochondrial"	"UQCRC2"	5	8	0.000324202828320348	5	0	8	0	0.000651687804082494	0	0	"small molecule metabolic process;respiratory electron transport chain;aerobic respiration;proteolysis;oxidative phosphorylation"	"mitochondrial respiratory chain complex III;mitochondrial inner membrane"	"metalloendopeptidase activity;metal ion binding"
"P23528"	"P23528"	"COF1_HUMAN"	"Cofilin-1"	"CFL1"	5	10	0.00110590272009878	5	2	8	2	0.0017784010557191	0.00092532096861109	0	"positive regulation of actin filament depolymerization;innate immune response;actin cytoskeleton organization;Rho protein signal transduction;axon guidance;actin filament depolymerization;protein phosphorylation;neural fold formation;platelet activation;response to virus;establishment of cell polarity;negative regulation of apoptotic process;platelet degranulation;Fc-gamma receptor signaling pathway involved in phagocytosis;regulation of cell morphogenesis;neural crest cell migration;response to amino acid stimulus;cytokinesis"	"ruffle membrane;nucleus;lamellipodium membrane;nuclear matrix;cytoplasm;cortical actin cytoskeleton"	""
"P24534"	"P24534"	"EF1B_HUMAN"	"Elongation factor 1-beta"	"EEF1B2"	5	22	0.00193308014609266	4	3	10	12	0.00164008097360761	0.00464223248608088	2	""	"eukaryotic translation elongation factor 1 complex;cytosol"	"translation elongation factor activity"
"P25445-1,P25445-6"	"P25445-[1,6]"	"TNR6_HUMAN"	"Tumor necrosis factor receptor superfamily member 6"	"FAS"	5	8	0.000219199822730026	5	0	8	0	0	0	0	"response to toxic substance;activation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of necrotic cell death;regulation of myeloid cell differentiation;protein complex assembly;transformed cell apoptotic process;negative thymic T cell selection;response to glucocorticoid stimulus;negative regulation of B cell activation;gene expression;B cell mediated immunity;positive regulation of protein homooligomerization;activation-induced cell death of T cells;induction of apoptosis;neuron apoptotic process;extrinsic apoptotic signaling pathway via death domain receptors;regulation of lymphocyte differentiation;immunoglobulin production;apoptotic signaling pathway;negative regulation of apoptotic process;renal system process;cellular response to lithium ion;protein homooligomerization;cellular response to mechanical stimulus;cellular response to hyperoxia;spleen development;inflammatory cell apoptotic process"	"integral to membrane;CD95 death-inducing signaling complex;extracellular region;cytosol;nucleus;external side of plasma membrane;membrane raft"	"signal transducer activity;receptor activity;transmembrane signaling receptor activity"
"P27105-1"	"P27105-1"	"STOM_HUMAN"	"Erythrocyte band 7 integral membrane protein"	"STOM"	8	18	0.00114737407210248	8	0	18	0	0	0	0	"protein homooligomerization"	"melanosome;membrane raft;cytoplasm;integral to plasma membrane;cytoskeleton;extracellular vesicular exosome"	""
"P30048"	"P30048"	"PRDX3_HUMAN"	"Thioredoxin-dependent peroxide reductase, mitochondrial"	"PRDX3"	5	12	0.000860530554076862	5	2	8	4	0.00115318193456785	0.00120002563116751	0	"positive regulation of NF-kappaB transcription factor activity;myeloid cell differentiation;negative regulation of kinase activity;negative regulation of apoptotic process;regulation of mitochondrial membrane potential;positive regulation of cell proliferation;response to lipopolysaccharide;hydrogen peroxide catabolic process;mitochondrion organization;maternal placenta development"	"mitochondrion;early endosome"	"peroxidase activity;alkyl hydroperoxide reductase activity;peroxiredoxin activity;cysteine-type endopeptidase inhibitor activity involved in apoptotic process"
"P30153"	"P30153"	"2AAA_HUMAN"	"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform"	"PPP2R1A"	7	13	0.00040518473174417	7	0	13	0	0.000814471451239773	0	0	"ceramide metabolic process;negative regulation of cell growth;induction of apoptosis;G2/M transition of mitotic cell cycle;regulation of DNA replication;regulation of cell differentiation;second-messenger-mediated signaling;mitotic anaphase;RNA splicing;peptidyl-serine dephosphorylation;regulation of Wnt receptor signaling pathway;protein complex assembly;mitotic nuclear envelope reassembly;regulation of cell adhesion;M phase of mitotic cell cycle;nuclear-transcribed mRNA catabolic process;inactivation of MAPK activity;chromosome segregation;protein dephosphorylation;negative regulation of tyrosine phosphorylation of Stat3 protein;regulation of transcription;fibroblast growth factor receptor signaling pathway"	"chromosome;microtubule cytoskeleton;nucleus;mitochondrion;protein phosphatase type 2A complex;cytosol;membrane"	"protein phosphatase type 2A regulator activity;antigen binding;protein serine/threonine phosphatase activity"
"P31689"	"P31689"	"DNJA1_HUMAN"	"DnaJ homolog subfamily A member 1"	"DNAJA1"	5	12	0.000622223900414148	4	3	8	4	0.000811214770550135	0.000870547561149224	2	"androgen receptor signaling pathway;response to unfolded protein;response to heat;protein folding;sperm motility;spermatogenesis"	"membrane"	"low-density lipoprotein particle receptor binding;metal ion binding;ATP binding"
"P32969"	"P32969"	"RL9_HUMAN"	"60S ribosomal protein L9"	"RPL9,RPL9P8,RPL9P7,RPL9P9"	5	18	0.00172106110815372	5	2	16	2	0.00307515182551427	0.000800017087445005	0	"SRP-dependent cotranslational protein targeting to membrane;translational elongation;nuclear-transcribed mRNA catabolic process;translational initiation;viral transcription;translational termination"	"cytosolic large ribosomal subunit;nucleolus"	"rRNA binding;RNA binding;structural constituent of ribosome"
"P33991"	"P33991"	"MCM4_HUMAN"	"DNA replication licensing factor MCM4"	"MCM4"	5	14	0.000297812041889868	4	3	9	5	0.000384839394154741	0.000444968947825727	0	"S phase of mitotic cell cycle;DNA replication initiation;DNA strand elongation involved in DNA replication;cell cycle checkpoint;G1/S transition of mitotic cell cycle;DNA unwinding involved in replication"	"MCM complex;nucleoplasm"	"single-stranded DNA binding;ATP binding;DNA helicase activity"
"P35637-1,P35637-2"	"P35637-[1,2]"	"FUS_HUMAN"	"RNA-binding protein FUS"	"FUS"	5	15	0.000454632912299963	5	1	14	1	0	0	14	"mRNA splicing;cell death"	"nucleoplasm;cytoplasm"	"DNA binding;zinc ion binding;nucleotide binding;RNA binding"
"P36776"	"P36776"	"LONM_HUMAN"	"Lon protease homolog, mitochondrial"	"LONP1"	5	7	0.000133999891632407	0	5	0	7	0	0.00056059591528993	0	"response to hormone stimulus;cellular response to oxidative stress;mitochondrial DNA metabolic process;misfolded or incompletely synthesized protein catabolic process;protein homooligomerization;cellular protein complex assembly;response to hypoxia;aging;response to aluminum ion;oxidation-dependent protein catabolic process"	"mitochondrial nucleoid"	"single-stranded RNA binding;mitochondrial heavy strand promoter anti-sense binding;single-stranded DNA binding;mitochondrial light strand promoter anti-sense binding;serine-type endopeptidase activity;ATP binding;G-quadruplex DNA binding;ATP-dependent peptidase activity;ADP binding;sequence-specific DNA binding"
"P36957"	"P36957"	"ODO2_HUMAN"	"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial"	"DLST"	5	15	0.000607880303100653	3	5	5	10	0.000407304877551559	0.00169540045021458	0	"L-lysine catabolic process to acetyl-CoA via saccharopine;cellular nitrogen compound metabolic process;tricarboxylic acid cycle;lysine catabolic process"	"oxoglutarate dehydrogenase complex;nucleus;mitochondrial matrix"	"dihydrolipoyllysine-residue succinyltransferase activity"
"P39656"	"P39656"	"OST48_HUMAN"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit"	"DDOST"	5	10	0.000402587393720169	3	3	7	3	0.000566475336278944	0.000505273949965266	0	"SRP-dependent cotranslational protein targeting to membrane;innate immune response;post-translational protein modification;protein N-linked glycosylation via asparagine;T cell activation;translation;response to cytokine stimulus"	"integral to membrane;oligosaccharyltransferase complex"	"dolichyl-diphosphooligosaccharide-protein glycotransferase activity"
"P42167-1"	"P42167-1"	"LAP2B_HUMAN"	"Lamina-associated polypeptide 2, isoforms beta/gamma"	"TMPO"	5	11	0.00116559623346446	5	0	11	0	0	0	24	""	"nuclear envelope;nuclear inner membrane;integral to membrane"	"lamin binding;DNA binding"
"P48556"	"P48556"	"PSMD8_HUMAN"	"26S proteasome non-ATPase regulatory subunit 8"	"PSMD8"	5	8	0.000419611089226051	3	3	5	3	0.000527168884373875	0.00065829977481189	0	"mRNA metabolic process;protein polyubiquitination;M phase of mitotic cell cycle;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;G1/S transition of mitotic cell cycle;antigen processing and presentation of exogenous peptide antigen via MHC class I;gene expression;mitotic anaphase;apoptotic process;small molecule metabolic process;regulation of cellular amino acid metabolic process;S phase of mitotic cell cycle;DNA damage response;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;regulation of apoptotic process;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;viral reproduction"	"nucleoplasm;proteasome regulatory particle;cytosol"	""
"P49454"	"P49454"	"CENPF_HUMAN"	"Centromere protein F"	"CENPF"	5	6	3.43139909413826e-05	5	0	6	0	6.89753680489182e-05	0	0	"muscle organ development;mitotic prometaphase;regulation of G2/M transition of mitotic cell cycle;mitotic spindle assembly checkpoint;protein transport;mitotic anaphase;metaphase plate congression;regulation of striated muscle tissue development;negative regulation of transcription;cell division;G2 phase of mitotic cell cycle;response to drug;DNA replication;kinetochore assembly;cell differentiation;M phase of mitotic cell cycle;cell proliferation"	"nuclear matrix;spindle pole;midbody;nuclear envelope;perinuclear region of cytoplasm;condensed chromosome outer kinetochore;pronucleus;cytosol"	"chromatin binding;dynein binding"
"P49756-1"	"P49756-1"	"RBM25_HUMAN"	"RNA-binding protein 25"	"RBM25"	5	5	0.000108884846700117	3	2	3	2	0	0	0	"apoptotic process;regulation of alternative mRNA splicing;mRNA processing;RNA splicing"	"nuclear speck;cytoplasm"	"nucleotide binding;mRNA binding"
"P50914"	"P50914"	"RL14_HUMAN"	"60S ribosomal protein L14"	"RPL14"	5	12	0.00102463172950547	4	3	8	4	0.00137309104767149	0.00142886772827387	0	"viral transcription;nuclear-transcribed mRNA catabolic process;translational elongation;SRP-dependent cotranslational protein targeting to membrane;rRNA processing;translational termination;ribosomal large subunit biogenesis;translational initiation"	"cytosolic large ribosomal subunit"	"RNA binding;structural constituent of ribosome"
"P53999"	"P53999"	"TCP4_HUMAN"	"Activated RNA polymerase II transcriptional coactivator p15"	"SUB1"	5	9	0.00130095957781699	4	3	6	3	0.00174339316092148	0.00181421197782804	0	"transcription;regulation of transcription from RNA polymerase II promoter"	"nucleolus;transcription factor complex"	"transcription coactivator activity;single-stranded DNA binding"
"P54578"	"P54578"	"UBP14_HUMAN"	"Ubiquitin carboxyl-terminal hydrolase 14"	"USP14"	5	12	0.000445942959197726	5	3	7	5	0.000522900310411333	0.000777344538408102	0	"regulation of proteasomal protein catabolic process;regulation of chemotaxis;synaptic transmission;ubiquitin-dependent protein catabolic process"	"plasma membrane;cytoplasmic membrane-bounded vesicle;synapse;proteasome complex;cell surface"	"endopeptidase inhibitor activity;ubiquitin thiolesterase activity;proteasome binding;tRNA guanylyltransferase activity;cysteine-type endopeptidase activity;ubiquitin-specific protease activity"
"P57740"	"P57740"	"NU107_HUMAN"	"Nuclear pore complex protein Nup107"	"NUP107"	5	5	9.92323521818363e-05	3	2	3	2	0.000119681584560555	0.00016605760085345	0	"viral reproductive process;cytokine-mediated signaling pathway;carbohydrate metabolic process;mRNA export from nucleus;M phase of mitotic cell cycle;nuclear pore complex assembly;glucose transport;small molecule metabolic process;transmembrane transport;regulation of glucose transport;protein transport;mitotic prometaphase;mitotic anaphase"	"nuclear periphery;cytosol;condensed chromosome kinetochore;nuclear membrane;nuclear pore outer ring"	"structural constituent of nuclear pore;nucleocytoplasmic transporter activity"
"P61353"	"P61353"	"RL27_HUMAN"	"60S ribosomal protein L27"	"RPL27"	5	25	0.00337462962383083	5	2	19	6	0.00515540158983275	0.00338830766447296	0	"viral transcription;nuclear-transcribed mRNA catabolic process;translational elongation;SRP-dependent cotranslational protein targeting to membrane;translational termination;translational initiation"	"cytosolic large ribosomal subunit"	"structural constituent of ribosome"
"P61513"	"P61513"	"RL37A_HUMAN"	"60S ribosomal protein L37a"	"RPL37A"	5	16	0.00319269307019821	4	4	10	6	0.00401106759849687	0.00500880263443829	0	"translational elongation;SRP-dependent cotranslational protein targeting to membrane;translational termination;viral transcription;translational initiation;nuclear-transcribed mRNA catabolic process"	"cytosolic large ribosomal subunit"	"structural constituent of ribosome;metal ion binding"
"P62191"	"P62191"	"PRS4_HUMAN"	"26S protease regulatory subunit 4"	"PSMC1"	5	11	0.000475947763242511	3	2	5	6	0.0004193388852974	0.00113456968764928	1	"gene expression;regulation of apoptotic process;viral reproduction;mRNA metabolic process;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;protein polyubiquitination;regulation of cellular amino acid metabolic process;antigen processing and presentation of exogenous peptide antigen via MHC class I;G1/S transition of mitotic cell cycle;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;DNA damage response;apoptotic process;S phase of mitotic cell cycle;M phase of mitotic cell cycle;mitotic anaphase"	"nucleoplasm;cytosol;proteasome accessory complex"	"ATPase activity;ATP binding"
"P62263"	"P62263"	"RS14_HUMAN"	"40S ribosomal protein S14"	"RPS14"	5	45	0.00547092272790587	5	5	20	25	0.00488765853061871	0.0127155033766093	0	"maturation of SSU-rRNA;viral transcription;ribosomal small subunit assembly;translational termination;SRP-dependent cotranslational protein targeting to membrane;nuclear-transcribed mRNA catabolic process;translational initiation;erythrocyte differentiation;negative regulation of transcription from RNA polymerase II promoter;translational elongation"	"cytosolic small ribosomal subunit;mitochondrion;nucleolus"	"mRNA 5'-UTR binding;translation regulator activity;structural constituent of ribosome"
"P62277"	"P62277"	"RS13_HUMAN"	"40S ribosomal protein S13"	"RPS13"	5	9	0.00109418454558117	5	0	9	0	0.00219944633877842	0	0	"SRP-dependent cotranslational protein targeting to membrane;negative regulation of RNA splicing;translational initiation;translational termination;translational elongation;nuclear-transcribed mRNA catabolic process;viral transcription"	"cytosolic small ribosomal subunit;nucleolus"	"structural constituent of ribosome;mRNA binding"
"P62333"	"P62333"	"PRS10_HUMAN"	"26S protease regulatory subunit 10B"	"PSMC6"	5	11	0.000519120402802151	3	3	3	8	0.000284589886165845	0.00157946818292484	0	"mitotic anaphase;antigen processing and presentation of exogenous peptide antigen via MHC class I;anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process;apoptotic process;positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;S phase of mitotic cell cycle;viral reproduction;regulation of cellular amino acid metabolic process;M phase of mitotic cell cycle;regulation of apoptotic process;G1/S transition of mitotic cell cycle;mRNA metabolic process;negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle;protein polyubiquitination;gene expression;DNA damage response"	"proteasome accessory complex;cytosol;plasma membrane;nucleoplasm"	"ATP binding;ATPase activity;protein binding"
"P62917"	"P62917"	"RL8_HUMAN"	"60S ribosomal protein L8"	"RPL8"	5	27	0.00192865991886487	5	3	16	11	0.00229738969065658	0.00328722974452111	0	"translational termination;translational elongation;nuclear-transcribed mRNA catabolic process;translational initiation;SRP-dependent cotranslational protein targeting to membrane;viral transcription"	"cytosolic large ribosomal subunit"	"RNA binding;rRNA binding;structural constituent of ribosome"
"P78559-1"	"P78559-1"	"MAP1A_HUMAN"	"Microtubule-associated protein 1A"	"MAP1A"	5	5	3.27470302419545e-05	0	5	0	5	0	0	0	"sensory perception of sound;microtubule cytoskeleton organization"	"microtubule associated complex;cytosol;microtubule"	"hydrolase activity;structural molecule activity"
"P83731"	"P83731"	"RL24_HUMAN"	"60S ribosomal protein L24"	"RPL24"	5	8	0.000935438733943425	5	0	8	0	0.00188034761305331	0	0	"nuclear-transcribed mRNA catabolic process;translational elongation;translational initiation;SRP-dependent cotranslational protein targeting to membrane;viral transcription;translational termination"	"cytosolic large ribosomal subunit"	"RNA binding;structural constituent of ribosome"
"Q02338"	"Q02338"	"BDH_HUMAN"	"D-beta-hydroxybutyrate dehydrogenase, mitochondrial"	"BDH1"	5	8	0.000428174580842909	5	0	8	0	0.000860683892855306	0	0	"response to drug;adipose tissue development;response to starvation;response to nutrient;brain development;cellular lipid metabolic process;response to insulin stimulus;response to ethanol;response to toxic substance;response to estradiol stimulus;response to corticosterone stimulus;ketone body biosynthetic process;response to cadmium ion;liver development;response to growth hormone stimulus;ketone body catabolic process"	"mitochondrial inner membrane;nucleus;mitochondrial matrix"	"phospholipid binding;3-hydroxybutyrate dehydrogenase activity"
"Q06187"	"Q06187"	"BTK_HUMAN"	"Tyrosine-protein kinase BTK"	"BTK"	5	7	0.000256580736513613	5	2	5	2	0.000378801171044336	0.000233085403322369	6	"regulation of B cell apoptotic process;innate immune response;transcription;toll-like receptor 2 signaling pathway;toll-like receptor TLR1:TLR2 signaling pathway;I-kappaB kinase/NF-kappaB cascade;positive regulation of NF-kappaB transcription factor activity;MyD88-dependent toll-like receptor signaling pathway;B cell receptor signaling pathway;B cell activation;toll-like receptor TLR6:TLR2 signaling pathway;toll-like receptor 4 signaling pathway;adaptive immune response;peptidyl-tyrosine phosphorylation;mesoderm development;positive regulation of B cell differentiation;apoptotic signaling pathway;calcium-mediated signaling;cell maturation;regulation of B cell cytokine production"	"plasma membrane;cytosol;cytoplasmic vesicle;membrane raft;nucleus"	"ATP binding;phosphatidylinositol-3;non-membrane spanning protein tyrosine kinase activity;metal ion binding"
"Q07020"	"Q07020"	"RL18_HUMAN"	"60S ribosomal protein L18"	"RPL18"	5	14	0.00136708400080296	4	4	8	6	0.00157029029387963	0.00245111618281023	0	"viral transcription;nuclear-transcribed mRNA catabolic process;translational elongation;translational termination;SRP-dependent cotranslational protein targeting to membrane;translational initiation"	"cytosolic large ribosomal subunit"	"structural constituent of ribosome;RNA binding"
