"";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5836.1.id.csv";"peptide.count.P5836.2.id.csv";"peptide.count.P5837.1.id.csv";"peptide.count.P5837.2.id.csv";"spectra.count.P5836.1.id.csv";"spectra.count.P5836.2.id.csv";"spectra.count.P5837.1.id.csv";"spectra.count.P5837.2.id.csv";"dNSAF.P5836.1.id.csv";"dNSAF.P5836.2.id.csv";"dNSAF.P5837.1.id.csv";"dNSAF.P5837.2.id.csv";"Go.Cc"
"486";"P23921";"RIR1_HUMAN";"Ribonucleoside-diphosphate reductase large subunit";"RRM1";7;23;0,000258073886117244;5;6;6;4;6;6;6;5;0,00035514848474632;0,000358965867845552;0,000362209476322411;0,000295619456186348;"cytoplasm, cell projection, cytosol, neuronal cell body, ribonucleoside-diphosphate reductase complex, nuclear envelope, nucleoplasm"
"487";"P24534";"EF1B_HUMAN";"Elongation factor 1-beta";"EEF1B2";7;21;0,000881266218071668;5;3;5;4;6;4;6;5;0,00125012266630705;0,000962712270336262;0,00145711697903416;0,00104058048577595;"eukaryotic translation elongation factor 1 complex, cytosol"
"493";"P25398";"RS12_HUMAN";"40S ribosomal protein S12";"RPS12";6;34;0,00228900316382251;6;6;6;5;10;9;8;7;0,0035514848474632;0,00323069281060997;0,00289767581057929;0,00248320343196533;"cytosolic small ribosomal subunit, cytosol"
"494";"P25490";"TYY1_HUMAN";"Transcriptional repressor protein YY1";"YY1";1;4;8,58620112601796e-05;1;1;1;1;1;1;1;1;0,000113235748759696;0,000114452885400031;0,000115487079407146;0,000113106574540864;"nuclear matrix, nucleus, PcG protein complex, Ino80 complex, transcription factor complex"
"495";"P25685";"DNJB1_HUMAN";"DnaJ homolog subfamily B member 1";"DNAJB1";2;4;0,00010454962547563;NA;2;NA;2;NA;2;NA;2;NA;0,000278726438562429;NA;0,000275447775646574;"cytoplasm, nucleolus, extracellular vesicular exosome"
"497";"P25786";"PSA1_HUMAN";"Proteasome subunit alpha type-1";"PSMA1";17;69;0,00116574820040793;14;13;14;15;20;15;17;17;NA;NA;NA;NA;"polysome, extracellular vesicular exosome, proteasome core complex, alpha-subunit complex, cytosol, nucleoplasm, proteasome complex, proteasome core complex, centrosome, nucleus"
"498";"P25787";"PSA2_HUMAN";"Proteasome subunit alpha type-2";"PSMA2";9;30;0,00113932284172161;4;5;9;5;6;7;11;6;0,00120204102529524;0,00141745496533885;0,00224755623769291;0,00120066979127994;"nucleoplasm, proteasome core complex, alpha-subunit complex, extracellular vesicular exosome, cytoplasmic mRNA processing body, proteasome complex, proteasome core complex, cytosol"
"499";"P25788";"PSA3_HUMAN";"Proteasome subunit alpha type-3";"PSMA3";14;54;0,000940946629280674;12;10;12;12;14;11;14;15;NA;NA;NA;NA;"nucleoplasm, cytoplasm, extracellular vesicular exosome, proteasome complex, proteasome core complex, alpha-subunit complex, nucleus, cytosol, proteasome core complex"
"500";"P25789";"PSA4_HUMAN";"Proteasome subunit alpha type-4";"PSMA4";13;53;0,00180458261596826;9;10;10;13;11;12;13;17;NA;NA;NA;NA;"proteasome core complex, proteasome complex, cytoplasmic mRNA processing body, nucleoplasm, cytosol, extracellular vesicular exosome, proteasome core complex, alpha-subunit complex"
"503";"P26358";"DNMT1_HUMAN";"DNA (cytosine-5)-methyltransferase 1";"DNMT1";4;10;5,49920678553749e-05;3;3;2;2;3;3;2;2;NA;NA;NA;NA;"centromeric heterochromatin, replication fork, nucleus"
"504";"P26368";"U2AF2_HUMAN";"Splicing factor U2AF 65 kDa subunit";"U2AF2";11;39;0,000364823166791279;8;9;7;7;11;11;8;9;NA;NA;NA;NA;"spliceosomal complex, nucleus, nucleoplasm, nuclear speck"
"505";"P26373";"RL13_HUMAN";"60S ribosomal protein L13";"RPL13";11;44;0,00185315449895193;10;11;10;11;10;11;12;11;0,00222178198988219;0,0024702295739893;0,00271914602130189;0,00244117222966395;"cytosol, nucleolus, cytosolic large ribosomal subunit, cytoplasm, cytosolic ribosome"
"506";"P26440";"IVD_HUMAN";"Isovaleryl-CoA dehydrogenase, mitochondrial";"IVD";1;1;2,10087899891929e-05;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000113029907504866;NA;"mitochondrial matrix"
"507";"P26447";"S10A4_HUMAN";"Protein S100-A4";"S100A4";4;13;0,0011438350113918;3;4;2;2;3;5;2;3;0,00139246336593607;0,00234571755225806;0,00094676536385264;0,00139087490673022;"perinuclear region of cytoplasm, neuron projection, extracellular vesicular exosome, nucleus, extracellular space"
"508";"P26583";"HMGB2_HUMAN";"High mobility group protein B2";"HMGB2";10;52;0,00236621086382435;8;9;8;9;12;14;12;14;0,00289103327933847;0,00352668221041244;0,00284683939284983;0,00332677971746551;"extracellular space, cytoplasm, nucleoplasm, protein complex, condensed chromosome, perinuclear region of cytoplasm, nucleus"
"509";"P26599";"PTBP1_HUMAN";"Polypyrimidine tract-binding protein 1";"PTBP1";15;73;0,000467773588982918;12;14;13;13;16;19;18;20;NA;NA;NA;NA;"extracellular vesicular exosome, nucleolus, nucleoplasm"
"510";"P26639";"SYTC_HUMAN";"Threonine--tRNA ligase, cytoplasmic";"TARS";28;97;0,00119227062523731;23;22;23;20;25;24;26;22;0,00162100968141474;0,00157289608483362;0,00171936780461759;0,00142486124608325;"extracellular vesicular exosome, actin cytoskeleton, cytoplasm, cytosol"
"511";"P26640";"SYVC_HUMAN";"Valine--tRNA ligase";"VARS";13;41;0,00028825588985963;9;9;11;10;9;9;12;11;0,000333794620157143;0,00033738247705737;0,000453908077923022;0,000407505807325232;"cytosol, mitochondrion"
"512";"P26641";"EF1G_HUMAN";"Elongation factor 1-gamma";"EEF1G";24;104;0,00211491690893495;23;22;22;20;27;26;26;25;0,00289645125774802;0,00281915528248498;0,00284462911381811;0,00267883992333625;"cytosol, eukaryotic translation elongation factor 1 complex"
"514";"P27144";"KAD4_HUMAN";"Adenylate kinase isoenzyme 4, mitochondrial";"AK4";2;3;0,000119552262315183;NA;NA;1;2;NA;NA;1;2;NA;NA;0,000214402021859006;0,000419965218474597;"mitochondrial matrix, mitochondrion"
"517";"P27635";"RL10_HUMAN";"60S ribosomal protein L10";"RPL10";11;38;0,00157801537516956;8;7;9;10;9;7;10;12;0,00197157196204967;0,00154992739200603;0,00223418929320366;0,0026257638426122;"cytosol, endoplasmic reticulum, cytosolic large ribosomal subunit"
"518";"P27694";"RFA1_HUMAN";"Replication protein A 70 kDa DNA-binding subunit";"RPA1";9;14;0,000201970867396104;2;2;5;5;2;2;5;5;0,000152206493462709;0,000153842514790951;0,000388081581774012;0,000380082157953876;"nucleoplasm, lateral element, nucleus, cytoplasm, DNA replication factor A complex, male germ cell nucleus, actin cytoskeleton, PML body"
"519";"P27695";"APEX1_HUMAN";"DNA-(apurinic or apyrimidinic site) lyase";"APEX1";15;62;0,00173263058571249;13;12;12;13;18;14;14;16;0,0026535622633876;0,00208606579804585;0,0021049154473076;0,00235603128854931;"cytoplasm, nucleus, perinuclear region of cytoplasm, ribosome, centrosome, nuclear speck, nucleolus, mitochondrion, nucleoplasm, transcription factor complex, endoplasmic reticulum"
"520";"P27707";"DCK_HUMAN";"Deoxycytidine kinase";"DCK";3;11;0,000375976537768132;3;3;3;2;3;3;3;2;0,000540918461382857;0,000546732629487841;0,000551672894706442;0,000360200937383981;"nucleus, cytosol"
"521";"P27708";"PYR1_HUMAN";"CAD protein";"CAD";21;54;0,000215677654351975;14;12;12;15;14;12;13;15;0,00029497276396009;0,000255551431311171;0,000279348971401914;0,000315681720403939;"terminal bouton, nuclear matrix, nucleus, protein complex, extracellular vesicular exosome, cytosol, cell projection, neuronal cell body"
"525";"P28062";"PSB8_HUMAN";"Proteasome subunit beta type-8";"PSMB8";6;24;0,000386379050670808;6;5;5;2;7;7;7;3;NA;NA;NA;NA;"nucleoplasm, spermatoproteasome complex, proteasome core complex, cytosol, proteasome complex, extracellular vesicular exosome"
"526";"P28065";"PSB9_HUMAN";"Proteasome subunit beta type-9";"PSMB9";5;18;0,000365207595839531;2;4;4;4;3;4;5;6;NA;NA;NA;NA;"cytosol, proteasome core complex, spermatoproteasome complex, nucleoplasm, cytoplasm, extracellular vesicular exosome, proteasome complex"
"527";"P28066";"PSA5_HUMAN";"Proteasome subunit alpha type-5";"PSMA5";7;38;0,00140122527089745;7;7;7;6;10;10;11;7;0,00194521161769769;0,00196612010604203;0,0021822745212454;0,00136009482580673;"proteasome core complex, cytosol, proteasome core complex, alpha-subunit complex, extracellular vesicular exosome, nucleus, cytoplasm, nucleoplasm, proteasome complex"
"528";"P28070";"PSB4_HUMAN";"Proteasome subunit beta type-4";"PSMB4";6;34;0,00114450158191126;6;6;6;5;8;10;8;8;0,00142059393898528;0,00179482933922776;0,00144883790528965;0,00141897338969447;"extracellular vesicular exosome, proteasome complex, nucleoplasm, cytosol, proteasome core complex, nucleus"
"529";"P28072";"PSB6_HUMAN";"Proteasome subunit beta type-6";"PSMB6";3;9;0,000334646290748357;2;2;2;3;2;2;2;3;0,000392297907836939;0,00039651459879174;0,000400097496858228;0,000587775588199802;"nucleoplasm, extracellular vesicular exosome, proteasome core complex, cytosol"
"530";"P28074";"PSB5_HUMAN";"Proteasome subunit beta type-5";"PSMB5";8;26;0,000878534875669746;7;6;6;5;8;7;6;5;NA;NA;NA;NA;"nucleoplasm, nucleus, proteasome complex, proteasome core complex, cytosol, extracellular vesicular exosome"
"532";"P28340";"DPOD1_HUMAN";"DNA polymerase delta catalytic subunit";"POLD1";2;3;2,43515840753869e-05;0;1;0;2;0;1;0;2;NA;4,32637710000642e-05;NA;8,54633052031016e-05;"nucleotide-excision repair complex, nucleoplasm, cytoplasm, nucleus, aggresome, delta DNA polymerase complex"
"533";"P28482";"MK01_HUMAN";"Mitogen-activated protein kinase 1";"MAPK1";7;14;0,000345594595322223;4;3;3;4;4;3;3;4;0,000520884444294603;0,000394862454630107;0,000398430423954653;0,000520290242887973;"focal adhesion, early endosome, dendrite cytoplasm, microtubule organizing center, perikaryon, cytoplasm, nucleoplasm, pseudopodium, microtubule cytoskeleton, cytoskeleton, mitochondrion, Golgi apparatus, cytosol, nucleus, mitotic spindle, late endosome, caveola"
"534";"P28838";"AMPL_HUMAN";"Cytosol aminopeptidase";"LAP3";18;51;0,000436630661307185;12;11;10;14;14;12;10;15;NA;NA;NA;NA;"mitochondrion, extracellular vesicular exosome, cytoplasm, trans-Golgi network, nucleus"
"535";"P29144";"TPP2_HUMAN";"Tripeptidyl-peptidase 2";"TPP2";14;38;0,000270372530253232;8;9;8;9;9;12;8;9;0,000337803362592977;0,000455245744329347;0,000306239557242968;0,000337418011800847;"cytosol, nucleus, cytoplasm"
"536";"P29218";"IMPA1_HUMAN";"Inositol monophosphatase 1";"IMPA1";4;10;0,000320820150376483;2;3;3;2;2;3;3;2;NA;NA;NA;NA;"cytoplasm, cytosol"
"539";"P29401";"TKT_HUMAN";"Transketolase";"TKT";30;154;0,00219671684988122;25;27;27;29;37;41;39;37;0,0027841817006437;0,00311833591778512;0,00299302469359193;0,00278100563212994;"extracellular vesicular exosome, nucleus, peroxisome, cytosol"
"541";"P29692";"EF1D_HUMAN";"Elongation factor 1-delta";"EEF1D";2;7;0,000419484866491286;1;1;1;1;2;2;1;2;NA;NA;NA;NA;"cytosol, nucleolus, nucleus, eukaryotic translation elongation factor 1 complex, cytoplasm"
"542";"P29692";"EF1D_HUMAN";"Elongation factor 1-delta";"EEF1D";1;4;0,000479411275990041;1;1;0;1;1;1;0;2;NA;NA;NA;NA;"cytosol, nucleolus, nucleus, eukaryotic translation elongation factor 1 complex, cytoplasm"
"543";"P29762";"RABP1_HUMAN";"Cellular retinoic acid-binding protein 1";"CRABP1";6;21;0,0013621976749927;5;3;5;4;6;4;6;5;0,0020531211672926;0,00138345969505439;0,00209394091421423;0,00170898254963203;"cytosol"
"544";"P29803";"ODPAT_HUMAN";"Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial";"PDHA2";1;1;3,34015394963488e-05;0;0;0;1;0;0;0;1;0;0;0;0,000155167561391479;"mitochondrial matrix"
"545";"P30040";"ERP29_HUMAN";"Endoplasmic reticulum resident protein 29";"ERP29";10;48;0,00163433897295238;9;9;8;9;12;12;11;13;0,00215538390742594;0,00217855147382128;0,00201505042000054;0,00233233557156678;"endoplasmic reticulum, melanosome, endoplasmic reticulum lumen, cell surface"
"547";"P30042";"ES1_HUMAN";"ES1 protein homolog, mitochondrial";"C21orf33";5;15;0,000248695471047442;5;4;4;2;5;4;4;2;NA;NA;NA;NA;"mitochondrion"
"550";"P30046";"DOPD_HUMAN";"D-dopachrome decarboxylase";"DDT";5;17;0,00128028990518886;4;4;4;4;4;4;4;5;0,0015891389825937;0,00160622015442756;0,00162073392795113;0,00198415770592871;"cytoplasm, extracellular vesicular exosome"
"551";"P30048";"PRDX3_HUMAN";"Thioredoxin-dependent peroxide reductase, mitochondrial";"PRDX3";8;37;0,0012844084848471;7;6;6;6;10;9;8;10;0,00183123437447321;0,00166582598047077;0,00149411408982995;0,00182914538515303;"cytoplasm, early endosome, mitochondrion, mitochondrial matrix"
"553";"P30050";"RL12_HUMAN";"60S ribosomal protein L12";"RPL12";7;41;0,00220821481686407;7;7;7;7;11;10;10;10;NA;NA;NA;NA;"cytosolic large ribosomal subunit, extracellular vesicular exosome, cytosol"
"554";"P30084";"ECHM_HUMAN";"Enoyl-CoA hydratase, mitochondrial";"ECHS1";7;28;0,000858027960800001;5;4;4;6;8;6;6;8;0,00129323034445557;0,000980348163219577;0,000989206569818448;0,00129175508579083;"mitochondrial matrix, mitochondrion"
"555";"P30085";"KCY_HUMAN";"UMP-CMP kinase";"CMPK1";4;12;0,000544084785638485;2;3;3;3;3;3;3;3;0,000717544897752769;0,000725257569728769;0,000731810982773852;0,000716726354998738;"extracellular vesicular exosome, nucleolus, cytoplasm, cytosol, nucleus"
"556";"P30086";"PEBP1_HUMAN";"Phosphatidylethanolamine-binding protein 1";"PEBP1";8;37;0,00175833461027197;7;7;6;8;9;9;8;11;0,00225623743250603;0,00228048904278351;0,00204541821923244;0,00275447775646574;"extracellular vesicular exosome, cytoplasm"
"557";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";29;101;0,00177734363308572;25;22;25;20;28;24;27;22;0,00259926494974733;0,00225188885016774;0,00255626648240213;0,00203994986320433;"melanosome, cell surface, endoplasmic reticulum lumen, extracellular vesicular exosome, endoplasmic reticulum"
"562";"P30566";"PUR8_HUMAN";"Adenylosuccinate lyase";"ADSL";10;28;0,000514107662462811;5;6;6;8;7;6;7;8;NA;NA;NA;NA;"cytosol, mitochondrion"
"564";"P30740";"ILEU_HUMAN";"Leukocyte elastase inhibitor";"SERPINB1";8;27;0,00063309074001734;6;5;4;5;9;7;5;6;0,00111323588358477;0,00087515689152847;0,000630760565627418;0,000741310636304764;"cytoplasm, extracellular space, extracellular vesicular exosome"
"566";"P30876";"RPB2_HUMAN";"DNA-directed RNA polymerase II subunit RPB2";"POLR2B";2;2;1,51392132290095e-05;NA;NA;2;NA;NA;NA;2;NA;NA;NA;8,14508532786342e-05;NA;"nucleoplasm, DNA-directed RNA polymerase II, core complex, nucleus"
"569";"P31150";"GDIA_HUMAN";"Rab GDP dissociation inhibitor alpha";"GDI1";6;12;0,000348875996391221;5;2;2;3;5;2;2;3;0,000746233522414829;0,000300342806653773;0,000315790173028935;0,000485688878351799;"midbody, cytosol, Golgi apparatus, cytoplasm, protein complex, neuron projection"
"570";"P31153";"METK2_HUMAN";"S-adenosylmethionine synthase isoform type-2";"MAT2A";7;32;0,000719936661503075;6;6;6;6;9;9;7;7;0,00106814278450286;0,00107962392658358;0,000847295078789641;0,000829830007644109;"methionine adenosyltransferase complex, cytosol"
"573";"P31937";"3HIDH_HUMAN";"3-hydroxyisobutyrate dehydrogenase, mitochondrial";"HIBADH";4;11;0,000290934225653912;2;3;3;3;2;3;3;3;0,000279045238014966;0,000423066915675115;0,000426889739951413;0,000418090373749264;"mitochondrial matrix"
"574";"P31939";"PUR9_HUMAN";"Bifunctional purine biosynthesis protein PURH";"ATIC";19;88;0,00132099864621236;15;18;17;17;22;22;22;22;0,00174214729679614;0,00176087310848561;0,00177678432304102;0,00174015993398342;"mitochondrion, extracellular vesicular exosome, cytosol"
"575";"P31942";"HNRH3_HUMAN";"Heterogeneous nuclear ribonucleoprotein H3";"HNRNPH3";8;29;0,000372420269938481;7;5;7;7;7;5;8;9;NA;NA;NA;NA;"nucleus, spliceosomal complex"
"576";"P31943";"HNRH1_HUMAN";"Heterogeneous nuclear ribonucleoprotein H";"HNRNPH1";4;18;0,000969198381569523;4;4;4;3;5;5;5;3;0,0013246221138571;0,00152060819742147;0,00145782687733964;0,000897264775378153;"nucleus, nucleoplasm, catalytic step 2 spliceosome"
"578";"P31948";"STIP1_HUMAN";"Stress-induced-phosphoprotein 1";"STIP1";31;116;0,00189845176278032;26;24;27;28;29;26;30;31;0,00250369871014533;0,002268822943731;0,00264152767262753;0,00267331450765644;"nucleus, Golgi apparatus"
"579";"P31949";"S10AB_HUMAN";"Protein S100-A11";"S100A11";3;11;0,000930989522092519;3;3;3;2;3;3;3;2;0,00133941714247184;0,00135381413016037;0,00136604716784452;0,000891926130665097;"extracellular vesicular exosome, cytoplasm, extracellular space, ruffle, nucleus"
"580";"P32119";"PRDX2_HUMAN";"Peroxiredoxin-2";"PRDX2";9;42;0,00195701033853528;9;9;8;8;11;11;11;9;NA;NA;NA;NA;"cytoplasm, extracellular vesicular exosome, cytosol"
"581";"P32322";"P5CR1_HUMAN";"Pyrroline-5-carboxylate reductase 1, mitochondrial";"PYCR1";2;5;6,96451266883118e-05;2;2;NA;1;2;2;NA;1;NA;NA;NA;NA;"mitochondrion, mitochondrial matrix"
"583";"P32969";"RL9_HUMAN";"60S ribosomal protein L9";"RPL9,RPL9P8,RPL9P7,RPL9P9";6;23;0,00106455478023363;4;3;4;6;6;4;6;7;0,00146498749957857;0,000987156136575269;0,00149411408982995;0,00170720235947616;"cytosol, cytosolic large ribosomal subunit, cytoplasm, nucleolus, ribosome"
"584";"P33176";"KINH_HUMAN";"Kinesin-1 heavy chain";"KIF5B";12;27;0,000311450402993992;7;7;6;5;7;7;8;5;0,000438127102677703;0,000393632353525341;0,000496486509600813;0,000324168375631136;"microtubule, cytoplasm, perinuclear region of cytoplasm, kinesin complex, neuron projection, ciliary rootlet, microtubule organizing center, vesicle"
"585";"P33240";"CSTF2_HUMAN";"Cleavage stimulation factor subunit 2";"CSTF2";2;2;1,54015912745729e-05;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;"cleavage body, nucleoplasm, nucleus, mRNA cleavage and polyadenylation specificity factor complex"
"586";"P33316";"DUT_HUMAN";"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial";"DUT";8;51;0,000899251242930274;7;8;8;8;13;13;14;11;NA;NA;NA;NA;"extracellular vesicular exosome, mitochondrion, nucleoplasm, nucleus"
"587";"P33991";"MCM4_HUMAN";"DNA replication licensing factor MCM4";"MCM4";26;104;0,00107093706744446;22;24;21;18;26;31;25;22;0,00141236338313948;0,00170207222621553;0,00138504202996982;0,00119371341937217;"MCM complex, nucleoplasm, nucleus"
"588";"P33992";"MCM5_HUMAN";"DNA replication licensing factor MCM5";"MCM5";29;99;0,00119861730024173;23;23;22;16;27;26;25;21;0,00172445395045761;0,00167843441205168;0,0016284622232479;0,00133971193332189;"MCM complex, nucleoplasm, nucleus"
"589";"P33993";"MCM7_HUMAN";"DNA replication licensing factor MCM7";"MCM7";30;107;0,00132250186884681;24;24;27;23;26;26;30;25;NA;NA;NA;NA;"chromatin, nucleus, cytosol, nucleoplasm, MCM complex, cytoplasm"
"590";"P34896";"GLYC_HUMAN";"Serine hydroxymethyltransferase, cytosolic";"SHMT1";2;10;9,74064833623886e-05;1;2;2;2;1;3;3;3;NA;NA;NA;NA;"nucleus, extracellular vesicular exosome, mitochondrion, cytosol, cytoplasm"
"592";"P34931";"HS71L_HUMAN";"Heat shock 70 kDa protein 1-like";"HSPA1L";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"mitochondrial matrix, zona pellucida receptor complex, blood microparticle, cell body"
"593";"P34932";"HSP74_HUMAN";"Heat shock 70 kDa protein 4";"HSPA4";27;106;0,00113381056940926;22;20;22;21;28;26;27;25;0,00159390639954148;0,0014666319743404;0,00153680306382509;0,0014276256664609;"mitochondrion, extracellular vesicular exosome"
"594";"P35219";"CAH8_HUMAN";"Carbonic anhydrase-related protein";"CA8";4;7;0,0002145069902;2;3;2;NA;2;3;2;NA;0,000323307586113891;0,000490174081609788;0,000329735523272816;NA;"cytoplasm"
"596";"P35237";"SPB6_HUMAN";"Serpin B6";"SERPINB6";2;6;0,000141809332427052;2;2;2;NA;2;2;2;NA;0,000249359574396352;0,000252039864657515;0,000254317291885948;NA;"extracellular vesicular exosome, cytosol, extracellular space, cytoplasm, protein complex"
"598";"P35244";"RFA3_HUMAN";"Replication protein A 14 kDa subunit";"RPA3";3;8;0,000587551614243212;2;NA;2;2;2;NA;2;4;0,000774869421264699;NA;0,000790275221067079;0,00154797097057579;"nucleoplasm, DNA replication factor A complex"
"599";"P35249";"RFC4_HUMAN";"Replication factor C subunit 4";"RFC4";4;14;0,000342738441641874;3;4;3;3;3;5;3;3;0,000387434710632349;0,00065266521426464;0,00039513761053354;0,000386992742643947;"DNA replication factor C complex, nucleoplasm"
"600";"P35250";"RFC2_HUMAN";"Replication factor C subunit 2";"RFC2";2;2;2,51037236311542e-05;NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;"nucleoplasm, DNA replication factor C complex"
"601";"P35251";"RFC1_HUMAN";"Replication factor C subunit 1";"RFC1";1;1;3,87052184905426e-06;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;"extracellular vesicular exosome, DNA replication factor C complex, nucleoplasm, cell junction, Golgi apparatus, nucleus"
"602";"P35268";"RL22_HUMAN";"60S ribosomal protein L22";"RPL22";2;8;0,000555419885339287;2;2;1;2;2;2;1;3;0,000732493749789285;0,000740367102431451;0,000373528522457487;0,00109748723109182;"cytoplasm, extracellular vesicular exosome, ribonucleoprotein complex, cytosolic large ribosomal subunit, cytosol"
"603";"P35520";"CBS_HUMAN";"Cystathionine beta-synthase";"CBS";4;12;9,67700707669174e-05;3;2;3;1;5;2;4;1;NA;NA;NA;NA;"cytosol, nucleus"
"606";"P35606";"COPB2_HUMAN";"Coatomer subunit beta'";"COPB2";13;43;0,000421775806968465;10;11;7;11;10;11;9;13;0,000517434878438347;0,000575296291514064;0,000474950174250579;0,000671897995782482;"COPI vesicle coat, cytosol"
"608";"P35637";"FUS_HUMAN";"RNA-binding protein FUS";"FUS";5;29;0,000291638179881212;5;5;3;4;8;8;5;8;NA;NA;NA;NA;"nucleoplasm, cytoplasm, nucleus"
"609";"P35659";"DEK_HUMAN";"Protein DEK";"DEK";4;8;9,47916604312382e-05;2;NA;2;4;2;NA;2;4;NA;NA;NA;NA;"nucleus"
"610";"P35754";"GLRX1_HUMAN";"Glutaredoxin-1";"GLRX";1;4;0,000335347855299192;1;1;1;1;1;1;1;1;0,000442260377231267;0,000447014099581254;0,000451053310137342;0,000441755866602996;"nucleus, cytosol, extracellular vesicular exosome, mitochondrion"
"611";"P35998";"PRS7_HUMAN";"26S protease regulatory subunit 7";"PSMC2";14;45;0,00092356193405147;11;8;9;11;13;10;10;12;0,00140747066934108;0,00109430703361693;0,00110419517031312;0,00129772162198386;"cytoplasmic mRNA processing body, nucleoplasm, proteasome accessory complex, proteasome complex, cytosol, cytoplasm"
"616";"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";19;77;0,00160252294786417;17;15;15;18;19;18;18;22;0,00208597751696434;0,00199743068384317;0,00201547942796733;0,00241258707474985;"extracellular vesicular exosome, cytosol, nucleus, ribonucleoprotein complex, nucleolus, cytoplasm, cytosolic large ribosomal subunit"
"617";"P36639";"8ODP_HUMAN";"7,8-dihydro-8-oxoguanine triphosphatase";"NUDT1";3;5;5,63878056182017e-05;1;1;2;1;1;1;2;1;NA;NA;NA;NA;"mitochondrial matrix, cytosol, cytoplasm, nucleus, mitochondrion"
"618";"P36776";"LONM_HUMAN";"Lon protease homolog, mitochondrial";"LONP1";15;42;0,000389199335712201;10;9;11;10;11;9;11;11;0,000537722210481394;0,00044468347341034;0,000548413096579918;0,000537108801312923;"mitochondrion, mitochondrial matrix, mitochondrial nucleoid, cytoplasm"
"619";"P36871";"PGM1_HUMAN";"Phosphoglucomutase-1";"PGM1";8;23;0,000181845656410016;6;6;6;5;6;6;6;5;NA;NA;NA;NA;"cytosol, extracellular vesicular exosome, cytoplasm"
"620";"P36957";"ODO2_HUMAN";"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial";"DLST";2;6;0,000117704876363293;2;2;NA;2;2;2;NA;2;0,000206973951375339;0,00020919865145966;NA;0,000206737844856148;"oxoglutarate dehydrogenase complex, mitochondrial matrix"
"621";"P36959";"GMPR1_HUMAN";"GMP reductase 1";"GMPR";3;6;0,000176630423163798;1;1;2;1;1;2;2;1;0,000135882898511636;0,000274686924960075;0,00027716899057715;0,000203591834173555;"cytosol, GMP reductase complex"
"623";"P37108";"SRP14_HUMAN";"Signal recognition particle 14 kDa protein";"SRP14";3;8;0,000522748127378152;2;2;1;3;2;2;1;3;0,000689405882154622;0,000696816096406072;0,000351556256430576;0,00103292915867465;"cytosol, signal recognition particle, endoplasmic reticulum targeting, cytoplasm, intercellular bridge, nucleolus"
"625";"P37802";"TAGL2_HUMAN";"Transgelin-2";"TAGLN2";15;82;0,00366186376665902;15;13;14;14;22;19;20;21;0,00518266934524278;0,00452405224400324;0,00480519104266918;0,00494145004551894;"extracellular vesicular exosome"
"628";"P38159";"RBMX_HUMAN";"RNA-binding motif protein, X chromosome";"RBMX";14;47;0,00106822443420753;12;10;9;12;12;12;10;13;NA;NA;NA;NA;"extracellular vesicular exosome, nuclear euchromatin, extracellular space, ribonucleoprotein complex, supraspliceosomal complex, nucleoplasm, catalytic step 2 spliceosome, nucleus"
"630";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";28;129;0,00169920309972349;25;28;24;25;30;36;31;32;0,00209888047067752;0,00251223240648316;0,00218285887645259;0,0022344128840373;"mitochondrial nucleoid, extracellular vesicular exosome, mitochondrion, cytoplasm, nucleolus"
"631";"P38919";"IF4A3_HUMAN";"Eukaryotic initiation factor 4A-III";"EIF4A3";14;40;0,000983597449730181;9;9;11;10;9;9;11;11;0,00117321209559577;0,00117293321972003;0,00148437144807631;0,00139786008546825;"catalytic step 2 spliceosome, exon-exon junction complex, nucleus, nuclear speck, cytoplasm, cytosol"
"632";"P39019";"RS19_HUMAN";"40S ribosomal protein S19";"RPS19";10;36;0,00220635761348572;10;9;8;9;10;9;8;9;0,00323307586113891;0,00294104448965873;0,00263788418618253;0,00290644894302937;"cytosol, cytoplasm, extracellular vesicular exosome, ribosome, nucleolus, cytosolic small ribosomal subunit"
"633";"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";18;84;0,00185231842654095;17;17;17;15;20;23;21;20;0,00232653101670046;0,00270426892004739;0,00249142597609361;0,00232387701538052;"cytosolic large ribosomal subunit, cytosol, nucleolus, cytoplasm, extracellular vesicular exosome, nucleus"
