"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5830.1.id.csv";"peptide.count.P5830.2.id.csv";"spectra.count.P5830.1.id.csv";"spectra.count.P5830.2.id.csv";"dNSAF.P5830.1.id.csv";"dNSAF.P5830.2.id.csv";"Go.Cc"
"223";223;"P27105";"P27105-1,P27105-2";"P27105-1,P27105-2";"STOM_HUMAN";"Erythrocyte band 7 integral membrane protein";"STOM";1;2;0,000232967374691946;1;1;1;1;NA;NA;"extracellular vesicular exosome, blood microparticle, melanosome, integral component of plasma membrane, cytoskeleton, cytoplasm, membrane raft"
"225";225;"P27487";"P27487";"P27487";"DPP4_HUMAN";"Dipeptidyl peptidase 4";"DPP4";2;2;0,000175181733449818;2;NA;2;NA;0,000440195583339647;NA;"membrane raft, endocytic vesicle, lamellipodium membrane, plasma membrane, integral component of membrane, lamellipodium, intercellular canaliculus, invadopodium membrane, cell surface, lysosomal membrane, extracellular vesicular exosome, apical plasma membrane"
"229";229;"P27797";"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";10;19;0,00305706828372741;9;8;10;9;0,00404304336736414;0,0035820440637408;"cytosol, extracellular space, intracellular, endocytic vesicle lumen, polysome, extracellular vesicular exosome, Golgi apparatus, MHC class I peptide loading complex, endoplasmic reticulum, sarcoplasmic reticulum lumen, integral component of lumenal side of endoplasmic reticulum membrane, cytoplasm, external side of plasma membrane, acrosomal vesicle, nucleus, extracellular region, endoplasmic reticulum lumen, proteinaceous extracellular matrix, perinuclear region of cytoplasm, cell surface"
"230";230;"P27816";"P27816-1,P27816-4,P27816-5,P27816-6";"P27816-1,P27816-4,P27816-5,P27816-6";"MAP4_HUMAN";"Microtubule-associated protein 4";"MAP4";5;8;0,000116483687345973;5;3;5;3;NA;NA;"microtubule cytoskeleton, microtubule associated complex, plasma membrane, cytoplasm, mitotic spindle, microtubule"
"240";240;"P30040";"P30040";"P30040";"ERP29_HUMAN";"Endoplasmic reticulum resident protein 29";"ERP29";3;6;0,00154240468761564;2;2;3;3;0,00193787251056419;0,00190767863931024;"endoplasmic reticulum lumen, endoplasmic reticulum, melanosome, cell surface"
"246";246;"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";12;20;0,00265721203609031;9;10;10;10;0,00333851303800168;0,00328649587366318;"melanosome, cell surface, endoplasmic reticulum lumen, endoplasmic reticulum, extracellular vesicular exosome"
"248";248;"P30453";"P30453";"P30453";"1A34_HUMAN";"HLA class I histocompatibility antigen, A-34 alpha chain";"HLA-A";0;0;0;0;0;0;0;0;0;"early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane, phagocytic vesicle membrane, MHC class I protein complex, Golgi membrane, ER to Golgi transport vesicle membrane"
"249";249;"P30464";"P30464";"P30464";"1B15_HUMAN";"HLA class I histocompatibility antigen, B-15 alpha chain";"HLA-B";0;0;0;0;0;0;0;0;0;"phagocytic vesicle membrane, Golgi membrane, ER to Golgi transport vesicle membrane, cell surface, MHC class I protein complex, early endosome membrane, plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane"
"250";250;"P30479";"P30479";"P30479";"1B41_HUMAN";"HLA class I histocompatibility antigen, B-41 alpha chain";"HLA-B";1;2;0,0041599478177037;1;1;1;1;0,00617094623357147;0,00490568520810469;"plasma membrane, Golgi membrane, MHC class I protein complex, cell surface, phagocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, early endosome membrane, ER to Golgi transport vesicle membrane"
"251";251;"P30486";"P30486";"P30486";"1B48_HUMAN";"HLA class I histocompatibility antigen, B-48 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"cell surface, integral component of membrane, MHC class I protein complex"
"252";252;"P30490";"P30490";"P30490";"1B52_HUMAN";"HLA class I histocompatibility antigen, B-52 alpha chain";"HLA-B";0;0;0;0;0;0;0;0;0;"Golgi membrane, ER to Golgi transport vesicle membrane, early endosome membrane, cell surface, MHC class I protein complex, phagocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane"
"253";253;"P30492";"P30492";"P30492";"1B54_HUMAN";"HLA class I histocompatibility antigen, B-54 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"phagocytic vesicle membrane, MHC class I protein complex, cell surface, early endosome membrane, ER to Golgi transport vesicle membrane, plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane"
"254";254;"P30493";"P30493,Q29940";"P30493,Q29940";"1B55_HUMAN, 1B59_HUMAN";"HLA class I histocompatibility antigen, B-55 alpha chain, HLA class I histocompatibility antigen, B-59 alpha chain";"HLA-B";0;0;0;0;0;0;0;0;0;"Golgi membrane, phagocytic vesicle membrane, early endosome membrane, cell surface, MHC class I protein complex, integral component of lumenal side of endoplasmic reticulum membrane, plasma membrane, ER to Golgi transport vesicle membrane"
"255";255;"P30499";"P30499";"P30499";"1C01_HUMAN";"HLA class I histocompatibility antigen, Cw-1 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"MHC class I protein complex, integral component of plasma membrane, cell surface, phagocytic vesicle membrane, Golgi membrane, ER to Golgi transport vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, early endosome membrane, plasma membrane"
"256";256;"P30501";"P30501";"P30501";"1C02_HUMAN";"HLA class I histocompatibility antigen, Cw-2 alpha chain";"HLA-C";0;0;0;0;0;0;0;NA;0;"phagocytic vesicle membrane, Golgi membrane, ER to Golgi transport vesicle membrane, early endosome membrane, cell surface, integral component of lumenal side of endoplasmic reticulum membrane, integral component of plasma membrane, plasma membrane, MHC class I protein complex"
"257";257;"P30508";"P30508";"P30508";"1C12_HUMAN";"HLA class I histocompatibility antigen, Cw-12 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"MHC class I protein complex, Golgi membrane, integral component of plasma membrane, cell surface, early endosome membrane, plasma membrane, phagocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane"
"260";260;"P31146";"P31146";"P31146";"COR1A_HUMAN";"Coronin-1A";"CORO1A";3;4;0,000582165760618485;2;2;2;2;0,00073143127296783;0,000720034887722302;"extracellular vesicular exosome, immunological synapse, actin filament, phagocytic cup, phagocytic vesicle, protein complex, cortical actin cytoskeleton, lamellipodium, cytoplasm, plasma membrane, phagocytic vesicle membrane"
"267";267;"P32942";"P32942";"P32942";"ICAM3_HUMAN";"Intercellular adhesion molecule 3";"ICAM3";4;11;0,00134925163258516;4;4;6;5;0,00184930429710148;0,00151707533473483;"integral component of plasma membrane, plasma membrane, extracellular vesicular exosome"
"270";270;"P35241";"P35241";"P35241";"RADI_HUMAN";"Radixin";"RDX";2;2;0,00030044141848478;2;0;2;0;0,000724277206759049;0;"ruffle, extrinsic component of membrane, filopodium, cleavage furrow, apical part of cell, extracellular vesicular exosome, cell tip, T-tubule, lamellipodium, cytoplasm, stereocilium, cytoskeleton, plasma membrane"
"274";274;"P35579";"P35579-1";"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";25;48;0,00177726647595062;23;20;25;23;NA;NA;"uropod, cell leading edge, myosin II complex, actomyosin, actin cytoskeleton, myosin II filament, actomyosin contractile ring, extracellular vesicular exosome, cytoplasm, cell-cell adherens junction, protein complex, plasma membrane, cortical cytoskeleton, nucleus, spindle, cytosol, ruffle, stress fiber, immunological synapse, cleavage furrow, neuromuscular junction"
"275";275;"P35613";"P35613-1,P35613-2";"P35613-1,P35613-2";"BASI_HUMAN";"Basigin";"BSG";7;21;0,00182985283394401;7;6;12;9;NA;NA;"acrosomal membrane, integral component of plasma membrane, Golgi membrane, plasma membrane, sarcolemma, melanosome, mitochondrion, extracellular vesicular exosome, membrane raft"
"288";288;"P38606";"P38606";"P38606";"VATA_HUMAN";"V-type proton ATPase catalytic subunit A";"ATP6V1A";1;1;0,000108743280245187;1;NA;1;NA;0,000273249446384254;NA;"plasma membrane, cytosol, apical plasma membrane, microvillus, proton-transporting V-type ATPase, V1 domain, mitochondrion, proton-transporting two-sector ATPase complex, extracellular vesicular exosome, integral component of plasma membrane, lysosomal membrane"
"296";296;"P40926";"P40926";"P40926";"MDHM_HUMAN";"Malate dehydrogenase, mitochondrial";"MDH2";19;51;0,010123742010282;18;18;26;25;0,0129688391091604;0,0122757427233721;"nucleus, mitochondrion, mitochondrial inner membrane, mitochondrial matrix, plasma membrane, extracellular vesicular exosome"
"300";300;"P41240";"P41240";"P41240";"CSK_HUMAN";"Tyrosine-protein kinase CSK";"CSK";1;1;0,000149099119802845;1;NA;1;NA;0,000374655352042411;NA;"plasma membrane, extracellular vesicular exosome, membrane raft, cytosol, cell-cell junction, cytoplasm"
"307";307;"P43121";"P43121-1";"P43121-1";"MUC18_HUMAN";"Cell surface glycoprotein MUC18";"MCAM";3;3;0,000311584847885203;3;NA;3;NA;NA;NA;"integral component of membrane, external side of plasma membrane, plasma membrane"
"312";312;"P46459";"P46459";"P46459";"NSF_HUMAN";"Vesicle-fusing ATPase";"NSF";3;5;0,00045090459617796;3;2;3;2;0,000679818179109213;0,000446150649516104;"lysosomal membrane, cytosol, plasma membrane, cytoplasm"
"319";319;"P46940";"P46940";"P46940";"IQGA1_HUMAN";"Ras GTPase-activating-like protein IQGAP1";"IQGAP1";7;11;0,000445407750768911;5;6;5;6;0,000508735390522283;0,000600970579191275;"nucleus, cell leading edge, plasma membrane, cytoplasm, neuron projection, microtubule, lateral plasma membrane, extracellular vesicular exosome, extrinsic component of cytoplasmic side of plasma membrane, slit diaphragm, midbody, ribonucleoprotein complex, cell junction, actin filament"
"322";322;"P48047";"P48047";"P48047";"ATPO_HUMAN";"ATP synthase subunit O, mitochondrial";"ATP5O";4;9;0,00283498326385692;4;4;5;4;0,00395762695819448;0,00311677073464771;"mitochondrial proton-transporting ATP synthase complex, mitochondrion, plasma membrane, mitochondrial inner membrane"
"325";325;"P48960";"P48960-1,P48960-2,P48960-3";"P48960-1,P48960-2,P48960-3";"CD97_HUMAN";"CD97 antigen";"CD97";1;2;5,35685460369504e-05;1;1;1;1;NA;NA;"integral component of plasma membrane, extracellular vesicular exosome, extracellular space, plasma membrane"
"327";327;"P49327";"P49327";"P49327";"FAS_HUMAN";"Fatty acid synthase";"FASN";17;30;0,00080160817098304;14;15;15;15;0,00100713804312476;0,000991445887813564;"cytoplasm, extracellular vesicular exosome, Golgi apparatus, mitochondrion, plasma membrane, melanosome, cytosol, glycogen granule"
"328";328;"P49368";"P49368-1";"P49368-1";"TCPG_HUMAN";"T-complex protein 1 subunit gamma";"CCT3";9;17;0,00209285920457205;9;7;10;7;NA;NA;"cytoskeleton, cytosol, cytoplasm, plasma membrane, chaperonin-containing T-complex, cell body, extracellular vesicular exosome, microtubule, zona pellucida receptor complex"
"330";330;"P49755";"P49755";"P49755";"TMEDA_HUMAN";"Transmembrane emp24 domain-containing protein 10";"TMED10";1;2;0,000612736108778817;1;1;1;1;0,000769839764470706;0,000757844938904067;"endoplasmic reticulum, endoplasmic reticulum membrane, gamma-secretase complex, endoplasmic reticulum-Golgi intermediate compartment, trans-Golgi network transport vesicle, secretory granule membrane, Golgi apparatus, cis-Golgi network, transport vesicle membrane, zymogen granule membrane, melanosome, plasma membrane, integral component of membrane, Golgi membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, COPI-coated vesicle"
"334";334;"P50552";"P50552";"P50552";"VASP_HUMAN";"Vasodilator-stimulated phosphoprotein";"VASP";1;1;0,000176564747134949;NA;1;NA;1;NA;0,000436758004263133;"extracellular vesicular exosome, cytoplasm, filopodium membrane, actin cytoskeleton, focal adhesion, tight junction, cytosol, lamellipodium membrane, plasma membrane"
"335";335;"P50895";"P50895";"P50895";"BCAM_HUMAN";"Basal cell adhesion molecule";"BCAM";5;8;0,000854708330080006;3;5;3;5;0,000805389689900086;0,0013214016052547;"plasma membrane, external side of plasma membrane, integral component of plasma membrane, extracellular vesicular exosome"
"340";340;"P51572";"P51572-1,P51572-2";"P51572-1,P51572-2";"BAP31_HUMAN";"B-cell receptor-associated protein 31";"BCAP31";6;11;0,00150008260777253;5;5;5;6;NA;NA;"integral component of lumenal side of endoplasmic reticulum membrane, cytosol, integral component of plasma membrane, endoplasmic reticulum-Golgi intermediate compartment membrane, Golgi membrane, lipid particle, endoplasmic reticulum membrane, endoplasmic reticulum"
"346";346;"P52272";"P52272-1,P52272-2";"P52272-1,P52272-2";"HNRPM_HUMAN";"Heterogeneous nuclear ribonucleoprotein M";"HNRNPM";17;31;0,00142461145291075;12;16;13;18;NA;NA;"paraspeckles, nuclear matrix, integral component of plasma membrane, spliceosomal complex, catalytic step 2 spliceosome, nucleus, nucleoplasm"
"353";353;"P53396";"P53396-1,P53396-2";"P53396-1,P53396-2";"ACLY_HUMAN";"ATP-citrate synthase";"ACLY";15;26;0,000792216031649996;10;13;10;16;NA;NA;"mitochondrion, citrate lyase complex, cytoplasm, extracellular vesicular exosome, cytosol, plasma membrane, nucleus"
"354";354;"P53985";"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";3;6;0,000805135246935365;3;3;3;3;0,00101156945051451;0,000995808249719943;"mitochondrion, integral component of plasma membrane, integral component of membrane, centrosome, membrane, extracellular vesicular exosome, plasma membrane"
"357";357;"P54105";"P54105";"P54105";"ICLN_HUMAN";"Methylosome subunit pICln";"CLNS1A";1;1;0,000283099594562365;NA;1;NA;1;NA;0,000700287095442998;"cytosol, cytoskeleton, pICln-Sm protein complex, cytoplasm, plasma membrane, nucleus, methylosome"
"385";385;"P61769";"P61769";"P61769";"B2MG_HUMAN";"Beta-2-microglobulin";"B2M";6;24;0,0135316848224431;5;6;12;12;0,017001167235538;0,0167362731045369;"cytoplasm, extracellular space, ER to Golgi transport vesicle membrane, external side of plasma membrane, Golgi apparatus, extracellular vesicular exosome, phagocytic vesicle membrane, plasma membrane, early endosome membrane, MHC class I protein complex, early endosome lumen, Golgi membrane, extracellular region, endoplasmic reticulum lumen"
"389";389;"P62158";"P62158";"P62158";"CALM_HUMAN";"Calmodulin";"CALM2,CALM1,CALM3";4;8;0,00360239484087412;4;4;4;4;0,00452603780990832;0,00445551789583867;"cytoplasm, extracellular vesicular exosome, extracellular region, spindle microtubule, spindle pole, growth cone, sarcomere, nucleoplasm, centrosome, plasma membrane, cytosol"
"416";416;"P62979";"P62979";"P62979";"RS27A_HUMAN";"Ubiquitin-40S ribosomal protein S27a";"RPS27A";5;9;0,0038708425333431;4;5;4;5;0,00432294636972012;0,00531948851346124;"endocytic vesicle membrane, endosome membrane, small ribosomal subunit, extracellular vesicular exosome, cytosolic small ribosomal subunit, nucleoplasm, cytosol, plasma membrane"
"418";418;"P63092";"P63092-1,P63092-2,P63092-3,Q5JWF2-1,Q5JWF2-2";"P63092-1,P63092-2,P63092-3,Q5JWF2-1,Q5JWF2-2";"GNAS1_HUMAN, GNAS2_HUMAN";"Guanine nucleotide-binding protein G(s) subunit alpha isoforms short, Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas";"GNAS";1;2;4,71004590461779e-05;1;1;1;1;NA;NA;"cytoplasm, heterotrimeric G-protein complex, extracellular vesicular exosome, intrinsic component of membrane, trans-Golgi network membrane, membrane, cytosol, plasma membrane"
"421";421;"P63167";"P63167";"P63167";"DYL1_HUMAN";"Dynein light chain 1, cytoplasmic";"DYNLL1";1;4;0,00301548781623732;1;1;2;2;0,00378864962739516;0,00372961891280878;"mitotic spindle, cytosol, mitochondrion, nucleus, cytoplasmic dynein complex, plasma membrane, centrosome, cytoplasm, microtubule, kinetochore"
"428";428;"P68104";"P68104,Q5VTE0";"P68104,Q5VTE0";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";11;32;0,00232362264627811;9;9;16;16;0,00291939235357722;0,00287390548259724;"nucleus, extracellular vesicular exosome, cytoplasm, plasma membrane, extracellular space, cytosol, eukaryotic translation elongation factor 1 complex"
"443";443;"P98172";"P98172";"P98172";"EFNB1_HUMAN";"Ephrin-B1";"EFNB1";3;5;0,000969575201030064;2;2;2;3;0,000974537042884883;0,00143902926260107;"cytoplasm, integral component of plasma membrane, membrane raft, synapse, plasma membrane, nucleus, extracellular vesicular exosome"
"444";444;"Q00325";"Q00325-1,Q00325-2";"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";3;5;0,000463360524249174;3;2;3;2;NA;NA;"extracellular vesicular exosome, mitochondrion, integral component of plasma membrane, mitochondrial inner membrane"
"445";445;"Q00341";"Q00341";"Q00341";"VIGLN_HUMAN";"Vigilin";"HDLBP";3;3;0,000158741176446247;3;NA;3;NA;0,000398883852726541;NA;"high-density lipoprotein particle, plasma membrane, cytoplasm, nucleus"
"446";446;"Q00610";"Q00610-1,Q00610-2";"Q00610-1,Q00610-2";"CLH1_HUMAN";"Clathrin heavy chain 1";"CLTC";15;25;0,000500705999337914;12;12;13;12;NA;NA;"clathrin coat of trans-Golgi network vesicle, clathrin-coated endocytic vesicle membrane, cytosol, clathrin complex, clathrin coat of coated pit, mitochondrion, plasma membrane, clathrin-coated vesicle, clathrin coat, protein complex, trans-Golgi network membrane, melanosome, spindle, extracellular vesicular exosome"
"448";448;"Q00839";"Q00839-1";"Q00839-1";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";2;3;0,00201283811733841;2;1;2;1;NA;NA;"ribonucleoprotein complex, catalytic step 2 spliceosome, nucleoplasm, cell surface, CRD-mediated mRNA stability complex"
"449";449;"Q00839";"Q00839-2";"Q00839-2";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";1;1;0,000670946039112804;0;1;0;1;NA;NA;"ribonucleoprotein complex, catalytic step 2 spliceosome, nucleoplasm, cell surface, CRD-mediated mRNA stability complex"
"455";455;"Q01518";"Q01518-1,Q01518-2";"Q01518-1,Q01518-2";"CAP1_HUMAN";"Adenylyl cyclase-associated protein 1";"CAP1";6;9;0,000635633089685815;4;5;4;5;NA;NA;"plasma membrane, extracellular vesicular exosome, cortical actin cytoskeleton"
"457";457;"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";3;8;0,00105869197493145;3;3;4;4;0,00133013734452927;0,00130941255715969;"nucleus, integral component of membrane, cytosol, apical plasma membrane, nucleolus, plasma membrane, extracellular vesicular exosome"
"459";459;"Q01844";"Q01844-1,Q01844-3,Q01844-5";"Q01844-1,Q01844-3,Q01844-5";"EWS_HUMAN";"RNA-binding protein EWS";"EWSR1";3;5;0,000170463932701424;2;3;2;3;NA;NA;"plasma membrane, cytoplasm, nucleus"
"466";466;"Q04826";"Q04826";"Q04826";"1B40_HUMAN";"HLA class I histocompatibility antigen, B-40 alpha chain";"HLA-B";0;0;0;0;0;0;0;NA;0;"MHC class I protein complex, cell surface, ER to Golgi transport vesicle membrane, phagocytic vesicle membrane, early endosome membrane, plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane"
"472";472;"Q07021";"Q07021";"Q07021";"C1QBP_HUMAN";"Complement component 1 Q subcomponent-binding protein, mitochondrial";"C1QBP";5;20;0,00475848254689932;5;4;10;10;0,00597854285174059;0,00588539154680818;"cell surface, nucleolus, cytosol, cytoplasm, mitochondrion, nucleus, plasma membrane, membrane, mitochondrial matrix, extracellular space"
"491";491;"Q13283";"Q13283";"Q13283";"G3BP1_HUMAN";"Ras GTPase-activating protein-binding protein 1";"G3BP1";4;6;0,000863879020316916;3;3;3;3;0,00108537494690398;0,00106846378725316;"plasma membrane, cytosol, cytoplasm, cytoplasmic stress granule, nucleus"
"492";492;"Q13308";"Q13308-1,Q13308-2,Q13308-4,Q13308-6";"Q13308-1,Q13308-2,Q13308-4,Q13308-6";"PTK7_HUMAN";"Inactive tyrosine-protein kinase 7";"PTK7";12;21;0,000329202495826376;11;10;11;10;NA;NA;"cell-cell junction, integral component of plasma membrane"
"499";499;"Q13813";"Q13813-1,Q13813-2";"Q13813-1,Q13813-2";"SPTN1_HUMAN";"Spectrin alpha chain, non-erythrocytic 1";"SPTAN1";13;21;0,000284989215642575;8;12;8;13;NA;NA;"cuticular plate, intracellular membrane-bounded organelle, extracellular vesicular exosome, spectrin, fascia adherens, Z disc, membrane, cytosol, microtubule cytoskeleton, lateral plasma membrane"
"501";501;"Q14126";"Q14126";"Q14126";"DSG2_HUMAN";"Desmoglein-2";"DSG2";5;5;0,000300065312662256;NA;5;NA;5;NA;0,000742254211180638;"plasma membrane, integral component of membrane, extracellular vesicular exosome, desmosome, lateral plasma membrane, apical plasma membrane, cell-cell junction"
"512";512;"Q15019";"Q15019-1,Q15019-2";"Q15019-1,Q15019-2";"SEPT2_HUMAN";"Septin-2";"SEPT2";2;3;0,000278786442844656;1;2;1;2;NA;NA;"condensed chromosome kinetochore, exocyst, nucleolus, synapse, actin cytoskeleton, midbody, extracellular vesicular exosome, cleavage furrow, spindle, perinuclear region of cytoplasm, cell surface, nucleus, cytoplasm, septin complex, ciliary membrane"
"514";514;"Q15046";"Q15046-1,Q15046-2";"Q15046-1,Q15046-2";"SYK_HUMAN";"Lysine--tRNA ligase";"KARS";4;6;0,000337158813624525;3;3;3;3;NA;NA;"mitochondrial matrix, microtubule cytoskeleton, plasma membrane, aminoacyl-tRNA synthetase multienzyme complex, extracellular region, mitochondrion, cytosol, cytoplasm, nucleus"
"517";517;"Q15262";"Q15262-2,Q15262-3";"Q15262-2,Q15262-3";"PTPRK_HUMAN";"Receptor-type tyrosine-protein phosphatase kappa";"PTPRK";6;9;0,000209816343016513;3;5;4;5;NA;NA;"integral component of plasma membrane, dendrite, axon, adherens junction, cell surface, integral component of membrane, leading edge membrane, cell-cell junction, photoreceptor outer segment, neuronal cell body"
"526";526;"Q15758";"Q15758-1";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";5;11;0,00136421560632918;5;5;6;5;NA;NA;"melanosome, integral component of plasma membrane, plasma membrane, Golgi apparatus, extracellular vesicular exosome, membrane"
"527";527;"Q16186";"Q16186";"Q16186";"ADRM1_HUMAN";"Proteasomal ubiquitin receptor ADRM1";"ADRM1";1;2;0,000329703213323245;1;NA;2;NA;0,000828476208447591;NA;"plasma membrane, integral component of plasma membrane, proteasome complex, cytoplasm, membrane, nucleus"
"531";531;"Q16643";"Q16643-1,Q16643-2";"Q16643-1,Q16643-2";"DREB_HUMAN";"Drebrin";"DBN1";1;1;5,16907580210173e-05;NA;1;NA;1;NA;NA;"actin cytoskeleton, actomyosin, plasma membrane, cell cortex, gap junction, dendrite, cytoplasm"
"538";538;"Q31612";"Q31612";"Q31612";"1B73_HUMAN";"HLA class I histocompatibility antigen, B-73 alpha chain";"HLA-B";0;0;0;0;0;0;0;NA;0;"early endosome membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, cell surface, phagocytic vesicle membrane, plasma membrane, MHC class I protein complex, ER to Golgi transport vesicle membrane"
"539";539;"Q32MZ4";"Q32MZ4-1,Q32MZ4-2,Q32MZ4-3";"Q32MZ4-1,Q32MZ4-2,Q32MZ4-3";"LRRF1_HUMAN";"Leucine-rich repeat flightless-interacting protein 1";"LRRFIP1";3;5;0,000138396460213037;3;2;3;2;NA;NA;"nucleus, plasma membrane, cytoskeleton, cytosol, cytoplasm"
"544";544;"Q5TZA2";"Q5TZA2-1,Q5TZA2-2";"Q5TZA2-1,Q5TZA2-2";"CROCC_HUMAN";"Rootletin";"CROCC";2;2;3,32645532529898e-05;NA;2;NA;2;NA;NA;"actin cytoskeleton, ciliary rootlet, centriole, plasma membrane, centrosome, extracellular vesicular exosome, cytoplasm"
"547";547;"Q6P4Q7";"Q6P4Q7,Q9H8M5-1,Q9H8M5-2,Q9H8M5-3";"Q6P4Q7,Q9H8M5-1,Q9H8M5-2,Q9H8M5-3";"CNNM2_HUMAN, CNNM4_HUMAN";"Metal transporter CNNM2, Metal transporter CNNM4";"CNNM2, CNNM4";1;1;1,97337070327295e-05;NA;1;NA;1;NA;0,00021415231176773;"plasma membrane, integral component of membrane"
"557";557;"Q86UE4";"Q86UE4";"Q86UE4";"LYRIC_HUMAN";"Protein LYRIC";"MTDH";6;10;0,00115282824589829;4;5;4;6;0,00115872789291467;0,00171101073835042;"integral component of membrane, tight junction, apical plasma membrane, nuclear membrane, nucleolus, cytoplasm, intercellular canaliculus, nucleus, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endoplasmic reticulum, nuclear body"
"558";558;"Q86UP2";"Q86UP2-1";"Q86UP2-1";"KTN1_HUMAN";"Kinectin";"KTN1";6;8;0,000395546670073871;3;5;3;5;NA;NA;"integral component of plasma membrane, integral component of membrane, endoplasmic reticulum, membrane, endoplasmic reticulum membrane"
"565";565;"Q8NC51";"Q8NC51-1,Q8NC51-3";"Q8NC51-1,Q8NC51-3";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";17;37;0,00304227983421247;15;17;17;20;NA;NA;"extracellular vesicular exosome, plasma membrane, cytoplasm, nucleus, perinuclear region of cytoplasm"
"574";574;"Q92854";"Q92854-1,Q92854-2";"Q92854-1,Q92854-2";"SEM4D_HUMAN";"Semaphorin-4D";"SEMA4D";3;5;0,000194589918536196;2;3;2;3;NA;NA;"plasma membrane, extracellular space, integral component of plasma membrane"
"577";577;"Q95604";"Q95604";"Q95604";"1C17_HUMAN";"HLA class I histocompatibility antigen, Cw-17 alpha chain";"HLA-C";0;0;NA;0;0;0;0;NA;NA;"cell surface, ER to Golgi transport vesicle membrane, plasma membrane, MHC class I protein complex, phagocytic vesicle membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane, early endosome membrane"
"578";578;"Q969P0";"Q969P0-1,Q969P0-3";"Q969P0-1,Q969P0-3";"IGSF8_HUMAN";"Immunoglobulin superfamily member 8";"IGSF8";2;3;0,00016417929178943;2;NA;3;NA;NA;NA;"integral component of membrane, extracellular vesicular exosome, plasma membrane"
"579";579;"Q96CT7";"Q96CT7";"Q96CT7";"CC124_HUMAN";"Coiled-coil domain-containing protein 124";"CCDC124";2;4;0,00120349065311714;1;2;2;2;0,00151206195891556;0,00148850261542592;"microtubule organizing center, midbody, cytoplasm, plasma membrane"
"588";588;"Q99653";"Q99653";"Q99653";"CHP1_HUMAN";"Calcineurin B homologous protein 1";"CHP1";1;2;0,00068814978370544;1;1;1;1;0,000864589273944024;0,000851118162153798;"transport vesicle, cytoplasm, plasma membrane, microtubule cytoskeleton, nucleus, endoplasmic reticulum, Golgi membrane, extracellular vesicular exosome, cytosol, endoplasmic reticulum-Golgi intermediate compartment"
"589";589;"Q99714";"Q99714-1";"Q99714-1";"HCD2_HUMAN";"3-hydroxyacyl-CoA dehydrogenase type-2";"HSD17B10";5;9;0,00231360703142346;5;3;6;3;NA;NA;"cytoplasm, plasma membrane, mitochondrial matrix, mitochondrion, mitochondrial inner membrane, endoplasmic reticulum"
"600";600;"Q9BUQ8";"Q9BUQ8";"Q9BUQ8";"DDX23_HUMAN";"Probable ATP-dependent RNA helicase DDX23";"DDX23";1;1;8,18226876966835e-05;1;NA;1;NA;0,000205603546852542;NA;"U5 snRNP, nucleus, catalytic step 2 spliceosome, nucleoplasm, extracellular vesicular exosome, plasma membrane, mitochondrion"
