"";"Protein.G";"Protein.Acs";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5574";"Spectra.Count.P5574";"DNSAF.P5574";"Unspecific.Spectra.Count";"Go.Bp";"Go.Cc";"Go.F"
"150";"Q15363";"Q15363";"TMED2_HUMAN";"Transmembrane emp24 domain-containing protein 2";"TMED2";"8";"20";"0.00325642399324715";"8";"20";"0.00431906669959355";"0";"protein targeting to plasma membrane;negative regulation of GTPase activity;embryonic morphogenesis;cargo loading into vesicle;Golgi organization;COPI coating of Golgi vesicle;maternal placenta development;COPII vesicle coating";"zymogen granule membrane;COPI-coated vesicle membrane;endoplasmic reticulum-Golgi intermediate compartment;endoplasmic reticulum-Golgi intermediate compartment membrane;COPI-coated vesicle;integral to membrane;Golgi cisterna membrane;endoplasmic reticulum membrane;endoplasmic reticulum";""
"151";"Q16134";"Q16134";"ETFD_HUMAN";"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial";"ETFDH";"8";"13";"6.89549100028752E-4";"8";"13";"9.14564123665959E-4";"0";"respiratory electron transport chain;response to oxidative stress;fatty acid beta-oxidation using acyl-CoA dehydrogenase";"mitochondrial matrix;integral to mitochondrial inner membrane";"electron-transferring-flavoprotein dehydrogenase activity;electron carrier activity;metal ion binding;oxidoreductase activity;flavin adenine dinucleotide binding;ubiquinone binding;4 iron"
"152";"Q53H12-1";"Q53H12";"AGK_HUMAN";"Acylglycerol kinase, mitochondrial";"AGK";"8";"13";"0.00100817960833588";"8";"13";"0";"0";"glycerolipid metabolic process;ceramide biosynthetic process;protein kinase C-activating G-protein coupled receptor signaling pathway";"mitochondrial membrane";"NAD+ kinase activity;diacylglycerol kinase activity;acylglycerol kinase activity;ATP binding;ceramide kinase activity"
"153";"Q8N766-1,Q8N766-2,Q8N766-3,Q8N766-4";"Q8N766";"EMC1_HUMAN";"ER membrane protein complex subunit 1";"EMC1";"8";"13";"1.07112737844345E-4";"8";"13";"0";"0";"";"ER membrane protein complex";""
"156";"Q99614";"Q99614";"TTC1_HUMAN";"Tetratricopeptide repeat protein 1";"TTC1";"8";"15";"0.00168118464719866";"8";"15";"0.00222979214028674";"0";"protein folding";"peroxisomal membrane";"unfolded protein binding"
"157";"Q99808";"Q99808";"S29A1_HUMAN";"Equilibrative nucleoside transporter 1";"SLC29A1";"8";"18";"0.00129185767626844";"8";"18";"0.00171341922358876";"0";"uridine transport;nucleobase-containing compound metabolic process;lactation;sleep;cellular response to glucose stimulus;regulation of excitatory postsynaptic membrane potential;cellular response to hypoxia;nucleoside transport";"apical plasma membrane;integral to plasma membrane;basolateral plasma membrane";"nucleoside transmembrane transporter activity"
"158";"Q9BRQ6";"Q9BRQ6";"CHCH6_HUMAN";"Coiled-coil-helix-coiled-coil-helix domain-containing protein 6, mitochondrial";"CHCHD6";"8";"17";"0.00236748952870755";"8";"17";"0.00314005338564067";"0";"cristae formation;response to DNA damage stimulus";"mitochondrial inner membrane";""
"159";"Q9UL25";"Q9UL25";"RAB21_HUMAN";"Ras-related protein Rab-21";"RAB21";"8";"17";"0.002472711285539";"8";"17";"0.00327961131389137";"0";"protein transport;small GTPase mediated signal transduction";"early endosome membrane;endosome;endoplasmic reticulum membrane;cytoplasmic vesicle membrane;Golgi membrane;cleavage furrow";"GTPase activity;GTP binding;GDP binding"
"160";"A1L0T0";"A1L0T0";"ILVBL_HUMAN";"Acetolactate synthase-like protein";"ILVBL";"7";"9";"4.6604992118545E-4";"7";"9";"6.18132251547842E-4";"0";"metabolic process";"integral to membrane";"thiamine pyrophosphate binding;magnesium ion binding;transferase activity"
"161";"O43264";"O43264";"ZW10_HUMAN";"Centromere/kinetochore protein zw10 homolog";"ZW10";"7";"9";"3.78104685737105E-4";"7";"9";"5.01488553245489E-4";"0";"mitotic cell cycle checkpoint;mitotic metaphase plate congression;cell division;protein complex assembly;protein localization to kinetochore;ER to Golgi vesicle-mediated transport;regulation of exit from mitosis;establishment of mitotic spindle orientation;meiosis;protein transport";"kinetochore microtubule;endoplasmic reticulum membrane;nucleus;endoplasmic reticulum;condensed chromosome kinetochore;kinetochore;cytosol;spindle pole";"centromeric DNA binding"
"163";"O75340";"O75340";"PDCD6_HUMAN";"Programmed cell death protein 6";"PDCD6";"7";"15";"0.00257018804702622";"7";"15";"0.00340889688462684";"0";"vascular endothelial growth factor receptor-2 signaling pathway;cellular response to stress;positive regulation of endothelial cell proliferation;negative regulation of vascular endothelial growth factor receptor signaling pathway;intracellular protein transport;apoptotic signaling pathway;response to calcium ion;positive regulation of angiogenesis;angiogenesis;negative regulation of TOR signaling cascade;positive regulation of endothelial cell migration;negative regulation of protein kinase B signaling cascade;activation of cysteine-type endopeptidase activity involved in apoptotic process";"nuclear membrane;endoplasmic reticulum;endosome;cytoplasmic vesicle;endoplasmic reticulum membrane;nucleus";"calcium ion binding;binding"
"165";"O95292-1";"O95292";"VAPB_HUMAN";"Vesicle-associated membrane protein-associated protein B/C";"VAPB";"8";"17";"0.00237933366255568";"8";"17";"0";"2";"small molecule metabolic process;sphingolipid biosynthetic process;positive regulation of viral genome replication;activation of signaling protein activity involved in unfolded protein response;cellular calcium ion homeostasis;modulation by virus of host morphology or physiology;cell death";"integral to membrane;Golgi apparatus;endoplasmic reticulum membrane";"structural molecule activity;beta-tubulin binding"
"169";"P20645";"P20645";"MPRD_HUMAN";"Cation-dependent mannose-6-phosphate receptor";"M6PR";"7";"20";"0.00236296470268114";"7";"20";"0.00313405200945236";"0";"receptor-mediated endocytosis;endosome to lysosome transport";"integral to plasma membrane;endosome;late endosome;lysosomal membrane;cell surface";"mannose binding;mannose transmembrane transporter activity;transmembrane signaling receptor activity"
"171";"P27105-1";"P27105";"STOM_HUMAN";"Erythrocyte band 7 integral membrane protein";"STOM";"10";"26";"0.00295452635220653";"10";"26";"0";"0";"protein homooligomerization";"melanosome;integral to plasma membrane;membrane raft;extracellular vesicular exosome;cytoplasm;cytoskeleton";""
"172";"P27348";"P27348";"1433T_HUMAN";"14-3-3 protein theta";"YWHAQ";"7";"11";"0.00199369070359838";"7";"11";"0.0026442757899639";"9";"intrinsic apoptotic signaling pathway;negative regulation of transcription;protein targeting;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;small GTPase mediated signal transduction";"extracellular vesicular exosome;cytoplasmic vesicle membrane;cytosol";""
"175";"P49755";"P49755";"TMEDA_HUMAN";"Transmembrane emp24 domain-containing protein 10";"TMED10";"7";"20";"0.00298877270613094";"7";"20";"0.00396407491606531";"0";"kidney development;regulated secretory pathway;response to acid;beta-amyloid formation;COPI coating of Golgi vesicle;cargo loading into vesicle;protein oligomerization;intracellular protein transport;COPII vesicle coating;retrograde vesicle-mediated transport;Golgi organization;response to alkaloid";"trans-Golgi network transport vesicle;endoplasmic reticulum membrane;gamma-secretase complex;endoplasmic reticulum-Golgi intermediate compartment;cis-Golgi network;melanosome;integral to membrane;COPI-coated vesicle;zymogen granule membrane;endoplasmic reticulum-Golgi intermediate compartment membrane;endoplasmic reticulum;transport vesicle membrane";""
"177";"P50895";"P50895";"BCAM_HUMAN";"Basal cell adhesion molecule";"BCAM";"7";"12";"6.25357856028035E-4";"7";"12";"8.29425866195831E-4";"0";"cell-matrix adhesion";"integral to plasma membrane;external side of plasma membrane";"laminin receptor activity;laminin binding;transmembrane signaling receptor activity"
"181";"P63104";"P63104";"1433Z_HUMAN";"14-3-3 protein zeta/delta";"YWHAZ";"7";"13";"0.00212464153075133";"7";"13";"0.00281795874955803";"7";"gene expression;positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway;mRNA metabolic process;negative regulation of apoptotic process;histamine secretion by mast cell;platelet activation;protein targeting to mitochondrion;intrinsic apoptotic signaling pathway";"mitochondrion;cell leading edge;nucleoplasm;melanosome;perinuclear region of cytoplasm;protein complex;cytosol;extracellular vesicular exosome;cytoplasmic vesicle membrane;postsynaptic density";""
"182";"Q15070-1,Q15070-2";"Q15070";"OXA1L_HUMAN";"Mitochondrial inner membrane protein OXA1L";"OXA1L";"7";"11";"4.13790428107439E-4";"7";"11";"0";"0";"negative regulation of oxidoreductase activity;protein insertion into membrane;protein tetramerization;aerobic respiration;negative regulation of ATPase activity;mitochondrial respiratory chain complex I assembly;mitochondrial proton-transporting ATP synthase complex assembly";"mitochondrial respiratory chain;protein complex;integral to mitochondrial membrane";"protein homodimerization activity;mitochondrial ribosome binding"
"183";"Q15392";"Q15392";"DHC24_HUMAN";"Delta(24)-sterol reductase";"DHCR24";"7";"16";"0.00101479259324446";"7";"16";"0.00134594171568729";"0";"negative regulation of cell proliferation;amyloid precursor protein catabolic process;negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;skin development;male genitalia development;negative regulation of apoptotic process;plasminogen activation;tissue development;cholesterol biosynthetic process;protein localization;response to hormone stimulus;response to oxidative stress;Ras protein signal transduction;regulation of neuron death;cell cycle arrest";"Golgi membrane;nucleus;endoplasmic reticulum membrane;cytosol;cytoskeleton;integral to membrane";"oxidoreductase activity;peptide antigen binding;flavin adenine dinucleotide binding;delta24-sterol reductase activity;UDP-N-acetylmuramate dehydrogenase activity"
"185";"Q5JTV8-1";"Q5JTV8";"TOIP1_HUMAN";"Torsin-1A-interacting protein 1";"TOR1AIP1";"13";"22";"0.00123498343894845";"13";"22";"0";"0";"nuclear membrane organization;protein localization to nucleus";"integral to membrane;nuclear inner membrane";""
"186";"Q6DD88";"Q6DD88";"ATLA3_HUMAN";"Atlastin-3";"ATL3";"7";"15";"9.07404652462121E-4";"7";"15";"0.00120351073006234";"0";"protein homooligomerization;endoplasmic reticulum organization;Golgi organization";"endoplasmic reticulum;integral to membrane;endoplasmic reticulum membrane";"GTP binding;identical protein binding;GTPase activity"
"187";"Q6P1A2";"Q6P1A2";"MBOA5_HUMAN";"Lysophospholipid acyltransferase 5";"LPCAT3";"7";"11";"7.39214933169348E-4";"7";"11";"9.80437009527857E-4";"0";"phosphatidylserine acyl-chain remodeling;phosphatidylethanolamine acyl-chain remodeling;regulation of plasma lipoprotein particle levels;glycerophospholipid biosynthetic process;phosphatidylcholine acyl-chain remodeling";"integral to membrane;endoplasmic reticulum membrane";"1-acylglycerophosphocholine O-acyltransferase activity"
"188";"Q7Z434-1";"Q7Z434";"MAVS_HUMAN";"Mitochondrial antiviral-signaling protein";"MAVS";"7";"12";"7.2726802515853E-4";"7";"12";"0";"0";"positive regulation of interleukin-8 production;positive regulation of interferon-beta production;positive regulation of chemokine (C-C motif) ligand 5 production;regulation of peroxisome organization;positive regulation of I-kappaB kinase/NF-kappaB cascade;negative regulation of viral genome replication;defense response to bacterium;activation of innate immune response;positive regulation of transcription from RNA polymerase II promoter;positive regulation of sequence-specific DNA binding transcription factor activity;innate immune response;positive regulation of protein phosphorylation;cellular response to exogenous dsRNA;positive regulation of protein import into nucleus;positive regulation of tumor necrosis factor production;positive regulation of IP-10 production;positive regulation of transcription factor import into nucleus;RIG-I signaling pathway;positive regulation of defense response to virus by host;modulation by virus of host morphology or physiology;positive regulation of interferon-alpha production;positive regulation of type I interferon-mediated signaling pathway;negative regulation of type I interferon production;defense response to virus";"peroxisomal membrane;integral to membrane;mitochondrial outer membrane";"signal transducer activity"
"190";"Q96QU8";"Q96QU8";"XPO6_HUMAN";"Exportin-6";"XPO6";"7";"13";"3.78179373082436E-4";"7";"13";"5.01587612712797E-4";"0";"protein export from nucleus";"plasma membrane;nucleolus;cytoplasm";"protein transporter activity"
"191";"Q99536";"Q99536";"VAT1_HUMAN";"Synaptic vesicle membrane protein VAT-1 homolog";"VAT1";"7";"13";"0.00108257454126651";"7";"13";"0.00143584240280381";"0";"negative regulation of mitochondrial fusion";"integral to membrane;mitochondrial outer membrane";"zinc ion binding;oxidoreductase activity"
"192";"Q9P0J0";"Q9P0J0";"NDUAD_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13";"NDUFA13";"7";"12";"0.00272725509434449";"7";"12";"0.00361721836090959";"0";"negative regulation of cell growth;apoptotic nuclear changes;protein import into nucleus;respiratory electron transport chain;negative regulation of transcription;small molecule metabolic process;negative regulation of translation;apoptotic signaling pathway;negative regulation of intrinsic apoptotic signaling pathway;reactive oxygen species metabolic process";"nucleoplasm;mitochondrial respiratory chain complex I;integral to membrane";"NADH dehydrogenase (ubiquinone) activity;ATP binding"
"193";"Q9UBM7";"Q9UBM7";"DHCR7_HUMAN";"7-dehydrocholesterol reductase";"DHCR7";"7";"12";"8.26788912811802E-4";"7";"12";"0.0010965883030968";"0";"blood vessel development;post-embryonic development;regulation of cholesterol biosynthetic process;cell differentiation;regulation of cell proliferation;multicellular organism growth;lung development;cholesterol biosynthetic process";"integral to membrane;endoplasmic reticulum membrane;nuclear outer membrane";"7-dehydrocholesterol reductase activity"
"194";"Q9UI12-1,Q9UI12-2";"Q9UI12";"VATH_HUMAN";"V-type proton ATPase subunit H";"ATP6V1H";"7";"12";"4.06547343256321E-4";"7";"12";"0";"0";"insulin receptor signaling pathway;viral process;regulation of defense response to virus by virus;ATP catabolic process;ATP hydrolysis coupled proton transport;vacuolar acidification;interaction with host;phagosome maturation;cellular iron ion homeostasis;endocytosis;modulation by virus of host morphology or physiology;transferrin transport";"vacuolar proton-transporting V-type ATPase;cytosol;plasma membrane";"enzyme regulator activity;proton-transporting ATPase activity"
"195";"Q9Y4R8";"Q9Y4R8";"TELO2_HUMAN";"Telomere length regulation protein TEL2 homolog";"TELO2";"7";"11";"4.30104746061496E-4";"7";"11";"5.70457375914058E-4";"0";"regulation of TOR signaling cascade";"TORC1 complex;chromosome;nucleus;cytoplasm;membrane;TORC2 complex";"protein complex binding"
"196";"Q9Y624";"Q9Y624";"JAM1_HUMAN";"Junctional adhesion molecule A";"F11R";"7";"12";"0.0013134606474435";"7";"12";"0.00174207171896649";"0";"modulation by virus of host morphology or physiology;epithelial cell differentiation;tight junction assembly;blood coagulation;leukocyte migration;inflammatory response;transforming growth factor beta receptor signaling pathway;cell adhesion";"tight junction;cell-cell junction;plasma membrane;integral to membrane";""
"199";"O00186";"O00186";"STXB3_HUMAN";"Syntaxin-binding protein 3";"STXBP3";"6";"8";"4.42257582866674E-4";"6";"8";"5.86575950417772E-4";"0";"platelet aggregation;protein heterooligomerization;neutrophil degranulation;protein transport;negative regulation of calcium ion-dependent exocytosis;vesicle docking involved in exocytosis";"platelet alpha granule;tertiary granule;specific granule;plasma membrane;cytosol;basolateral plasma membrane;nucleus;apical plasma membrane";""
"201";"O00264";"O00264";"PGRC1_HUMAN";"Membrane-associated progesterone receptor component 1";"PGRMC1";"6";"15";"0.00271886354020804";"6";"15";"0.00360608845826064";"2";"axon guidance";"endoplasmic reticulum;nucleolus;cell surface;integral to membrane;endoplasmic reticulum membrane";"heme binding;steroid binding"
"202";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";"6";"16";"0.00159158959913113";"6";"16";"0.00211096025925423";"0";"protein transport;post-Golgi vesicle-mediated transport";"trans-Golgi network membrane;recycling endosome membrane;nucleus;integral to membrane;Golgi apparatus";""
"203";"O15173";"O15173";"PGRC2_HUMAN";"Membrane-associated progesterone receptor component 2";"PGRMC2";"6";"10";"0.00158498771402263";"6";"10";"0.0021022040339636";"2";"";"integral to membrane";"heme binding;steroid hormone receptor activity;steroid binding"
"204";"O15269-1";"O15269";"SPTC1_HUMAN";"Serine palmitoyltransferase 1";"SPTLC1";"8";"16";"0.00110704646535759";"8";"16";"0";"0";"sphingolipid biosynthetic process;small molecule metabolic process;ceramide biosynthetic process;sphingomyelin biosynthetic process;sphingosine biosynthetic process;sphinganine biosynthetic process";"integral to membrane;SPOTS complex";"pyridoxal phosphate binding;serine C-palmitoyltransferase activity"
"205";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";"6";"13";"9.14950096167183E-4";"6";"13";"0.00121351841785354";"0";"pyruvate metabolic process;blood coagulation;leukocyte migration";"nuclear membrane;integral to plasma membrane;actin cytoskeleton";"monocarboxylic acid transmembrane transporter activity;secondary active monocarboxylate transmembrane transporter activity;symporter activity"
"206";"O43169";"O43169";"CYB5B_HUMAN";"Cytochrome b5 type B";"CYB5B";"6";"18";"0.00403484315327678";"6";"18";"0.00535150113668817";"0";"oxidation-reduction process";"integral to membrane;mitochondrial outer membrane";"heme binding;metal ion binding"
"207";"O96005";"O96005";"CLPT1_HUMAN";"Cleft lip and palate transmembrane protein 1";"CLPTM1";"6";"10";"4.89193738895872E-4";"6";"10";"6.48828405544322E-4";"0";"multicellular organismal development;regulation of T cell differentiation in thymus;cell differentiation";"integral to plasma membrane;external side of plasma membrane";""
"208";"P00403";"P00403";"COX2_HUMAN";"Cytochrome c oxidase subunit 2";"MT-CO2";"6";"12";"0.00173006490566346";"6";"12";"0.00229462310119375";"0";"mitochondrial electron transport;small molecule metabolic process";"respiratory chain complex IV;mitochondrial inner membrane;integral to membrane";"copper ion binding;cytochrome-c oxidase activity"
"211";"P08473";"P08473";"NEP_HUMAN";"Neprilysin";"MME";"6";"12";"5.23632978114142E-4";"6";"12";"6.94505925294642E-4";"0";"cellular response to cytokine stimulus;proteolysis;cellular response to UV-A;creatinine metabolic process;cellular response to UV-B;replicative senescence;sensory perception of pain;cellular protein metabolic process;angiotensin maturation;kidney development;beta-amyloid metabolic process";"dendrite;axon;brush border;synaptic vesicle;neuron projection terminus;integral to plasma membrane";"peptide binding;zinc ion binding;metalloendopeptidase activity"
"212";"P08574";"P08574";"CY1_HUMAN";"Cytochrome c1, heme protein, mitochondrial";"CYC1";"6";"14";"0.00140978109492269";"6";"14";"0.00186982364502404";"0";"small molecule metabolic process;respiratory electron transport chain";"mitochondrial inner membrane;integral to membrane;cell junction;respiratory chain";"electron transporter;iron ion binding;heme binding"
"213";"P11279";"P11279";"LAMP1_HUMAN";"Lysosome-associated membrane glycoprotein 1";"LAMP1";"6";"12";"9.41785931859967E-4";"6";"12";"0.00124911137642921";"0";"autophagy;autophagic cell death";"multivesicular body;alveolar lamellar body;external side of plasma membrane;integral to plasma membrane;lysosome;sarcolemma;endosome membrane;dendrite;lysosomal membrane;neuronal cell body;late endosome;melanosome";""
"216";"P13861";"P13861";"KAP2_HUMAN";"cAMP-dependent protein kinase type II-alpha regulatory subunit";"PRKAR2A";"6";"9";"7.29068193537635E-4";"6";"9";"9.66979165787713E-4";"0";"intracellular signal transduction;cellular response to glucagon stimulus;blood coagulation;regulation of insulin secretion;small molecule metabolic process;activation of protein kinase A activity;water transport;neurotrophin TRK receptor signaling pathway;activation of phospholipase C activity;innate immune response;epidermal growth factor receptor signaling pathway;negative regulation of cAMP-dependent protein kinase activity;energy reserve metabolic process;fibroblast growth factor receptor signaling pathway;transmembrane transport";"AMP-activated protein kinase complex;cytosol;cAMP-dependent protein kinase complex;centrosome;plasma membrane";"ubiquitin protein ligase binding;cAMP-dependent protein kinase regulator activity;cAMP binding;cAMP-dependent protein kinase inhibitor activity"
"217";"P18085";"P18085";"ARF4_HUMAN";"ADP-ribosylation factor 4";"ARF4";"6";"12";"0.00301296753279962";"6";"12";"0.00399616504633822";"8";"protein transport;response to axon injury;epidermal growth factor receptor signaling pathway;brain development;small GTPase mediated signal transduction;vesicle-mediated transport";"plasma membrane;Golgi apparatus";"GTP binding"
"218";"P20339";"P20339";"RAB5A_HUMAN";"Ras-related protein Rab-5A";"RAB5A";"6";"11";"0.00230231069592337";"6";"11";"0.00305360526746554";"10";"protein transport;positive regulation of exocytosis;receptor internalization involved in canonical Wnt receptor signaling pathway;small GTPase mediated signal transduction;blood coagulation;regulation of filopodium assembly;cell differentiation;nervous system development";"ruffle;early endosome;early endosome membrane;melanosome;endocytic vesicle;membrane raft;plasma membrane;endosome membrane;actin cytoskeleton";"GTP binding;GDP binding;GTPase activity"
"219";"P50148";"P50148";"GNAQ_HUMAN";"Guanine nucleotide-binding protein G(q) subunit alpha";"GNAQ";"8";"13";"0.00118510249224997";"8";"13";"0.00157182747716406";"0";"embryonic digit morphogenesis;platelet activation;phospholipase C-activating dopamine receptor signaling pathway;negative regulation of protein kinase activity;activation of phospholipase C activity;glutamate receptor signaling pathway;regulation of catenin import into nucleus;forebrain neuron development;skeletal system development;heart development;regulation of action potential;behavior;developmental pigmentation;post-embryonic development;protein stabilization;adenylate cyclase-activating G-protein coupled receptor signaling pathway;neuron remodeling;regulation of melanocyte differentiation";"cytoplasm;heterotrimeric G-protein complex;nuclear membrane";"G-protein coupled receptor binding;metal ion binding;GTP binding;signal transducer activity;GTPase activity;GTPase activator activity;G-protein beta/gamma-subunit complex binding"
"220";"P51148";"P51148";"RAB5C_HUMAN";"Ras-related protein Rab-5C";"RAB5C";"6";"16";"0.00303028343816054";"6";"16";"0.00401913151212177";"8";"endosome organization;small GTPase mediated signal transduction;protein transport;regulation of endocytosis";"plasma membrane;early endosome membrane;melanosome;endocytic vesicle;lipid particle";"GTP binding;GTPase activity;GDP binding"
"221";"P57088";"P57088";"TMM33_HUMAN";"Transmembrane protein 33";"TMEM33";"6";"11";"0.00145748045527722";"6";"11";"0.00193308835481808";"0";"";"integral to membrane;melanosome";""
"223";"P61225";"P61225";"RAP2B_HUMAN";"Ras-related protein Rap-2b";"RAP2B";"6";"14";"0.00284512453955461";"6";"14";"0.00377355119617991";"3";"positive regulation of protein autophosphorylation;negative regulation of cell migration;regulation of protein tyrosine kinase activity;Rap protein signal transduction";"recycling endosome membrane;cytosol";"GTPase activity;GTP binding"
"225";"Q13451";"Q13451";"FKBP5_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP5";"FKBP5";"6";"9";"6.44515427109857E-4";"6";"9";"8.54834973694171E-4";"0";"chaperone-mediated protein folding";"cytoplasm;membrane;nucleus";"peptidyl-prolyl cis-trans isomerase activity;FK506 binding"
"227";"Q15382";"Q15382";"RHEB_HUMAN";"GTP-binding protein Rheb";"RHEB";"6";"10";"0.0017786446267464";"6";"10";"0.00235905545276713";"0";"small GTPase mediated signal transduction;insulin receptor signaling pathway;cell cycle arrest;positive regulation of TOR signaling cascade";"membrane;dendrite;cytosol;neuronal cell body;spliceosomal complex;plasma membrane";"GTP binding;GTPase activity;metal ion binding;GDP binding"
"229";"Q6UW02";"Q6UW02";"CP20A_HUMAN";"Cytochrome P450 20A1";"CYP20A1";"6";"11";"7.79215741241282E-4";"6";"11";"0.00103349096025988";"0";"";"integral to membrane";"heme binding;monooxygenase activity;oxidoreductase activity;electron carrier activity;iron ion binding"
"230";"Q8N5K1";"Q8N5K1";"CISD2_HUMAN";"CDGSH iron-sulfur domain-containing protein 2";"CISD2";"6";"11";"0.00266664942558128";"6";"11";"0.00353683573066716";"0";"regulation of autophagy;mitochondrion degradation;multicellular organismal aging";"protein complex;endoplasmic reticulum membrane;mitochondrial outer membrane;integral to membrane";"protein homodimerization activity;2 iron;metal ion binding"
"231";"Q8NF37";"Q8NF37";"PCAT1_HUMAN";"Lysophosphatidylcholine acyltransferase 1";"LPCAT1";"6";"11";"6.74152944669424E-4";"6";"11";"8.94143864494506E-4";"0";"positive regulation of protein catabolic process;phosphatidylcholine acyl-chain remodeling;surfactant homeostasis;negative regulation of phosphatidylcholine biosynthetic process;triglyceride biosynthetic process;phosphatidic acid biosynthetic process;phosphatidylglycerol acyl-chain remodeling;retina development in camera-type eye";"lipid particle;Golgi apparatus;endoplasmic reticulum membrane;integral to membrane;Golgi membrane";"calcium ion binding;1-acylglycerophosphocholine O-acyltransferase activity;1-alkylglycerophosphocholine O-acetyltransferase activity"
"232";"Q92575";"Q92575";"UBXN4_HUMAN";"UBX domain-containing protein 4";"UBXN4";"6";"8";"5.15386789482423E-4";"6";"8";"6.835688241089E-4";"0";"response to unfolded protein";"nucleus;endoplasmic reticulum;nuclear envelope;endoplasmic reticulum membrane";""
"233";"Q99805";"Q99805";"TM9S2_HUMAN";"Transmembrane 9 superfamily member 2";"TM9SF2";"6";"15";"8.14474372066679E-4";"6";"15";"0.00108025525710422";"2";"transport";"endosome membrane;integral to plasma membrane;endosome";""
"234";"Q9BXK5-1";"Q9BXK5";"B2L13_HUMAN";"Bcl-2-like protein 13";"BCL2L13";"6";"7";"4.72349335927705E-4";"6";"7";"0";"0";"";"mitochondrial membrane;mitochondrion;nucleus;integral to membrane";"cysteine-type endopeptidase activator activity involved in apoptotic process"
"235";"Q9NX62";"Q9NX62";"IMPA3_HUMAN";"Inositol monophosphatase 3";"IMPAD1";"6";"12";"0.0010939407620769";"6";"12";"0.00145091767122836";"0";"post-embryonic development;chondrocyte development;endochondral ossification;phosphatidylinositol phosphorylation;inositol biosynthetic process;embryonic digit morphogenesis;chondroitin sulfate metabolic process";"integral to membrane;Golgi apparatus";"inositol monophosphate 3-phosphatase activity;inositol monophosphate 4-phosphatase activity;3'-nucleotidase activity;3'(2');metal ion binding;inositol monophosphate 1-phosphatase activity"
"236";"Q9NZ01-1";"Q9NZ01";"TECR_HUMAN";"Very-long-chain enoyl-CoA reductase";"TECR";"8";"15";"0.00159385037981171";"8";"15";"0";"0";"triglyceride biosynthetic process;long-chain fatty-acyl-CoA biosynthetic process;very long-chain fatty acid biosynthetic process;fatty acid elongation";"integral to endoplasmic reticulum membrane";"oxidoreductase activity"
"237";"Q9UNK0";"Q9UNK0";"STX8_HUMAN";"Syntaxin-8";"STX8";"6";"14";"0.00194143582987235";"6";"14";"0.00257496900268141";"0";"endosome to lysosome transport;intracellular protein transport;vesicle fusion";"lysosomal membrane;endoplasmic reticulum;SNARE complex;late endosome membrane;integral to plasma membrane";"SNAP receptor activity"
"240";"O14548";"O14548";"COX7R_HUMAN";"Cytochrome c oxidase subunit 7A-related protein, mitochondrial";"COX7A2L";"5";"7";"0.00200955638530646";"5";"7";"0.00266531879224917";"0";"small molecule metabolic process;respiratory electron transport chain";"mitochondrial respiratory chain;mitochondrial inner membrane";"electron carrier activity;cytochrome-c oxidase activity"
"241";"O15260-1,O15260-2";"O15260";"SURF4_HUMAN";"Surfeit locus protein 4";"SURF4";"5";"17";"0.00103412646700051";"5";"17";"0";"0";"Golgi organization;positive regulation of organelle organization";"integral to membrane;endoplasmic reticulum-Golgi intermediate compartment;endoplasmic reticulum membrane;endoplasmic reticulum-Golgi intermediate compartment membrane;Golgi membrane";""
"243";"O75431";"O75431";"MTX2_HUMAN";"Metaxin-2";"MTX2";"5";"11";"0.00136881244278887";"5";"11";"0.00181548602144512";"0";"cellular protein metabolic process;protein targeting to mitochondrion";"mitochondrial outer membrane";""
"244";"O75787";"O75787";"RENR_HUMAN";"Renin receptor";"ATP6AP2";"5";"9";"8.41553000540585E-4";"5";"9";"0.00111617023708068";"0";"cellular protein metabolic process;angiotensin maturation;positive regulation of transforming growth factor beta1 production;regulation of MAPK cascade";"integral to membrane;cell body;external side of plasma membrane;neuron projection";"receptor activity;aspartic-type endopeptidase activity"
"246";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";"5";"9";"8.7923447817673E-4";"5";"9";"0.00116614800889026";"0";"glycolysis;cellular response to interferon-gamma;microtubule cytoskeleton organization;peptidyl-cysteine S-trans-nitrosylation;small molecule metabolic process;neuron apoptotic process;gluconeogenesis;protein stabilization;negative regulation of translation";"cytosol;extracellular vesicular exosome;ribonucleoprotein complex;perinuclear region of cytoplasm;lipid particle;nucleus;plasma membrane;microtubule cytoskeleton";"NAD binding;microtubule binding;NADP binding;peptidyl-cysteine S-nitrosylase activity;glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"
