"";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834-1.id.csv";"peptide.count.P5834-2.id.csv";"peptide.count.P5835-1.id.csv";"peptide.count.P5835-2.id.csv";"spectra.count.P5834-1.id.csv";"spectra.count.P5834-2.id.csv";"spectra.count.P5835-1.id.csv";"spectra.count.P5835-2.id.csv";"dNSAF.P5834-1.id.csv";"dNSAF.P5834-2.id.csv";"dNSAF.P5835-1.id.csv";"dNSAF.P5835-2.id.csv"
"P63104";"P63104";"P63104";"1433Z_HUMAN";"14-3-3 protein zeta/delta";"YWHAZ";7;26;0,00117331914885201;4;7;5;4;6;8;6;6;0,00143236772490818;0,0018720480394684;0,00155125331448854;0,001558381430273
"P67812";"P67812";"P67812";"SC11A_HUMAN";"Signal peptidase complex catalytic subunit SEC11A";"SEC11A";7;36;0,00193192053854167;6;4;6;6;8;6;11;11;0,00227631006401524;0,00169203701001052;0,00338064998750368;0,00333020129756303
"Q02543";"Q02543";"Q02543";"RL18A_HUMAN";"60S ribosomal protein L18a";"RPL18A";7;23;0,00125532147367046;7;6;6;4;7;6;6;4;0,00202572195327493;0,00172087854995388;0,00187542256538169;0,00123162403360286
"Q12769-1";"Q12769-1";"Q12769-1";"NU160_HUMAN";"Nuclear pore complex protein Nup160";"NUP160";8;14;9,36512084026894e-05;4;3;4;3;4;3;4;3;NA;NA;NA;NA
"Q12846";"Q12846";"Q12846";"STX4_HUMAN";"Syntaxin-4";"STX4";7;25;0,000808580659369059;6;4;4;6;7;5;5;8;0,00120042782416292;0,000849816567878459;0,000926134600188488;0,00145970255834413
"Q12905";"Q12905";"Q12905";"ILF2_HUMAN";"Interleukin enhancer-binding factor 2";"ILF2";7;28;0,000689657103929548;5;4;7;7;6;5;9;8;0,000783575964343708;0,000647168001692057;0,00126951681348914;0,00111161964058514
"Q13263-1,Q13263-2";"Q13263-1,Q13263-2";"Q13263-[1,2]";"TIF1B_HUMAN";"Transcription intermediary factor 1-beta";"TRIM28";7;16;9,20329411574077e-05;3;2;5;6;3;2;5;6;NA;NA;NA;NA
"Q14254";"Q14254";"Q14254";"FLOT2_HUMAN";"Flotillin-2";"FLOT2";7;21;0,000471319399297647;5;6;5;5;5;6;5;5;0,000595005113111461;0,000707650992504399;0,000642668168822385;0,000633077774281842
"Q14C86-1,Q14C86-2,Q14C86-3,Q14C86-4,Q14C86-5,Q14C86-6";"Q14C86-1,Q14C86-2,Q14C86-3,Q14C86-4,Q14C86-5,Q14C86-6";"Q14C86-[1-6]";"GAPD1_HUMAN";"GTPase-activating protein and VPS9 domain-containing protein 1";"GAPVD1";7;20;2,1664272064286e-05;4;5;4;3;5;6;5;4;NA;NA;NA;NA
"Q15293";"Q15293";"Q15293";"RCN1_HUMAN";"Reticulocalbin-1";"RCN1";7;23;0,000667482112888223;4;4;6;6;4;4;7;8;0,00061549773634249;0,000610019385280731;0,00116340412917938;0,00130976332274382
"Q2TAL8";"Q2TAL8";"Q2TAL8";"QRIC1_HUMAN";"Glutamine-rich protein 1";"QRICH1";7;22;0,000272333300428734;6;6;5;5;6;6;5;5;0,000393807507853152;0,000390302351535931;0,000354461309608223;0,000349171762103903
"Q5HYI8";"Q5HYI8";"Q5HYI8";"RABL3_HUMAN";"Rab-like protein 3";"RABL3";7;18;0,000732656305929999;5;4;4;5;5;4;4;5;0,00107907706954112;0,000855578036135262;0,000932413478833834;0,00114812409912131
"Q6PI78";"Q6PI78";"Q6PI78";"TMM65_HUMAN";"Transmembrane protein 65";"TMEM65";7;27;0,00108066805124675;5;4;7;5;7;6;9;5;0,00148552943240161;0,00126197760329951;0,00206296482191986;0,00112898869746928
"Q7KZN9-1,Q7KZN9-2";"Q7KZN9-1,Q7KZN9-2";"Q7KZN9-[1,2]";"COX15_HUMAN";"Cytochrome c oxidase assembly protein COX15 homolog";"COX15";7;27;0,00031629308816978;5;6;6;5;5;6;8;8;NA;NA;NA;NA
"Q86WV6";"Q86WV6";"Q86WV6";"TM173_HUMAN";"Transmembrane protein 173";"TMEM173";7;19;0,00048156418583848;5;6;3;3;5;7;4;3;0,000671931895545396;0,000932331738585391;0,000580605754630039;0,000428956127798356
"Q8IXH7-1,Q8IXH7-4";"Q8IXH7-1,Q8IXH7-4";"Q8IXH7-[1,4]";"NELFD_HUMAN";"Negative elongation factor C/D";"TH1L";8;22;0,000179093763671777;7;5;4;4;8;5;4;5;NA;NA;NA;NA
"Q8IZ07";"Q8IZ07";"Q8IZ07";"AN13A_HUMAN";"Ankyrin repeat domain-containing protein 13A";"ANKRD13A";7;16;0,000260500019886222;3;4;5;4;3;4;5;4;0,00025897849668987;0,000342231214454105;0,000466206739416917;0,000367399711718818
"Q8TAG9";"Q8TAG9";"Q8TAG9";"EXOC6_HUMAN";"Exocyst complex component 6";"EXOC6";7;15;0,000179215265546724;2;3;5;5;2;3;5;5;0,000126697606174978;0,000188354866164106;0,000342116885890524;0,000337011551483369
"Q8WVM8";"Q8WVM8";"Q8WVM8";"SCFD1_HUMAN";"Sec1 family domain-containing protein 1";"SCFD1";7;20;0,000299250412252474;2;5;5;4;3;6;5;6;0,000238002045244584;0,000471767328336266;0,00042844544588159;0,000506462219425474
"Q96ER9-1,Q96ER9-2";"Q96ER9-1,Q96ER9-2";"Q96ER9-[1,2]";"CCD51_HUMAN";"Coiled-coil domain-containing protein 51";"CCDC51";7;25;0,000292151406122397;3;5;4;6;5;7;5;8;NA;NA;NA;NA
"Q96QK1";"Q96QK1";"Q96QK1";"VPS35_HUMAN";"Vacuolar protein sorting-associated protein 35";"VPS35";7;15;0,00018101642399443;4;3;4;4;4;3;4;4;0,000255941897901211;0,000190247879894399;0,000276444197242192;0,000272318881801637
"Q96RQ1";"Q96RQ1";"Q96RQ1";"ERGI2_HUMAN";"Endoplasmic reticulum-Golgi intermediate compartment protein 2";"ERGIC2";7;20;0,000509598845268139;5;4;5;6;5;4;5;6;0,000675496520985955;0,000535587311745151;0,00072960736407422;0,000862463514247093
"Q99614";"Q99614";"Q99614";"TTC1_HUMAN";"Tetratricopeptide repeat protein 1";"TTC1";7;20;0,000657940974883865;5;6;3;4;5;7;3;5;0,000872130782231867;0,00121011551001323;0,000565195841621879;0,000927935915728179
"Q9BTW9-1,Q9BTW9-4";"Q9BTW9-1,Q9BTW9-4";"Q9BTW9-[1,4]";"TBCD_HUMAN";"Tubulin-specific chaperone D";"TBCD";22;81;0,000326376257087944;19;22;15;14;22;25;18;16;NA;NA;NA;NA
"Q9H3K2";"Q9H3K2";"Q9H3K2";"GHITM_HUMAN";"Growth hormone-inducible transmembrane protein";"GHITM";7;27;0,000751769079128173;7;5;6;5;8;5;7;7;0,0011810420332137;0,000731581219304065;0,00111619352683586;0,00109953681840487
"Q9H583";"Q9H583";"Q9H583";"HEAT1_HUMAN";"HEAT repeat-containing protein 1";"HEATR1";7;11;4,92841980253492e-05;3;NA;3;5;3;NA;3;5;7,12674034734249e-05;NA;7,69762993253678e-05;0,000126379331806263
"Q9HBH5";"Q9HBH5";"Q9HBH5";"RDH14_HUMAN";"Retinol dehydrogenase 14";"RDH14";7;19;0,000543192935811857;6;4;5;4;6;4;5;4;0,00090950781575609;0,00060094171585691;0,000818636834095181;0,000645136398553877
"Q9UHI6";"Q9UHI6";"Q9UHI6";"DDX20_HUMAN";"Probable ATP-dependent RNA helicase DDX20";"DDX20";7;15;0,000174865380460639;3;3;6;3;3;3;6;3;0,00018543363233862;0,000183783146111579;0,000400575693576671;0,000197298995674244
"Q9Y305-1,Q9Y305-2,Q9Y305-3,Q9Y305-4";"Q9Y305-1,Q9Y305-2,Q9Y305-3,Q9Y305-4";"Q9Y305-[1-4]";"ACOT9_HUMAN";"Acyl-coenzyme A thioesterase 9, mitochondrial";"ACOT9";7;21;0,000114877393450679;6;6;5;4;6;6;5;4;NA;NA;NA;NA
"Q9Y371-1,Q9Y371-2";"Q9Y371-1,Q9Y371-2";"Q9Y371-[1,2]";"SHLB1_HUMAN";"Endophilin-B1";"SH3GLB1";7;20;0,000263176389953546;6;4;6;4;6;4;6;4;NA;NA;NA;NA
"Q9Y3R5-1,Q9Y3R5-2";"Q9Y3R5-1,Q9Y3R5-2";"Q9Y3R5-[1,2]";"DOP2_HUMAN";"Protein dopey-2";"DOPEY2";7;23;5,15051704974827e-05;6;6;4;4;6;7;5;5;NA;NA;NA;NA
"Q9Y624";"Q9Y624";"Q9Y624";"JAM1_HUMAN";"Junctional adhesion molecule A";"F11R";7;22;0,000706791441915376;7;7;4;3;7;7;4;4;0,00119239820660999;0,0011817850465681;0,000735951775935735;0,000724969330816397
"Q9Y6E2";"Q9Y6E2";"Q9Y6E2";"BZW2_HUMAN";"Basic leucine zipper and W2 domain-containing protein 2";"BZW2";7;17;0,000498504315265562;4;6;4;3;4;6;4;3;0,000618836300761792;0,000903563916443564;0,00068273139691222;0,00050440736077864
"136429";"136429";"136429";"136429";"trypsin [Sus scrofa]";"";6;53;0,00220395985439452;5;6;4;4;12;14;12;15;0,00264584091856317;0,00305933964436245;0,00285778676629591;0,00351892581029387
"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";11;23;0,000517415876735367;9;4;3;4;11;5;3;4;0,00131207684895961;0,000591090212318272;0,000386503947900676;0,000507648313616166
"O00217";"O00217";"O00217";"NDUS8_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial";"NDUFS8";6;23;0,00105207894936191;6;6;5;5;6;7;5;5;0,00145521250520974;0,00168263680439935;0,00130981893455229;0,00129027279710775
"O15118";"O15118";"O15118";"NPC1_HUMAN";"Niemann-Pick C1 protein";"NPC1";6;13;9,77129867237539e-05;4;4;3;2;4;4;3;2;0,00015941295049246;0,000157994066140784;0,000129137078054451;8,48066627206975e-05
"O15127";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";6;22;0,000642342374263518;3;5;3;5;5;6;4;7;0,0007740492048988;0,000920591564716969;0,000668843711260744;0,00115300973358565
"O15228";"O15228";"O15228";"GNPAT_HUMAN";"Dihydroxyacetone phosphate acyltransferase";"GNPAT";6;19;0,00026840121534233;5;5;3;2;6;8;3;2;0,000449403861903009;0,000593871813317417;0,000242701743755277;0,000159386639642723
"O15321-1,O15321-2";"O15321-1,O15321-2";"O15321-[1,2]";"TM9S1_HUMAN";"Transmembrane 9 superfamily member 1";"TM9SF1";6;12;9,51082993396478e-05;4;3;2;2;4;3;3;2;NA;NA;NA;NA
"O43169";"O43169";"O43169";"CYB5B_HUMAN";"Cytochrome b5 type B";"CYB5B";6;40;0,00263176389953546;6;6;5;5;9;11;10;10;0,00313967081603472;0,00380322017432729;0,00376797227747919;0,00371174366291272
"O43402";"O43402";"O43402";"EMC8_HUMAN";"ER membrane protein complex subunit 8";"EMC8";6;21;0,000960593823330443;4;6;5;4;5;6;6;4;0,00121267708767479;0,00144226011805658;0,00157178272146275;0,0010322182376862
"O60427";"O60427";"O60427";"FADS1_HUMAN";"Fatty acid desaturase 1";"FADS1";6;18;0,000406119782450515;5;6;3;4;5;6;3;4;0,00057356348741375;0,000722276529710372;0,000393570395278828;0,000513906661721438
"O75964";"O75964";"O75964";"ATP5L_HUMAN";"ATP synthase subunit g, mitochondrial";"ATP5L";6;32;0,00298436915986157;5;5;5;4;8;9;8;7;0,00395591748989057;0,0044107955066779;0,00427280739815116;0,00368291458591922
"O95210";"O95210";"O95210";"STBD1_HUMAN";"Starch-binding domain-containing protein 1";"STBD1";6;11;0,000295154526721644;3;2;3;3;3;2;3;3;0,000426808137002858;0,000282006168335086;0,000460997725568683;0,000454118358758595
"O95298";"O95298";"O95298";"NDUC2_HUMAN";"NADH dehydrogenase [ubiquinone] 1 subunit C2";"NDUFC2";6;31;0,00250238727086082;5;6;6;6;6;8;8;9;0,00256802206801719;0,00339355321895667;0,0036983122857947;0,00409851359081287
"O96011-1,O96011-2";"O96011-1,O96011-2";"O96011-[1,2]";"PX11B_HUMAN";"Peroxisomal membrane protein 11B";"PEX11B";6;20;0,00037088564607353;5;5;2;4;6;7;2;5;NA;NA;NA;NA
"P00403";"P00403";"P00403";"COX2_HUMAN";"Cytochrome c oxidase subunit 2";"MT-CO2";6;69;0,00291986668765641;6;6;6;6;16;17;17;19;0,00358995155470245;0,00378037343719677;0,00411987101000148;0,00453584886384136
"P07195";"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";6;17;0,000529668749890289;4;5;4;3;4;5;5;3;0,000711630865821132;0,000755675211556594;0,000941187258360927;0,00048674961807059
"P07858";"P07858";"P07858";"CATB_HUMAN";"Cathepsin B";"CTSB";6;14;0,000396705413764785;5;6;1;2;5;6;1;2;0,000751215895019779;0,000893435471362486;0,000162278452068425;0,000319713613442629
"P08240";"P08240";"P08240";"SRPR_HUMAN";"Signal recognition particle receptor subunit alpha";"SRPR";6;15;0,000225844942789289;4;4;2;3;4;4;3;4;0,000319325628102452;0,000316483411485771;0,000258678974535405;0,00033975835409734
"P08754";"P08754";"P08754";"GNAI3_HUMAN";"Guanine nucleotide-binding protein G(k) subunit alpha";"GNAI3";6;19;0,000878231660319541;5;5;3;4;6;6;3;4;0,00132157511644164;0,00142696057075706;0,000806149153575086;0,00126941310651566
"P08865";"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";6;16;0,000521000039772443;6;5;2;2;6;6;2;2;0,00103591398675948;0,00102669364336231;0,000372965391533534;0,000367399711718818
"P09382";"P09382";"P09382";"LEG1_HUMAN";"Galectin-1";"LGALS1";6;17;0,00120963666641611;3;4;4;3;4;5;5;3;0,00150910926466196;0,00186959644933261;0,00203749612041467;0,0012042546106339
"P11166";"P11166";"P11166";"GTR1_HUMAN";"Solute carrier family 2, facilitated glucose transporter member 1";"SLC2A1";6;15;0,000328362633621825;3;5;4;3;3;5;4;3;0,000349384099955083;0,00056429892830466;0,000496950273271872;0,000385508335721219
"P20339";"P20339";"P20339";"RAB5A_HUMAN";"Ras-related protein Rab-5A";"RAB5A";6;29;0,00149575365171802;6;6;6;6;8;7;7;7;0,00222475359744907;0,00180003006982256;0,0020739066998003;0,00212081203098952
"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";9;22;0,000366257610281971;5;6;5;4;5;6;6;5;0,000441355612498622;0,000524912694613315;0,000572052636927517;0,000469596685255855
"P26640";"P26640";"P26640";"SYVC_HUMAN";"Valine--tRNA ligase";"VARS";6;10;7,59963467824717e-05;2;2;2;4;2;2;2;4;8,05893001302864e-05;7,98720002088298e-05;8,70449291949307e-05;0,000171491954045967
"P27348";"P27348";"P27348";"1433T_HUMAN";"14-3-3 protein theta";"YWHAQ";6;23;0,00103793617013832;5;5;5;5;6;6;6;5;0,00143236772490818;0,0014040360296013;0,00155125331448854;0,00129865119189417
"P27708";"P27708";"P27708";"PYR1_HUMAN";"CAD protein";"CAD";6;7;3,02209292733173e-05;NA;NA;4;3;NA;NA;4;3;NA;NA;9,88986880920381e-05;7,3067133678911e-05
"P30153";"P30153";"P30153";"2AAA_HUMAN";"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform";"PPP2R1A";6;16;0,000288123784021016;4;3;5;4;4;3;5;4;0,000370597412192634;0,000285676876808039;0,000538844148340044;0,000398692103690342
"P35606";"P35606";"P35606";"COPB2_HUMAN";"Coatomer subunit beta'";"COPB2";6;12;0,000127230969977542;NA;3;5;3;NA;3;6;3;NA;0,000167149351430399;0,000364320498352293;0,000179441912180549
"P35908";"P35908";"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";6;19;0,000368560821221066;6;6;3;2;8;6;3;2;0,000830625373618608;0,000656922696059049;0,000344365541478536;0,000169613325441395
"P38606";"P38606";"P38606";"VATA_HUMAN";"V-type proton ATPase catalytic subunit A";"ATP6V1A";6;24;0,000373650757859491;6;5;5;6;6;5;6;7;0,000495291128191323;0,00040906891517002;0,0005349665664622;0,000614813942219902
"P42167-1";"P42167-1";"P42167-1";"LAP2B_HUMAN";"Lamina-associated polypeptide 2, isoforms beta/gamma";"TMPO";6;27;0,0014024237106372;5;4;4;4;7;7;7;6;NA;NA;NA;NA
"P46776";"P46776";"P46776";"RL27A_HUMAN";"60S ribosomal protein L27a";"RPL27A";6;18;0,00116828978513162;5;5;2;4;6;5;2;5;0,0020648285546895;0,00170537513959393;0,000743410746637786;0,00183079248238262
"P48651";"P48651";"P48651";"PTSS1_HUMAN";"Phosphatidylserine synthase 1";"PTDSS1";6;23;0,000467096362295987;6;6;3;3;7;9;4;3;0,00075375700586974;0,00096049035346263;0,000465221101490031;0,000343709032633355
"P48960-1,P48960-2,P48960-3";"P48960-1,P48960-2,P48960-3";"P48960-[1-3]";"CD97_HUMAN";"CD97 antigen";"CD97";6;23;8,8198235275849e-05;5;5;4;3;6;6;6;5;NA;NA;NA;NA
"P50454";"P50454";"P50454";"SERPH_HUMAN";"Serpin H1";"SERPINH1";6;17;0,000390672129105682;4;5;3;5;4;5;3;5;0,000487391748156373;0,000603817035071537;0,00039482580323825;0,000648223175580451
"P51148";"P51148";"P51148";"RAB5C_HUMAN";"Ras-related protein Rab-5C";"RAB5C";6;45;0,00226022076077751;6;6;5;6;12;11;9;13;0,00332168071841355;0,00281552322429256;0,0026541067884349;0,00355802498596381
"P51571";"P51571";"P51571";"SSRD_HUMAN";"Translocon-associated protein subunit delta";"SSR4";6;39;0,00216550052658308;5;6;5;6;9;12;7;11;0,00264966438809867;0,00350144074903911;0,00222593506796748;0,00344569960846117
"P53999";"P53999";"P53999";"TCP4_HUMAN";"Activated RNA polymerase II transcriptional coactivator p15";"SUB1";6;22;0,00166402079632045;5;5;6;6;5;5;6;6;0,00200521408198193;0,00198736630440868;0,00259901079926911;0,00256022633756814
"P54709";"P54709";"P54709";"AT1B3_HUMAN";"Sodium/potassium-transporting ATPase subunit beta-3";"ATP1B3";6;27;0,000929606925803654;6;6;4;5;7;8;5;7;0,00127787478056053;0,00144742950916073;0,000985885219555487;0,0013596423023286
"P60709,P63261";"P60709,P63261";"P60709, P63261";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";9;105;0,00209308338346739;8;9;8;8;24;32;22;27;0,00249269342068869;0,00306912953122441;0,00268949487894737;0,00323116565215709
"P60842";"P60842";"P60842";"IF4A1_HUMAN";"Eukaryotic initiation factor 4A-I";"EIF4A1";13;49;0,00115933737298502;11;13;10;11;12;14;12;11;0,0015053922467687;0,00174065876317174;0,00162598212565112;0,00146824145877779
"P61006";"P61006";"P61006";"RAB8A_HUMAN";"Ras-related protein Rab-8A";"RAB8A";6;24;0,00158703887000095;5;6;6;5;5;7;6;6;0,00204577924518263;0,00244257702731453;0,00220211804610828;0,0020218488018221
"P62263";"P62263";"P62263";"RS14_HUMAN";"40S ribosomal protein S14";"RPS14";6;26;0,00165400260970805;5;5;6;5;6;6;7;7;0,0020238054708215;0,00200579221716479;0,00255024348846605;0,00251218677052768
"P62280";"P62280";"P62280";"RS11_HUMAN";"40S ribosomal protein S11";"RPS11";6;8;0,000486376619407819;5;3;NA;NA;5;3;NA;NA;0,00161178600260573;0,000958464002505958;NA;NA
"P62750";"P62750";"P62750";"RL23A_HUMAN";"60S ribosomal protein L23a";"RPL23A";6;22;0,00135468359700447;5;5;6;5;5;6;6;5;0,00163244992571606;0,00194150400507617;0,00211586135581524;0,00173690568841428
"P62805";"P62805";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F";6;39;0,00363719991358129;6;6;6;5;9;8;12;10;0,00445040717612689;0,00392070711704703;0,00640921109722674;0,00526130655131317
"P62829";"P62829";"P62829";"RL23_HUMAN";"60S ribosomal protein L23";"RPL23";6;25;0,00171534611309008;5;5;3;4;8;6;6;5;0,00291042501041949;0,00216339017708488;0,00235767408219412;0,00193540919566163
"P62873";"P62873";"P62873";"GBB1_HUMAN";"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1";"GNB1";6;27;0,00151755845057431;6;6;2;1;10;13;3;1;0,00243676760676298;0,00322527093351005;0,00129440930002815;0,0012352464572311
"P62910";"P62910";"P62910";"RL32_HUMAN";"60S ribosomal protein L32";"RPL32";6;13;0,000925016274318204;3;4;3;3;3;4;3;3;0,00113183194849647;0,00149567715946609;0,0012224976722488;0,0012042546106339
"P62917";"P62917";"P62917";"RL8_HUMAN";"60S ribosomal protein L8";"RPL8";6;23;0,000859675406093392;5;5;6;5;5;5;7;6;0,000990903456854884;0,000982083737976274;0,00149839208855398;0,00126517021350644
"P62937";"P62937";"P62937";"PPIA_HUMAN";"Peptidyl-prolyl cis-trans isomerase A";"PPIA";6;14;0,000815049304644012;5;4;3;2;5;4;3;2;0,00154340720249518;0,00122373585774498;0,00100022536820357;0,000656866151254857
"P63092-1,P63092-2,P63092-3,Q5JWF2-1,Q5JWF2-2";"P63092-1,P63092-2,P63092-3,Q5JWF2-1,Q5JWF2-2";"P63092-[1-3], Q5JWF2-[1,2]";"GNAS1_HUMAN, GNAS2_HUMAN";"Guanine nucleotide-binding protein G(s) subunit alpha isoforms short, Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas";"GNAS";7;22;7,08054415231285e-05;6;6;4;4;7;7;4;4;NA;NA;NA;NA
"P67809";"P67809";"P67809";"YBOX1_HUMAN";"Nuclease-sensitive element-binding protein 1";"YBX1";8;32;0,000948734640326363;6;6;8;8;7;8;9;8;0,00110039217214934;0,00124639763288841;0,00152812209031101;0,00133806067848212
"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";6;32;0,000748948891145211;6;6;6;6;8;7;9;8;0,00100458456967142;0,000896078771573618;0,00115410619408104;0,00106886503902417
"Q06830";"Q06830";"Q06830";"PRDX1_HUMAN";"Peroxiredoxin-1";"PRDX1";7;31;0,00149640243835396;7;6;5;6;11;8;6;6;0,00281536087691332;0,00202931071887359;0,00165866518345315;0,00163391329080982
"Q07020";"Q07020";"Q07020";"RL18_HUMAN";"60S ribosomal protein L18";"RPL18";6;17;0,000868622074288166;3;3;5;4;4;3;5;5;0,00108366888685832;0,000805517619127348;0,00146309561838288;0,00144126216698207
"Q09161";"Q09161";"Q09161";"NCBP1_HUMAN";"Nuclear cap-binding protein subunit 1";"NCBP1";6;15;0,000182391232277932;5;3;3;3;5;4;3;3;0,000322357200521146;0,000255590400668256;0,000208907830067834;0,000205790344855161
"Q12906-1,Q12906-2,Q12906-3,Q12906-4,Q12906-5,Q12906-6";"Q12906-1,Q12906-2,Q12906-3,Q12906-4,Q12906-5,Q12906-6";"Q12906-[1-6]";"ILF3_HUMAN";"Interleukin enhancer-binding factor 3";"ILF3";6;14;2,50714271562755e-05;3;2;4;5;3;2;4;5;NA;NA;NA;NA
"Q12912-1,Q12912-2";"Q12912-1,Q12912-2";"Q12912-[1,2]";"LRMP_HUMAN";"Lymphoid-restricted membrane protein";"LRMP";6;17;0,0001471179729425;5;4;3;3;6;4;4;3;NA;NA;NA;NA
"Q13148-1,Q13148-2";"Q13148-1,Q13148-2";"Q13148-[1,2]";"TADBP_HUMAN";"TAR DNA-binding protein 43";"TARDBP";8;35;0,000415276479947696;7;7;7;6;9;9;9;8;NA;NA;NA;NA
"Q13200";"Q13200";"Q13200";"PSMD2_HUMAN";"26S proteasome non-ATPase regulatory subunit 2";"PSMD2";6;14;0,000148109179808659;2;2;5;5;2;2;5;5;0,000112185986084452;0,000111187454035199;0,000302931691911873;0,000298411109463247
"Q13257";"Q13257";"Q13257";"MD2L1_HUMAN";"Mitotic spindle assembly checkpoint protein MAD2A";"MAD2L1";6;15;0,000702873529266177;5;4;3;3;5;4;3;3;0,00124225457761807;0,000984958129404497;0,000805059442700432;0,000793045719197937
"Q13488-1";"Q13488-1";"Q13488-1";"VPP3_HUMAN";"V-type proton ATPase 116 kDa subunit a isoform 3";"TCIRG1";8;15;0,000173601293372972;5;1;4;5;5;1;4;5;NA;NA;NA;NA
"Q16718";"Q16718";"Q16718";"NDUA5_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5";"NDUFA5";6;24;0,00198743549654574;4;5;4;5;6;6;6;6;0,00263443643184523;0,00261098814475761;0,00284546871988946;0,00280300642130305
"Q5VST6-1,Q5VST6-2";"Q5VST6-1,Q5VST6-2";"Q5VST6-[1,2]";"F108B_HUMAN";"Abhydrolase domain-containing protein FAM108B1";"FAM108B1";6;14;0,000233477665392816;3;6;NA;2;5;7;NA;2;NA;NA;NA;NA
"Q6NUQ1";"Q6NUQ1";"Q6NUQ1";"RINT1_HUMAN";"RAD50-interacting protein 1";"RINT1";6;15;0,000181930648358038;4;NA;6;4;4;NA;6;5;0,000257234533749197;NA;0,00041676057008482;0,000342117787111904
"Q6NXE6-1,Q6NXE6-2";"Q6NXE6-1,Q6NXE6-2";"Q6NXE6-[1,2]";"ARMC6_HUMAN";"Armadillo repeat-containing protein 6";"ARMC6";6;15;0,000143801470558449;3;3;4;3;4;4;4;3;NA;NA;NA;NA
"Q6UWP7-1,Q6UWP7-3";"Q6UWP7-1,Q6UWP7-3";"Q6UWP7-[1,3]";"LCLT1_HUMAN";"Lysocardiolipin acyltransferase 1";"LCLAT1";9;28;0,000324838490981309;6;7;7;5;8;7;8;5;NA;NA;NA;NA
"Q6Y7W6-1,Q6Y7W6-3";"Q6Y7W6-1,Q6Y7W6-3";"Q6Y7W6-[1,3]";"PERQ2_HUMAN";"PERQ amino acid-rich with GYF domain-containing protein 2";"GIGYF2";6;20;7,394871619172e-05;3;5;4;5;4;5;5;6;NA;NA;NA;NA
"Q6ZMG9";"Q6ZMG9";"Q6ZMG9";"CERS6_HUMAN";"Ceramide synthase 6";"CERS6";6;18;0,000506563149021913;5;5;3;4;6;5;3;4;0,000895296756134901;0,000657280001718496;0,000515741205479964;0,000705617935918303
"Q7Z3B1";"Q7Z3B1";"Q7Z3B1";"NEGR1_HUMAN";"Neuronal growth regulator 1";"NEGR1";6;16;0,00043416669981037;6;6;2;2;6;6;2;2;0,000863261655632899;0,000855578036135262;0,000310804492944611;0,000306166426432348
"Q86Y82";"Q86Y82";"Q86Y82";"STX12_HUMAN";"Syntaxin-12";"STX12";6;15;0,000522061860505675;4;3;2;3;6;3;3;3;0,00110722690613785;0,000548685914478048;0,000597960817947785;0,000589037581288322
"Q8N0U8";"Q8N0U8";"Q8N0U8";"VKORL_HUMAN";"Vitamin K epoxide reductase complex subunit 1-like protein 1";"VKORC1L1";6;18;0,000982425501133407;6;5;2;2;7;7;2;2;0,00202572195327493;0,00200769164161286;0,000625140855127229;0,000615812016801428
"Q8N122-1";"Q8N122-1";"Q8N122-1";"RPTOR_HUMAN";"Regulatory-associated protein of mTOR";"RPTOR";7;19;0,000136713727665007;3;2;5;7;4;3;5;7;NA;NA;NA;NA
"Q8TB61-1,Q8TB61-2,Q8TB61-3";"Q8TB61-1,Q8TB61-2,Q8TB61-3";"Q8TB61-[1-3]";"S35B2_HUMAN";"Adenosine 3'-phospho 5'-phosphosulfate transporter 1";"SLC35B2";6;20;0,000148239787550994;5;5;4;4;6;5;4;5;NA;NA;NA;NA
"Q8TF62";"Q8TF62";"Q8TF62";"AT8B4_HUMAN";"Probable phospholipid-transporting ATPase IM";"ATP8B4";6;12;9,67040761742056e-05;3;3;3;3;3;3;3;3;0,000128185665307905;0,00012704472516438;0,00013845401489395;0,000136387896338571
