;protein.acs;ID;Description;Gene;global.peptide.count;global.spectra.count;global.dNSAF;peptide.count.P5834.1.id.csv;peptide.count.P5834.2.id.csv;peptide.count.P5835.1.id.csv;peptide.count.P5835.2.id.csv;spectra.count.P5834.1.id.csv;spectra.count.P5834.2.id.csv;spectra.count.P5835.1.id.csv;spectra.count.P5835.2.id.csv;dNSAF.P5834.1.id.csv;dNSAF.P5834.2.id.csv;dNSAF.P5835.1.id.csv;dNSAF.P5835.2.id.csv;Go.Cc
350;P11177;ODPB_HUMAN;Pyruvate dehydrogenase E1 component subunit beta, mitochondrial;PDHB;9;22;0,000196221579510397;5;6;5;4;6;7;5;4;NA;NA;NA;NA;mitochondrial matrix, pyruvate dehydrogenase complex
354;P11310;ACADM_HUMAN;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial;ACADM;4;11;0,000125493254829393;2;2;2;3;3;2;3;3;NA;NA;NA;NA;axon, mitochondrial matrix, mitochondrion
355;P11441;UBL4A_HUMAN;Ubiquitin-like protein 4A;UBL4A;2;2;0,000122368639914706;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000690337037943002;cytosol, BAT3 complex
356;P11586;C1TC_HUMAN;C-1-tetrahydrofolate synthase, cytoplasmic;MTHFD1;7;19;0,000195200883885331;4;4;6;4;4;4;7;4;0,000217892781528732;0,000215953386660879;0,00041185750455441;0,000231835112207596;extracellular vesicular exosome, mitochondrion, cytosol
358;P11940;PABP1_HUMAN;Polyadenylate-binding protein 1;PABPC1;4;9;6.95E+09;1;2;2;4;1;2;2;4;NA;NA;NA;NA;ribonucleoprotein complex, cytoplasmic stress granule, catalytic step 2 spliceosome, cytosol, cytoplasm, nucleus
359;P12004;PCNA_HUMAN;Proliferating cell nuclear antigen;PCNA;2;4;0,000147217444188574;1;1;1;1;1;1;1;1;0,000195143439395943;0,000193406529241304;0,000210775460732552;0,000207630105281708;cytoplasm, extracellular vesicular exosome, nuclear replication fork, PCNA complex, nucleoplasm, nucleus, PCNA-p21 complex, DNA replication factor C complex
360;P12036;NFH_HUMAN;Neurofilament heavy polypeptide;NEFH;1;1;5.15E+08;0;0;1;NA;0;0;1;NA;NA;NA;NA;NA;neurofibrillary tangle, neurofilament, axon, cytoplasm, mitochondrion
365;P12277;KCRB_HUMAN;Creatine kinase B-type;CKB;1;1;2.52E+09;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000144389488848284;NA;extracellular vesicular exosome, mitochondrion, cytosol
366;P12694;ODBA_HUMAN;2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial;BCKDHA;1;3;6.48E+09;NA;1;1;1;NA;1;1;1;NA;0,00011343618906063;0,000123623360115048;0,000121778556131518;mitochondrion, mitochondrial matrix, mitochondrial alpha-ketoglutarate dehydrogenase complex
369;P13010;XRCC5_HUMAN;X-ray repair cross-complementing protein 5;XRCC5;13;48;0,000629897589069143;10;10;9;9;13;11;11;13;0,000904537827691849;0,000758565772475116;0,000826688999676446;0,00096241659456398;cytosol, nuclear chromosome, telomeric region, nonhomologous end joining complex, nuclear telomere cap complex, nucleus, nucleoplasm, Ku70:Ku80 complex
375;P13639;EF2_HUMAN;Elongation factor 2;EEF2;22;64;0,000716526861225505;16;16;13;10;20;19;14;11;0,00118723630961168;0,00111783563928628;0,000897638150951919;0,000694762275365714;polysome, cytosol, extracellular vesicular exosome, ribonucleoprotein complex
376;P13645;K1C10_HUMAN;Keratin, type I cytoskeletal 10;KRT10;12;32;0,000547406891103376;7;11;5;6;8;12;5;7;0,00076113231903872;0,00110639132344067;0,000470996534684899;0,000649555141009725;extracellular vesicular exosome, cytoplasm, extracellular space, intermediate filament, keratin filament
377;P13667;PDIA4_HUMAN;Protein disulfide-isomerase A4;PDIA4;3;5;7.45E+09;NA;NA;2;3;NA;NA;2;3;NA;NA;0,000170581070546345;0,000252053290597794;cell surface, endoplasmic reticulum, endoplasmic reticulum lumen, melanosome
380;P13804;ETFA_HUMAN;Electron transfer flavoprotein subunit alpha, mitochondrial;ETFA;13;48;0,00138463974534118;11;10;10;8;13;11;14;10;NA;NA;NA;NA;mitochondrion, mitochondrial matrix
384;P14314;GLU2B_HUMAN;Glucosidase 2 subunit beta;PRKCSH;8;30;0,000272895972537058;7;8;6;6;7;9;7;7;NA;NA;NA;NA;endoplasmic reticulum lumen, intracellular, endoplasmic reticulum
385;P14406;CX7A2_HUMAN;Cytochrome c oxidase subunit 7A2, mitochondrial;COX7A2;1;8;0,000925873564655848;1;1;1;1;2;2;2;2;0,00122728765499617;0,00121636395498748;0,00132559988557099;0,00130581825249459;mitochondrial respiratory chain
389;P14678;RSMB_HUMAN;Small nuclear ribonucleoprotein-associated proteins B and B';SNRPB;4;9;0,000360222683748916;NA;3;3;2;NA;4;3;2;NA;NA;NA;NA;U1 snRNP, methylosome, SMN-Sm protein complex, nucleoplasm, cytosol, U4 snRNP, U12-type spliceosomal complex, U7 snRNP, catalytic step 2 spliceosome, small nuclear ribonucleoprotein complex, spliceosomal complex, histone pre-mRNA 3'end processing complex
391;P14866;HNRPL_HUMAN;Heterogeneous nuclear ribonucleoprotein L;HNRNPL;5;13;0,000106007807328487;3;NA;3;4;4;NA;4;5;NA;NA;NA;NA;nucleoplasm, ribonucleoprotein complex, extracellular vesicular exosome, cytoplasm, nucleus
392;P14868;SYDC_HUMAN;Aspartate--tRNA ligase, cytoplasmic;DARS;14;46;0,00088198235275849;9;11;10;11;10;12;10;14;0,00101661552260162;0,00120908033849055;0,00109805180142108;0,0015143321451085;cytoplasm, extracellular vesicular exosome, cytosol
398;P15880;RS2_HUMAN;40S ribosomal protein S2;RPS2;9;33;0,00108189748020152;7;9;6;7;8;10;7;8;0,00139064676265778;0,00172283631849763;0,00131428930634257;0,00147963023832152;extracellular vesicular exosome, cytosol, nucleoplasm, cytosolic small ribosomal subunit
406;P16403;H12_HUMAN;Histone H1.2;HIST1H1C;5;21;0,000947064332861;4;4;5;5;4;5;5;7;0,000956477702954761;0,00118495549605588;0,00129137078054451;0,00178093991713465;nucleus, nucleosome
409;P17066;HSP76_HUMAN;Heat shock 70 kDa protein 6;HSPA6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;extracellular vesicular exosome, blood microparticle
415;P17844;DDX5_HUMAN;Probable ATP-dependent RNA helicase DDX5;DDX5;7;17;0,00046129386243443;3;3;3;7;3;3;3;8;0,000547482229158715;0,000775156089509239;0,000444537646417208;0,000924131005094613;catalytic step 2 spliceosome, nucleus, ribonucleoprotein complex, nucleolus, extracellular vesicular exosome
416;P17858;K6PL_HUMAN;6-phosphofructokinase, liver type;PFKL;12;33;0,000445916684013971;9;9;7;7;9;9;8;7;NA;NA;NA;NA;cytosol, extracellular vesicular exosome, 6-phosphofructokinase complex
418;P17987;TCPA_HUMAN;T-complex protein 1 subunit alpha;TCP1;11;29;0,000501029152456526;7;6;6;8;7;6;6;10;0,000641235726216524;0,00054473853379835;0,000593658941559671;0,000974666501412332;extracellular vesicular exosome, microtubule, pericentriolar material, acrosomal vesicle, nuclear heterochromatin, chaperonin-containing T-complex, centrosome, zona pellucida receptor complex, cell body, Golgi apparatus, cytosol
420;P18077;RL35A_HUMAN;60S ribosomal protein L35a;RPL35A;7;27;0,00235782120272018;5;6;6;7;6;7;6;8;0,00277813296449133;0,00321230662658057;0,0030006761046107;0,00394119690752914;cytosol, extracellular vesicular exosome, cytosolic large ribosomal subunit
422;P18124;RL7_HUMAN;60S ribosomal protein L7;RPL7;10;41;0,00158807849824791;9;8;9;8;11;10;11;9;0,00225910005849093;0,00203544774725728;0,00244006591839983;0,00196662547301101;cytosolic large ribosomal subunit, ribonucleoprotein complex, cytosol
425;P18621;RL17_HUMAN;60S ribosomal protein L17;RPL17;4;17;0,000887505162859648;4;4;4;4;4;4;4;5;0,00110722690613785;0,0010973718289561;0,00119592163589557;0,00147259395322081;cytosolic large ribosomal subunit, cytosol
426;P18669;PGAM1_HUMAN;Phosphoglycerate mutase 1;PGAM1;2;2;7.56E+09;NA;2;NA;NA;NA;2;NA;NA;NA;0,000397473260881736;NA;NA;cytoplasm, cytosol, extracellular vesicular exosome
429;P19012;K1C15_HUMAN;Keratin, type I cytoskeletal 15;KRT15;1;1;2.19E+09;1;0;NA;NA;1;0;NA;NA;0,000121847937039093;NA;NA;NA;intermediate filament, extracellular vesicular exosome
431;P19338;NUCL_HUMAN;Nucleolin;NCL;11;44;0,000595297580655486;10;10;10;8;11;11;13;9;0,000789094104937678;0,00078207062739688;0,00100726920882472;0,000686933968037649;nucleolus, extracellular vesicular exosome, nucleus, nucleoplasm, ribonucleoprotein complex, cell cortex
433;P19525;E2AK2_HUMAN;Interferon-induced, double-stranded RNA-activated protein kinase;EIF2AK2;4;7;0,000122035512945791;1;1;2;3;1;1;2;3;9.24E+08;9.16E+09;0,000199682015430839;0,000295053307505584;cytoplasm, perinuclear region of cytoplasm, nucleus, cytosol
435;P20042;IF2B_HUMAN;Eukaryotic translation initiation factor 2 subunit 2;EIF2S2;2;2;5.77E+09;NA;2;NA;NA;NA;2;NA;NA;NA;0,000303177802594477;NA;NA;cytosol, eukaryotic translation initiation factor 2 complex
436;P20231;TRYB1_HUMAN, TRYB2_HUMAN;Tryptase alpha/beta-1, Tryptase beta-2;TPSAB1, TPSB2;5;26;0,000302732598867776;4;4;3;4;7;6;7;6;0,00129646205009595;0,00110136227197048;0,00140031551548499;0,00118235907225874;extracellular region
445;P20794;MAK_HUMAN;Serine/threonine-protein kinase MAK;MAK;1;1;5.39E+08;0;0;1;0;0;0;1;0;NA;NA;NA;NA;photoreceptor outer segment, photoreceptor inner segment, mitotic spindle, cytoplasm, midbody, nucleus, centrosome
446;P20929;NEBU_HUMAN;Nebulin;NEB;3;4;5.76E+08;NA;3;NA;NA;NA;4;NA;NA;NA;3.03E+09;NA;NA;actin cytoskeleton, Z disc, extracellular vesicular exosome, cytosol
452;P22087;FBRL_HUMAN;rRNA 2'-O-methyltransferase fibrillarin;FBL;1;1;2.99E+09;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000171378178352636;NA;extracellular vesicular exosome, Cajal body, box C/D snoRNP complex, nucleolus, granular component
453;P22090;RS4Y1_HUMAN;40S ribosomal protein S4, Y isoform 1;RPS4Y1;1;3;0,000211030328741796;0;1;1;1;0;1;1;1;0;0,000359879544667161;0,000488069412874998;0,000370892104415765;cytosolic small ribosomal subunit, polysome, cytosol
454;P22314;UBA1_HUMAN;Ubiquitin-like modifier-activating enzyme 1;UBA1;5;15;0,000136190050566698;3;4;2;5;3;4;2;6;0,000144420900800589;0,00019084727460106;0,00010399318573005;0,000307323955454777;extracellular vesicular exosome
456;P22626;ROA2_HUMAN;Heterogeneous nuclear ribonucleoproteins A2/B1;HNRNPA2B1;11;40;0,00115986808185536;10;9;10;9;10;9;11;10;NA;NA;NA;NA;spliceosomal complex, cytoplasm, catalytic step 2 spliceosome, ribonucleoprotein complex, nucleoplasm
458;P23193;TCEA1_HUMAN;Transcription elongation factor A protein 1;TCEA1;2;6;9.57E+09;1;1;2;2;1;1;2;2;NA;NA;NA;NA;nucleolus, nucleoplasm, nucleus
460;P23246;SFPQ_HUMAN;Splicing factor, proline- and glutamine-rich;SFPQ;6;19;0,000258151098207615;2;3;6;6;2;3;7;7;NA;NA;NA;NA;cytoplasm, nucleus, nucleoplasm, paraspeckles, nuclear matrix
461;P23284;PPIB_HUMAN;Peptidyl-prolyl cis-trans isomerase B;PPIB;9;34;0,00151204583302014;6;6;9;9;7;6;10;11;0,00165058825822401;0,00140219733699946;0,00254687015051834;0,00275975014936936;macromolecular complex, extracellular vesicular exosome, melanosome, endoplasmic reticulum, endoplasmic reticulum lumen
463;P23526;SAHH_HUMAN;Adenosylhomocysteinase;AHCY;2;4;8.89E+09;2;1;NA;NA;2;2;NA;NA;0,000235798322603431;0,000233699556166576;NA;NA;melanosome, extracellular vesicular exosome, cytosol, cytoplasm
470;P24534;EF1B_HUMAN;Elongation factor 1-beta;EEF1B2;1;2;8.54E+09;NA;NA;1;1;NA;NA;1;1;NA;NA;0,000244499534449761;0,000240850922126781;eukaryotic translation elongation factor 1 complex, cytosol
474;P25398;RS12_HUMAN;40S ribosomal protein S12;RPS12;2;2;0,000145544518686431;NA;NA;2;NA;NA;NA;2;NA;NA;NA;0,000833521140169639;NA;cytosolic small ribosomal subunit, cytosol
479;P26368;U2AF2_HUMAN;Splicing factor U2AF 65 kDa subunit;U2AF2;3;8;8.09E+08;2;NA;3;3;2;NA;3;3;NA;NA;NA;NA;spliceosomal complex, nucleus, nucleoplasm, nuclear speck
480;P26373;RL13_HUMAN;60S ribosomal protein L13;RPL13;9;34;0,00154787630299692;7;7;7;9;7;8;8;11;0,00168970172405871;0,00191389968272912;0,0020857780190027;0,0028251470723402;cytosol, nucleolus, cytosolic large ribosomal subunit, cytoplasm, cytosolic ribosome
481;P26447;S10A4_HUMAN;Protein S100-A4;S100A4;2;4;0,000380433197358591;2;2;NA;NA;2;2;NA;NA;0,00100856312242259;0,000999586220435257;NA;NA;perinuclear region of cytoplasm, neuron projection, extracellular vesicular exosome, nucleus, extracellular space
482;P26583;HMGB2_HUMAN;High mobility group protein B2;HMGB2;5;20;0,000980510441677007;5;3;4;4;7;4;4;5;0,0018277190555864;0,000966107256114459;0,00114060787602161;0,00141430511035735;extracellular space, cytoplasm, nucleoplasm, protein complex, condensed chromosome, perinuclear region of cytoplasm, nucleus
483;P26599;PTBP1_HUMAN;Polypyrimidine tract-binding protein 1;PTBP1;7;17;0,000102511581899671;5;3;3;6;5;3;3;6;NA;NA;NA;NA;extracellular vesicular exosome, nucleolus, nucleoplasm
484;P26639;SYTC_HUMAN;Threonine--tRNA ligase, cytoplasmic;TARS;1;1;1.33E+09;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;7.50E+09;extracellular vesicular exosome, actin cytoskeleton, cytoplasm, cytosol
485;P26640;SYVC_HUMAN;Valine--tRNA ligase;VARS;6;10;7.60E+09;2;2;2;4;2;2;2;4;8.06E+09;7.99E+09;8.70E+09;0,000171491954045967;cytosol, mitochondrion
486;P26641;EF1G_HUMAN;Elongation factor 1-gamma;EEF1G;16;56;0,00123096691319233;12;12;11;11;15;15;14;12;0,00174825300969134;0,00173269236150963;0,0017624108318461;0,00148809494220208;cytosol, eukaryotic translation elongation factor 1 complex
492;P27635;RL10_HUMAN;60S ribosomal protein L10;RPL10;9;33;0,00148128954064975;8;8;6;5;9;9;9;6;0,00214201840720126;0,0021229529775132;0,00231360540776059;0,00151938665827642;cytosol, endoplasmic reticulum, cytosolic large ribosomal subunit
493;P27694;RFA1_HUMAN;Replication protein A 70 kDa DNA-binding subunit;RPA1;1;2;3.12E+09;NA;1;NA;1;NA;1;NA;1;NA;8.19E+09;NA;8.80E+09;nucleoplasm, lateral element, nucleus, cytoplasm, DNA replication factor A complex, male germ cell nucleus, actin cytoskeleton, PML body
495;P27708;PYR1_HUMAN;CAD protein;CAD;6;7;3.02E+09;NA;NA;4;3;NA;NA;4;3;NA;NA;9.89E+09;7.31E+08;terminal bouton, nuclear matrix, nucleus, protein complex, extracellular vesicular exosome, cytosol, cell projection, neuronal cell body
498;P28066;PSA5_HUMAN;Proteasome subunit alpha type-5;PSMA5;1;1;3.99E+09;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000228267200212432;NA;proteasome core complex, cytosol, proteasome core complex, alpha-subunit complex, extracellular vesicular exosome, nucleus, cytoplasm, nucleoplasm, proteasome complex
501;P28340;DPOD1_HUMAN;DNA polymerase delta catalytic subunit;POLD1;3;4;3.47E+09;NA;2;NA;2;NA;2;NA;2;NA;9.12E+09;NA;9.79E+09;nucleotide-excision repair complex, nucleoplasm, cytoplasm, nucleus, aggresome, delta DNA polymerase complex
502;P28838;AMPL_HUMAN;Cytosol aminopeptidase;LAP3;4;6;5.55E+09;3;1;NA;2;3;1;NA;2;NA;NA;NA;NA;mitochondrion, extracellular vesicular exosome, cytoplasm, trans-Golgi network, nucleus
504;P29692;EF1D_HUMAN;Elongation factor 1-delta;EEF1D;1;1;1.14E+09;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;cytosol, nucleolus, nucleus, eukaryotic translation elongation factor 1 complex, cytoplasm
506;P30038;AL4A1_HUMAN;Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial;ALDH4A1;6;19;0,000324179087802458;5;4;4;5;5;5;4;5;NA;NA;NA;NA;mitochondrial matrix
508;P30050;RL12_HUMAN;60S ribosomal protein L12;RPL12;10;26;0,00151366299433888;7;7;6;3;8;8;7;3;NA;NA;NA;NA;cytosolic large ribosomal subunit, extracellular vesicular exosome, cytosol
509;P30101;PDIA3_HUMAN;Protein disulfide-isomerase A3;PDIA3;9;22;0,00041847651709445;5;5;4;6;5;6;5;6;0,000504281561211297;0,000599751732261154;0,000544677180704913;0,000643858900734958;melanosome, cell surface, endoplasmic reticulum lumen, extracellular vesicular exosome, endoplasmic reticulum
533;P30876;RPB2_HUMAN;DNA-directed RNA polymerase II subunit RPB2;POLR2B;2;5;4.09E+09;1;1;2;1;1;1;2;1;4.34E+09;4.30E+08;9.37E+09;4.62E+09;nucleoplasm, DNA-directed RNA polymerase II, core complex, nucleus
536;P31483;TIA1_HUMAN;Nucleolysin TIA-1 isoform p40;TIA1;2;3;9.60E+09;2;NA;0;1;2;NA;0;1;NA;NA;NA;NA;nuclear stress granule, cytoplasmic stress granule
541;P31942;HNRH3_HUMAN;Heterogeneous nuclear ribonucleoprotein H3;HNRNPH3;3;11;0,000152695549951371;2;2;3;3;2;2;3;4;NA;NA;NA;NA;nucleus, spliceosomal complex
542;P31943;HNRH1_HUMAN;Heterogeneous nuclear ribonucleoprotein H;HNRNPH1;1;1;0,00015151391354227;1;0;0;0;1;0;0;0;0,000442397565614989;0;NA;NA;nucleus, nucleoplasm, catalytic step 2 spliceosome
544;P31948;STIP1_HUMAN;Stress-induced-phosphoprotein 1;STIP1;1;3;5.31E+09;1;NA;1;1;1;NA;1;1;9.38E+09;NA;0,000101311961788575;9.98E+09;nucleus, Golgi apparatus
545;P31949;S10AB_HUMAN;Protein S100-A11;S100A11;2;4;0,000365940504125883;2;2;NA;NA;2;2;NA;NA;0,000970141670139829;0,000961506745371057;NA;NA;extracellular vesicular exosome, cytoplasm, extracellular space, ruffle, nucleus
547;P32322;P5CR1_HUMAN;Pyrroline-5-carboxylate reductase 1, mitochondrial;PYCR1;5;12;0,000361351908462862;2;2;4;3;2;3;4;3;NA;NA;NA;NA;mitochondrion, mitochondrial matrix
549;P32969;RL9_HUMAN;60S ribosomal protein L9;RPL9,RPL9P8,RPL9P7,RPL9P9;5;16;0,000800494852775369;4;4;4;4;4;4;4;4;0,00106109245171544;0,00105164800274959;0,00114609156773325;0,00112898869746928;cytosol, cytosolic large ribosomal subunit, cytoplasm, nucleolus, ribosome
553;P33981;TTK_HUMAN;Dual specificity protein kinase TTK;TTK;1;2;1.12E+09;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;NA;spindle
554;P33991;MCM4_HUMAN;DNA replication licensing factor MCM4;MCM4;1;1;1.11E+09;NA;1;NA;NA;NA;1;NA;NA;NA;5.85E+09;NA;NA;MCM complex, nucleoplasm, nucleus
555;P33992;MCM5_HUMAN;DNA replication licensing factor MCM5;MCM5;4;9;0,000117783983787111;2;3;NA;2;3;4;NA;2;0,000208170726222102;0,000275090485732864;NA;0,000147660647080451;MCM complex, nucleoplasm, nucleus
556;P33993;MCM7_HUMAN;DNA replication licensing factor MCM7;MCM7;13;50;0,000668006831245092;10;9;11;10;14;9;15;12;NA;NA;NA;NA;chromatin, nucleus, cytosol, nucleoplasm, MCM complex, cytoplasm
558;P34931;HS71L_HUMAN;Heat shock 70 kDa protein 1-like;HSPA1L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;mitochondrial matrix, zona pellucida receptor complex, blood microparticle, cell body
560;P35237;SPB6_HUMAN;Serpin B6;SERPINB6;1;2;5.11E+08;NA;NA;1;1;NA;NA;1;1;NA;NA;0,000146309561838288;0,000144126216698207;extracellular vesicular exosome, cytosol, extracellular space, cytoplasm, protein complex
561;P35249;RFC4_HUMAN;Replication factor C subunit 4;RFC4;2;5;0,000132313198805846;2;1;1;1;2;1;1;1;0,000280619491362761;0,000139060892925566;0,000151549298212662;0,000149287761648831;DNA replication factor C complex, nucleoplasm
562;P35268;RL22_HUMAN;60S ribosomal protein L22;RPL22;3;9;0,000675417532029217;3;3;1;1;4;3;1;1;0,00159163867757316;0,00118310400309329;0,00042978433789997;0,000423370761550982;cytoplasm, extracellular vesicular exosome, ribonucleoprotein complex, cytosolic large ribosomal subunit, cytosol
563;P35527;K1C9_HUMAN;Keratin, type I cytoskeletal 9;KRT9;8;16;0,000256569521993877;1;3;5;6;1;3;5;7;8.92E+09;0,000259282717852869;0,000441512000410884;0,000608892780657592;intermediate filament, extracellular vesicular exosome, extracellular space
565;P35606;COPB2_HUMAN;Coatomer subunit beta';COPB2;6;12;0,000127230969977542;NA;3;5;3;NA;3;6;3;NA;0,000167149351430399;0,000364320498352293;0,000179441912180549;COPI vesicle coat, cytosol
569;P35637;FUS_HUMAN;RNA-binding protein FUS;FUS;3;10;9.13E+09;3;2;2;3;3;2;2;3;NA;NA;NA;NA;nucleoplasm, cytoplasm, nucleus
571;P35659;DEK_HUMAN;Protein DEK;DEK;2;2;5.12E+09;NA;NA;NA;2;NA;NA;NA;2;NA;NA;NA;NA;nucleus
573;P35908;K22E_HUMAN;Keratin, type II cytoskeletal 2 epidermal;KRT2;6;19;0,000368560821221066;6;6;3;2;8;6;3;2;0,000830625373618608;0,000656922696059049;0,000344365541478536;0,000169613325441395;intermediate filament cytoskeleton, cytoplasm, extracellular space, intermediate filament, extracellular vesicular exosome, Golgi apparatus, keratin filament
574;P35998;PRS7_HUMAN;26S protease regulatory subunit 7;PSMC2;1;1;2.22E+08;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000125153481474655;cytoplasmic mRNA processing body, nucleoplasm, proteasome accessory complex, proteasome complex, cytosol, cytoplasm
578;P36578;RL4_HUMAN;60S ribosomal protein L4;RPL4;14;50;0,00112481712333775;10;12;12;11;10;13;14;13;0,00119279713541782;0,00153683455202751;0,00180368509020315;0,00164985701925254;extracellular vesicular exosome, cytosol, nucleus, ribonucleoprotein complex, nucleolus, cytoplasm, cytosolic large ribosomal subunit
581;P37108;SRP14_HUMAN;Signal recognition particle 14 kDa protein;SRP14;1;2;0,000141263797548595;NA;NA;1;1;NA;NA;1;1;NA;NA;0,000404502906258796;0,000398466599106806;cytosol, signal recognition particle, endoplasmic reticulum targeting, cytoplasm, intercellular bridge, nucleolus
584;P37802;TAGL2_HUMAN;Transgelin-2;TAGLN2;4;6;0,000289626278391088;3;NA;1;2;3;NA;1;2;0,000767825693703634;NA;0,000276444197242192;0,000544637763603273;extracellular vesicular exosome
586;P38159;RBMX_HUMAN;RNA-binding motif protein, X chromosome;RBMX;2;4;9.83E+09;NA;2;1;1;NA;2;1;1;NA;NA;NA;NA;extracellular vesicular exosome, nuclear euchromatin, extracellular space, ribonucleoprotein complex, supraspliceosomal complex, nucleoplasm, catalytic step 2 spliceosome, nucleus
588;P38646;GRP75_HUMAN;Stress-70 protein, mitochondrial;HSPA9;19;47;0,000664917668579246;11;10;12;11;12;11;13;11;0,000900131446521491;0,000817776355599094;0,00105325646283586;0,000877917573289812;mitochondrial nucleoid, extracellular vesicular exosome, mitochondrion, cytoplasm, nucleolus
589;P39019;RS19_HUMAN;40S ribosomal protein S19;RPS19;7;21;0,00139120484758202;5;6;5;5;5;6;5;5;0,00175629095456348;0,00208879051580609;0,00189697914659297;0,00186867094753537;cytosol, cytoplasm, extracellular vesicular exosome, ribosome, nucleolus, cytosolic small ribosomal subunit
590;P39023;RL3_HUMAN;60S ribosomal protein L3;RPL3;11;38;0,000998670425222334;10;10;7;8;10;11;9;8;0,0013902154206098;0,001492661681322;0,00136507184246144;0,00121023106031447;cytosolic large ribosomal subunit, cytosol, nucleolus, cytoplasm, extracellular vesicular exosome, nucleus
593;P39748;FEN1_HUMAN;Flap endonuclease 1;FEN1;2;9;0,000227509063420368;2;2;2;2;2;2;2;3;0,000268065461486005;0,000265679495431476;0,000289538922374717;0,000427827295883097;nucleolus, nucleus, nucleoplasm, mitochondrion
594;P40227;TCPZ_HUMAN;T-complex protein 1 subunit zeta;CCT6A;11;25;0,000452256978969135;6;4;5;8;6;5;6;8;0,000575507770421933;0,000475321131186257;0,000621608985889223;0,000816443803819596;extracellular vesicular exosome, cytoplasm, acrosomal vesicle, cell body, microtubule, chaperonin-containing T-complex, cytosol, zona pellucida receptor complex
595;P40429;RL13A_HUMAN;60S ribosomal protein L13a;RPL13A;7;22;0,00104103764104777;5;5;6;4;5;6;7;4;0,00125449353897392;0,00149199322557578;0,00189697914659297;0,00106781197002021;cytosolic large ribosomal subunit, GAIT complex, cytosol, large ribosomal subunit, ribonucleoprotein complex
599;P40937;RFC5_HUMAN;Replication factor C subunit 5;RFC5;1;1;1.41E+09;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;DNA replication factor C complex, nucleoplasm
600;P40938;RFC3_HUMAN;Replication factor C subunit 3;RFC3;8;22;0,000593625396440161;5;6;5;5;5;7;5;5;0,000715343225875576;0,000992566654280515;0,000772646000719048;0,00076111597582199;nucleoplasm, DNA replication factor C complex
602;P41227;NAA10_HUMAN;N-alpha-acetyltransferase 10;NAA10;1;1;4.09E+09;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;0,000230601946717131;cytoplasm, nucleus, nucleolus, intracellular, NatA complex
603;P41250;SYG_HUMAN;Glycine--tRNA ligase;GARS;1;1;1.30E+09;NA;NA;1;NA;NA;NA;1;NA;NA;NA;7.44E+09;NA;cytosol, secretory granule, mitochondrial matrix, nucleus, cytoplasm
604;P41252;SYIC_HUMAN;Isoleucine--tRNA ligase, cytoplasmic;IARS;12;37;0,000281632103512095;10;9;8;8;10;9;9;9;0,000403585084646125;0,000359993611083854;0,00039232294553151;0,000386468397231958;cytosol, cytoplasm, extracellular vesicular exosome
609;P42224;STAT1_HUMAN;Signal transducer and activator of transcription 1-alpha/beta;STAT1;13;34;0,000435469199909801;8;7;8;8;9;9;8;8;NA;NA;NA;NA;nucleolus, cytosol, dendrite, cytoplasm, axon, nucleus, nuclear chromatin, nucleoplasm
612;P42677;RS27_HUMAN;40S ribosomal protein S27;RPS27;4;18;0,00205841533570809;3;3;3;3;4;6;3;5;0,00242535417534957;0,00360565029514146;0,00196472840182844;0,00322568199276938;cytosolic small ribosomal subunit, cytosol, nucleus, ribosome
615;P42766;RL35_HUMAN;60S ribosomal protein L35;RPL35;3;9;0,000725546868919925;2;2;2;3;2;2;2;3;0,000828169718412049;0,000820798441170414;0,000993900546543743;0,00132174286532989;cytosolic large ribosomal subunit, nucleolus, cytosol, cytoplasm
619;P43246;MSH2_HUMAN;DNA mismatch repair protein Msh2;MSH2;5;7;7.20E+09;3;4;NA;NA;3;4;NA;NA;0,000163594553583536;0,000216184600136961;NA;NA;MutSalpha complex, nuclear chromosome, MutSbeta complex
622;P43487;RANG_HUMAN;Ran-specific GTPase-activating protein;RANBP1;2;4;0,000191162949916506;NA;NA;2;2;NA;NA;2;2;NA;NA;0,000547387017424838;0,00053921848237339;nucleus, centrosome, nuclear envelope, cytoplasm
623;P43490;NAMPT_HUMAN;Nicotinamide phosphoribosyltransferase;NAMPT;5;10;0,000195640289884001;NA;2;2;5;NA;2;2;6;NA;0,000205617532105827;0,000224083076379618;0,00066221740299624;cytosol, extracellular vesicular exosome, extracellular space, nucleus
