"";"X";"protein.acs";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5834.1.id.csv";"peptide.count.P5834.2.id.csv";"spectra.count.P5834.1.id.csv";"spectra.count.P5834.2.id.csv";"dNSAF.P5834.1.id.csv";"dNSAF.P5834.2.id.csv";"Go.Cc";"norm.sc";"matched_mask"
"443";443;"P27694";"P27694";"RFA1_HUMAN";"Replication protein A 70 kDa DNA-binding subunit";"RPA1";1;1;3,03639463925181e-05;NA;1;NA;1;NA;6,06778915651539e-05;"cytoplasm, actin cytoskeleton, PML body, lateral element, DNA replication factor A complex, male germ cell nucleus, nucleoplasm, nucleus";4,74090930640497e-05;FALSE
"450";450;"P28838";"P28838-1,P28838-2";"AMPL_HUMAN";"Cytosol aminopeptidase";"LAP3";3;4;7,20778072361895e-05;3;1;3;1;0,000108243555844659;3,60092304471433e-05;"nucleus, trans-Golgi network, mitochondrion, cytoplasm, extracellular vesicular exosome";0,000189636372256199;FALSE
"453";453;"P30038";"P30038-1";"AL4A1_HUMAN";"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial";"ALDH4A1";5;10;0,000332223640813342;5;4;5;5;0,000332613413163871;0,000331950099503861;"mitochondrial matrix";0,000474090930640497;FALSE
"456";456;"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";5;11;0,000407418021298421;5;5;5;6;0,000370814557646059;0,000444090073712493;"melanosome, endoplasmic reticulum, endoplasmic reticulum lumen, extracellular vesicular exosome, nucleus, cell surface";0,000521500023704547;FALSE
"480";480;"P31483";"P31483-1";"TIA1_HUMAN";"Nucleolysin TIA-1 isoform p40";"TIA1";2;2;9,69129066206796e-05;2;NA;2;NA;0,000194053214104932;NA;"nuclear stress granule, cytoplasmic stress granule";9,48181861280994e-05;FALSE
"484";484;"P31942";"P31942-1,P31942-2";"HNRH3_HUMAN";"Heterogeneous nuclear ribonucleoprotein H3";"HNRNPH3";3;4;0,000108116710854284;2;2;2;2;0,000108243555844659;0,00010802769134143;"nucleus, spliceosomal complex";0,000189636372256199;FALSE
"487";487;"P31948";"P31948";"STIP1_HUMAN";"Stress-induced-phosphoprotein 1";"STIP1";1;1;3,44460239001679e-05;1;NA;1;NA;6,89728735216426e-05;NA;"nucleus, Golgi apparatus";4,74090930640497e-05;FALSE
"488";488;"P31949";"P31949";"S10AB_HUMAN";"Protein S100-A11";"S100A11";2;4;0,000712540608677759;2;2;2;2;0,000713376577566703;0,000711953927697806;"extracellular vesicular exosome, ruffle, cytoplasm, nucleus, extracellular space";0,000189636372256199;FALSE
"490";490;"P32322";"P32322-1,P32322-2";"P5CR1_HUMAN";"Pyrroline-5-carboxylate reductase 1, mitochondrial";"PYCR1";2;5;0,000146584568791467;2;2;2;3;0,000117405236119912;0,000175756651430101;"mitochondrion, mitochondrial matrix";0,000237045465320248;FALSE
"500";500;"P34931";"P34931";"HS71L_HUMAN";"Heat shock 70 kDa protein 1-like";"HSPA1L";0;0;0;0;0;0;0;0;0;"blood microparticle, mitochondrial matrix, zona pellucida receptor complex, cytosol, cell body";0;FALSE
"502";502;"P35249";"P35249";"RFC4_HUMAN";"Replication factor C subunit 4";"RFC4";2;3;0,000154580090725547;2;1;2;1;0,000206348596816815;0,000102968543262079;"DNA replication factor C complex, nucleoplasm";0,000142227279192149;FALSE
"503";503;"P35268";"P35268";"RL22_HUMAN";"60S ribosomal protein L22";"RPL22";3;7;0,00102288544409795;3;3;4;3;0,00117038344757037;0,000876037059471909;"cytoplasm, nucleus, cytosol, cytosolic large ribosomal subunit, extracellular vesicular exosome, ribonucleoprotein complex";0,000331863651448348;FALSE
"506";506;"P35606";"P35606";"COPB2_HUMAN";"Coatomer subunit beta'";"COPB2";3;3;6,1934407211229e-05;NA;3;NA;3;NA;0,000123766825179254;"cytosol, COPI vesicle coat";0,000142227279192149;FALSE
"509";509;"P35637";"P35637-1,P35637-2";"FUS_HUMAN";"RNA-binding protein FUS";"FUS";3;5;8,88982460921633e-05;3;2;3;2;0,000106803052249768;7,10600403120433e-05;"nucleoplasm, cytoplasm, nucleus";0,000237045465320248;FALSE
"517";517;"P37235";"P37235,P61601,P84074";"HPCA_HUMAN, HPCL1_HUMAN, NCALD_HUMAN";"Hippocalcin-like protein 1, Neurocalcin-delta, Neuron-specific calcium-binding protein hippocalcin";"HPCA, HPCAL1, NCALD";2;4;0,000129217208827573;2;2;2;2;0,000129368809403288;0,000129110815903747;"extracellular vesicular exosome";0,000189636372256199;FALSE
"520";520;"P37802";"P37802";"TAGL2_HUMAN";"Transgelin-2";"TAGLN2";3;3;0,000281972728308409;3;NA;3;NA;0,000564607090285205;NA;"extracellular vesicular exosome, vesicle";0,000142227279192149;FALSE
"524";524;"P38646";"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";12;23;0,000633573479365533;11;10;12;11;0,000661895793618591;0,000605527825103804;"extracellular vesicular exosome, mitochondrial nucleoid, cytoplasm, nucleolus, mitochondrion";0,00109040914047314;FALSE
"526";526;"P39023";"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";10;21;0,00106326553719905;10;10;10;11;0,00102227040581829;0,00110525105711151;"cytosol, extracellular vesicular exosome, nucleus, cytosolic large ribosomal subunit, nucleolus, cytoplasm";0,000995590954345043;FALSE
"530";530;"P40227";"P40227";"TCPZ_HUMAN";"T-complex protein 1 subunit zeta";"CCT6A";6;11;0,000387469116300759;6;4;6;5;0,000423189495166688;0,000351954625274339;"microtubule, chaperonin-containing T-complex, cytoplasm, zona pellucida receptor complex, acrosomal vesicle, extracellular vesicular exosome, cell body, cytosol";0,000521500023704547;FALSE
"535";535;"P40937";"P40937-1,P40937-2";"RFC5_HUMAN";"Replication factor C subunit 5";"RFC5";1;1;2,75061632026341e-05;1;NA;1;NA;5,50768681209587e-05;NA;"nucleoplasm, DNA replication factor C complex";4,74090930640497e-05;FALSE
"536";536;"P40938";"P40938";"RFC3_HUMAN";"Replication factor C subunit 3";"RFC3";7;12;0,000630478347565994;5;6;5;7;0,000526015032615898;0,000734952439407145;"DNA replication factor C complex, nucleoplasm";0,000568909116768596;FALSE
"542";542;"P42224";"P42224-1";"STAT1_HUMAN";"Signal transducer and activator of transcription 1-alpha/beta";"STAT1";9;18;0,000448900583466988;8;7;9;9;0,000449427243867023;0,000448530974449618;"cytosol, cytoplasm, nucleus, nucleolus, nucleoplasm, nuclear chromatin, dendrite, axon";0,000853363675152894;FALSE
"545";545;"P42677";"P42677";"RS27_HUMAN";"40S ribosomal protein S27";"RPS27";4;10;0,002226689402118;3;3;4;6;0,00178344144391676;0,00266982722886677;"cytosol, cytosolic small ribosomal subunit, ribosome, nucleus";0,000474090930640497;FALSE
"554";554;"P43490";"P43490";"NAMPT_HUMAN";"Nicotinamide phosphoribosyltransferase";"NAMPT";2;2;7,61881506223673e-05;NA;2;NA;2;NA;0,000152250839935376;"nucleus, cytosol, extracellular space, extracellular vesicular exosome";9,48181861280994e-05;FALSE
"555";555;"P43897";"P43897-1";"EFTS_HUMAN";"Elongation factor Ts, mitochondrial";"TSFM";1;1;5,7551356854742e-05;1;NA;1;NA;0,000115237754837698;NA;"nucleus, mitochondrion";4,74090930640497e-05;FALSE
"557";557;"P45954";"P45954";"ACDSB_HUMAN";"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial";"ACADSB";4;6;0,000259780430247099;3;2;3;3;0,000260085210571194;0,000259566536139825;"mitochondrion, extracellular vesicular exosome, mitochondrial matrix";0,000284454558384298;FALSE
"558";558;"P46379";"P46379-1,P46379-2,P46379-3";"BAG6_HUMAN";"Large proline-rich protein BAG6";"BAG6";4;6;3,30462738123519e-05;3;3;3;3;3,30850444542861e-05;3,30190646679636e-05;"nucleus, BAT3 complex, cytosol";0,000284454558384298;FALSE
"574";574;"P48556";"P48556";"PSMD8_HUMAN";"26S proteasome non-ATPase regulatory subunit 8";"PSMD8";2;2;0,000106881091301664;2;NA;2;NA;0,000214012973270011;NA;"proteasome complex, nucleus, nucleoplasm, cytosol, extracellular vesicular exosome, proteasome accessory complex, proteasome regulatory particle";9,48181861280994e-05;FALSE
"575";575;"P48643";"P48643";"TCPE_HUMAN";"T-complex protein 1 subunit epsilon";"CCT5";2;3;0,000103720097843574;2;NA;3;NA;0,000207683569254632;NA;"zona pellucida receptor complex, chaperonin-containing T-complex, nucleolus, extracellular vesicular exosome, cytoplasm, centrosome, microtubule, cytosol, cell body";0,000142227279192149;FALSE
"581";581;"P49207";"P49207";"RL34_HUMAN";"60S ribosomal protein L34";"RPL34";3;5;0,000799324400760306;2;3;2;3;0,000640209749098323;0,000958399518054738;"nucleolus, cytoplasm, cytosol, extracellular vesicular exosome, cytosolic large ribosomal subunit";0,000237045465320248;FALSE
"589";589;"P49770";"P49770";"EI2BB_HUMAN";"Translation initiation factor eIF-2B subunit beta";"EIF2B2";4;6;0,000319729760304122;4;2;4;2;0,000426806499398882;0,000212977670678831;"eukaryotic translation initiation factor 2B complex, cytosol, cytoplasm";0,000284454558384298;FALSE
"594";594;"P50213";"P50213-1,P50213-2";"IDH3A_HUMAN";"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial";"IDH3A";5;9;0,00022996956120235;5;4;5;4;0,000255821518594617;0,000204249077618223;"mitochondrial matrix, nucleus, mitochondrion";0,000426681837576447;FALSE
"598";598;"P50454";"P50454";"SERPH_HUMAN";"Serpin H1";"SERPINH1";5;9;0,000402721815311293;4;5;4;5;0,000358394931313415;0,000447100253637976;"endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum, endoplasmic reticulum lumen, extracellular vesicular exosome, extracellular space";0,000426681837576447;FALSE
"599";599;"P50502";"P50502,Q8IZP2,Q8NFI4";"F10A1_HUMAN, F10A5_HUMAN, ST134_HUMAN";"Hsc70-interacting protein, Putative protein FAM10A4, Putative protein FAM10A5";"ST13, ST13P4, ST13P5";1;3;5,73748189502796e-05;1;1;2;1;7,65895098614559e-05;3,82183856892994e-05;"cytosol, cytoplasm, protein complex, extracellular vesicular exosome";0,000142227279192149;FALSE
"606";606;"P50990";"P50990";"TCPQ_HUMAN";"T-complex protein 1 subunit theta";"CCT8";7;12;0,000409580824331193;6;6;6;6;0,000410061353893269;0,000409243589826293;"zona pellucida receptor complex, aggresome, microtubule, cytosol, cell body, centrosome, intermediate filament cytoskeleton, cytoplasm, chaperonin-containing T-complex, extracellular vesicular exosome";0,000568909116768596;FALSE
"607";607;"P50991";"P50991";"TCPD_HUMAN";"T-complex protein 1 subunit delta";"CCT4";7;13;0,000451121489260269;5;6;6;7;0,000416908389487034;0,000485423132521231;"zona pellucida receptor complex, nucleus, melanosome, centrosome, extracellular vesicular exosome, cytosol, microtubule, cytoplasm, cell body, chaperonin-containing T-complex";0,000616318209832646;FALSE
"613";613;"P51553";"P51553";"IDH3G_HUMAN";"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial";"IDH3G";4;8;0,000380746890133153;3;3;4;4;0,000381193591066177;0,000380433396479743;"nucleus, nucleolus, mitochondrion, mitochondrial matrix";0,000379272744512397;FALSE
"621";621;"P51812";"P51812";"KS6A3_HUMAN";"Ribosomal protein S6 kinase alpha-3";"RPS6KA3";2;2;5,05518675075437e-05;2;NA;2;NA;0,000101222352222302;NA;"cytosol, nucleoplasm";9,48181861280994e-05;FALSE
"622";622;"P51817";"P51817";"PRKX_HUMAN";"cAMP-dependent protein kinase catalytic subunit PRKX";"PRKX";1;2;0,000104492687026766;1;1;1;1;0,000104615280229754;0,000104406651408198;"cytoplasm, nucleus";9,48181861280994e-05;FALSE
"624";624;"P51991";"P51991-1";"ROA3_HUMAN";"Heterogeneous nuclear ribonucleoprotein A3";"HNRNPA3";4;7;0,000346373906996133;4;2;4;3;0,000396320320870391;0,000296647469874086;"ribonucleoprotein complex, nucleoplasm, nucleus, catalytic step 2 spliceosome";0,000331863651448348;FALSE
"632";632;"P52815";"P52815";"RM12_HUMAN";"39S ribosomal protein L12, mitochondrial";"MRPL12";1;1;9,44656109989453e-05;NA;1;NA;1;NA;0,000188775662647145;"mitochondrion, mitochondrial large ribosomal subunit";4,74090930640497e-05;FALSE
"640";640;"P53999";"P53999";"TCP4_HUMAN";"Activated RNA polymerase II transcriptional coactivator p15";"SUB1";5;10;0,00147277094313316;5;5;5;5;0,00147449883158472;0,00147155831512342;"nucleolus, nucleus, extracellular vesicular exosome, transcription factor complex";0,000474090930640497;FALSE
"642";642;"P54577";"P54577";"SYYC_HUMAN";"Tyrosine--tRNA ligase, cytoplasmic";"YARS";18;37;0,00131071035261037;17;15;19;18;0,00134771427295982;0,00127423572286823;"cytosol, cytoplasm, nucleus, extracellular space";0,00175413644336984;FALSE
"669";669;"P58004";"P58004";"SESN2_HUMAN";"Sestrin-2";"SESN2";1;1;3,89670645370649e-05;1;NA;1;NA;7,80255631713582e-05;NA;"cytoplasm, nucleus";4,74090930640497e-05;FALSE
"672";672;"P60174";"P60174-1,P60174-3";"TPIS_HUMAN";"Triosephosphate isomerase";"TPI1";3;5;0,00016349817288279;2;3;2;3;0,000130951994133748;0,000196036265056651;"cytosol, extracellular space, extracellular vesicular exosome, nucleus";0,000237045465320248;FALSE
"675";675;"P60604";"P60604";"UB2G2_HUMAN";"Ubiquitin-conjugating enzyme E2 G2";"UBE2G2";5;9;0,00102022859878861;5;4;5;4;0,00113491728249248;0,000906123180706298;"endoplasmic reticulum, cytosol";0,000426681837576447;FALSE
"688";688;"P61163";"P61163";"ACTZ_HUMAN";"Alpha-centractin";"ACTR1A";3;3;0,000149235566312164;NA;3;NA;3;NA;0,000298225381947884;"extracellular vesicular exosome, centrosome, dynactin complex, microtubule associated complex, cytosol, cytoplasm";0,000142227279192149;FALSE
"693";693;"P61247";"P61247";"RS3A_HUMAN";"40S ribosomal protein S3a";"RPS3A";13;23;0,00162953178973181;12;11;12;11;0,00170237592373872;0,00155739921683895;"nucleolus, cytosolic small ribosomal subunit, ribonucleoprotein complex, extracellular vesicular exosome, cytoplasm, nucleus, cytosol";0,00109040914047314;FALSE
"696";696;"P61313";"P61313";"RL15_HUMAN";"60S ribosomal protein L15";"RPL15";6;11;0,00100855931742992;6;4;6;5;0,00110153736241917;0,000916117186375853;"ribosome, cytosolic large ribosomal subunit, nucleus, extracellular vesicular exosome, cytosol";0,000521500023704547;FALSE
"699";699;"P61513";"P61513";"RL37A_HUMAN";"60S ribosomal protein L37a";"RPL37A";3;6;0,00121983854202986;3;2;4;2;0,00162835957922834;0,000812556113133365;"nucleus, extracellular vesicular exosome, cytosol, cytosolic large ribosomal subunit";0,000284454558384298;FALSE
"708";708;"P62136";"P62136-1,P62136-2";"PP1A_HUMAN";"Serine/threonine-protein phosphatase PP1-alpha catalytic subunit";"PPP1CA";5;12;0,000340076199596203;5;5;5;7;0,000283729320623121;0,000396428891559005;"extracellular vesicular exosome, dendritic spine, cytoplasm, perikaryon, cytosol, protein phosphatase type 1 complex, nucleus, nucleolus, glycogen granule, MLL5-L complex, PTW/PP1 phosphatase complex";0,000568909116768596;FALSE
"716";716;"P62273";"P62273-1,P62273-2";"RS29_HUMAN";"40S ribosomal protein S29";"RPS29";2;5;0,000835008525794248;1;2;2;3;0,000668790541468784;0,00100118521082504;"small ribosomal subunit, cytoplasm, cytosol, extracellular vesicular exosome, cytosolic small ribosomal subunit";0,000237045465320248;FALSE
"719";719;"P62304";"P62304";"RUXE_HUMAN";"Small nuclear ribonucleoprotein E";"SNRPE";1;1;0,000203306423671643;1;NA;1;NA;0,000407089894807086;NA;"U7 snRNP, U12-type spliceosomal complex, U4 snRNP, small nuclear ribonucleoprotein complex, U1 snRNP, pICln-Sm protein complex, extracellular vesicular exosome, spliceosomal complex, nucleus, SMN-Sm protein complex, nucleoplasm, methylosome, cytosol, catalytic step 2 spliceosome";4,74090930640497e-05;FALSE
"720";720;"P62306";"P62306";"RUXF_HUMAN";"Small nuclear ribonucleoprotein F";"SNRPF";1;1;0,000217490592765014;NA;1;NA;1;NA;0,000434623037257381;"cytosol, nucleoplasm, U1 snRNP, methylosome, small nuclear ribonucleoprotein complex, U12-type spliceosomal complex, U7 snRNP, spliceosomal complex, SMN-Sm protein complex, U4 snRNP, pICln-Sm protein complex, catalytic step 2 spliceosome";4,74090930640497e-05;FALSE
"725";725;"P62714";"P62714,P67775-1";"PP2AA_HUMAN, PP2AB_HUMAN";"Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform, Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform";"PPP2CA, PPP2CB";3;6;0,000181594087163021;3;3;3;3;0,00018180713748666;0,000181444568952111;"cytosol, chromosome, centromeric region, extracellular vesicular exosome, spindle pole, protein phosphatase type 2A complex, nucleus";0,000284454558384298;FALSE
"727";727;"P62750";"P62750";"RL23A_HUMAN";"60S ribosomal protein L23a";"RPL23A";5;11;0,00131888526125451;5;5;5;6;0,00120039327955936;0,00143759927708211;"extracellular vesicular exosome, cytosol, cytosolic large ribosomal subunit, nucleus";0,000521500023704547;FALSE
"736";736;"P62851";"P62851";"RS25_HUMAN";"40S ribosomal protein S25";"RPS25";4;7;0,00104743469475631;4;3;4;3;0,00119847265031206;0,000897061948899235;"small ribosomal subunit, nucleus, nucleolus, extracellular vesicular exosome, cytosol, cytoplasm, cytosolic small ribosomal subunit, ribosome";0,000331863651448348;FALSE
"738";738;"P62857";"P62857";"RS28_HUMAN";"40S ribosomal protein S28";"RPS28";2;4;0,00108430092624876;2;2;2;2;0,0010855730528189;0,00108340815084449;"cytoplasm, small ribosomal subunit, cytosol, extracellular vesicular exosome, cytosolic small ribosomal subunit";0,000189636372256199;FALSE
"754";754;"P63173";"P63173";"RL38_HUMAN";"60S ribosomal protein L38";"RPL38";3;8;0,00252628033985751;3;3;4;4;0,00249681802148346;0,0025630341397121;"cytosol, cytosolic large ribosomal subunit, eukaryotic 80S initiation complex";0,000379272744512397;FALSE
"756";756;"P63220";"P63220";"RS21_HUMAN";"40S ribosomal protein S21";"RPS21";1;1;0,000225351698527604;NA;1;NA;1;NA;0,000450332303664275;"small ribosomal subunit, cytosol, cytosolic small ribosomal subunit, cytoplasm";4,74090930640497e-05;FALSE
"758";758;"P63244";"P63244";"GBLP_HUMAN";"Guanine nucleotide-binding protein subunit beta-2-like 1";"GNB2L1";10;19;0,00112107138352692;10;7;11;8;0,00129960559477846;0,000943282806413496;"small ribosomal subunit, extracellular vesicular exosome, midbody, cytoskeleton, neuronal cell body, dendrite, perikaryon, cytosol, nucleus, phagocytic cup, mitochondrion, cytoplasm, perinuclear region of cytoplasm";0,000900772768216944;FALSE
"763";763;"P68363";"P68363";"TBA1B_HUMAN";"Tubulin alpha-1B chain";"TUBA1B";0;0;NA;0;0;0;0;NA;NA;"microtubule, extracellular vesicular exosome, cytoplasmic microtubule, cytoplasm";0;FALSE
"764";764;"P68366";"P68366";"TBA4A_HUMAN";"Tubulin alpha-4A chain";"TUBA4A";3;5;0,0037888511857914;3;2;3;2;0,00366162821454159;0,00397693014299946;"cytosol, extracellular region, extracellular vesicular exosome, microtubule";0,000237045465320248;FALSE
"765";765;"P68371";"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";1;2;0,000523065145231541;1;1;1;1;0,00059762871320014;0,000458470331249219;"extracellular vesicular exosome, nucleus, cytosol, microtubule, cytoskeleton";9,48181861280994e-05;FALSE
"772";772;"P78371";"P78371-1,P78371-2";"TCPB_HUMAN";"T-complex protein 1 subunit beta";"CCT2";7;13;0,000227247180104005;5;7;6;7;0,000210012730778983;0,000244526232176583;"cell body, cytosol, zona pellucida receptor complex, extracellular vesicular exosome, chaperonin-containing T-complex, microtubule";0,000616318209832646;FALSE
"776";776;"P82921";"P82921";"RT21_HUMAN";"28S ribosomal protein S21, mitochondrial";"MRPS21";1;1;0,000214990700894151;1;NA;1;NA;0,000430485865773011;NA;"mitochondrial small ribosomal subunit";4,74090930640497e-05;FALSE
"777";777;"P82932";"P82932";"RT06_HUMAN";"28S ribosomal protein S6, mitochondrial";"MRPS6";1;2;0,000299267055644659;1;1;1;1;0,000299618162578015;0,000299020649633078;"small ribosomal subunit, mitochondrion";9,48181861280994e-05;FALSE
"779";779;"P83881";"P83881";"RL36A_HUMAN";"60S ribosomal protein L36a";"RPL36A";2;5;0,000882273159329772;2;2;2;3;0,00070664660985381;0,00105785607181514;"cytosol, ribosome, cytosolic large ribosomal subunit";0,000237045465320248;FALSE
"784";784;"P84243";"P84243";"H33_HUMAN";"Histone H3.3";"H3F3B,H3F3A";1;1;0,000343827040032926;0;1;0;1;0;0,00068708788978189;"nuclear chromosome, nucleus, nucleoplasm, extracellular region, extracellular vesicular exosome, nuclear nucleosome, protein complex";4,74090930640497e-05;FALSE
"790";790;"Q01130";"Q01130";"SRSF2_HUMAN";"Serine/arginine-rich splicing factor 2";"SRSF2";1;1;8,46343483157971e-05;NA;1;NA;1;NA;0,000169129326715542;"nucleus, nucleoplasm, extracellular vesicular exosome, nuclear speck";4,74090930640497e-05;FALSE
"791";791;"Q01469";"Q01469";"FABP5_HUMAN";"Fatty acid-binding protein, epidermal";"FABP5";1;2;0,000277099125596906;1;1;1;1;0,000277424224609273;0,00027687097188248;"extracellular vesicular exosome, cytoplasm";9,48181861280994e-05;FALSE
"795";795;"Q02083";"Q02083-1,Q02083-2";"NAAA_HUMAN";"N-acylethanolamine-hydrolyzing acid amidase";"NAAA";6;13;0,000338655268400119;5;6;6;7;0,000312971618291799;0,000364405387784044;"extracellular vesicular exosome, lysosome, cytoplasm";0,000616318209832646;FALSE
"807";807;"Q04837";"Q04837";"SSBP_HUMAN";"Single-stranded DNA-binding protein, mitochondrial";"SSBP1";2;4;0,000505518675075437;2;2;2;2;0,000506111761111512;0,000505102448704524;"mitochondrial nucleoid, extracellular vesicular exosome, mitochondrion, nucleus";0,000189636372256199;FALSE
"813";813;"Q06547";"Q06547-1,Q06547-2,Q06547-3,Q06547-4";"GABP1_HUMAN";"GA-binding protein subunit beta-1";"GABPB1";1;1;1,1838095555564e-05;1;NA;1;NA;2,37039685583873e-05;NA;"nucleus";4,74090930640497e-05;FALSE
"814";814;"Q06830";"Q06830";"PRDX1_HUMAN";"Peroxiredoxin-1";"PRDX1";7;19;0,00178582727928659;7;6;11;8;0,00207022599771242;0,00150261632981446;"extracellular vesicular exosome, nuclear euchromatin, cytoplasm, peroxisomal matrix, melanosome, extracellular space, nucleus, cytosol, mitochondrial matrix, nucleolus";0,000900772768216944;FALSE
"821";821;"Q07955";"Q07955-1";"SRSF1_HUMAN";"Serine/arginine-rich splicing factor 1";"SRSF1";4;6;0,000452520749462689;4;2;4;2;0,000604068876165353;0,000301432106484958;"nuclear speck, cytoplasm, nucleoplasm, extracellular vesicular exosome, catalytic step 2 spliceosome, nucleus";0,000284454558384298;FALSE
"831";831;"Q12769";"Q12769-1";"NU160_HUMAN";"Nuclear pore complex protein Nup160";"NUP160";4;7;9,11764184154165e-05;4;3;4;3;0,000104323872763933;7,80868688108666e-05;"cytosol, nuclear envelope, nuclear pore outer ring, nuclear pore";0,000331863651448348;FALSE
"842";842;"Q13144";"Q13144";"EI2BE_HUMAN";"Translation initiation factor eIF-2B subunit epsilon";"EIF2B5";7;12;0,000311304149422322;5;7;5;7;0,0002597244821238;0,000362889137904221;"nucleus, eukaryotic translation initiation factor 2B complex, cytosol, cytoplasm";0,000568909116768596;FALSE
"843";843;"Q13148";"Q13148-1,Q13148-2";"TADBP_HUMAN";"TAR DNA-binding protein 43";"TARDBP";7;18;0,000425975363883443;7;7;9;9;0,000447798884287795;0,000406278056566682;"nucleus";0,000853363675152894;FALSE
"844";844;"Q13151";"Q13151";"ROA0_HUMAN";"Heterogeneous nuclear ribonucleoprotein A0";"HNRNPA0";2;4;0,000245300865282507;2;1;2;2;0,000245588657850832;0,000245098893141867;"nucleoplasm, ribonucleoprotein complex, nucleus";0,000189636372256199;FALSE
"848";848;"Q13257";"Q13257";"MD2L1_HUMAN";"Mitotic spindle assembly checkpoint protein MAD2A";"MAD2L1";5;9;0,000821159603903027;5;4;5;4;0,000913470007859803;0,000729318657641654;"nucleus, cytosol, condensed chromosome kinetochore, kinetochore, perinuclear region of cytoplasm, spindle pole, mitotic spindle";0,000426681837576447;FALSE
"849";849;"Q13263";"Q13263-1,Q13263-2";"TIF1B_HUMAN";"Transcription intermediary factor 1-beta";"TRIM28";4;5;5,60005717897939e-05;3;2;3;2;6,72795275250034e-05;4,4763570304353e-05;"nuclear euchromatin, nucleoplasm, nucleus, nuclear heterochromatin";0,000237045465320248;FALSE
"852";852;"Q13347";"Q13347";"EIF3I_HUMAN";"Eukaryotic translation initiation factor 3 subunit I";"EIF3I";3;5;0,00028775678427371;2;3;2;3;0,000230475509675396;0,000345023826499706;"eukaryotic 48S preinitiation complex, extracellular vesicular exosome, cytosol, eukaryotic translation initiation factor 3 complex, eukaryotic 43S preinitiation complex";0,000237045465320248;FALSE
"853";853;"Q13362";"Q13362-1";"2A5G_HUMAN";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform";"PPP2R5C";3;4;0,00022436870311418;3;1;3;1;0,00025730567396967;0,00017832815459988;"chromosome, centromeric region, protein phosphatase type 2A complex, nucleus";0,000189636372256199;FALSE
"863";863;"Q13509";"Q13509";"TBB3_HUMAN";"Tubulin beta-3 chain";"TUBB3";0;0;0;0;0;0;0;0;NA;"microtubule, nucleus, cytoplasm";0;FALSE
"864";864;"Q13510";"Q13510-1,Q13510-2";"ASAH1_HUMAN";"Acid ceramidase";"ASAH1";9;16;0,000378819057778049;9;7;9;7;0,000426671434050971;0,000331193757504992;"lysosomal lumen, extracellular vesicular exosome";0,000758545489024795;FALSE
"866";866;"Q13576";"Q13576-1";"IQGA2_HUMAN";"Ras GTPase-activating-like protein IQGAP2";"IQGAP2";37;79;0,000956395525725244;34;33;41;38;0,000993696989136183;0,000919490824268538;"extracellular vesicular exosome, microtubule, actin cytoskeleton, microvillus";0,00374531835205993;FALSE
"870";870;"Q13765";"Q13765";"NACA_HUMAN";"Nascent polypeptide-associated complex subunit alpha";"NACA";2;4;0,000347984948424022;2;2;2;2;0,000348393212300018;0,000347698429805905;"nascent polypeptide-associated complex, nucleus, cytoplasm, extracellular vesicular exosome";0,000189636372256199;FALSE
"871";871;"Q13885";"Q13885,Q9BVA1";"TBB2A_HUMAN, TBB2B_HUMAN";"Tubulin beta-2A chain, Tubulin beta-2B chain";"TUBB2A, TUBB2B";1;1;7,51818063493962e-05;1;0;1;0;0,000167310598446096;0;"cytoplasm, extracellular vesicular exosome, microtubule, nucleus";4,74090930640497e-05;FALSE
"874";874;"Q14103";"Q14103-1,Q14103-3";"HNRPD_HUMAN";"Heterogeneous nuclear ribonucleoprotein D0";"HNRNPD";3;5;0,000175626206364236;2;3;2;3;0,000140665804027237;0,000210577922276816;"nucleus, ribonucleoprotein complex, nucleoplasm, extracellular vesicular exosome, cytosol";0,000237045465320248;FALSE
"876";876;"Q14139";"Q14139-1,Q14139-2";"UBE4A_HUMAN";"Ubiquitin conjugation factor E4 A";"UBE4A";21;38;0,000333376762268323;20;16;21;17;0,000368901349327997;0,000298038874517022;"cytoplasm, ubiquitin ligase complex";0,00180154553643389;FALSE
"877";877;"Q14145";"Q14145";"KEAP1_HUMAN";"Kelch-like ECH-associated protein 1";"KEAP1";3;4;0,000119898660114046;2;2;2;2;0,000120039327955936;0,000119799939756842;"midbody, endoplasmic reticulum, cytoplasm, nucleus, microtubule organizing center, Cul3-RING ubiquitin ligase complex";0,000189636372256199;FALSE
