"";"X";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5826.1.id.csv";"peptide.count.P5826.2.id.csv";"spectra.count.P5826.1.id.csv";"spectra.count.P5826.2.id.csv";"dNSAF.P5826.1.id.csv";"dNSAF.P5826.2.id.csv"
"181";"P52292";"P52292";"P52292";"IMA2_HUMAN";"Importin subunit alpha-2";"KPNA2";6;10;0,000713485070966542;6;3;7;3;0,00124128374033172;0,000542423400847094
"182";"P54577";"P54577";"P54577";"SYYC_HUMAN";"Tyrosine--tRNA ligase, cytoplasmic";"YARS";6;12;0,00085780364213932;4;6;5;7;0,000888310468933277;0,00126805167508636
"184";"P55209";"P55209";"P55209";"NP1L1_HUMAN";"Nucleosome assembly protein 1-like 1";"NAP1L1";6;11;0,00119456287249325;6;4;7;4;0,00186598209330912;0,00111827345384723
"186";"P55809";"P55809";"P55809";"SCOT1_HUMAN";"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial";"OXCT1";6;14;0,00101616739145735;6;6;6;8;0,00108237214060793;0,00147149732845186
"188";"P56192";"P56192";"P56192";"SYMC_HUMAN";"Methionine--tRNA ligase, cytoplasmic";"MARS";6;7;0,000293559468643234;5;2;5;2;0,000521142141774189;0,000212549614109713
"190";"P62277";"P62277";"P62277";"RS13_HUMAN";"40S ribosomal protein S13";"RPS13";6;10;0,00249956028173047;6;4;6;4;0,00372737425904718;0,00253370400925486
"193";"P62701";"P62701";"P62701";"RS4X_HUMAN";"40S ribosomal protein S4, X isoform";"RPS4X";13;27;0,0038747936382567;9;10;13;14;0,00463677799145096;0,00509149265738096
"194";"P62888";"P62888";"P62888";"RL30_HUMAN";"60S ribosomal protein L30";"RPL30";6;11;0,0036102344590907;5;5;5;6;0,00407850371823279;0,00499029528779327
"195";"P84098";"P84098";"P84098";"RL19_HUMAN";"60S ribosomal protein L19";"RPL19";6;10;0,00224662858655536;4;6;4;6;0,00229727964537194;0,00334626214633368
"196";"Q01518-1,Q01518-2";"Q01518-1,Q01518-2";"Q01518";"CAP1_HUMAN";"Adenylyl cyclase-associated protein 1";"CAP1";6;11;0,000437028381889927;4;6;5;6;NA;NA
"197";"Q04837";"Q04837";"Q04837";"SSBP_HUMAN";"Single-stranded DNA-binding protein, mitochondrial";"SSBP1";6;12;0,00306027245303758;5;6;6;6;0,00380292914267652;0,00387759431146098
"198";"Q12905";"Q12905";"Q12905";"ILF2_HUMAN";"Interleukin enhancer-binding factor 2";"ILF2";6;18;0,00174200124249831;6;6;9;9;0,00216474428121586;0,00220724599267779
"199";"Q13162";"Q13162";"Q13162";"PRDX4_HUMAN";"Peroxiredoxin-4";"PRDX4";6;13;0,00185950134292812;6;5;7;6;0,002538404528199;0,00211765298190489
"200";"Q13449";"Q13449";"Q13449";"LSAMP_HUMAN";"Limbic system-associated membrane protein";"LSAMP";6;13;0,00145166770208193;6;6;6;7;0,00166518790862759;0,00198086178830058
"201";"Q13573";"Q13573";"Q13573";"SNW1_HUMAN";"SNW domain-containing protein 1";"SNW1";6;10;0,000704167168920337;5;5;5;5;0,000875052103725318;0,000892232521915774
"202";"Q15459";"Q15459";"Q15459";"SF3A1_HUMAN";"Splicing factor 3A subunit 1";"SF3A1";6;15;0,000713934935450128;6;6;8;7;0,000946336297799284;0,000844301745833035
"203";"Q16836-1,Q16836-2";"Q16836-1,Q16836-2";"Q16836";"HCDH_HUMAN";"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial";"HADH";6;9;0,000540908029119699;4;4;5;4;NA;NA
"204";"Q96A26";"Q96A26";"Q96A26";"F162A_HUMAN";"Protein FAM162A";"FAM162A";6;12;0,00294104105876338;6;6;6;6;0,00365476307218263;0,00372651920841705
"205";"Q9H9B4";"Q9H9B4";"Q9H9B4";"SFXN1_HUMAN";"Sideroflexin-1";"SFXN1";6;10;0,00117215404515932;4;6;4;6;0,00116528677663794;0,00178224831706902
"206";"Q9NSD9";"Q9NSD9";"Q9NSD9";"SYFB_HUMAN";"Phenylalanine--tRNA ligase beta subunit";"FARSB";6;10;0,000640804079017489;4;6;4;6;0,000637049816769807;0,000974336091844186
"208";"Q9Y265-1,Q9Y265-2";"Q9Y265-1,Q9Y265-2";"Q9Y265";"RUVB1_HUMAN";"RuvB-like 1";"RUVBL1";6;12;0,000496623161238554;6;6;6;6;NA;NA
"209";"O15270";"O15270";"O15270";"SPTC2_HUMAN";"Serine palmitoyltransferase 2";"SPTLC2";5;8;0,000537272032087261;4;4;4;4;0,000667655412949139;0,000680763888607622
"210";"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";5;12;0,000974022200106583;4;4;6;6;0,00121039465186263;0,0012341590496693
"211";"O43684-1,O43684-2";"O43684-1,O43684-2";"O43684";"BUB3_HUMAN";"Mitotic checkpoint protein BUB3";"BUB3";5;8;0,000460284881147928;4;4;4;4;NA;NA
"212";"O43736-1,O43736-2";"O43736-1,O43736-2";"O43736";"ITM2A_HUMAN";"Integral membrane protein 2A";"ITM2A";5;8;0,000574043501963956;5;3;5;3;NA;NA
"214";"P00367";"P00367";"P00367";"DHE3_HUMAN";"Glutamate dehydrogenase 1, mitochondrial";"GLUD1";17;39;0,00263797679195533;16;16;20;19;0,00336220736628509;0,00325680860329399
"215";"P01903";"P01903";"P01903";"DRA_HUMAN";"HLA class II histocompatibility antigen, DR alpha chain";"HLA-DRA";6;19;0,00282332222373414;6;6;9;10;0,00332381995934719;0,00376564276966027
"216";"P04792";"P04792";"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";5;10;0,00184113952459171;3;5;4;6;0,00183035288818252;0,00279943394193281
"217";"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";5;13;0,00296374036894847;4;5;7;6;0,00367247818028791;0,00385157018856527
"218";"P09651-1,P09651-2,P09651-3";"P09651-1,P09651-2,P09651-3";"P09651";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";10;36;0,00137656802300311;10;10;18;18;NA;NA
"219";"P11142-1";"P11142-1";"P11142";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";24;65;0,00455985577034011;22;22;31;34;NA;NA
"220";"P15311";"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";5;8;0,000669078975520211;4;4;4;4;0,000834344850001495;0,000844907118926385
"221";"P16150";"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";5;11;0,00103794240698858;5;4;6;5;0,00140708378279031;0,00119559157936714
"223";"P18859";"P18859";"P18859";"ATP5J_HUMAN";"ATP synthase-coupling factor 6, mitochondrial";"ATP5J";5;11;0,00384423113699473;3;5;5;6;0,00434285118145158;0,00531374035274283
"224";"P21333-1,P21333-2";"P21333-1,P21333-2";"P21333";"FLNA_HUMAN";"Filamin-A";"FLNA";5;10;7,12945981377599e-05;4;5;5;5;NA;NA
"225";"P22695";"P22695";"P22695";"QCR2_HUMAN";"Cytochrome b-c1 complex subunit 2, mitochondrial";"UQCRC2";5;10;0,000833186760576823;5;4;5;5;0,00103538173862422;0,00105571000385619
"226";"P26196";"P26196";"P26196";"DDX6_HUMAN";"Probable ATP-dependent RNA helicase DDX6";"DDX6";5;11;0,000859579633116834;5;4;6;5;0,00116528677663794;0,000990137953927235
"228";"P26639";"P26639";"P26639";"SYTC_HUMAN";"Threonine--tRNA ligase, cytoplasmic";"TARS";5;8;0,000417630542231038;4;4;4;4;0,000518979726248155;0,000529169163758622
"229";"P27105-1";"P27105-1";"P27105";"STOM_HUMAN";"Erythrocyte band 7 integral membrane protein";"STOM";7;14;0,00183474667902021;7;5;9;5;NA;NA
"230";"P31930";"P31930";"P31930";"QCR1_HUMAN";"Cytochrome b-c1 complex subunit 1, mitochondrial";"UQCRC1";5;11;0,000864952005823815;4;5;5;6;0,000977141515826605;0,00119559157936714
"231";"P32119-1";"P32119-1";"P32119";"PRDX2_HUMAN";"Peroxiredoxin-2";"PRDX2";5;9;0,00187157158284943;4;4;5;4;NA;NA
"232";"P35232";"P35232";"P35232";"PHB_HUMAN";"Prohibitin";"PHB";5;8;0,00111009883100383;2;5;3;5;0,00103462042852229;0,00175822291083402
"233";"P35637-1,P35637-2";"P35637-1,P35637-2";"P35637";"FUS_HUMAN";"RNA-binding protein FUS";"FUS";5;16;0,000669717418957948;5;4;8;8;NA;NA
"234";"P35659-1,P35659-2";"P35659-1,P35659-2";"P35659";"DEK_HUMAN";"Protein DEK";"DEK";5;7;0,000352271362371881;3;4;3;4;NA;NA
"235";"P38606";"P38606";"P38606";"VATA_HUMAN";"V-type proton ATPase catalytic subunit A";"ATP6V1A";5;7;0,000428206680354798;5;2;5;2;0,000760174923171427;0,000310039955751608
"236";"P42126-1,P42126-2";"P42126-1,P42126-2";"P42126";"ECI1_HUMAN";"Enoyl-CoA delta isomerase 1, mitochondrial";"ECI1";5;9;0,000562401063389356;5;4;5;4;NA;NA
"237";"P46776";"P46776";"P46776";"RL27A_HUMAN";"60S ribosomal protein L27a";"RPL27A";5;9;0,00229520433977818;5;4;5;4;0,0031691076188971;0,00258506287430732
"238";"P46783";"P46783";"P46783";"RS10_HUMAN";"40S ribosomal protein S10";"RPS10";9;19;0,00434620512017256;9;7;11;8;0,00625370570129027;0,00463744612603011
"239";"P52566";"P52566";"P52566";"GDIR2_HUMAN";"Rho GDP-dissociation inhibitor 2";"ARHGDIB";5;11;0,00206555702883299;5;3;6;5;0,00280016673192102;0,00237928672510873
"240";"P55084";"P55084";"P55084";"ECHB_HUMAN";"Trifunctional enzyme subunit beta, mitochondrial";"HADHB";5;12;0,000955528107699496;5;3;7;5;0,00138531455408329;0,00100893804166003
"242";"P61604";"P61604";"P61604";"CH10_HUMAN";"10 kDa heat shock protein, mitochondrial";"HSPE1";5;11;0,00407036238034736;5;3;7;4;0,00643763822191646;0,00375087554311259
"243";"P61981";"P61981";"P61981";"1433G_HUMAN";"14-3-3 protein gamma";"YWHAG";5;13;0,00223480422557349;5;5;7;6;0,00297747283591796;0,00262647120410172
"244";"P62244";"P62244";"P62244";"RS15A_HUMAN";"40S ribosomal protein S15a";"RPS15A";5;10;0,00290333540416385;5;4;5;5;0,00360790713535977;0,00367874332112965
"246";"P62280";"P62280";"P62280";"RS11_HUMAN";"40S ribosomal protein S11";"RPS11";5;13;0,00310546635002336;5;5;7;6;0,00415594366224986;0,00363217694997611
"249";"P62851";"P62851";"P62851";"RS25_HUMAN";"40S ribosomal protein S25";"RPS25";5;10;0,00301946882033041;5;5;5;5;0,00375222342077416;0,00382589305397484
"250";"P63104";"P63104";"P63104";"1433Z_HUMAN";"14-3-3 protein zeta/delta";"YWHAZ";5;9;0,00168036654902482;4;5;4;5;0,00184292878217615;0,00238404645010532
"251";"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";5;10;0,000744444975426629;5;5;5;5;0,000925104393681993;0,000943267518238372
"253";"Q07021";"Q07021";"Q07021";"C1QBP_HUMAN";"Complement component 1 Q subcomponent-binding protein, mitochondrial";"C1QBP";5;17;0,00227530895149011;4;4;8;9;0,00266115136225118;0,00305257424519269
"254";"Q13242";"Q13242";"Q13242";"SRSF9_HUMAN";"Serine/arginine-rich splicing factor 9";"SRSF9";5;10;0,0017078443553905;3;5;3;7;0,00127337898895051;0,00302955332328324
"259";"Q16698";"Q16698";"Q16698";"DECR_HUMAN";"2,4-dienoyl-CoA reductase, mitochondrial";"DECR1";5;10;0,00112666747027254;5;5;5;5;0,00140008336596051;0,00142757203506524
"260";"Q6PKG0-1,Q6PKG0-3";"Q6PKG0-1,Q6PKG0-3";"Q6PKG0";"LARP1_HUMAN";"La-related protein 1";"LARP1";6;10;0,000172186862473221;5;5;5;5;NA;NA
"261";"Q92499";"Q92499";"Q92499";"DDX1_HUMAN";"ATP-dependent RNA helicase DDX1";"DDX1";5;8;0,000408036327071677;4;4;4;4;0,000507057219023536;0,000517012574861465
"262";"Q99623";"Q99623";"Q99623";"PHB2_HUMAN";"Prohibitin-2";"PHB2";5;8;0,00100985579275264;4;4;4;4;0,0012549242209947;0,00127956289430597
"263";"Q99873-1,Q99873-2,Q99873-3";"Q99873-1,Q99873-2,Q99873-3";"Q99873";"ANM1_HUMAN";"Protein arginine N-methyltransferase 1";"PRMT1";5;12;0,000418208977885098;5;5;6;6;NA;NA
"264";"Q9BTT0";"Q9BTT0";"Q9BTT0";"AN32E_HUMAN";"Acidic leucine-rich nuclear phosphoprotein 32 family member E";"ANP32E";5;9;0,00126750090405661;5;4;5;4;0,00175010420745064;0,00142757203506524
"265";"Q9BUJ2-1,Q9BUJ2-2,Q9BUJ2-3,Q9BUJ2-4";"Q9BUJ2-1,Q9BUJ2-2,Q9BUJ2-3,Q9BUJ2-4";"Q9BUJ2";"HNRL1_HUMAN";"Heterogeneous nuclear ribonucleoprotein U-like protein 1";"HNRNPUL1";5;6;6,61390658658822e-05;1;5;1;5;NA;NA
"266";"Q9BX67-1,Q9BX67-2";"Q9BX67-1,Q9BX67-2";"Q9BX67";"JAM3_HUMAN";"Junctional adhesion molecule C";"JAM3";5;10;0,000608763875066614;3;5;4;6;NA;NA
"267";"Q9UL46";"Q9UL46";"Q9UL46";"PSME2_HUMAN";"Proteasome activator complex subunit 2";"PSME2";5;9;0,00142129808488356;5;3;5;4;0,00196245994810364;0,00160079207279282
"268";"Q9ULV4";"Q9ULV4";"Q9ULV4";"COR1C_HUMAN";"Coronin-1C";"CORO1C";5;8;0,000637018738466331;3;5;3;5;0,000593706237464266;0,00100893804166003
"270";"Q9Y2W1";"Q9Y2W1";"Q9Y2W1";"TR150_HUMAN";"Thyroid hormone receptor-associated protein 3";"THRAP3";5;6;0,000237131059188252;2;4;2;4;0,000196451487998647;0,000400617073714643
"272";"136429";"136429";"136429";"136429";"trypsin [Sus scrofa]";"";4;16;0,00261425871890079;4;4;8;8;0,00324867828638456;0,00331246151859293
"273";"O00148";"O00148";"O00148";"DX39A_HUMAN";"ATP-dependent RNA helicase DDX39A";"DDX39A";9;19;0,00167944694339221;8;9;9;10;0,00197716690790208;0,00223998422363866
"274";"O00483";"O00483";"O00483";"NDUA4_HUMAN";"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4";"NDUFA4";4;7;0,00326177187381371;3;4;3;4;0,00347428094516126;0,00472332475799363
"276";"O43143";"O43143";"O43143";"DHX15_HUMAN";"Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15";"DHX15";4;9;0,000427283323631661;3;4;4;5;0,000471977788776624;0,000601555511631264
"277";"O43399-1,O43399-2,O43399-3,O43399-4,O43399-5";"O43399-1,O43399-2,O43399-3,O43399-4,O43399-5";"O43399";"TPD54_HUMAN";"Tumor protein D54";"TPD52L2";4;5;0,000183220195408398;3;2;3;2;NA;NA
"278";"O60832-1";"O60832-1";"O60832";"DKC1_HUMAN";"H/ACA ribonucleoprotein complex subunit 4";"DKC1";4;7;0,00051401463381111;3;4;3;4;NA;NA
"279";"O75367-1,O75367-2,O75367-3";"O75367-1,O75367-2,O75367-3";"O75367";"H2AY_HUMAN";"Core histone macro-H2A.1";"H2AFY";4;7;0,00023674150697035;4;3;4;3;NA;NA
"280";"P02765";"P02765";"P02765";"FETUA_HUMAN";"Alpha-2-HS-glycoprotein";"AHSG";4;11;0,00113127237818919;4;4;6;5;0,00153360630276873;0,00130309708922849
"281";"P04844-1,P04844-2";"P04844-1,P04844-2";"P04844";"RPN2_HUMAN";"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2";"RPN2";4;9;0,000269168179308376;4;4;5;4;NA;NA
"282";"P05114";"P05114";"P05114";"HMGN1_HUMAN";"Non-histone chromosomal protein HMG-14";"HMGN1";4;9;0,00339690242287171;4;3;5;4;0,0046902792759677;0,00382589305397484
"283";"P05198";"P05198";"P05198";"IF2A_HUMAN";"Eukaryotic translation initiation factor 2 subunit 1";"EIF2S1";4;7;0,000838741338980669;4;3;4;3;0,001191182038341;0,000910926917613057
"286";"P10586-1,P10586-2";"P10586-1,P10586-2";"P10586";"PTPRF_HUMAN";"Receptor-type tyrosine-protein phosphatase F";"PTPRF";4;6;5,93760255702099e-05;3;3;3;3;NA;NA
"287";"P11388-1,P11388-2,P11388-3,P11388-4";"P11388-1,P11388-2,P11388-3,P11388-4";"P11388";"TOP2A_HUMAN";"DNA topoisomerase 2-alpha";"TOP2A";7;8;4,93055000053953e-05;3;5;3;5;NA;NA
"288";"P12004";"P12004";"P12004";"PCNA_HUMAN";"Proliferating cell nuclear antigen";"PCNA";4;8;0,00115688460549058;4;4;4;4;0,00143763349454949;0,00146585940765319
"290";"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";4;6;0,000361180480900766;3;3;3;3;0,000448830552724182;0,000457642709805603
"292";"P14866-1";"P14866-1";"P14866";"HNRPL_HUMAN";"Heterogeneous nuclear ribonucleoprotein L";"HNRNPL";14;30;0,00192241223705247;12;12;15;15;NA;NA
"293";"P15151-1,P15151-2,P15151-3,P15151-4";"P15151-1,P15151-2,P15151-3,P15151-4";"P15151";"PVR_HUMAN";"Poliovirus receptor";"PVR";4;7;0,000158395396749946;4;3;4;3;NA;NA
"294";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"P16070";"CD44_HUMAN";"CD44 antigen";"CD44";8;22;7,46050247610837e-05;8;8;12;10;NA;NA
"295";"P25205";"P25205";"P25205";"MCM3_HUMAN";"DNA replication licensing factor MCM3";"MCM3";4;7;0,000326984556657068;3;4;3;4;0,000348288065047107;0,000473501615590945
"298";"P25789-1,P25789-2";"P25789-1,P25789-2";"P25789";"PSA4_HUMAN";"Proteasome subunit alpha type-4";"PSMA4";4;10;0,000723052878431611;3;4;4;6;NA;NA
"299";"P27487";"P27487";"P27487";"DPP4_HUMAN";"Dipeptidyl peptidase 4";"DPP4";4;6;0,000295639897551933;3;3;3;3;0,000367384799684154;0,000374597883874821
"300";"P27695";"P27695";"P27695";"APEX1_HUMAN";"DNA-(apurinic or apyrimidinic site) lyase";"APEX1";4;7;0,000830828684839342;4;3;4;3;0,00117994447194156;0,000902333267446896
"301";"P28070";"P28070";"P28070";"PSB4_HUMAN";"Proteasome subunit beta type-4";"PSMB4";4;6;0,00085780364213932;2;4;2;4;0,000710648375146622;0,00144920191438441
"302";"P31040";"P31040";"P31040";"DHSA_HUMAN";"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial";"SDHA";4;8;0,000454739280170242;3;4;3;5;0,000423820416503106;0,000720235891185022
"305";"P38159-1,P38159-2";"P38159-1,P38159-2";"P38159";"RBMX_HUMAN";"RNA-binding motif protein, X chromosome";"RBMX";8;22;0,00106183366443844;7;8;11;11;NA;NA
"307";"P39687";"P39687";"P39687";"AN32A_HUMAN";"Acidic leucine-rich nuclear phosphoprotein 32 family member A";"ANP32A";5;9;0,00224694703142943;4;5;4;5;0,00234409316781965;0,0033611008255301
"308";"P43121-1";"P43121-1";"P43121";"MUC18_HUMAN";"Cell surface glycoprotein MUC18";"MCAM";11;21;0,00122695133953054;10;10;11;10;NA;NA
"309";"P50213-1,P50213-2";"P50213-1,P50213-2";"P50213";"IDH3A_HUMAN";"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial";"IDH3A";4;8;0,000412495740482296;4;3;5;3;NA;NA
"311";"P52597";"P52597";"P52597";"HNRPF_HUMAN";"Heterogeneous nuclear ribonucleoprotein F";"HNRNPF";4;10;0,0012172314065163;4;4;5;5;0,00156399722723032;0,00148994253045144
"312";"P53999";"P53999";"P53999";"TCP4_HUMAN";"Activated RNA polymerase II transcriptional coactivator p15";"SUB1";4;8;0,00237753450419717;3;4;4;4;0,00295450663053084;0,00301251421572822
"315";"P62847-1,P62847-2,P62847-3";"P62847-1,P62847-2,P62847-3";"P62847";"RS24_HUMAN";"40S ribosomal protein S24";"RPS24";4;6;0,000567569327129776;3;3;3;3;NA;NA
"318";"P78347-1,P78347-2,P78347-3,P78347-4";"P78347-1,P78347-2,P78347-3,P78347-4";"P78347";"GTF2I_HUMAN";"General transcription factor II-I";"GTF2I";4;7;6,61832469386049e-05;4;3;4;3;NA;NA
"319";"P84090";"P84090";"P84090";"ERH_HUMAN";"Enhancer of rudimentary homolog";"ERH";4;8;0,00290333540416385;4;4;4;4;0,00360790713535977;0,00367874332112965
"320";"Q02790";"Q02790";"Q02790";"FKBP4_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP4";"FKBP4";4;5;0,000411147715186602;1;4;1;4;0,000204369467362427;0,000833527898469464
"321";"Q03252";"Q03252";"Q03252";"LMNB2_HUMAN";"Lamin-B2";"LMNB2";4;6;0,000393843759173531;3;2;4;2;0,000650385392934188;0,000334006536458121
"322";"Q08945";"Q08945";"Q08945";"SSRP1_HUMAN";"FACT complex subunit SSRP1";"SSRP1";4;6;0,000319407844181637;2;4;2;4;0,000264613781436824;0,000539618202253151
"323";"Q13423";"Q13423";"Q13423";"NNTM_HUMAN";"NAD(P) transhydrogenase, mitochondrial";"NNT";4;4;0,000139017901488509;4;NA;4;NA;0,00034550860228123;NA
"325";"Q3ZCQ8-1,Q3ZCQ8-2";"Q3ZCQ8-1,Q3ZCQ8-2";"Q3ZCQ8";"TIM50_HUMAN";"Mitochondrial import inner membrane translocase subunit TIM50";"TIMM50";4;6;0,000320765101309887;4;2;4;2;NA;NA
"326";"Q86V81";"Q86V81";"Q86V81";"THOC4_HUMAN";"THO complex subunit 4";"ALYREF";4;12;0,00176233588735238;4;4;5;7;0,00182501139142712;0,00260518009511905
"327";"Q8N1G4";"Q8N1G4";"Q8N1G4";"LRC47_HUMAN";"Leucine-rich repeat-containing protein 47";"LRRC47";4;6;0,000388439385119692;3;3;3;3;0,000482704556703366;0,000492181782243761
"328";"Q8NBQ5";"Q8NBQ5";"Q8NBQ5";"DHB11_HUMAN";"Estradiol 17-beta-dehydrogenase 11";"HSD17B11";4;8;0,0010064896067768;4;3;5;3;0,00156342642532257;0,00095647326349371
"330";"Q96AE4-1,Q96AE4-2";"Q96AE4-1,Q96AE4-2";"Q96AE4";"FUBP1_HUMAN";"Far upstream element-binding protein 1";"FUBP1";4;7;0,000205126957902881;3;3;3;4;NA;NA
"331";"Q99653";"Q99653";"Q99653";"CHP1_HUMAN";"Calcineurin B homologous protein 1";"CHP1";4;6;0,00116133416166554;4;2;4;2;0,00192421713885855;0,000980998218967907
"332";"Q99832-1,Q99832-3";"Q99832-1,Q99832-3";"Q99832";"TCPH_HUMAN";"T-complex protein 1 subunit eta";"CCT7";16;29;0,00100787978579169;15;12;16;13;NA;NA
"333";"Q9NX58";"Q9NX58";"Q9NX58";"LYAR_HUMAN";"Cell growth-regulating nucleolar protein";"LYAR";4;8;0,000796693620139949;3;3;4;4;0,000990032564848064;0,00100947046279019
"334";"Q9P0L0-1,Q9P0L0-2";"Q9P0L0-1,Q9P0L0-2";"Q9P0L0";"VAPA_HUMAN";"Vesicle-associated membrane protein-associated protein A";"VAPA";4;8;0,000606319040226989;3;3;3;5;NA;NA
"335";"Q9UIA9";"Q9UIA9";"Q9UIA9";"XPO7_HUMAN";"Exportin-7";"XPO7";4;5;0,000173612512668492;2;3;2;3;0,00017259537354067;0,000263976061681797
"336";"Q9Y624";"Q9Y624";"Q9Y624";"JAM1_HUMAN";"Junctional adhesion molecule A";"F11R";4;6;0,000757391844564484;2;4;2;4;0,000627462110497352;0,00127956289430597
"337";"O00303";"O00303";"O00303";"EIF3F_HUMAN";"Eukaryotic translation initiation factor 3 subunit F";"EIF3F";3;5;0,000528618490954203;3;2;3;2;0,000788282231255076;0,000535839363301798
"338";"O00487";"O00487";"O00487";"PSDE_HUMAN";"26S proteasome non-ATPase regulatory subunit 14";"PSMD14";3;4;0,000487011100053292;3;NA;4;NA;0,00121039465186263;NA
"339";"O14828-1,O14828-2";"O14828-1,O14828-2";"O14828";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";3;6;0,000326311471937724;3;2;4;2;NA;NA
"340";"O15127";"O15127";"O15127";"SCAM2_HUMAN";"Secretory carrier-associated membrane protein 2";"SCAMP2";3;7;0,000803050218172981;3;3;3;4;0,000855370080723593;0,00116288542674007
"343";"O60313-1,O60313-2";"O60313-1,O60313-2";"O60313";"OPA1_HUMAN";"Dynamin-like 120 kDa protein, mitochondrial";"OPA1";3;5;9,82900006617971e-05;3;2;3;2;NA;NA
"344";"O60841";"O60841";"O60841";"IF2P_HUMAN";"Eukaryotic translation initiation factor 5B";"EIF5B";3;4;0,000123748722144689;2;2;2;2;0,000153779648392384;0,000156798895654707
"345";"O75131";"O75131";"O75131";"CPNE3_HUMAN";"Copine-3";"CPNE3";3;4;0,000281142348261677;2;2;2;2;0,000349369033591635;0,000356228403535832
"346";"O75323-1,O75323-2";"O75323-1,O75323-2";"O75323";"NIPS2_HUMAN";"Protein NipSnap homolog 2";"GBAS";3;3;0,000222699022478477;3;NA;3;NA;NA;NA
"347";"O75489";"O75489";"O75489";"NDUS3_HUMAN";"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial";"NDUFS3";3;7;0,00100077091582921;3;2;5;2;0,00177662093786655;0,000724600957192204
"348";"O75964";"O75964";"O75964";"ATP5L_HUMAN";"ATP synthase subunit g, mitochondrial";"ATP5L";3;6;0,00219864234490078;3;3;3;3;0,00273220151998119;0,00278584445677779
"349";"O76021";"O76021";"O76021";"RL1D1_HUMAN";"Ribosomal L1 domain-containing protein 1";"RSL1D1";3;3;0,000231081797474266;3;NA;3;NA;0,000574319911342984;NA
"350";"O76094";"O76094";"O76094";"SRP72_HUMAN";"Signal recognition particle 72 kDa protein";"SRP72";3;5;0,000281247095783384;3;2;3;2;0,000419399041070137;0,000285088901190375
"351";"O95202-1";"O95202-1";"O95202";"LETM1_HUMAN";"LETM1 and EF-hand domain-containing protein 1, mitochondrial";"LETM1";4;7;0,000357514914450488;3;4;3;4;NA;NA
"352";"P00387-1,P00387-2,P00387-3";"P00387-1,P00387-2,P00387-3";"P00387";"NB5R3_HUMAN";"NADH-cytochrome b5 reductase 3";"CYB5R3";3;7;0,000292584188016512;3;3;4;3;NA;NA
"353";"P04179-1,P04179-2";"P04179-1,P04179-2";"P04179";"SODM_HUMAN";"Superoxide dismutase [Mn], mitochondrial";"SOD2";3;5;0,000425037840699663;2;3;2;3;NA;NA
"354";"P04233-1,P04233-2";"P04233-1,P04233-2";"P04233";"HG2A_HUMAN";"HLA class II histocompatibility antigen gamma chain";"CD74";3;5;0,000318778380524747;2;3;2;3;NA;NA
"355";"P05455";"P05455";"P05455";"LA_HUMAN";"Lupus La protein";"SSB";3;6;0,000555049415501913;2;3;3;3;0,000689746952348192;0,00070328916433361
"356";"P06733-1";"P06733-1";"P06733";"ENOA_HUMAN";"Alpha-enolase";"ENO1";11;28;0,00243505550026646;11;10;15;13;NA;NA
"357";"P07099";"P07099";"P07099";"HYEP_HUMAN";"Epoxide hydrolase 1";"EPHX1";3;5;0,000414762200594836;2;3;2;3;0,000412332244041117;0,000630641712193655
"358";"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";3;43;0,00927310054575285;3;3;21;22;0,0116750454631276;0,0115604518205985
