"";"X";"Protein.Acs";"Protein.G";"ID";"Description";"Gene";"Global.Peptide.Count";"Global.Spectra.Count";"Global.DNSAF";"Peptide.Count.P5571";"Spectra.Count.P5571";"DNSAF.P5571";"Unspecific.Spectra.Count";"Go.Cc";"matched_mask";"norm.sc"
"154";154;"P55884";"P55884-1,P55884-2";"EIF3B_HUMAN";"Eukaryotic translation initiation factor 3 subunit B";"EIF3B";6;10;"0.00101412121332129";6;10;"0";0;"eukaryotic translation initiation factor 3 complex, extracellular vesicular exosome, eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, cytosol";FALSE;0,0048780487804878
"157";157;"P60174";"P60174-1,P60174-3";"TPIS_HUMAN";"Triosephosphate isomerase";"TPI1";2;4;"0.00115453799670423";2;4;"0";0;"cytosol, extracellular space, extracellular vesicular exosome";FALSE;0,00195121951219512
"158";158;"P60660";"P60660-1,P60660-2";"MYL6_HUMAN";"Myosin light polypeptide 6";"MYL6";5;9;"0.00492016689323957";5;9;"0";0;"extracellular vesicular exosome, unconventional myosin complex, cytosol";FALSE;0,00439024390243902
"159";159;"P60709";"P60709,P63261";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";3;7;"0.00686995006738891";3;7;"0.00852810077738052";29;"ribonucleoprotein complex, MLL5-L complex, cortical cytoskeleton, cytosol, blood microparticle, NuA4 histone acetyltransferase complex, cytoskeleton, extracellular vesicular exosome, postsynaptic density, axon";FALSE;0,00341463414634146
"160";160;"P60842";"P60842";"IF4A1_HUMAN";"Eukaryotic initiation factor 4A-I";"EIF4A1";3;5;"0.00271098413019221";3;5;"0.00336531497920269";2;"cytosol, eukaryotic translation initiation factor 4F complex, extracellular vesicular exosome";FALSE;0,0024390243902439
"161";161;"P60866";"P60866-1,P60866-2";"RS20_HUMAN";"40S ribosomal protein S20";"RPS20";3;5;"0.00346846499009886";3;5;"0";0;"extracellular vesicular exosome, cytosolic small ribosomal subunit";FALSE;0,0024390243902439
"162";162;"P61604";"P61604";"CH10_HUMAN";"10 kDa heat shock protein, mitochondrial";"HSPE1";6;8;"0.0129489359630357";6;8;"0.0160743280183093";0;"extracellular vesicular exosome, mitochondrion, mitochondrial matrix";FALSE;0,00390243902439024
"163";163;"P61978";"P61978-1,P61978-2,P61978-3";"HNRPK_HUMAN";"Heterogeneous nuclear ribonucleoprotein K";"HNRNPK";6;9;"0.00106975550882531";6;9;"0";0;"extracellular vesicular exosome, podosome, nucleoplasm, nuclear chromatin, cytoplasm, cell projection, cell junction, catalytic step 2 spliceosome";FALSE;0,00439024390243902
"164";164;"P61981";"P61981";"1433G_HUMAN";"14-3-3 protein gamma";"YWHAG";2;3;"0.00359273995027041";2;3;"0.00445989389475611";7;"extracellular vesicular exosome, cytosol, cytoplasmic vesicle membrane";FALSE;0,00146341463414634
"165";165;"P62195";"P62195";"PRS8_HUMAN";"26S protease regulatory subunit 8";"PSMC5";3;3;"0.00121994285858649";3;3;"0.00151439174064121";0;"cytoplasmic vesicle, nucleoplasm, proteasome accessory complex, cytosolic proteasome complex, inclusion body, blood microparticle, extracellular vesicular exosome, nuclear proteasome complex, cytosol";FALSE;0,00146341463414634
"166";166;"P62249";"P62249";"RS16_HUMAN";"40S ribosomal protein S16";"RPS16";2;2;"0.00226162922642062";2;2;"0.00280750249634854";0;"extracellular vesicular exosome, cytosolic small ribosomal subunit";FALSE;0,000975609756097561
"167";167;"P62258";"P62258-1";"1433E_HUMAN";"14-3-3 protein epsilon";"YWHAE";2;2;"0.00164019855531786";2;2;"0";4;"mitochondrion, cytosol, extracellular vesicular exosome, kinesin complex, cytoplasmic vesicle membrane, melanosome";FALSE;0,000975609756097561
"168";168;"P62263";"P62263";"RS14_HUMAN";"40S ribosomal protein S14";"RPS14";7;14;"0.0153071858900787";7;14;"0.0190017718627034";0;"extracellular vesicular exosome, nucleolus, mitochondrion, cytosolic small ribosomal subunit";FALSE;0,00682926829268293
"169";169;"P62269";"P62269";"RS18_HUMAN";"40S ribosomal protein S18";"RPS18";3;5;"0.005430885971339";3;5;"0.00674170007346854";0;"cytosolic small ribosomal subunit, extracellular vesicular exosome";FALSE;0,0024390243902439
"170";170;"P62273";"P62273-1";"RS29_HUMAN";"40S ribosomal protein S29";"RPS29";3;3;"0.00884458572475208";3;3;"0";0;"cytosolic small ribosomal subunit, extracellular vesicular exosome";FALSE;0,00146341463414634
"172";172;"P62701";"P62701";"RS4X_HUMAN";"40S ribosomal protein S4, X isoform";"RPS4X";3;5;"0.00313876299484231";3;5;"0.00389634376869665";0;"cytosolic small ribosomal subunit, extracellular vesicular exosome, polysome";FALSE;0,0024390243902439
"173";173;"P62805";"P62805";"H4_HUMAN";"Histone H4";"HIST1H4J,HIST1H4D,HIST1H4K,HIST1H4C,HIST2H4A,HIST4H4,HIST1H4E,HIST1H4A,HIST1H4B,HIST1H4I,HIST2H4B,HIST1H4H,HIST1H4L,HIST1H4F";3;10;"0.0160290226726899";3;10;"0.0198978332265479";0;"nucleosome, nucleolus, extracellular vesicular exosome, actin cytoskeleton, nucleoplasm";FALSE;0,0048780487804878
"174";174;"P62826";"P62826";"RAN_HUMAN";"GTP-binding nuclear protein Ran";"RAN";6;9;"0.00687912223036273";6;9;"0.00853948675972682";0;"melanosome, nucleoplasm, nuclear pore, extracellular vesicular exosome, cytosol";FALSE;0,00439024390243902
"175";175;"P62857";"P62857";"RS28_HUMAN";"40S ribosomal protein S28";"RPS28";2;4;"0.00957095266833076";2;4;"0.0118810250570112";0;"extracellular vesicular exosome, cytosolic small ribosomal subunit";FALSE;0,00195121951219512
"176";176;"P62873";"P62873,P62879,Q9HAV0";"GBB1_HUMAN, GBB2_HUMAN, GBB4_HUMAN";"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1, Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2, Guanine nucleotide-binding protein subunit beta-4";"GNB1, GNB2, GNB4";3;6;"9.7117019722768E-4";3;6;"0.0012055746013732";0;"heterotrimeric G-protein complex, photoreceptor inner segment, lysosomal membrane, extracellular vesicular exosome, dendrite, cell body, photoreceptor outer segment membrane, photoreceptor disc membrane";FALSE;0,00292682926829268
"177";177;"P62913";"P62913-1,P62913-2";"RL11_HUMAN";"60S ribosomal protein L11";"RPL11";4;8;"0.0037100883939035";4;8;"0";0;"extracellular vesicular exosome, cytosolic large ribosomal subunit, nucleolus";FALSE;0,00390243902439024
"178";178;"P62937";"P62937";"PPIA_HUMAN";"Peptidyl-prolyl cis-trans isomerase A";"PPIA";5;8;"0.00800479677714936";5;8;"0.00993685732040939";0;"cytosol, nucleus, extracellular vesicular exosome";FALSE;0,00390243902439024
"179";179;"P63104";"P63104";"1433Z_HUMAN";"14-3-3 protein zeta/delta";"YWHAZ";3;5;"0.00426786358781688";3;5;"0.00529796729583052";4;"cytosol, blood microparticle, protein complex, mast cell granule, perinuclear region of cytoplasm, postsynaptic density, melanosome, nucleoplasm, mitochondrion, cell leading edge, extracellular vesicular exosome, cytoplasmic vesicle membrane";FALSE;0,0024390243902439
"181";181;"P63244";"P63244";"GBLP_HUMAN";"Guanine nucleotide-binding protein subunit beta-2-like 1";"GNB2L1";4;6;"0.00312490095007014";4;6;"0.00387913594132701";0;"neuronal cell body, mitochondrion, cytoskeleton, phagocytic cup, cytosol, nucleus, perinuclear region of cytoplasm, dendrite, perikaryon, midbody, small ribosomal subunit, extracellular vesicular exosome";FALSE;0,00292682926829268
"182";182;"P67809";"P67809";"YBOX1_HUMAN";"Nuclease-sensitive element-binding protein 1";"YBX1";1;2;"0.001019129219313";1;2;"0.00126510914958916";0;"CRD-mediated mRNA stability complex, cytoplasmic stress granule, U12-type spliceosomal complex, nucleoplasm, histone pre-mRNA 3'end processing complex, extracellular vesicular exosome";FALSE;0,000975609756097561
"183";183;"P67936";"P67936-1";"TPM4_HUMAN";"Tropomyosin alpha-4 chain";"TPM4";1;2;"0.00247267988003822";1;2;"0";6;"filamentous actin, cytosol, podosome, extracellular vesicular exosome, muscle thin filament tropomyosin, stress fiber, cortical cytoskeleton";FALSE;0,000975609756097561
"184";184;"P68032";"P68032,P68133";"ACTC_HUMAN, ACTS_HUMAN";"Actin, alpha cardiac muscle 1, Actin, alpha skeletal muscle";"ACTA1, ACTC1";1;1;"9.76214958420175E-4";1;1;"0.00121183698049174";29;"I band, cytosol, extracellular vesicular exosome, actomyosin, actin portion, blood microparticle";FALSE;0,00048780487804878
"185";185;"P68104";"P68104,Q5VTE0";"EF1A1_HUMAN, EF1A3_HUMAN";"Elongation factor 1-alpha 1, Putative elongation factor 1-alpha-like 3";"EEF1A1, EEF1A1P5";10;22;"0.0039309269887787";10;22;"0.0048797067198439";0;"extracellular space, eukaryotic translation elongation factor 1 complex, nucleus, cytosol, plasma membrane, extracellular vesicular exosome";FALSE;0,0107317073170732
"187";187;"P68371";"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";2;5;"0.00657215658348619";2;5;"0.00815843101025587";19;"cytosol, extracellular vesicular exosome, nucleus, microtubule, plasma membrane";FALSE;0,0024390243902439
"188";188;"P68431";"P68431,P84243,Q16695,Q71DI3";"H31T_HUMAN, H31_HUMAN, H32_HUMAN, H33_HUMAN";"Histone H3.1, Histone H3.1t, Histone H3.2, Histone H3.3";"H3F3A,H3F3B, HIST1H3C,HIST1H3G,HIST1H3I,HIST1H3F,HIST1H3H,HIST1H3D,HIST1H3E,HIST1H3J,HIST1H3B,HIST1H3A, HIST2H3A,HIST2H3C,HIST2H3D, HIST3H3";4;4;"0.0012139627465346";4;4;"0.0015069682517165";0;"nucleosome, nucleoplasm, extracellular vesicular exosome";FALSE;0,00195121951219512
"189";189;"P78371";"P78371-1,P78371-2";"TCPB_HUMAN";"T-complex protein 1 subunit beta";"CCT2";5;8;"0.00123438454974733";5;8;"0";0;"zona pellucida receptor complex, cell body, chaperonin-containing T-complex, nucleus, extracellular vesicular exosome, microtubule, cytosol";FALSE;0,00390243902439024
"194";194;"Q00839";"Q00839-1,Q00839-2";"HNRPU_HUMAN";"Heterogeneous nuclear ribonucleoprotein U";"HNRNPU";5;5;"5.00299798571835E-4";5;5;"0";0;"cell surface, catalytic step 2 spliceosome, CRD-mediated mRNA stability complex, nucleoplasm";FALSE;0,0024390243902439
"195";195;"Q01518";"Q01518-1,Q01518-2";"CAP1_HUMAN";"Adenylyl cyclase-associated protein 1";"CAP1";6;11;"0.00191167186191133";6;11;"0";0;"cortical actin cytoskeleton, plasma membrane, extracellular vesicular exosome";FALSE;0,00536585365853659
"196";196;"Q01844";"Q01844-1,Q01844-2,Q01844-3,Q01844-5";"EWS_HUMAN";"RNA-binding protein EWS";"EWSR1";2;3;"1.88756402662392E-4";2;3;"0";0;"plasma membrane, nucleus, cytoplasm";FALSE;0,00146341463414634
"197";197;"Q02790";"Q02790";"FKBP4_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP4";"FKBP4";3;3;"0.00107907799691964";3;3;"0.00133952733485911";0;"perinuclear region of cytoplasm, microtubule, axonal growth cone, extracellular vesicular exosome, neuronal cell body, cytosol, mitochondrion, nucleus, membrane";FALSE;0,00146341463414634
"199";199;"Q04837";"Q04837";"SSBP_HUMAN";"Single-stranded DNA-binding protein, mitochondrial";"SSBP1";3;6;"0.0066932000079205";3;6;"0.00830868982027475";0;"mitochondrial nucleoid, extracellular vesicular exosome";FALSE;0,00292682926829268
"200";200;"Q06830";"Q06830";"PRDX1_HUMAN";"Peroxiredoxin-1";"PRDX1";7;13;"0.0136614527911525";7;13;"0.0169588199369047";4;"extracellular space, nuclear euchromatin, melanosome, mitochondrial matrix, mitochondrion, nucleus, cytosol, extracellular vesicular exosome, peroxisomal matrix, nucleolus";FALSE;0,00634146341463415
"204";204;"Q13162";"Q13162";"PRDX4_HUMAN";"Peroxiredoxin-4";"PRDX4";2;2;"0.00138090128904698";2;2;"0.00171419955619609";2;"mitochondrion, extracellular space, extracellular vesicular exosome";FALSE;0,000975609756097561
"206";206;"Q13200";"Q13200";"PSMD2_HUMAN";"26S proteasome non-ATPase regulatory subunit 2";"PSMD2";2;2;"3.63654038609484E-4";2;2;"4.51426612848995E-4";0;"extracellular vesicular exosome, cytosol, nucleoplasm, proteasome regulatory particle";FALSE;0,000975609756097561
"208";208;"Q13283";"Q13283";"G3BP1_HUMAN";"Ras GTPase-activating protein-binding protein 1";"G3BP1";4;6;"0.00212573734157132";4;6;"0.00263881135922889";0;"cytoplasm, plasma membrane, cytosol, cytoplasmic stress granule, nucleus";FALSE;0,00292682926829268
"209";209;"Q13347";"Q13347";"EIF3I_HUMAN";"Eukaryotic translation initiation factor 3 subunit I";"EIF3I";2;2;"0.00101599343709973";2;2;"0.00126121650605196";0;"eukaryotic 48S preinitiation complex, eukaryotic 43S preinitiation complex, extracellular vesicular exosome, cytosol, eukaryotic translation initiation factor 3 complex";FALSE;0,000975609756097561
"211";211;"Q13765";"Q13765";"NACA_HUMAN";"Nascent polypeptide-associated complex subunit alpha";"NACA";4;7;"0.00537531411488809";4;7;"0.00667271523550747";0;"nucleus, nascent polypeptide-associated complex, extracellular vesicular exosome";FALSE;0,00341463414634146
"212";212;"Q13885";"Q13885,Q9BVA1";"TBB2A_HUMAN, TBB2B_HUMAN";"Tubulin beta-2A chain, Tubulin beta-2B chain";"TUBB2A, TUBB2B";0;0;"0";0;0;"0";19;"microtubule, extracellular vesicular exosome, cytoplasm, plasma membrane";FALSE;0
"216";216;"Q14444";"Q14444-1,Q14444-2";"CAPR1_HUMAN";"Caprin-1";"CAPRIN1";2;5;"5.8215420849332E-4";2;5;"0";0;"cytosol, cytoplasmic mRNA processing body, dendrite, cytoplasmic stress granule, integral component of plasma membrane";FALSE;0,0024390243902439
"221";221;"Q15365";"Q15365";"PCBP1_HUMAN";"Poly(rC)-binding protein 1";"PCBP1";2;2;"0.00162316367233278";2;2;"0.00201493507813779";3;"nucleoplasm, cytoplasm, extracellular vesicular exosome, ribonucleoprotein complex";FALSE;0,000975609756097561
"226";226;"Q16555";"Q16555";"DPYL2_HUMAN";"Dihydropyrimidinase-related protein 2";"DPYSL2";3;5;"0.00144317249588029";3;5;"0.00179150071882381";0;"membrane, cytosol, dendrite, extracellular vesicular exosome, growth cone, mitochondrion, axon, protein complex, neuronal cell body, cytoskeleton";FALSE;0,0024390243902439
"229";229;"Q562R1";"Q562R1";"ACTBL_HUMAN";"Beta-actin-like protein 2";"ACTBL2";1;1;"0.00102455011941573";1;1;"0.00127183845357634";12;"cytoplasm, extracellular space, cytoskeleton, extracellular vesicular exosome";FALSE;0,00048780487804878
"231";231;"Q7Z2W4";"Q7Z2W4-1,Q7Z2W4-2,Q7Z2W4-3";"ZCCHV_HUMAN";"Zinc finger CCCH-type antiviral protein 1";"ZC3HAV1";2;2;"1.22024341115082E-4";2;2;"0";0;"nucleus, plasma membrane, Golgi apparatus, cytoplasm";FALSE;0,000975609756097561
"233";233;"Q8IUE6";"Q8IUE6";"H2A2B_HUMAN";"Histone H2A type 2-B";"HIST2H2AB";1;1;"0.00380997538912397";1;1;"0.00472956189769486";26;"extracellular vesicular exosome, nucleosome, nucleus";FALSE;0,00048780487804878
"236";236;"Q8NC51";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";12;21;"0.00212443480643555";12;21;"0";0;"nucleus, extracellular vesicular exosome, cytoplasm, perinuclear region of cytoplasm, plasma membrane";FALSE;0,0102439024390244
"240";240;"Q92598";"Q92598-1,Q92598-2,Q92598-3";"HS105_HUMAN";"Heat shock protein 105 kDa";"HSPH1";5;10;"6.41409998169019E-4";5;10;"0";0;"endocytic vesicle lumen, extracellular vesicular exosome, nucleus, microtubule";FALSE;0,0048780487804878
"242";242;"Q95604";"Q95604";"1C17_HUMAN";"HLA class I histocompatibility antigen, Cw-17 alpha chain";"HLA-C";1;1;"7.39690562404595E-4";1;1;"9.18224382766325E-4";2;"MHC class I protein complex, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, cell surface";FALSE;0,00048780487804878
"248";248;"Q99653";"Q99653";"CHP1_HUMAN";"Calcineurin B homologous protein 1";"CHP1";3;3;"0.00253998359274932";3;3;"0.0031530412651299";0;"endoplasmic reticulum-Golgi intermediate compartment, transport vesicle, plasma membrane, endoplasmic reticulum, cytosol, microtubule cytoskeleton, Golgi membrane, nucleus, extracellular vesicular exosome";FALSE;0,00146341463414634
"250";250;"Q99832";"Q99832-1,Q99832-2,Q99832-3,Q99832-4";"TCPH_HUMAN";"T-complex protein 1 subunit eta";"CCT7";2;2;"1.52024800671E-4";2;2;"0";0;"extracellular vesicular exosome, mitochondrion, chaperonin-containing T-complex, zona pellucida receptor complex, cell body, cytosol, microtubule";FALSE;0,000975609756097561
"252";252;"Q9BUF5";"Q9BUF5";"TBB6_HUMAN";"Tubulin beta-6 chain";"TUBB6";2;3;"0.00229509728223761";2;3;"0.00284904849741559";6;"plasma membrane, extracellular vesicular exosome, cytoplasm, microtubule";FALSE;0,00146341463414634
"255";255;"Q9H4G4";"Q9H4G4";"GAPR1_HUMAN";"Golgi-associated plant pathogenesis-related protein 1";"GLIPR2";2;2;"0.00214414199387929";2;2;"0.00266165821082394";0;"Golgi membrane, extracellular vesicular exosome";FALSE;0,000975609756097561
"257";257;"Q9HB71";"Q9HB71-1";"CYBP_HUMAN";"Calcyclin-binding protein";"CACYBP";5;7;"0.00506882690658306";5;7;"0";0;"nuclear envelope lumen, cell body, neuron projection, extracellular vesicular exosome, beta-catenin destruction complex";FALSE;0,00341463414634146
"260";260;"Q9NX63";"Q9NX63";"CHCH3_HUMAN";"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial";"CHCHD3";6;9;"0.00654577269497071";6;9;"0.00812567903128191";0;"mitochondrial inner membrane, extracellular vesicular exosome, nucleus";FALSE;0,00439024390243902
"264";264;"Q9UJZ1";"Q9UJZ1";"STML2_HUMAN";"Stomatin-like protein 2";"STOML2";6;9;"0.00417384944314143";6;9;"0.00518126162949717";0;"mitochondrial intermembrane space, cytoskeleton, extrinsic component of plasma membrane, mitochondrial inner membrane, membrane raft";FALSE;0,00439024390243902
"266";266;"Q9Y230";"Q9Y230";"RUVB2_HUMAN";"RuvB-like 2";"RUVBL2";4;5;"0.00178292584804218";4;5;"0.00221325790748859";0;"NuA4 histone acetyltransferase complex, extracellular vesicular exosome, membrane, nuclear matrix, MLL1 complex, Ino80 complex, cytoplasm, ribonucleoprotein complex";FALSE;0,0024390243902439
"270";270;"Q9Y490";"Q9Y490";"TLN1_HUMAN";"Talin-1";"TLN1";5;7;"4.54817998701668E-4";5;7;"5.64594165932352E-4";0;"cytosol, actin cytoskeleton, ruffle, intracellular membrane-bounded organelle, centrosome, focal adhesion, cell-cell junction, extracellular vesicular exosome, plasma membrane, cell surface, ruffle membrane";FALSE;0,00341463414634146
