"";"protein.acs";"X.1";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768";"Go.Cc";"Go.Mf"
"66";"P13645";102;102;"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";25;161;0,0193995681657119;24;23;72;89;0,0203038746156855;0,0263328616012515;"cytoplasm, extracellular space, keratin filament, intermediate filament, extracellular vesicular exosome";"structural constituent of epidermis"
"67";"P13646";103;103;"P13646-1,P13646-3";"K1C13_HUMAN";"Keratin, type I cytoskeletal 13";"KRT13";0;0;0;0;0;0;0;NA;NA;"extracellular vesicular exosome, keratin filament";"structural molecule activity"
"68";"P13647";104;104;"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";11;29;0,00520398161012174;7;11;11;18;0,00508609985534446;0,00736964844515837;"keratin filament, cytosol, plasma membrane, extracellular vesicular exosome, mitochondrion";"structural constituent of cytoskeleton, scaffold protein binding, protein binding"
"69";"P13667";105;105;"P13667";"PDIA4_HUMAN";"Protein disulfide-isomerase A4";"PDIA4";2;2;0,000183518127082922;NA;2;NA;2;NA;0,000441551114142769;"melanosome, endoplasmic reticulum lumen, cell surface";"protein binding, protein disulfide isomerase activity, poly(A) RNA binding"
"70";"P13796";106;106;"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";16;36;0,00339815862110482;11;13;18;18;0,00406905677410047;0,00408804500414478;"extracellular vesicular exosome, actin filament, actin filament bundle, ruffle membrane, phagocytic cup, plasma membrane, filopodium, focal adhesion, cytosol, ruffle, extracellular space";"actin filament binding, calcium ion binding, actin binding"
"71";"P14618";108;108;"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";26;106;0,0122562957627223;20;23;39;67;NA;NA;"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium";"ATP binding, pyruvate kinase activity, protein binding, MHC class II protein complex binding, magnesium ion binding, poly(A) RNA binding, potassium ion binding"
"72";"P14625";109;109;"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";8;16;0,00128896916157868;8;3;11;5;0,0020340860020998;0,00100758684981775;"cytosol, melanosome, midbody, extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endocytic vesicle lumen, endoplasmic reticulum lumen, plasma membrane";"low-density lipoprotein particle receptor binding, RNA binding, calcium ion binding, ATP binding, protein binding, virion binding, protein phosphatase binding"
"73";"P14868";110;110;"P14868";"SYDC_HUMAN";"Aspartate--tRNA ligase, cytoplasmic";"DARS";3;3;0,000354398778348756;3;NA;3;NA;0,000848735394997004;NA;"extracellular vesicular exosome, cytosol";"protein binding, aminoacylase activity, aspartate-tRNA ligase activity, ATP binding, poly(A) RNA binding"
"74";"P15311";111;111;"P15311";"EZRI_HUMAN";"Ezrin";"EZR";3;5;0,000632563941272214;2;1;3;2;0,000953272468843755;0,00057437264847768;"cortical cytoskeleton, astrocyte projection, Schwann cell microvillus, nucleolus, cytosol, actin filament, uropod, microvillus, T-tubule, cell body, microspike, extracellular vesicular exosome, extrinsic component of membrane, ruffle membrane, ruffle, filopodium, microvillus membrane, apical plasma membrane, membrane raft, basolateral plasma membrane, cell tip, apical part of cell";"poly(A) RNA binding, cell adhesion molecule binding, actin filament binding, protein binding"
"75";"P15880";113;113;"P15880";"RS2_HUMAN";"40S ribosomal protein S2";"RPS2";9;19;0,00383790895460957;7;5;11;8;0,00532125228876961;0,00388806100507968;"cytosolic small ribosomal subunit, extracellular vesicular exosome, nucleoplasm";"protein binding, mRNA binding, structural constituent of ribosome, enzyme binding, fibroblast growth factor binding, poly(A) RNA binding"
"76";"P16070";114;114;"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"CD44_HUMAN";"CD44 antigen";"CD44";4;10;5,31757376318439e-05;4;3;6;4;NA;NA;"extracellular vesicular exosome, integral component of plasma membrane, basolateral plasma membrane, external side of plasma membrane, cell surface";"protein binding, hyaluronic acid binding, collagen binding, hyalurononglucosaminidase activity"
"77";"P16150";115;115;"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";4;28;0,00414292171889696;4;3;14;14;0,00496085838375749;0,00498400820088651;"integral component of plasma membrane, uropod, cell surface, basement membrane, extracellular space, external side of plasma membrane, extracellular vesicular exosome";"transmembrane signaling receptor activity, protein binding"
"78";"P16152";116;116;"O75828,P16152";"CBR1_HUMAN, CBR3_HUMAN";"Carbonyl reductase [NADPH] 1, Carbonyl reductase [NADPH] 3";"CBR1, CBR3";1;3;0,000320494202080734;1;1;1;2;0,000255846229177797;0,000514080268270914;"extracellular vesicular exosome, cytosol";"carbonyl reductase (NADPH) activity, 15-hydroxyprostaglandin dehydrogenase (NADP+) activity, oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor, prostaglandin-E2 9-reductase activity"
"79";"P16615";118;118;"P16615-1,P16615-2,P16615-3,P16615-4,P16615-5";"AT2A2_HUMAN";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2";"ATP2A2";3;3;3,40794218719246e-05;NA;3;NA;3;NA;NA;"platelet dense tubular network membrane, integral component of plasma membrane, sarcoplasmic reticulum membrane";"S100 protein binding, protein C-terminus binding, calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential, ATP binding, metal ion binding, enzyme binding, calcium-transporting ATPase activity, protein binding"
"80";"P16949";119;119;"P16949-1,P16949-2";"STMN1_HUMAN";"Stathmin";"STMN1";2;2;0,000397212053585519;NA;2;NA;2;NA;NA;"membrane, microtubule, intracellular, cytosol, extracellular vesicular exosome";"tubulin binding, signal transducer activity"
"81";"P17066";121;121;"P17066";"HSP76_HUMAN";"Heat shock 70 kDa protein 6";"HSPA6";0;0;0;0;0;0;0;0;0;"blood microparticle, extracellular vesicular exosome";"heat shock protein binding, enzyme binding, ATPase activity, coupled, ATP binding, unfolded protein binding"
"82";"P17813";122;122;"P17813-1,P17813-2";"EGLN_HUMAN";"Endoglin";"ENG";1;1;4,49730972524638e-05;NA;1;NA;1;NA;NA;"endothelial microparticle, extracellular space, external side of plasma membrane, transforming growth factor beta receptor homodimeric complex, cytoplasm, nucleus, cell surface";"type I transforming growth factor beta receptor binding, transmembrane signaling receptor activity, type II transforming growth factor beta receptor binding, activin binding, glycosaminoglycan binding, transforming growth factor beta binding, transforming growth factor beta receptor, cytoplasmic mediator activity, transforming growth factor beta-activated receptor activity, protein homodimerization activity, galactose binding, protein binding"
"83";"P17844";123;123;"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";5;13;0,0016916769699079;5;3;8;5;0,00246234633597394;0,00159446516431339;"catalytic step 2 spliceosome, extracellular vesicular exosome, nucleolus";"pre-mRNA binding, androgen receptor binding, ATP-dependent RNA helicase activity, poly(A) RNA binding, ATP binding, transcription coactivator activity, RNA helicase activity, estrogen receptor binding, protein binding"
"84";"P17858";124;124;"P17858-1,P17858-2";"K6PL_HUMAN";"6-phosphofructokinase, liver type";"PFKL";1;1;7,5877687159285e-05;1;0;1;0;NA;NA;"6-phosphofructokinase complex, extracellular vesicular exosome";"metal ion binding, ATP binding, kinase binding, 6-phosphofructokinase activity, identical protein binding, protein binding, fructose binding, fructose-6-phosphate binding"
"85";"P17987";125;125;"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";4;6;0,000638682690477435;4;NA;6;NA;0,00152955551400539;NA;"cell body, plasma membrane, Golgi apparatus, chaperonin-containing T-complex, extracellular vesicular exosome, nuclear heterochromatin, nucleus, microtubule, zona pellucida receptor complex, cytosol, cell junction, centrosome, acrosomal vesicle, pericentriolar material";"ATP binding, poly(A) RNA binding, unfolded protein binding"
"86";"P18077";126;126;"P18077";"RL35A_HUMAN";"60S ribosomal protein L35a";"RPL35A";3;8;0,00430433425339944;3;2;5;3;0,00644267322565908;0,00388364275393754;"cytosolic large ribosomal subunit, extracellular vesicular exosome";"tRNA binding, poly(A) RNA binding, structural constituent of ribosome"
"87";"P18465";128;128;"P10319,P18465";"1B57_HUMAN, 1B58_HUMAN";"HLA class I histocompatibility antigen, B-57 alpha chain, HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"ER to Golgi transport vesicle membrane, phagocytic vesicle membrane, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane, cell surface, MHC class I protein complex";"peptide antigen binding"
"88";"P18669";130;130;"P18669";"PGAM1_HUMAN";"Phosphoglycerate mutase 1";"PGAM1";3;4;0,000932040881641611;2;2;2;2;0,00111605362964173;0,00112126168748853;"cytosol, extracellular vesicular exosome";"bisphosphoglycerate mutase activity, phosphoglycerate mutase activity, bisphosphoglycerate 2-phosphatase activity, protein binding, protein kinase binding"
"89";"P19338";132;132;"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";27;70;0,00583510101253093;25;19;43;27;0,00858418150911759;0,00541522017802558;"ribonucleoprotein complex, nucleoplasm, extracellular vesicular exosome, nucleolus, cell cortex";"nucleotide binding, protein C-terminus binding, poly(A) RNA binding, RNA binding, telomeric DNA binding, identical protein binding, protein binding"
"90";"P20231";134;134;"P20231,Q15661-1,Q15661-2";"TRYB1_HUMAN, TRYB2_HUMAN";"Tryptase alpha/beta-1, Tryptase beta-2";"TPSAB1, TPSB2";2;2;0,000143477808446648;2;NA;2;NA;0,00103082771610545;NA;"extracellular region";"serine-type endopeptidase activity, serine-type peptidase activity"
"91";"P20618";135;135;"P20618";"PSB1_HUMAN";"Proteasome subunit beta type-1";"PSMB1";1;1;0,000245579236449138;1;NA;1;NA;0,000588127846325725;NA;"proteasome core complex, extracellular vesicular exosome, nucleoplasm, cytosol";"protein binding, threonine-type endopeptidase activity"
"92";"P20701";137;137;"P20701-1,P20701-2,P20701-3";"ITAL_HUMAN";"Integrin alpha-L";"ITGAL";2;2;3,37234165152378e-05;NA;2;NA;2;NA;NA;"integrin complex, immunological synapse, extracellular vesicular exosome, external side of plasma membrane";"metal ion binding, cell adhesion molecule binding, protein binding"
"93";"P21281";138;138;"P21281";"VATB2_HUMAN";"V-type proton ATPase subunit B, brain isoform";"ATP6V1B2";1;1;0,000115821127170729;1;NA;1;NA;0,0002773753639227;NA;"integral component of membrane, microvillus, cytosol, lysosomal membrane, melanosome, extracellular vesicular exosome, plasma membrane, proton-transporting V-type ATPase, V1 domain, Golgi apparatus";"proton-transporting ATPase activity, rotational mechanism, hydrogen ion transmembrane transporter activity, ATP binding"
"94";"P21291";139;139;"P21291";"CSRP1_HUMAN";"Cysteine and glycine-rich protein 1";"CSRP1";2;3;0,000919967813226564;1;2;1;2;0,000734397984272019;0,00147565009648749;"extracellular vesicular exosome, nucleus";"poly(A) RNA binding, zinc ion binding"
"95";"P21333";140;140;"P21333-1,P21333-2";"FLNA_HUMAN";"Filamin-A";"FLNA";14;27;0,000301848147256241;10;11;14;13;NA;NA;"cytosol, plasma membrane, dendritic shaft, nucleus, cortical cytoskeleton, actin filament, perinuclear region of cytoplasm, apical dendrite, extracellular vesicular exosome, trans-Golgi network, Myb complex, actin cytoskeleton, neuronal cell body";"actin filament binding, transcription factor binding, poly(A) RNA binding, Rho GTPase binding, small GTPase binding, protein binding, glycoprotein binding, Ral GTPase binding, protein homodimerization activity, Rac GTPase binding, signal transducer activity, Fc-gamma receptor I complex binding"
"96";"P21796";141;141;"P21796";"VDAC1_HUMAN";"Voltage-dependent anion-selective channel protein 1";"VDAC1";3;5;0,00197514356445253;1;2;1;4;0,00250421927499116;0,0030190862398101;"mitochondrial outer membrane, mitochondrial inner membrane, pore complex, extracellular vesicular exosome, mitochondrial nucleoid, plasma membrane";"voltage-gated anion channel activity, protein binding, porin activity"
"97";"P22102";142;142;"P22102-1";"PUR2_HUMAN";"Trifunctional purine biosynthetic protein adenosine-3";"GART";3;4;0,000234394439541554;NA;3;NA;4;NA;NA;"cytosol, extracellular vesicular exosome";"methyltransferase activity, phosphoribosylglycinamide formyltransferase activity, phosphoribosylamine-glycine ligase activity, ATP binding, phosphoribosylformylglycinamidine cyclo-ligase activity, metal ion binding"
"98";"P22234";143;143;"P22234-1,P22234-2";"PUR6_HUMAN";"Multifunctional protein ADE2";"PAICS";4;6;0,000417773618712299;NA;4;NA;6;NA;NA;"extracellular vesicular exosome, cytosol";"ATP binding, protein binding, phosphoribosylaminoimidazolesuccinocarboxamide synthase activity, identical protein binding, phosphoribosylaminoimidazole carboxylase activity"
"99";"P22314";144;144;"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";18;43;0,00240542308820645;14;12;25;18;0,00334921576003071;0,00242268829640716;"extracellular vesicular exosome";"ubiquitin activating enzyme activity, ATP binding, poly(A) RNA binding, protein binding, ubiquitin-protein transferase activity"
"100";"P23284";149;149;"P23284";"PPIB_HUMAN";"Peptidyl-prolyl cis-trans isomerase B";"PPIB";5;13;0,00356203586942199;3;5;6;7;0,00393718919345833;0,00461482240822825;"endoplasmic reticulum lumen, extracellular vesicular exosome, melanosome, macromolecular complex";"peptide binding, poly(A) RNA binding, protein complex binding, peptidyl-prolyl cis-trans isomerase activity, unfolded protein binding, protein binding"
"101";"P23396";150;150;"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";9;20;0,00487116016331212;7;7;10;10;0,00583287287919752;0,00586009194695651;"ruffle membrane, nucleus, extracellular vesicular exosome, cytosolic small ribosomal subunit";"structural constituent of ribosome, NF-kappaB binding, protein kinase A binding, endonuclease activity, iron-sulfur cluster binding, damaged DNA binding, poly(A) RNA binding, protein kinase binding, enzyme binding, mRNA binding, DNA-(apurinic or apyrimidinic site) lyase activity, protein binding"
"102";"P23528";151;151;"P23528";"COF1_HUMAN";"Cofilin-1";"CFL1";10;32;0,0114090787439503;8;8;18;14;0,0153692686588012;0,0120096583153892;"ruffle membrane, extracellular space, cytoplasm, extracellular vesicular exosome, nucleus, cortical actin cytoskeleton, lamellipodium membrane, nuclear matrix";"protein binding"
"103";"P24752";153;153;"P24752";"THIL_HUMAN";"Acetyl-CoA acetyltransferase, mitochondrial";"ACAT1";5;10;0,00138605611204315;2;4;4;6;0,00132776403713817;0,00200094006057672;"mitochondrial matrix, mitochondrial inner membrane, extracellular vesicular exosome";"acetyl-CoA C-acetyltransferase activity, metal ion binding, coenzyme binding"
"104";"P25705";155;155;"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";11;30;0,00321073757599868;9;9;15;15;0,00384463320880198;0,00386257416756898;"mitochondrial matrix, plasma membrane, mitochondrial proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, catalytic core F(1), extracellular vesicular exosome";"poly(A) RNA binding, protein binding, ATP binding, proton-transporting ATPase activity, rotational mechanism, MHC class I protein binding, transmembrane transporter activity, proton-transporting ATP synthase activity, rotational mechanism"
"105";"P25786";156;156;"P25786-1,P25786-2";"PSA1_HUMAN";"Proteasome subunit alpha type-1";"PSMA1";3;3;0,00033755472994815;NA;3;NA;3;NA;NA;"centrosome, extracellular vesicular exosome, proteasome core complex, alpha-subunit complex, cytosol, nucleoplasm, proteasome core complex, polysome";"RNA binding, threonine-type endopeptidase activity, protein binding"
"106";"P26038";157;157;"P26038";"MOES_HUMAN";"Moesin";"MSN";28;90;0,0115637512175725;24;21;48;42;0,0154902645890451;0,01224996501242;"apical plasma membrane, apical part of cell, basolateral plasma membrane, filopodium, microvillus membrane, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleolus, uropod, extrinsic component of membrane, plasma membrane, microvillus, blood microparticle";"protein kinase binding, protein binding, double-stranded RNA binding, structural constituent of cytoskeleton, receptor binding, cell adhesion molecule binding"
"107";"P26583";159;159;"P26583";"HMGB2_HUMAN";"High mobility group protein B2";"HMGB2";6;10;0,00292944708715933;5;2;8;2;0,00542540903213396;0,00145352711258481;"extracellular space, nucleoplasm, condensed chromosome, perinuclear region of cytoplasm, protein complex";"damaged DNA binding, protein binding, DNA binding, bending, single-stranded DNA binding, sequence-specific DNA binding transcription factor activity, RAGE receptor binding, chemoattractant activity, poly(A) RNA binding, transcription regulatory region DNA binding, DNA binding, double-stranded DNA binding"
"108";"P26599";160;160;"P26599-1,P26599-2,P26599-3";"PTBP1_HUMAN";"Polypyrimidine tract-binding protein 1";"PTBP1";2;3;0,000111458749499515;2;NA;3;NA;NA;NA;"nucleoplasm, nucleolus, extracellular vesicular exosome";"poly-pyrimidine tract binding, nucleotide binding, RNA binding, poly(A) RNA binding, protein binding, pre-mRNA binding"
"109";"P27348";162;162;"P27348";"1433T_HUMAN";"14-3-3 protein theta";"YWHAQ";8;19;0,00552301233433543;5;5;10;9;0,00715740201887714;0,00612413153035049;"cytosol, protein complex, extracellular vesicular exosome, cytoplasmic vesicle membrane";"protein N-terminus binding, protein binding"
"110";"P27708";165;165;"P27708";"PYR1_HUMAN";"CAD protein";"CAD";2;2;5,31996368397684e-05;2;NA;2;NA;0,000127405672777078;NA;"neuronal cell body, terminal bouton, nuclear matrix, protein complex, extracellular vesicular exosome, cytosol";"dihydroorotase activity, zinc ion binding, carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity, identical protein binding, ATP binding, aspartate binding, aspartate carbamoyltransferase activity, protein kinase activity, enzyme binding"
"111";"P27797";166;166;"P27797";"CALR_HUMAN";"Calreticulin";"CALR";3;3;0,00042578846031829;3;NA;3;NA;0,0010197036760036;NA;"endocytic vesicle lumen, acrosomal vesicle, nucleus, cytosol, extracellular space, endoplasmic reticulum lumen, perinuclear region of cytoplasm, Golgi apparatus, external side of plasma membrane, sarcoplasmic reticulum lumen, proteinaceous extracellular matrix, polysome, MHC class I peptide loading complex, extracellular vesicular exosome, cell surface, integral component of lumenal side of endoplasmic reticulum membrane";"protein binding involved in protein folding, integrin binding, DNA binding, unfolded protein binding, chaperone binding, calcium ion binding, zinc ion binding, carbohydrate binding, iron ion binding, androgen receptor binding, protein binding, peptide binding, ubiquitin protein ligase binding, mRNA binding, poly(A) RNA binding, glycoprotein binding, hormone binding, complement component C1q binding"
"112";"P27816";167;167;"P27816-1,P27816-6";"MAP4_HUMAN";"Microtubule-associated protein 4";"MAP4";5;10;0,000256877586737163;5;3;7;3;NA;NA;"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane";"poly(A) RNA binding, protein binding, structural molecule activity"
"113";"P28074";169;169;"P28074-1";"PSB5_HUMAN";"Proteasome subunit beta type-5";"PSMB5";2;2;0,0004500729732642;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, cytosol, nucleoplasm, proteasome core complex";"protein binding, threonine-type endopeptidase activity"
"114";"P29401";170;170;"P29401";"TKT_HUMAN";"Transketolase";"TKT";6;11;0,00104499286649545;6;3;8;3;0,00182008103967255;0,000685715414017864;"extracellular vesicular exosome, cytosol, nucleus, peroxisome";"metal ion binding, cofactor binding, transketolase activity, protein homodimerization activity"
"115";"P29966";172;172;"P29966";"MARCS_HUMAN";"Myristoylated alanine-rich C-kinase substrate";"MARCKS";4;9;0,00160440169836801;2;4;2;7;0,000853848258822288;0,0030024145788473;"plasma membrane, extracellular vesicular exosome, centrosome, cell cortex, actin cytoskeleton, germinal vesicle";"actin filament binding, calmodulin binding"
"116";"P30040";173;173;"P30040";"ERP29_HUMAN";"Endoplasmic reticulum resident protein 29";"ERP29";2;2;0,00045352180830837;NA;2;NA;2;NA;0,00109118953495052;"melanosome, cell surface, endoplasmic reticulum lumen, endoplasmic reticulum";"protein disulfide isomerase activity, protein binding"
"117";"P30041";174;174;"P30041";"PRDX6_HUMAN";"Peroxiredoxin-6";"PRDX6";4;10;0,00264216946358225;3;3;5;5;0,0031638127447433;0,00317857665872864;"extracellular space, cytosol, extracellular vesicular exosome, cytoplasmic membrane-bounded vesicle, lysosome";"peroxiredoxin activity, phospholipase A2 activity, protein binding, glutathione peroxidase activity, antioxidant activity"
"118";"P30050";175;175;"P30050-1";"RL12_HUMAN";"60S ribosomal protein L12";"RPL12";4;13;0,00466302877451606;2;4;4;9;NA;NA;"extracellular vesicular exosome, cytosolic large ribosomal subunit";"structural constituent of ribosome, poly(A) RNA binding, protein binding"
"119";"P30086";176;176;"P30086";"PEBP1_HUMAN";"Phosphatidylethanolamine-binding protein 1";"PEBP1";4;11;0,00348144682260249;3;3;6;5;0,00454776933575935;0,0038074928960172;"extracellular vesicular exosome, cytoplasm";"ATP binding, protein kinase binding, phosphatidylethanolamine binding, enzyme binding, serine-type endopeptidase inhibitor activity, poly(A) RNA binding, protein binding"
"120";"P30101";177;177;"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";10;25;0,00292993049426942;9;8;16;9;0,00449073460481583;0,00253782595801859;"endoplasmic reticulum lumen, cell surface, melanosome, extracellular vesicular exosome";"poly(A) RNA binding, protein binding, protein disulfide isomerase activity, phospholipase C activity, cysteine-type endopeptidase activity"
"121";"P30536";178;178;"P30536-1";"TSPOA_HUMAN";"Translocator protein";"TSPO";2;2;0,000700409419931862;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, integral component of membrane, mitochondrial outer membrane";"cholesterol binding, androgen binding, benzodiazepine receptor activity"
"122";"P30613";179;179;"P30613-1,P30613-2";"KPYR_HUMAN";"Pyruvate kinase isozymes R/L";"PKLR";1;1;5,34817981231145e-05;1;0;1;0;NA;NA;"extracellular vesicular exosome, cytosol";"ATP binding, magnesium ion binding, pyruvate kinase activity, potassium ion binding"
"123";"P31146";180;180;"P31146";"COR1A_HUMAN";"Coronin-1A";"CORO1A";9;23;0,00295281064563465;6;7;9;14;0,00276713513813557;0,00432451904632235;"phagocytic cup, immunological synapse, phagocytic vesicle, extracellular vesicular exosome, phagocytic vesicle membrane, cortical actin cytoskeleton, lamellipodium, actin filament";"cytoskeletal protein binding, protein binding, poly(A) RNA binding, protein C-terminus binding, protein homodimerization activity, actin filament binding, phosphatidylinositol 3-kinase binding"
"124";"P31689";181;181;"P31689";"DNJA1_HUMAN";"DnaJ homolog subfamily A member 1";"DNAJA1";2;2;0,000298159173724143;2;NA;2;NA;0,000714049425513852;NA;"extracellular vesicular exosome, membrane";"protein binding, ATP binding, metal ion binding, low-density lipoprotein particle receptor binding, chaperone binding"
"125";"P31946";184;184;"P31946-1,P31946-2";"1433B_HUMAN";"14-3-3 protein beta/alpha";"YWHAB";4;8;0,00115801285572288;2;3;3;5;NA;NA;"melanosome, perinuclear region of cytoplasm, extracellular vesicular exosome, cytosol, cytoplasmic vesicle membrane, transcriptional repressor complex";"transcription corepressor activity, protein binding, histone deacetylase binding, protein domain specific binding, phosphoprotein binding, enzyme binding, phosphoserine binding"
"126";"P32119";186;186;"P32119-1";"PRDX2_HUMAN";"Peroxiredoxin-2";"PRDX2";4;11;0,00356786571536212;4;2;7;4;NA;NA;"cytosol, cytoplasm, extracellular vesicular exosome";"antioxidant activity, thioredoxin peroxidase activity"
"127";"P33316";188;188;"P33316-2,P33316-3";"DUT_HUMAN";"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial";"DUT";1;1;0,000117429753936989;1;NA;1;NA;NA;NA;"nucleoplasm, extracellular vesicular exosome, mitochondrion";"protein binding, poly(A) RNA binding, dUTP diphosphatase activity"
"128";"P34932";192;192;"P34932";"HSP74_HUMAN";"Heat shock 70 kDa protein 4";"HSPA4";2;2;0,000156573005249318;NA;2;NA;2;NA;0,000423810221163819;"extracellular vesicular exosome, mitochondrion, nucleus";"ATP binding"
"129";"P35232";193;193;"P35232";"PHB_HUMAN";"Prohibitin";"PHB";4;10;0,00217590426412656;3;4;4;6;0,0020843942788897;0,00314118163921419;"mitochondrial inner membrane, extracellular vesicular exosome, integral component of plasma membrane, nucleoplasm";"histone deacetylase binding, protein binding, sequence-specific DNA binding RNA polymerase II transcription factor activity, transcription regulatory region DNA binding, enzyme binding"
"130";"P35527";194;194;"P35527";"K1C9_HUMAN";"Keratin, type I cytoskeletal 9";"KRT9";23;127;0,0121769756990275;19;22;57;70;0,0130551114842284;0,0161839346756707;"intermediate filament, extracellular vesicular exosome, extracellular space";"structural constituent of cytoskeleton"
"131";"P35579";195;195;"P35579-1";"MYH9_HUMAN";"Myosin-9";"MYH9";45;102;0,00349865746223473;39;24;64;38;NA;NA;"uropod, nucleus, ruffle, plasma membrane, cleavage furrow, protein complex, actomyosin contractile ring, myosin II complex, spindle, stress fiber, cortical cytoskeleton, cytosol, cell-cell adherens junction, immunological synapse, extracellular vesicular exosome, neuromuscular junction";"ATP binding, motor activity, ADP binding, protein binding, protein homodimerization activity, microfilament motor activity, actin filament binding, poly(A) RNA binding, actin-dependent ATPase activity, actin binding, ATPase activity, protein anchor"
"132";"P35908";197;197;"P35908";"K22E_HUMAN";"Keratin, type II cytoskeletal 2 epidermal";"KRT2";21;109;0,0135197538063872;19;20;46;63;0,014281149627081;0,0181936137469615;"keratin filament, intermediate filament, extracellular vesicular exosome, extracellular space, Golgi apparatus";"structural constituent of cytoskeleton"
"133";"P36578";199;199;"P36578";"RL4_HUMAN";"60S ribosomal protein L4";"RPL4";11;23;0,00318792905769923;9;7;14;9;0,0046471741299836;0,00300141009086508;"cytosolic large ribosomal subunit, extracellular vesicular exosome, nucleolus";"structural constituent of ribosome, RNA binding, poly(A) RNA binding, protein binding"
"134";"P37802";203;203;"P37802";"TAGL2_HUMAN";"Transgelin-2";"TAGLN2";5;11;0,00327151033078726;4;4;5;6;0,00356127665739949;0,00429347440133798;"extracellular vesicular exosome";"protein binding"
"135";"P38646";204;204;"P38646";"GRP75_HUMAN";"Stress-70 protein, mitochondrial";"HSPA9";10;16;0,00139462965500424;7;8;7;9;0,00146122485530412;0,00188748469631721;"nucleolus, extracellular vesicular exosome, mitochondrial nucleoid";"ATP binding, poly(A) RNA binding, protein binding, unfolded protein binding"
"136";"P39019";205;205;"P39019";"RS19_HUMAN";"40S ribosomal protein S19";"RPS19";3;8;0,00326535701982026;2;3;4;4;0,00391003616453792;0,00392828232582188;"nucleolus, extracellular vesicular exosome, cytosolic small ribosomal subunit";"structural constituent of ribosome, fibroblast growth factor binding, protein homodimerization activity, protein binding, protein kinase binding, poly(A) RNA binding"
"137";"P39023";206;206;"P39023";"RL3_HUMAN";"60S ribosomal protein L3";"RPL3";11;27;0,00396522107090457;9;7;17;10;0,00597905654192679;0,00353350457347502;"nucleolus, extracellular vesicular exosome, cytosolic large ribosomal subunit";"RNA binding, poly(A) RNA binding, structural constituent of ribosome"
"138";"P40227";208;208;"P40227";"TCPZ_HUMAN";"T-complex protein 1 subunit zeta";"CCT6A";5;7;0,000780211246496603;4;3;4;3;0,00106771232364972;0,000804521097802504;"cytosol, chaperonin-containing T-complex, zona pellucida receptor complex, acrosomal vesicle, extracellular vesicular exosome, cell body, microtubule";"unfolded protein binding, poly(A) RNA binding, ATP binding"
"139";"P40925";209;209;"P40925-1";"MDHC_HUMAN";"Malate dehydrogenase, cytoplasmic";"MDH1";5;8;0,00141759511339503;2;4;2;6;NA;NA;"centrosome, cytosol, mitochondrion, extracellular vesicular exosome, extracellular space";"diiodophenylpyruvate reductase activity, malic enzyme activity, NAD binding, L-malate dehydrogenase activity"
