"";"protein.acs";"X";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768";"Go.Cc"
"88";"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";9;18;0,00173074219908048;4;8;6;12;0,00139003579243894;0,00276215395518144;"extracellular vesicular exosome, cell surface, endoplasmic reticulum lumen, midbody, integral component of endoplasmic reticulum membrane, melanosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum chaperone complex, nucleus"
"89";"P11142";"P11142-1";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";15;42;0,00510814687544035;11;12;21;21;NA;NA;"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleolus, ribonucleoprotein complex, extracellular vesicular exosome, Prp19 complex, cytosol, melanosome, spliceosomal complex, plasma membrane, blood microparticle"
"90";"P11413";"P11413-1,P11413-2,P11413-3";"P11413-1,P11413-2,P11413-3";"G6PD_HUMAN";"Glucose-6-phosphate 1-dehydrogenase";"G6PD";2;2;7,6614363733647e-05;2;NA;2;NA;NA;NA;"nucleus, extracellular vesicular exosome, intracellular membrane-bounded organelle, cytoplasmic side of plasma membrane, cytosol, centrosome"
"91";"P11498";"P11498";"P11498";"PYC_HUMAN";"Pyruvate carboxylase, mitochondrial";"PC";35;102;0,00512464243666614;28;25;42;60;0,00505350599364091;0,00725298307186977;"cytosol, mitochondrial matrix, mitochondrial inner membrane"
"92";"P11586";"P11586";"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";4;11;0,000696289364520498;4;4;5;6;0,000757961555959892;0,000913798295044127;"extracellular vesicular exosome, mitochondrion, cytosol"
"93";"P11940";"P11940-1,P11940-2";"P11940-1,P11940-2";"PABP1_HUMAN";"Polyadenylate-binding protein 1";"PABPC1";7;13;0,000604874015562225;7;2;9;4;NA;NA;"cytosol, catalytic step 2 spliceosome, cytoplasmic stress granule"
"94";"P12004";"P12004";"P12004";"PCNA_HUMAN";"Proliferating cell nuclear antigen";"PCNA";2;2;0,00045352180830837;NA;2;NA;2;NA;0,00109118953495052;"extracellular vesicular exosome, PCNA complex, nucleoplasm, microtubule cytoskeleton, cytoplasm, DNA replication factor C complex, nuclear replication fork, PCNA-p21 complex"
"95";"P12035";"P12035";"P12035";"K2C3_HUMAN";"Keratin, type II cytoskeletal 3";"KRT3";0;0;0;0;0;0;0;0;0;"keratin filament"
"96";"P12814";"P12814-1,P12814-2,P12814-3";"P12814-1,P12814-2,P12814-3";"ACTN1_HUMAN";"Alpha-actinin-1";"ACTN1";1;1;3,31752219642614e-05;1;NA;1;NA;NA;NA;"fascia adherens, ruffle, pseudopodium, Z disc, plasma membrane, extracellular vesicular exosome, focal adhesion, cytosol, nucleus, cytoskeleton, platelet alpha granule lumen, dendritic spine"
"97";"P12956";"P12956";"P12956";"XRCC6_HUMAN";"X-ray repair cross-complementing protein 6";"XRCC6";7;11;0,00106901569101259;5;4;6;5;0,00139644148733497;0,00116913164458985;"membrane, Ku70:Ku80 complex, nonhomologous end joining complex, cytosol, nuclear telomere cap complex, nucleolus, transcription factor complex, nucleoplasm"
"98";"P13010";"P13010";"P13010";"XRCC5_HUMAN";"X-ray repair cross-complementing protein 5";"XRCC5";1;1;8,08532732025168e-05;1;NA;1;NA;0,000193632255415983;NA;"nonhomologous end joining complex, Ku70:Ku80 complex, nuclear telomere cap complex, cytosol, nucleoplasm"
"99";"P13164";"P13164,Q01628,Q01629";"P13164,Q01628,Q01629";"IFM1_HUMAN, IFM2_HUMAN, IFM3_HUMAN";"Interferon-induced transmembrane protein 1, Interferon-induced transmembrane protein 2, Interferon-induced transmembrane protein 3";"IFITM1, IFITM2, IFITM3";1;3;0,00045526612295571;1;1;2;1;0,000726865697253845;0,000365128805925752;"plasma membrane, integral component of membrane"
"100";"P13489";"P13489";"P13489";"RINI_HUMAN";"Ribonuclease inhibitor";"RNH1";1;2;0,000256766143098665;1;1;1;1;0,000307459459792841;0,000308894217594454;"cytoplasm, angiogenin-PRI complex, extracellular vesicular exosome"
"101";"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";17;58;0,0040008235047623;15;13;28;30;0,00462550898252447;0,0049790291717148;"polysome, ribonucleoprotein complex, extracellular vesicular exosome, cytosol"
"102";"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";25;161;0,0193995681657119;24;23;72;89;0,0203038746156855;0,0263328616012515;"cytoplasm, extracellular space, keratin filament, intermediate filament, extracellular vesicular exosome"
"103";"P13646";"P13646-1,P13646-3";"P13646-1,P13646-3";"K1C13_HUMAN";"Keratin, type I cytoskeletal 13";"KRT13";0;0;0;0;0;0;0;NA;NA;"extracellular vesicular exosome, keratin filament"
"104";"P13647";"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";11;29;0,00520398161012174;7;11;11;18;0,00508609985534446;0,00736964844515837;"keratin filament, cytosol, plasma membrane, extracellular vesicular exosome, mitochondrion"
"105";"P13667";"P13667";"P13667";"PDIA4_HUMAN";"Protein disulfide-isomerase A4";"PDIA4";2;2;0,000183518127082922;NA;2;NA;2;NA;0,000441551114142769;"melanosome, endoplasmic reticulum lumen, cell surface"
"106";"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";16;36;0,00339815862110482;11;13;18;18;0,00406905677410047;0,00408804500414478;"extracellular vesicular exosome, actin filament, actin filament bundle, ruffle membrane, phagocytic cup, plasma membrane, filopodium, focal adhesion, cytosol, ruffle, extracellular space"
"107";"P14324";"P14324";"P14324";"FPPS_HUMAN";"Farnesyl pyrophosphate synthase";"FDPS";2;2;0,000282504038110942;NA;2;NA;2;NA;0,000679714722248416;"cytosol, nucleus, mitochondrion"
"108";"P14618";"P14618-1";"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";26;106;0,0122562957627223;20;23;39;67;NA;NA;"cytosol, mitochondrion, plasma membrane, nucleus, extracellular vesicular exosome, cilium"
"109";"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";8;16;0,00128896916157868;8;3;11;5;0,0020340860020998;0,00100758684981775;"cytosol, melanosome, midbody, extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum membrane, endocytic vesicle lumen, endoplasmic reticulum lumen, plasma membrane"
"110";"P14868";"P14868";"P14868";"SYDC_HUMAN";"Aspartate--tRNA ligase, cytoplasmic";"DARS";3;3;0,000354398778348756;3;NA;3;NA;0,000848735394997004;NA;"extracellular vesicular exosome, cytosol"
"111";"P15311";"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";3;5;0,000632563941272214;2;1;3;2;0,000953272468843755;0,00057437264847768;"cortical cytoskeleton, astrocyte projection, Schwann cell microvillus, nucleolus, cytosol, actin filament, uropod, microvillus, T-tubule, cell body, microspike, extracellular vesicular exosome, extrinsic component of membrane, ruffle membrane, ruffle, filopodium, microvillus membrane, apical plasma membrane, membrane raft, basolateral plasma membrane, cell tip, apical part of cell"
"112";"P15531";"P15531-1,P15531-2";"P15531-1,P15531-2";"NDKA_HUMAN";"Nucleoside diphosphate kinase A";"NME1";3;10;0,00194686171000797;3;2;8;2;NA;NA;"perinuclear region of cytoplasm, centrosome, ruffle membrane, nucleus, cytosol"
"113";"P15880";"P15880";"P15880";"RS2_HUMAN";"40S ribosomal protein S2";"RPS2";9;19;0,00383790895460957;7;5;11;8;0,00532125228876961;0,00388806100507968;"cytosolic small ribosomal subunit, extracellular vesicular exosome, nucleoplasm"
"114";"P16070";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"P16070-1,P16070-10,P16070-11,P16070-12,P16070-13,P16070-14,P16070-16,P16070-17,P16070-18,P16070-3,P16070-4,P16070-5,P16070-6,P16070-7,P16070-8";"CD44_HUMAN";"CD44 antigen";"CD44";4;10;5,31757376318439e-05;4;3;6;4;NA;NA;"extracellular vesicular exosome, integral component of plasma membrane, basolateral plasma membrane, external side of plasma membrane, cell surface"
"115";"P16150";"P16150";"P16150";"LEUK_HUMAN";"Leukosialin";"SPN";4;28;0,00414292171889696;4;3;14;14;0,00496085838375749;0,00498400820088651;"integral component of plasma membrane, uropod, cell surface, basement membrane, extracellular space, external side of plasma membrane, extracellular vesicular exosome"
"116";"P16152";"O75828,P16152";"O75828,P16152";"CBR1_HUMAN, CBR3_HUMAN";"Carbonyl reductase [NADPH] 1, Carbonyl reductase [NADPH] 3";"CBR1, CBR3";1;3;0,000320494202080734;1;1;1;2;0,000255846229177797;0,000514080268270914;"extracellular vesicular exosome, cytosol"
"117";"P16402";"P16402";"P16402";"H13_HUMAN";"Histone H1.3";"HIST1H1D";1;2;0,00267803601738653;1;1;1;1;0,00256540834324886;0,00451041466143576;"nucleosome, nuclear chromatin"
"118";"P16615";"P16615-1,P16615-2,P16615-3,P16615-4,P16615-5";"P16615-1,P16615-2,P16615-3,P16615-4,P16615-5";"AT2A2_HUMAN";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2";"ATP2A2";3;3;3,40794218719246e-05;NA;3;NA;3;NA;NA;"platelet dense tubular network membrane, integral component of plasma membrane, sarcoplasmic reticulum membrane"
"119";"P16949";"P16949-1,P16949-2";"P16949-1,P16949-2";"STMN1_HUMAN";"Stathmin";"STMN1";2;2;0,000397212053585519;NA;2;NA;2;NA;NA;"membrane, microtubule, intracellular, cytosol, extracellular vesicular exosome"
"120";"P16989";"P16989-1,P16989-2";"P16989-1,P16989-2";"DBPA_HUMAN";"DNA-binding protein A";"CSDA";2;2;0,000245879308829941;0;2;0;2;NA;NA;"nucleus, tight junction, perinuclear region of cytoplasm, polysome"
"121";"P17066";"P17066";"P17066";"HSP76_HUMAN";"Heat shock 70 kDa protein 6";"HSPA6";0;0;0;0;0;0;0;0;0;"blood microparticle, extracellular vesicular exosome"
"122";"P17813";"P17813-1,P17813-2";"P17813-1,P17813-2";"EGLN_HUMAN";"Endoglin";"ENG";1;1;4,49730972524638e-05;NA;1;NA;1;NA;NA;"endothelial microparticle, extracellular space, external side of plasma membrane, transforming growth factor beta receptor homodimeric complex, cytoplasm, nucleus, cell surface"
"123";"P17844";"P17844";"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";5;13;0,0016916769699079;5;3;8;5;0,00246234633597394;0,00159446516431339;"catalytic step 2 spliceosome, extracellular vesicular exosome, nucleolus"
"124";"P17858";"P17858-1,P17858-2";"P17858-1,P17858-2";"K6PL_HUMAN";"6-phosphofructokinase, liver type";"PFKL";1;1;7,5877687159285e-05;1;0;1;0;NA;NA;"6-phosphofructokinase complex, extracellular vesicular exosome"
"125";"P17987";"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";4;6;0,000638682690477435;4;NA;6;NA;0,00152955551400539;NA;"cell body, plasma membrane, Golgi apparatus, chaperonin-containing T-complex, extracellular vesicular exosome, nuclear heterochromatin, nucleus, microtubule, zona pellucida receptor complex, cytosol, cell junction, centrosome, acrosomal vesicle, pericentriolar material"
"126";"P18077";"P18077";"P18077";"RL35A_HUMAN";"60S ribosomal protein L35a";"RPL35A";3;8;0,00430433425339944;3;2;5;3;0,00644267322565908;0,00388364275393754;"cytosolic large ribosomal subunit, extracellular vesicular exosome"
"127";"P18124";"P18124";"P18124";"RL7_HUMAN";"60S ribosomal protein L7";"RPL7";7;12;0,00286377077343108;6;3;8;4;0,00457221970853225;0,00229677797275876;"cytosolic large ribosomal subunit"
"128";"P18465";"P10319,P18465";"P10319,P18465";"1B57_HUMAN, 1B58_HUMAN";"HLA class I histocompatibility antigen, B-57 alpha chain, HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA;"ER to Golgi transport vesicle membrane, phagocytic vesicle membrane, early endosome membrane, integral component of lumenal side of endoplasmic reticulum membrane, Golgi membrane, cell surface, MHC class I protein complex"
"129";"P18621";"P18621";"P18621";"RL17_HUMAN";"60S ribosomal protein L17";"RPL17";3;9;0,00289489871662055;2;3;4;5;0,00308127849922825;0,00386957158453922;"cytosolic large ribosomal subunit"
"130";"P18669";"P18669";"P18669";"PGAM1_HUMAN";"Phosphoglycerate mutase 1";"PGAM1";3;4;0,000932040881641611;2;2;2;2;0,00111605362964173;0,00112126168748853;"cytosol, extracellular vesicular exosome"
"131";"P19013";"P19013";"P19013";"K2C4_HUMAN";"Keratin, type II cytoskeletal 4";"KRT4";0;0;0;0;0;0;0;0;0;"keratin filament, intermediate filament"
"132";"P19338";"P19338";"P19338";"NUCL_HUMAN";"Nucleolin";"NCL";27;70;0,00583510101253093;25;19;43;27;0,00858418150911759;0,00541522017802558;"ribonucleoprotein complex, nucleoplasm, extracellular vesicular exosome, nucleolus, cell cortex"
"133";"P20042";"P20042";"P20042";"IF2B_HUMAN";"Eukaryotic translation initiation factor 2 subunit 2";"EIF2S2";4;5;0,000888657597360996;3;2;3;2;0,0012769262249054;0,000855256662528788;"eukaryotic translation initiation factor 2 complex, cytosol"
"134";"P20231";"P20231,Q15661-1,Q15661-2";"P20231,Q15661-1,Q15661-2";"TRYB1_HUMAN, TRYB2_HUMAN";"Tryptase alpha/beta-1, Tryptase beta-2";"TPSAB1, TPSB2";2;2;0,000143477808446648;2;NA;2;NA;0,00103082771610545;NA;"extracellular region"
"135";"P20618";"P20618";"P20618";"PSB1_HUMAN";"Proteasome subunit beta type-1";"PSMB1";1;1;0,000245579236449138;1;NA;1;NA;0,000588127846325725;NA;"proteasome core complex, extracellular vesicular exosome, nucleoplasm, cytosol"
"136";"P20700";"P20700";"P20700";"LMNB1_HUMAN";"Lamin-B1";"LMNB1";6;12;0,00121197124882407;6;NA;12;NA;0,00290250124841979;NA;"lamin filament, nuclear envelope, nucleoplasm, nuclear inner membrane"
"137";"P20701";"P20701-1,P20701-2,P20701-3";"P20701-1,P20701-2,P20701-3";"ITAL_HUMAN";"Integrin alpha-L";"ITGAL";2;2;3,37234165152378e-05;NA;2;NA;2;NA;NA;"integrin complex, immunological synapse, extracellular vesicular exosome, external side of plasma membrane"
"138";"P21281";"P21281";"P21281";"VATB2_HUMAN";"V-type proton ATPase subunit B, brain isoform";"ATP6V1B2";1;1;0,000115821127170729;1;NA;1;NA;0,0002773753639227;NA;"integral component of membrane, microvillus, cytosol, lysosomal membrane, melanosome, extracellular vesicular exosome, plasma membrane, proton-transporting V-type ATPase, V1 domain, Golgi apparatus"
"139";"P21291";"P21291";"P21291";"CSRP1_HUMAN";"Cysteine and glycine-rich protein 1";"CSRP1";2;3;0,000919967813226564;1;2;1;2;0,000734397984272019;0,00147565009648749;"extracellular vesicular exosome, nucleus"
"140";"P21333";"P21333-1,P21333-2";"P21333-1,P21333-2";"FLNA_HUMAN";"Filamin-A";"FLNA";14;27;0,000301848147256241;10;11;14;13;NA;NA;"cytosol, plasma membrane, dendritic shaft, nucleus, cortical cytoskeleton, actin filament, perinuclear region of cytoplasm, apical dendrite, extracellular vesicular exosome, trans-Golgi network, Myb complex, actin cytoskeleton, neuronal cell body"
"141";"P21796";"P21796";"P21796";"VDAC1_HUMAN";"Voltage-dependent anion-selective channel protein 1";"VDAC1";3;5;0,00197514356445253;1;2;1;4;0,00250421927499116;0,0030190862398101;"mitochondrial outer membrane, mitochondrial inner membrane, pore complex, extracellular vesicular exosome, mitochondrial nucleoid, plasma membrane"
"142";"P22102";"P22102-1";"P22102-1";"PUR2_HUMAN";"Trifunctional purine biosynthetic protein adenosine-3";"GART";3;4;0,000234394439541554;NA;3;NA;4;NA;NA;"cytosol, extracellular vesicular exosome"
"143";"P22234";"P22234-1,P22234-2";"P22234-1,P22234-2";"PUR6_HUMAN";"Multifunctional protein ADE2";"PAICS";4;6;0,000417773618712299;NA;4;NA;6;NA;NA;"extracellular vesicular exosome, cytosol"
"144";"P22314";"P22314";"P22314";"UBA1_HUMAN";"Ubiquitin-like modifier-activating enzyme 1";"UBA1";18;43;0,00240542308820645;14;12;25;18;0,00334921576003071;0,00242268829640716;"extracellular vesicular exosome"
"145";"P22626";"P22626-1,P22626-2";"P22626-1,P22626-2";"ROA2_HUMAN";"Heterogeneous nuclear ribonucleoproteins A2/B1";"HNRNPA2B1";4;6;0,000526936912850397;3;3;3;3;NA;NA;"nucleoplasm, cytoplasm, nucleolus, catalytic step 2 spliceosome"
"146";"P22695";"P22695";"P22695";"QCR2_HUMAN";"Cytochrome b-c1 complex subunit 2, mitochondrial";"UQCRC2";4;6;0,000783901933566123;4;NA;6;NA;0,00187733524456291;NA;"mitochondrial respiratory chain complex III, mitochondrial inner membrane"
"147";"P23193";"P23193-1,P23193-2";"P23193-1,P23193-2";"TCEA1_HUMAN";"Transcription elongation factor A protein 1";"TCEA1";2;4;0,000393253129463404;NA;2;NA;4;NA;NA;"nucleolus, nucleoplasm"
"148";"P23246";"P23246-1";"P23246-1";"SFPQ_HUMAN";"Splicing factor, proline- and glutamine-rich";"SFPQ";9;12;0,00104318404411351;8;2;10;2;NA;NA;"paraspeckles, nuclear matrix, cytoplasm"
"149";"P23284";"P23284";"P23284";"PPIB_HUMAN";"Peptidyl-prolyl cis-trans isomerase B";"PPIB";5;13;0,00356203586942199;3;5;6;7;0,00393718919345833;0,00461482240822825;"endoplasmic reticulum lumen, extracellular vesicular exosome, melanosome, macromolecular complex"
"150";"P23396";"P23396";"P23396";"RS3_HUMAN";"40S ribosomal protein S3";"RPS3";9;20;0,00487116016331212;7;7;10;10;0,00583287287919752;0,00586009194695651;"ruffle membrane, nucleus, extracellular vesicular exosome, cytosolic small ribosomal subunit"
"151";"P23528";"P23528";"P23528";"COF1_HUMAN";"Cofilin-1";"CFL1";10;32;0,0114090787439503;8;8;18;14;0,0153692686588012;0,0120096583153892;"ruffle membrane, extracellular space, cytoplasm, extracellular vesicular exosome, nucleus, cortical actin cytoskeleton, lamellipodium membrane, nuclear matrix"
"152";"P23588";"P23588";"P23588";"IF4B_HUMAN";"Eukaryotic translation initiation factor 4B";"EIF4B";3;4;0,000387460530175072;3;NA;4;NA;0,000927913656068738;NA;"cytosol, eukaryotic translation initiation factor 4F complex"
"153";"P24752";"P24752";"P24752";"THIL_HUMAN";"Acetyl-CoA acetyltransferase, mitochondrial";"ACAT1";5;10;0,00138605611204315;2;4;4;6;0,00132776403713817;0,00200094006057672;"mitochondrial matrix, mitochondrial inner membrane, extracellular vesicular exosome"
"154";"P25205";"P25205";"P25205";"MCM3_HUMAN";"DNA replication licensing factor MCM3";"MCM3";5;9;0,00065923436121062;2;4;2;7;0,000350838641001237;0,00123366539625904;"nucleoplasm, perinuclear region of cytoplasm, centrosome, alpha DNA polymerase:primase complex, MCM complex"
"155";"P25705";"P25705";"P25705";"ATPA_HUMAN";"ATP synthase subunit alpha, mitochondrial";"ATP5A1";11;30;0,00321073757599868;9;9;15;15;0,00384463320880198;0,00386257416756898;"mitochondrial matrix, plasma membrane, mitochondrial proton-transporting ATP synthase complex, proton-transporting ATP synthase complex, catalytic core F(1), extracellular vesicular exosome"
"156";"P25786";"P25786-1,P25786-2";"P25786-1,P25786-2";"PSA1_HUMAN";"Proteasome subunit alpha type-1";"PSMA1";3;3;0,00033755472994815;NA;3;NA;3;NA;NA;"centrosome, extracellular vesicular exosome, proteasome core complex, alpha-subunit complex, cytosol, nucleoplasm, proteasome core complex, polysome"
"157";"P26038";"P26038";"P26038";"MOES_HUMAN";"Moesin";"MSN";28;90;0,0115637512175725;24;21;48;42;0,0154902645890451;0,01224996501242;"apical plasma membrane, apical part of cell, basolateral plasma membrane, filopodium, microvillus membrane, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleolus, uropod, extrinsic component of membrane, plasma membrane, microvillus, blood microparticle"
"158";"P26373";"P26373";"P26373";"RL13_HUMAN";"60S ribosomal protein L13";"RPL13";8;23;0,00645140145799798;7;6;13;10;0,00873272295041941;0,00674882627066555;"cytosolic large ribosomal subunit"
"159";"P26583";"P26583";"P26583";"HMGB2_HUMAN";"High mobility group protein B2";"HMGB2";6;10;0,00292944708715933;5;2;8;2;0,00542540903213396;0,00145352711258481;"extracellular space, nucleoplasm, condensed chromosome, perinuclear region of cytoplasm, protein complex"
"160";"P26599";"P26599-1,P26599-2,P26599-3";"P26599-1,P26599-2,P26599-3";"PTBP1_HUMAN";"Polypyrimidine tract-binding protein 1";"PTBP1";2;3;0,000111458749499515;2;NA;3;NA;NA;NA;"nucleoplasm, nucleolus, extracellular vesicular exosome"
"161";"P26641";"P26641";"P26641";"EF1G_HUMAN";"Elongation factor 1-gamma";"EEF1G";6;17;0,00230237558748769;6;3;9;8;0,00291910594663729;0,00260686927800537;"cytosol, eukaryotic translation elongation factor 1 complex"
"162";"P27348";"P27348";"P27348";"1433T_HUMAN";"14-3-3 protein theta";"YWHAQ";8;19;0,00552301233433543;5;5;10;9;0,00715740201887714;0,00612413153035049;"cytosol, protein complex, extracellular vesicular exosome, cytoplasmic vesicle membrane"
"163";"P27635";"P27635";"P27635";"RL10_HUMAN";"60S ribosomal protein L10";"RPL10";5;18;0,00497814358745963;5;4;10;8;0,00662330892357475;0,00532337324527264;"endoplasmic reticulum, cytosolic large ribosomal subunit"
"164";"P27695";"P27695";"P27695";"APEX1_HUMAN";"DNA-(apurinic or apyrimidinic site) lyase";"APEX1";2;2;0,000372230163422908;2;NA;2;NA;0,00089143906266981;NA;"endoplasmic reticulum, ribosome, nuclear speck, centrosome, mitochondrion, nucleolus, transcription factor complex, perinuclear region of cytoplasm"
"165";"P27708";"P27708";"P27708";"PYR1_HUMAN";"CAD protein";"CAD";2;2;5,31996368397684e-05;2;NA;2;NA;0,000127405672777078;NA;"neuronal cell body, terminal bouton, nuclear matrix, protein complex, extracellular vesicular exosome, cytosol"
"166";"P27797";"P27797";"P27797";"CALR_HUMAN";"Calreticulin";"CALR";3;3;0,00042578846031829;3;NA;3;NA;0,0010197036760036;NA;"endocytic vesicle lumen, acrosomal vesicle, nucleus, cytosol, extracellular space, endoplasmic reticulum lumen, perinuclear region of cytoplasm, Golgi apparatus, external side of plasma membrane, sarcoplasmic reticulum lumen, proteinaceous extracellular matrix, polysome, MHC class I peptide loading complex, extracellular vesicular exosome, cell surface, integral component of lumenal side of endoplasmic reticulum membrane"
"167";"P27816";"P27816-1,P27816-6";"P27816-1,P27816-6";"MAP4_HUMAN";"Microtubule-associated protein 4";"MAP4";5;10;0,000256877586737163;5;3;7;3;NA;NA;"microtubule associated complex, microtubule, mitotic spindle, cytoplasm, plasma membrane"
"168";"P27824";"P27824";"P27824";"CALX_HUMAN";"Calnexin";"CANX";8;19;0,00189950561435913;7;3;14;5;0,00335193134037668;0,00120270468168111;"melanosome, endoplasmic reticulum lumen, dendritic spine, protein complex, neuronal cell body, ribosome, dendrite cytoplasm, integral component of lumenal side of endoplasmic reticulum membrane, axon"
"169";"P28074";"P28074-1";"P28074-1";"PSB5_HUMAN";"Proteasome subunit beta type-5";"PSMB5";2;2;0,0004500729732642;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, cytosol, nucleoplasm, proteasome core complex"
"170";"P29401";"P29401";"P29401";"TKT_HUMAN";"Transketolase";"TKT";6;11;0,00104499286649545;6;3;8;3;0,00182008103967255;0,000685715414017864;"extracellular vesicular exosome, cytosol, nucleus, peroxisome"
"171";"P29692";"P29692-1,P29692-2,P29692-3";"P29692-1,P29692-2,P29692-3";"EF1D_HUMAN";"Elongation factor 1-delta";"EEF1D";2;2;0,000140414225348143;2;NA;2;NA;NA;NA;"nucleus, eukaryotic translation elongation factor 1 complex, cytosol"
"172";"P29966";"P29966";"P29966";"MARCS_HUMAN";"Myristoylated alanine-rich C-kinase substrate";"MARCKS";4;9;0,00160440169836801;2;4;2;7;0,000853848258822288;0,0030024145788473;"plasma membrane, extracellular vesicular exosome, centrosome, cell cortex, actin cytoskeleton, germinal vesicle"
"173";"P30040";"P30040";"P30040";"ERP29_HUMAN";"Endoplasmic reticulum resident protein 29";"ERP29";2;2;0,00045352180830837;NA;2;NA;2;NA;0,00109118953495052;"melanosome, cell surface, endoplasmic reticulum lumen, endoplasmic reticulum"
"174";"P30041";"P30041";"P30041";"PRDX6_HUMAN";"Peroxiredoxin-6";"PRDX6";4;10;0,00264216946358225;3;3;5;5;0,0031638127447433;0,00317857665872864;"extracellular space, cytosol, extracellular vesicular exosome, cytoplasmic membrane-bounded vesicle, lysosome"
"175";"P30050";"P30050-1";"P30050-1";"RL12_HUMAN";"60S ribosomal protein L12";"RPL12";4;13;0,00466302877451606;2;4;4;9;NA;NA;"extracellular vesicular exosome, cytosolic large ribosomal subunit"
"176";"P30086";"P30086";"P30086";"PEBP1_HUMAN";"Phosphatidylethanolamine-binding protein 1";"PEBP1";4;11;0,00348144682260249;3;3;6;5;0,00454776933575935;0,0038074928960172;"extracellular vesicular exosome, cytoplasm"
"177";"P30101";"P30101";"P30101";"PDIA3_HUMAN";"Protein disulfide-isomerase A3";"PDIA3";10;25;0,00292993049426942;9;8;16;9;0,00449073460481583;0,00253782595801859;"endoplasmic reticulum lumen, cell surface, melanosome, extracellular vesicular exosome"
"178";"P30536";"P30536-1";"P30536-1";"TSPOA_HUMAN";"Translocator protein";"TSPO";2;2;0,000700409419931862;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, integral component of membrane, mitochondrial outer membrane"
"179";"P30613";"P30613-1,P30613-2";"P30613-1,P30613-2";"KPYR_HUMAN";"Pyruvate kinase isozymes R/L";"PKLR";1;1;5,34817981231145e-05;1;0;1;0;NA;NA;"extracellular vesicular exosome, cytosol"
"180";"P31146";"P31146";"P31146";"COR1A_HUMAN";"Coronin-1A";"CORO1A";9;23;0,00295281064563465;6;7;9;14;0,00276713513813557;0,00432451904632235;"phagocytic cup, immunological synapse, phagocytic vesicle, extracellular vesicular exosome, phagocytic vesicle membrane, cortical actin cytoskeleton, lamellipodium, actin filament"
"181";"P31689";"P31689";"P31689";"DNJA1_HUMAN";"DnaJ homolog subfamily A member 1";"DNAJA1";2;2;0,000298159173724143;2;NA;2;NA;0,000714049425513852;NA;"extracellular vesicular exosome, membrane"
"182";"P31930";"P31930";"P31930";"QCR1_HUMAN";"Cytochrome b-c1 complex subunit 1, mitochondrial";"UQCRC1";3;4;0,000493204966535353;2;2;2;2;0,000590578379018749;0,000593334309629347;"mitochondrial respiratory chain complex III, mitochondrial respiratory chain"
"183";"P31943";"P31943";"P31943";"HNRH1_HUMAN";"Heterogeneous nuclear ribonucleoprotein H";"HNRNPH1";4;8;0,00105451395963015;3;3;5;3;0,00157838319559577;0,00095144922702256;"cytoplasm, catalytic step 2 spliceosome, nucleoplasm, actin cytoskeleton"
"184";"P31946";"P31946-1,P31946-2";"P31946-1,P31946-2";"1433B_HUMAN";"14-3-3 protein beta/alpha";"YWHAB";4;8;0,00115801285572288;2;3;3;5;NA;NA;"melanosome, perinuclear region of cytoplasm, extracellular vesicular exosome, cytosol, cytoplasmic vesicle membrane, transcriptional repressor complex"
"185";"P31948";"P31948";"P31948";"STIP1_HUMAN";"Stress-induced-phosphoprotein 1";"STIP1";4;4;0,00043598229085998;4;NA;4;NA;0,00104411647119337;NA;"Golgi apparatus, nucleus"
"186";"P32119";"P32119-1";"P32119-1";"PRDX2_HUMAN";"Peroxiredoxin-2";"PRDX2";4;11;0,00356786571536212;4;2;7;4;NA;NA;"cytosol, cytoplasm, extracellular vesicular exosome"
