"";"X";"protein.g";"protein.acs";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768"
"267";"P13667";"P13667";"P13667";"PDIA4_HUMAN";"Protein disulfide-isomerase A4";"PDIA4";2;2;0,000183518127082922;NA;2;NA;2;NA;0,000441551114142769
"268";"P14324";"P14324";"P14324";"FPPS_HUMAN";"Farnesyl pyrophosphate synthase";"FDPS";2;2;0,000282504038110942;NA;2;NA;2;NA;0,000679714722248416
"269";"P16615-1,P16615-2,P16615-3,P16615-4,P16615-5";"P16615-1,P16615-2,P16615-3,P16615-4,P16615-5";"P16615";"AT2A2_HUMAN";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2";"ATP2A2";3;3;3,40794218719246e-05;NA;3;NA;3;NA;NA
"272";"P20701-1,P20701-2,P20701-3";"P20701-1,P20701-2,P20701-3";"P20701";"ITAL_HUMAN";"Integrin alpha-L";"ITGAL";2;2;3,37234165152378e-05;NA;2;NA;2;NA;NA
"275";"P26599-1,P26599-2,P26599-3";"P26599-1,P26599-2,P26599-3";"P26599";"PTBP1_HUMAN";"Polypyrimidine tract-binding protein 1";"PTBP1";2;3;0,000111458749499515;2;NA;3;NA;NA;NA
"277";"P27708";"P27708";"P27708";"PYR1_HUMAN";"CAD protein";"CAD";2;2;5,31996368397684e-05;2;NA;2;NA;0,000127405672777078;NA
"278";"P28074-1";"P28074-1";"P28074";"PSB5_HUMAN";"Proteasome subunit beta type-5";"PSMB5";2;2;0,0004500729732642;2;NA;2;NA;NA;NA
"281";"P30536-1";"P30536-1";"P30536";"TSPOA_HUMAN";"Translocator protein";"TSPO";2;2;0,000700409419931862;2;NA;2;NA;NA;NA
"282";"P31689";"P31689";"P31689";"DNJA1_HUMAN";"DnaJ homolog subfamily A member 1";"DNAJA1";2;2;0,000298159173724143;2;NA;2;NA;0,000714049425513852;NA
"286";"P36957";"P36957";"P36957";"ODO2_HUMAN";"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial";"DLST";2;4;0,000522601289044082;2;NA;4;NA;0,00125155682970861;NA
"289";"P41091,Q2VIR3-1";"P41091,Q2VIR3-1";"P41091";"IF2G_HUMAN, IF2GL_HUMAN";"Eukaryotic translation initiation factor 2 subunit 3, Putative eukaryotic translation initiation factor 2 subunit 3-like protein";"EIF2S3, EIF2S3L";2;2;0,000125391093186954;NA;2;NA;2;NA;0,000603390823351878
"291";"P42704";"P42704";"P42704";"LPPRC_HUMAN";"Leucine-rich PPR motif-containing protein, mitochondrial";"LRPPRC";2;4;0,000169826674273292;2;2;2;2;0,000203355539403873;0,000204304496859459
"293";"P47756-2";"P47756-2";"P47756";"CAPZB_HUMAN";"F-actin-capping protein subunit beta";"CAPZB";2;4;0,000854651205548625;2;2;2;2;NA;NA
"294";"P47914";"P47914";"P47914";"RL29_HUMAN";"60S ribosomal protein L29";"RPL29";2;9;0,00335007147080617;2;2;2;7;0,00178287812533962;0,00626919270551762
"296";"P51659";"P51659";"P51659";"DHB4_HUMAN";"Peroxisomal multifunctional enzyme type 2";"HSD17B4";2;2;0,000160827706478919;NA;2;NA;2;NA;0,000386957158453922
"299";"P52907";"P52907";"P52907";"CAZA1_HUMAN";"F-actin-capping protein subunit alpha-1";"CAPZA1";2;4;0,0008277565871922;2;2;2;2;0,000991180496255243;0,000995805834342959
"300";"P53396-1,P53396-2";"P53396-1,P53396-2";"P53396";"ACLY_HUMAN";"ATP-citrate synthase";"ACLY";2;4;0,000107510619408251;2;2;2;2;NA;NA
"302";"P60842,Q14240-1,Q14240-2";"P60842,Q14240-1,Q14240-2";"P60842";"IF4A1_HUMAN, IF4A2_HUMAN";"Eukaryotic initiation factor 4A-I, Eukaryotic initiation factor 4A-II";"EIF4A1, EIF4A2";2;4;0,00019404785568604;NA;2;NA;4;NA;0,00140295797350781
"307";"P62851";"P62851";"P62851";"RS25_HUMAN";"40S ribosomal protein S25";"RPS25";2;7;0,00331433737511757;2;2;2;5;0,002267820975432;0,00569600937244173
"308";"P62873,P62879,Q9HAV0";"P62873,P62879,Q9HAV0";"P62879";"GBB1_HUMAN, GBB2_HUMAN, GBB4_HUMAN";"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1, Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2, Guanine nucleotide-binding protein subunit beta-4";"GNB1, GNB2, GNB4";2;2;0,000116048227420083;2;NA;2;NA;0,000277919237185294;NA
"311";"P84085";"P84085";"P84085";"ARF5_HUMAN";"ADP-ribosylation factor 5";"ARF5";2;3;0,00155007275196825;0;2;0;3;0;0,00332267213392434
"312";"Q00688";"Q00688";"Q00688";"FKBP3_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP3";"FKBP3";2;2;0,000528433892716449;2;NA;2;NA;0,00126552509789732;NA
"314";"Q04837";"Q04837";"Q04837";"SSBP_HUMAN";"Single-stranded DNA-binding protein, mitochondrial";"SSBP1";2;4;0,00159958367524979;2;1;3;1;0,00287308400603716;0,000962163745344886
"315";"Q04917";"Q04917";"Q04917";"1433F_HUMAN";"14-3-3 protein eta";"YWHAH";2;3;0,000839049912581484;1;1;1;2;0,000664816186512663;0,00135538593038471
"316";"Q06187";"Q06187";"Q06187";"BTK_HUMAN";"Tyrosine-protein kinase BTK";"BTK";2;2;0,000179619411181312;2;NA;2;NA;0,00043016331096965;NA
"317";"Q07955-1";"Q07955-1";"Q07955";"SRSF1_HUMAN";"Serine/arginine-rich splicing factor 1";"SRSF1";2;2;0,00047729512890518;2;NA;2;NA;NA;NA
"318";"Q13148-1,Q13148-2";"Q13148-1,Q13148-2";"Q13148";"TADBP_HUMAN";"TAR DNA-binding protein 43";"TARDBP";2;2;0,000142957961314595;NA;2;NA;2;NA;NA
"319";"Q13200";"Q13200";"Q13200";"PSMD2_HUMAN";"26S proteasome non-ATPase regulatory subunit 2";"PSMD2";2;2;0,000130362546220798;2;NA;2;NA;0,00031220002415088;NA
"321";"Q13547,Q92769";"Q13547,Q92769";"Q92769";"HDAC1_HUMAN, HDAC2_HUMAN";"Histone deacetylase 1, Histone deacetylase 2";"HDAC1, HDAC2";2;2;0,000122030094812871;2;NA;2;NA;0,000292244971060824;NA
"322";"Q13765";"Q13765";"Q13765";"NACA_HUMAN";"Nascent polypeptide-associated complex subunit alpha";"NACA";2;6;0,0016516631437463;1;2;2;4;0,00131850056711163;0,00264930668485662
"324";"Q14157-1,Q14157-2,Q14157-3,Q14157-4,Q14157-5";"Q14157-1,Q14157-2,Q14157-3,Q14157-4,Q14157-5";"Q14157";"UBP2L_HUMAN";"Ubiquitin-associated protein 2-like";"UBAP2L";2;2;2,17790601597948e-05;2;NA;2;NA;NA;NA
"326";"Q15003";"Q15003";"Q15003";"CND2_HUMAN";"Condensin complex subunit 2";"NCAPH";2;2;0,000159742499282705;2;NA;2;NA;0,000382560893291497;NA
"328";"Q15643";"Q15643";"Q15643";"TRIPB_HUMAN";"Thyroid receptor-interacting protein 11";"TRIP11";2;2;5,98126285843783e-05;2;NA;2;NA;0,000143242861005053;NA
"330";"Q7Z5L9-1,Q7Z5L9-2";"Q7Z5L9-1,Q7Z5L9-2";"Q7Z5L9";"I2BP2_HUMAN";"Interferon regulatory factor 2-binding protein 2";"IRF2BP2";2;2;0,000100825546821537;NA;2;NA;2;NA;NA
"332";"Q8TEQ6";"Q8TEQ6";"Q8TEQ6";"GEMI5_HUMAN";"Gem-associated protein 5";"GEMIN5";2;2;7,84941591302948e-05;2;NA;2;NA;0,000187982507910477;NA
"333";"Q8TF72-1";"Q8TF72-1";"Q8TF72";"SHRM3_HUMAN";"Protein Shroom3";"SHROOM3";2;2;5,93032023890203e-05;2;NA;2;NA;NA;NA
"335";"Q92974-1,Q92974-2,Q92974-3";"Q92974-1,Q92974-2,Q92974-3";"Q92974";"ARHG2_HUMAN";"Rho guanine nucleotide exchange factor 2";"ARHGEF2";2;2;4,00166301448562e-05;2;NA;2;NA;NA;NA
"336";"Q99613";"Q99613";"Q99613";"EIF3C_HUMAN";"Eukaryotic translation initiation factor 3 subunit C";"EIF3C,EIF3CL";2;2;0,000129648622090345;2;NA;2;NA;0,000310490275935377;NA
"338";"Q99729-1,Q99729-2,Q99729-3,Q99729-4";"Q99729-1,Q99729-2,Q99729-3,Q99729-4";"Q99729";"ROAA_HUMAN";"Heterogeneous nuclear ribonucleoprotein A/B";"HNRNPAB";2;5;0,00022283356921778;NA;2;NA;5;NA;NA
"340";"Q9BVC6";"Q9BVC6";"Q9BVC6";"TM109_HUMAN";"Transmembrane protein 109";"TMEM109";2;2;0,000487116016331212;2;NA;2;NA;0,0011665745758395;NA
"341";"Q9BVG8-3";"Q9BVG8-3";"Q9BVG8";"KIFC3_HUMAN";"Kinesin-like protein KIFC3";"KIFC3";2;2;0,000142099870310306;NA;2;NA;2;NA;NA
"342";"Q9BXJ9-1,Q9BXJ9-4";"Q9BXJ9-1,Q9BXJ9-4";"Q9BXJ9";"NAA15_HUMAN";"N-alpha-acetyltransferase 15, NatA auxiliary subunit";"NAA15";2;2;6,83424895891943e-05;2;NA;2;NA;NA;NA
"343";"Q9BY77-1";"Q9BY77-1";"Q9BY77";"PDIP3_HUMAN";"Polymerase delta-interacting protein 3";"POLDIP3";4;7;0,000984066916602604;4;NA;7;NA;NA;NA
"344";"Q9H7E9-1,Q9H7E9-2";"Q9H7E9-1,Q9H7E9-2";"Q9H7E9";"CH033_HUMAN";"UPF0488 protein C8orf33";"C8orf33";2;2;0,000258448017398438;NA;2;NA;2;NA;NA
"345";"Q9NX63";"Q9NX63";"Q9NX63";"CHCH3_HUMAN";"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial";"CHCHD3";2;3;0,000782175277324788;2;NA;3;NA;0,00187320014490528;NA
"346";"Q9NYC9-1,Q9NYC9-2";"Q9NYC9-1,Q9NYC9-2";"Q9NYC9";"DYH9_HUMAN";"Dynein heavy chain 9, axonemal";"DNAH9";2;2;1,31931778832462e-05;2;NA;2;NA;NA;NA
"348";"Q9Y277-1,Q9Y277-2";"Q9Y277-1,Q9Y277-2";"Q9Y277";"VDAC3_HUMAN";"Voltage-dependent anion-selective channel protein 3";"VDAC3";2;4;0,000790057425781012;0;2;0;4;NA;NA
"349";"Q9Y3U8";"Q9Y3U8";"Q9Y3U8";"RL36_HUMAN";"60S ribosomal protein L36";"RPL36";2;9;0,00507296537007791;2;2;4;5;0,00539957375102856;0,0067809635386211
"350";"Q9Y5M8";"Q9Y5M8";"Q9Y5M8";"SRPRB_HUMAN";"Signal recognition particle receptor subunit beta";"SRPRB";2;2;0,00043678668623057;NA;2;NA;2;NA;0,00105092423845788
"351";"O00571-1,O00571-2";"O00571-1,O00571-2";"O00571";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";7;16;0,000715221703737067;7;4;9;7;NA;NA
"354";"O43242";"O43242";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";1;1;0,000110832576749517;NA;1;NA;1;NA;0,000266667105451392
"357";"O75369-1,O75369-2,O75369-3,O75369-6,O75369-7,O75369-8,O75369-9";"O75369-1,O75369-2,O75369-3,O75369-6,O75369-7,O75369-8,O75369-9";"O75369";"FLNB_HUMAN";"Filamin-B";"FLNB";6;6;1,94964080325823e-05;NA;6;NA;6;NA;NA
"358";"O75717";"O75717";"O75717";"WDHD1_HUMAN";"WD repeat and HMG-box DNA-binding protein 1";"WDHD1";1;1;5,24221399328984e-05;NA;1;NA;1;NA;0,000126129525519082
"359";"O75828,P16152";"O75828,P16152";"P16152";"CBR1_HUMAN, CBR3_HUMAN";"Carbonyl reductase [NADPH] 1, Carbonyl reductase [NADPH] 3";"CBR1, CBR3";1;3;0,000320494202080734;1;1;1;2;0,000255846229177797;0,000514080268270914
"360";"O95202-1";"O95202-1";"O95202";"LETM1_HUMAN";"LETM1 and EF-hand domain-containing protein 1, mitochondrial";"LETM1";1;1;8,00874099922088e-05;NA;1;NA;1;NA;NA
"362";"P02786";"P02786";"P02786";"TFR1_HUMAN";"Transferrin receptor protein 1";"TFRC";1;1;7,78744684003188e-05;1;NA;1;NA;0,000186498435479605;NA
"363";"P02795,P13640-1,P13640-2,P80297";"P02795,P13640-1,P13640-2,P80297";"P02795";"MT1G_HUMAN, MT1X_HUMAN, MT2_HUMAN";"Metallothionein-1G, Metallothionein-1X, Metallothionein-2";"MT1G, MT1X, MT2A";3;10;0,0024058778855383;2;3;4;6;0,0046471741299836;0,00700329021201852
"365";"P04908,P0C0S8,P20671,Q16777,Q6FI13,Q7L7L0,Q93077,Q96KK5,Q99878,Q9BTM1-1";"P04908,P0C0S8,P20671,Q16777,Q6FI13,Q7L7L0,Q93077,Q96KK5,Q99878,Q9BTM1-1";"P04908";"H2A1_HUMAN, H2A1B_HUMAN, H2A1C_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2A3_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-B/E, Histone H2A type 1-C, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A type 3, Histone H2A.J";"H2AFJ, HIST1H2AB,HIST1H2AE, HIST1H2AC, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AM,HIST1H2AL,HIST1H2AG,HIST1H2AI,HIST1H2AK, HIST2H2AA3,HIST2H2AA4, HIST2H2AC, HIST3H2A";3;10;0,000457377094159523;2;3;5;5;0,000608321077100857;0,000611159803910056
"367";"P05556-1";"P05556-1";"P05556";"ITB1_HUMAN";"Integrin beta-1";"ITGB1";1;2;0,000148332320762512;1;1;1;1;NA;NA
"368";"P05787";"P05787";"P05787";"K2C8_HUMAN";"Keratin, type II cytoskeletal 8";"KRT8";1;1;0,000145630196623395;1;0;1;0;0,000357917024382717;0
"369";"P08107-1,P08107-2";"P08107-1,P08107-2";"P08107";"HSP71_HUMAN";"Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A";2;4;0,000328680648186247;1;1;2;2;NA;NA
"370";"P10412";"P10412";"P10412";"H14_HUMAN";"Histone H1.4";"HIST1H1E";1;1;0,0013512464836585;1;0;1;0;0,0025888367299452;0
"372";"P13010";"P13010";"P13010";"XRCC5_HUMAN";"X-ray repair cross-complementing protein 5";"XRCC5";1;1;8,08532732025168e-05;1;NA;1;NA;0,000193632255415983;NA
"373";"P13164,Q01628,Q01629";"P13164,Q01628,Q01629";"P13164";"IFM1_HUMAN, IFM2_HUMAN, IFM3_HUMAN";"Interferon-induced transmembrane protein 1, Interferon-induced transmembrane protein 2, Interferon-induced transmembrane protein 3";"IFITM1, IFITM2, IFITM3";1;3;0,00045526612295571;1;1;2;1;0,000726865697253845;0,000365128805925752
"374";"P13489";"P13489";"P13489";"RINI_HUMAN";"Ribonuclease inhibitor";"RNH1";1;2;0,000256766143098665;1;1;1;1;0,000307459459792841;0,000308894217594454
"375";"P15531-1,P15531-2";"P15531-1,P15531-2";"P15531";"NDKA_HUMAN";"Nucleoside diphosphate kinase A";"NME1";3;10;0,00194686171000797;3;2;8;2;NA;NA
"376";"P16402";"P16402";"P16402";"H13_HUMAN";"Histone H1.3";"HIST1H1D";1;2;0,00267803601738653;1;1;1;1;0,00256540834324886;0,00451041466143576
"377";"P16989-1,P16989-2";"P16989-1,P16989-2";"P16989";"DBPA_HUMAN";"DNA-binding protein A";"CSDA";2;2;0,000245879308829941;0;2;0;2;NA;NA
"378";"P17813-1,P17813-2";"P17813-1,P17813-2";"P17813";"EGLN_HUMAN";"Endoglin";"ENG";1;1;4,49730972524638e-05;NA;1;NA;1;NA;NA
"379";"P17858-1,P17858-2";"P17858-1,P17858-2";"P17858";"K6PL_HUMAN";"6-phosphofructokinase, liver type";"PFKL";1;1;7,5877687159285e-05;1;0;1;0;NA;NA
"382";"P27816-1,P27816-6";"P27816-1,P27816-6";"P27816";"MAP4_HUMAN";"Microtubule-associated protein 4";"MAP4";5;10;0,000256877586737163;5;3;7;3;NA;NA
"383";"P30050-1";"P30050-1";"P30050";"RL12_HUMAN";"60S ribosomal protein L12";"RPL12";4;13;0,00466302877451606;2;4;4;9;NA;NA
"384";"P30613-1,P30613-2";"P30613-1,P30613-2";"P30613";"KPYR_HUMAN";"Pyruvate kinase isozymes R/L";"PKLR";1;1;5,34817981231145e-05;1;0;1;0;NA;NA
"385";"P31943";"P31943";"P31943";"HNRH1_HUMAN";"Heterogeneous nuclear ribonucleoprotein H";"HNRNPH1";4;8;0,00105451395963015;3;3;5;3;0,00157838319559577;0,00095144922702256
"386";"P33316-2,P33316-3";"P33316-2,P33316-3";"P33316";"DUT_HUMAN";"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial";"DUT";1;1;0,000117429753936989;1;NA;1;NA;NA;NA
"389";"P36639-1,P36639-2,P36639-3,P36639-4";"P36639-1,P36639-2,P36639-3,P36639-4";"P36639";"8ODP_HUMAN";"7,8-dihydro-8-oxoguanine triphosphatase";"NUDT1";1;1;7,51073553099522e-05;NA;1;NA;1;NA;NA
"390";"P37268";"P37268";"P37268";"FDFT_HUMAN";"Squalene synthase";"FDFT1";1;1;0,000141929486772763;NA;1;NA;1;NA;0,000341487372448545
"391";"P42166-1";"P42166-1";"P42166";"LAP2A_HUMAN";"Lamina-associated polypeptide 2, isoform alpha";"TMPO";1;1;0,000284267992239396;0;1;0;1;NA;NA
"392";"P42677";"P42677";"P42677";"RS27_HUMAN";"40S ribosomal protein S27";"RPS27";2;5;0,00352289261810966;2;2;2;3;0,00337473359439285;0,00508572265396583
"395";"P50502,Q8IZP2";"P50502,Q8IZP2";"P50502";"F10A1_HUMAN, ST134_HUMAN";"Hsc70-interacting protein, Putative protein FAM10A4";"ST13, ST13P4";4;13;0,0012633821802876;4;3;7;6;0,00162918173522413;0,00140295797350781
"396";"P55084";"P55084";"P55084";"ECHB_HUMAN";"Trifunctional enzyme subunit beta, mitochondrial";"HADHB";1;1;0,000124862016844393;NA;1;NA;1;NA;0,000300422435255365
"397";"P55884-1,P55884-2";"P55884-1,P55884-2";"P55884";"EIF3B_HUMAN";"Eukaryotic translation initiation factor 3 subunit B";"EIF3B";1;1;3,63541744374953e-05;NA;1;NA;1;NA;NA
"398";"P55957-1,P55957-2";"P55957-1,P55957-2";"P55957";"BID_HUMAN";"BH3-interacting domain death agonist";"BID";1;1;0,00015175537431857;NA;1;NA;1;NA;NA
"400";"P61019-1,P61019-2";"P61019-1,P61019-2";"P61019";"RAB2A_HUMAN";"Ras-related protein Rab-2A";"RAB2A";1;1;0,00013958631128359;NA;1;NA;1;NA;NA
"404";"P62273-1";"P62273-1";"P62273";"RS29_HUMAN";"40S ribosomal protein S29";"RPS29";2;5;0,00528433892716449;2;NA;5;NA;NA;NA
"405";"P62304";"P62304";"P62304";"RUXE_HUMAN";"Small nuclear ribonucleoprotein E";"SNRPE";1;1;0,000643310825915677;NA;1;NA;1;NA;0,00154782863381569
"407";"P62854";"P62854";"P62854";"RS26_HUMAN";"40S ribosomal protein S26";"RPS26";3;12;0,0061757839287905;3;3;6;6;0,00739506839814781;0,0074295774423153
"411";"P62942";"P62942";"P62942";"FKB1A_HUMAN";"Peptidyl-prolyl cis-trans isomerase FKBP1A";"FKBP1A";1;2;0,00109601103674523;1;NA;2;NA;0,00262479279563888;NA
"412";"P62987";"P62987";"P62987";"RL40_HUMAN";"Ubiquitin-60S ribosomal protein L40";"UBA52";5;23;0,0106347320909185;4;4;10;13;0,0110733446066015;0,0144625237972153
"413";"P68366";"P68366";"P68366";"TBA4A_HUMAN";"Tubulin alpha-4A chain";"TUBA4A";1;1;0,00739807449803029;0;1;0;1;NA;0,0111250183055502
"414";"P68371";"P68371";"P68371";"TBB4B_HUMAN";"Tubulin beta-4B chain";"TUBB4B";3;5;0,00352797591674253;1;2;2;3;0,00435302715321685;0,00445539194646479
"416";"P78527-1";"P78527-1";"P78527";"PRKDC_HUMAN";"DNA-dependent protein kinase catalytic subunit";"PRKDC";56;161;0,00230831394221488;49;45;84;77;NA;NA
"421";"Q14061";"Q14061";"Q14061";"COX17_HUMAN";"Cytochrome c oxidase copper chaperone";"COX17";1;1;0,00093943803149591;NA;1;NA;1;NA;0,00226032117954037
"422";"Q14155-1,Q14155-2,Q14155-3,Q14155-4,Q14155-5,Q14155-6,Q15052-1,Q15052-2";"Q14155-1,Q14155-2,Q14155-3,Q14155-4,Q14155-5,Q14155-6,Q15052-1,Q15052-2";"Q14155";"ARHG6_HUMAN, ARHG7_HUMAN";"Rho guanine nucleotide exchange factor 6, Rho guanine nucleotide exchange factor 7";"ARHGEF6, ARHGEF7";1;1;9,29114536644306e-06;1;NA;1;NA;NA;NA
"425";"Q16698";"Q16698";"Q16698";"DECR_HUMAN";"2,4-dienoyl-CoA reductase, mitochondrial";"DECR1";1;2;0,000353340871547715;NA;1;NA;2;NA;0,000850150652603243
"427";"Q66PJ3-1,Q66PJ3-2,Q66PJ3-3,Q66PJ3-4";"Q66PJ3-1,Q66PJ3-2,Q66PJ3-3,Q66PJ3-4";"Q66PJ3";"AR6P4_HUMAN";"ADP-ribosylation factor-like protein 6-interacting protein 4";"ARL6IP4";1;1;4,1100413877946e-05;1;NA;1;NA;NA;NA
"428";"Q8IY67-1,Q8IY67-2,Q8IY67-3";"Q8IY67-1,Q8IY67-2,Q8IY67-3";"Q8IY67";"RAVR1_HUMAN";"Ribonucleoprotein PTB-binding 1";"RAVER1";1;2;6,51095665393205e-05;1;1;1;1;NA;NA
"430";"Q92930";"Q92930";"Q92930";"RAB8B_HUMAN";"Ras-related protein Rab-8B";"RAB8B";1;2;0,000800564583361732;1;0;2;0;0,00182594281435748;NA
"431";"Q969Q0";"Q969Q0";"Q969Q0";"RL36L_HUMAN";"60S ribosomal protein L36a-like";"RPL36AL";4;10;0,00558345245134361;4;2;8;2;0,0106972687520377;0,00268679687379327
"432";"Q96IX5";"Q96IX5";"Q96IX5";"USMG5_HUMAN";"Up-regulated during skeletal muscle growth protein 5";"USMG5";1;2;0,00204084813738767;1;1;1;1;0,0024437726028362;0,00245517645363868
"434";"Q99873-1,Q99873-2,Q99873-3,Q9NR22-1,Q9NR22-2";"Q99873-1,Q99873-2,Q99873-3,Q9NR22-1,Q9NR22-2";"Q99873";"ANM1_HUMAN, ANM8_HUMAN";"Protein arginine N-methyltransferase 1, Protein arginine N-methyltransferase 8";"PRMT1, PRMT8";1;1;3,16326007398409e-05;1;NA;1;NA;NA;NA
"436";"Q9H299";"Q9H299";"Q9H299";"SH3L3_HUMAN";"SH3 domain-binding glutamic acid-rich-like protein 3";"SH3BGRL3";1;1;0,000636393505206907;NA;1;NA;1;NA;0,00153118531517251
"437";"Q9NQ29-1,Q9NQ29-2,Q9NQ29-3";"Q9NQ29-1,Q9NQ29-2,Q9NQ29-3";"Q9NQ29";"LUC7L_HUMAN";"Putative RNA-binding protein Luc7-like 1";"LUC7L";1;1;0,000106351475263688;0;1;0;1;NA;NA
"438";"Q9NTJ3-1";"Q9NTJ3-1";"Q9NTJ3";"SMC4_HUMAN";"Structural maintenance of chromosomes protein 4";"SMC4";3;4;0,000183803093118765;2;2;2;2;NA;NA
"441";"Q9Y333";"Q9Y333";"Q9Y333";"LSM2_HUMAN";"U6 snRNA-associated Sm-like protein LSm2";"LSM2";1;2;0,0012459914944051;1;1;1;1;0,00149198748383684;0,00149894983485309
"442";"P05165-1";"P05165-1";"P05165";"PCCA_HUMAN";"Propionyl-CoA carboxylase alpha chain, mitochondrial";"PCCA";39;219;0,0178041573084465;34;36;83;136;NA;NA
"443";"P14618-1";"P14618-1";"P14618";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";26;106;0,0122562957627223;20;23;39;67;NA;NA
"445";"Q71U36";"Q71U36";"Q71U36";"TBA1A_HUMAN";"Tubulin alpha-1A chain";"TUBA1A";0;0;NA;0;0;0;0;NA;NA
"446";"Q9BQE3";"Q9BQE3";"Q9BQE3";"TBA1C_HUMAN";"Tubulin alpha-1C chain";"TUBA1C";0;0;NA;0;0;0;0;NA;NA
"450";"Q9NY65-1,Q9NY65-2";"Q9NY65-1,Q9NY65-2";"Q9NY65";"TBA8_HUMAN";"Tubulin alpha-8 chain";"TUBA8";0;0;NA;0;0;0;0;NA;NA
"451";"Q13509";"Q13509";"Q13509";"TBB3_HUMAN";"Tubulin beta-3 chain";"TUBB3";0;0;0;0;0;0;0;0;0
"452";"Q5XKE5";"Q5XKE5";"Q5XKE5";"K2C79_HUMAN";"Keratin, type II cytoskeletal 79";"KRT79";0;0;0;0;0;0;0;0;0
"453";"P01892";"P01892";"P01892";"1A02_HUMAN";"HLA class I histocompatibility antigen, A-2 alpha chain";"HLA-A";2;5;0,00294571733437553;2;1;3;2;0,00427158060440958;0,00273096339774603
"455";"P12035";"P12035";"P12035";"K2C3_HUMAN";"Keratin, type II cytoskeletal 3";"KRT3";0;0;0;0;0;0;0;0;0
"456";"P05534,P30447";"P05534,P30447";"P05534";"1A23_HUMAN, 1A24_HUMAN";"HLA class I histocompatibility antigen, A-23 alpha chain, HLA class I histocompatibility antigen, A-24 alpha chain";"HLA-A";0;0;NA;0;0;0;0;NA;NA
"457";"O60814,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"O60814,P58876,P62807,Q5QNW6-1,Q5QNW6-2,Q93079,Q99877,Q99879,Q99880";"O60814";"H2B1C_HUMAN, H2B1D_HUMAN, H2B1H_HUMAN, H2B1K_HUMAN, H2B1L_HUMAN, H2B1M_HUMAN, H2B1N_HUMAN, H2B2F_HUMAN";"Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-M, Histone H2B type 1-N, Histone H2B type 2-F";"HIST1H2BD, HIST1H2BF,HIST1H2BE,HIST1H2BC,HIST1H2BG,HIST1H2BI, HIST1H2BH, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST2H2BF";5;12;0,000626292020997273;4;3;9;3;0,00144631439759694;0,000484354538472936
"459";"P13646-1,P13646-3";"P13646-1,P13646-3";"P13646";"K1C13_HUMAN";"Keratin, type I cytoskeletal 13";"KRT13";0;0;0;0;0;0;0;NA;NA
"460";"Q16666-1,Q16666-2,Q16666-3";"Q16666-1,Q16666-2,Q16666-3";"Q16666";"IF16_HUMAN";"Gamma-interferon-inducible protein 16";"IFI16";4;5;0,00012565731631474;4;NA;5;NA;NA;NA
"462";"P19013";"P19013";"P19013";"K2C4_HUMAN";"Keratin, type II cytoskeletal 4";"KRT4";0;0;0;0;0;0;0;0;0
"465";"P10319,P18465";"P10319,P18465";"P18465";"1B57_HUMAN, 1B58_HUMAN";"HLA class I histocompatibility antigen, B-57 alpha chain, HLA class I histocompatibility antigen, B-58 alpha chain";"HLA-B";0;0;NA;0;0;0;0;NA;NA
