"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5767";"peptide.count.P5768";"spectra.count.P5767";"spectra.count.P5768";"dNSAF.P5767";"dNSAF.P5768";"Go.Cc"
"376";376;"Q15046";"Q15046-1,Q15046-2";"Q15046-1,Q15046-2";"SYK_HUMAN";"Lysine--tRNA ligase";"KARS";3;3;0,000148705015035785;3;NA;3;NA;NA;NA;"mitochondrial matrix, cytosol, nucleus, plasma membrane, extracellular region, aminoacyl-tRNA synthetase multienzyme complex, microtubule cytoskeleton"
"378";378;"Q15084";"Q15084-1,Q15084-2";"Q15084-1,Q15084-2";"PDIA6_HUMAN";"Protein disulfide-isomerase A6";"PDIA6";3;9;0,000605297004384296;3;2;5;4;NA;NA;"melanosome, extracellular vesicular exosome, endoplasmic reticulum lumen, endoplasmic reticulum membrane, plasma membrane, endoplasmic reticulum-Golgi intermediate compartment"
"383";383;"Q16181";"Q16181-1,Q16181-2";"Q16181-1,Q16181-2";"SEPT7_HUMAN";"Septin-7";"SEPT7";5;8;0,000541735432350044;4;3;5;3;NA;NA;"stress fiber, septin complex, extracellular vesicular exosome, synapse, axoneme, microtubule cytoskeleton, cleavage furrow, condensed chromosome kinetochore, nucleolus, midbody, spindle, plasma membrane, axon terminus"
"389";389;"Q29RF7";"Q29RF7-1";"Q29RF7-1";"PDS5A_HUMAN";"Sister chromatid cohesion protein PDS5 homolog A";"PDS5A";6;12;0,000531200562311823;4;4;7;5;NA;NA;"cytosol, nucleoplasm, chromatin, plasma membrane, chromosome, centromeric region"
"398";398;"Q7Z2W4";"Q7Z2W4-1,Q7Z2W4-2,Q7Z2W4-3";"Q7Z2W4-1,Q7Z2W4-2,Q7Z2W4-3";"ZCCHV_HUMAN";"Zinc finger CCCH-type antiviral protein 1";"ZC3HAV1";2;10;0,000218716171412573;2;2;4;6;NA;NA;"nucleus, plasma membrane, Golgi apparatus, cytoplasm"
"401";401;"Q86UE4";"Q86UE4";"Q86UE4";"LYRIC_HUMAN";"Protein LYRIC";"MTDH";6;15;0,00152537618516088;5;5;8;7;0,00194829980707216;0,00171271759480636;"nucleolus, intercellular canaliculus, tight junction, perinuclear region of cytoplasm, endoplasmic reticulum membrane, integral component of membrane, apical plasma membrane, nuclear body, nuclear membrane"
"402";402;"Q86UP2";"Q86UP2-1,Q86UP2-2,Q86UP2-3";"Q86UP2-1,Q86UP2-2,Q86UP2-3";"KTN1_HUMAN";"Kinectin";"KTN1";4;4;5,81523910432251e-05;4;NA;4;NA;NA;NA;"integral component of plasma membrane, endoplasmic reticulum membrane"
"403";403;"Q86YV0";"Q86YV0-1,Q86YV0-2";"Q86YV0-1,Q86YV0-2";"RASL3_HUMAN";"RAS protein activator like-3";"RASAL3";4;6;0,000175621946540778;4;NA;6;NA;NA;NA;"intrinsic component of the cytoplasmic side of the plasma membrane, cytoplasm, extracellular vesicular exosome"
"407";407;"Q8NC51";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"Q8NC51-1,Q8NC51-2,Q8NC51-3,Q8NC51-4";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";12;27;0,00097915691885695;9;7;13;14;NA;NA;"nucleus, extracellular vesicular exosome, cytoplasm, perinuclear region of cytoplasm, plasma membrane"
"410";410;"Q8TF72";"Q8TF72-1";"Q8TF72-1";"SHRM3_HUMAN";"Protein Shroom3";"SHROOM3";2;2;5,93032023890203e-05;2;NA;2;NA;NA;NA;"cytoskeleton, cytoplasm, apical plasma membrane, microtubule, adherens junction, apical junction complex"
"415";415;"Q92930";"Q92930";"Q92930";"RAB8B_HUMAN";"Ras-related protein Rab-8B";"RAB8B";1;2;0,000800564583361732;1;0;2;0;0,00182594281435748;NA;"peroxisomal membrane, mitochondrion, phagocytic vesicle, perinuclear region of cytoplasm, phagocytic vesicle membrane, cell tip, extracellular vesicular exosome, plasma membrane"
"418";418;"Q95604";"Q95604";"Q95604";"1C17_HUMAN";"HLA class I histocompatibility antigen, Cw-17 alpha chain";"HLA-C";1;1;0,000291680356553165;1;0;1;0;0,000762036618088708;NA;"MHC class I protein complex, phagocytic vesicle membrane, ER to Golgi transport vesicle membrane, early endosome membrane, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, cell surface"
"424";424;"Q99497";"Q99497";"Q99497";"PARK7_HUMAN";"Protein DJ-1";"PARK7";4;7;0,00219202207349046;4;NA;7;NA;0,00524958559127777;NA;"cytosol, membrane raft, plasma membrane, nucleus, extracellular vesicular exosome, mitochondrion"
"427";427;"Q99714";"Q99714-1,Q99714-2";"Q99714-1,Q99714-2";"HCD2_HUMAN";"3-hydroxyacyl-CoA dehydrogenase type-2";"HSD17B10";2;2;0,000226760904154185;2;NA;2;NA;NA;NA;"endoplasmic reticulum, mitochondrial inner membrane, mitochondrial matrix, plasma membrane"
"446";446;"Q9NZB2";"Q9NZB2-1,Q9NZB2-4,Q9NZB2-6";"Q9NZB2-1,Q9NZB2-4,Q9NZB2-6";"F120A_HUMAN";"Constitutive coactivator of PPAR-gamma-like protein 1";"FAM120A";2;2;3,52919475159465e-05;2;NA;2;NA;NA;NA;"plasma membrane, cytoplasm"
"457";457;"Q9Y490";"Q9Y490";"Q9Y490";"TLN1_HUMAN";"Talin-1";"TLN1";19;33;0,000768631116678472;12;14;15;18;0,000836710808527153;0,00100873837764611;"cytosol, actin cytoskeleton, ruffle, intracellular membrane-bounded organelle, centrosome, focal adhesion, cell-cell junction, extracellular vesicular exosome, plasma membrane, cell surface, ruffle membrane"
