"";"Group";"AC";"ID";"Entrez_ID";"Gene_symbol";"Descr";"SP_GN";"Entrez_GN";"Non_spec_binder";"Group_size";"Specific_reporter";"Pc_P4569.1.merged";"Pc_P4569.2.merged";"Pc_grp0";"Pc_mean_grp0";"Pc_sd_grp0";"Pc_CV_grp0";"Sc_P4569.1.merged";"Sc_P4569.2.merged";"Sc_grp0";"Sc_mean_grp0";"Sc_sd_grp0";"Sc_CV_grp0";"Seqcov_P4569.1.merged";"Seqcov_P4569.2.merged";"Seqcov_grp0";"Seqcov_mean_grp0";"Seqcov_sd_grp0";"Seqcov_CV_grp0";"Glob_pc";"Glob_sc";"Glob_seqcov"
"7909";"Q15043-1";"Q15043-1";"S39AE_HUMAN";"23516";"SLC39A14";"Zinc transporter ZIP14";"SLC39A14,ZIP14,KIAA0062";NA;0;3;3;3;4;4;"3.5";"0.71";"0.2";8;9;17;"8.5";"0.71";"0.08";"0.11";"0.13";"0.13";"0.12";"0.02";"0.15";4;17;"0.13"
"7976";"Q8NBW4-1";"Q8NBW4-1";"S38A9_HUMAN";"153129";"SLC38A9";"Putative sodium-coupled neutral amino acid transporter 9";"SLC38A9";NA;0;2;2;4;4;4;"4";"0";"0";4;4;8;"4";"0";"0";"0.12";"0.12";"0.12";"0.12";"0";"0";4;8;"0.12"
"8043";"Q9BSK2";"Q9BSK2";"S2533_HUMAN";"84275";"SLC25A33";"Solute carrier family 25 member 33";"SLC25A33";NA;0;1;1;4;4;4;"4";"0";"0";4;4;8;"4";"0";"0";"0.14";"0.14";"0.14";"0.14";"0";"0";4;8;"0.14"
"8097";"Q99726";"Q99726";"ZNT3_HUMAN";"7781";"SLC30A3";"Zinc transporter 3";"SLC30A3,ZNT3";NA;0;1;1;3;4;4;"3.5";"0.71";"0.2";4;6;10;"5";"1.41";"0.28";"0.1";"0.14";"0.14";"0.12";"0.03";"0.22";4;10;"0.14"
"8112";"Q9NVC3-1";"Q9NVC3-1";"S38A7_HUMAN";"55238";"SLC38A7";"Putative sodium-coupled neutral amino acid transporter 7";"SLC38A7,SNAT7";NA;0;2;1;4;4;4;"4";"0";"0";4;4;8;"4";"0";"0";"0.09";"0.09";"0.09";"0.09";"0";"0";4;8;"0.09"
"8255";"Q8NBI5";"Q8NBI5";"S43A3_HUMAN";"29015";"SLC43A3";"Solute carrier family 43 member 3";"SLC43A3";NA;0;1;1;4;4;4;"4";"0";"0";8;7;15;"7.5";"0.71";"0.09";"0.09";"0.09";"0.09";"0.09";"0";"0";4;15;"0.09"
"8267";"Q9Y6M7-1";"Q9Y6M7-1";"S4A7_HUMAN";"9497";"SLC4A7";"Sodium bicarbonate cotransporter 3";"SLC4A7,SLC4A6,NBC2B,SBC2,NBC3,NBC2,BT";NA;0;5;2;3;4;4;"3.5";"0.71";"0.2";3;4;7;"3.5";"0.71";"0.2";"0.04";"0.05";"0.05";"0.04";"0.01";"0.16";4;7;"0.05"
"8268";"O60779-1";"O60779-1";"S19A2_HUMAN";"10560";"SLC19A2";"Thiamine transporter 1";"SLC19A2,TRMA,THT1";NA;0;2;1;3;4;4;"3.5";"0.71";"0.2";5;8;13;"6.5";"2.12";"0.33";"0.09";"0.1";"0.1";"0.09";"0.01";"0.12";4;13;"0.1"
"8337";"Q9UGH3";"Q9UGH3";"S23A2_HUMAN";"9962";"SLC23A2";"Solute carrier family 23 member 2";"SLC23A2,NBTL1,YSPL2,SVCT2,SLC23A1,KIAA0238";NA;0;1;1;2;3;3;"2.5";"0.71";"0.28";2;4;6;"3";"1.41";"0.47";"0.03";"0.04";"0.04";"0.04";"0.01";"0.21";3;6;"0.04"
"8349";"Q96T83";"Q96T83";"SL9A7_HUMAN";"84679";"SLC9A7";"Sodium/hydrogen exchanger 7";"SLC9A7,NHE7";NA;0;1;1;2;3;3;"2.5";"0.71";"0.28";2;3;5;"2.5";"0.71";"0.28";"0.05";"0.06";"0.06";"0.05";"0.01";"0.16";3;5;"0.06"
"8365";"P50443";"P50443";"S26A2_HUMAN";"1836";"SLC26A2";"Sulfate transporter";"SLC26A2,DTDST,DTD";NA;0;1;1;3;2;3;"2.5";"0.71";"0.28";3;2;5;"2.5";"0.71";"0.28";"0.04";"0.03";"0.04";"0.03";"0.01";"0.27";3;5;"0.04"
"8505";"Q9BV35-1";"Q9BV35-1";"SCMC3_HUMAN";"79085";"SLC25A23";"Calcium-binding mitochondrial carrier protein SCaMC-3";"SLC25A23,MCSC2,APC2,SCAMC3";NA;0;4;4;3;2;3;"2.5";"0.71";"0.28";3;2;5;"2.5";"0.71";"0.28";"0.05";"0.03";"0.05";"0.04";"0.01";"0.31";3;5;"0.05"
"8551";"Q8IWA5-1";"Q8IWA5-1";"CTL2_HUMAN";"57153";"SLC44A2";"Choline transporter-like protein 2";"SLC44A2,CTL2";NA;0;3;3;3;0;3;"1.5";"2.12";"1.41";3;0;3;"1.5";"2.12";"1.41";"0.03";"0";"0.03";"0.02";"0.02";"1.41";3;3;"0.03"
"8645";"Q8N370-1";"Q8N370-1";"LAT4_HUMAN";"124935";"SLC43A2";"Large neutral amino acids transporter small subunit 4";"SLC43A2,LAT4";NA;0;3;2;2;2;3;"2";"0";"0";3;2;5;"2.5";"0.71";"0.28";"0.03";"0.03";"0.05";"0.03";"0";"0.04";3;5;"0.05"
"8698";"Q9H2J7-1";"Q9H2J7-1";"S6A15_HUMAN";"55117";"SLC6A15";"Sodium-dependent neutral amino acid transporter B(0)AT2";"SLC6A15,B0AT2,SBAT1,NTT73";NA;0;1;1;0;3;3;"1.5";"2.12";"1.41";0;3;3;"1.5";"2.12";"1.41";"0";"0.03";"0.03";"0.01";"0.02";"1.41";3;3;"0.03"
"8749";"Q6KCM7-1";"Q6KCM7-1";"SCMC2_HUMAN";"114789";"SLC25A25";"Calcium-binding mitochondrial carrier protein SCaMC-2";"SLC25A25,KIAA1896,SCAMC2,MCSC3,APC3";NA;0;6;6;3;2;3;"2.5";"0.71";"0.28";3;2;5;"2.5";"0.71";"0.28";"0.07";"0.05";"0.07";"0.06";"0.01";"0.23";3;5;"0.07"
"8756";"O43826-1";"O43826-1";"G6PT1_HUMAN";"2542";"SLC37A4";"Glucose-6-phosphate translocase";"SLC37A4,G6PT1,G6PT";NA;0;2;2;2;3;3;"2.5";"0.71";"0.28";3;4;7;"3.5";"0.71";"0.2";"0.05";"0.06";"0.06";"0.05";"0";"0.03";3;7;"0.06"
"8759";"Q6NXT4-1";"Q6NXT4-1";"ZNT6_HUMAN";"55676";"SLC30A6";"Zinc transporter 6";"SLC30A6,ZNT6";NA;0;3;3;3;3;3;"3";"0";"0";7;5;12;"6";"1.41";"0.24";"0.13";"0.13";"0.13";"0.13";"0";"0";3;12;"0.13"
"8817";"Q9NYB5-1";"Q9NYB5-1";"SO1C1_HUMAN";"53919";"SLCO1C1";"Solute carrier organic anion transporter family member 1C1";"SLCO1C1,OATPF,SLC21A14,OATP1C1,OATP14";NA;0;2;2;3;2;3;"2.5";"0.71";"0.28";4;3;7;"3.5";"0.71";"0.2";"0.03";"0.02";"0.03";"0.02";"0.01";"0.25";3;7;"0.03"
"8863";"O95258-1";"O95258-1";"UCP5_HUMAN";"9016";"SLC25A14";"Brain mitochondrial carrier protein 1";"SLC25A14,UCP5,BMCP1";NA;0;3;3;3;3;3;"3";"0";"0";3;3;6;"3";"0";"0";"0.08";"0.08";"0.08";"0.08";"0";"0";3;6;"0.08"
"8909";"Q8IXU6-1";"Q8IXU6-1";"S35F2_HUMAN";"54733";"SLC35F2";"Solute carrier family 35 member F2";"SLC35F2";NA;0;3;2;3;3;3;"3";"0";"0";5;5;10;"5";"0";"0";"0.13";"0.13";"0.13";"0.13";"0";"0";3;10;"0.13"
"8973";"Q9BZD2-1";"Q9BZD2-1";"S29A3_HUMAN";"55315";"SLC29A3";"Equilibrative nucleoside transporter 3";"SLC29A3,ENT3";NA;0;2;2;3;3;3;"3";"0";"0";6;4;10;"5";"1.41";"0.28";"0.08";"0.08";"0.08";"0.08";"0";"0";3;10;"0.08"
"8998";"Q8N1S5-1";"Q8N1S5-1";"S39AB_HUMAN";"201266";"SLC39A11";"Zinc transporter ZIP11";"SLC39A11,ZIP11,C17orf26";NA;0;2;1;3;3;3;"3";"0";"0";3;3;6;"3";"0";"0";"0.1";"0.1";"0.1";"0.1";"0";"0";3;6;"0.1"
"9112";"Q96CW6";"Q96CW6";"S7A6O_HUMAN";"84138";"SLC7A6OS";"Probable RNA polymerase II nuclear localization protein SLC7A6OS";"SLC7A6OS";NA;0;1;1;2;2;2;"2";"0";"0";2;3;5;"2.5";"0.71";"0.28";"0.08";"0.08";"0.08";"0.08";"0";"0";2;5;"0.08"
"9122";"Q9UPY5";"Q9UPY5";"XCT_HUMAN";"23657";"SLC7A11";"Cystine/glutamate transporter";"SLC7A11";NA;0;1;1;0;2;2;"1";"1.41";"1.41";0;2;2;"1";"1.41";"1.41";"0";"0.03";"0.03";"0.02";"0.02";"1.41";2;2;"0.03"
"9185";"Q7RTY0";"Q7RTY0";"MOT13_HUMAN";"201232";"SLC16A13";"Monocarboxylate transporter 13";"SLC16A13,MCT13";NA;0;1;1;1;1;2;"1";"0";"0";1;1;2;"1";"0";"0";"0.04";"0.03";"0.07";"0.04";"0";"0.09";2;2;"0.07"
"9189";"Q9NY26";"Q9NY26";"S39A1_HUMAN";"27173";"SLC39A1";"Zinc transporter ZIP1";"SLC39A1,ZIP1,IRT1,ZIRTL";NA;0;1;1;0;2;2;"1";"1.41";"1.41";0;2;2;"1";"1.41";"1.41";"0";"0.06";"0.06";"0.03";"0.04";"1.41";2;2;"0.06"
"9208";"Q70HW3-1";"Q70HW3-1";"SAMC_HUMAN";"115286";"SLC25A26";"S-adenosylmethionine mitochondrial carrier protein";"SLC25A26,SAMC";NA;0;2;1;1;1;2;"1";"0";"0";1;1;2;"1";"0";"0";"0.06";"0.05";"0.11";"0.06";"0";"0.05";2;2;"0.11"
"9302";"O15431";"O15431";"COPT1_HUMAN";"1317";"SLC31A1";"High affinity copper uptake protein 1";"SLC31A1,COPT1,CTR1";NA;0;1;1;1;2;2;"1.5";"0.71";"0.47";3;6;9;"4.5";"2.12";"0.47";"0.1";"0.16";"0.16";"0.13";"0.04";"0.34";2;9;"0.16"
"9335";"Q6YBV0-1";"Q6YBV0-1";"S36A4_HUMAN";"120103";"SLC36A4";"Proton-coupled amino acid transporter 4";"SLC36A4,PAT4";NA;0;1;1;2;2;2;"2";"0";"0";3;3;6;"3";"0";"0";"0.06";"0.06";"0.06";"0.06";"0";"0";2;6;"0.06"
"9357";"Q6ZT89-1";"Q6ZT89-1";"S2548_HUMAN";"153328";"SLC25A48";"Solute carrier family 25 member 48";"SLC25A48";NA;0;2;2;2;2;2;"2";"0";"0";2;2;4;"2";"0";"0";"0.05";"0.05";"0.05";"0.05";"0";"0";2;4;"0.05"
"9434";"Q96A29";"Q96A29";"FUCT1_HUMAN";"55343";"SLC35C1";"GDP-fucose transporter 1";"SLC35C1,FUCT1";NA;0;1;1;2;1;2;"1.5";"0.71";"0.47";3;1;4;"2";"1.41";"0.71";"0.07";"0.03";"0.07";"0.05";"0.03";"0.55";2;4;"0.07"
"9500";"O60669";"O60669";"MOT2_HUMAN";"9194";"SLC16A7";"Monocarboxylate transporter 2";"SLC16A7,MCT2";NA;0;1;1;0;2;2;"1";"1.41";"1.41";0;2;2;"1";"1.41";"1.41";"0";"0.03";"0.03";"0.02";"0.02";"1.41";2;2;"0.03"
"9539";"Q9HAB3";"Q9HAB3";"S52A2_HUMAN";"79581";"SLC52A2";"Solute carrier family 52, riboflavin transporter, member 2";"SLC52A2,GPR172A,PAR1,RFT3";NA;0;1;1;1;2;2;"1.5";"0.71";"0.47";2;3;5;"2.5";"0.71";"0.28";"0.02";"0.04";"0.04";"0.03";"0.02";"0.61";2;5;"0.04"
"9622";"Q9BS91";"Q9BS91";"S35A5_HUMAN";"55032";"SLC35A5";"Probable UDP-sugar transporter protein SLC35A5";"SLC35A5";NA;0;1;1;0;2;2;"1";"1.41";"1.41";0;2;2;"1";"1.41";"1.41";"0";"0.04";"0.04";"0.02";"0.03";"1.41";2;2;"0.04"
"9631";"Q8TF71";"Q8TF71";"MOT10_HUMAN";"117247";"SLC16A10";"Monocarboxylate transporter 10";"SLC16A10,TAT1,MCT10";NA;0;1;1;2;1;2;"1.5";"0.71";"0.47";2;1;3;"1.5";"0.71";"0.47";"0.09";"0.06";"0.09";"0.07";"0.02";"0.2";2;3;"0.09"
"9652";"Q96RN1-1";"Q96RN1-1";"S26A8_HUMAN";"116369";"SLC26A8";"Testis anion transporter 1";"SLC26A8,TAT1";NA;0;3;3;2;0;2;"1";"1.41";"1.41";2;0;2;"1";"1.41";"1.41";"0.02";"0";"0.02";"0.01";"0.01";"1.41";2;2;"0.02"
"9677";"Q96GZ6-5";"Q96GZ6-5";"S41A3_HUMAN";"54946";"SLC41A3";"Solute carrier family 41 member 3";"SLC41A3";NA;0;6;3;1;2;2;"1.5";"0.71";"0.47";1;2;3;"1.5";"0.71";"0.47";"0.03";"0.06";"0.06";"0.04";"0.02";"0.49";2;3;"0.06"
"9697";"P57057";"P57057";"GLPT_HUMAN";"54020";"SLC37A1";"Glycerol-3-phosphate transporter";"SLC37A1,G3PP";NA;0;1;1;0;2;2;"1";"1.41";"1.41";0;2;2;"1";"1.41";"1.41";"0";"0.03";"0.03";"0.01";"0.02";"1.41";2;2;"0.03"
"9729";"Q06495-1";"Q06495-1";"NPT2A_HUMAN";"6569";"SLC34A1";"Sodium-dependent phosphate transport protein 2A";"SLC34A1,NPT2,SLC17A2";NA;0;2;2;2;0;2;"1";"1.41";"1.41";3;0;3;"1.5";"2.12";"1.41";"0.02";"0";"0.02";"0.01";"0.02";"1.41";2;3;"0.02"
"9794";"P48664";"P48664";"EAA4_HUMAN";"6511";"SLC1A6";"Excitatory amino acid transporter 4";"SLC1A6,EAAT4";NA;0;1;1;0;2;2;"1";"1.41";"1.41";0;3;3;"1.5";"2.12";"1.41";"0";"0.07";"0.07";"0.04";"0.05";"1.41";2;3;"0.07"
"9920";"Q0GE19-1";"Q0GE19-1";"NTCP7_HUMAN";"84068";"SLC10A7";"Sodium/bile acid cotransporter 7";"SLC10A7,P7,C4orf13";NA;0;5;3;1;2;2;"1.5";"0.71";"0.47";2;5;7;"3.5";"2.12";"0.61";"0.06";"0.08";"0.08";"0.07";"0.02";"0.28";2;7;"0.08"
"9959";"Q14542-1";"Q14542-1";"S29A2_HUMAN";"3177";"SLC29A2";"Equilibrative nucleoside transporter 2";"SLC29A2,ENT2,HNP36,DER12";NA;0;2;1;1;2;2;"1.5";"0.71";"0.47";1;2;3;"1.5";"0.71";"0.47";"0.04";"0.07";"0.07";"0.05";"0.02";"0.41";2;3;"0.07"
"9982";"Q96BD0-1";"Q96BD0-1";"SO4A1_HUMAN";"28231";"SLCO4A1";"Solute carrier organic anion transporter family member 4A1";"SLCO4A1,OATP1,SLC21A12,OATPE,OATP4A1";NA;0;4;4;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.03";"0.03";"0.03";"0.03";"0";"0";1;2;"0.03"
"10003";"P49281-1";"P49281-1";"NRAM2_HUMAN";"4891";"SLC11A2";"Natural resistance-associated macrophage protein 2";"SLC11A2,NRAMP2,DCT1,DMT1";NA;0;4;4;1;0;1;"0.5";"0.71";"1.41";1;0;1;"0.5";"0.71";"1.41";"0.02";"0";"0.02";"0.01";"0.01";"1.41";1;1;"0.02"
"10022";"Q96QE2";"Q96QE2";"MYCT_HUMAN";"114134";"SLC2A13";"Proton myo-inositol cotransporter";"SLC2A13";NA;0;1;1;0;1;1;"0.5";"0.71";"1.41";0;1;1;"0.5";"0.71";"1.41";"0";"0.02";"0.02";"0.01";"0.01";"1.41";1;1;"0.02"
"10033";"Q6J4K2-1";"Q6J4K2-1";"NCKX6_HUMAN";"80024";"SLC24A6";"Sodium/potassium/calcium exchanger 6";"SLC24A6,NCLX,NCKX6";NA;0;2;2;1;0;1;"0.5";"0.71";"1.41";1;0;1;"0.5";"0.71";"1.41";"0.02";"0";"0.02";"0.01";"0.01";"1.41";1;1;"0.02"
"10052";"Q9NY64";"Q9NY64";"GTR8_HUMAN";"29988";"SLC2A8";"Solute carrier family 2, facilitated glucose transporter member 8";"SLC2A8,GLUTX1,GLUT8";NA;0;1;1;0;1;1;"0.5";"0.71";"1.41";0;1;1;"0.5";"0.71";"1.41";"0";"0.01";"0.01";"0.01";"0.01";"1.41";1;1;"0.01"
"10058";"Q9H1U9";"Q9H1U9";"S2551_HUMAN";"92014";"SLC25A51";"Solute carrier family 25 member 51";"SLC25A51,MCART1";NA;0;1;1;0;1;1;"0.5";"0.71";"1.41";0;1;1;"0.5";"0.71";"1.41";"0";"0.05";"0.05";"0.02";"0.03";"1.41";1;1;"0.05"
"10068";"Q7Z3Q1-1";"Q7Z3Q1-1";"S46A3_HUMAN";"283537";"SLC46A3";"Solute carrier family 46 member 3";"SLC46A3";NA;0;2;2;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.03";"0.03";"0.03";"0.03";"0";"0";1;2;"0.03"
"10079";"P0CK96";"P0CK96";"S352B_HUMAN";"728661";"SLC35E2B";"Solute carrier family 35 member E2B";"SLC35E2B,KIAA0447";NA;0;1;1;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.03";"0.03";"0.03";"0.03";"0";"0";1;2;"0.03"
"10097";"Q9BYT1-1";"Q9BYT1-1";"S17A9_HUMAN";"63910";"SLC17A9";"Solute carrier family 17 member 9";"SLC17A9,C20orf59";NA;0;2;2;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.02";"0.02";"0.02";"0.02";"0";"0";1;2;"0.02"
"10133";"Q3SY17";"Q3SY17";"S2552_HUMAN";"147407";"SLC25A52";"Solute carrier family 25 member 52";"SLC25A52,MCART2";NA;0;1;1;0;1;1;"0.5";"0.71";"1.41";0;1;1;"0.5";"0.71";"1.41";"0";"0.05";"0.05";"0.02";"0.03";"1.41";1;1;"0.05"
"10141";"Q969S0-1";"Q969S0-1";"S35B4_HUMAN";"84912";"SLC35B4";"UDP-xylose and UDP-N-acetylglucosamine transporter";"SLC35B4,YEA4";NA;0;3;3;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.03";"0.03";"0.03";"0.03";"0";"0";1;2;"0.03"
"10159";"P78381-1";"P78381-1";"S35A2_HUMAN";"7355";"SLC35A2";"UDP-galactose translocator";"SLC35A2,UGALT,UGTL,UGT";NA;0;2;2;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.03";"0.03";"0.03";"0.03";"0";"0";1;2;"0.03"
"10186";"Q9C0K1-1";"Q9C0K1-1";"S39A8_HUMAN";"64116";"SLC39A8";"Zinc transporter ZIP8";"SLC39A8,ZIP8,BIGM103";NA;0;3;3;1;1;1;"1";"0";"0";2;1;3;"1.5";"0.71";"0.47";"0.05";"0.05";"0.05";"0.05";"0";"0";1;3;"0.05"
"10194";"Q9BRY0-1";"Q9BRY0-1";"S39A3_HUMAN";"29985";"SLC39A3";"Zinc transporter ZIP3";"SLC39A3,ZIP3";NA;0;1;1;1;0;1;"0.5";"0.71";"1.41";1;0;1;"0.5";"0.71";"1.41";"0.07";"0";"0.07";"0.04";"0.05";"1.41";1;1;"0.07"
"10197";"Q9NUM3-1";"Q9NUM3-1";"S39A9_HUMAN";"55334";"SLC39A9";"Zinc transporter ZIP9";"SLC39A9,ZIP9";NA;0;2;2;1;1;1;"1";"0";"0";2;3;5;"2.5";"0.71";"0.28";"0.05";"0.05";"0.05";"0.05";"0";"0";1;5;"0.05"
"10231";"Q96BI1";"Q96BI1";"S22AI_HUMAN";"5002";"SLC22A18";"Solute carrier family 22 member 18";"SLC22A18,ITM,BWR1A,BWSCR1A,ORCTL2,HET,SLC22A1L,TSSC5,IMPT1";NA;0;1;1;1;0;1;"0.5";"0.71";"1.41";1;0;1;"0.5";"0.71";"1.41";"0.03";"0";"0.03";"0.01";"0.02";"1.41";1;1;"0.03"
"10234";"Q6NT16";"Q6NT16";"S18B1_HUMAN";"116843";"SLC18B1";"MFS-type transporter SLC18B1";"SLC18B1,C6orf192";NA;0;1;1;1;0;1;"0.5";"0.71";"1.41";1;0;1;"0.5";"0.71";"1.41";"0.02";"0";"0.02";"0.01";"0.02";"1.41";1;1;"0.02"
"10238";"Q96EP9";"Q96EP9";"NTCP4_HUMAN";"201780";"SLC10A4";"Sodium/bile acid cotransporter 4";"SLC10A4";NA;0;1;1;1;1;1;"1";"0";"0";2;2;4;"2";"0";"0";"0.03";"0.03";"0.03";"0.03";"0";"0";1;4;"0.03"
"10273";"Q96A46-1";"Q96A46-1";"MFRN2_HUMAN";"81894";"SLC25A28";"Mitoferrin-2";"SLC25A28,MFRN2";NA;0;3;3;0;1;1;"0.5";"0.71";"1.41";0;1;1;"0.5";"0.71";"1.41";"0";"0.04";"0.04";"0.02";"0.03";"1.41";1;1;"0.04"
"10278";"Q9Y2D2-1";"Q9Y2D2-1";"S35A3_HUMAN";"23443";"SLC35A3";"UDP-N-acetylglucosamine transporter";"SLC35A3";NA;0;2;2;1;1;1;"1";"0";"0";3;4;7;"3.5";"0.71";"0.2";"0.05";"0.05";"0.05";"0.05";"0";"0";1;7;"0.05"
"10348";"Q3KQZ1-1";"Q3KQZ1-1";"S2535_HUMAN";"399512";"SLC25A35";"Solute carrier family 25 member 35";"SLC25A35";NA;0;3;3;0;1;1;"0.5";"0.71";"1.41";0;1;1;"0.5";"0.71";"1.41";"0";"0.04";"0.04";"0.02";"0.03";"1.41";1;1;"0.04"
