"";"X";"AC";"Group";"ID";"Entrez_ID";"Gene_symbol";"Descr";"SP_GN";"Entrez_GN";"Non_spec_binder";"Group_size";"Specific_reporter";"Pc_P4569.1.merged";"Pc_P4569.2.merged";"Pc_grp0";"Pc_mean_grp0";"Pc_sd_grp0";"Pc_CV_grp0";"Sc_P4569.1.merged";"Sc_P4569.2.merged";"Sc_grp0";"Sc_mean_grp0";"Sc_sd_grp0";"Sc_CV_grp0";"Seqcov_P4569.1.merged";"Seqcov_P4569.2.merged";"Seqcov_grp0";"Seqcov_mean_grp0";"Seqcov_sd_grp0";"Seqcov_CV_grp0";"Glob_pc";"Glob_sc";"Glob_seqcov";"Go.Cc"
"1020";1020;"O95210";"O95210";"STBD1_HUMAN";"8987";"STBD1";"Starch-binding domain-containing protein 1";"STBD1";NA;0;1;1;11;13;13;"12";"1.41";"0.12";14;15;29;"14.5";"0.71";"0.05";"0.39";"0.47";"0.47";"0.43";"0.06";"0.13";13;29;"0.47";"integral component of plasma membrane"
"1025";1025;"O95232";"O95232-1";"LC7L3_HUMAN";"51747";"LUC7L3";"Luc7-like protein 3";"LUC7L3,CREAP1,O48,CROP";NA;0;2;1;13;11;13;"12";"1.41";"0.12";26;28;54;"27";"1.41";"0.05";"0.3";"0.28";"0.3";"0.29";"0.01";"0.04";13;54;"0.3";"U1 snRNP, plasma membrane, nuclear speck, focal adhesion, nucleus"
"1027";1027;"O95236";"O95236-1";"APOL3_HUMAN";"80833";"APOL3";"Apolipoprotein L3";"APOL3";NA;0;2;1;2;2;3;"2";"0";"0";2;2;4;"2";"0";"0";"0.04";"0.05";"0.07";"0.05";"0";"0.07";3;4;"0.07";"extracellular region, cytoplasm"
"1033";1033;"O95258";"O95258-1";"UCP5_HUMAN";"9016";"SLC25A14";"Brain mitochondrial carrier protein 1";"SLC25A14,UCP5,BMCP1";NA;0;3;3;3;3;3;"3";"0";"0";3;3;6;"3";"0";"0";"0.08";"0.08";"0.08";"0.08";"0";"0";3;6;"0.08";"mitochondrion, mitochondrial inner membrane, integral component of plasma membrane"
"1037";1037;"O95267";"O95267-1";"GRP1_HUMAN";"10125";"RASGRP1";"RAS guanyl-releasing protein 1";"RASGRP1,RASGRP";NA;0;5;2;4;0;4;"2";"2.83";"1.41";4;0;4;"2";"2.83";"1.41";"0.07";"0";"0.07";"0.04";"0.05";"1.41";4;4;"0.07";"cytosol, Golgi membrane, plasma membrane, endoplasmic reticulum membrane, mast cell granule"
"1041";1041;"O95294";"O95294-1";"RASL1_HUMAN";"8437";"RASAL1";"RasGAP-activating-like protein 1";"RASAL1,RASAL";NA;0;2;2;6;5;6;"5.5";"0.71";"0.13";6;5;11;"5.5";"0.71";"0.13";"0.08";"0.06";"0.08";"0.07";"0.01";"0.12";6;11;"0.08";"cytoplasm, intrinsic component of the cytoplasmic side of the plasma membrane"
"1043";1043;"O95297";"O95297-1";"MPZL1_HUMAN";"9019";"MPZL1";"Myelin protein zero-like protein 1";"MPZL1,PZR";NA;0;3;2;4;4;4;"4";"0";"0";5;5;10;"5";"0";"0";"0.18";"0.18";"0.18";"0.18";"0";"0";4;10;"0.18";"integral component of plasma membrane"
"1044";1044;"O95297";"O95297-3";"MPZL1_HUMAN";"9019";"MPZL1";"Myelin protein zero-like protein 1";"MPZL1,PZR";NA;0;1;1;3;4;4;"3.5";"0.71";"0.2";4;5;9;"4.5";"0.71";"0.16";"0.16";"0.16";"0.16";"0.16";"0";"0.02";4;9;"0.16";"integral component of plasma membrane"
"1049";1049;"O95336";"O95336";"6PGL_HUMAN";"25796";"PGLS";"6-phosphogluconolactonase";"PGLS";NA;0;1;1;12;12;12;"12";"0";"0";38;39;77;"38.5";"0.71";"0.02";"0.62";"0.62";"0.62";"0.62";"0";"0";12;77;"0.62";"cytosol, extracellular vesicular exosome"
"1052";1052;"O95347";"O95347-1";"SMC2_HUMAN";"10592";"SMC2";"Structural maintenance of chromosomes protein 2";"SMC2,SMC2L1,CAPE";NA;0;2;1;64;61;68;"62.5";"2.12";"0.03";118;107;225;"112.5";"7.78";"0.07";"0.51";"0.47";"0.54";"0.49";"0.03";"0.06";68;225;"0.54";"extracellular vesicular exosome, cytosol, condensin complex, nuclear chromosome"
"1057";1057;"O95372";"O95372";"LYPA2_HUMAN";"11313";"LYPLA2";"Acyl-protein thioesterase 2";"LYPLA2,APT2";NA;0;1;1;9;9;9;"9";"0";"0";15;15;30;"15";"0";"0";"0.52";"0.52";"0.52";"0.52";"0";"0";9;30;"0.52";"cytoplasm, extracellular vesicular exosome"
"1064";1064;"O95398";"O95398-1";"RPGF3_HUMAN";NA;"RAPGEF3";"Rap guanine nucleotide exchange factor 3";"RAPGEF3,EPAC1,EPAC,CGEF1";NA;0;1;1;0;3;3;"1.5";"2.12";"1.41";0;4;4;"2";"2.83";"1.41";"0";"0.02";"0.02";"0.01";"0.02";"1.41";3;4;"0.02";"extracellular vesicular exosome, cAMP-dependent protein kinase complex, plasma membrane, endomembrane system"
"1068";1068;"O95425";"O95425-1";"SVIL_HUMAN";"6840";"SVIL";"Supervillin";"SVIL";NA;0;2;2;19;23;26;"21";"2.83";"0.13";22;26;48;"24";"2.83";"0.12";"0.13";"0.14";"0.15";"0.13";"0.01";"0.05";26;48;"0.15";"podosome, invadopodium, cell junction, actin cytoskeleton, costamere, plasma membrane, nucleus"
"1070";1070;"O95429";"O95429-1";"BAG4_HUMAN";"9530";"BAG4";"BAG family molecular chaperone regulator 4";"BAG4,SODD";NA;0;2;1;11;12;12;"11.5";"0.71";"0.06";19;19;38;"19";"0";"0";"0.36";"0.42";"0.42";"0.39";"0.04";"0.1";12;38;"0.42";"cytosol, nucleus, plasma membrane"
"1071";1071;"O95433";"O95433";"AHSA1_HUMAN";"10598";"AHSA1";"Activator of 90 kDa heat shock protein ATPase homolog 1";"AHSA1,C14orf3";NA;0;1;1;18;17;18;"17.5";"0.71";"0.04";71;59;130;"65";"8.49";"0.13";"0.61";"0.57";"0.61";"0.59";"0.03";"0.05";18;130;"0.61";"cytoplasm, endoplasmic reticulum, cytosol, extracellular vesicular exosome"
"1072";1072;"O95450";"O95450-1";"ATS2_HUMAN";"9509";"ADAMTS2";"A disintegrin and metalloproteinase with thrombospondin motifs 2";"ADAMTS2,PCPNI,PCINP";NA;0;2;2;3;5;5;"4";"1.41";"0.35";5;7;12;"6";"1.41";"0.24";"0.02";"0.04";"0.04";"0.03";"0.01";"0.45";5;12;"0.04";"extracellular region, proteinaceous extracellular matrix"
"1075";1075;"O95466";"O95466-2";"FMNL_HUMAN";"752";"FMNL1";"Formin-like protein 1";"FMNL1,C17orf1B,C17orf1,FMNL";NA;0;1;1;40;43;45;"41.5";"2.12";"0.05";72;78;150;"75";"4.24";"0.06";"0.33";"0.37";"0.38";"0.35";"0.03";"0.08";45;150;"0.38";"plasma membrane, bleb, phagocytic vesicle, cytosol, extracellular vesicular exosome, cell cortex"
"1076";1076;"O95466";"O95466-1";"FMNL_HUMAN";"752";"FMNL1";"Formin-like protein 1";"FMNL1,C17orf1B,C17orf1,FMNL";NA;0;1;1;40;42;45;"41";"1.41";"0.03";71;77;148;"74";"4.24";"0.06";"0.34";"0.36";"0.38";"0.35";"0.02";"0.06";45;148;"0.38";"plasma membrane, bleb, phagocytic vesicle, cytosol, extracellular vesicular exosome, cell cortex"
"1083";1083;"O95497";"O95497";"VNN1_HUMAN";"8876";"VNN1";"Pantetheinase";"VNN1";NA;0;4;1;8;4;8;"6";"2.83";"0.47";10;6;16;"8";"2.83";"0.35";"0.2";"0.12";"0.2";"0.16";"0.06";"0.37";8;16;"0.2";"plasma membrane, integral component of membrane, anchored component of membrane"
"1087";1087;"O95562";"O95562";"SFT2B_HUMAN";"375035";"SFT2D2";"Vesicle transport protein SFT2B";"SFT2D2";NA;0;1;1;3;2;3;"2.5";"0.71";"0.28";3;2;5;"2.5";"0.71";"0.28";"0.17";"0.17";"0.17";"0.17";"0";"0.03";3;5;"0.17";"integral component of membrane, extracellular vesicular exosome"
"1097";1097;"O95630";"O95630";"STABP_HUMAN";"10617";"STAMBP";"STAM-binding protein";"STAMBP,AMSH";NA;0;1;1;15;15;16;"15";"0";"0";21;21;42;"21";"0";"0";"0.39";"0.39";"0.41";"0.39";"0";"0";16;42;"0.41";"cytoplasm, early endosome, cleavage furrow, plasma membrane, nucleus, extracellular vesicular exosome"
"1098";1098;"O95631";"O95631";"NET1_HUMAN";"9423";"NTN1";"Netrin-1";"NTN1,NTN1L";NA;0;1;1;4;6;7;"5";"1.41";"0.28";4;6;10;"5";"1.41";"0.28";"0.07";"0.12";"0.14";"0.1";"0.04";"0.38";7;10;"0.14";"cytoplasm, basement membrane, extracellular region"
"1110";1110;"O95716";"O95716";"RAB3D_HUMAN";"9545";"RAB3D";"Ras-related protein Rab-3D";"RAB3D,GOV,RAB16";NA;0;1;1;10;9;10;"9.5";"0.71";"0.07";31;32;63;"31.5";"0.71";"0.02";"0.52";"0.47";"0.52";"0.49";"0.04";"0.07";10;63;"0.52";"plasma membrane, zymogen granule, extracellular vesicular exosome, mitochondrion, transport vesicle"
"1111";1111;"O95721";"O95721";"SNP29_HUMAN";"9342";"SNAP29";"Synaptosomal-associated protein 29";"SNAP29";NA;0;1;1;12;10;12;"11";"1.41";"0.13";17;16;33;"16.5";"0.71";"0.04";"0.5";"0.43";"0.5";"0.46";"0.05";"0.11";12;33;"0.5";"SNARE complex, nucleus, synapse, plasma membrane, cell junction, neuron projection"
"1112";1112;"O95747";"O95747";"OXSR1_HUMAN";"9943";"OXSR1";"Serine/threonine-protein kinase OSR1";"OXSR1,KIAA1101,OSR1";NA;0;1;1;18;17;19;"17.5";"0.71";"0.04";34;36;70;"35";"1.41";"0.04";"0.4";"0.39";"0.45";"0.4";"0.01";"0.03";19;70;"0.45";"extracellular vesicular exosome, cytoplasm"
"1120";1120;"O95782";"O95782-1";"AP2A1_HUMAN";"160";"AP2A1";"AP-2 complex subunit alpha-1";"AP2A1,CLAPA1,ADTAA";NA;0;2;2;38;37;41;"37.5";"0.71";"0.02";76;74;150;"75";"1.41";"0.02";"0.48";"0.48";"0.5";"0.48";"0";"0.01";41;150;"0.5";"clathrin coat of trans-Golgi network vesicle, cytosol, AP-2 adaptor complex, apical plasma membrane, basolateral plasma membrane"
"1121";1121;"O95785";"O95785-1";"WIZ_HUMAN";"58525";"WIZ";"Protein Wiz";"WIZ,ZNF803";NA;0;2;1;19;16;19;"17.5";"2.12";"0.12";28;23;51;"25.5";"3.54";"0.14";"0.17";"0.14";"0.17";"0.16";"0.02";"0.11";19;51;"0.17";"extracellular vesicular exosome, nucleus"
"1124";1124;"O95793";"O95793-1";"STAU1_HUMAN";"6780";"STAU1";"Double-stranded RNA-binding protein Staufen homolog 1";"STAU1,STAU";NA;0;2;2;24;23;26;"23.5";"0.71";"0.03";40;36;76;"38";"2.83";"0.07";"0.46";"0.43";"0.48";"0.44";"0.02";"0.05";26;76;"0.48";"neuronal cell body, extracellular vesicular exosome, cytoplasmic stress granule, rough endoplasmic reticulum, neuron projection, microtubule associated complex"
"1125";1125;"O95793";"O95793-3";"STAU1_HUMAN";"6780";"STAU1";"Double-stranded RNA-binding protein Staufen homolog 1";"STAU1,STAU";NA;0;1;1;25;23;26;"24";"1.41";"0.06";41;36;77;"38.5";"3.54";"0.09";"0.55";"0.49";"0.55";"0.52";"0.04";"0.08";26;77;"0.55";"neuronal cell body, extracellular vesicular exosome, cytoplasmic stress granule, rough endoplasmic reticulum, neuron projection, microtubule associated complex"
"1127";1127;"O95817";"O95817";"BAG3_HUMAN";"9531";"BAG3";"BAG family molecular chaperone regulator 3";"BAG3,BIS";NA;0;1;1;17;15;17;"16";"1.41";"0.09";25;20;45;"22.5";"3.54";"0.16";"0.49";"0.45";"0.49";"0.47";"0.03";"0.07";17;45;"0.49";"plasma membrane, neuron projection, cytosol, Z disc"
"1134";1134;"O95857";"O95857";"TSN13_HUMAN";"27075";"TSPAN13";"Tetraspanin-13";"TSPAN13,NET6,TM4SF13";NA;0;2;1;5;4;5;"4.5";"0.71";"0.16";7;6;13;"6.5";"0.71";"0.11";"0.29";"0.26";"0.29";"0.28";"0.02";"0.09";5;13;"0.29";"integral component of plasma membrane"
"1135";1135;"O95858";"O95858";"TSN15_HUMAN";"23555";"TSPAN15";"Tetraspanin-15";"TSPAN15,NET7,TM4SF15";NA;0;1;1;2;3;4;"2.5";"0.71";"0.28";2;4;6;"3";"1.41";"0.47";"0.07";"0.13";"0.15";"0.1";"0.04";"0.42";4;6;"0.15";"integral component of plasma membrane"
"1137";1137;"O95864";"O95864-1";"FADS2_HUMAN";"9415";"FADS2";"Fatty acid desaturase 2";"FADS2";NA;0;3;1;19;16;19;"17.5";"2.12";"0.12";53;58;111;"55.5";"3.54";"0.06";"0.39";"0.34";"0.39";"0.36";"0.04";"0.1";19;111;"0.39";"integral component of plasma membrane, endoplasmic reticulum membrane"
"1138";1138;"O95865";"O95865";"DDAH2_HUMAN";"23564";"DDAH2";"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2";"DDAH2,DDAH,G6A,NG30";NA;0;1;1;11;11;11;"11";"0";"0";14;17;31;"15.5";"2.12";"0.14";"0.5";"0.5";"0.5";"0.5";"0";"0";11;31;"0.5";"mitochondrion, extracellular vesicular exosome"
"1143";1143;"O95972";"O95972";"BMP15_HUMAN";"9210";"BMP15";"Bone morphogenetic protein 15";"BMP15,GDF9B";NA;0;1;1;2;0;2;"1";"1.41";"1.41";3;0;3;"1.5";"2.12";"1.41";"0.05";"0";"0.05";"0.03";"0.04";"1.41";2;3;"0.05";"extracellular space"
"1144";1144;"O95977";"O95977";"S1PR4_HUMAN";"8698";"S1PR4";"Sphingosine 1-phosphate receptor 4";"S1PR4,EDG6";NA;0;1;1;6;4;6;"5";"1.41";"0.28";7;5;12;"6";"1.41";"0.24";"0.2";"0.15";"0.2";"0.17";"0.04";"0.21";6;12;"0.2";"integral component of plasma membrane"
"1145";1145;"O95980";"O95980";"RECK_HUMAN";"8434";"RECK";"Reversion-inducing cysteine-rich protein with Kazal motifs";"RECK,ST15";NA;0;1;1;3;0;3;"1.5";"2.12";"1.41";3;0;3;"1.5";"2.12";"1.41";"0.04";"0";"0.04";"0.02";"0.03";"1.41";3;3;"0.04";"membrane, plasma membrane, anchored component of membrane"
"1151";1151;"O95999";"O95999";"BCL10_HUMAN";"8915";"BCL10";"B-cell lymphoma/leukemia 10";"BCL10,CIPER,CLAP";NA;0;1;1;6;6;7;"6";"0";"0";6;7;13;"6.5";"0.71";"0.11";"0.25";"0.22";"0.25";"0.23";"0.02";"0.09";7;13;"0.25";"plasma membrane, membrane raft, perinuclear region of cytoplasm, immunological synapse, cytosol, cytoplasmic microtubule, CBM complex, nucleus, lysosome"
"1153";1153;"O96005";"O96005-1";"CLPT1_HUMAN";"1209";"CLPTM1";"Cleft lip and palate transmembrane protein 1";"CLPTM1";NA;0;2;1;17;19;19;"18";"1.41";"0.08";33;37;70;"35";"2.83";"0.08";"0.33";"0.36";"0.36";"0.35";"0.02";"0.06";19;70;"0.36";"integral component of plasma membrane, external side of plasma membrane"
"1162";1162;"O96019";"O96019-1";"ACL6A_HUMAN";"86";"ACTL6A";"Actin-like protein 6A";"ACTL6A,INO80K,BAF53A,BAF53";NA;0;3;1;17;16;17;"16.5";"0.71";"0.04";47;39;86;"43";"5.66";"0.13";"0.51";"0.47";"0.51";"0.49";"0.03";"0.06";17;86;"0.51";"Ino80 complex, NuA4 histone acetyltransferase complex, SWI/SNF complex, plasma membrane, npBAF complex"
"1168";1168;"P00338";"P00338-1";"LDHA_HUMAN";"3939";"LDHA";"L-lactate dehydrogenase A chain";"LDHA";NA;0;6;2;26;23;26;"24.5";"2.12";"0.09";272;282;554;"277";"7.07";"0.03";"0.78";"0.61";"0.78";"0.69";"0.12";"0.17";26;554;"0.78";"extracellular vesicular exosome, cilium, mitochondrion, cytosol"
"1169";1169;"P00352";"P00352";"AL1A1_HUMAN";"216";"ALDH1A1";"Retinal dehydrogenase 1";"ALDH1A1,ALDC,PUMB1,ALDH1";NA;0;1;1;0;2;2;"1";"1.41";"1.41";0;4;4;"2";"2.83";"1.41";"0";"0.06";"0.06";"0.03";"0.04";"1.41";2;4;"0.06";"cytosol, extracellular vesicular exosome"
"1173";1173;"P00390";"P00390-1";"GSHR_HUMAN";"2936";"GSR";"Glutathione reductase, mitochondrial";"GSR,GLUR,GRD1";NA;0;5;2;22;20;22;"21";"1.41";"0.07";51;45;96;"48";"4.24";"0.09";"0.61";"0.52";"0.61";"0.57";"0.07";"0.12";22;96;"0.61";"cytosol, extracellular vesicular exosome, mitochondrion"
"1177";1177;"P00441";"P00441";"SODC_HUMAN";"6647";"SOD1";"Superoxide dismutase [Cu-Zn]";"SOD1";NA;0;1;1;6;5;6;"5.5";"0.71";"0.13";19;18;37;"18.5";"0.71";"0.04";"0.65";"0.49";"0.65";"0.57";"0.11";"0.19";6;37;"0.65";"extracellular matrix, mitochondrial matrix, cytosol, cytoplasmic vesicle, dendrite cytoplasm, peroxisome, protein complex, extracellular space, extracellular vesicular exosome, neuronal cell body, nucleus"
"1179";1179;"P00491";"P00491";"PNPH_HUMAN";"4860";"PNP";"Purine nucleoside phosphorylase";"PNP,NP";NA;0;1;1;19;18;19;"18.5";"0.71";"0.04";122;137;259;"129.5";"10.61";"0.08";"0.77";"0.71";"0.77";"0.74";"0.04";"0.06";19;259;"0.77";"cytosol, extracellular vesicular exosome, cytoskeleton"
"1180";1180;"P00492";"P00492";"HPRT_HUMAN";"3251";"HPRT1";"Hypoxanthine-guanine phosphoribosyltransferase";"HPRT1,HPRT";NA;0;1;1;12;12;13;"12";"0";"0";64;82;146;"73";"12.73";"0.17";"0.62";"0.66";"0.69";"0.64";"0.02";"0.04";13;146;"0.69";"cytosol, extracellular vesicular exosome"
"1181";1181;"P00505";"P00505";"AATM_HUMAN";"2806";"GOT2";"Aspartate aminotransferase, mitochondrial";"GOT2";NA;0;1;1;24;22;24;"23";"1.41";"0.06";76;67;143;"71.5";"6.36";"0.09";"0.62";"0.52";"0.62";"0.57";"0.07";"0.12";24;143;"0.62";"mitochondrial matrix, extracellular vesicular exosome, mitochondrial inner membrane, plasma membrane"
"1182";1182;"P00558";"P00558";"PGK1_HUMAN";"5230";"PGK1";"Phosphoglycerate kinase 1";"PGK1,PGKA";NA;0;1;1;36;36;36;"36";"0";"0";753;734;1487;"743.5";"13.44";"0.02";"0.84";"0.84";"0.84";"0.84";"0";"0";36;1487;"0.84";"extracellular vesicular exosome, cytosol"
"1183";1183;"P00734";"P00734";"THRB_HUMAN";"2147";"F2";"Prothrombin";"F2";NA;0;1;1;3;6;6;"4.5";"2.12";"0.47";8;11;19;"9.5";"2.12";"0.22";"0.05";"0.1";"0.1";"0.07";"0.04";"0.47";6;19;"0.1";"endoplasmic reticulum lumen, Golgi lumen, plasma membrane, blood microparticle"
"1184";1184;"P00746";"P00746";"CFAD_HUMAN";"1675";"CFD";"Complement factor D";"CFD,DF,PFD";NA;0;1;1;3;2;3;"2.5";"0.71";"0.28";3;2;5;"2.5";"0.71";"0.28";"0.15";"0.13";"0.15";"0.14";"0.02";"0.12";3;5;"0.15";"extracellular space, platelet alpha granule lumen, extracellular vesicular exosome"
"1185";1185;"P00747";"P00747";"PLMN_HUMAN";"5340";"PLG";"Plasminogen";"PLG";NA;0;1;1;4;4;5;"4";"0";"0";9;7;16;"8";"1.41";"0.18";"0.05";"0.05";"0.06";"0.05";"0";"0";5;16;"0.06";"extrinsic component of external side of plasma membrane, extracellular vesicular exosome, blood microparticle, platelet alpha granule lumen"
"1186";1186;"P00749";"P00749-1";"UROK_HUMAN";"5328";"PLAU";"Urokinase-type plasminogen activator";"PLAU";NA;0;2;2;4;5;5;"4.5";"0.71";"0.16";6;6;12;"6";"0";"0";"0.1";"0.12";"0.12";"0.11";"0.02";"0.15";5;12;"0.12";"plasma membrane, extracellular space, cell surface"
"1187";1187;"P00813";"P00813";"ADA_HUMAN";"100";"ADA";"Adenosine deaminase";"ADA,ADA1";NA;0;1;1;17;18;19;"17.5";"0.71";"0.04";31;32;63;"31.5";"0.71";"0.02";"0.53";"0.51";"0.53";"0.52";"0.01";"0.02";19;63;"0.53";"external side of plasma membrane, cytosol, dendrite cytoplasm, cell junction, lysosome, cytoplasmic membrane-bounded vesicle lumen, extracellular space, neuronal cell body"
"1190";1190;"P00918";"P00918";"CAH2_HUMAN";"760";"CA2";"Carbonic anhydrase 2";"CA2";NA;0;1;1;13;12;13;"12.5";"0.71";"0.06";33;32;65;"32.5";"0.71";"0.02";"0.63";"0.53";"0.63";"0.58";"0.07";"0.12";13;65;"0.63";"extracellular space, microvillus, extracellular vesicular exosome, axon, cytosol, apical part of cell, plasma membrane, basolateral plasma membrane"
"1191";1191;"P01008";"P01008";"ANT3_HUMAN";"462";"SERPINC1";"Antithrombin-III";"SERPINC1,AT3";NA;0;1;1;4;3;5;"3.5";"0.71";"0.2";4;4;8;"4";"0";"0";"0.06";"0.05";"0.07";"0.05";"0.01";"0.14";5;8;"0.07";"blood microparticle, plasma membrane"
"1192";1192;"P01023";"P01023";"A2MG_HUMAN";"2";"A2M";"Alpha-2-macroglobulin";"A2M,CPAMD5";NA;0;3;1;0;3;3;"1.5";"2.12";"1.41";0;4;4;"2";"2.83";"1.41";"0";"0.02";"0.02";"0.01";"0.01";"1.41";3;4;"0.02";"blood microparticle, extracellular vesicular exosome, cytosol, platelet alpha granule lumen"
"1193";1193;"P01024";"P01024";"CO3_HUMAN";"718";"C3";"Complement C3";"C3,CPAMD1";NA;0;1;1;3;0;3;"1.5";"2.12";"1.41";3;0;3;"1.5";"2.12";"1.41";"0.01";"0";"0.01";"0.01";"0.01";"1.41";3;3;"0.01";"extracellular vesicular exosome, blood microparticle, plasma membrane"
"1194";1194;"P01031";"P01031";"CO5_HUMAN";"727";"C5";"Complement C5";"C5,CPAMD4";NA;0;1;1;2;3;5;"2.5";"0.71";"0.28";2;3;5;"2.5";"0.71";"0.28";"0.01";"0.02";"0.03";"0.01";"0.01";"0.43";5;5;"0.03";"extracellular space, extracellular vesicular exosome, membrane attack complex"
"1195";1195;"P01033";"P01033";"TIMP1_HUMAN";"7076";"TIMP1";"Metalloproteinase inhibitor 1";"TIMP1,TIMP,CLGI";NA;0;1;1;6;7;7;"6.5";"0.71";"0.11";10;14;24;"12";"2.83";"0.24";"0.42";"0.45";"0.45";"0.44";"0.02";"0.05";7;24;"0.45";"extracellular region, basement membrane, platelet alpha granule lumen"
"1196";1196;"P01034";"P01034";"CYTC_HUMAN";"1471";"CST3";"Cystatin-C";"CST3";NA;0;1;1;1;1;1;"1";"0";"0";1;1;2;"1";"0";"0";"0.11";"0.11";"0.11";"0.11";"0";"0";1;2;"0.11";"lysosome, multivesicular body, endoplasmic reticulum, extracellular vesicular exosome, contractile fiber, extracellular space, neuronal cell body, nuclear membrane, perinuclear region of cytoplasm, cell projection, basement membrane"
"1198";1198;"P01111";"P01111";"RASN_HUMAN";"4893";"NRAS";"GTPase NRas";"NRAS,HRAS1";NA;0;1;1;8;8;8;"8";"0";"0";11;11;22;"11";"0";"0";"0.52";"0.52";"0.52";"0.52";"0";"0";8;22;"0.52";"Golgi membrane, extracellular vesicular exosome, plasma membrane"
"1199";1199;"P01112";"P01112-1";"RASH_HUMAN";"3265";"HRAS";"GTPase HRas";"HRAS,HRAS1";NA;0;2;1;8;7;8;"7.5";"0.71";"0.09";12;11;23;"11.5";"0.71";"0.06";"0.56";"0.48";"0.56";"0.52";"0.06";"0.11";8;23;"0.56";"Golgi membrane, perinuclear region of cytoplasm, Golgi apparatus, plasma membrane, cytosol, nucleus"
"1200";1200;"P01116";"P01116-1";"RASK_HUMAN";"3845";"KRAS";"GTPase KRas";"KRAS,RASK2,KRAS2";NA;0;1;1;8;8;8;"8";"0";"0";12;12;24;"12";"0";"0";"0.51";"0.51";"0.51";"0.51";"0";"0";8;24;"0.51";"plasma membrane, membrane raft, mitochondrion"
"1201";1201;"P01116";"P01116-2";"RASK_HUMAN";"3845";"KRAS";"GTPase KRas";"KRAS,RASK2,KRAS2";NA;0;1;1;8;8;8;"8";"0";"0";12;12;24;"12";"0";"0";"0.53";"0.53";"0.53";"0.53";"0";"0";8;24;"0.53";"plasma membrane, membrane raft, mitochondrion"
"1202";1202;"P01130";"P01130-1";"LDLR_HUMAN";"3949";"LDLR";"Low-density lipoprotein receptor";"LDLR";NA;0;4;3;7;9;11;"8";"1.41";"0.18";7;10;17;"8.5";"2.12";"0.25";"0.1";"0.13";"0.15";"0.11";"0.03";"0.22";11;17;"0.15";"Golgi apparatus, late endosome, integral component of plasma membrane, early endosome, low-density lipoprotein particle, coated pit, lysosome, receptor complex, external side of plasma membrane, endosome membrane, clathrin-coated endocytic vesicle membrane"
"1203";1203;"P01137";"P01137";"TGFB1_HUMAN";"7040";"TGFB1";"Transforming growth factor beta-1";"TGFB1,TGFB";NA;0;1;1;14;13;14;"13.5";"0.71";"0.05";23;22;45;"22.5";"0.71";"0.03";"0.34";"0.32";"0.34";"0.33";"0.01";"0.04";14;45;"0.34";"cell surface, Golgi lumen, platelet alpha granule lumen, axon, neuronal cell body, blood microparticle, proteinaceous extracellular matrix, nucleus"
"1204";1204;"P01266";"P01266-1";"THYG_HUMAN";"7038";"TG";"Thyroglobulin";"TG";NA;0;2;2;0;2;2;"1";"1.41";"1.41";0;2;2;"1";"1.41";"1.41";"0";"0.01";"0.01";"0";"0";"1.41";2;2;"0.01";"extracellular space"
"1205";1205;"P01579";"P01579";"IFNG_HUMAN";"3458";"IFNG";"Interferon gamma";"IFNG";NA;0;1;1;2;0;2;"1";"1.41";"1.41";2;0;2;"1";"1.41";"1.41";"0.21";"0";"0.21";"0.11";"0.15";"1.41";2;2;"0.21";"extracellular space, external side of plasma membrane"
"1206";1206;"P01589";"P01589";"IL2RA_HUMAN";"3559";"IL2RA";"Interleukin-2 receptor subunit alpha";"IL2RA";NA;0;1;1;0;1;1;"0.5";"0.71";"1.41";0;1;1;"0.5";"0.71";"1.41";"0";"0.04";"0.04";"0.02";"0.03";"1.41";1;1;"0.04";"integral component of membrane, external side of plasma membrane, plasma membrane"
"1207";1207;"P01591";"P01591";"IGJ_HUMAN";"3512";"IGJ";"Immunoglobulin J chain";"IGJ,IGCJ";NA;0;1;1;0;3;3;"1.5";"2.12";"1.41";0;3;3;"1.5";"2.12";"1.41";"0";"0.21";"0.21";"0.1";"0.15";"1.41";3;3;"0.21";"blood microparticle, extracellular vesicular exosome"
"1208";1208;"P01730";"P01730";"CD4_HUMAN";"920";"CD4";"T-cell surface glycoprotein CD4";"CD4";NA;0;1;1;8;6;9;"7";"1.41";"0.2";10;8;18;"9";"1.41";"0.16";"0.18";"0.15";"0.19";"0.16";"0.03";"0.16";9;18;"0.19";"T cell receptor complex, membrane raft, endoplasmic reticulum lumen, integral component of membrane, endoplasmic reticulum membrane, early endosome, external side of plasma membrane"
"1209";1209;"P01889";"P01889";"1B07_HUMAN";"3106";"HLA-B";"HLA class I histocompatibility antigen, B-7 alpha chain";"HLA-B,HLAB";NA;0;3;1;13;12;14;"12.5";"0.71";"0.06";80;67;147;"73.5";"9.19";"0.13";"0.46";"0.44";"0.47";"0.45";"0.01";"0.03";14;147;"0.47";"integral component of lumenal side of endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, MHC class I protein complex, Golgi membrane, cell surface, phagocytic vesicle membrane, extracellular vesicular exosome, integral component of plasma membrane, early endosome membrane"
