Group;AC;ID;Entrez_ID;Gene_symbol;Descr;SP_GN;Entrez_GN;Non_spec_binder;Group_size;Specific_reporter;Pc_P4569-1.merged;Pc_P4569-2.merged;Pc_grp0;Pc_mean_grp0;Pc_sd_grp0;Pc_CV_grp0;Sc_P4569-1.merged;Sc_P4569-2.merged;Sc_grp0;Sc_mean_grp0;Sc_sd_grp0;Sc_CV_grp0;Seqcov_P4569-1.merged;Seqcov_P4569-2.merged;Seqcov_grp0;Seqcov_mean_grp0;Seqcov_sd_grp0;Seqcov_CV_grp0;Glob_pc;Glob_sc;Glob_seqcov
O00566;O00566;MPP10_HUMAN;10199;MPHOSPH10;U3 small nucleolar ribonucleoprotein protein MPP10;MPHOSPH10,MPP10;NA;0;1;1;21;20;24;20.5;0.71;0.03;31;27;58;29;2.83;0.1;0.34;0.31;0.37;0.32;0.02;0.06;24;58;0.37
P37837;P37837;TALDO_HUMAN;6888;TALDO1;Transaldolase;TALDO1,TALDO,TAL,TALDOR;NA;0;1;1;24;23;24;23.5;0.71;0.03;128;124;252;126;2.83;0.02;0.52;0.51;0.52;0.51;0.01;0.02;24;252;0.52
P05771-1;P05771-1;KPCB_HUMAN;5579;PRKCB;Protein kinase C beta type;PRKCB,PRKCB1,PKCB;NA;0;1;1;20;20;24;20;0;0;34;31;65;32.5;2.12;0.07;0.38;0.33;0.43;0.36;0.03;0.1;24;65;0.43
P63244;P63244;GBLP_HUMAN;10399;GNB2L1;Guanine nucleotide-binding protein subunit beta-2-like 1;GNB2L1;NA;0;1;1;23;23;24;23;0;0;337;325;662;331;8.49;0.03;0.83;0.84;0.84;0.83;0;0;24;662;0.84
Q13049;Q13049;TRI32_HUMAN;22954;TRIM32;E3 ubiquitin-protein ligase TRIM32;TRIM32,HT2A;NA;0;1;1;22;18;24;20;2.83;0.14;28;20;48;24;5.66;0.24;0.43;0.32;0.46;0.38;0.08;0.22;24;48;0.46
Q16181-1;Q16181-1;SEPT7_HUMAN;989;SEPT7;Septin-7;SEPT7,CDC10;NA;0;3;1;24;19;24;21.5;3.54;0.16;57;53;110;55;2.83;0.05;0.61;0.44;0.61;0.53;0.12;0.22;24;110;0.61
Q12849-1;Q12849-1;GRSF1_HUMAN;2926;GRSF1;G-rich sequence factor 1;GRSF1;NA;0;2;1;23;21;24;22;1.41;0.06;40;36;76;38;2.83;0.07;0.56;0.46;0.56;0.51;0.07;0.14;24;76;0.56
Q8WYB5-1;Q8WYB5-1;KAT6B_HUMAN;23522;KAT6B;Histone acetyltransferase KAT6B;KAT6B,KIAA0383,MYST4,MORF,MOZ2;NA;0;3;1;20;17;24;18.5;2.12;0.11;23;21;44;22;1.41;0.06;0.11;0.1;0.13;0.11;0.01;0.09;24;44;0.13
Q6F5E8-1;Q6F5E8-1;LR16C_HUMAN;146206;RLTPR;Leucine-rich repeat-containing protein 16C;RLTPR,LRRC16C;NA;0;1;1;22;22;24;22;0;0;25;25;50;25;0;0;0.21;0.2;0.22;0.2;0.01;0.03;24;50;0.22
Q9UQB8-1;Q9UQB8-1;BAIP2_HUMAN;10458;BAIAP2;Brain-specific angiogenesis inhibitor 1-associated protein 2;BAIAP2;NA;0;6;6;20;22;24;21;1.41;0.07;24;30;54;27;4.24;0.16;0.47;0.5;0.54;0.49;0.02;0.05;24;54;0.54
Q9NNW5;Q9NNW5;WDR6_HUMAN;11180;WDR6;WD repeat-containing protein 6;WDR6;NA;0;1;1;24;21;24;22.5;2.12;0.09;37;35;72;36;1.41;0.04;0.28;0.26;0.28;0.27;0.02;0.06;24;72;0.28
Q8WWK9-1;Q8WWK9-1;CKAP2_HUMAN;26586;CKAP2;Cytoskeleton-associated protein 2;CKAP2,LB1,TMAP;NA;0;3;1;22;22;24;22;0;0;27;31;58;29;2.83;0.1;0.32;0.36;0.36;0.34;0.02;0.07;24;58;0.36
Q13043-1;Q13043-1;STK4_HUMAN;6789;STK4;Serine/threonine-protein kinase 4;STK4,KRS2,MST1;NA;0;2;1;23;23;24;23;0;0;50;49;99;49.5;0.71;0.01;0.55;0.55;0.55;0.55;0;0;24;99;0.55
P07437;P07437;TBB5_HUMAN;203068;TUBB;Tubulin beta chain;TUBB,TUBB5;NA;0;1;1;24;24;24;24;0;0;812;744;1556;778;48.08;0.06;0.73;0.73;0.73;0.73;0;0;24;1556;0.73
P25440-1;P25440-1;BRD2_HUMAN;6046;BRD2;Bromodomain-containing protein 2;BRD2,KIAA9001,RING3;NA;0;2;2;22;22;24;22;0;0;36;35;71;35.5;0.71;0.02;0.31;0.31;0.33;0.31;0;0;24;71;0.33
Q6ZRI6-1;Q6ZRI6-1;CO039_HUMAN;56905;C15orf39;Uncharacterized protein C15orf39;C15orf39;NA;0;2;1;22;22;24;22;0;0;29;28;57;28.5;0.71;0.02;0.35;0.34;0.36;0.35;0;0.01;24;57;0.36
Q9BSC4-1;Q9BSC4-1;NOL10_HUMAN;79954;NOL10;Nucleolar protein 10;NOL10;NA;0;3;1;22;20;24;21;1.41;0.07;37;36;73;36.5;0.71;0.02;0.38;0.34;0.41;0.36;0.02;0.07;24;73;0.41
P08603-1;P08603-1;CFAH_HUMAN;3075;CFH;Complement factor H;CFH,HF,HF1,HF2;NA;0;3;1;21;21;24;21;0;0;22;25;47;23.5;2.12;0.09;0.22;0.22;0.25;0.22;0;0.02;24;47;0.25
P04350;P04350;TBB4A_HUMAN;10382;TUBB4A;Tubulin beta-4A chain;TUBB4A,TUBB5,TUBB4;NA;0;1;1;24;24;24;24;0;0;602;575;1177;588.5;19.09;0.03;0.74;0.74;0.74;0.74;0;0;24;1177;0.74
P41240;P41240;CSK_HUMAN;1445;CSK;Tyrosine-protein kinase CSK;CSK;NA;0;1;1;23;24;24;23.5;0.71;0.03;52;62;114;57;7.07;0.12;0.56;0.59;0.59;0.57;0.02;0.04;24;114;0.59
P12236;P12236;ADT3_HUMAN;293;SLC25A6;ADP/ATP translocase 3;SLC25A6,ANT3;NA;0;2;1;22;21;24;21.5;0.71;0.03;337;310;647;323.5;19.09;0.06;0.68;0.56;0.68;0.62;0.09;0.14;24;647;0.68
P27487;P27487;DPP4_HUMAN;1803;DPP4;Dipeptidyl peptidase 4;DPP4,ADCP2,CD26;NA;0;1;1;21;20;24;20.5;0.71;0.03;29;30;59;29.5;0.71;0.02;0.28;0.27;0.31;0.27;0;0.02;24;59;0.31
P28288-1;P28288-1;ABCD3_HUMAN;5825;ABCD3;ATP-binding cassette sub-family D member 3;ABCD3,PMP70,PXMP1;NA;0;3;1;23;22;24;22.5;0.71;0.03;41;44;85;42.5;2.12;0.05;0.4;0.36;0.41;0.38;0.03;0.07;24;85;0.41
Q969V3-1;Q969V3-1;NCLN_HUMAN;56926;NCLN;Nicalin;NCLN;NA;0;2;2;23;22;24;22.5;0.71;0.03;44;41;85;42.5;2.12;0.05;0.45;0.43;0.46;0.44;0.01;0.02;24;85;0.46
Q9UHW9-2;Q9UHW9-2;S12A6_HUMAN;9990;SLC12A6;Solute carrier family 12 member 6;SLC12A6,KCC3;NA;0;6;1;21;21;24;21;0;0;25;25;50;25;0;0;0.23;0.2;0.25;0.22;0.02;0.09;24;50;0.25
Q9Y266;Q9Y266;NUDC_HUMAN;10726;NUDC;Nuclear migration protein nudC;NUDC;NA;0;1;1;20;21;24;20.5;0.71;0.03;84;95;179;89.5;7.78;0.09;0.61;0.6;0.71;0.6;0.01;0.02;24;179;0.71
P21675-1;P21675-1;TAF1_HUMAN;6872;TAF1;Transcription initiation factor TFIID subunit 1;TAF1,BA2R,CCGS,CCG1,TAF2A;NA;0;4;4;22;18;24;20;2.83;0.14;27;23;50;25;2.83;0.11;0.13;0.12;0.15;0.12;0.01;0.09;24;50;0.15
Q14161-1;Q14161-1;GIT2_HUMAN;9815;GIT2;ARF GTPase-activating protein GIT2;GIT2,KIAA0148;NA;0;7;1;22;23;24;22.5;0.71;0.03;35;34;69;34.5;0.71;0.02;0.4;0.39;0.42;0.39;0;0.01;24;69;0.42
O00425-1;O00425-1;IF2B3_HUMAN;10643;IGF2BP3;Insulin-like growth factor 2 mRNA-binding protein 3;IGF2BP3,VICKZ3,KOC1,IMP3;NA;0;2;1;23;23;24;23;0;0;46;44;90;45;1.41;0.03;0.47;0.47;0.49;0.47;0;0;24;90;0.49
Q9H8H2-1;Q9H8H2-1;DDX31_HUMAN;64794;DDX31;Probable ATP-dependent RNA helicase DDX31;DDX31;NA;0;4;1;23;20;24;21.5;2.12;0.1;29;24;53;26.5;3.54;0.13;0.28;0.26;0.29;0.27;0.02;0.07;24;53;0.29
P23396;P23396;RS3_HUMAN;6188;RPS3;40S ribosomal protein S3;RPS3;NA;0;1;1;24;23;24;23.5;0.71;0.03;177;172;349;174.5;3.54;0.02;0.85;0.84;0.85;0.84;0.01;0.01;24;349;0.85
P38398-4;P38398-4;BRCA1_HUMAN;672;BRCA1;Breast cancer type 1 susceptibility protein;BRCA1,RNF53;NA;0;5;1;20;19;24;19.5;0.71;0.04;24;22;46;23;1.41;0.06;0.16;0.14;0.18;0.15;0.02;0.11;24;46;0.18
P98194-1;P98194-1;AT2C1_HUMAN;27032;ATP2C1;Calcium-transporting ATPase type 2C member 1;ATP2C1,KIAA1347,PMR1L;NA;0;3;2;21;19;24;20;1.41;0.07;25;23;48;24;1.41;0.06;0.29;0.27;0.33;0.28;0.02;0.07;24;48;0.33
Q14240-1;Q14240-1;IF4A2_HUMAN;1974;EIF4A2;Eukaryotic initiation factor 4A-II;EIF4A2,EIF4F,DDX2B;NA;0;2;2;24;23;24;23.5;0.71;0.03;159;152;311;155.5;4.95;0.03;0.58;0.53;0.58;0.55;0.03;0.06;24;311;0.58
Q6P3W7;Q6P3W7;SCYL2_HUMAN;55681;SCYL2;SCY1-like protein 2;SCYL2,CVAK104,KIAA1360;NA;0;1;1;22;22;24;22;0;0;36;36;72;36;0;0;0.3;0.3;0.33;0.3;0;0;24;72;0.33
Q92540-4;Q92540-4;SMG7_HUMAN;9887;SMG7;Protein SMG7;SMG7,KIAA0250,EST1C,C1orf16;NA;0;3;1;20;18;24;19;1.41;0.07;22;21;43;21.5;0.71;0.03;0.21;0.19;0.25;0.2;0.02;0.08;24;43;0.25
Q2PPJ7-1;Q2PPJ7-1;RGPA2_HUMAN;57186;RALGAPA2;Ral GTPase-activating protein subunit alpha-2;RALGAPA2,KIAA1272,C20orf74;NA;0;3;3;19;18;24;18.5;0.71;0.04;31;33;64;32;1.41;0.04;0.12;0.1;0.14;0.11;0.01;0.09;24;64;0.14
Q14161-5;Q14161-5;GIT2_HUMAN;9815;GIT2;ARF GTPase-activating protein GIT2;GIT2,KIAA0148;NA;0;4;1;22;23;24;22.5;0.71;0.03;35;35;70;35;0;0;0.41;0.41;0.44;0.41;0;0.01;24;70;0.44
Q93100-4;Q93100-4;KPBB_HUMAN;5257;PHKB;Phosphorylase b kinase regulatory subunit beta;PHKB;NA;0;4;1;19;19;24;19;0;0;21;24;45;22.5;2.12;0.09;0.22;0.21;0.27;0.22;0;0.01;24;45;0.27
Q92995;Q92995;UBP13_HUMAN;8975;USP13;Ubiquitin carboxyl-terminal hydrolase 13;USP13,ISOT3;NA;0;1;1;21;18;24;19.5;2.12;0.11;30;24;54;27;4.24;0.16;0.32;0.25;0.36;0.28;0.05;0.18;24;54;0.36
P50454;P50454;SERPH_HUMAN;871;SERPINH1;Serpin H1;SERPINH1,CBP2,SERPINH2,HSP47,CBP1;NA;0;1;1;23;22;24;22.5;0.71;0.03;57;52;109;54.5;3.54;0.06;0.61;0.54;0.63;0.57;0.05;0.08;24;109;0.63
Q9Y4X5;Q9Y4X5;ARI1_HUMAN;25820;ARIH1;E3 ubiquitin-protein ligase ARIH1;ARIH1,UBCH7BP,ARI,MOP6;NA;0;1;1;24;23;24;23.5;0.71;0.03;46;47;93;46.5;0.71;0.02;0.55;0.47;0.55;0.51;0.05;0.1;24;93;0.55
P60709;P60709;ACTB_HUMAN;60;ACTB;Actin, cytoplasmic 1;ACTB;NA;0;1;1;23;24;24;23.5;0.71;0.03;1952;1888;3840;1920;45.25;0.02;0.78;0.78;0.78;0.78;0;0;24;3840;0.78
Q13112;Q13112;CAF1B_HUMAN;8208;CHAF1B;Chromatin assembly factor 1 subunit B;CHAF1B,MPHOSPH7,CAF1A,MPP7,CAF1P60;NA;0;1;1;22;21;24;21.5;0.71;0.03;39;36;75;37.5;2.12;0.06;0.41;0.41;0.44;0.41;0;0.01;24;75;0.44
P24752;P24752;THIL_HUMAN;38;ACAT1;Acetyl-CoA acetyltransferase, mitochondrial;ACAT1,ACAT,MAT;NA;0;1;1;22;23;24;22.5;0.71;0.03;75;82;157;78.5;4.95;0.06;0.63;0.58;0.63;0.61;0.04;0.06;24;157;0.63
Q13233;Q13233;M3K1_HUMAN;4214;MAP3K1;Mitogen-activated protein kinase kinase kinase 1;MAP3K1,MAPKKK1,MEKK1,MEKK;NA;0;1;1;21;22;24;21.5;0.71;0.03;25;27;52;26;1.41;0.05;0.16;0.18;0.18;0.17;0.01;0.08;24;52;0.18
Q6ZNB6-1;Q6ZNB6-1;NFXL1_HUMAN;152518;NFXL1;NF-X1-type zinc finger protein NFXL1;NFXL1,OZFP;NA;0;2;1;21;21;24;21;0;0;30;29;59;29.5;0.71;0.02;0.33;0.32;0.37;0.33;0;0;24;59;0.37
Q8N8A6;Q8N8A6;DDX51_HUMAN;317781;DDX51;ATP-dependent RNA helicase DDX51;DDX51;NA;0;1;1;23;23;24;23;0;0;35;34;69;34.5;0.71;0.02;0.46;0.45;0.47;0.45;0;0.01;24;69;0.47
P43490;P43490;NAMPT_HUMAN;10135;NAMPT;Nicotinamide phosphoribosyltransferase;NAMPT,PBEF,PBEF1;NA;0;1;1;22;23;24;22.5;0.71;0.03;40;41;81;40.5;0.71;0.02;0.52;0.52;0.56;0.52;0.01;0.01;24;81;0.56
Q96Q05-1;Q96Q05-1;TPPC9_HUMAN;83696;TRAPPC9;Trafficking protein particle complex subunit 9;TRAPPC9,NIBP,KIAA1882;NA;0;3;3;23;20;24;21.5;2.12;0.1;28;22;50;25;4.24;0.17;0.22;0.21;0.24;0.21;0.01;0.03;24;50;0.24
O75874;O75874;IDHC_HUMAN;3417;IDH1;Isocitrate dehydrogenase [NADP] cytoplasmic;IDH1,PICD;NA;0;1;1;21;22;24;21.5;0.71;0.03;74;64;138;69;7.07;0.1;0.51;0.52;0.57;0.52;0.01;0.01;24;138;0.57
P49711;P49711;CTCF_HUMAN;10664;CTCF;Transcriptional repressor CTCF;CTCF;NA;0;1;1;23;23;24;23;0;0;38;41;79;39.5;2.12;0.05;0.33;0.32;0.33;0.33;0.01;0.02;24;79;0.33
P31146;P31146;COR1A_HUMAN;11151;CORO1A;Coronin-1A;CORO1A,CORO1;NA;0;1;1;23;22;24;22.5;0.71;0.03;87;86;173;86.5;0.71;0.01;0.48;0.44;0.49;0.46;0.02;0.05;24;173;0.49
Q96NW4;Q96NW4;ANR27_HUMAN;84079;ANKRD27;Ankyrin repeat domain-containing protein 27;ANKRD27;NA;0;1;1;21;20;24;20.5;0.71;0.03;27;23;50;25;2.83;0.11;0.32;0.29;0.35;0.3;0.02;0.06;24;50;0.35
Q13017-1;Q13017-1;RHG05_HUMAN;394;ARHGAP5;Rho GTPase-activating protein 5;ARHGAP5,RHOGAP5;NA;0;4;2;21;21;24;21;0;0;23;24;47;23.5;0.71;0.03;0.19;0.2;0.22;0.19;0.01;0.04;24;47;0.22
Q8IZL8-1;Q8IZL8-1;PELP1_HUMAN;27043;PELP1;Proline-, glutamic acid- and leucine-rich protein 1;PELP1,HMX3,MNAR;NA;0;2;1;23;23;24;23;0;0;45;48;93;46.5;2.12;0.05;0.32;0.31;0.32;0.31;0;0.01;24;93;0.32
Q6P1J9;Q6P1J9;CDC73_HUMAN;79577;CDC73;Parafibromin;CDC73,C1orf28,HRPT2;NA;0;1;1;22;21;24;21.5;0.71;0.03;30;29;59;29.5;0.71;0.02;0.41;0.41;0.44;0.41;0;0;24;59;0.44
P35908;P35908;K22E_HUMAN;3849;KRT2;Keratin, type II cytoskeletal 2 epidermal;KRT2,KRT2A,KRT2E;NA;0;2;1;22;22;24;22;0;0;28;29;57;28.5;0.71;0.02;0.41;0.37;0.42;0.39;0.03;0.07;24;57;0.42
Q6ZRP7;Q6ZRP7;QSOX2_HUMAN;169714;QSOX2;Sulfhydryl oxidase 2;QSOX2,QSCN6L1,SOXN;NA;0;1;1;21;18;24;19.5;2.12;0.11;27;26;53;26.5;0.71;0.03;0.34;0.29;0.39;0.32;0.04;0.12;24;53;0.39
Q86UV5-1;Q86UV5-1;UBP48_HUMAN;84196;USP48;Ubiquitin carboxyl-terminal hydrolase 48;USP48,USP31;NA;0;6;1;22;17;24;19.5;3.54;0.18;29;25;54;27;2.83;0.1;0.3;0.21;0.31;0.25;0.06;0.23;24;54;0.31
Q8TB72-3;Q8TB72-3;PUM2_HUMAN;23369;PUM2;Pumilio homolog 2;PUM2,KIAA0235,PUMH2;NA;0;3;1;22;24;24;23;1.41;0.06;39;40;79;39.5;0.71;0.02;0.26;0.28;0.28;0.27;0.01;0.05;24;79;0.28
Q6ZRI6-2;Q6ZRI6-2;CO039_HUMAN;56905;C15orf39;Uncharacterized protein C15orf39;C15orf39;NA;0;1;1;22;20;24;21;1.41;0.07;28;25;53;26.5;2.12;0.08;0.36;0.34;0.38;0.35;0.01;0.04;24;53;0.38
Q9UJX4-1;Q9UJX4-1;APC5_HUMAN;51433;ANAPC5;Anaphase-promoting complex subunit 5;ANAPC5,APC5;NA;0;2;1;23;20;24;21.5;2.12;0.1;30;25;55;27.5;3.54;0.13;0.4;0.34;0.41;0.37;0.04;0.12;24;55;0.41
Q9H4L7-1;Q9H4L7-1;SMRCD_HUMAN;56916;SMARCAD1;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1;SMARCAD1,KIAA1122;NA;0;3;2;22;15;24;18.5;4.95;0.27;32;22;54;27;7.07;0.26;0.26;0.17;0.28;0.21;0.07;0.32;24;54;0.28
Q5H9U9-1;Q5H9U9-1;DDX6L_HUMAN;91351;DDX60L;Probable ATP-dependent RNA helicase DDX60-like;DDX60L;NA;0;2;1;15;18;23;16.5;2.12;0.13;17;22;39;19.5;3.54;0.18;0.12;0.11;0.16;0.12;0;0;23;39;0.16
Q9Y3L3-1;Q9Y3L3-1;3BP1_HUMAN;23616;SH3BP1;SH3 domain-binding protein 1;SH3BP1;NA;0;2;1;22;21;23;21.5;0.71;0.03;35;32;67;33.5;2.12;0.06;0.42;0.42;0.43;0.42;0;0;23;67;0.43
Q8NHU6-1;Q8NHU6-1;TDRD7_HUMAN;23424;TDRD7;Tudor domain-containing protein 7;TDRD7,PCTAIRE2BP;NA;0;3;1;18;18;23;18;0;0;21;21;42;21;0;0;0.17;0.19;0.24;0.18;0.01;0.07;23;42;0.24
Q8TDW0;Q8TDW0;LRC8C_HUMAN;84230;LRRC8C;Leucine-rich repeat-containing protein 8C;LRRC8C,FAD158,AD158;NA;0;1;1;21;21;23;21;0;0;34;30;64;32;2.83;0.09;0.3;0.3;0.33;0.3;0.01;0.02;23;64;0.33
P13674-2;P13674-2;P4HA1_HUMAN;5033;P4HA1;Prolyl 4-hydroxylase subunit alpha-1;P4HA1,P4HA;NA;0;1;1;23;19;23;21;2.83;0.13;41;35;76;38;4.24;0.11;0.42;0.37;0.42;0.4;0.03;0.09;23;76;0.42
P18031;P18031;PTN1_HUMAN;5770;PTPN1;Tyrosine-protein phosphatase non-receptor type 1;PTPN1,PTP1B;NA;0;1;1;22;20;23;21;1.41;0.07;35;33;68;34;1.41;0.04;0.59;0.54;0.59;0.57;0.04;0.06;23;68;0.59
O14975-1;O14975-1;S27A2_HUMAN;11001;SLC27A2;Very long-chain acyl-CoA synthetase;SLC27A2,VLACS,FATP2,FACVL1,ACSVL1;NA;0;2;1;22;21;23;21.5;0.71;0.03;34;35;69;34.5;0.71;0.02;0.35;0.33;0.36;0.34;0.01;0.02;23;69;0.36
Q96RS0;Q96RS0;TGS1_HUMAN;96764;TGS1;Trimethylguanosine synthase;TGS1,NCOA6IP,PIMT,HCA137;NA;0;1;1;22;21;23;21.5;0.71;0.03;33;31;64;32;1.41;0.04;0.32;0.31;0.32;0.31;0.01;0.02;23;64;0.32
P04114;P04114;APOB_HUMAN;338;APOB;Apolipoprotein B-100;APOB;NA;0;1;1;14;17;23;15.5;2.12;0.14;16;20;36;18;2.83;0.16;0.03;0.04;0.05;0.03;0.01;0.22;23;36;0.05
Q9NR19;Q9NR19;ACSA_HUMAN;55902;ACSS2;Acetyl-coenzyme A synthetase, cytoplasmic;ACSS2,ACAS2;NA;0;1;1;21;18;23;19.5;2.12;0.11;27;26;53;26.5;0.71;0.03;0.33;0.29;0.36;0.31;0.03;0.09;23;53;0.36
Q5T8P6-2;Q5T8P6-2;RBM26_HUMAN;64062;RBM26;RNA-binding protein 26;RBM26,C13orf10;NA;0;6;1;21;21;23;21;0;0;33;32;65;32.5;0.71;0.02;0.24;0.25;0.26;0.25;0;0.01;23;65;0.26
Q8IWX8;Q8IWX8;CHERP_HUMAN;10523;CHERP;Calcium homeostasis endoplasmic reticulum protein;CHERP,DAN26,SCAF6;NA;0;1;1;21;21;23;21;0;0;46;42;88;44;2.83;0.06;0.28;0.27;0.3;0.27;0;0.02;23;88;0.3
Q9NTZ6;Q9NTZ6;RBM12_HUMAN;10137;RBM12;RNA-binding protein 12;RBM12,KIAA0765;NA;0;1;1;23;23;23;23;0;0;48;52;100;50;2.83;0.06;0.27;0.27;0.27;0.27;0;0;23;100;0.27
P13489;P13489;RINI_HUMAN;6050;RNH1;Ribonuclease inhibitor;RNH1,RNH,PRI;NA;0;1;1;22;21;23;21.5;0.71;0.03;53;60;113;56.5;4.95;0.09;0.69;0.62;0.69;0.66;0.05;0.08;23;113;0.69
Q8N1G4;Q8N1G4;LRC47_HUMAN;57470;LRRC47;Leucine-rich repeat-containing protein 47;LRRC47,KIAA1185;NA;0;1;1;21;22;23;21.5;0.71;0.03;36;40;76;38;2.83;0.07;0.42;0.42;0.43;0.42;0;0.01;23;76;0.43
P22234-2;P22234-2;PUR6_HUMAN;10606;PAICS;Multifunctional protein ADE2;PAICS,PAIS,ADE2,AIRC;NA;0;1;1;23;22;23;22.5;0.71;0.03;94;95;189;94.5;0.71;0.01;0.51;0.49;0.51;0.5;0.01;0.02;23;189;0.51
Q9H267;Q9H267;VP33B_HUMAN;26276;VPS33B;Vacuolar protein sorting-associated protein 33B;VPS33B;NA;0;1;1;22;19;23;20.5;2.12;0.1;24;24;48;24;0;0;0.4;0.37;0.44;0.39;0.02;0.06;23;48;0.44
Q8ND82;Q8ND82;Z280C_HUMAN;55609;ZNF280C;Zinc finger protein 280C;ZNF280C,ZNF633,SUHW3;NA;0;1;1;20;18;23;19;1.41;0.07;28;26;54;27;1.41;0.05;0.34;0.3;0.36;0.32;0.03;0.09;23;54;0.36
P22033;P22033;MUTA_HUMAN;4594;MUT;Methylmalonyl-CoA mutase, mitochondrial;MUT;NA;0;1;1;21;19;23;20;1.41;0.07;25;23;48;24;1.41;0.06;0.39;0.33;0.42;0.36;0.05;0.13;23;48;0.42
Q9Y4E6-1;Q9Y4E6-1;WDR7_HUMAN;23335;WDR7;WD repeat-containing protein 7;WDR7,TRAG,KIAA0541;NA;0;2;2;21;19;23;20;1.41;0.07;28;28;56;28;0;0;0.2;0.17;0.21;0.19;0.02;0.09;23;56;0.21
Q9UN37;Q9UN37;VPS4A_HUMAN;27183;VPS4A;Vacuolar protein sorting-associated protein 4A;VPS4A,VPS4;NA;0;1;1;20;20;23;20;0;0;38;40;78;39;1.41;0.04;0.43;0.41;0.45;0.42;0.01;0.03;23;78;0.45
O43865-1;O43865-1;SAHH2_HUMAN;10768;AHCYL1;Putative adenosylhomocysteinase 2;AHCYL1,XPVKONA,DCAL;NA;0;2;1;22;22;23;22;0;0;47;48;95;47.5;0.71;0.01;0.39;0.38;0.4;0.38;0.01;0.02;23;95;0.4
Q8WWQ0;Q8WWQ0;PHIP_HUMAN;55023;PHIP;PH-interacting protein;PHIP,WDR11;NA;0;1;1;19;20;23;19.5;0.71;0.04;24;23;47;23.5;0.71;0.03;0.14;0.15;0.17;0.15;0.01;0.03;23;47;0.17
Q92615;Q92615;LAR4B_HUMAN;23185;LARP4B;La-related protein 4B;LARP4B,KIAA0217,LARP5;NA;0;1;1;23;20;23;21.5;2.12;0.1;35;30;65;32.5;3.54;0.11;0.36;0.32;0.36;0.34;0.03;0.09;23;65;0.36
Q7Z5J4-1;Q7Z5J4-1;RAI1_HUMAN;10743;RAI1;Retinoic acid-induced protein 1;RAI1,KIAA1820;NA;0;4;1;15;20;23;17.5;3.54;0.2;18;21;39;19.5;2.12;0.11;0.11;0.17;0.18;0.14;0.04;0.32;23;39;0.18
Q8WUA4-1;Q8WUA4-1;TF3C2_HUMAN;2976;GTF3C2;General transcription factor 3C polypeptide 2;GTF3C2,KIAA0011;NA;0;2;1;19;21;23;20;1.41;0.07;28;29;57;28.5;0.71;0.02;0.26;0.29;0.32;0.28;0.02;0.08;23;57;0.32
Q9Y6D9;Q9Y6D9;MD1L1_HUMAN;8379;MAD1L1;Mitotic spindle assembly checkpoint protein MAD1;MAD1L1,MAD1,TXBP181;NA;0;1;1;20;19;23;19.5;0.71;0.04;32;33;65;32.5;0.71;0.02;0.33;0.33;0.37;0.33;0;0.01;23;65;0.37
Q02952-1;Q02952-1;AKA12_HUMAN;9590;AKAP12;A-kinase anchor protein 12;AKAP12,AKAP250;NA;0;3;3;16;21;23;18.5;3.54;0.19;28;31;59;29.5;2.12;0.07;0.17;0.21;0.23;0.19;0.03;0.14;23;59;0.23
P06753-2;P06753-2;TPM3_HUMAN;7170;TPM3;Tropomyosin alpha-3 chain;TPM3;NA;0;2;1;23;20;23;21.5;2.12;0.1;101;95;196;98;4.24;0.04;0.61;0.56;0.61;0.58;0.04;0.06;23;196;0.61
P78316-2;P78316-2;NOP14_HUMAN;8602;NOP14;Nucleolar protein 14;NOP14,NOL14,C4orf9;NA;0;1;1;21;22;23;21.5;0.71;0.03;42;37;79;39.5;3.54;0.09;0.29;0.3;0.31;0.29;0.01;0.03;23;79;0.31
Q15283;Q15283;RASA2_HUMAN;5922;RASA2;Ras GTPase-activating protein 2;RASA2,RASGAP,GAP1M;NA;0;1;1;20;20;23;20;0;0;24;24;48;24;0;0;0.25;0.22;0.26;0.23;0.02;0.08;23;48;0.26
Q96FC9-2;Q96FC9-2;DDX11_HUMAN;1663;DDX11;Probable ATP-dependent RNA helicase DDX11;DDX11,CHL1,KRG2,CHLR1;NA;0;4;2;20;21;23;20.5;0.71;0.03;23;22;45;22.5;0.71;0.03;0.23;0.25;0.26;0.24;0.01;0.06;23;45;0.26
Q9NUQ8-1;Q9NUQ8-1;ABCF3_HUMAN;55324;ABCF3;ATP-binding cassette sub-family F member 3;ABCF3;NA;0;2;1;21;20;23;20.5;0.71;0.03;29;26;55;27.5;2.12;0.08;0.33;0.32;0.36;0.33;0.01;0.04;23;55;0.36
P48506;P48506;GSH1_HUMAN;2729;GCLC;Glutamate--cysteine ligase catalytic subunit;GCLC,GLCLC,GLCL;NA;0;1;1;23;18;23;20.5;3.54;0.17;37;26;63;31.5;7.78;0.25;0.42;0.35;0.42;0.39;0.05;0.12;23;63;0.42
P48739-2;P48739-2;PIPNB_HUMAN;23760;PITPNB;Phosphatidylinositol transfer protein beta isoform;PITPNB;NA;0;1;1;22;23;23;22.5;0.71;0.03;60;60;120;60;0;0;0.79;0.79;0.79;0.79;0;0;23;120;0.79
